[00:00.000 --> 00:13.000]  In the councils of government, we must guard against the acquisition of unwarranted influence,
[41:03.760 --> 41:11.760]  Oh, you didn't know about that? We're going to play that later. Oh, you didn't know about that when she was mayor? Oh, how'd she become mayor? Oh, the mayor got shot and killed.
[41:11.760 --> 41:18.760]  But she was there to discover it. She's a very nice lady. Have you looked in her eyes?
[41:18.760 --> 41:24.760]  But, very nice lady, you know, Emperor Palpatine level lady.
[41:24.760 --> 41:32.760]  She's the head of U.S. intelligence in the Senate. Don't she sleep good at night knowing she's there?
[41:32.760 --> 41:36.760]  Back for TV viewers. Let me show you a nice photo of her. Here it is.
[41:36.760 --> 41:54.760]  Flashback. Senator Dian Feinstein has concealed carry permit. This is a clip from her on C-SPAN around the same time, well, 1995, in testimony, talking about how terrorists tried to kill her.
[41:54.760 --> 42:01.760]  Talk about false flag. I've looked into it. And how they tried to bomb her, but the bomb didn't go off. Isn't that nice?
[42:01.760 --> 42:07.760]  And then they shot up her house. Sure they did, Dian. Sure they did.
[42:07.760 --> 42:14.760]  But don't worry. The communists got dealt with just like Patty Hirsch that turned out. That was all the staged FBI deal.
[42:14.760 --> 42:19.760]  I told you that more than a decade ago that he classified two years ago. That whole Patty Hirsch thing was staged.
[42:19.760 --> 42:23.760]  It was obviously staged. That's how they got gun control laws and stuff passed.
[42:23.760 --> 42:32.760]  There was a bunch of communists they were protecting, running around blowing up and shooting stuff up to then give left cover to gun grabbing tyrants like Dian Feinstein.
[42:32.760 --> 42:37.760]  Oh, look, the communists are attacking me. Turn your guns in.
[42:37.760 --> 42:46.760]  Let's go ahead and play this clip of the woman who has five bodyguards on average and who has a gun. So if you try to take her out, she can take you out.
[42:46.760 --> 42:49.760]  See, she gets to have guns. You don't. Here it is.
[42:49.760 --> 42:59.760]  A personal anecdote about terrorism, because less than 20 years ago I was the target of a terrorist group.
[42:59.760 --> 43:11.760]  It was the New World Liberation Front. They blew up power stations and put a bomb at my home when my husband was dying of cancer.
[43:11.760 --> 43:20.760]  And the bomb was set to detonate around two o'clock in the morning, but it was a construction explosive that doesn't detonate when it drops below freezing.
[43:20.760 --> 43:29.760]  It doesn't usually freeze in San Francisco, but on this night it dropped below freezing and the bomb didn't detonate. I was very lucky.
[43:29.760 --> 43:36.760]  But I thought of what might have happened. Later, the same group shot out all the windows of my home.
[43:36.760 --> 43:41.760]  And I know the sense of helplessness that people feel.
[43:41.760 --> 43:43.760]  Oh yeah, hit pause. I know.
[43:43.760 --> 43:51.760]  Back it up a little bit, guys. That's what this lady feeds on is helplessness.
[43:51.760 --> 43:57.760]  That's what these types of scum are into.
[43:57.760 --> 44:05.760]  That's what the tyrants want. They want your pension fund under government control, public and private, and now they're moving in that direction.
[44:05.760 --> 44:12.760]  They want you in a 250 square foot home like San Francisco and New York are doing, where they say, we'll raise your taxes at the point.
[44:12.760 --> 44:21.760]  That's all you can afford anyways. These are social engineers. They are predators. Their minds work off.
[44:21.760 --> 44:29.760]  How can I control? How can I be a parasite? How can I dominate? How can I secure my ill-gotten gains? That's how their brains work.
[44:29.760 --> 44:36.760]  Their brains don't work. Hey, let me go out and paint beautiful paintings, or let me go out and produce beautiful music,
[44:36.760 --> 44:44.760]  or let me go out and write articles or write books, or produce things that people in free association choose to go out and purchase.
[44:44.760 --> 44:52.760]  No. They push you under laws by every benchmark that are tyranny and then exempt themselves.
[44:52.760 --> 45:00.760]  Congress is exempt from insider trading because they said so. Congress is exempt from social security because they said so.
[45:00.760 --> 45:09.760]  Did you know that? Congress is exempt from hundreds of laws last time I checked. These crooks get up there and exempt themselves,
[45:09.760 --> 45:16.760]  and now they have a Justice Department that will ship guns into Mexico as a false flag to blame the Second Amendment,
[45:16.760 --> 45:24.760]  who isn't scared of Congress because they're just as corrupt as they are. And the few good senators and the few good House members,
[45:24.760 --> 45:33.760]  as good as they are, are still naive about how bad things are, or if they know the truth, they won't even go all the way.
[45:33.760 --> 45:41.760]  And when Ron Paul does go all the way in speeches saying, there's been a CIA coup since Kennedy, I'm quoting Ron Paul in a speech,
[45:41.760 --> 45:48.760]  the government ships the drugs in, we've had a CIA coup, and the CIA should be abolished.
[45:48.760 --> 46:00.760]  That's the real Ron Paul, yelling and screaming. Have you ever seen Ron Paul in those 1980s Morton Downey show?
[46:00.760 --> 46:06.760]  We ought to play that sometimes, jumping up and yelling and screaming at people like Alex Jones and hopping around the stage.
[46:06.760 --> 46:12.760]  We ought to play that sometime in the nightly news. Hopping around on the stage yelling at people about freedom.
[46:12.760 --> 46:19.760]  See, Ron Paul has learned how to pace himself and control himself. When you love liberty, you explode with it,
[46:19.760 --> 46:24.760]  because you know people are wrong that are trying to take your liberty if they're not bad guys. They're wrong.
[46:24.760 --> 46:31.760]  If they are bad guys, you really get upset because you know they're consciously trying to usurp you and run you over.
[46:31.760 --> 46:41.760]  And it's not that you're an aggressive person, it's that you have the instinct to become angry when someone wants your guns.
[46:41.760 --> 46:50.760]  And so Feinstein goes on in this clip to say that she knows the helplessness and how empowering it is to get a gun.
[46:50.760 --> 46:56.760]  Really, is that why it's nearly impossible to get a concealed carry permit in San Francisco?
[46:56.760 --> 47:03.760]  Is that why, unless you're literally a billionaire stockbroker, all, I saw an article in Bloomberg a few years ago
[47:03.760 --> 47:11.760]  where we're almost all, even the low level Goldman Sachs people, all went out and got concealed carries in New York.
[47:11.760 --> 47:20.760]  I mean, you've got to be insider to get those. Who do you always read about getting them? Famous gangsters get them, movie stars can get them,
[47:20.760 --> 47:27.760]  senators can get them, Congress people. Congress folks are always having to give their guns up because they'll get caught with a concealed carry.
[47:27.760 --> 47:37.760]  And all right, I turned it in. You're right. They're hypocrites. You don't get.
[47:37.760 --> 47:42.760]  In fact, I even have a copy of it over here. This is the county outside New York City.
[47:42.760 --> 47:48.760]  And you read this, it's all up to their discretion if you can get a concealed carry and nearly impossible.
[47:48.760 --> 47:51.760]  It's up to their discretion. And that's what she's saying.
[47:51.760 --> 47:57.760]  Our new bill to own guns, the ATF will have to authorize it and they're allowed to refuse anybody they want,
[47:57.760 --> 48:03.760]  even if you've never been convicted of a parking ticket.
[48:03.760 --> 48:08.760]  So here she is saying, I know the helplessness.
[48:08.760 --> 48:13.760]  Folks, I've studied diet, fine. She's probably the most evil person in the U.S. Senate.
[48:13.760 --> 48:19.760]  She basically outmands men. She's a monster.
[48:19.760 --> 48:24.760]  And she wants nothing more than to declare all your semi-autos illegal.
[48:24.760 --> 48:30.760]  And she goes further and says, handguns too. They're going to make them all illegal and they're going to make you come turn them in.
[48:30.760 --> 48:37.760]  And when you don't turn them in, they're going to send all these SWAT teams out to kill people.
[48:37.760 --> 48:43.760]  Thousands, more than 2,000 were killed in the decade after gunman when all semi-autos were banned in Australia,
[48:43.760 --> 48:47.760]  including the real crocodile Dundee. I know I've talked about this a lot.
[48:47.760 --> 48:51.760]  Let's go out to break finishing up with her on C-SPAN.
[48:51.760 --> 48:55.760]  This is a woman who is going to have guns, going to have bodyguards.
[48:55.760 --> 49:03.760]  She's worth over $100 million. It's between 79 and 150 plus in her financial statements.
[49:03.760 --> 49:08.760]  So I just say it in the middle, $100 million. This is a lady who made $100 million while in the U.S. Senate
[49:08.760 --> 49:15.760]  getting paid $174,000 a year and she wants your guns, but she is going to have guns. Here it is.
[49:15.760 --> 49:23.760]  All the windows of my home and I know the sense of helplessness that people feel.
