[00:00.000 --> 00:00.100]  There are
[30:38.220 --> 30:43.860]  in the next level and being without puts you at the mercy of others or makes you a slave
[30:43.860 --> 30:51.140]  to a dying system by storeable foods and an Alexa pure gravity water filter today support
[30:51.140 --> 30:59.060]  mankind by being prepared and support freedom by buying from info war store dot com Thomas
[30:59.060 --> 31:05.340]  Jefferson predicted over 240 years ago that when our republic was in trouble in the future
[31:05.340 --> 31:10.380]  it'd be the farmers that were close to ground close to reality who actually work for a living
[31:10.380 --> 31:15.100]  that would end up saving the nation and today the communist Chinese have banned all us farming
[31:15.100 --> 31:21.100]  goods a week ago and we've seen massive increases in polls support for the president and what
[31:21.100 --> 31:27.020]  he's doing in this trade war once China put pressure on our farmers that's beautiful Americans
[31:27.020 --> 31:32.340]  aren't going to be bullied and we aren't going to back down so to the walking cruises and
[31:32.340 --> 31:36.220]  the hillary clinton's the world that want to intimidate people and tell us to back down
[31:36.220 --> 31:40.260]  we're never going to give up and all you've done is awaken the human spirit and the human
[31:40.260 --> 31:46.060]  spirit lives at info wars dot com and news wars dot com and I'm asking listeners whatever
[31:46.060 --> 31:50.860]  you do spread those links because we are the light the dark of the night we are the resistance
[31:50.860 --> 32:02.860]  we are 1776 worldwide one half of the incredible eight pack power stack the am wake up and
[32:02.860 --> 32:07.660]  work packet is exactly what you need to start your day right the pack contains five original
[32:07.660 --> 32:12.300]  formulas built to fuel your day and take care of your body's individual needs in the morning
[32:12.300 --> 32:17.740]  targeting the heart brain muscles energy production and more each a m pack contains a flex and
[32:17.740 --> 32:24.420]  joint support energy kickstart krill oil newtropic brain and greens detox formula with the p m
[32:24.420 --> 32:29.580]  pack in the eight pack power stack you can rest easy and simplify your routine containing
[32:29.580 --> 32:34.980]  four original formulas the p m rest and recover pack will build up your body's defenses and
[32:34.980 --> 32:40.460]  help you get restful satisfying sleep every night containing bone support krill oil sound
[32:40.460 --> 32:45.540]  sleep and immune support formulas the p m packet was created to support improving your
[32:45.540 --> 32:49.940]  body's bones and immune system all while you rest from the day's work when combined with
[32:49.940 --> 32:54.700]  the a m wake up and work packet it makes the eight pack power stack the new can't miss
[32:54.700 --> 33:11.100]  info wars life product you're listening to the alex jones show
[33:11.100 --> 33:24.100]  the alex jones show because there is a war on for your mind
[33:24.100 --> 33:35.340]  welcome back ladies and gentlemen welcome back i am your host alex jones the websites
[33:35.340 --> 33:41.260]  are news wars dot com and info wars dot com what i want to do is for the rest of the
[33:41.260 --> 33:46.260]  shower into the bottom of the next hour i want to take ten calls that way nobody has
[33:46.260 --> 33:51.800]  to stay on hold too long and then we'll open the phones up again after that for more questions
[33:51.800 --> 33:59.740]  for our biggest google whistleblower yet senior engineer fox news he was just on fox news this
[33:59.740 --> 34:07.180]  morning so we're breaking through that electronic berlin wall he is going to be here in studio
[34:07.180 --> 34:12.860]  with us also vox day will be joining zack for ease and matt bracken is going to be coming
[34:12.860 --> 34:21.940]  on as well so all of that today but again i want to open the phones up specifically
[34:21.940 --> 34:29.060]  on trump's statement that he's the chosen one now cut out five seconds long you could
[34:29.060 --> 34:34.540]  say that it was arrogant but if you listen to the entire statement that two and a half
[34:34.540 --> 34:39.900]  minute clip we're going to play again in just a moment he lays it out that we've been getting
[34:39.900 --> 34:44.100]  chewed up we've been sold out by all these politicians forever and with one side of
[34:44.100 --> 34:48.300]  deals and so i've been elected and he goes and i've also he looks up you know been the
[34:48.300 --> 34:56.260]  chosen one to do this task and the profits not known in their own country but trump is
[34:56.260 --> 35:03.220]  loved around the world by nations that have been under attack by tyrants and again i'm
[35:03.220 --> 35:07.500]  a big supporter of trump because i've been sued and threatened and attacked and harassed
[35:07.500 --> 35:12.620]  over it because i know that he's doing the best job he can and so they just keep more
[35:12.620 --> 35:17.620]  attacks on more tax most other people try to hedge their bets well i'm not hedging my
[35:17.620 --> 35:23.700]  bets when trump starts going sideways the politicians around him i come out of the
[35:23.700 --> 35:30.620]  gates swinging but he's not hillary clinton and i told everybody he's not gonna push
[35:30.620 --> 35:37.820]  the red flag laws he's he's coming to the democrats saying okay what's your proposal
[35:37.820 --> 35:45.980]  they say ban all semiados and have psychological boards that decide whether you have a gun
[35:45.980 --> 35:52.700]  or not outside of law making them judge jury and executioner and jail warden so it's very
[35:52.700 --> 35:58.140]  dangerous to even flirt with that but that's what i was told trump is going to do because
[35:58.140 --> 36:03.980]  it takes the wind out of their sails and then they never come with their so-called reasonable
[36:03.980 --> 36:10.620]  which we know isn't reasonable it's incremental salami slicing and then they shoot for the
[36:10.620 --> 36:16.820]  moon and they miss they're greedy they grab for it all like the global is doing every
[36:16.820 --> 36:23.940]  place they control because as the un said in its own small arms treaty in 2001 civilian
[36:23.940 --> 36:31.260]  ownership of firearms threatens the legitimate power monopoly of the state that whole statement
[36:31.260 --> 36:37.980]  is very true except one word legitimate civilian ownership of firearms threatens the legitimate
[36:37.980 --> 36:45.220]  power monopoly of the state take out legitimate civilian ownership of firearms threatens the
[36:45.220 --> 36:52.020]  power monopoly of the state which of course it does now sit down all political power goes
[36:52.020 --> 36:57.620]  out of the barrel of a gun and if the people don't have a right to own guns then they're
[36:57.620 --> 37:03.340]  not the lords of their own destiny there's been no culture in history that had rulers
[37:03.340 --> 37:13.180]  and slaves or the slaves could have weapons it's never happened never will happen again
[37:13.180 --> 37:18.780]  so yeah it's a messy affair and tens of thousands get killed a year hundreds of thousands get
[37:18.780 --> 37:24.860]  killed a year from cars and grounding and thousands and thousands falling off jet skis
[37:24.860 --> 37:29.460]  that's the way the world thousands die every year rock climbing more people die every year
[37:29.460 --> 37:33.900]  falling in their bathrooms than they do from guns we're gonna ban bathrooms how about banning
[37:33.900 --> 37:41.460]  existence because that's the only way to ever stop that takes happening if you have children
[37:41.460 --> 37:47.220]  you're putting them in the world to experience pleasure experience triumph experience humiliation
[37:47.220 --> 37:59.140]  experience pain experience visions experiment love and experience communion with the almighty
[37:59.140 --> 38:05.500]  and so you put them into the world but they can experience the third dimension their spirits
[38:05.500 --> 38:15.380]  can look through this rose-colored darkly that is our earth suits in the true transcendence
[38:15.380 --> 38:21.740]  we're all experiencing and the question is will you transcend at death or will you fall
[38:21.740 --> 38:30.300]  are you going up are you going down you're getting more complex or less that's the choice
[38:30.300 --> 38:37.780]  everyone has to make so again here's this phenomenal statement by the president that's
[38:37.780 --> 38:42.020]  so clear and so concise and so smooth because it's true imagine how good it feels just to
[38:42.020 --> 38:46.540]  be able to get up there and not lie to people like Bill Clinton or Obama did actually get
[38:46.540 --> 38:51.140]  up there and tell them the truth that's why they have all these shows Trump's lying to
[38:51.140 --> 38:57.700]  everyone oh we've got 50 buckets of gumballs every gumballs a lie that's a carnival stunt
[38:57.700 --> 39:08.140]  it's not true it's their perception that it's a lie remember our truth over facts Joe Biden
[39:08.140 --> 39:15.860]  our truth our delusion our cult Joe Biden's like full sedum saying come to me my child
[39:15.860 --> 39:21.980]  and the cult member jumps off the cliff and crashes down because that's her truth over
[39:21.980 --> 39:35.420]  facts over reality and then you see to leave the leader of the fantastic rat pack the rats
[39:35.420 --> 39:39.140]  that have left their sinking ships and then come here to perch and bitch and tell us how
[39:39.140 --> 39:43.060]  much we suck all day so they can be victims to get more goodies that's why you can't run
[39:43.060 --> 39:46.500]  your own countries because no one wants to build anything he's gonna run and killing
[39:46.500 --> 39:54.540]  each other because everybody has a right to rule instead of build and then we're told
[39:54.540 --> 40:00.420]  by these fallen twisted individuals that we suck and we're bad because they know we've
[40:00.420 --> 40:06.100]  got those buttons to push and then we'll then grovel to them and they see something like
