[00:00.000 --> 00:00.580]  Action.
[31:53.980 --> 31:57.980]  And that's all we ever have to know is that God is in charge.
[31:57.980 --> 32:05.980]  The 12 days of Christmas Super Sale has come to info wars with free shipping store-wide and double patria points.
[32:05.980 --> 32:09.980]  Finish your Christmas shopping with one click and support the info war.
[32:09.980 --> 32:14.980]  For the 12 days of Christmas, we're adding a new special every day
[32:14.980 --> 32:18.980]  plus free shipping double patria points and extra stickers in every package
[32:18.980 --> 32:22.980]  to be good little elves and spread the info war triggering libtards.
[32:22.980 --> 32:25.980]  Check in every day to find the new deals.
[32:25.980 --> 32:34.980]  Secure a bottle of the good halogen X3 at cost at $29.95 and get a free bottle of Biotru Selenium.
[32:34.980 --> 32:40.980]  Buy real red pill plus and real red pill at 65% off and get a free bottle of Selenium as well.
[32:40.980 --> 32:43.980]  Silver bullet is only $9.95.
[32:43.980 --> 32:49.980]  Ultimate female force and superfemale vitality combo are at cost at $29.95.
[32:49.980 --> 32:58.980]  Eight pack power stack is also at cost at $29.95 with free shipping and over 100 others at infowarstore.com and support the info war.
[33:19.980 --> 33:21.980]  Well, so does he.
[33:21.980 --> 33:26.980]  Live from the info wars.com studios, it's Alex Jones.
[33:31.980 --> 33:41.980]  If you impeach a president, if you make a high crime in misdemeanor out of going to the courts, it is an abuse of power.
[33:41.980 --> 33:44.980]  It's your abuse of power.
[33:44.980 --> 33:48.980]  You're doing precisely what you're criticizing the president for doing.
[33:48.980 --> 33:58.980]  You're saying article one gives us complete authority that when we demand information from another branch, it must be turned over or will impeach you in record time.
[33:58.980 --> 34:03.980]  Now, making that worse is that you have such a short investigation.
[34:03.980 --> 34:05.980]  It's a perfect storm.
[34:05.980 --> 34:13.980]  You set an incredibly short period, demand a huge amount of information, and when the president goes to court, you then impeach him.
[34:13.980 --> 34:18.980]  Now, does that track with what you've heard about impeachment?
[34:18.980 --> 34:22.980]  Does that track with the rule of law that we talked about?
[34:22.980 --> 34:27.980]  So on obstruction, I would encourage you to think about this.
[34:27.980 --> 34:33.980]  In Nixon, it did go to the courts and Nixon lost.
[34:33.980 --> 34:36.980]  And that was the reason Nixon resigned.
[34:36.980 --> 34:41.980]  He resigned a few days after the Supreme Court ruled against.
[34:41.980 --> 34:44.980]  All right, ladies and gentlemen, I am your host, Alex Jones.
[34:44.980 --> 34:53.980]  This is the info or we are broadcasting worldwide on this December 10, 2019 worldwide broadcast.
[34:53.980 --> 34:55.980]  And I'm shaking the broadcast up.
[34:55.980 --> 35:04.980]  I'm going to your phone calls right here in the middle of the first hour, as promised, because when I listen to rebroadcast, I love it when I'm taking calls.
[35:04.980 --> 35:10.980]  I love it when I got a good guest on and I really just gauge the broadcast according to what I like to hear and what I like to tune into.
[35:10.980 --> 35:13.980]  So I want to get right into your calls coming up.
[35:13.980 --> 35:15.980]  Lou Dobbs calls it a whitewash.
[35:15.980 --> 35:17.980]  The IG report, I totally agree with him.
[35:17.980 --> 35:18.980]  It's beyond a whitewash.
[35:18.980 --> 35:20.980]  It's a travesty.
[35:20.980 --> 35:23.980]  And then I've got this little juicy piece of news.
[35:23.980 --> 35:29.980]  IG Horowitz, sham reports his FBI was biased in favor of Trump.
[35:29.980 --> 35:33.980]  That's what the Obama appointed official did, the so-called watchdog.
[35:33.980 --> 35:34.980]  What a joke.
[35:34.980 --> 35:35.980]  Everybody needs to wait.
[35:35.980 --> 35:37.980]  Horowitz is going to get him.
[35:37.980 --> 35:41.980]  And here's Comey tweeting, so it was all lies.
[35:41.980 --> 35:42.980]  No treason.
[35:42.980 --> 35:43.980]  No spying on the campaign.
[35:43.980 --> 35:44.980]  No tapping Trump.
[35:44.980 --> 35:45.980]  Wires.
[35:45.980 --> 35:47.980]  See, technically, there's no wires.
[35:47.980 --> 35:48.980]  Now it's digital.
[35:48.980 --> 35:51.980]  It was just good people trying to protect America.
[35:51.980 --> 35:56.980]  Well, even Horowitz admits they were spying on him and using digital collection.
[35:56.980 --> 35:59.980]  But there's no wires.
[35:59.980 --> 36:02.980]  See that legalese, how criminal that is?
[36:02.980 --> 36:04.980]  That he thinks you're so stupid.
[36:04.980 --> 36:06.980]  He says that to you.
[36:06.980 --> 36:09.980]  And they go on.
[36:09.980 --> 36:11.980]  James Comey, the truth is finally out.
[36:11.980 --> 36:13.980]  The FBI fulfilled its mission.
[36:13.980 --> 36:17.980]  There was no spying, even though it's admitted spying.
[36:17.980 --> 36:19.980]  The IG report says, oh, it was legitimate.
[36:19.980 --> 36:23.980]  Just a few people went too far and didn't follow all the rules.
[36:23.980 --> 36:25.980]  Wow.
[36:25.980 --> 36:35.980]  And the average person now will actually believe that watches mainstream media, that no one was ever spied on.
[36:35.980 --> 36:45.980]  Even though they've been spying on members of Congress during the impeachment who are on the committee and spying on the press.
[36:45.980 --> 36:48.980]  Think about that.
[36:48.980 --> 36:54.980]  So that they know the strategies of the Republicans with the press and what the Republicans are going to say before they say it.
[36:54.980 --> 36:56.980]  Because who are the Republicans going to talk to?
[36:56.980 --> 36:58.980]  They're going to talk to the press.
[36:58.980 --> 37:02.980]  We learned it's Sean Hannity.
[37:02.980 --> 37:03.980]  Who else are they spying on?
[37:03.980 --> 37:06.980]  You know, it's Tucker Carlson.
[37:06.980 --> 37:08.980]  People like Roger Stone, Alex Jones.
[37:08.980 --> 37:12.980]  Everybody's getting spied on.
[37:12.980 --> 37:14.980]  And they know who do we talk to?
[37:14.980 --> 37:18.980]  Well, we talk to reporters off record.
[37:18.980 --> 37:28.980]  And so these criminals are doing this and they think we're all stupid and aren't aware of it.
[37:28.980 --> 37:37.980]  I don't come up here and say, hey, I told you the IG report would be a total beyond whitewash.
[37:37.980 --> 37:42.980]  A prophylactic for the deep state to cover up to demoralize you.
[37:42.980 --> 37:50.980]  I told you when I was right again, because we need to stop being delusional about what we're facing.
[37:50.980 --> 38:00.980]  If you think you can climb a 10,000 foot mountain when you can't even climb a set of stairs because you have an exercise in 20 years and you're 100 pounds overweight,
[38:00.980 --> 38:04.980]  you're not going to go sign up for a mountaineering event and scale the mountain.
[38:04.980 --> 38:09.980]  You need to be honest about it.
[38:09.980 --> 38:16.980]  That's my allegory or analogy or parable or parallel.
[38:16.980 --> 38:19.980]  I want to kick ass.
[38:19.980 --> 38:20.980]  I want to change the world.
[38:20.980 --> 38:23.980]  I want my children to live in a free world and I want yours too as well.
[38:23.980 --> 38:26.980]  I believe in you.
[38:26.980 --> 38:34.980]  And I've learned how these globalists rope a dope and how they manipulate us.
[38:34.980 --> 38:36.980]  And I don't want to lose.
[38:36.980 --> 38:38.980]  We can win very easily.
[38:38.980 --> 38:44.980]  But it's going to take the type of action you saw with Owen Troyer yesterday that was one of the biggest stories in the world and resonated with people.
[38:44.980 --> 38:45.980]  So they ridiculed him.
[38:45.980 --> 38:46.980]  They lied about him.
[38:46.980 --> 38:47.980]  They attacked him.
[38:47.980 --> 38:50.980]  And he platformed to hear everybody else's cowards.
[38:50.980 --> 38:54.980]  And if you see those attacks, you'll think, oh, I better not speak up.
[38:54.980 --> 38:55.980]  You want those attacks.
[38:55.980 --> 39:05.980]  Those are the red badge of courage to have these criminals and scumbags and liars at the New York Times attack you.
[39:05.980 --> 39:13.980]  Don't you know the Times of London attack George Washington in 1776?
[39:13.980 --> 39:31.980]  This is the blood of courage and what America is to not just charge machine gun nest, but the moral courage that historians have found is even more rare to stand against lies and demonization from the establishment to go against the headwind straight in.
[39:31.980 --> 39:33.980]  Because you know it's the right thing to do.
[39:33.980 --> 39:36.980]  That's the essence of leadership.
[39:36.980 --> 39:39.980]  And so many people are thinking, oh, I'm saying we really appreciate what you did.
[39:39.980 --> 39:41.980]  Great job.
[39:41.980 --> 39:45.980]  Well, all of you need to go to Congress.
[39:45.980 --> 39:48.980]  All of you need to protest outside.
[39:48.980 --> 39:50.980]  They have the mall like fly papers.
[39:50.980 --> 39:52.980]  So you go there and no one ever covers what you're doing.
[39:52.980 --> 40:06.980]  Go jump in front of the news cameras, go to the press scrums, go bullhorn outside, go to the rallies, go to the Democrat events, go to the sporting events and legally and lawfully take them over.
[40:06.980 --> 40:14.980]  It's just like we did in 2016, they wanted to soft the air so we couldn't be an inspiration, but we're still here.
[40:14.980 --> 40:24.980]  But I got to tell you, I'm not ready to reveal this at this point, but the dirty tricks and the criminality and the corruption and the sabotage behind the scenes.
[40:24.980 --> 40:34.980]  Is what you'd expect from this deep state, trying to take back America that they thought they had their foot on the neck of.
[40:34.980 --> 40:40.980]  Lauren and Bobby and Tyler and David and Bob and Andrea and Russell and Luke and Brandon, I'm going to go to all of you.
[40:40.980 --> 40:44.980]  I'm going to take a ton of calls today and we're going to look at every angle of this.
[40:44.980 --> 40:51.980]  But if you think Comey can get up there all over the news, he's all over TV and say we're exonerated.
[40:51.980 --> 40:54.980]  No crime, no spying, Trump made it up.
[40:54.980 --> 41:03.980]  He's saying there wasn't even an investigation when the IG report just says it was legitimate.
[41:03.980 --> 41:12.980]  That insult to you, if not met back with a response is literally pissing in your face.
