[00:00.000 --> 00:13.000]  They took my saddle in history, broke my leg in the Saturday, lost my wife and a girlfriend
[37:30.000 --> 37:38.000]  All of them have different rituals to prove you're really bad and they have bad stuff on you. In the real gangs, you rape little kids and you kill them.
[37:38.000 --> 37:45.000]  And let's just get it out the open why they hate me so much and why they hate the Patriots and why they're trying to bring me down.
[37:45.000 --> 37:55.000]  Because behind the scenes, folks, I'm funding military groups, patriot groups, you name it, they're legally and lawfully running operations here inside the United States to document and bring all this out.
[37:55.000 --> 38:04.000]  We're not just here on air doing all this. And I'm going to leave it there.
[38:04.000 --> 38:14.000]  So, understand, if you don't sign on to defeat the NWO, if you don't sign on to fight the globalists and if you sit there and play into it, oh, maybe he did try to influence the director.
[38:14.000 --> 38:20.000]  Oh, maybe Trump is in trouble and kind of get on the bandwagon of peer pressure, just like we couldn't vote for him, just like he couldn't win.
[38:20.000 --> 38:29.000]  All that rigged when Obama committed all those crimes, Hillary committed all those crimes, Loretta Lynch on the airplane with Bill Clinton, opening the borders, selling us out, creating ISIS,
[38:29.000 --> 38:40.000]  fighting the Muslim Brotherhood to take over our allies, all the war crimes, aiding and abetting radical Orthodox Islam that Obama's been involved in.
[38:40.000 --> 38:51.000]  If you sit there and if you go along with that, you have signed on to a system just as evil as the Nazis or the Soviets and probably even more evil.
[38:51.000 --> 38:53.000]  Bottom line.
[38:53.000 --> 39:00.000]  And I'm going to warn the so-called leftists and people, the type that'll drive by and I'm downtown and go, F.U. Alex Jones.
[39:00.000 --> 39:06.000]  Or the type 60 feet away, I'll see me doing a live feed and go, oh, you traitor, you work for the Russians.
[39:06.000 --> 39:15.000]  You walk over, show me proof I do. Ah, shut up. You fools.
[39:15.000 --> 39:29.000]  The mainstream media that has funded all the lies and all the horrible things that put Obamacare on you, that has done all this terrible stuff, you sit there and you look at me and my audience and you sit there with your chest sticking out and you call us a traitor.
[39:29.000 --> 39:42.000]  One is for the Democratic Party with the Russians in the old days and the Communist Chinese and the Democratic Party transferring our power to NAFTA and GATT and the TPP and all the rest of it along with the Republican traders.
[39:42.000 --> 39:50.000]  And they're the ones putting us under multinational control. They're the ones selling us out. They're the ones telling Africans they can't have cars or air conditioning.
[39:50.000 --> 39:56.000]  They're the ones telling people in Latin America, communism's good when Obama goes down and gives a speech last year.
[39:56.000 --> 40:01.000]  They're the ones legalizing communism in the government in California last week while saying it doesn't exist.
[40:01.000 --> 40:06.000]  They're the ones trying to shut down the independent press in America. They're the ones saying they want to kill Donald Trump.
[40:06.000 --> 40:17.000]  They're the ones. They're the clear and present danger and you're the little collaborator idiots that during the process of the takeover get a paycheck or a job or welfare so you've lied to yourself about it.
[40:17.000 --> 40:26.000]  If you're going to get money from the system, that's one thing, but don't be a chump and tell yourself that this isn't leading towards total collapse like we're seeing in Venezuela right now.
[40:26.000 --> 40:40.000]  Don't be an idiot. At least have an exit plan before the collapse, you fool, because the billionaires have all ready basically evacuated the U.S. and they've hardened every facility they live in with the highest level security.
[40:40.000 --> 40:50.000]  20-foot walls, machine gun nest, underground bunkers that go to houses, a block away. Oh yeah, Zuckerberg. I've talked to folks that designed it out in California.
[40:50.000 --> 40:58.000]  He bought the houses for two blocks around him and he's building a big wall around it and the word is they tunneled in there for a year.
[40:58.000 --> 41:10.000]  He's got tunnels to escape out to helicopter pads. So it just looks like he's there in the neighborhood. He puts a wall up around it and he's got a helicopter pad down the street that's in a facility where the roof comes off of it.
[41:10.000 --> 41:21.000]  The roof opens up like a super villain and Zuckerberg goes flying off to a jet pad and flies to Kauai and all the rest of them got bases in Tasmania.
[41:21.000 --> 41:32.000]  These guys are James Bond villains. And here comes Donald Trump.
[41:32.000 --> 41:40.000]  And he says, I'm going to turn the coal back on. I'm going to turn the jobs back on. I'm going to do two-way deals where we actually make money and other people do.
[41:40.000 --> 41:44.000]  And we're going to do the basic stuff. We're going to do free market. We're not killing free market. And they go, you're crazy.
[41:44.000 --> 41:54.000]  We have a globalism plan where we consolidate the wealth, pick the winners and losers and totally take over and hoard the technology for ourselves, work with us, Trump, and we'll let your family have life extension.
[41:54.000 --> 42:03.000]  And Trump said, in the meetings, we're going to release those secrets to the public. Those will be disruptive. He goes, I don't care. We're going to release them.
[42:03.000 --> 42:15.000]  That's why they're racing to kill him. Because as soon as he turns the economy back on, as soon as he goes and makes deals and shuts off the terrorism of Saudi Arabia, as soon as he's done that, they're going to start rolling out the advanced technologies to the public.
[42:15.000 --> 42:23.000]  And they're going to kill him before he does that. You want the cancer cures? Stand by Trump. You want the new free energy systems? Stand by Trump.
[42:23.000 --> 42:34.000]  He's for total innovation. He's for old tech, new tech, advanced tech. You're about to get it all if you just get out of the way, ladies and gentlemen.
[42:34.000 --> 42:44.000]  But to do that, you're going to have to admit you've been brainwashed. I'm talking, speaking directly to all the so-called pseudo-intellectuals who don't know what COG is and don't know what any of this is.
[42:44.000 --> 42:56.000]  Hey, so-called liberals, go listen to me 20 years ago talking about it, or write when Trump got elected, on the day he got elected saying they're going to use COG to undermine him, demonize him, say he's a foreign agent,
[42:56.000 --> 43:07.000]  try to convince him that he's broken a law or obstructed justice with the FBI because they always trick you in ways to do that, and then they're going to kill him.
[43:07.000 --> 43:23.000]  Do you watch Stephen Colbert come up with stuff like that? No, you're a pseudo-intellectual who's been conned and who has convinced themselves that they really know what's going on when you don't know anything.
