[00:00.000 --> 00:02.000]  Wait and feel great!
[29:05.700 --> 29:08.700]  They're using it in all cold cut meats now.
[29:08.700 --> 29:15.700]  They put these Phaegiosites viruses on the cold cut meats supposedly to kill off other viruses.
[29:15.700 --> 29:19.700]  That's right, in Latin it means bacteria eater.
[29:19.700 --> 29:24.700]  And the bigger problem with the cold cuts in the meats, they're spraying with it.
[29:24.700 --> 29:29.700]  It allows them to take rotten meat covered in feces from the slaughterhouse, literally folks,
[29:29.700 --> 29:32.700]  and not clean it off or not throw it away.
[29:32.700 --> 29:37.700]  They just spray it with virus eaters, viruses that eat bacteria,
[29:37.700 --> 29:44.700]  and then you still have the bacteria dead in the toxins they secrete, their fecal matter.
[29:44.700 --> 29:49.700]  And so you then eat the toxins, also the way they're breeding these viruses in these tanks.
[29:49.700 --> 29:55.700]  There's other viruses they're mixing in when they spray it in to the larger preparation, correct Alan?
[29:55.700 --> 30:03.700]  That's right, and now we have outbreaks of listeria on cold meat suddenly that didn't happen before.
[30:03.700 --> 30:06.700]  And so their answer is, radiate.
[30:06.700 --> 30:09.700]  But you're still eating the toxin.
[30:09.700 --> 30:12.700]  What gets you really sick is the bacteria excrement.
[30:12.700 --> 30:18.700]  We'll be right back with Alan Watt and your calls.
[30:18.700 --> 30:22.700]  We're on the march. The Empire's on the run.
[30:22.700 --> 30:28.700]  Alex Jones and the GCN Radio Network.
[30:28.700 --> 30:31.700]  How much food do you have in your fridge?
[30:31.700 --> 30:34.700]  How long would it last in the event of a nationwide crisis?
[30:34.700 --> 30:38.700]  Survivalgearsource.com is America's number one source for survival kits and supplies.
[30:38.700 --> 30:40.700]  Survivalgearsource.com.
[30:40.700 --> 30:43.700]  Survivalgearsource.com is everything you need to be prepared.
[30:43.700 --> 30:46.700]  Get your storable food at survivalgearsource.com.
[30:46.700 --> 30:49.700]  We've supplied thousands of Americans with our ready-to-eat meals.
[30:49.700 --> 30:51.700]  Sealed, portable, and will last for a year.
[30:51.700 --> 30:53.700]  Get your portable, flameless ovens for cooking.
[30:53.700 --> 30:55.700]  Get your ultra-portable survival kits now.
[30:55.700 --> 30:59.700]  Taylor for one, four, ten, or even the 100-person deluxe kit.
[30:59.700 --> 31:04.700]  Prepare for nuclear and bioterrorism with a complete terror protection kit, including gas masks,
[31:04.700 --> 31:10.700]  biosuits, potassium iodate, a solar hand crank flashlight, radio, cell phone charger, and much more.
[31:10.700 --> 31:11.700]  Prepare now.
[31:11.700 --> 31:15.700]  Order by phone at 877-231-1925.
[31:15.700 --> 31:17.700]  Or go to survivalgearsource.com.
[31:17.700 --> 31:22.700]  Use coupon code GCN and receive a free Patriot Bar with every order.
[31:22.700 --> 31:24.700]  Survivalgearsource.com.
[31:25.700 --> 31:28.700]  It is a big idea.
[31:28.700 --> 31:30.700]  A new world order.
[31:30.700 --> 31:35.700]  In the near future, birth is dominated by powerful government.
[31:35.700 --> 31:37.700]  It's known as the Builder Bird.
[31:37.700 --> 31:40.700]  What's their objective, the world domination?
[31:40.700 --> 31:46.700]  For thousands of years, their dark order grew.
[31:46.700 --> 31:54.700]  Now, as they hail the birth of the new world order, their great dream of exterminating 80% of humanity is at hand.
[31:54.700 --> 32:02.700]  For the first time in history, the elite's plan for world government is blown wide open.
[32:02.700 --> 32:06.700]  You will learn the secret that drives the entire new world order agenda.
[32:06.700 --> 32:09.700]  Builder Bird is making great progress toward a world government.
[32:09.700 --> 32:10.700]  Most people have no idea.
[32:10.700 --> 32:11.700]  They're not after money.
[32:11.700 --> 32:12.700]  They have all the money they need.
[32:12.700 --> 32:13.700]  They're after power.
[32:13.700 --> 32:14.700]  That's their affidavit.
[32:14.700 --> 32:19.700]  Order in-game on DVD at prisonplanet.com or infowars.com.
[32:19.700 --> 32:23.700]  Or watch it online right now at prisonplanet.tv.
[32:23.700 --> 32:26.700]  In-game, blueprint for global enslavement.
[32:26.700 --> 32:27.700]  You have been warned.
[32:27.700 --> 32:31.700]  Everyone knows that omega-3 should be an essential part of our daily diet.
[32:31.700 --> 32:37.700]  With so many different methods of consumption, how do you choose a simple yet effective way to get your daily intake?
[32:37.700 --> 32:41.700]  The friendly, knowledgeable folks at North American Nutrition have the answer.
[32:41.700 --> 32:44.700]  Nature's Gem, premium omega-3.
[32:44.700 --> 32:50.700]  Unlike other flaxseed, our golden flax is grown on our farm in northern Minnesota, providing cooler temperatures
[32:50.700 --> 32:55.700]  and longer summer hours, producing the highest quality premium golden flaxseed around.
[32:55.700 --> 33:00.700]  In addition, we selectively harvest and sort flaxseeds by size and weight,
[33:00.700 --> 33:04.700]  keeping only the best seeds that can produce the highest abundance of omega-3.
[33:04.700 --> 33:07.700]  The result is a delicious, nutty, buttery flavor.
[33:07.700 --> 33:09.700]  Nature's Gem golden flaxseed is pure.
[33:09.700 --> 33:13.700]  There is nothing added and nothing taken away and non-GMO.
[33:13.700 --> 33:15.700]  We offer a 100% money-back guarantee.
[33:15.700 --> 33:19.700]  Order in Nature's Gem premium golden flaxseed today at goldenflax.com.
[33:19.700 --> 33:21.700]  Goldenflax.com.
[33:21.700 --> 33:24.700]  Or call 800-387-5516.
[33:24.700 --> 33:26.700]  That's 800-387-5516.
[33:26.700 --> 33:38.700]  Free shipping included.
[33:38.700 --> 33:52.700]  Alright, going back to Alan 1.
[33:52.700 --> 33:56.700]  So many things going on in the world.
[33:56.700 --> 34:02.700]  Baby Zion, mother's crying.
[34:02.700 --> 34:06.700]  How much old is one human life worth?
[34:06.700 --> 34:11.700]  Going back to Alan 1, your phone calls here in just a moment.
[34:11.700 --> 34:20.700]  But before I do that, I want to tell you about a couple sponsors that make this radio show possible.
[34:20.700 --> 34:25.700]  One great sponsor is Inner Health Botanicals.
[34:25.700 --> 34:27.700]  You know them as Inner Food.
[34:27.700 --> 34:32.700]  That's just one other great line of products.
[34:32.700 --> 34:40.700]  Inner Food, folks, is the best green food out there, bar none.
[34:40.700 --> 34:48.700]  And I hope that you will check out the web manners that we have for them up on infowars.com
[34:48.700 --> 34:53.700]  and prisonplanet.com because they have a whole line of great products.
[34:53.700 --> 34:54.700]  But they're green food.
[34:54.700 --> 34:57.700]  You're not taking other ones that have all these superfoods and ingredients.
[34:57.700 --> 34:59.700]  And they always give me headache or make me feel sped up.
[34:59.700 --> 35:03.700]  This doesn't have any of the caffeine type mimicers.
[35:03.700 --> 35:04.700]  It doesn't have it.
[35:04.700 --> 35:09.700]  It's just a whole bunch of well-known superfoods that are really good for your body.
[35:09.700 --> 35:13.700]  So again, check it out at infowars.com
[35:13.700 --> 35:19.700]  and prisonplanet.com.
[35:19.700 --> 35:22.700]  You can link through there to the Inner Food website.
[35:22.700 --> 35:26.700]  Find the banner right there on both sites.
[35:26.700 --> 35:30.700]  Also, there is Food Shortage USA.
[35:30.700 --> 35:34.700]  FoodShortageusa.com is the website.
[35:34.700 --> 35:40.700]  Phase 1 of the Insider's Plan for a One World Government has been indicated with the recent bailout.
[35:40.700 --> 35:45.700]  International bankers and power brokers have engineered the current crisis to create a new currency
[35:45.700 --> 35:47.700]  and a new World Bank to act as saviour.
[35:47.700 --> 35:49.700]  But we've only seen the beginning.
[35:49.700 --> 35:51.700]  The insiders have discovered that they can control two things.
[35:51.700 --> 35:53.700]  This is total control and power.
[35:53.700 --> 35:56.700]  One is the world currency, which they are currently being prepared to accept.
[35:56.700 --> 35:57.700]  And the other is food.
[35:57.700 --> 36:00.700]  We are witnessing the engineered financial crisis, folks.
[36:00.700 --> 36:02.700]  Don't wait until it's too late.
[36:02.700 --> 36:07.700]  Go to FoodShortageusa.com to learn how to make your own storeable foods for you and your family.
[36:07.700 --> 36:09.700]  Prepare for the road ahead.
[36:09.700 --> 36:14.700]  This website reveals a step-by-step way for the average person to get prepared for what's ahead.
[36:14.700 --> 36:17.700]  I think the best part about this system is it gets you off the food grid,
[36:17.700 --> 36:19.700]  even if you don't have a lot of money to spend.
[36:19.700 --> 36:22.700]  The site is FoodShortageusa.com, one word.
[36:22.700 --> 36:26.700]  Or 877-327-0365 to learn more.
[36:26.700 --> 36:31.700]  877-327-0365.
[36:31.700 --> 36:36.700]  Alan, I said I was particularly having you on today, and we appreciate your time.
[36:36.700 --> 36:40.700]  Take calls so we can go in different directions than you or I would normally focus on.
[36:40.700 --> 36:43.700]  I'm pretty much on the same page with you and your research,
[36:43.700 --> 36:47.700]  because we just go to their own source documents with the chemical dumbing down,
[36:47.700 --> 36:50.700]  the biological attacks, what they're setting up.
[36:50.700 --> 36:54.700]  But I want to go to the calls, and we've been interrupted by a few breaks,
[36:54.700 --> 36:58.700]  and my seconding everything you're saying, but I can't help myself.
[36:58.700 --> 36:59.700]  It's also accurate.
[36:59.700 --> 37:01.700]  I want listeners to know this isn't a joke.
[37:01.700 --> 37:04.700]  This is earth-shatteringly important.
[37:04.700 --> 37:08.700]  But in encapsulating it, and then I want to go to calls,
[37:08.700 --> 37:11.700]  again, you're trying to give people the facts like you always do.
[37:11.700 --> 37:12.700]  I do the same thing.
[37:12.700 --> 37:17.700]  But going from the up close view to the wider view,
[37:17.700 --> 37:23.700]  just in a general gestalt, what their time frame is,
