[00:00:06.096 --> 00:00:09.438]  Friday, November 25th, 2022.
[00:24:51.132 --> 00:24:54.034]  But then they're doing everything David Icke says they're doing.
[00:24:54.034 --> 00:24:56.655]  This ties into everything we've been covering.
[00:24:56.655 --> 00:24:57.516]  That's next segment.
[00:24:59.209 --> 00:25:02.651]  Then, as I said, later in the next hour, we'll open the phones up.
[00:25:02.651 --> 00:25:06.793]  We'll have another guest pop in from Australia for 30 minutes.
[00:25:06.793 --> 00:25:07.674]  We'll take calls again.
[00:25:07.674 --> 00:25:13.938]  Then Mike Adams is loaded for bear with critical information, breaking news that he's tracking in the fourth hour.
[00:25:13.938 --> 00:25:16.859]  And then Owen Schroer in the War Room is just loaded with guests.
[00:25:16.859 --> 00:25:20.201]  He'll be taking calls, all the latest numbers.
[00:25:20.201 --> 00:25:25.584]  And then at about six central, we'll start getting a real clear picture of what's going on.
[00:25:25.584 --> 00:25:27.866]  And I'm going to be here from
[00:25:28.965 --> 00:25:31.126]  About 6.30 right through to 2 a.m.
[00:25:31.126 --> 00:25:42.209]  tonight, Owen Schroer and Harrison Smith are going to be in another studio, and every 15 minutes we're going to cut to them, and they're going to give us news and analysis and the latest breaking information.
[00:25:42.209 --> 00:25:42.949]  And that's critical.
[00:25:42.949 --> 00:25:44.229]  So starting at 6 p.m.
[00:25:44.229 --> 00:25:53.632]  tonight, we'll air a few reports and a few promos and a few special reports and maybe a few ads, but it's going to be very commercial light.
[00:25:53.632 --> 00:25:56.293]  I would imagine you'll probably get three minutes of ads an hour.
[00:25:57.399 --> 00:26:01.701]  Everybody's addicted to podcasts, and so am I. I was one of the first podcasters out there.
[00:26:01.701 --> 00:26:05.483]  I've always done a podcast, you know, on top of the show, until they banned me off most podcasting.
[00:26:05.483 --> 00:26:08.445]  But we're still on air because of our great AMNFM affiliates.
[00:26:08.445 --> 00:26:11.026]  First 14 minutes, it adds an hour, Standard Talk Radio.
[00:26:11.026 --> 00:26:18.871]  But when we shift into our coverage tonight at 6 p.m., we're going to go very commercial light.
[00:26:18.871 --> 00:26:22.653]  And our affiliates everywhere are not just welcome, I'm asking them respectfully,
[00:26:23.578 --> 00:26:24.439]  We're good to go.
[00:26:47.762 --> 00:26:49.243]  Anything you want, we're free to air.
[00:26:49.243 --> 00:26:52.545]  It belongs to the people of America and the world.
[00:26:52.545 --> 00:26:56.048]  And I want to just ask listeners again to spread all the live feeds.
[00:26:56.048 --> 00:26:57.229]  You're the force multipliers.
[00:26:57.229 --> 00:27:01.071]  We always, on elections, get an extra 5, 6, 7 million viewers.
[00:27:01.071 --> 00:27:08.216]  On the 2016 election, we had over 35 million people tune in, in just 24 hours.
[00:27:08.216 --> 00:27:10.118]  And over 87 million people that week.
[00:27:12.233 --> 00:27:22.976]  That's conservatively, so that's what scared them so bad when our broadcast was the biggest thing in the world in 2016 and why we became public enemy number one because we're the model of what they fear.
[00:27:22.976 --> 00:27:29.558]  So at the same time, please remember, financially we're in your hands, plus we've got amazing products you need, so don't miss out on these products.
[00:27:29.558 --> 00:27:32.639]  The biggest sell of the year always peaks in November.
[00:27:32.639 --> 00:27:40.521]  We've got all the products in, or most of them in, and it's up to 60% off with promo code 7076, and these deals will continue through Christmas.
[00:27:41.448 --> 00:27:45.812]  But, a lot of stuff in the next week is going to be sold out.
[00:27:45.812 --> 00:28:05.670]  And so if you want to do your Christmas shopping now, or stock up on great things like X3, or Vitamin Mineral Fusion, or DNA Force Plus, or Brain Force Ultra, or Brain Force Plus, or the ultimate krill oil, highest rated krill oil, incredible, it does for your whole cardiovascular, your brain, I take it before I go to sleep, just gives you the best deep dreams, best sleep, major studies out on that.
[00:28:06.710 --> 00:28:08.550]  Ultimate fish oil, highest grade as well.
[00:28:08.550 --> 00:28:10.971]  It's all up to 60% off.
[00:28:10.971 --> 00:28:11.651]  Everything's 40 to 50% off.
[00:28:11.651 --> 00:28:15.492]  You get an additional 10% off promo code 1776.
[00:28:15.492 --> 00:28:17.993]  That's up to 60% off.
[00:28:17.993 --> 00:28:22.274]  Some of these products we're making 10% on at that sale level.
[00:28:22.274 --> 00:28:23.554]  So you're getting a really good deal.
[00:28:23.554 --> 00:28:27.615]  These are all grade A, you know, beyond prime.
[00:28:27.615 --> 00:28:29.716]  The best we can find.
[00:28:29.716 --> 00:28:31.316]  Take our body's ultimate turmeric formula.
[00:28:32.796 --> 00:28:34.517]  It's 95% curcuminoid.
[00:28:34.517 --> 00:28:37.659]  We went out to top developers and said, what's the highest curcuminoid?
[00:28:37.659 --> 00:28:38.320]  They go 75.
[00:28:38.320 --> 00:28:39.521]  Nobody goes past that.
[00:28:39.521 --> 00:28:40.041]  Most folks do 5%.
[00:28:40.041 --> 00:28:41.462]  It still works great.
[00:28:41.462 --> 00:28:43.023]  Ours is 95% curcuminoid.
[00:28:43.023 --> 00:28:44.344]  That's why people love it so much.
[00:28:44.344 --> 00:28:51.529]  That's the type of stuff you get at InfoWarsStore.com or by calling toll free, 888-253-3139.
[00:28:51.529 --> 00:28:56.733]  If you want to fund our legal defense to stay on air, go to SaveInfoWars.com and make a donation.
[00:28:56.733 --> 00:28:57.874]  I want to thank you all for your support.
[00:29:00.396 --> 00:29:11.880]  Until about 150 years ago, cultures all over the world believed that people got sick and died in many cases in the winter because of something called vapors.
[00:29:11.880 --> 00:29:16.342]  They associated these poisonous vapors with cold weather.
[00:29:16.342 --> 00:29:20.303]  Of course, it wasn't the cold weather or catching a chill that killed people.
[00:29:20.303 --> 00:29:23.644]  What was killing people was a lack of vitamin D3.
[00:29:23.644 --> 00:29:24.985]  You see, the sun
[00:29:26.545 --> 00:29:27.166]  We're good to go!
[00:29:54.227 --> 00:29:54.928]  Don't wait!
[00:29:54.928 --> 00:29:59.216]  Support the Infowar and your immune system with vitamin D3 gummies at InfowarStore.com.
[00:30:00.379 --> 00:30:12.408]  As an all-star fighter, businessman, motivational speaker, and philanthropist, Andrew Tate has truly earned the title of Top G. But there's another title Andrew Tate holds that has enraged the globalists.
[00:30:12.408 --> 00:30:17.832]  He is consecutively the most googled man in the world in the last two years.
[00:30:17.832 --> 00:30:22.436]  And that's because his message is about human, and specifically, male empowerment.
[00:30:22.896 --> 00:30:29.158]  Now, Andrew Tate is taking his fight to empower and supercharge men to the next level.
[00:30:29.158 --> 00:30:32.119]  Introducing Top G Supplements.
[00:30:32.119 --> 00:30:37.401]  We are proud to introduce and sponsor the Top G line of supplements by Andrew Tate and his crew.
[00:30:37.401 --> 00:30:43.383]  Now you have the chance to benefit in body, mind and soul with the same supplements that Andrew Tate takes himself.
[00:30:43.383 --> 00:30:47.004]  Learn more about these amazing products at andrewtatepower.com.
[00:30:48.164 --> 00:30:52.947]  AndrewTatePower.com and discover the power of Andrew Tate's new supplements.
[00:30:52.947 --> 00:30:54.747]  They're the highest quality on the market.
[00:30:54.747 --> 00:30:55.688]  Men grow up to be like me.
[00:30:55.688 --> 00:31:02.511]  You're going to have a whole bunch of people with no criminal record, dedicated athletes who protect and provide for the people close to them.
[00:31:02.511 --> 00:31:08.054]  Ladies and gentlemen, we always run the biggest deals of the year, starting in mid-November through Christmas.
[00:31:08.054 --> 00:31:13.317]  But this year is hands down the biggest sale we've ever offered.
[00:31:13.317 --> 00:31:15.958]  Not just at the 60% off with Promo Code 1776,
[00:31:17.819 --> 00:31:23.624]  But on top of it, double Patriot points and what makes this the most special sale ever.
[00:31:23.624 --> 00:31:28.068]  Every order will get a free gift, no matter how small or how big.
[00:31:28.068 --> 00:31:32.472]  And it's all randomly selected by the shopping cart computer.
[00:31:32.472 --> 00:31:34.754]  So you might order a sticker pack for $5.
[00:31:34.754 --> 00:31:40.679]  You might order the blowout t-shirt sale for $4.95 and then get something worth $50, $60, $70, $80, $100.
[00:31:42.961 --> 00:31:45.722]  So, again, some of the gifts are sticker-packed.
[00:31:45.722 --> 00:31:47.522]  Some of them are Alex Jones Halloween masks.
[00:31:47.522 --> 00:31:51.784]  Some of them are books, films, InfoWars flags, American flags.
[00:31:51.784 --> 00:31:53.544]  There are hundreds of different items.
[00:31:53.544 --> 00:31:54.745]  It's all random.
[00:31:54.745 --> 00:31:56.265]  InfoWarsStore.com.
[00:31:56.265 --> 00:31:58.466]  Every order gets a free gift.
[00:31:58.466 --> 00:32:02.167]  Free gifts with every order at InfoWarsStore.com.
[00:32:02.167 --> 00:32:08.129]  I'm Dr. Peter McCullough, and it's an absolute pleasure to introduce to you The Wellness Company.
[00:32:09.443 --> 00:32:19.834]  An alternative healthcare system for this COVID and post-COVID world where trust has been lost in doctors and healthcare systems.
[00:32:19.834 --> 00:32:28.363]  This new online virtual platform is nationwide providing uncensored content, virtual appointments,
[00:32:29.123 --> 00:32:43.770]  Laboratory testing, diagnostics, prescriptions, treatment packages specifically for COVID, post-COVID, vaccine injury syndromes, and all the usual things that are seen in primary care.
[00:32:44.310 --> 00:32:45.051]  We're good to go.
[00:33:14.511 --> 00:33:17.414]  This is Uncle Sam with music and the truth until dawn.
[00:33:17.414 --> 00:33:21.499]  Right now I've got a few words for some of our brothers and sisters in the occupied zones.
[00:33:21.499 --> 00:33:23.701]  The chair is against the wall.
[00:33:23.701 --> 00:33:25.403]  John has a long mustache.
[00:33:25.403 --> 00:33:28.807]  This is the heart of 1776.
[00:33:28.807 --> 00:33:31.570]  It's 12 o'clock Americans, another day closer to victory.
[00:33:31.570 --> 00:33:35.755]  And for all of you out there on or behind the lines, this is your song.
[00:33:45.658 --> 00:33:47.721]  I've got a tiger!
[00:33:56.335 --> 00:33:58.216]  He never gives up.
[00:33:58.216 --> 00:34:05.020]  He's Alex Jones, broadcasting from deep in the heart of Texas, worldwide.
[00:34:05.020 --> 00:34:23.209]  Well, the global social engineers are trying to overwhelm us and break our will, while normalizing a corporate world government, a world ID, carbon taxes, social credit scores, bankrupting us so we're all on social
[00:34:24.465 --> 00:34:28.186]  Credit score controlled universal basic incomes.
[00:34:28.186 --> 00:34:47.169]  And whether you're in Europe or whether you're in the UK or Australia or Canada or the US, they had military psyops, they bragged the last two years, interfacing with the media and directing them to use mind control and fear and to quote brainwash the public.
[00:34:47.169 --> 00:34:51.790]  And then we told you this over a decade ago, but it's now come out mainstream news that
[00:34:52.864 --> 00:35:04.628]  The CIA and FBI here domestically, and their counterparts in places like the UK and the EU, are directly involved surveilling populists.
