[00:00.000 --> 00:22.000]  The Alex Jones show, because there is a war on, or your mind.
[39:57.000 --> 40:00.000]  Believe me, if I said it, it'd be very clear.
[40:00.000 --> 40:03.000]  And boy, I mean, we're in a lot of trouble at that point.
[40:03.000 --> 40:05.000]  You get put in prison for that.
[40:05.000 --> 40:07.000]  And I don't think that was what we need to do.
[40:07.000 --> 40:11.000]  We need to expose these liars and all of them aren't bad.
[40:11.000 --> 40:16.000]  So that's being raped.
[40:16.000 --> 40:18.000]  Oh, they're little fish.
[40:18.000 --> 40:30.000]  That's being raped when somebody lies about you and lies about who you are and then you don't have a voice to counter it.
[40:30.000 --> 40:31.000]  It pisses you off.
[40:31.000 --> 40:39.000]  Well, Kanye had a voice to counter it, but he couldn't do it like a little bitch and just go, I didn't really mean that.
[40:39.000 --> 40:40.000]  She stopped that canvas.
[40:40.000 --> 40:41.000]  I didn't really tell you that.
[40:41.000 --> 40:47.000]  No, she goes around saying, you know, and these incredibly gifted amazing people like me and Kanye.
[40:47.000 --> 40:52.000]  So Kanye is watching all this and it's just, it's gotten a little, a little heady.
[40:52.000 --> 40:54.000]  And look, Candice Owens is a smart, beautiful lady.
[40:54.000 --> 41:00.000]  Done a lot of great work, but she's gone from nowhere with Paul Watson helping launch her to the very top.
[41:00.000 --> 41:08.000]  And, you know, she got too big a head and started speaking like Kanye West was her running dog.
[41:08.000 --> 41:12.000]  And so he knocked it down.
[41:12.000 --> 41:22.000]  But if you read the, even the Atlantic, what Kanye West Trump phase meant, he's still saying individualism, think on your own.
[41:22.000 --> 41:23.000]  Love everybody.
[41:23.000 --> 41:24.000]  America is great.
[41:24.000 --> 41:35.000]  Capitalism, investment, Elon Musk, but he doesn't want to be pigeonholed just as a Republican and then have his identity taken by other people who don't even realize they're taking his identity.
[41:35.000 --> 41:38.000]  So I said, I'd cover Kanye West next segment. I just did it, didn't I?
[41:38.000 --> 41:40.000]  And so that's what it is.
[41:40.000 --> 41:44.000]  He's like, you're not going to launch clothing lines in my name.
[41:44.000 --> 41:45.000]  You're not going to own me.
[41:45.000 --> 41:47.000]  I'm not somebody for you to exploit.
[41:47.000 --> 41:49.000]  I don't let the record companies do that.
[41:49.000 --> 41:50.000]  I'm my own person.
[41:50.000 --> 41:56.000]  Don't become what I'm trying to get away from.
[41:56.000 --> 41:58.000]  So that's what happened with Kanye West.
[41:58.000 --> 42:04.000]  And I respect him, you know, more than ever because he doesn't need to become a Republican tool as well, which Trump knows.
[42:04.000 --> 42:06.000]  Trump's like, please don't come hug me.
[42:06.000 --> 42:07.000]  Stop. No.
[42:07.000 --> 42:09.000]  Kanye, just stop saying how much you love me.
[42:09.000 --> 42:11.000]  Because Trump's smart.
[42:11.000 --> 42:13.000]  He's like, man, this guy is an independent.
[42:13.000 --> 42:15.000]  He's going to really get hurt bad for this.
[42:15.000 --> 42:18.000]  He's already done so much with Jim Brown, everybody else.
[42:18.000 --> 42:21.000]  Kanye, I think you've already taken one for the team.
[42:21.000 --> 42:26.000]  You need to stop because he Trump's lost $2 billion doing this for the country.
[42:26.000 --> 42:32.000]  He's thinking, is Kanye really this damn tough that almost no one else can take what I take with Alex Jones takes?
[42:32.000 --> 42:34.000]  Can this guy take it?
[42:34.000 --> 42:36.000]  He's like, Kanye, can you take it?
[42:36.000 --> 42:38.000]  Because you really need to watch out, man.
[42:38.000 --> 42:41.000]  And boy went and hugged Trump and imagine what they're going to Kanye behind the scenes.
[42:41.000 --> 42:45.000]  But Kanye's kind of like, yeah, don't take advantage of me, Candace.
[42:45.000 --> 42:49.000]  And I'm going to kind of sit back here a little bit and I'm going to kind of pull back a little bit.
[42:49.000 --> 42:52.000]  But I still support freedom and think it's okay to be a Republican.
[42:52.000 --> 42:54.000]  You understand?
[42:54.000 --> 42:56.000]  Kanye West is an American man.
[42:56.000 --> 42:58.000]  So is Trump.
[42:58.000 --> 43:06.000]  Nourish a probiotic friendly environment in your gut with prebiotic fiber by Infowars Life.
[43:06.000 --> 43:14.000]  Help the good bacteria thrive and support overall digestive health with our specially formulated prebiotic fiber,
[43:14.000 --> 43:19.000]  a mixture of clinically studied and organic acacia fruit and flax fiber.
[43:19.000 --> 43:25.000]  Prebiotic fiber is soluble fiber that ferments in the gut to help feed good bacteria,
[43:25.000 --> 43:30.000]  which helps you digest food, absorb nutrients and even support your immune system.
[43:30.000 --> 43:37.000]  Infowars Life's cutting edge formula only brings you the highest quality organic and clinically studied ingredients.
[43:37.000 --> 43:42.000]  Cheap prebiotic fibers are used up only at the beginning of the colon,
[43:42.000 --> 43:52.000]  but our premium organic acacia fiber is slowly digested by the good bacteria throughout the entire colon for maximum prebiotic effect.
[43:52.000 --> 43:58.000]  Head to infowarslife.com or call 1-888-253-3139.
[44:23.000 --> 44:30.000]  The globalists now want to target where the resistance came from so that we're not pesky in the future.
[44:30.000 --> 44:33.000]  I want to be troublesome and pesky.
[44:33.000 --> 44:34.000]  I want to keep going.
[44:34.000 --> 44:38.000]  I want to make them do the ultimate not just destroy us financially.
[44:38.000 --> 44:40.000]  I want to push all the way.
[44:40.000 --> 44:41.000]  I've committed to do that.
[44:41.000 --> 44:44.000]  I've prayed for that and I've been told that's going to happen,
[44:44.000 --> 44:47.000]  but you've got to back us and I promise you this.
[44:47.000 --> 44:48.000]  I will never falter.
[44:48.000 --> 44:51.000]  I will never waver at the spiritual level.
[44:51.000 --> 45:00.000]  I physically will, but I give you my commitment if you financially support us at infowarslife.com to give you my absolute total commitment.
[45:00.000 --> 45:04.000]  We are kept afloat only by your loyal patronage,
[45:04.000 --> 45:06.000]  and that's why we need you to go to the site now.
[45:06.000 --> 45:12.000]  If you're not in the market for one of our greatest nutraceuticals, please consider a contribution.
[45:12.000 --> 45:22.000]  25, 50, 100, 250, or even $500 would be a godsend to our important work here to beat back the globalists
[45:22.000 --> 45:51.000]  and to destroy their campaign of censorship in which they want to strangle our first amendment rights.
[45:52.000 --> 45:57.000]  InfoWars official app, taken on the globalist at point blank range, and with your help spreading it,
[45:57.000 --> 46:00.000]  and with your help downloading it, we are unstoppable.
[46:00.000 --> 46:05.000]  Words cannot describe how big the stakes are for the future of humanity right now.
[46:05.000 --> 46:10.000]  InfoWars is being openly targeted by the Democratic Party, left to CIA operatives,
[46:10.000 --> 46:14.000]  the corrupt justice department, and the entire Soros crime syndicate.
[46:14.000 --> 46:16.000]  People say, why would you start a fight with them?
[46:16.000 --> 46:19.000]  Because they were already dominating and running America into the ground,
[46:19.000 --> 46:22.000]  and I knew we had no future if we didn't do this.
[46:22.000 --> 46:27.000]  So we've already had incredible success, but if you will simply realize how epic this is,
[46:27.000 --> 46:32.000]  and understand how real this fight is, and why we've been made the main target,
[46:32.000 --> 46:36.000]  and if you financially support us, and if you spread the word about our articles and videos,
[46:36.000 --> 46:42.000]  infowars.com, we won't just continue to stand up against these brutal scumbags, we'll win.
[46:42.000 --> 46:45.000]  We have huge sales, infowars.com right now,
[46:45.000 --> 46:49.000]  and we're still able to operate the shopping cart, get stuff shipped out to you,
[46:49.000 --> 46:53.000]  despite the fact we're trying to block our commerce, and you're right to the market.
[46:53.000 --> 46:57.000]  But if you don't stand up and support us financially, Soros the Global will swing with.
[46:57.000 --> 47:26.000]  This is InfoWars Darkest Hour, with your support, I'm counting on you.
[47:27.000 --> 47:38.000]  Crashing through the lies and disinformation, it's Alex Jones.
[47:38.000 --> 47:45.000]  That which does not kill us only makes us stronger.
