[00:00:18.470 --> 00:00:20.392]  It's Wednesday, November 18th.
[00:22:18.066 --> 00:22:18.266]  Every day!
[00:22:18.266 --> 00:22:18.526]  Every day!
[00:22:18.526 --> 00:22:18.987]  Every day!
[00:22:18.987 --> 00:22:19.187]  Every day!
[00:22:19.187 --> 00:22:19.387]  Every day!
[00:22:19.387 --> 00:22:19.607]  Every day!
[00:22:19.607 --> 00:22:19.867]  Every day!
[00:22:19.867 --> 00:22:20.328]  Every day!
[00:22:20.328 --> 00:22:20.548]  Every day!
[00:22:20.548 --> 00:22:20.748]  Every day!
[00:22:20.748 --> 00:22:20.949]  Every day!
[00:22:20.949 --> 00:22:21.209]  Every day!
[00:22:21.209 --> 00:22:21.669]  Every day!
[00:22:21.669 --> 00:22:21.869]  Every day!
[00:22:21.869 --> 00:22:22.070]  Every day!
[00:22:22.070 --> 00:22:22.270]  Every day!
[00:22:22.270 --> 00:22:22.550]  Every day!
[00:22:22.550 --> 00:22:22.991]  Every day!
[00:22:22.991 --> 00:22:23.211]  Every day!
[00:22:23.211 --> 00:22:23.411]  Every day!
[00:22:23.411 --> 00:22:23.611]  Every day!
[00:22:23.611 --> 00:22:23.871]  Every day!
[00:22:23.871 --> 00:22:24.332]  Every day!
[00:22:24.332 --> 00:22:24.532]  Every day!
[00:22:24.532 --> 00:22:24.732]  Every day!
[00:22:24.732 --> 00:22:24.973]  Every day!
[00:22:24.973 --> 00:22:25.173]  Every day!
[00:22:25.173 --> 00:22:25.873]  Every day!
[00:22:25.873 --> 00:22:26.094]  Every day!
[00:22:26.094 --> 00:22:26.314]  Every day!
[00:22:26.314 --> 00:22:26.514]  Every day!
[00:22:26.514 --> 00:22:26.714]  Every day!
[00:22:26.714 --> 00:22:26.955]  Every day!
[00:22:26.955 --> 00:22:27.155]  Every day!
[00:22:27.155 --> 00:22:27.355]  Every day!
[00:22:27.355 --> 00:22:27.655]  Every day!
[00:22:27.655 --> 00:22:27.855]  Every day!
[00:22:27.855 --> 00:22:28.276]  Every day
[00:22:30.419 --> 00:22:32.040]  We're going to act like the left.
[00:22:32.040 --> 00:22:34.041]  We are going to occupy the streets.
[00:22:34.041 --> 00:22:35.322]  We're going to get angry.
[00:22:35.322 --> 00:22:37.624]  We're going to show up without permits.
[00:22:37.624 --> 00:22:41.907]  We're going to show up at their homes, peacefully, but at their homes.
[00:22:41.907 --> 00:22:45.649]  Who's with us?
[00:22:45.649 --> 00:22:53.774]  What you'll need to know is today they found 10,000 votes that were tabulated for Biden erroneously.
[00:22:53.774 --> 00:22:54.535]  Magic, huh?
[00:22:58.186 --> 00:23:03.550]  They don't want us to take the time to slow this election down because they know what we'll catch.
[00:23:03.550 --> 00:23:04.771]  They're terrified.
[00:23:04.771 --> 00:23:10.316]  On Thursday, the Secretary of State is supposed to certify the election, and guess what?
[00:23:10.316 --> 00:23:12.137]  Bad Brad will.
[00:23:12.137 --> 00:23:15.600]  But Governor Kip is due on Friday at 5 p.m.
[00:23:15.600 --> 00:23:24.888]  If he doesn't serve, if he doesn't certify the election, we can go into constitutional limbo, which is what we want, so the state legislator can take back
[00:23:25.308 --> 00:23:26.789]  The Republican Party has failed us.
[00:23:26.789 --> 00:23:28.130]  We know there was a fraud.
[00:23:28.130 --> 00:23:29.611]  We saw it on Election Day.
[00:23:29.611 --> 00:23:31.533]  There is no question about it.
[00:23:31.533 --> 00:23:38.698]  And since Election Day, we have heard from our Republican representatives absolutely nothing!
[00:23:55.419 --> 00:23:58.201]  Nikki Haley has said nothing!
[00:23:58.201 --> 00:24:01.164]  Dan Crenshaw has said nothing!
[00:24:01.164 --> 00:24:06.108]  Marco Rubio, in fact, supports Biden stealing this election!
[00:24:06.108 --> 00:24:10.392]  I'm talking about Lindsey Graham giving Kamala Harris the fist bump on the floor.
[00:24:10.392 --> 00:24:12.954]  As far as I'm concerned, the Republican Party is over!
[00:24:12.954 --> 00:24:20.080]  So, you guys know, we are live here taking a feed from the InfoWars crew on the ground in Atlanta, Georgia at the State Capitol.
[00:24:20.933 --> 00:24:23.035]  You heard from Alex Jones on the bullhorn.
[00:24:23.035 --> 00:24:28.702]  Ali Alexander and Nick Puentes currently leading the charge as they are trying to steal this election in Georgia.
[00:24:31.054 --> 00:24:35.358]  And what Nick Voyntez just said is a million percent true.
[00:24:35.358 --> 00:24:37.980]  The Republican Party never liked Trump.
[00:24:37.980 --> 00:24:39.281]  They don't like populists.
[00:24:39.281 --> 00:24:40.322]  They don't like us.
[00:24:40.322 --> 00:24:43.504]  They're globalists that share power with the Democrats.
[00:24:43.504 --> 00:24:52.872]  But since we've awakened to globalism, and now it's a household understanding that America's fighting outside corrupt forces, this is just the beginning of the end of them.
[00:24:52.872 --> 00:24:55.174]  They're having to steal this out in the open.
[00:24:55.174 --> 00:24:57.235]  We forced the globalists out in the open.
[00:24:57.235 --> 00:24:59.277]  They had to put a walking corpse up there
[00:24:59.737 --> 00:25:01.858]  Alex Jones has been right about everything!
[00:25:29.855 --> 00:25:32.641]  What we're seeing... Alex!
[00:25:32.641 --> 00:25:33.583]  Alex!
[00:25:33.583 --> 00:25:34.485]  Alex!
[00:25:34.485 --> 00:25:34.826]  Alex!
[00:25:41.061 --> 00:25:47.066]  This is not about the fake Republican Party or the fake Democratic Party.
[00:25:47.066 --> 00:25:53.931]  This is about the global special interests versus we, the American people!
[00:25:53.931 --> 00:25:55.993]  We the people!
[00:25:55.993 --> 00:25:56.774]  We the people!
[00:25:56.774 --> 00:25:57.334]  We the people!
[00:25:57.334 --> 00:26:02.518]  Alright, ladies and gentlemen, powerful sights and sounds from the State Capitol building in Atlanta, Georgia.
[00:26:02.518 --> 00:26:05.841]  Alex Jones, Nick Fuentes, Ali Alexander leading the charge there.
[00:26:05.841 --> 00:26:06.542]  This is incredible.
[00:26:07.529 --> 00:26:17.239]  A Democrat stronghold, and for the second week in a row, we have rallied massive numbers of patriots out there, and I do believe it's going to get bigger.
[00:26:17.239 --> 00:26:28.471]  Folks, before we take this break and come back, and we'll continue our live coverage of this, and I also have news I'm going to get into, a lot of it breaking, developing right now, as far as the theft is concerned of our election.
[00:26:30.020 --> 00:26:39.626]  Everything we do here, folks, being on air, having the crew, flying out to all these things, having to stop the steel caravan, it's all possible with your support at InfoWarsTore.com.
[00:26:39.626 --> 00:26:50.914]  So, in this short four-minute break, go to InfoWarsTore.com, buy a t-shirt, buy one of the great supplements, buy an air filter, buy a water filter, get yourself some emergency food supplies.
[00:26:50.914 --> 00:26:52.715]  InfoWarsTore.com.
[00:26:52.715 --> 00:26:55.357]  Fuel this ship of information.
[00:26:55.817 --> 00:26:56.979]  Remember Hillary Clinton?
[00:26:56.979 --> 00:26:57.900]  Remember Pelosi?
[00:26:57.900 --> 00:26:58.861]  Remember Bill Clinton?
[00:26:58.861 --> 00:27:00.283]  Remember Obama?
[00:27:00.283 --> 00:27:05.069]  All of them said, we are not going to concede if there's a red mirage.
[00:27:05.069 --> 00:27:08.994]  We believe it's going to look like Trump's going to win a landslide if they have the internal polls.
[00:27:08.994 --> 00:27:10.195]  And indeed, Trump won.
[00:27:10.956 --> 00:27:13.818]  Most of the states he won last time by an even bigger margin.
[00:27:13.818 --> 00:27:20.343]  And when he was set to win the other ones, they froze these seven states on election night.
[00:27:20.343 --> 00:27:22.885]  And then they brought in all of the reserve ballots they had.
[00:27:22.885 --> 00:27:23.806]  This is completely transparent.
[00:27:23.806 --> 00:27:26.908]  So when they say that he is president-elect, he's not.
[00:27:26.908 --> 00:27:27.849]  Trump has not conceded.
[00:27:27.849 --> 00:27:29.930]  None of the states have certified the vote.
[00:27:29.930 --> 00:27:32.132]  And now all these investigations have been opened up.
[00:27:32.132 --> 00:27:37.756]  And avalanches, mountains, oceans of election fraud has come out and already been documented.
[00:27:37.756 --> 00:27:38.357]  And in Georgia,
[00:27:39.057 --> 00:27:41.558]  Officials are on record saying we've already found fraud.
[00:27:41.558 --> 00:27:43.839]  So ladies and gentlemen, the fix is in.
[00:27:43.839 --> 00:27:47.760]  They've run bigger and bigger hoaxes every time, because the last hoax failed.
[00:27:47.760 --> 00:27:52.442]  But now, this is the mother of all hoaxes, and if they get away with this, it's the end of America as we know it.
[00:27:52.442 --> 00:27:54.062]  We will beat Venezuela.
[00:27:54.062 --> 00:27:54.843]  Infowars.com
[00:27:55.723 --> 00:27:58.184]  America is in crisis.
[00:27:58.184 --> 00:28:03.046]  Emergency Lockdown 2 is coming under Biden.
[00:28:03.046 --> 00:28:09.308]  Support InfoWars, the fight against total economic collapse and Biden's martial law disguised as Lockdown 2.
[00:28:09.308 --> 00:28:17.871]  Up to 60% off, plus free shipping and triple patriot points and more at InfoWarsStore.com, DNA Force, plus Alpha Power back in stock.
[00:28:18.231 --> 00:28:27.097]  BODY's Ultimate Turmeric Formula, Ultra 12, Vitamin Mineral Fusion, Cava Chill, Super Metal Vitality, Super Female, and so many other amazing products.
[00:28:27.097 --> 00:28:31.400]  These are game-changing things that the globalists don't need to have.
[00:28:31.400 --> 00:28:36.444]  These are things that are absolutely elemental to what you and your body have to have to live.
[00:28:36.444 --> 00:28:40.807]  But regardless, buying these products from us funds the Info Wars, which is a 360 win.
[00:28:40.987 --> 00:28:42.287]  I want to thank you all for your support.
[00:28:42.287 --> 00:28:44.188]  I want to ask you to redouble your efforts to spread the word.
[00:28:44.188 --> 00:28:45.888]  I want to ask you to buy the products.
[00:28:45.888 --> 00:28:47.148]  Memphistore.com today.
[00:28:47.148 --> 00:28:48.869]  Because without you, we won't be on the air.
[00:28:48.869 --> 00:28:51.469]  Again, I salute you and thank you all.
[00:28:51.469 --> 00:28:53.410]  The toll-free number is 888-253-3139.
[00:28:53.410 --> 00:28:55.750]  Please take action today in our emergency center.
[00:28:55.750 --> 00:29:02.432]  Urgent warnings are being issued right now by the United Nations, the Davos Group, Bank of America, JPMorgan Chase, Goldman Sachs.
[00:29:02.432 --> 00:29:03.992]  They're saying that the COVID virus
[00:29:04.512 --> 00:29:04.753]  We're good.
[00:29:26.815 --> 00:29:30.277]  That's when we got the Geneva Convention and the Nuremberg Code.
[00:29:30.277 --> 00:29:39.240]  This is a medical, world government, tyrannical takeover, causing starvation, setting up world IDs, and coming with forced inoculations.
[00:29:39.240 --> 00:29:44.303]  And now Bank of America says global unrest is sure to trigger an even bigger depression.
[00:29:44.303 --> 00:29:46.083]  That story's on Infowars.com.
[00:29:46.083 --> 00:29:54.347]  That's why it's vital for all of you to be public and to say you do not stand for this or the mass global genocide being caused by the planetary Great Reset.
[00:29:58.820 --> 00:30:14.893]  You're listening to the Alex Jones Show.
[00:30:14.893 --> 00:30:18.696]  You are back live on the Alex Jones Show.
[00:30:18.696 --> 00:30:23.480]  Did you go to InfoWarsTore.com during that short break?
[00:30:23.480 --> 00:30:25.802]  I hope you did.
[00:30:25.802 --> 00:30:27.143]  The fun of this mothership
[00:30:28.166 --> 00:30:28.926]  of information.
[00:30:28.926 --> 00:30:34.227]  The Paul Revere of modern day media.
[00:30:34.227 --> 00:30:37.128]  Alex Jones is leading the charge in Atlanta, Georgia right now.
[00:30:37.128 --> 00:30:45.090]  Nick Fuentes, Ali Alexander also on the scene with what appears to be at least a couple hundred patriots there in Atlanta.
[00:30:45.090 --> 00:30:51.711]  Second week in a row we've been able to activate and organize a large crowd of people in Atlanta at the state capitol.
[00:30:51.711 --> 00:30:53.671]  Let's go back live now.
[00:30:53.671 --> 00:30:56.512]  Nick Fuentes currently on the bullhorn in front of the capitol building.
[00:30:57.839 --> 00:30:59.181]  Hold on, this way, this way.
[00:30:59.181 --> 00:31:04.347]  And I don't know about you, but I'm laying it all on the line for this fight!
[00:31:07.493 --> 00:31:09.814]  That's why we're touring the state capitals!
[00:31:09.814 --> 00:31:14.575]  I was in Lansing, and we were in the Million MAGA March in D.C.
[00:31:14.575 --> 00:31:18.635]  just this Saturday, and we're in Georgia now.
[00:31:18.635 --> 00:31:26.017]  And if we don't secure the 16 electoral college votes from Georgia, it very well may be over altogether.
[00:31:26.017 --> 00:31:35.679]  And that's why we have to turn out tomorrow, and the next day, and the day after that, and the day after that, and every single day, until they allocate those votes!
[00:31:36.059 --> 00:31:39.841]  For our rightful president, Donald Trump!
[00:31:39.841 --> 00:31:42.842]  We want Trump!
[00:31:42.842 --> 00:31:44.262]  We want Trump!
[00:31:44.262 --> 00:31:45.663]  We want Trump!
[00:31:45.663 --> 00:31:47.084]  We want Trump!
[00:31:47.084 --> 00:31:48.464]  We want Trump!
[00:31:48.464 --> 00:31:49.805]  We want Trump!
[00:31:49.805 --> 00:31:51.205]  We want Trump!
[00:31:51.205 --> 00:31:52.966]  We want Trump!
[00:31:52.966 --> 00:31:59.689]  And if we don't get him, the trucker strike that is coming up this month is only the beginning!
[00:32:02.168 --> 00:32:04.869]  Because we are the American people!
[00:32:04.869 --> 00:32:07.350]  We make the trades run on time!
[00:32:07.350 --> 00:32:09.031]  We deliver the goods!
[00:32:09.031 --> 00:32:13.853]  And we will shut this country down!
[00:32:29.472 --> 00:32:29.872]  Bernie!
[00:32:29.872 --> 00:32:30.213]  Bernie!
[00:32:30.213 --> 00:32:30.393]  Bernie!
[00:32:30.393 --> 00:32:30.693]  Bernie!
[00:32:30.693 --> 00:32:30.993]  Bernie!
[00:32:30.993 --> 00:32:31.593]  Bernie!
[00:32:31.593 --> 00:32:31.834]  Bernie!
[00:32:31.834 --> 00:32:32.054]  Bernie!
[00:32:32.054 --> 00:32:32.634]  Bernie!
[00:32:32.634 --> 00:32:33.174]  Bernie!
[00:32:33.174 --> 00:32:33.414]  Bernie!
[00:32:33.414 --> 00:32:33.835]  Bernie!
[00:32:33.835 --> 00:32:34.675]  Bernie!
[00:32:34.675 --> 00:32:35.055]  Bernie!
