[00:00:00.369 --> 00:00:03.510]  We've got it, brother.
[01:40:47.826 --> 01:40:56.879]  Every cop I've talked to who pulls up to a house with a woman dancing around naked with butcher knives, talked to one cop from Houston about it, they knew immediately when they went in her house.
[01:40:57.580 --> 01:41:05.086]  That this woman up there cutting herself, they went right to her medicine cabinet, every case opened it up, serotonin reuptake inhibitors were all in there.
[01:41:05.086 --> 01:41:08.489]  I mean, it's a hallucinogen!
[01:41:08.489 --> 01:41:10.591]  You might as well be taking PCP!
[01:41:10.591 --> 01:41:12.872]  I'm sorry, go ahead.
[01:41:12.872 --> 01:41:19.838]  My question is, we're an active duty military family, so he's being treated at a military facility.
[01:41:19.838 --> 01:41:23.201]  Is there anything, what are we allowed to say no to?
[01:41:24.428 --> 01:41:35.699]  Well, number one, when you go to the military, you waive your rights, and you agree to take approved, mainline, non-experimental, standard vaccines.
[01:41:35.699 --> 01:41:39.282]  That's around 36 different injections for an adult.
[01:41:39.282 --> 01:41:41.484]  But a lot of them are combo shots, so it can be up in the 50s.
[01:41:44.092 --> 01:41:44.513]  I don't
[01:41:59.901 --> 01:42:04.863]  Now, as for your children, this has been fought over and over again.
[01:42:04.863 --> 01:42:13.147]  If they try to lie to you and say you've got to take shots to be here, that is official oppression, racketeering, fraud.
[01:42:13.147 --> 01:42:13.627]  It's a lie.
[01:42:13.627 --> 01:42:19.710]  There's no law you have to take a shot, but I had six years ago
[01:42:21.259 --> 01:42:23.060]  It made national news when I got him on.
[01:42:23.060 --> 01:42:30.285]  I had the state attorney for Maryland on, one of the state attorneys, and they had this event where...
[01:42:31.411 --> 01:42:36.596]  They reported 2,000 children and their parents had to be inoculated to go to school.
[01:42:36.596 --> 01:42:39.498]  They had dogs barking at them and shots.
[01:42:39.498 --> 01:42:41.620]  And I got him on and I said, you never told them there was a waiver.
[01:42:41.620 --> 01:42:43.021]  And he goes, no, I didn't.
[01:42:43.021 --> 01:42:44.082]  He started laughing.
[01:42:44.082 --> 01:42:45.603]  And I go, do you inoculate your kids?
[01:42:45.603 --> 01:42:46.865]  He started laughing.
[01:42:46.865 --> 01:42:48.326]  He said, no, I don't inoculate them.
[01:42:48.326 --> 01:42:52.490]  He thought it was cute that they lied and said it was the law.
[01:42:52.490 --> 01:42:54.852]  He thought it was cute his kids don't take it.
[01:42:54.852 --> 01:42:57.114]  See, that's what these people are, psychopaths.
[01:42:57.114 --> 01:42:58.275]  We'll be right back with more calls.
[01:43:01.069 --> 01:43:07.751]  When you're out on the road, the last place you want to be is on the road.
[01:43:07.751 --> 01:43:12.892]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[01:43:12.892 --> 01:43:21.614]  There's a place down in Tennessee, where they make blue diamond gusset jeans.
[01:43:21.614 --> 01:43:25.675]  They sew pride in every stitch.
[01:43:25.675 --> 01:43:27.636]  Guarantee you'll love the way they fit.
[01:43:30.120 --> 01:43:34.723]  They put a Diamond Gusset in the crotch where you need it most.
[01:43:34.723 --> 01:43:38.545]  Blue Diamond Gussets got it.
[01:43:38.545 --> 01:43:39.766]  Others don't.
[01:43:39.766 --> 01:43:41.927]  We turn jeans inside out.
[01:43:41.927 --> 01:43:43.708]  Diamond Gusset Jeans.
[01:43:43.708 --> 01:43:46.590]  Made in the USA with unparalleled quality.
[01:43:46.590 --> 01:43:53.214]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection so you can ride all day with confidence.
[01:43:53.214 --> 01:43:55.916]  Order yours at gusset.com.
[01:43:55.916 --> 01:43:58.297]  Diamond Gusset Jeans got it.
[01:43:58.297 --> 01:43:59.158]  Others don't.
[01:44:01.693 --> 01:44:06.377]  Alex Jones here with vital information concerning our nation's fragile food supply.
[01:44:06.377 --> 01:44:12.822]  Folks, there are some truly dangerous trends forming, and I think it's important for my listeners to do three things right away.
[01:44:12.822 --> 01:44:15.104]  Number one, study the past.
[01:44:15.104 --> 01:44:17.486]  History really does repeat itself.
[01:44:17.486 --> 01:44:21.208]  Number two, learn to spot the dangerous food shortage trends.
[01:44:22.341 --> 01:44:25.422]  Number three, take decisive action.
[01:44:25.422 --> 01:44:29.263]  A perfect storm is brewing, or a global food crisis.
[01:44:29.263 --> 01:44:37.726]  That's why I'm telling everyone to read the new book, Rising Crisis Empty Shelves, warning signs that trigger the deadliest famines in history.
[01:44:38.306 --> 01:44:41.708]  Don't get caught unprepared when the crisis hits.
[01:44:41.708 --> 01:44:46.212]  This book is only available at risingpricesemptyshelves.com.
[01:44:46.212 --> 01:44:51.155]  You'll also get a free copy of Supermarket Survival, How to Cut Your Grocery Bills in Half.
[01:44:51.155 --> 01:44:55.778]  Again, that website is risingpricesemptyshelves.com.
[01:44:55.778 --> 01:44:57.939]  That's risingpricesemptyshelves.com.
[01:45:00.882 --> 01:45:16.348]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[01:45:16.348 --> 01:45:20.029]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[01:45:21.041 --> 01:45:33.813]  Not only does the Silver Lung System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[01:45:33.813 --> 01:45:41.080]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[01:45:41.761 --> 01:45:52.149]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.silverlungs.com to learn more about how the Silver Lungs System works.
[01:45:52.149 --> 01:45:56.071]  As well, we are always ready to answer any questions you may have.
[01:45:56.071 --> 01:45:59.174]  That's www.silverlungs.com.
[01:46:00.902 --> 01:46:02.604]  Hi folks, this is Alex Jones.
[01:46:02.604 --> 01:46:07.910]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[01:46:07.910 --> 01:46:09.452]  Saving means to make money.
[01:46:09.452 --> 01:46:18.242]  The Calbin Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[01:46:18.963 --> 01:46:26.508]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[01:46:26.508 --> 01:46:34.513]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[01:46:34.513 --> 01:46:39.736]  If you want something better, if you want something you've never had before, you have to do something you've never done before.
[01:46:39.736 --> 01:46:41.897]  Getting a free catalog is easy by calling 800-340-7091.
[01:46:44.639 --> 01:46:45.499]  Coast to Coast.
[01:46:45.499 --> 01:46:47.080]  Direct from Austin.
[01:46:47.080 --> 01:46:50.341]  You're listening to the Alex Jones Broadcasting Network.
[01:47:20.288 --> 01:47:24.471]  On the march, the empire is on the run.
[01:47:24.471 --> 01:47:29.394]  Alex Jones and the GCN Radio Network.
[01:47:29.394 --> 01:47:32.556]  Alright, well we got about ten and a half minutes here.
[01:47:32.556 --> 01:47:36.339]  We're back tomorrow, 11am central.
[01:47:36.339 --> 01:47:40.762]  And I want to get to all the callers, at least that are holding.
[01:47:40.762 --> 01:47:43.964]  So let's go to you directly right now.
[01:47:43.964 --> 01:47:46.346]  Let's talk to Phil in California.
[01:47:46.346 --> 01:47:47.307]  Phil, you're on the air.
[01:47:47.307 --> 01:47:47.627]  Welcome.
[01:47:48.601 --> 01:47:51.905]  Hey Alex, I just had to ask your advice about something.
[01:47:51.905 --> 01:47:54.067]  Okay.
[01:47:54.067 --> 01:47:59.173]  Well basically, I'm sure that you're aware of the weekend of September 11th.
[01:47:59.173 --> 01:48:04.820]  It's going to be a lot of propaganda at football games across the nation.
[01:48:07.898 --> 01:48:12.521]  By the way, it's being reported by CNN that no 9-11 first responders are allowed.
[01:48:12.521 --> 01:48:18.605]  The actual heroes of 9-11, because they're all angry about the asbestos and the government knowingly lying to them.
[01:48:18.605 --> 01:48:29.393]  That's how evil this government is, and they're going to use those heroes to make themselves look like heroes, but the heroes aren't allowed to be there.
[01:48:29.393 --> 01:48:31.094]  Yes, that's disgusting.
[01:48:31.676 --> 01:48:57.032]  Well, pretty much, I play football here at a college in California and I was looking for a way to protest because I have a feeling they're going to be bringing out the military and spouting off about terrorists and the day the world changed and all this and something I could do, maybe a sit down or... Wow, I tell you, I could talk for hours with you about different ideas.
[01:48:57.032 --> 01:48:58.153]  I would do something like
[01:49:00.509 --> 01:49:05.272]  Print off a few thousand flyers with basic 9-11 facts.
[01:49:05.272 --> 01:49:10.675]  The smoking guns of 9-11, that's a good thing to search and pull up those 300 smoking guns.
[01:49:10.675 --> 01:49:14.658]  And point out that they're now rebranding terrorism to domestic groups.
[01:49:14.658 --> 01:49:23.283]  I'd print off a bunch of copies of Fox News and AP that the number 3 in Al Qaeda secretly works for the Pentagon.
[01:49:23.283 --> 01:49:24.884]  That's what I'd do, Phil.
[01:49:24.884 --> 01:49:27.085]  I would just point out that
[01:49:28.976 --> 01:49:38.223]  That, regardless of what you think about 9-11, it's been used to take our freedoms away, and that 9-11 shouldn't be a tool to kill America.
[01:49:38.223 --> 01:49:41.465]  Yeah, I agree, Alex.
[01:49:41.465 --> 01:49:48.510]  One thing, it is going to be hard as I am going to be going through drills and everything on the field.
[01:49:48.510 --> 01:49:53.393]  I'd like to get out, but I'm only... I'm restricted to what I can do.
[01:49:53.393 --> 01:49:54.074]  Well, do this!
[01:49:54.074 --> 01:49:54.434]  Do this!
[01:49:56.167 --> 01:49:59.708]  Get a good 9-11 documentary and make 20 copies and give it to 20 people.
[01:49:59.708 --> 01:50:01.649]  You don't have to save the world by yourself.
[01:50:01.649 --> 01:50:04.310]  It's little things that build up to big things, Phil.
[01:50:04.310 --> 01:50:06.830]  I appreciate your call.
[01:50:06.830 --> 01:50:08.691]  Let's talk to Justin in Missouri.
[01:50:08.691 --> 01:50:09.771]  Justin, you're on the air.
[01:50:09.771 --> 01:50:10.171]  Go ahead.
[01:50:10.171 --> 01:50:12.772]  Hey, thanks for taking my call.
[01:50:12.772 --> 01:50:14.213]  Yes, sir.
[01:50:14.213 --> 01:50:22.175]  I just wanted to... Everybody's talking about Ron Paul and, you know, I agree we need to get him in office, but everybody needs to realize also that
[01:50:23.197 --> 01:50:28.739]  We need to put some people in the Congress and the Senate to back him up as well, because that happens in that election cycle as well.
[01:50:28.739 --> 01:50:30.500]  Hey, listen!
[01:50:30.500 --> 01:50:34.262]  The Federal Reserve is incredibly unpopular in every poll now.
[01:50:34.262 --> 01:50:37.903]  Rick Perry's having to act like he's anti-Federal Reserve to try to get elected.
[01:50:37.903 --> 01:50:39.204]  Look at how far we've come.
[01:50:39.204 --> 01:50:41.865]  Ron Paul, Rand Paul, they're only a manifestation.
[01:50:41.865 --> 01:50:42.365]  I agree.
[01:50:42.365 --> 01:50:49.628]  Everyone should run on the ideas of liberty articulated by Ron Paul, and it's a winning formula.
[01:50:50.308 --> 01:50:56.231]  We just, and even if you don't win the first time, you're going to educate people in those debates, in those interviews.
[01:50:56.231 --> 01:51:02.375]  Whether it's city council, water district, state legislature, just do it!
[01:51:02.375 --> 01:51:09.999]  Yeah, but I mean the people as well, to vote some like-minded folks into the Senate and the Congress to help them.
[01:51:09.999 --> 01:51:12.521]  You know, because as you said before, one guy can't do it all.
[01:51:13.868 --> 01:51:29.652]  Well, one guy can't, but again, going back to what I'm saying, how big a manifestation is it of liberty that he was an underdog candidate three and a half years ago, and now, any way you slice it, even AP's on analysis agrees, so does the Pew Research, that he is number one or number two.
[01:51:29.652 --> 01:51:32.533]  I mean, he really is the frontrunner right now.
[01:51:32.533 --> 01:51:36.794]  He is the frontrunner, even with the media trying to ignore him.
[01:51:36.794 --> 01:51:38.615]  That shows us how far we've come.
[01:51:39.575 --> 01:51:42.057]  Yeah, and I've been calling my local shows here in St.
[01:51:42.057 --> 01:51:49.202]  Louis, and it's like every time I tell them I want to talk about Ron Paul or Rick Perry, it's like I wait two hours and the show ends and they never come to me.
[01:51:50.290 --> 01:51:56.474]  Well, I'm telling you, you can call in about another political issue and then bring up what you want once you get on air.
[01:51:56.474 --> 01:52:01.757]  This whole call screening business, I only screen calls when we've got a specific topic.
[01:52:01.757 --> 01:52:06.800]  And there is a talking point out there to attack Ron Paul.
[01:52:06.800 --> 01:52:10.742]  Most of these local talk show hosts are not government agents.
[01:52:10.742 --> 01:52:11.943]  They're weak-minded idiots.
[01:52:12.463 --> 01:52:18.186]  Who think if they regurgitate what CNN and Fox News say, that makes them sound real good.
[01:52:18.186 --> 01:52:22.508]  No, we're not talking about Ron Paul while we look at other candidates because he can't win.
[01:52:22.508 --> 01:52:25.869]  We say so!
[01:52:25.869 --> 01:52:27.370]  That's disgusting.
[01:52:27.370 --> 01:52:30.151]  Let's go ahead and talk to Skye in Washington.
[01:52:30.151 --> 01:52:31.752]  Skye, you're on the air.
[01:52:31.752 --> 01:52:33.212]  Hi, Alex.
[01:52:33.212 --> 01:52:37.974]  We're talking about FEMA, so I want to talk about this Border Patrol situation going on up here by the border.
[01:52:40.350 --> 01:53:04.056]  We had like four agents over in Port Angeles, that's kind of near the coast in Washington, and now they got it up to 40, and even the people that work there, there was one agent who came out in public and said we're not doing anything besides driving around and trying to make work for us because they're responding to everything from bank robberies to domestic violence situations and trailer parking.
[01:53:04.056 --> 01:53:07.017]  No, no, I saw those articles all over the northern border.
[01:53:07.901 --> 01:53:11.883]  And of course, you're up there in Washington, right on the Canadian border.
[01:53:11.883 --> 01:53:25.728]  All over the Canadian border, they're sending the Border Patrol to regular events, and they're building a fence up there in many areas, instead of doing it in the South where it's needed, because they don't want Americans to get out during a depression.
[01:53:25.728 --> 01:53:29.810]  They're locking the country down where you can't get out, you can just get in.
[01:53:30.831 --> 01:53:32.574]  And so that's what's going on.
[01:53:32.574 --> 01:53:43.029]  And look, I've got an article right here out of CBS News where they just calmly report, yeah, the Air Force helped rob, excuse me, Freudian slip, helped raid a gun shop.
[01:53:45.047 --> 01:53:51.793]  And again, I see articles every two days now where Marines respond to robbery.
[01:53:51.793 --> 01:53:56.337]  Marines, Army running checkpoints ten miles from base.
[01:53:56.337 --> 01:53:58.679]  And it's totally illegal.
[01:53:58.679 --> 01:54:02.142]  But it's illegal for Obama to be launching wars without congressional approval.
[01:54:02.955 --> 01:54:05.177]  I mean, it's very scary, Skye.
[01:54:05.177 --> 01:54:10.840]  Well, they're also working with the local police departments in this program called Operation Stone Garden.
[01:54:10.840 --> 01:54:19.446]  It's a FEMA program or something to try to... I don't know what they're doing with, really, with the local... Sir, they've come in with federal money that was taken from the states to begin with.
[01:54:19.446 --> 01:54:21.567]  They've set up threat fusion centers.
[01:54:21.567 --> 01:54:23.749]  And I've gotten training videos from inside.
[01:54:23.749 --> 01:54:24.469]  I've aired them.
[01:54:24.469 --> 01:54:26.010]  It's been national news.
[01:54:26.010 --> 01:54:32.595]  And all they do is talk about, in the fetters, get us out of the U.N.ers, anti-globalists and how evil veterans are.
[01:54:33.275 --> 01:54:37.457]  I mean, they actually, with a straight face, none of this has to do with Al-Qaeda.
[01:54:37.457 --> 01:54:49.222]  Even if you believe the fairytale about Bin Laden and the fairytale, all of this stuff, the whole thing is about Americans that don't want foreign banks coming in like we're a third world country and taking us over.
[01:54:49.222 --> 01:54:49.722]  Okay?
[01:54:49.722 --> 01:54:50.162]  It's simple.
[01:54:50.162 --> 01:54:51.263]  We're being conquered.
[01:54:51.263 --> 01:54:52.363]  I appreciate your call.
[01:54:52.363 --> 01:54:53.563]  Tim in Connecticut.
[01:54:53.563 --> 01:54:54.144]  You're on the air.
[01:54:54.144 --> 01:54:54.464]  Go ahead.
[01:54:55.376 --> 01:54:57.317]  Hi Alex, thanks for taking my call.
[01:54:57.317 --> 01:54:58.918]  Thank you.
[01:54:58.918 --> 01:54:59.519]  I'm a U.S.
[01:54:59.519 --> 01:55:05.202]  Navy veteran, and I got out in the early 90s and I have a home remodeling business here in Connecticut.
[01:55:05.202 --> 01:55:12.507]  And about three, three and a half years ago, I worked for a White House staffer, who I really don't want to get anybody in trouble, I don't want to see their name.
[01:55:13.327 --> 01:55:15.248]  But after they found out I was a U.S.
[01:55:15.248 --> 01:55:21.091]  Navy veteran, they slowly confided in me for about, you know, a year on and off that I worked there.
[01:55:21.091 --> 01:55:28.794]  And they told me, I was informed that, yes, there is a plan for martial law in the United States.
[01:55:28.794 --> 01:55:34.377]  And not only that, that we will see United Nations troops in our streets.
[01:55:34.377 --> 01:55:37.699]  And this is right when Obama was running for
[01:55:39.261 --> 01:55:52.526]  Well, by the way, if new listeners just tuned in, I was first told this by generals and colonels we interviewed who were retired who went to events and these speeches were given, but now it's official.
[01:55:52.526 --> 01:55:55.207]  NLE09, FEMA put out a press release, you just type in NLE09.
[01:55:56.727 --> 01:55:59.528]  That 14 countries are prepared to enter the U.S.
[01:55:59.528 --> 01:56:04.069]  for civil emergencies, including Mexican and Canadian troops, and then they use, quote, U.S.
[01:56:04.069 --> 01:56:05.950]  troops in Canada for the Olympics.
[01:56:05.950 --> 01:56:10.451]  So, yes, sir, what they were confiding in you is public.
[01:56:10.451 --> 01:56:11.851]  See, that's what's crazy.
[01:56:11.851 --> 01:56:13.252]  This is all public.
[01:56:13.252 --> 01:56:16.633]  They're just counting on the general population not going and looking this up.
[01:56:17.333 --> 01:56:20.858]  And again, they're doing it because the banks have taken us over.
[01:56:20.858 --> 01:56:25.825]  They got their people in all the positions of power and then had our government sign on to their debt.
[01:56:25.825 --> 01:56:26.445]  You understand that?
[01:56:27.287 --> 01:56:35.731]  And one of the other things, one of the other issues I used to bring up, every time I said Obama, they said, Tim, it's not Obama, it's Rothschild.
[01:56:35.731 --> 01:56:38.413]  They are in control of all of it.
[01:56:38.413 --> 01:56:39.673]  It's the Rothschild family.
[01:56:39.673 --> 01:56:41.814]  They'd almost scream it in my face at times.
[01:56:41.814 --> 01:56:45.376]  I'd get so frustrated because, you know, I'm always searching for answers.
[01:56:45.376 --> 01:56:52.580]  And they'd give me limited information, and let me read things, and then... You can't take it with you, but we just want you to know.
[01:56:53.910 --> 01:56:56.313]  So they seem tortured by this.
[01:56:56.313 --> 01:56:58.675]  I talked to a very well-known doctor.
[01:56:58.675 --> 01:57:00.957]  I'm just going to leave that alone.
[01:57:00.957 --> 01:57:05.141]  They've been on the show, but I won't say their name in association with it.
[01:57:05.141 --> 01:57:12.567]  And they were told by a head of state in Europe, a major head of state, a woman, not hard to figure out who,
[01:57:13.835 --> 01:57:20.899]  That she's very sad about the fact that once the world government's in place, that they're going to release a bioweapon and kill most of us.
[01:57:20.899 --> 01:57:23.040]  But that's just what's going to happen.
[01:57:23.040 --> 01:57:25.061]  Ladies and gentlemen, this isn't a game.
[01:57:25.061 --> 01:57:37.408]  Once their world government's in place, once it's in place, all of you police, all of you people that have served the system, you are not going to believe what happens to you while you're there dying with your family.
[01:57:39.082 --> 01:57:40.004]  I'm out of time.
[01:57:40.004 --> 01:57:40.986]  Great job of the crew.
[01:57:40.986 --> 01:57:43.109]  I'm sorry to Dave and Justin and Danny.
[01:57:43.109 --> 01:57:44.011]  You call me back tomorrow.
[01:57:44.011 --> 01:57:45.073]  I'll get to you 11 a.m.
[01:57:45.073 --> 01:57:45.414]  Central.
[01:57:45.414 --> 01:57:47.978]  Now get out there and take on the tyrants and wake up!
