[00:00.000 --> 00:17.440]  It's hard to believe it's already Monday, the 21st day of August 2017, but it is.
[38:20.760 --> 38:23.760]  Get out of his car to go get some fast food.
[38:23.760 --> 38:26.760]  Guy runs up screaming, you're a Nazi, you're a Nazi.
[38:26.760 --> 38:30.760]  You look like a Nazi. Start stabbing.
[38:30.760 --> 38:34.760]  Start stabbing in the neck.
[38:34.760 --> 38:39.760]  Meanwhile, the total eclipse of the sun has begun in Oregon.
[38:39.760 --> 38:41.760]  The prime place to see 99% of it.
[38:41.760 --> 38:46.760]  And what does the Atlantic monthly elite publication?
[38:46.760 --> 38:50.760]  I see elite, they're the ones that, you know, call for reeducation camps and taking your guns
[38:50.760 --> 38:53.760]  and overthrowing Trump and how to install a new government.
[38:53.760 --> 38:58.760]  The eclipse is racist because it fails to affect enough black people.
[38:58.760 --> 39:04.760]  The Atlantic suggests still an eclipse chaser has always tipped to believe
[39:04.760 --> 39:07.760]  that the skies are relaying a message.
[39:07.760 --> 39:09.760]  Talk about insanity.
[39:09.760 --> 39:13.760]  The Atlantic, a once great magazine has determined that the total eclipse of the sun
[39:13.760 --> 39:17.760]  due to occur on Monday will fall and will fail to affect enough black people.
[39:17.760 --> 39:22.760]  The Atlantic's very lengthy essay because it makes you really lengthy on something insane.
[39:22.760 --> 39:24.760]  You know, it's true.
[39:24.760 --> 39:28.760]  On the failure of the eclipse to occur, where a significant number of black people reside
[39:28.760 --> 39:36.760]  entitled American blackout, it clocks in at a remarkable 4,544 words
[39:36.760 --> 39:39.760]  and does not appear to be satire.
[39:39.760 --> 39:44.760]  Concerning the great American eclipse, Brooklyn law professor Alice Ristroff writes
[39:44.760 --> 39:51.760]  that the rapidly deteriorating magazine, there lived almost no black people along most of its path.
[39:51.760 --> 39:57.760]  The Atlantic's long-winded law professor argues readers that implicit bias of the solar system
[39:57.760 --> 40:04.760]  is presumably not the cause of the eclipse's failure to affect enough black people.
[40:04.760 --> 40:09.760]  Again, this is the game where everything is attributed to race
[40:09.760 --> 40:13.760]  and it just becomes an entire mental illness compendium.
[40:13.760 --> 40:15.760]  But we've got some of the audio.
[40:15.760 --> 40:19.760]  Oh, and tell us about what time this happened in the middle of the night, what you witnessed.
[40:19.760 --> 40:26.760]  I mean, the video is up on infowars.com and newswars.com right now and prisonplanet.com.
[40:26.760 --> 40:28.760]  Again, people think this is insane.
[40:28.760 --> 40:30.760]  This is how you overthrow a country.
[40:30.760 --> 40:36.760]  Not the West's challenging slavery, challenging monopolies, challenging feudalism, challenging serfdom,
[40:36.760 --> 40:42.760]  delivering incredible 95% of the inventions, a giant middle class for the first time in history,
[40:42.760 --> 40:47.760]  Christian societies, open societies, bringing in all sorts of people, fusing them together
[40:47.760 --> 40:51.760]  in a great, true, diverse, melting pot of judging people on the character of their deeds,
[40:51.760 --> 40:52.760]  on the color of their skin.
[40:52.760 --> 40:53.760]  How do you invert that?
[40:53.760 --> 40:55.760]  Well, you see what they've done.
[40:55.760 --> 41:01.760]  What Black Lives Matter and all these sorrows funded groups do in the liberation theology is purposeful.
[41:01.760 --> 41:08.760]  Purposeful to hobble the mind, to handicap the mind, and to turn us into the most divided nation
[41:08.760 --> 41:13.760]  the planet has ever seen with the elite manipulating and controlling it.
[41:13.760 --> 41:19.760]  So you just read some tripe from the Atlantic that says the implicit bias of the solar system.
[41:19.760 --> 41:21.760]  That's so insane.
[41:21.760 --> 41:22.760]  I can't even believe I have to address it.
[41:22.760 --> 41:28.760]  So what happens is last night I catch similar tripe being published about how the University of Texas
[41:28.760 --> 41:34.760]  is going to remove the Robert E. Lee statue from in front of Benedict Hall, a very popular, a very...
[41:34.760 --> 41:36.760]  It just suddenly gets announced hours before.
[41:36.760 --> 41:42.760]  And so I get down there probably around 1230, 1245 last night, and they're already removing it.
[41:42.760 --> 41:43.760]  There's a police line.
[41:43.760 --> 41:45.760]  You can't even come within 100 yards of these things.
[41:45.760 --> 41:47.760]  And there's a group of some protesters out there.
[41:47.760 --> 41:49.760]  There's a bunch of media out there.
[41:49.760 --> 41:54.760]  And I'll get to that in a second, but here's the unbelievable statement, really,
[41:54.760 --> 41:57.760]  that I think people should be concerned about.
[41:57.760 --> 42:03.760]  University of Texas President Greg Fenvis says that they're removing the statue because, I quote,
[42:03.760 --> 42:08.760]  they are symbols of modern white supremacy and neo-Nazism.
[42:08.760 --> 42:14.760]  Okay, this is so historically inaccurate that you would think it's coming from a member of Antifa.
[42:14.760 --> 42:18.760]  No, this is coming from the president of the University of Texas.
[42:18.760 --> 42:22.760]  Robert E. Lee was the head of the Northern Army. He was the head of West Point.
[42:22.760 --> 42:26.760]  The Civil War had nothing to do with slavery until the very end.
[42:26.760 --> 42:29.760]  And that's why they now want Lincoln taken down, because he wrote in letters,
[42:29.760 --> 42:32.760]  if I could end this war and not free one slave, I'd do it.
[42:32.760 --> 42:37.760]  Christians, before the country was founded, were trying to get slavery banned.
[42:37.760 --> 42:42.760]  They'd gotten it banned in England and Europe before that, by about 1800 or so.
[42:42.760 --> 42:44.760]  And then they had laws out trying to stop it.
[42:44.760 --> 42:48.760]  So that was a backdrop, but they just create this whole mental illness.
[42:48.760 --> 42:52.760]  It has nothing to do with it. And then they say Robert E. Lee is a neo-Nazi.
[42:52.760 --> 42:56.760]  And now they're saying American flags, but they haven't got to be taken down, too, though.
[42:56.760 --> 42:58.760]  Well, where is it going to stop?
[42:58.760 --> 43:01.760]  We got people to sign a petition to remove George Washington from the dollar bill.
[43:01.760 --> 43:05.760]  So they don't know where they'll go forever. These people, they're larping.
[43:05.760 --> 43:09.760]  They have no accomplishment in their life. They see a statue come down and they think this is them.
[43:09.760 --> 43:13.760]  Well, it's a manifestation of how they're trying to cause a civil war around this.
[43:13.760 --> 43:17.760]  Well, yeah, they failed all summer with a summer of rage funded by Soros.
[43:17.760 --> 43:23.760]  Billions of dollars have been spent by these corporate groups, Apple, Google, all of them, come together.
[43:23.760 --> 43:32.760]  And they all put in tens of millions of dollars a month to literally create absolute breakdown of society and hysteria.
[43:32.760 --> 43:36.760]  But you went out there, described to folks what you witnessed, what you saw.
[43:36.760 --> 43:47.760]  The University of Texas alma mater of my parents and a lot of family, you know, my granddad played football there with the first Dallas Cowboys coach, Tom Landry, the whole nine yards.
[43:47.760 --> 43:50.760]  So I liked the University of Texas, but it's a front.
[43:50.760 --> 43:55.760]  Okay, it created the big conglomerates that bought up the radio stations that then helped censor things.
[43:55.760 --> 43:59.760]  It's got offshore banks, hundreds of billions of dollars, billions in gold.
[43:59.760 --> 44:03.760]  It's nothing but a football team. Most of the degrees are worthless. Everything's overpriced.
[44:03.760 --> 44:06.760]  And they've just got a rearguard action while they're stealing millions.
[44:06.760 --> 44:11.760]  They're like, look, we took a statue down here. Let's let's let's put communists on the on the review board.
[44:11.760 --> 44:19.760]  I mean, that's all this is. That's all Bill Gates. That's all Bezos. It's all any of them are doing is just getting us fighting with each other.
[44:19.760 --> 44:24.760]  So I get down there, like I said, around 1230, 1245 early this morning, late last night, however you want to say it.
[44:24.760 --> 44:30.760]  And I'm just filming. I'm approaching the thing. There's probably about 20 to 15 members of the media there.
[44:30.760 --> 44:34.760]  Nobody else is really reporting. Most people are just shooting film, getting b-roll.
[44:34.760 --> 44:41.760]  I kind of walk past the line of media. I walk past the group of protesters and I try to get close to the statue just to film it.
[44:41.760 --> 44:46.760]  And there's a little police blockade there, probably about 10 yards from the actual statue.
[44:46.760 --> 44:51.760]  And then there's about 100 to 150 yards of space in between that and the rest of the people.
[44:51.760 --> 44:54.760]  They won't even let you go on these stairs. These statues are so racist.
[44:54.760 --> 44:58.760]  You have to have a safe space of at least 100 yards so you can't even see them.
