[00:00:09.838 --> 00:00:12.199]  It's a frontline report.
[00:22:58.483 --> 00:23:00.084]  You know that!
[00:23:00.084 --> 00:23:06.128]  Then let's take it up right now because this is the only thing that matters.
[00:23:06.128 --> 00:23:06.889]  Alright, that's good.
[00:23:06.889 --> 00:23:09.110]  He goes on the full videos on Infowars.com.
[00:23:10.495 --> 00:23:12.115]  And obviously they think socialism is going to save them.
[00:23:12.115 --> 00:23:14.636]  They don't know the big banks are funding that to make them dependent.
[00:23:14.636 --> 00:23:16.877]  But they're at least getting that she doesn't represent them.
[00:23:16.877 --> 00:23:19.438]  And there she is in a college with like 50 people.
[00:23:19.438 --> 00:23:20.498]  No one wants to see her.
[00:23:20.498 --> 00:23:21.718]  Nobody cares.
[00:23:21.718 --> 00:23:23.219]  I said I was going to college not bragging.
[00:23:23.219 --> 00:23:25.679]  10,000 show up in one day.
[00:23:25.679 --> 00:23:27.120]  No announcement.
[00:23:27.120 --> 00:23:28.340]  People hear one day I'm coming.
[00:23:28.340 --> 00:23:30.201]  No big push.
[00:23:30.201 --> 00:23:30.701]  10,000.
[00:23:30.701 --> 00:23:31.821]  Trump shows up.
[00:23:31.821 --> 00:23:32.481]  100,000.
[00:23:32.481 --> 00:23:33.622]  These people are a joke.
[00:23:33.622 --> 00:23:35.242]  They're a straw dog.
[00:23:35.242 --> 00:23:36.122]  They're a paper tiger.
[00:23:36.122 --> 00:23:37.863]  But people don't call them on that.
[00:23:39.281 --> 00:23:41.422]  So here is Rashid Tlaib.
[00:23:41.422 --> 00:23:43.723]  This is happening in Michigan.
[00:23:43.723 --> 00:23:46.064]  This is happening in Minnesota.
[00:23:46.064 --> 00:23:48.425]  Good job with the Muslims!
[00:23:48.425 --> 00:23:52.727]  They're like, you're going to literally have pornographic stuff for middle schoolers?
[00:23:52.727 --> 00:23:53.467]  I've seen these books.
[00:23:53.467 --> 00:23:54.667]  I can't show them all here.
[00:23:54.667 --> 00:24:03.071]  They are children having sex with their teachers, men giving children blowjobs, sexually assaulting them.
[00:24:03.071 --> 00:24:03.991]  That's shown in Austin.
[00:24:03.991 --> 00:24:05.592]  That's in all the middle schools in Austin.
[00:24:06.736 --> 00:24:08.297]  6th, 7th graders.
[00:24:08.297 --> 00:24:10.759]  8th, yeah, 8th graders.
[00:24:10.759 --> 00:24:13.602]  Literal cartoon porn.
[00:24:14.372 --> 00:24:19.815]  I mean, I've never looked at child porn in my life, thank God, never seen it, until I looked at the book when we covered it last year.
[00:24:19.815 --> 00:24:26.899]  And I looked at the book that was at the Austin Library, School Library, Austin AISD Library, and I was like, okay, I hear this.
[00:24:26.899 --> 00:24:28.720]  I'm like, what the hell?
[00:24:28.720 --> 00:24:31.501]  It's literally children being raped by adults.
[00:24:31.501 --> 00:24:35.263]  And I'm like, oh my God, I have been assaulted.
[00:24:35.263 --> 00:24:36.824]  I have never seen something like this.
[00:24:36.824 --> 00:24:38.385]  I would never want to see this.
[00:24:38.385 --> 00:24:40.986]  And now I'm looking at children being raped.
[00:24:46.418 --> 00:24:47.678]  It's who these people are.
[00:24:47.678 --> 00:24:49.319]  They claim they have the moral high ground.
[00:24:49.319 --> 00:24:50.939]  So here's Tlaib being confronted about it.
[00:24:50.939 --> 00:24:53.220]  I'm not against the gay people.
[00:24:53.220 --> 00:24:54.581]  I'm not against anything.
[00:24:54.581 --> 00:24:56.021]  I'm against the books.
[00:24:56.021 --> 00:24:56.462]  Okay?
[00:24:56.462 --> 00:25:03.964]  Don't sit here and say that people are sitting here coming to you guys and just telling you, oh, we want these books out.
[00:25:03.964 --> 00:25:05.425]  You're worried about the gay people?
[00:25:05.425 --> 00:25:05.965]  No problem.
[00:25:05.965 --> 00:25:07.026]  We're not worried about the gay people.
[00:25:07.026 --> 00:25:08.006]  We're worried about our children.
[00:25:09.039 --> 00:25:09.699]  Okay?
[00:25:09.699 --> 00:25:17.361]  And second of all, I don't want to hear anybody, okay, saying they're saying, oh, you guys are offending the gay.
[00:25:17.361 --> 00:25:18.561]  These are kids!
[00:25:18.561 --> 00:25:19.002]  They can be 18.
[00:25:19.002 --> 00:25:22.142]  If they want to become gay, let them become gay.
[00:25:22.142 --> 00:25:23.843]  Who cares?
[00:25:23.843 --> 00:25:25.703]  It's not a problem.
[00:25:25.703 --> 00:25:29.404]  We don't want kids to have access to these books.
[00:25:29.404 --> 00:25:30.484]  It's nice and simple.
[00:25:30.484 --> 00:25:32.365]  I'm not going to address the situation no more.
[00:25:33.590 --> 00:25:34.290]  It is.
[00:25:34.290 --> 00:25:35.251]  It is what it is.
[00:25:35.251 --> 00:25:39.453]  And the only person that's behind this is Rashida Tlaib.
[00:25:39.453 --> 00:25:41.855]  Cool.
[00:25:41.855 --> 00:25:42.795]  Oh, there it is!
[00:25:42.795 --> 00:25:44.896]  Holy shit!
[00:25:44.896 --> 00:25:47.598]  Holy shit!
[00:25:47.598 --> 00:25:48.519]  Too much cussing on this.
[00:25:48.519 --> 00:25:50.480]  I guess we didn't bleep it, so we got to turn it off.
[00:25:50.480 --> 00:25:54.522]  It was Christy Lee, reporter for InfoWars.
[00:25:54.522 --> 00:25:58.984]  She moved here two years ago with her family and her four children with her husband.
[00:25:58.984 --> 00:26:01.286]  And she put her child in the AISD.
[00:26:02.529 --> 00:26:05.031]  She comes to me and says, I'm going to cover this book, will you look at it?
[00:26:05.031 --> 00:26:06.913]  And I'd heard about the book, I'd never looked.
[00:26:06.913 --> 00:26:07.814]  I went, sure.
[00:26:07.814 --> 00:26:08.955]  She goes, you know, there's pedophilia.
[00:26:08.955 --> 00:26:10.777]  And I'm like, really?
[00:26:10.777 --> 00:26:11.598]  She goes, just look at it.
[00:26:11.598 --> 00:26:13.199]  So I go in my office.
[00:26:13.199 --> 00:26:14.580]  About a day goes by, I don't look at it.
[00:26:14.580 --> 00:26:16.502]  I go, okay, let me see this book.
[00:26:16.502 --> 00:26:23.469]  And I open it up, and like three pages in, the teacher seduces the eight-year-old and is having sex with him.
[00:26:23.469 --> 00:26:25.050]  And I mean, it's like porno.
[00:26:25.050 --> 00:26:25.491]  I mean, it's...
[00:26:26.937 --> 00:26:37.204]  An adult sexually assaulting a child, performing a blowjob on him, and then bending him over the table and raping him, sodomizing him.
[00:26:37.204 --> 00:26:38.685]  That's America.
[00:26:38.685 --> 00:26:43.348]  That's what 7th graders and 8th graders get in Austin, Texas.
[00:26:43.348 --> 00:26:45.109]  And it's all over the world, the same book.
[00:26:50.902 --> 00:26:54.603]  When she tried to go to city council and show it, they detained her and threw her out.
[00:26:54.603 --> 00:26:57.444]  Oh, you can't show child porn on TV.
[00:26:57.444 --> 00:26:58.005]  Exactly.
[00:26:58.005 --> 00:27:04.167]  Adults can't see it because they're showing it to children without your knowledge.
[00:27:04.167 --> 00:27:12.590]  And I'll be completely honest with you, listeners didn't mail us a bunch more books that are in bookstores and in libraries, school libraries.
[00:27:12.590 --> 00:27:13.810]  I won't even open them up.
[00:27:13.810 --> 00:27:15.311]  And that's why they're winning.
[00:27:15.311 --> 00:27:17.812]  Because we won't even, and I'll be honest, I'm weak.
[00:27:17.812 --> 00:27:18.392]  I won't look at it.
[00:27:22.125 --> 00:27:23.385]  We won't look at it.
[00:27:23.385 --> 00:27:25.926]  No one will prosecute it because it's so embarrassing.
[00:27:25.926 --> 00:27:28.507]  Because the authority figures, the schools are doing this.
[00:27:28.507 --> 00:27:34.248]  Just like they're injecting the kids with poison shots that give them blood clots and heart attacks and destroy their immune systems.
[00:27:34.248 --> 00:27:35.448]  This is death.
[00:27:35.448 --> 00:27:36.768]  This is suicide.
[00:27:36.768 --> 00:27:41.029]  This is the murder of humanity.
[00:27:41.029 --> 00:27:46.591]  But the good news is... I'm having flashbacks, man.
[00:27:46.591 --> 00:27:46.831]  It's just...
[00:27:51.547 --> 00:28:05.079]  They're trying to put fantasies in children's heads so that when an adult tries to have sex with them, when they're 10 years old, they bend over at a desk and their teacher rapes them?
[00:28:05.079 --> 00:28:08.923]  These are pedophiles running a lot of these schools.
[00:28:08.923 --> 00:28:13.767]  And they're handing your kid a book of the teacher having sex with you.
[00:28:13.767 --> 00:28:15.269]  Imagine how much worse it is.
[00:28:16.988 --> 00:28:18.129]  Then we even know.
[00:28:18.129 --> 00:28:24.796]  And that's why when these courts and these systems attack us, you need to know they're on the side of this and they support this.
[00:28:24.796 --> 00:28:26.097]  They don't have the moral high ground.
[00:28:26.097 --> 00:28:28.039]  These people are devils.
[00:28:28.039 --> 00:28:32.863]  But all we gotta do is support people fighting tyranny and withdraw support from them.
[00:28:32.863 --> 00:28:41.232]  Just withdraw support from them, have nothing to do with them, and just set up your own family, your own system, and come out of Babylon, come out of Egypt, come out of it.
[00:28:42.020 --> 00:28:43.301]  All right, so that was key.
[00:28:43.301 --> 00:28:59.627]  When we come back, Roger Stone's on, but I first want to hit the attack on the, arguably, of the Mona Lisa, the most famous painting in the world, Sunflowers, attacked with red paint by leftist crazies.
[00:28:59.627 --> 00:29:02.468]  I don't promote things unless they really work.
[00:29:02.468 --> 00:29:04.389]  When it comes to politics or culture,
[00:29:05.618 --> 00:29:06.238]  Economics.
[00:29:06.238 --> 00:29:09.360]  We are always the cutting edge, the tip of the spear.
[00:29:09.360 --> 00:29:13.302]  And when we talk about the products at InfoWareStore.com, they all blow you away.
[00:29:13.302 --> 00:29:17.765]  If you'll just take them, if you'll just try them, I know you'll be your big customers.
[00:29:17.765 --> 00:29:21.967]  And finally, one of our best-selling products, sold out for months, back in stock, is X3.
[00:29:21.967 --> 00:29:32.633]  It's all three types of the very best atomic iodine out there that supercharges your energy, your stamina, your libido, and number one, your immune system.
[00:29:32.633 --> 00:29:35.015]  So X3, despite the fact that it's run on iodine,
[00:29:35.515 --> 00:29:37.656]  Think about a world without InfoWars.
[00:30:04.571 --> 00:30:14.154]  Just take a moment and sit back and think about all the incredible guests and callers and stories we've broken together, this family that is InfoWars.
[00:30:14.154 --> 00:30:30.358]  Think about how InfoWars is cited by Joe Rogan and Tucker Carlson and Bolsonaro and other foreign leaders like Nigel Farage as being the main impetus towards firing up their main base to defeat the New World Order.
[00:30:30.358 --> 00:30:33.279]  The only reason humanity is still in the fight today
[00:30:34.173 --> 00:30:40.760]  Because the viewers and listeners of this broadcast have taken action and supported this show.
[00:30:40.760 --> 00:30:42.462]  I don't take the credit.
[00:30:42.462 --> 00:30:44.163]  I give you the credit.
[00:30:44.163 --> 00:30:46.786]  And now InfoWars is facing its darkest hours.
[00:30:46.786 --> 00:30:48.388]  It isn't going to give up.
[00:30:48.388 --> 00:30:50.250]  Without your support we could be shut down.
[00:30:50.250 --> 00:30:53.513]  Please go to SaveInfoWars.com today.
[00:30:53.513 --> 00:30:57.197]  SaveInfoWars.com today and donate for our legal defense fund.
[00:30:59.557 --> 00:31:01.118]  Look around you.
[00:31:01.118 --> 00:31:06.140]  Everything I predicted from the Globalist's own documents, from their own admissions, is now happening.
[00:31:06.140 --> 00:31:10.021]  Infowars credibility, my credibility has never been higher.
[00:31:10.021 --> 00:31:19.365]  And it's because of your backing of this operation that I could steadfastly, despite the censorship and the boycotts and the attacks and the lawsuits, stay on air.
[00:31:19.365 --> 00:31:25.027]  But now we're reaching the most critical juncture in the fight together.
[00:31:25.027 --> 00:31:28.629]  So I want to ask all of you today to help keep me on the air.
[00:31:29.469 --> 00:31:32.575]  In my decades on air, I've never asked for personal donations.
[00:31:32.575 --> 00:31:38.886]  But I'm being forced by the bankruptcy court to pay for 40% of the legal fees, and I can't fund those myself.
[00:31:38.886 --> 00:31:40.168]  It's unsustainable.
[00:31:40.168 --> 00:31:41.390]  So please, visit.
[00:31:42.469 --> 00:31:44.451]  SaveInfoWars.com.
[00:31:44.451 --> 00:31:52.557]  SaveInfoWars.com, where you can make straight donations, $5, $10, $50, $100, whatever you can, so that I can continue to persevere.
[00:31:52.557 --> 00:31:55.559]  I'll never give up, I'll never give in, but I could give out.
[00:31:55.559 --> 00:31:56.860]  Thank you for your support.
[00:31:56.860 --> 00:31:57.961]  Wouldn't be here without you.
[00:31:57.961 --> 00:31:59.422]  SaveInfoWars.com.
[00:31:59.422 --> 00:31:59.442]  X3.
[00:32:02.109 --> 00:32:03.930]  X3.
[00:32:03.930 --> 00:32:06.851]  It stands for tri-iodine.
[00:32:06.851 --> 00:32:12.734]  All three types of iodine that the body needs to be healthy and survive and thrive.
[00:32:12.734 --> 00:32:17.136]  It boosts your libido, your energy, your stamina, your immune system.
[00:32:17.136 --> 00:32:20.518]  X3 is the ultimate iodine product on the market.
[00:32:20.518 --> 00:32:26.421]  It's back in stock at infowarshore.com for 50% off and it funds the InfoWarp.
