[00:00:00.470 --> 00:00:02.451]  We've got to stay on the street.
[01:49:58.527 --> 01:50:10.654]  Well, a group of four human lie detectors, four of the best body language and statement analysts in the world, do analysis of this type every week on something called the behavior panel.
[01:50:11.235 --> 01:50:20.840]  They broke down the Hunter Biden interview and you can see the whole about two hour show available on YouTube and other locations at the behavior panel.
[01:50:20.840 --> 01:50:23.522]  But let's just take a look at their summation.
[01:50:23.522 --> 01:50:30.446]  Their summation, which these are not political people, they don't have a political bone in their bodies as it relates to this matter.
[01:50:30.446 --> 01:50:32.547]  They're just doing their human body language test.
[01:50:33.087 --> 01:50:38.651]  What's their conclusion about the credibility of Hunter Biden and the media gaslighting?
[01:50:38.651 --> 01:50:42.793]  Let's take a look at video clip number 16.
[01:50:42.793 --> 01:50:49.798]  As far as we're talking about him being from a percentage, being deceptive or being truthful.
[01:50:49.798 --> 01:50:51.339]  Greg, you want to go first?
[01:50:51.339 --> 01:50:52.840]  Yeah, I'm not going to give you a percentage.
[01:50:52.840 --> 01:50:57.342]  I'm going to say he avoids truth at many, many, many opportunities.
[01:50:57.342 --> 01:50:58.643]  He always goes to the high ground.
[01:50:58.643 --> 01:50:59.544]  He Eddie Haskell's.
[01:51:00.812 --> 01:51:02.294]  I don't trust that he's being truthful
[01:51:10.416 --> 01:51:17.062]  Um, I also, guys, I'm going to say this and we're going to put disclaimers in here, but this has nothing to do with Joe Biden.
[01:51:17.062 --> 01:51:18.102]  This is Hunter Biden.
[01:51:18.102 --> 01:51:20.885]  We're talking about Hunter Biden and what he does in this interview.
[01:51:20.885 --> 01:51:22.386]  So don't take it as politics.
[01:51:22.386 --> 01:51:24.288]  Take it as what we're looking at.
[01:51:24.288 --> 01:51:30.973]  I don't believe he is trustworthy because of the, there's so much deviation between what's normal and what he's doing.
[01:51:30.973 --> 01:51:31.894]  That's me.
[01:51:31.894 --> 01:51:33.575]  Chase, what do you got?
[01:51:33.575 --> 01:51:33.735]  Yeah.
[01:51:33.735 --> 01:51:34.956]  Again, this isn't politics.
[01:51:34.956 --> 01:51:36.638]  This is a human.
[01:51:36.638 --> 01:51:38.199]  And what we're looking at is a human.
[01:51:39.022 --> 01:51:41.143]  Not a Republican or a Democrat.
[01:51:41.143 --> 01:51:43.545]  We do that with everything.
[01:51:43.545 --> 01:51:49.729]  And if we are biased, we'll be the first to tell you if we have some kind of vested interest in something.
[01:51:49.729 --> 01:51:56.053]  This was mostly dishonest, slightly deceptive, and hardly truthful.
[01:51:56.053 --> 01:51:56.213]  Mark?
[01:51:57.722 --> 01:52:07.366]  Yeah, so I know, you know, some of you watching out there, you'll feel like you've got a horse in this race because of the relationship with his father.
[01:52:07.366 --> 01:52:08.947]  Very important man.
[01:52:08.947 --> 01:52:09.847]  Absolutely.
[01:52:09.847 --> 01:52:17.250]  So, you know, in order to not offend, I will say I feel at some points that he is obfuscating somewhat.
[01:52:17.250 --> 01:52:18.831]  There you go.
[01:52:21.121 --> 01:52:25.083]  I don't care if I've failed, but I really don't.
[01:52:25.083 --> 01:52:35.768]  But I'll tell you, politically you guys know me, but I think we're seeing more being untruthful than we are seeing being truthful in these things.
[01:52:35.768 --> 01:52:42.451]  When the questions get hard, that's every time, not every time, most of the time, he's being deceptive it looks to me like.
[01:52:42.451 --> 01:52:46.913]  So I would chase, I think if you weighed it out, it's going to be deceptive is pretty heavy.
[01:52:47.653 --> 01:52:52.156]  And he goes a bit light on the being truthful.
[01:52:52.156 --> 01:53:07.387]  As they also break down in their video, what is extraordinary is the degree to which they still come to the conclusion that this guy Hunter Biden is extraordinarily dishonest, extraordinarily deceptive, extraordinarily deceitful, as they put it, rarely truthful.
[01:53:07.967 --> 01:53:16.714]  Despite, as they detail in their analysis, the media's attempts to cover for him the extraordinary editing occurring that they can break down.
[01:53:16.714 --> 01:53:23.800]  In particular, Scott Rouse breaks down because he has an audio background and he's able to hear it's edit after edit after edit after edit.
[01:53:23.800 --> 01:53:34.049]  They couldn't even cover for the degree and the scale and the scope and the severity of Hunter Biden's just pathological prevarication.
[01:53:34.905 --> 01:53:39.408]  And not only that, throughout the interviews, the media is doing things like that.
[01:53:39.408 --> 01:53:43.131]  Trying to, you know, shake their head, no, you're supposed to answer no now, Hunter.
[01:53:43.131 --> 01:53:44.412]  So answer no.
[01:53:44.412 --> 01:53:48.675]  And then when they want Hunter to answer yes, they're like, make sure you say yes, Hunter.
[01:53:48.675 --> 01:53:50.976]  This is a 51-year-old man.
[01:53:50.976 --> 01:53:53.078]  And yet they're having to treat him like a hopeless, reprobate 3-year-old.
[01:53:55.655 --> 01:54:05.861]  That is the mentality and mindset, that's the degree to which the media will go to cover up the corruption that we have in the White House First Family.
[01:54:05.861 --> 01:54:13.304]  That is the embarrassment that our country currently faces, but it is compounded by the corruption of our criminal justice process.
[01:54:13.304 --> 01:54:21.529]  It is compounded by the self-destructive and implosive foreign policy we're engaging in, whether it's our lack of respect for the borders,
[01:54:22.029 --> 01:54:26.631]  And encouraging a surge of illegal immigration and child trafficking?
[01:54:26.631 --> 01:54:35.594]  Or it's trying to trigger a world war in Russia and Ukraine over political nonsense from George Soros-inspired ideologue?
[01:54:35.594 --> 01:54:41.356]  In that same context, however, there has been inadequate pushback from the institutional Republican Party.
[01:54:42.126 --> 01:54:56.545]  A friend and a long-standing public intellectual, Jeremy Carl, put up this video on Twitter reminding everybody of what happens when voters try to bail out the Republican Party and how the Republican Party tends to reward those voters.
[01:54:56.545 --> 01:54:58.307]  Let's play the sheet video.
[01:55:02.321 --> 01:55:09.266]  There you go, see, working hard, going to save the Republican Party and Mitch McConnell and Kevin McCarthy and all of them.
[01:55:09.266 --> 01:55:10.687]  All right, got to pack out.
[01:55:10.687 --> 01:55:12.168]  And here goes the Republican Party.
[01:55:12.168 --> 01:55:13.128]  What do they do?
[01:55:13.128 --> 01:55:14.009]  Yep, that's what they do.
[01:55:14.767 --> 01:55:18.031]  That's the Republican Party in a nutshell.
[01:55:18.031 --> 01:55:27.623]  And that's why we have the administration we currently have because too few smart populist activists and advocates are part of the process.
[01:55:27.623 --> 01:55:32.650]  We're still relying on the Kevin McCarthy's and the Mitch McConnell's of the world.
[01:55:33.678 --> 01:55:41.683]  But what is key is the efforts of ordinary people like you to continue to fight back smartly and intelligently.
[01:55:41.683 --> 01:55:47.107]  And you do so by helping to support independent media broadcasts like InfoWars.
[01:55:47.107 --> 01:55:50.770]  That's why I recommend and I use InfoWarsStore.com.
[01:55:51.690 --> 01:55:55.151]  See, I got the bone broth behind me, but I also got Brain Force.
[01:55:55.151 --> 01:55:57.532]  It's good for the brain.
[01:55:57.532 --> 01:56:01.833]  Also, I have Ultra 12 and Everyday Winter Sun.
[01:56:01.833 --> 01:56:03.734]  In fact, that's how I start every day.
[01:56:03.734 --> 01:56:05.215]  Start with a fresh orange juice.
[01:56:05.215 --> 01:56:06.175]  Freshly made oranges.
[01:56:06.175 --> 01:56:06.515]  Way to go.
[01:56:07.228 --> 01:56:07.949]  Combine it.
[01:56:07.949 --> 01:56:15.438]  I take two brain force pills and then I put the Winter Sun and the Ultra 12 and Tumer.
[01:56:15.438 --> 01:56:25.611]  That's how I start every single day along with InfoWars coffee because even though I'm a coffee snob, it's because I'm a coffee snob, it's one of the best coffees I've ever tasted.
[01:56:26.295 --> 01:56:38.979]  On top of that, if you want to chat with me any further during the week, you can always go to VivaBarnesLaw.Locals.com and that's where you can find us and find me on a daily basis.
[01:56:38.979 --> 01:56:40.539]  Let me end.
[01:56:40.539 --> 01:56:47.621]  In the capacity of independent journalism, few have been better at it than the next Alex Jones and that would be Mr. Owen Schroer.
[01:56:47.621 --> 01:56:52.943]  Owen, we'll take you through where he's been recently and what's coming up next.
[01:56:52.943 --> 01:56:53.583]  That's right, Bob.
[01:56:53.583 --> 01:56:53.883]  We had
[01:56:55.037 --> 01:57:01.825]  Quite an interesting week here at InfoWars, myself included, down at the southern border, mostly in McAllen, Texas.
[01:57:01.825 --> 01:57:02.986]  We learned an awful lot.
[01:57:02.986 --> 01:57:11.035]  I'm going to be breaking all of that down coming up on InfoWars Sunday Night Live, here starting in just three minutes from 6 to 8 p.m.
[01:57:11.035 --> 01:57:12.797]  And I'm also going to be taking your calls
[01:57:13.497 --> 01:57:20.182]  On the border emergency that's now been declared by Joe Biden, perhaps because of our reporting that he gave out illegal no-bid contracts.
[01:57:20.182 --> 01:57:25.667]  So, your calls, your observations, your questions on the border crisis, and I'll be breaking it all down.
[01:57:25.667 --> 01:57:26.908]  Bob Barnes, great work.
[01:57:26.908 --> 01:57:28.429]  We'll let you close this one out.
[01:57:30.080 --> 01:57:35.745]  It's always a privilege and always a pleasure to be on InfoWars because it's one of the critical broadcasts that keeps freedom alive in America.
[01:57:35.745 --> 01:57:37.306]  And really, that's thanks to you.
[01:57:37.306 --> 01:57:38.227]  You, the audience.
[01:57:38.227 --> 01:57:41.089]  You are what keeps the flame of liberty lit.
[01:57:41.089 --> 01:57:44.392]  So that no matter what the politicians do, they can't snuff it out.
[01:57:44.392 --> 01:57:46.694]  You keep the Liberty Bell heard for the world to hear.
[01:57:47.880 --> 01:58:01.525]  The ultimate fluoride free charcoal mouthwash is now available at InfoWarsStore.com and DrJonesNaturals.com for the lowest price possible to complete your daily mouth cleaning routine.
[01:58:01.525 --> 01:58:12.289]  It is the perfect companion to the new activated charcoal toothpaste all under our new line by Dr. Jones Naturals that will naturally give your mouth and breath a deep clean.
[01:58:13.283 --> 01:58:22.741]  This mouthwash only uses the best natural ingredients like real peppermint oil, thyme oil, xylitol, and of course, high quality charcoal.
[01:58:23.604 --> 01:58:34.789]  Not only fluoride-free, this mouthwash is completely free of other dangerous ingredients such as SLS, harsh detergents, BPA, and so much more.
[01:58:34.789 --> 01:58:38.850]  As soon as you use it, you can tell that this formula is the real deal.
[01:58:38.850 --> 01:58:47.994]  So get your bottle of the new Activated Charcoal Mouthwash right now at InfowarsStore.com.
[01:58:47.994 --> 01:58:48.895]  I'm going to say it again.
[01:58:48.895 --> 01:58:50.896]  I am not lecturing you.
[01:58:50.896 --> 01:58:51.876]  I'm lecturing myself.
[01:58:52.795 --> 01:58:56.156]  I need to take Vitamin Renal Infusion every day.
[01:58:56.156 --> 01:58:57.237]  It tastes great.
[01:58:57.237 --> 01:58:58.357]  It's all natural.
[01:58:58.357 --> 01:59:02.238]  It's got all the vitamins, all the minerals that are essential, and amino acids.
[01:59:02.238 --> 01:59:04.339]  Mix it up in the morning, a little quarter scoop.
[01:59:04.339 --> 01:59:06.240]  Fill the whole pitcher with a whole scoop.
[01:59:06.240 --> 01:59:08.140]  It lasts you four or five days in the refrigerator.
[01:59:08.140 --> 01:59:09.401]  Pour yourself a big glass with ice.
[01:59:10.181 --> 01:59:11.302]  And it's so good.
[01:59:11.302 --> 01:59:16.567]  In the morning, at noon, at night, whatever you do, get in that one glass a day.
[01:59:16.567 --> 01:59:17.868]  It's been sold out for a while.
[01:59:17.868 --> 01:59:19.169]  It's back in stock.
[01:59:19.169 --> 01:59:20.751]  Vitamin Mineral Fusion.
[01:59:20.751 --> 01:59:27.897]  Infomorestore.com for your immune system, your body's defenses, but especially your family and friends and old folks and people with darker skin.
[01:59:28.397 --> 01:59:30.178]  You're listening to the Alex Jones Show!
