[00:00:04.929 --> 00:00:06.350]  Welcome, welcome, welcome.
[00:23:32.016 --> 00:23:36.758]  Are you happy washing your hands with stinking fragrances that gives your skin rashes?
[00:23:36.758 --> 00:23:40.839]  Are you happy paying new higher prices for smaller boxes?
[00:23:40.839 --> 00:23:52.704]  Find your happiness today with our 1 to 4 year supply of Pure Soaps or our 1 to 2 month sampler with Bar Soap, Shampoo, Laundry and Dish Soap at 5starsoap.com.
[00:23:52.704 --> 00:23:54.245]  You deserve the best.
[00:23:54.245 --> 00:23:56.566]  Happiness is 5starsoap.com.
[00:24:04.275 --> 00:24:10.260]  After the 9-11 attacks, the American public was told that Al-Qaeda acted alone.
[00:24:10.260 --> 00:24:25.713]  They told us that 9-11 was not state-sponsored terrorism, meaning no other country or government helped plan, finance, practice, and execute the complicated and well-orchestrated attack on our country.
[00:24:26.013 --> 00:24:34.718]  We were led to believe it was perpetrated solely by Osama Bin Laden and his Al-Qaeda network of radical Muslim extremists.
[00:24:34.718 --> 00:24:44.543]  The United States and its allies retaliated first by targeting Afghanistan, and then by launching the invasion of Iraq in 2003.
[00:24:44.543 --> 00:24:50.667]  Every nation, in every region, now has a decision to make.
[00:24:50.667 --> 00:24:54.429]  Either you are with us, or you are with the terrorists.
[00:24:56.974 --> 00:25:05.262]  But 13 years after September 11, 2001, there are still questions about who planned and financed 9-11.
[00:25:05.262 --> 00:25:14.031]  And 28 censored pages of the official 9-11 report remain classified to this day as a matter of national security.
[00:25:14.611 --> 00:25:29.442]  But many surviving family members of the victims and a growing number of the American public aren't buying the Bush administration's original claim that the documents must be kept secret to help investigators hunt down terrorists.
[00:25:29.442 --> 00:25:43.332]  In fact, there's recently been a handful of lawmakers who have finally been able to get access to the protected 28 pages and they are absolutely shocked at the level of foreign state involvement in the attacks.
[00:25:43.672 --> 00:25:45.413]  This is sort of shocking when you read it.
[00:25:45.413 --> 00:25:48.055]  As I read it, we all had our own experience.
[00:25:48.055 --> 00:25:59.965]  I had to stop every couple pages and just sort of absorb and try to rearrange my understanding of history for the past 13 years and the years leading up to that.
[00:25:59.965 --> 00:26:03.047]  It challenges you to rethink everything.
[00:26:03.047 --> 00:26:07.330]  And so, I think the whole country needs to go through that.
[00:26:07.330 --> 00:26:09.752]  I want those documents declassified.
[00:26:09.752 --> 00:26:11.594]  I'm embarrassed to be associated
[00:26:12.802 --> 00:26:17.825]  With a work product that is secret.
[00:26:17.825 --> 00:26:26.810]  Now federal law forbids these guys to publicly identify which foreign entity was responsible in assisting the terrorist.
[00:26:26.810 --> 00:26:36.795]  But judging by the long history of the Bush family's close and personal relationship with the Saudi royal family, all evidence points to Saudi Arabia.
[00:26:36.795 --> 00:26:42.098]  And now a bipartisan bill has been sponsored by congressmen Walter Jones and Stephen Lynch
[00:26:42.638 --> 00:26:47.241]  Asking President Obama to release the classified records.
[00:26:47.241 --> 00:26:48.862]  Yeah, well, don't hold your breath.
[00:26:48.862 --> 00:26:51.884]  The new boss is the same as the old boss.
[00:26:51.884 --> 00:26:59.329]  Former Senator Bob Graham, who co-chaired the Joint Senate-House investigation into the September 11th attacks, he says,
[00:27:00.029 --> 00:27:09.601]  I am convinced that there was a direct line between at least some of the terrorists who carried out the September 11th attacks and the government of Saudi Arabia.
[00:27:09.601 --> 00:27:16.449]  He called it a smoking gun and went on to say the reason for this cover-up goes right up to the White House.
[00:27:16.889 --> 00:27:41.620]  Meanwhile, the New York Post says, the Saudis deny any role in 9-11, but the CIA in one memo reportedly found incontrovertible evidence that Saudi government officials, not just wealthy Saudi hardliners, but high-level diplomats and intelligence officers employed by the kingdom, helped the hijackers both financially and logistically.
[00:27:41.900 --> 00:27:46.381]  What do we know is in the 28 censored pages of the 9-11 report?
[00:27:46.381 --> 00:27:49.062]  People that have seen it said it would bring down the whole system.
[00:27:49.062 --> 00:27:52.643]  I've met with and talked to multiple members of Congress who read it.
[00:27:52.643 --> 00:27:54.824]  They are convinced the American people need to see it.
[00:27:54.824 --> 00:28:01.546]  It has to do with information which is not convenient to the White House, either White House, the Clinton White House or the Bush White House.
[00:28:01.546 --> 00:28:07.868]  And it has to do with an ally, who essentially looked the other way and allowed a lot of support for the terrorists who conducted the attack.
[00:28:08.208 --> 00:28:22.699]  But just to be clear, this is what I've been told, that there was a cover-up, that Saudi Arabia was involved, and basically that's why there was a stand-down, because they didn't want to embarrass the Saudis, and that's why six of the ten commissioners want it released, is that right?
[00:28:22.699 --> 00:28:30.446]  I can't confirm everything you just said, but I can confirm that Saudi is the name of the country which is being implicated, yes.
[00:28:30.446 --> 00:28:31.807]  And do you think it's going to be released?
[00:28:33.612 --> 00:28:39.776]  I'm working with a number of members of Congress and doing everything I can to help behind the scenes.
[00:28:39.776 --> 00:28:40.556]  I hope that they do.
[00:28:40.556 --> 00:28:43.297]  I know there's a coalition right now trying to get it released, Alex.
[00:28:43.297 --> 00:28:44.618]  I hope they get it released.
[00:28:44.618 --> 00:28:50.101]  That's right, you're working with Walter Jones of North Carolina and Stephen Lynch of Massachusetts.
[00:28:50.101 --> 00:28:51.402]  That's correct, yes.
[00:28:51.402 --> 00:28:56.144]  Well, you guys don't need to fly on any small planes, I'll tell you that.
[00:28:56.144 --> 00:28:56.865]  That's true.
[00:28:56.865 --> 00:28:57.105]  Wow.
[00:28:58.137 --> 00:29:09.859]  So the question is, if members of the Saudi government did in fact help train and finance the hijackers, wouldn't that make 9-11 more than just an act of terrorism?
[00:29:10.814 --> 00:29:13.815]  I mean, that would make it an act of war.
[00:29:13.815 --> 00:29:21.678]  And I think we can all agree that the classified documents no longer, if ever, pose a risk to national security.
[00:29:21.678 --> 00:29:27.681]  I guess you could say they do pose a risk to George W. So what are you afraid of, Bush?
[00:29:27.681 --> 00:29:31.822]  Why don't you and Obama get together and release the documents?
[00:29:31.822 --> 00:29:35.764]  After all, you're either with us or you're with the terrorists.
[00:29:36.667 --> 00:29:37.207]  There you go.
[00:29:37.207 --> 00:29:38.348]  Get that report out.
[00:29:38.348 --> 00:29:42.609]  It's Leader's Demand Release of Censored 28 Pages of 9-11 Report.
[00:29:42.609 --> 00:29:46.291]  Leader's Demand Release of Censored 28 Pages of 9-11 Report.
[00:29:46.291 --> 00:29:47.231]  Get that out to everyone you know.
[00:29:47.231 --> 00:29:48.511]  We're going to be back with Rudy Dent.
[00:29:48.511 --> 00:29:49.852]  We're on the march.
[00:29:49.852 --> 00:29:51.432]  The Empire's on the run.
[00:29:51.432 --> 00:29:55.054]  Alex Jones and the GCN Radio Network.
[00:29:59.266 --> 00:30:03.409]  You've heard about the essential qualities of iodine when it comes to your well-being.
[00:30:03.409 --> 00:30:07.952]  And you've read the opinions of top experts regarding this good member of the halogen family.
[00:30:07.952 --> 00:30:14.477]  Still, reports indicate that iodine is absent in sufficient amounts from the daily lives of countless people worldwide.
[00:30:14.477 --> 00:30:18.480]  Now, our extra-strength new nascent iodine formula is here.
[00:30:18.480 --> 00:30:20.141]  Survival Shield X2.
[00:30:20.141 --> 00:30:24.104]  Leading the way into the next generation of super high-quality nascent iodine.
[00:30:24.284 --> 00:30:32.971]  InfoWars Life Survival Shield X2 is derived from 200-plus million-year-old salt solutions found more than 7,000 feet below the Earth's surface.
[00:30:32.971 --> 00:30:41.058]  The result is a unique nascent iodine that is both concentrated and free of unwanted additives, genetically modified ingredients, and completely vegan.
[00:30:41.058 --> 00:30:44.741]  We even pre-screen our Survival Shield X2 iodine for radiation.
[00:30:44.741 --> 00:30:50.526]  Pure, clean, and sourced from deep within the Earth, X2 nascent iodine is available exclusively at
[00:30:50.666 --> 00:30:54.056]  Infowarslife.com, Infowarsstore.com or call 1-888-253-3139.
[00:30:59.286 --> 00:31:09.829]  After consulting top doctors, nutritionists, pharmacists, and others, we have developed what I believe is the ultimate, non-GMO, organic, super male vitality formula.
[00:31:09.829 --> 00:31:16.291]  Super Male Vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[00:31:16.291 --> 00:31:18.611]  I jump out of bed ready to fight these criminals every day.
[00:31:18.611 --> 00:31:21.712]  I look forward to waking up and taking my super male vitality.
[00:31:21.712 --> 00:31:28.574]  Visit InfoWarsLife.com today to secure your super male vitality and other powerful products from InfoWars Life.
[00:31:29.094 --> 00:31:32.755]  The government's Department of Homeland Security is buying up loads of ammo.
[00:31:32.755 --> 00:31:37.016]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[00:31:37.016 --> 00:31:38.817]  Can you put two and two together?
[00:31:38.817 --> 00:31:46.659]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[00:31:46.659 --> 00:31:47.799]  But for how long?
[00:31:47.799 --> 00:31:50.020]  Go to infidelbodyarmor.com.
[00:31:50.020 --> 00:31:54.441]  Spelled I-N-F-I-D-E-L bodyarmor.com.
[00:31:54.441 --> 00:31:56.322]  Infidel Body Armor.
[00:31:56.322 --> 00:31:57.262]  Just won't quit.
[00:31:58.752 --> 00:32:05.900]  From the water table, to our soils, to the atmosphere itself, our world is becoming more and more toxic each and every day.
[00:32:05.900 --> 00:32:08.263]  But it's not just the air outside that's toxic.
[00:32:08.263 --> 00:32:13.549]  Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[00:32:13.549 --> 00:32:18.495]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[00:32:18.695 --> 00:32:22.016]  There are more than 42 million smokers in the United States.
[00:32:22.016 --> 00:32:26.097]  Well over a thousand types of mold and mildew linked to numerous conditions.
[00:32:26.097 --> 00:32:30.418]  And don't forget the fact that 6 million Americans live with pets they're allergic to as well.
[00:32:30.418 --> 00:32:40.641]  When I began to research these statistics, it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[00:32:40.641 --> 00:32:43.162]  Made with organic and wild cultivated herbs,
[00:32:43.362 --> 00:32:51.568]  And manufactured in the USA, the new InfoWars Live Lung Cleanse is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[00:32:51.568 --> 00:32:55.550]  Now available exclusively at InfoWarsLive.com or by calling toll free 888-253-3139.
[00:33:09.048 --> 00:33:13.136]  Resistance to tyrants is obedience to God.
[00:33:13.136 --> 00:33:17.064]  It's Alex Jones.
[00:33:17.064 --> 00:33:17.986]  And we are live.
[00:33:19.212 --> 00:33:20.113]  It's the Alex Jones Show!
[00:33:20.113 --> 00:33:21.213]  I'm your host Rob Due.
[00:33:21.213 --> 00:33:24.535]  We'll be with you here until 2 p.m.
[00:33:24.535 --> 00:33:25.456]  Central.
[00:33:25.456 --> 00:33:26.877]  We've got quite a show lined up for you.
[00:33:26.877 --> 00:33:36.783]  We're about to go to an interview that was done at Times Square with a firefighter who saw Building 7 collapse into its own footprint and saw the explosions happen beforehand.
[00:33:36.783 --> 00:33:38.504]  It's an amazing story.
[00:33:38.504 --> 00:33:40.425]  Exclusive to InfoWars.com.
[00:33:40.425 --> 00:33:44.627]  It's called 9-11 Firefighter Blows WTC Cover-Up Wide Open.
