[00:00:08.490 --> 00:00:11.432]  Thursday, November 24th, the year 2022.
[00:27:44.517 --> 00:27:45.718]  You know, why?
[00:27:45.718 --> 00:27:46.898]  Where are we?
[00:27:46.898 --> 00:27:47.879]  And you know it, Alex.
[00:27:47.879 --> 00:27:48.499]  You know it's true.
[00:27:48.499 --> 00:27:49.820]  I mean, everybody hears it.
[00:27:49.820 --> 00:27:51.620]  They go, yeah, yeah, yeah, whatever.
[00:27:51.620 --> 00:27:54.622]  I think part of it is because there's not enough pain here yet.
[00:27:54.622 --> 00:27:57.743]  They tried to induce pain with the increase of gas prices.
[00:27:57.743 --> 00:27:59.724]  You know, people still have food.
[00:27:59.724 --> 00:28:00.465]  They still have heat.
[00:28:00.465 --> 00:28:03.326]  They still have their businesses, whatever.
[00:28:03.326 --> 00:28:05.107]  Where do you think that is?
[00:28:05.107 --> 00:28:09.229]  Where the hell are the Americans in this battle?
[00:28:09.229 --> 00:28:12.351]  Well, I want to answer that, but going back to what you said about how this is a
[00:28:13.365 --> 00:28:14.586]  Same playbook, different virus.
[00:28:14.586 --> 00:28:24.194]  We know from Operation Lockstep 2011 and the tabletop exercises in 2019, Event 201, that they've been beta testing and drilling this.
[00:28:24.194 --> 00:28:29.157]  If you go back to a year and a half before they released the virus out of Wuhan and then the more deadly shot,
[00:28:29.938 --> 00:28:35.042]  Remember, uh, that they were saying all over the news, Disease X is coming.
[00:28:35.042 --> 00:28:38.924]  And when it comes, we're gonna have to lock down and take control to make you do all this.
[00:28:38.924 --> 00:28:44.388]  So that's how I was able to predict, you're not gonna be able to go to a ball game, you're gonna have to wear a mask, they're gonna lock you in your house.
[00:28:44.388 --> 00:28:46.150]  Well, I wasn't predicting it.
[00:28:46.150 --> 00:28:48.812]  They, they war game and battle plan this.
[00:28:48.812 --> 00:28:56.097]  And then if you look at SPARS, 2025-2028 war game from two years before they released the virus, what was it?
[00:28:56.097 --> 00:28:56.217]  It's 2018.
[00:28:59.480 --> 00:29:01.702]  We've got some good news and bad news.
[00:29:01.702 --> 00:29:06.906]  InfoWars is running the biggest sale of 2022 right now on our amazing products.
[00:29:06.906 --> 00:29:12.450]  Your chance to empower your body, your health, your immune system, and more, and keep us on the air, a win-win.
[00:29:12.450 --> 00:29:20.977]  The bad news is a bunch of our best-selling products have already sold out, and because of supply chain breakdowns, it'll be months and months until these great products come back in.
[00:29:20.977 --> 00:29:22.318]  X3 sold out.
[00:29:22.318 --> 00:29:22.699]  Our great
[00:29:23.459 --> 00:29:26.302]  American Coffee Blend has sold out.
[00:29:26.302 --> 00:29:28.044]  Biotricillinium has sold out.
[00:29:28.044 --> 00:29:41.059]  But what hasn't sold out is DNA Force Plus, Vitamin Mineral Fusion, Body's Ultimate Turmeric Formula, Whole Food Multivitamin, Rain Force Ultra, Super Mel Vitality, and so much more.
[00:29:41.519 --> 00:29:47.043]  So, you've only got a few weeks to get these products at the lowest price you're ever going to find them.
[00:29:47.043 --> 00:29:48.044]  Don't fight the crowds.
[00:29:48.044 --> 00:29:49.304]  Don't fight the traffic.
[00:29:49.304 --> 00:29:51.866]  Don't do all your Christmas shopping in a month like a fool.
[00:29:51.866 --> 00:29:53.027]  Do it now.
[00:29:53.027 --> 00:29:53.908]  Get it all over with.
[00:29:53.908 --> 00:29:55.028]  Get a great deal.
[00:29:55.028 --> 00:29:57.330]  Keep InfoWars on the air while empowering your body.
[00:29:57.330 --> 00:29:58.671]  InfoWarsStore.com.
[00:29:59.457 --> 00:30:08.003]  In Arizona, I think we watched the election be stolen, slowly stolen, day by day, counting these mail-in ballots.
[00:30:08.003 --> 00:30:17.629]  And it's absolutely absurd for anyone to take our election seriously when we just, it's election month, Alex, it's not election day.
[00:30:17.629 --> 00:30:18.730]  And that's the problem.
[00:30:18.730 --> 00:30:22.052]  And everything changed after COVID-19.
[00:30:22.052 --> 00:30:24.814]  They illegally changed state elections.
[00:30:25.714 --> 00:30:31.256]  Mailing ballots to anyone and everyone, and sometimes mailing multiple ballots to people.
[00:30:31.256 --> 00:30:33.276]  Well, this isn't any way to run an election.
[00:30:33.276 --> 00:30:37.537]  We're in a serious country when we have elections that can be stolen like this.
[00:30:37.537 --> 00:30:52.641]  And I believe that, just like I believe the election was stolen in 2020, and I have no problem saying that, and it is so absurd for the media and the Democrats to attack us that question our election integrity and question the fact that elections
[00:30:53.401 --> 00:30:55.503]  Um, shouldn't be run the way they are.
[00:30:55.503 --> 00:30:59.545]  We're not election deniers, we're election realists.
[00:30:59.545 --> 00:31:11.573]  As an all-star fighter, businessman, motivational speaker, and philanthropist, Andrew Tate has truly earned the title of Top G. But there's another title Andrew Tate holds that has enraged the globalists.
[00:31:11.573 --> 00:31:16.997]  He is consecutively the most googled man in the world in the last two years.
[00:31:16.997 --> 00:31:21.600]  And that's because his message is about human, and specifically, male empowerment.
[00:31:22.080 --> 00:31:28.327]  Now, Andrew Tate is taking his fight to empower and supercharge men to the next level.
[00:31:28.327 --> 00:31:31.290]  Introducing Top G Supplements.
[00:31:31.290 --> 00:31:36.575]  We are proud to introduce and sponsor the Top G line of supplements by Andrew Tate and his crew.
[00:31:36.575 --> 00:31:42.562]  Now you have the chance to benefit in body, mind, and soul with the same supplements that Andrew Tate takes himself.
[00:31:42.562 --> 00:31:44.484]  Learn more about these amazing products
[00:31:45.044 --> 00:31:46.767]  AndrewTatePower.com
[00:32:01.747 --> 00:32:03.968]  It's a post-COVID world now.
[00:32:03.968 --> 00:32:07.990]  Americans have lost trust in their doctors and the health care system.
[00:32:07.990 --> 00:32:09.310]  There's a solution.
[00:32:09.310 --> 00:32:10.291]  The Wellness Company.
[00:32:10.291 --> 00:32:13.592]  I'm Dr. Peter McCullough, and I'm the Chief Scientific Officer.
[00:32:13.592 --> 00:32:20.795]  And I can tell you firsthand that these verticals of uncensored content, virtual appointments, doctors on demand,
[00:32:21.075 --> 00:32:47.137]  Prescriptions through a network of community pharmacies, in-home, in vitro diagnostics, laboratory testing, imaging, an online set of holistic products can help guide you for your usual general medical care, but also COVID-19, acute and post-COVID syndromes, vaccine injury syndromes, and the array of things that now America has to work through in this new
[00:32:48.132 --> 00:32:48.412]  We're good.
[00:33:15.157 --> 00:33:20.121]  Defending the Republic from enemies, foreign and domestic.
[00:33:20.121 --> 00:33:22.003]  It's Alex Jones.
[00:33:22.003 --> 00:33:25.626]  Our love is unconditional.
[00:33:25.626 --> 00:33:28.028]  We knew it from the start.
[00:33:28.028 --> 00:33:32.251]  I see it in your eyes.
[00:33:32.251 --> 00:33:36.815]  You can feel it from my heart.
[00:33:36.815 --> 00:33:41.819]  From here on after, let's stay the way we are right now.
[00:33:43.376 --> 00:33:56.979]  If you look at SPARS, 2025-2028 war game from two years before they released the virus, I suppose from 2018.
[00:34:09.051 --> 00:34:28.567]  If you look at that multi-hundred page document, it even has example tweets of what they would put out, and it's really set in the year 2020-2023, and how they would roll it out, and how people would learn they were being poisoned, and the tweets are basically the exact same tweets, even the same acronyms, they just switch them around.
[00:34:28.567 --> 00:34:32.490]  And so they were using that as a battle plan for their whole scripted operation
[00:34:33.499 --> 00:34:35.000]  That way they get caught with it.
[00:34:35.000 --> 00:34:35.981]  Oh, it's just a drill.
[00:34:35.981 --> 00:34:37.541]  It's just a tabletop exercise.
[00:34:37.541 --> 00:34:42.264]  They're not caught with their actual battle plan that's just set in 2020, 2023.
[00:34:42.264 --> 00:34:45.967]  But what was your other question?
[00:34:45.967 --> 00:34:48.688]  How do we get Americans more engaged in this?
[00:34:48.688 --> 00:34:52.731]  I mean, when we look at, I mean, we had the truckers going all across Canada.
[00:34:52.731 --> 00:35:00.015]  You know, we had when you look at the the farmers that happened in the Netherlands and what they did and they put manure all over everybody.
[00:35:00.015 --> 00:35:01.436]  I mean, we have huge
[00:35:01.556 --> 00:35:02.536]  I'll tell you how it happened.
[00:35:02.536 --> 00:35:03.817]  I'll tell you how it happened.
[00:35:03.817 --> 00:35:06.858]  The perfect PSYOP, and I'm not saying Trump's a bad person.
[00:35:06.858 --> 00:35:09.139]  It would take an hour to analyze why he did it.
[00:35:09.139 --> 00:35:20.404]  Just like he was for Regeneron, and just like he was for hydroxychloroquine, and just like he was for ivermectin, he just trusted the doctors and said, just legalize everything, accelerate everything.
[00:35:21.224 --> 00:35:30.006]  Which they acted like was his plan, but we know from a 2018 meeting that Fauci had on C-SPAN, they said, we want to blow up the old system.
[00:35:30.006 --> 00:35:31.767]  We want to bring in mRNA.
[00:35:31.767 --> 00:35:34.668]  We don't want a five-year or 10-year test.
[00:35:34.668 --> 00:35:39.089]  It'll probably be a virus out of China, something that's respiratory.
[00:35:39.089 --> 00:35:45.751]  They were telling people what they were doing at this big consortium meeting with DHS heads and CDC heads and others.
[00:35:45.751 --> 00:35:49.592]  And they were describing how they're going to use probably a respiratory virus out of China
[00:35:50.612 --> 00:36:07.965]  As the pretext to bring in this regime and about a week ago it broke that the National Security Council was under the CDC and others rolling out in 2000 a plan that had been created in the last decade before and what they believe perfected.
[00:36:07.965 --> 00:36:10.367]  So as you said they had this on the shelf.
[00:36:10.367 --> 00:36:11.508]  They were ready for this.
[00:36:11.508 --> 00:36:13.730]  It's on record they did.
[00:36:13.730 --> 00:36:17.413]  And so when Trump went along with the initial
[00:36:18.851 --> 00:36:19.391]  I think so.
[00:36:42.071 --> 00:36:43.233]  I mean, Trump wants to reopen.
[00:36:43.233 --> 00:36:44.115]  He wants to kill you.
[00:36:44.115 --> 00:36:50.026]  They became the party of pushing the whole agenda, which was always scripted as an alien dialectic.
[00:36:50.026 --> 00:36:52.331]  So Trump got Americans to stand down.
[00:36:53.547 --> 00:36:54.227]  I don't think so.
[00:37:13.298 --> 00:37:13.619]  I don't
[00:37:34.481 --> 00:37:35.102]  Very well stated, Alex.
[00:37:35.102 --> 00:37:35.962]  That's very, very well stated.
[00:37:35.962 --> 00:37:38.244]  Do you think Trump will ever denounce the shots?
[00:37:38.244 --> 00:37:38.484]  No.
[00:37:38.484 --> 00:37:44.129]  You know, his strength in going up against the globalists is that he's so pigheaded they couldn't make him do what they wanted.
