[00:00.000 --> 00:28.000]  From the Infowars.com News Center, deep behind enemy lines, in the middle of the night,
[32:42.000 --> 32:48.000]  It's simple. Just go to info-worse-team.com today. Complete a short sign-up and you're part of the team.
[32:48.000 --> 32:51.000]  That's info-worse-team.com or info-worse-health.com.
[32:51.000 --> 32:57.000]  So many people calling to my radio show and telling me how Young Jevity and the products at info-worse-team.com have changed their lives.
[32:57.000 --> 32:59.000]  Check it out for yourself today.
[33:01.000 --> 33:02.000]  We've got it.
[33:02.000 --> 33:04.000]  That Christmas is coming to you.
[33:08.000 --> 33:10.000]  Waging war on corruption.
[33:10.000 --> 33:18.000]  It's Alex Jones coming to you live from the front lines of the info-worse.
[33:23.000 --> 33:25.000]  We have so much to cover.
[33:27.000 --> 33:31.000]  Quite frankly, I probably shouldn't even announce this or launch this today, but I am.
[33:32.000 --> 33:34.000]  We spent a lot of money on it.
[33:34.000 --> 33:36.000]  It's a free app.
[33:36.000 --> 33:43.000]  In about two months, part two will be added to the app where it's going to have even more incredible features, but it's got a bunch of them right now.
[33:44.000 --> 33:47.000]  We've got an app that we came out with about five years ago.
[33:47.000 --> 33:50.000]  It's just an audio app that over a million people have downloaded for free.
[33:50.000 --> 33:52.000]  It's the Apple app.
[33:52.000 --> 33:56.000]  There's a bunch of other apps that are out there that other people have made.
[33:56.000 --> 34:02.000]  They're Droid apps that are not ours, but I love getting all the customer service emails and calls by everybody else's apps that are ours.
[34:02.000 --> 34:04.000]  That's fine. I don't care. I'm not complaining.
[34:04.000 --> 34:07.000]  But we have made info-worse live app.
[34:07.000 --> 34:13.000]  And I'm getting right back into the terror attacks and the bombings and the stabbings and all the other jihad fun that's going on,
[34:13.000 --> 34:19.000]  because we dare give these people welfare and bring them here and just give them everything for free and then have our leftist media piss all over us.
[34:19.000 --> 34:20.000]  Excuse me.
[34:20.000 --> 34:21.000]  Excuse me, God.
[34:21.000 --> 34:23.000]  I'm just so angry right now.
[34:23.000 --> 34:30.000]  I'm really so fundamentally angry with the media, how deceptive they are, what traders they are, how low they are.
[34:30.000 --> 34:35.000]  Hillary, all of you are just sickening, horrible people.
[34:35.000 --> 34:40.000]  You have to work to be such scum.
[34:40.000 --> 34:46.000]  And I'm so sick of you and I'm so sick of some of the general public that still sits there.
[34:46.000 --> 34:53.000]  It's like that Perino lady during a Bush press conference or during one of those White House press conferences.
[34:53.000 --> 34:59.000]  She was sitting there and they said, is it true the dollar's down?
[34:59.000 --> 35:02.000]  And that's why oil prices are blah, blah, blah.
[35:02.000 --> 35:05.000]  I mean, you don't need to ask her if that was the case.
[35:05.000 --> 35:10.000]  You could just go do basic economics and know it, but it's like, it's not a terror bombing till they say.
[35:10.000 --> 35:12.000]  It's not a Muslim till they say.
[35:12.000 --> 35:19.000]  It's not a crime till they say for at least five years and we've had the witnesses on.
[35:19.000 --> 35:22.000]  In Homeland Security, they're not allowed to call a terror attack a terror attack.
[35:22.000 --> 35:24.000]  They're not allowed to call a mosque a mosque.
[35:24.000 --> 35:26.000]  They're not allowed to call a Muslim a Muslim.
[35:26.000 --> 35:38.000]  They're not allowed to call an al-Qaeda person or an ISIS person by their name under federal regulations or they get reprimanded or fired.
[35:38.000 --> 35:40.000]  I mean, we've had the whistleblowers on. We ought to have them back on.
[35:40.000 --> 35:42.000]  Imagine that.
[35:42.000 --> 35:43.000]  This is the level of control.
[35:43.000 --> 35:48.000]  Do you think they're just telling us don't use the word Muslim or bomb or terror attack?
[35:48.000 --> 35:52.000]  That's what the FBI is told.
[35:52.000 --> 35:54.000]  That's what customs is told.
[35:54.000 --> 36:00.000]  That's what it is to live in a mind control country where they tell you what language to use.
[36:00.000 --> 36:14.000]  Because the sickening globalists and George Soros are allied with radical Islam and are taking over 23 countries as we speak, taking them over.
[36:14.000 --> 36:17.000]  The West is only in a destabilization program right now.
[36:17.000 --> 36:19.000]  We aren't to that point yet.
[36:19.000 --> 36:25.000]  But in Sweden and Germany and France, they're putting ads on saying you are demoralized.
[36:25.000 --> 36:26.000]  You are dead.
[36:26.000 --> 36:27.000]  You are over.
[36:27.000 --> 36:29.000]  Give up to the Hajib.
[36:29.000 --> 36:33.000]  Give up to Mohammed and Allah.
[36:33.000 --> 36:34.000]  Allah Akbar.
[36:34.000 --> 36:37.000]  We're going to stab your daughter at the mall.
[36:37.000 --> 36:39.000]  We're going to stab your wife, your son.
[36:39.000 --> 36:41.000]  We're going to stab you with a butcher knife.
[36:41.000 --> 36:45.000]  And then the police chief's going to get up and say, we love our Somalis.
[36:45.000 --> 36:47.000]  We love our Muslims.
[36:47.000 --> 36:49.000]  Oh, they're so good.
[36:49.000 --> 36:53.000]  Oh, they're so sweet.
[36:53.000 --> 36:55.000]  I was watching Fox News.
[36:55.000 --> 37:00.000]  I worked out this morning and they had the police chief on making excuses from that town of Minnesota.
[37:00.000 --> 37:02.000]  And they had the Fox News host.
[37:02.000 --> 37:04.000]  This is the fair and balance channel going.
[37:04.000 --> 37:06.000]  Donald Trump really stepped in at this time.
[37:06.000 --> 37:10.000]  He said it was a bombing before it had officially been called a bombing.
[37:10.000 --> 37:16.000]  And Hillary's on him and she's got some really good points.
[37:16.000 --> 37:23.000]  Fox is where MSNBC was two or three years ago.
[37:23.000 --> 37:30.000]  Now MSNBC is foam at the mouth deception and is so filled with hate of you and your family.
[37:30.000 --> 37:32.000]  They can't even control it.
[37:32.000 --> 37:35.000]  I mean, you look at the body language of Rachel Maddow.
[37:35.000 --> 37:38.000]  She is in a sport, a death sport.
[37:38.000 --> 37:40.000]  She wants to conquer you.
[37:40.000 --> 37:42.000]  She hates Christians.
[37:42.000 --> 37:46.000]  They had a former top diplomat come out last week and say, who hadn't even really been a Christian?
[37:46.000 --> 37:48.000]  He says, I'm not even a right winger or a big Christian.
[37:48.000 --> 37:50.000]  I'm telling you, I'm going to pull the arc.
[37:50.000 --> 37:52.000]  We don't have that guy on.
[37:52.000 --> 37:56.000]  He said, we're taking Russia down because they're Christian, period.
[37:56.000 --> 38:00.000]  Hollywood runs the U.S. and they hate Christians.
[38:00.000 --> 38:03.000]  I mean, I'm telling you people, this is sick.
[38:03.000 --> 38:11.000]  The leftist hate Christians so much that they will literally burn the city.
[38:11.000 --> 38:14.000]  They literally burn this country down if they need to to get full control.
[38:14.000 --> 38:18.000]  It's like George Soros in his emails is talking about how to bring Israel down.
[38:18.000 --> 38:20.000]  You say what you want about Israel.
[38:20.000 --> 38:24.000]  Israel has done some oppression, done some bad things, but they're fighting people that want them exterminated.
[38:24.000 --> 38:26.000]  What do you expect?
[38:26.000 --> 38:30.000]  Then there's the argument, well, Israel didn't have that area for a thousand years.
[38:30.000 --> 38:34.000]  Okay, but I mean, the Jews were in the Middle East at one point.
[38:34.000 --> 38:36.000]  They'll argue, oh, there's no Jews.
[38:36.000 --> 38:37.000]  Those aren't real Jews.
[38:37.000 --> 38:39.000]  Then they do the DNA test and test the bones.
[38:39.000 --> 38:41.000]  It's the same damn people, you know, mixed with Europeans.
[38:41.000 --> 38:43.000]  It doesn't even matter.
[38:43.000 --> 38:49.000]  I've never even been some Israel first year, but that's back when the globalists were trying to stir up the Middle East.
[38:49.000 --> 38:52.000]  I was trying to stop this class of civilizations.
[38:52.000 --> 38:53.000]  They've done it.
[38:53.000 --> 38:55.000]  They've radicalized the Muslims.
[38:55.000 --> 38:57.000]  They've blown the doors open.
[38:57.000 --> 38:58.000]  The borders are open.
[38:58.000 --> 39:00.000]  The Mediterranean is open.
[39:00.000 --> 39:02.000]  Georgia is open.
[39:02.000 --> 39:04.000]  Albania is open.
[39:04.000 --> 39:06.000]  Macedonia is open.
[39:06.000 --> 39:07.000]  Turkey is open.
[39:07.000 --> 39:12.000]  Millions are pouring in people of the very worst type that kill each other.
[39:12.000 --> 39:13.000]  Do you understand?
[39:13.000 --> 39:14.000]  It's an attack.
[39:14.000 --> 39:15.000]  It's red level.
[39:15.000 --> 39:16.000]  It doesn't matter now.
[39:16.000 --> 39:20.000]  You've got to choose sides at this point.
[39:20.000 --> 39:22.000]  The globalists have overrun us.
[39:22.000 --> 39:24.000]  There's not 100,000 people they brought in.
