[00:00.000 --> 00:01.600]  We've got it, son.
[1:36:41.240 --> 1:36:45.240]  And to make it worse, we give our hard-earned money every month
[1:36:45.240 --> 1:36:50.240]  to the insurance companies to gain access to this type of nonsense.
[1:36:50.240 --> 1:36:52.240]  And now the insurance companies, oh, my big banks,
[1:36:52.240 --> 1:36:55.240]  wrote the law to make us buy the healthcare,
[1:36:55.240 --> 1:36:57.240]  which they admit has already increased the price
[1:36:57.240 --> 1:36:59.240]  over 25% in just a year.
[1:36:59.240 --> 1:37:02.240]  When it goes into effect, it's like 40%.
[1:37:02.240 --> 1:37:04.240]  And then now government and literal death panels
[1:37:04.240 --> 1:37:06.240]  control what healthcare you get.
[1:37:06.240 --> 1:37:09.240]  So you pay a ton for nothing but crud.
[1:37:09.240 --> 1:37:10.240]  It's nothing but crud.
[1:37:10.240 --> 1:37:12.240]  And unless you pay it, they find you, right?
[1:37:12.240 --> 1:37:17.240]  So this is just another intention of the powers that be
[1:37:17.240 --> 1:37:20.240]  to drive home this subliminal message
[1:37:20.240 --> 1:37:24.240]  that MD-directed pharmaceutical centrist surgical medicine
[1:37:24.240 --> 1:37:26.240]  is the best thing in the world.
[1:37:26.240 --> 1:37:29.240]  It's the only thing that you need to use for your health
[1:37:29.240 --> 1:37:31.240]  and everybody else is a substandard.
[1:37:31.240 --> 1:37:33.240]  And they're covering up the number one cause of death now
[1:37:33.240 --> 1:37:36.240]  is a composite of infections, drug interactions,
[1:37:36.240 --> 1:37:37.240]  and other things.
[1:37:37.240 --> 1:37:40.240]  The number one cause of death, they say it's number three,
[1:37:40.240 --> 1:37:43.240]  the number one cause of death is now hospitals.
[1:37:43.240 --> 1:37:46.240]  Everyone I know that goes to have minor surgeries.
[1:37:46.240 --> 1:37:47.240]  They go to have liposuction.
[1:37:47.240 --> 1:37:48.240]  They go to have a knee surgery.
[1:37:48.240 --> 1:37:50.240]  They're dead, young people.
[1:37:50.240 --> 1:37:53.240]  People take their kids in to have a circumcision redone.
[1:37:53.240 --> 1:37:56.240]  Dead, dead, dead, dead.
[1:37:56.240 --> 1:37:58.240]  But we're supposed to worship it.
[1:37:58.240 --> 1:37:59.240]  Yeah, and we do.
[1:37:59.240 --> 1:38:00.240]  And we do.
[1:38:00.240 --> 1:38:03.240]  We genuflect at that altar all the time.
[1:38:03.240 --> 1:38:05.240]  By the way, on the front page of my website,
[1:38:05.240 --> 1:38:08.240]  you can get that 45-page document for free.
[1:38:08.240 --> 1:38:10.240]  It's called Death by Medicine.
[1:38:10.240 --> 1:38:13.240]  It draws statistics from the Journal of the American Medical Association.
[1:38:13.240 --> 1:38:14.240]  Plug it. Plug it.
[1:38:14.240 --> 1:38:15.240]  The Journal of Medicine.
[1:38:15.240 --> 1:38:17.240]  People on your website want FireMD.
[1:38:17.240 --> 1:38:19.240]  Yeah, fireyourmdnow.com.
[1:38:19.240 --> 1:38:21.240]  Fireyourmdnow.com.
[1:38:21.240 --> 1:38:23.240]  If you want to download the document, it's free.
[1:38:23.240 --> 1:38:26.240]  It shows you right there, Death by the Numbers.
[1:38:26.240 --> 1:38:29.240]  Literally, every day, every day last week.
[1:38:29.240 --> 1:38:32.240]  Everywhere I went, everyone I knew had friends and family
[1:38:32.240 --> 1:38:34.240]  dying of infections in hospitals.
[1:38:34.240 --> 1:38:38.240]  Yeah, 780,000 people a year are killed by MD treatment.
[1:38:38.240 --> 1:38:39.240]  780,000.
[1:38:39.240 --> 1:38:42.240]  550,000 are killed by cancer.
[1:38:42.240 --> 1:38:45.240]  That means you're MD, for goodness' sake,
[1:38:45.240 --> 1:38:47.240]  is more dangerous than cancer.
[1:38:47.240 --> 1:38:49.240]  That's a very conservative number you just gave.
[1:38:49.240 --> 1:38:50.240]  The number I've got is over 2 million.
[1:38:50.240 --> 1:38:52.240]  Because if you add drug interactions and all that,
[1:38:52.240 --> 1:38:53.240]  it's well above that.
[1:38:53.240 --> 1:38:57.240]  Then if you add automobile accidents caused by drivers
[1:38:57.240 --> 1:39:00.240]  under the influence of Prozac and statin drugs,
[1:39:00.240 --> 1:39:01.240]  it gets even worse.
[1:39:01.240 --> 1:39:04.240]  Which they admit statin literally eats your brain.
[1:39:04.240 --> 1:39:05.240]  Now they want to put it in the water supply.
[1:39:05.240 --> 1:39:08.240]  Listen, let's stop right there for just a moment.
[1:39:08.240 --> 1:39:12.240]  Now again, breast cancer is the highest in the world here.
[1:39:12.240 --> 1:39:15.240]  It's up several thousand percent in just the last 40 years.
[1:39:15.240 --> 1:39:16.240]  People can look that up.
[1:39:16.240 --> 1:39:17.240]  It's not debated.
[1:39:17.240 --> 1:39:19.240]  We lead the world in neurological disorders, cancer, obesity.
[1:39:19.240 --> 1:39:21.240]  They know what they're doing, feeding us.
[1:39:21.240 --> 1:39:22.240]  Empty calories.
[1:39:22.240 --> 1:39:24.240]  They don't have minerals and vitamins in it.
[1:39:24.240 --> 1:39:25.240]  It's all about find the cure.
[1:39:25.240 --> 1:39:27.240]  How about find the cause?
[1:39:27.240 --> 1:39:31.240]  If the emergency room had a thousand Dalasites,
[1:39:31.240 --> 1:39:34.240]  or Chicagoites, or New Yorkites, or whatever they are,
[1:39:34.240 --> 1:39:37.240]  Austinites coming in with gunshot wounds, you wouldn't be.
[1:39:37.240 --> 1:39:40.240]  Let's learn how to fix gunshot wounds to the head.
[1:39:40.240 --> 1:39:42.240]  It'd be, why are a thousand people not getting shot
[1:39:42.240 --> 1:39:44.240]  with a double-lock buck or a 50 caliber?
[1:39:44.240 --> 1:39:48.240]  Instead, it's like, yeah, let's find the cure to gunshot wounds.
[1:39:48.240 --> 1:39:50.240]  Why is the cancer exploding?
[1:39:50.240 --> 1:39:51.240]  Why is all this happening?
[1:39:51.240 --> 1:39:55.240]  Well, because the medical profession that's in charge
[1:39:55.240 --> 1:39:57.240]  of your disease management, it's not healthcare,
[1:39:57.240 --> 1:40:00.240]  does not care about the cause of disease.
[1:40:00.240 --> 1:40:04.240]  Their training has nothing to do with causes of disease.
[1:40:04.240 --> 1:40:06.240]  And this is, you have to understand this.
[1:40:06.240 --> 1:40:08.240]  The MDs bless their hearts.
[1:40:08.240 --> 1:40:09.240]  This is the big kahuna.
[1:40:09.240 --> 1:40:10.240]  This is the big kahuna.
[1:40:10.240 --> 1:40:11.240]  This is the big kahuna.
[1:40:11.240 --> 1:40:12.240]  This is the answer.
[1:40:12.240 --> 1:40:14.240]  This is the keymaster right now.
[1:40:14.240 --> 1:40:19.240]  They are trained not to look for the cause of the disease.
[1:40:19.240 --> 1:40:22.240]  They are trained to manage the symptoms with drugs.
[1:40:22.240 --> 1:40:26.240]  That's their training, to manage the symptoms with drugs.
[1:40:26.240 --> 1:40:27.240]  So the dam's about to break.
[1:40:27.240 --> 1:40:29.240]  They would come and try to hand people life rafts
[1:40:29.240 --> 1:40:31.240]  instead of fixing the dam.
[1:40:31.240 --> 1:40:34.240]  You know, they can't even cure a heartburn for goodness' sake.
[1:40:34.240 --> 1:40:39.240]  And we've given them $600 billion to come up with a cure for cancer.
[1:40:39.240 --> 1:40:41.240]  And they can't even cure a heartburn.
[1:40:41.240 --> 1:40:42.240]  Milk.
[1:40:42.240 --> 1:40:43.240]  You've got to be kidding me.
[1:40:43.240 --> 1:40:46.240]  What do you do for heartburn?
[1:40:46.240 --> 1:40:48.240]  Well, heartburn, the main cause of heartburn
[1:40:48.240 --> 1:40:51.240]  is not enough salt in the body and not enough calcium.
[1:40:51.240 --> 1:40:53.240]  If you start salting your food regularly
[1:40:53.240 --> 1:40:56.240]  and take a good calcium supplement that's in the Alex pack,
[1:40:56.240 --> 1:40:59.240]  heartburn will go away in about seven days.
[1:40:59.240 --> 1:41:01.240]  And for those that don't know, we have put together
[1:41:01.240 --> 1:41:04.240]  the widest spectrums of vitamins, minerals, trace elements,
[1:41:04.240 --> 1:41:08.240]  the best products at infoorsehealth.com that he's mentioning there.
[1:41:08.240 --> 1:41:09.240]  infoorsehealth.com.
[1:41:09.240 --> 1:41:11.240]  And when you purchase these great products there,
[1:41:11.240 --> 1:41:14.240]  it also supports the broadcast and what we're doing.
[1:41:14.240 --> 1:41:15.240]  And it's just revolutionary.
[1:41:15.240 --> 1:41:18.240]  Take Beyond Tangy Tangerine and Polymers Plus
[1:41:18.240 --> 1:41:21.240]  and the essential fatty acids that you guys have put together,
[1:41:21.240 --> 1:41:24.240]  you and Doc Wallach and others, and Corey Gold, Dr. Corey Gold.
[1:41:24.240 --> 1:41:29.240]  What's amazing about this is that, now that we're segueing off into that,
[1:41:29.240 --> 1:41:32.240]  is that when they do take these, Aaron Dykes,
[1:41:32.240 --> 1:41:35.240]  who had gotten about 100 pounds overweight,
[1:41:35.240 --> 1:41:38.240]  he lost 92 pounds in a year.
[1:41:38.240 --> 1:41:41.240]  He's now eight months later, he's kept it off.
[1:41:41.240 --> 1:41:43.240]  The guy looks like a movie star or something,
[1:41:43.240 --> 1:41:45.240]  literally compared to the way he looked.
[1:41:45.240 --> 1:41:49.240]  And all the products he used that I discovered basically
[1:41:49.240 --> 1:41:52.240]  listening to you guys, he tried a bunch of other stuff,
[1:41:52.240 --> 1:41:55.240]  actually kind of got into this, trying to help Aaron and some family.
[1:41:55.240 --> 1:41:57.240]  None of it was advertised as weight loss.
[1:41:57.240 --> 1:41:58.240]  That's what's insane.
[1:41:58.240 --> 1:42:00.240]  The stuff that made him lose weight,
[1:42:00.240 --> 1:42:03.240]  the full mineral spectrum, vitamin spectrum stuff,
[1:42:03.240 --> 1:42:06.240]  like Beyond Tangy Tangerine at infoorsehealth.com,
[1:42:06.240 --> 1:42:09.240]  that's what's incredible is it wasn't advertised as that.
[1:42:09.240 --> 1:42:12.240]  Well, when you practice holistic medicine, you know,
[1:42:12.240 --> 1:42:15.240]  you get results because the therapeutics that were trained in,
[1:42:15.240 --> 1:42:18.240]  that nature paths trained in, are designed to support,
[1:42:18.240 --> 1:42:20.240]  promote the body's ability to fix itself.
[1:42:20.240 --> 1:42:22.240]  Now, I've been doing this for over 20 years.
[1:42:22.240 --> 1:42:24.240]  And in the last four years,
[1:42:24.240 --> 1:42:26.240]  I've been mentoring exclusively with Dr. Wallach.
[1:42:26.240 --> 1:42:28.240]  And as God as my witness, Alex,
[1:42:28.240 --> 1:42:31.240]  since I've been following Dr. Wallach's methodology
[1:42:31.240 --> 1:42:33.240]  and using Dr. Wallach's nutritional supplements,
[1:42:33.240 --> 1:42:36.240]  I don't even know what planet I'm on anymore,
[1:42:36.240 --> 1:42:41.240]  because the things that I've seen people recover from, eclips anything in my free time.
[1:42:41.240 --> 1:42:44.240]  But it turns out the low calorie, high nutrient dense diet
[1:42:44.240 --> 1:42:46.240]  is what the elites are into,
[1:42:46.240 --> 1:42:50.240]  and it's making rats and worms live two to three times longer.
[1:42:50.240 --> 1:43:04.240]  We'll be right back. Stay with us.
[1:43:21.240 --> 1:43:23.240]  Silver Soul is a broad-spectrum microbial
[1:43:23.240 --> 1:43:26.240]  that creates no resistance and does not harm beneficial bacteria,
[1:43:26.240 --> 1:43:28.240]  making it ideal for daily use.
[1:43:28.240 --> 1:43:30.240]  It can be used internally as well as topically
[1:43:30.240 --> 1:43:34.240]  and is highly effective against viruses, bacteria, molds, and yeasts.
[1:43:34.240 --> 1:43:38.240]  With threats like West Nile virus, colds, flus, or any other emergency situation,
[1:43:38.240 --> 1:43:40.240]  arm yourself with supernatural silver.
[1:43:40.240 --> 1:43:44.240]  Silver Soul liquid and gel are perfect for on-the-go emergency preparedness
[1:43:44.240 --> 1:43:46.240]  and can provide protection at home, school, or work.
[1:43:46.240 --> 1:43:49.240]  Go to supernaturalsilver.com and be prepared for any emergency.
[1:43:49.240 --> 1:43:52.240]  Remember the promo code Alex says for 20% off.
[1:43:52.240 --> 1:44:21.240]  That's www.supernaturalsilver.com and like us on Facebook.
[1:44:22.240 --> 1:44:27.240]  Or call 800-340-7091 for a free catalog.
[1:44:27.240 --> 1:44:29.240]  Buy the one to two month sample package
[1:44:29.240 --> 1:44:33.240]  and enjoy soaps that are twice as good as what you're using now.
[1:44:33.240 --> 1:44:38.240]  Or save big with a one to two year supply of soap for all your cleaning needs.
[1:44:38.240 --> 1:44:40.240]  This is an amazing deal.
[1:44:40.240 --> 1:44:42.240]  You can save thousands of dollars
[1:44:42.240 --> 1:44:45.240]  and you will love the way real soap makes you feel.
[1:44:45.240 --> 1:44:57.240]  See them on the web at 5starsope.com or call 800-340-7091 for a free catalog.
[1:44:57.240 --> 1:44:59.240]  The worst drought in 50 years continues
[1:44:59.240 --> 1:45:03.240]  and the first six months of 2012 marks the hottest half year on record.
[1:45:03.240 --> 1:45:06.240]  78% of the Midwest corn belt is in drought conditions.
[1:45:06.240 --> 1:45:11.240]  Not only corn, but soy, alfalfa, fruits, vegetables, and wheat are all impacted, raising prices.
[1:45:11.240 --> 1:45:16.240]  The cost to feed livestock is forcing farmers and ranchers out of business, blowing up your food prices.
[1:45:16.240 --> 1:45:20.240]  The only strategy to counter this is to freeze your food costs to today's prices
[1:45:20.240 --> 1:45:24.240]  by getting your own supply of foods from Eat Foods Direct now.
[1:45:24.240 --> 1:45:28.240]  As the price of raw ingredients increases, Eat Foods will have to raise prices too.
[1:45:28.240 --> 1:45:30.240]  Now is the time to get your supply.
[1:45:30.240 --> 1:45:32.240]  I recently increased my supply from Eat Foods Direct
[1:45:32.240 --> 1:45:34.240]  because we've all known this was coming.
[1:45:34.240 --> 1:45:37.240]  You know about their delicious long term storeable foods.
[1:45:37.240 --> 1:45:39.240]  The fact is you can eat it anytime to save money today
[1:45:39.240 --> 1:45:44.240]  and because it's stored for 25 years, you're locking in today's prices and avoiding the rising food cost.
[1:45:44.240 --> 1:45:50.240]  Don't wait. Call 800-409-5633 or go to EatFoodsDirect.com forward slash Alex.
[1:45:50.240 --> 1:45:54.240]  Call 800-409-5633 or EatFoodsDirect.com forward slash Alex.
[1:45:54.240 --> 1:46:20.240]  You can bet your life on Eat Foods Direct.
[1:46:24.240 --> 1:46:29.240]  Even today, Japanese eat miso, Africans eat fermented porges, Koreans eat kamichi,
[1:46:29.240 --> 1:46:32.240]  and in India, fermented milk is a staple for healthy living.
[1:46:32.240 --> 1:46:33.240]  But here's some good news.
[1:46:33.240 --> 1:46:39.240]  Self-reliant Americans can now discover the secrets to making these amazing fermented foods legally and privately in their own homes.
[1:46:39.240 --> 1:46:42.240]  Since it's still legal to make these foods as long as you can make them yourself.
[1:46:42.240 --> 1:46:45.240]  For more information, check out fermentationfactor.com.
[1:46:45.240 --> 1:46:47.240]  That's fermentationfactor.com.
[1:46:47.240 --> 1:46:50.240]  It's easy to create your own powerful fermented foods
[1:46:50.240 --> 1:46:53.240]  and you can do it by going to www.fermentationfactor.com.
[1:46:53.240 --> 1:46:58.240]  That's www.fermentationfactor.com.
[1:46:58.240 --> 1:47:02.240]  Coast to coast, direct from Austin.
[1:47:02.240 --> 1:47:07.240]  You're listening to the Alex Jones Broadcasting Network.
[1:47:07.240 --> 1:47:15.240]  Defending the Republic from enemies, foreign and domestic.
[1:47:15.240 --> 1:47:19.240]  It's Alex Jones.
[1:47:19.240 --> 1:47:24.240]  I want to say this very slowly. You can write this down and look it up.
[1:47:24.240 --> 1:47:27.240]  It's mainstream. It's not debated.
[1:47:27.240 --> 1:47:32.240]  The Rockefellers were Nazis before the Nazis even had that name.
[1:47:32.240 --> 1:47:37.240]  They wanted sciences to control the United States and other countries they'd taken over.
[1:47:37.240 --> 1:47:40.240]  Because people were uppity. They wanted freedom. They knew what was going on.
[1:47:40.240 --> 1:47:45.240]  They knew what crony capitalists were anti-free market monopoly men.
[1:47:45.240 --> 1:47:51.240]  About 100 years ago, it was around 1910, 1912, that whole area, 1913.
[1:47:51.240 --> 1:47:57.240]  Right about 100 years ago, they took over and banned and restricted the other three types of medicine.
[1:47:57.240 --> 1:48:01.240]  They discovered by the 30s that cancer was viral, sort of putting that in vaccines.
[1:48:01.240 --> 1:48:06.240]  Now cancer is up several thousand percent on average just the last few decades.
[1:48:06.240 --> 1:48:09.240]  Cancer was like super rare 100 years ago.
[1:48:09.240 --> 1:48:11.240]  They just kill us. They murder us.
[1:48:11.240 --> 1:48:16.240]  And they funded Hitler, the Kaiser Wilhelm Institute. Before that, they funded Margaret Sanger.
[1:48:16.240 --> 1:48:20.240]  They created welfare to make us dependent.
[1:48:20.240 --> 1:48:23.240]  And they know what they're doing.
[1:48:23.240 --> 1:48:26.240]  Going back to Dr. Peter Glidden.
[1:48:26.240 --> 1:48:31.240]  Doc, it's not just avoiding GMO. It's not just drinking pure water.
[1:48:31.240 --> 1:48:34.240]  It really is getting wide spectrum vitamins and minerals.
[1:48:34.240 --> 1:48:36.240]  But even the vitamins they've got are synthetic.
[1:48:36.240 --> 1:48:41.240]  What is the difference between the wide spectrum of vitamins, minerals and products for everything
[1:48:41.240 --> 1:48:45.240]  you can imagine that we have at InfoWarsHealth.com or InfoWarsTeam.com
[1:48:45.240 --> 1:48:49.240]  if you want to be a distributor on all the products and get discounts and get free shipping.
[1:48:49.240 --> 1:48:50.240]  InfoWarsTeam.com.
[1:48:50.240 --> 1:48:54.240]  What is the difference between the products that Dr. Wallach and Dr. Corey Gold and yourself
[1:48:54.240 --> 1:48:56.240]  and others have worked on?
[1:48:56.240 --> 1:49:03.240]  One of the biggest companies down in the country when it comes to alternative medicine and healthcare, vitamins, minerals, you name it.
[1:49:03.240 --> 1:49:07.240]  What is the difference between what you guys have developed that has such incredible results
[1:49:07.240 --> 1:49:12.240]  versus what even establishment vitamin and mineral pushers have?
[1:49:12.240 --> 1:49:14.240]  Well, it's the recipe. The recipe is everything.
[1:49:14.240 --> 1:49:17.240]  You know, vitamins are no different than chicken soup.
[1:49:17.240 --> 1:49:24.240]  It's the recipe. The ingredients, how they're put together, the amount of stuff, how it's made, how it's stored.
[1:49:24.240 --> 1:49:25.240]  It's the recipe.
[1:49:25.240 --> 1:49:33.240]  Yongevity's recipe of nutritional supplements is formulated from $25 million of research,
[1:49:33.240 --> 1:49:37.240]  26,000 autopsies, 10 million blood chemistries and histopathologies,
[1:49:37.240 --> 1:49:44.240]  and 30 years of clinical work by licensed naturopathic physicians applying all of this research.
[1:49:44.240 --> 1:49:51.240]  This is a no-brainer when it comes to vitamins and minerals and medical nutrition.
[1:49:51.240 --> 1:49:57.240]  You should rely on the profession that's trained in medical nutrition, right?
[1:49:57.240 --> 1:49:58.240]  I mean, that just makes sense.
[1:49:58.240 --> 1:50:02.240]  There's no other vitamin company in the world that has Dr. Wallach.
[1:50:02.240 --> 1:50:06.240]  There's no other vitamin company in the world that has access to Dr. Wallach's knowledge base
[1:50:06.240 --> 1:50:11.240]  and the research that Dr. Wallach was in charge of from 1970 to 1982.
[1:50:11.240 --> 1:50:12.240]  It's that simple.
[1:50:12.240 --> 1:50:16.240]  It all comes down to the recipe, right?
[1:50:16.240 --> 1:50:21.240]  Andy Boone Springs' Green Apple Wine is quite a bit different from a nice California Cabernet,
[1:50:21.240 --> 1:50:23.240]  and they're all made from grapes.
[1:50:23.240 --> 1:50:25.240]  Well, it's exactly the same with vitamins.
[1:50:25.240 --> 1:50:27.240]  It's the recipe is everything.
[1:50:27.240 --> 1:50:29.240]  You have to have a superior recipe.
[1:50:29.240 --> 1:50:32.240]  And as God as my witness, Yongevity's is.
[1:50:32.240 --> 1:50:36.240]  It's the best stuff I've ever seen, and I've been doing this for over 20 years.
[1:50:36.240 --> 1:50:40.240]  It is something that I certainly am proud to promote because I've seen the effects,
[1:50:40.240 --> 1:50:45.240]  but what's sick is that when he worked for the federal government over those decades,
[1:50:45.240 --> 1:50:46.240]  he's a pretty famous guy.
[1:50:46.240 --> 1:50:48.240]  He's the guy that's won all these court cases.
[1:50:48.240 --> 1:50:51.240]  They even allow us to have vitamins and minerals with Codex Alimentarius.
[1:50:51.240 --> 1:50:58.240]  People don't know in South Korea you got to go get a prescription to get essential fatty acids or fish oil or aspirin for that matter.
[1:50:58.240 --> 1:51:03.240]  Now, they don't know that it's openly being pushed that you have to buy everything from the establishment,
[1:51:03.240 --> 1:51:07.240]  from them adulterated at 10, 20, 30 times the price.
[1:51:07.240 --> 1:51:11.240]  I mean, they do not want people to know that GMOs and the food,
[1:51:11.240 --> 1:51:19.240]  they don't want you to know that there's all these things that so many diseases are actually caused by deficiencies.
[1:51:19.240 --> 1:51:22.240]  And I mentioned as we went to break, anybody can pull this up.
[1:51:22.240 --> 1:51:26.240]  Everybody's heard it on the news where rats and mice live two, three times longer
[1:51:26.240 --> 1:51:31.240]  with super high nutrient dense diets, insects even longer.
[1:51:31.240 --> 1:51:33.240]  Well, yeah, because it's got the trace elements.
[1:51:33.240 --> 1:51:34.240]  It's got the full spectrum.
[1:51:34.240 --> 1:51:40.240]  Even mainline doctors say, well, well, that's true, but they tell you to take a smaller spectrum of it.
[1:51:40.240 --> 1:51:43.240]  Why doesn't the power structure let people know about this?
[1:51:43.240 --> 1:51:49.240]  I mean, my dad is an oral surgeon and a dentist and he volunteers two weeks every year.
[1:51:49.240 --> 1:51:55.240]  Usually you go to Mexico or Belize or Honduras to do free medical care on street children.
[1:51:55.240 --> 1:51:59.240]  But he went to Paraguay, landlocked down in South America this year.
[1:51:59.240 --> 1:52:04.240]  He went to a soccer game the last day and somebody threw a hand grenade out on the field and blew people up pretty wild.
[1:52:04.240 --> 1:52:10.240]  But the Amish are the only people keeping the country going and they have the North area of the country that they developed that was desert
[1:52:10.240 --> 1:52:12.240]  and they produce most of the food.
[1:52:12.240 --> 1:52:17.240]  Well, the head Amish guy has a program where he gives candies that have full spectrum minerals in them
[1:52:17.240 --> 1:52:23.240]  and it's ended like this street children that are blind and mentally retarded
[1:52:23.240 --> 1:52:30.240]  and just with the minerals and now the UN's down there trying to stop the Amish from saving the kids, Doc.
[1:52:30.240 --> 1:52:34.240]  Yeah, it's unbelievable. Dr. Wallach discovered the cause in the cure for cystic fibrosis.
[1:52:34.240 --> 1:52:39.240]  It was a selenium deficiency in the blood of the pregnant mother and they fired him.
[1:52:39.240 --> 1:52:45.240]  They squashed the research and then they blackballed them at every major teaching hospital in the United States.
[1:52:45.240 --> 1:52:52.240]  Wallach's research clued us into the fact that the majority of chronic diseases are caused by nutrient deficiencies
[1:52:52.240 --> 1:52:54.240]  and this is the biggest thing that we need to know.
[1:52:54.240 --> 1:52:58.240]  Why are the powers that be? Why don't they want us to know this?
[1:52:58.240 --> 1:53:00.240]  Why they don't want us to know this?
[1:53:00.240 --> 1:53:05.240]  Because if by some genie in the bottle magic, tomorrow morning everybody woke up
[1:53:05.240 --> 1:53:11.240]  and there was equal access for naturopathic medicine, equal funding for naturopathic medicine,
[1:53:11.240 --> 1:53:15.240]  equal insurance coverage and hospital privileges for holistic medicine,
[1:53:15.240 --> 1:53:19.240]  within two, three years the MDs would be out of business and they know it.
[1:53:19.240 --> 1:53:22.240]  It is all about big pharma all of the time.
[1:53:22.240 --> 1:53:29.240]  The medicine in this country in all industrialized nations in this world is a for-profit machine.
[1:53:29.240 --> 1:53:31.240]  It profits them to keep you sick.
[1:53:31.240 --> 1:53:34.240]  It does not profit them to keep you healthy.
[1:53:34.240 --> 1:53:37.240]  And this is one of the biggest myths that we're suffering from here.
[1:53:37.240 --> 1:53:43.240]  The false notion that healing is some complicated, sophisticated process
[1:53:43.240 --> 1:53:46.240]  that can only happen in a multi-million dollar high-tech facility.
[1:53:46.240 --> 1:53:48.240]  It's nonsense.
[1:53:48.240 --> 1:53:50.240]  Healing is easy.
[1:53:50.240 --> 1:53:52.240]  Surgery is complicated.
[1:53:52.240 --> 1:53:54.240]  Healing is easy.
[1:53:54.240 --> 1:53:58.240]  And the MDs, you can be sincerely incorrect.
[1:53:58.240 --> 1:54:00.240]  I mean, they just don't know this.
[1:54:00.240 --> 1:54:02.240]  Your dad doesn't know this.
[1:54:02.240 --> 1:54:06.240]  The MDs that are really trying to do good by their patients, they don't know this.
[1:54:06.240 --> 1:54:08.240]  They're not taught it in medical school.
[1:54:08.240 --> 1:54:10.240]  It's not reinforced in their continuing education.
[1:54:10.240 --> 1:54:12.240]  Well, let me throw this out.
[1:54:12.240 --> 1:54:14.240]  Let me throw this out at people.
[1:54:14.240 --> 1:54:21.240]  On screen, if you're watching at PrismPlanet.tv for radio listeners, this type of Harvard study fluoride will come up in the search engine.
[1:54:21.240 --> 1:54:27.240]  Harvard study finds fluoride levels lower IQ and children up to 20 points if they have it when they're a child.
[1:54:27.240 --> 1:54:29.240]  Massive seven-fold increase in cancer.
[1:54:29.240 --> 1:54:31.240]  There's thousands of studies.
[1:54:31.240 --> 1:54:33.240]  They've known this forever.
[1:54:33.240 --> 1:54:38.240]  Again, what's going on with the fluoride that they put in our water lovingly?
[1:54:38.240 --> 1:54:42.240]  Money, money, money, money, money, money, and dumb down, dumb down, dumb down, dumb down.
[1:54:42.240 --> 1:54:44.240]  It's all about money.
[1:54:44.240 --> 1:54:46.240]  It profits them to keep you sick.
[1:54:46.240 --> 1:54:48.240]  It profits them to keep you stupid.
[1:54:48.240 --> 1:54:53.240]  It profits them to keep you eating all the wrong food all the time that makes you sick.
[1:54:53.240 --> 1:55:00.240]  I mean, it is a conspiracy and it is so huge that most people think, oh, no, that can't be.
[1:55:00.240 --> 1:55:02.240]  Well, guess what it is?
[1:55:02.240 --> 1:55:07.240]  Most of the food that we eat, even if it's not GMO, is bad for you.
[1:55:07.240 --> 1:55:11.240]  Wheat, barley, rye, and oats, oil in a bottle, fried food, well done, ready to eat.
[1:55:11.240 --> 1:55:16.240]  People have explained to people, Doc, they have to keep eating, eating, eating, eating, eating
[1:55:16.240 --> 1:55:20.240]  because it's empty calories because the soil's been depleted.
[1:55:20.240 --> 1:55:23.240]  But you're still hungry because you're looking for the vitamins and minerals
[1:55:23.240 --> 1:55:26.240]  when you could get it from Polymbers or beyond Tangy Tangerine.
[1:55:26.240 --> 1:55:28.240]  Obesity is a deficiency disease.
[1:55:28.240 --> 1:55:30.240]  It is not a disease of excess.
[1:55:30.240 --> 1:55:32.240]  It is a deficiency disease.
[1:55:32.240 --> 1:55:35.240]  The only thing that causes people to gain weight is we eat too many calories.
[1:55:35.240 --> 1:55:40.240]  The only thing that makes us eat too many calories is our body is starved for nutrition.
[1:55:40.240 --> 1:55:42.240]  So your body makes you eat.
[1:55:42.240 --> 1:55:45.240]  But the food that you're eating doesn't have the nutrients that you need.
[1:55:45.240 --> 1:55:51.240]  So you eat 3,000 calories at Olive Garden and two hours later, you're hungry again.
[1:55:51.240 --> 1:55:52.240]  Why is this?
[1:55:52.240 --> 1:55:58.240]  Because the food doesn't have the nutrition that you need and your body is starving to death.
[1:55:58.240 --> 1:55:59.240]  It's starving to death.
[1:55:59.240 --> 1:56:07.240]  And ironically, healing is so easy that most of the time the only thing necessary is to give your body
[1:56:07.240 --> 1:56:10.240]  the raw materials that it needs.
[1:56:10.240 --> 1:56:14.240]  Fill up its nutritional tank, stop eating food that's hurting you,
[1:56:14.240 --> 1:56:16.240]  get the heck out of the way, and guess what?
[1:56:16.240 --> 1:56:19.240]  Your body recovers its health.
[1:56:19.240 --> 1:56:22.240]  But the powers that be do not want you to know this.
[1:56:22.240 --> 1:56:24.240]  They want you to think that, oh, your blood pressure's been there.
[1:56:24.240 --> 1:56:27.240]  They want you dependent just like the Obama phone lady.
[1:56:27.240 --> 1:56:30.240]  Have you seen that begging for a phone, begging for a house?
[1:56:30.240 --> 1:56:32.240]  Yeah, it's crazy, man.
[1:56:32.240 --> 1:56:33.240]  I mean, it is crazy.
[1:56:33.240 --> 1:56:41.240]  And it is just, you know, sometimes I wake up and I feel like I'm down the rabbit hole in the matrix,
[1:56:41.240 --> 1:56:47.240]  Alice in Wonderland world where constant surveillance is liberty and constant war is freedom.
