[00:00.000 --> 00:29.920]  From the InfoWars.com News Center, D.P.
[35:46.920 --> 35:56.920]  And the same thing happened when I tried to get in the entrance to the inaugural, the communists came and attacked us and the police drug me out again and said, no, we're going to close the entrance. You're not allowed to now.
[35:56.920 --> 36:07.920]  And then that turns into I've been arrested. So this is how they deceive you. And again, it isn't about me. It's about understanding folks that these are a pack of criminal liars.
[36:07.920 --> 36:16.920]  But it's worse than that. I've really thought about this. The crew concurs. And I'm sure of it. I've looked at it from every angle.
[36:16.920 --> 36:27.920]  They are putting out blatantly false info to then have us debate them for weeks while they're busy trying to kill the movement worldwide to bring down the new world order.
[36:27.920 --> 36:44.920]  And while other countries have self-awareness and realize the scam, and they really don't want you to realize that Trump is delivering on every front because he's gone up from 41 points and is low to 59 now in just a few months.
[36:44.920 --> 36:54.920]  And that's a skewed poll. Their methodology admittedly adds 10, 15, 20 percent, depending on how they do it to us. We're talking as high as 70 percent of privilege rating despite all of this.
[36:54.920 --> 37:10.920]  So this is a big, big deal. A huge deal. And Rasmussen and other polls show similar trends. So a very, very exciting time to be alive, but they're going to strike back.
[37:10.920 --> 37:17.920]  And listen, if the globalists were really going to back off, Trump would let them scurry away. They're not going to. So let me just give everybody the big announcement.
[37:17.920 --> 37:24.920]  We're already basically in a soft civil war in this country, and the globalists are really looking at going into high gear.
[37:24.920 --> 37:41.920]  That's why Soros and the entire Fortune 100 basically all gave, the lowest was $2 million the week after the inauguration or the week after the election went in November.
[37:41.920 --> 37:54.920]  Some companies gave 10 million, 20 million, 5 million, 3 million, 2 million. Kellogg's gave 2 million and then 3 million. They gave hundreds and hundreds of millions of dollars for what you're now seeing, these marches and the violence and all the rest of it.
[37:54.920 --> 38:03.920]  They're not just doing that for no reason. They're planning something big. So keep your eyes open, your ears up, and your heads down.
[38:03.920 --> 38:13.920]  Because when I say head down, I mean, when they're shooting at you politically, we need to be popping up, taking them out politically, exposing what trash they are.
[38:13.920 --> 38:22.920]  So I think it's good that Trump and Drudge and all of us expose their lies, but I think we should just expose their lies and say, oh, look, more fraud from them.
[38:22.920 --> 38:40.920]  We know they're going to, once we catch CNN and ABC News and NBC News and the BBC and everybody putting out fake inauguration photos from right when the gates opened and doing time lapses where they cut the middle showing people emptying out in the evening using every deception they've got on Earth.
[38:40.920 --> 38:45.920]  Once you see that happening, just point out it's a fraud and move on.
[38:45.920 --> 38:56.920]  Because they're distracting. We know their liars. We know their scum and they are losing. The American people are seeing through it and that's why they are panicking so hard.
[38:56.920 --> 39:01.920]  Now, before I go any further, I've got a lot of clips I want to play here.
[39:01.920 --> 39:06.920]  We are selling out of a lot of our best selling products and it could be months until more comes in.
[39:06.920 --> 39:16.920]  We've got a small shipment because it's hard to procure all of the different super high quality organic ingredients like the BioPQQ and the CoQ10, all the other things that are in DNA force.
[39:16.920 --> 39:32.920]  Our flagship product that has nerve regrowth factor in 100 and 70 plus clinical studies show that it actually cleans out the cells and has the equivalent of, let's say, vitamin C is a howitzer shell.
[39:32.920 --> 39:37.920]  This is a hydrogen bomb on things. I mean, this is amazing.
[39:37.920 --> 39:52.920]  So go research DNA force for yourself and why it's the ultimate antioxidant formula and why it is medical grade but at a very, very inexpensive price compared to leading competitors that sell similar formulas for $200, $300, $400, $500.
[39:52.920 --> 40:03.920]  Discount is $121 right now. Sounds like a lot but folks out there on the big supplement sites hail it as one of the lowest costs out there that is medical grade.
[40:03.920 --> 40:18.920]  I mean, it is simply amazing. DNA force is back and the profit we make also funds this operation but I mean this stuff has got, depending on which batch it is, $40 to $50 in each bottle just of the BioPQQ and the other ingredients.
[40:18.920 --> 40:30.920]  I mean, it is mind blowing how expensive the true BioPQQ is. I mean, crappy synthetic BioPQQ at half strength is like $40, $50 for a little bottle at Whole Foods.
[40:30.920 --> 40:37.920]  That's why this has 175 clinical studies and nerve growth factor energizes and more 10% off.
[40:37.920 --> 40:48.920]  So go to Whole Foods.com or call toll free 888-253-3139. Infowarslife.com takes you right to the supplement section.
[40:48.920 --> 40:57.920]  Also, we have a super male vitality shortage because again we have to get stuff that's California standard and we have to prepare it as cold press and all the rest of it.
[40:57.920 --> 41:02.920]  We've got plenty of super female vitality that's a similar formula and I tell you it works even better on women as my experience.
[41:02.920 --> 41:09.920]  For example, the Lama, the libido, the energy, when I haven't had any of the super male around the house and forgot I just have super females, pretty much the same thing.
[41:09.920 --> 41:19.920]  Different dosages, different tweaks. To sign up for auto ship, get an additional 10% off on any of the products at InfowarsStore.com.
[41:19.920 --> 41:27.920]  Super male vitality is about to be sold out. So again, it might be a month or more until that comes in.
[41:27.920 --> 41:35.920]  I want to thank you all for your support. Infowarslife.com or again call toll free 888-253-3139.
[41:35.920 --> 41:42.920]  And you can also get free shipping on orders of $50 or more. There's a lot of other specials from the free shipping to the 10% off with auto ship.
[41:42.920 --> 41:46.920]  There's a lot of other specials I don't have time to go over. Just thank you all for your support.
[41:46.920 --> 41:57.920]  InfowarsStore.com, infowarslife.com. And you can also find the entire line of young Jevvie products at infowarsteam.com and get free shipping when you sign up for auto ship there.
[41:57.920 --> 42:04.920]  And you can also get a lot of other big specials if you become a distributor. Infowarsteam.com is where you'll find the lowest prices for Beyond Tangy Tangereen,
[42:04.920 --> 42:16.920]  OsteoFX, other products that are amazing like Polymers, the Nine Doors, and so many others there at infowarsteam.com. That's infowarsteam.com or
[42:16.920 --> 42:36.920]  789-277-888-7892-777. Okay, let me dive right back into the news here. Earlier, I played a clip of the Mexican president saying that he will not come up and speak to Trump.
[42:36.920 --> 42:46.920]  And that's because Trump said no need to come if you're not going to, quote, pay for the wall. And he's given Mexico several choices on how to do that.
[42:46.920 --> 42:59.920]  And again, Mexico gets hundreds of billions of dollars a year of money sent back down to it. And an eight to 14 million dollar wall is something that Mexico really should chip in on.
[42:59.920 --> 43:10.920]  It would show a sign of solidarity. And it would also show that Trump delivers on everything he says. But frankly, it was a boast of the campaign and Trump is now following through on it.
[43:10.920 --> 43:21.920]  But the issue is, is that Trump will get the money one way or another. And so if the Mexican president wants to have a confrontation with Trump, then that's basically what is about to happen.
