[00:00:02.867 --> 00:00:03.467]  I'm David Knight.
[01:32:31.857 --> 01:32:44.728]  Now, in 2016, even more information has been revealed concerning the connection between iodine and the gut, which many experts are now saying could be the biggest revelation ever concerning iodine.
[01:32:44.728 --> 01:32:46.290]  You can pull these studies up for yourself.
[01:32:46.570 --> 01:32:52.955]  This is the real deal, folks, and the truth is that iodine is essential, in my view, to any optimum health regimen.
[01:32:52.955 --> 01:32:57.880]  Stock up on Survival Shield X2 today at Infowarslife.com or by calling 888-253-3139.
[01:32:57.880 --> 01:32:59.421]  You're listening to the Alex Jones Show.
[01:33:13.280 --> 01:33:22.508]  From the front lines of the information war, it's Alex Jones.
[01:33:22.508 --> 01:33:23.909]  Welcome back to the Alex Jones Show.
[01:33:23.909 --> 01:33:24.589]  I'm David Knight.
[01:33:24.589 --> 01:33:27.512]  I'm going to play a special report from Alex Jones here.
[01:33:27.512 --> 01:33:30.894]  You know, this last week, Hillary Clinton called him out by name.
[01:33:30.894 --> 01:33:34.197]  It's kind of like the eye of Sauron focusing on you.
[01:33:34.197 --> 01:33:35.558]  And it's something we ought to take seriously.
[01:33:35.558 --> 01:33:38.541]  There's a long list of Arkansases.
[01:33:38.541 --> 01:33:39.722]  As a matter of fact,
[01:33:40.595 --> 01:33:54.525]  When we had the Hillary, when we had the Monica Lewinsky scandal back in 1998, the day that was released by the House of Representatives, Bill started a bombing campaign and it ended only after they came up with the articles of impeachment.
[01:33:54.525 --> 01:34:01.550]  If they will bomb an entire country to cover up their crimes, what will they do to just one person?
[01:34:01.550 --> 01:34:03.471]  That's the question Alex Jones talks about.
[01:34:03.471 --> 01:34:03.892]  Here's Alex.
[01:34:05.723 --> 01:34:13.407]  Before the Clintons left their governorship in Arkansas, more than a hundred people had been suspiciously murdered.
[01:34:13.407 --> 01:34:16.829]  Hundreds more died during their first terms.
[01:34:16.829 --> 01:34:20.111]  And the scourge continues to this day.
[01:34:20.111 --> 01:34:30.636]  DNC staffer after DNC staffer that speaks out against election fraud or leaks information to WikiLeaks ends up gunned down.
[01:34:30.636 --> 01:34:35.019]  And the Clinton crime family and their backers is now in the spotlight.
[01:34:36.315 --> 01:34:41.497]  If I die, if they kill me, it was done for a worthy cause.
[01:34:41.497 --> 01:34:44.578]  Somebody's gotta stand up against these people.
[01:34:44.578 --> 01:34:56.943]  Long before George W. Bush had taken office, or Senator Obama was even thinking about being president, I was there, exposing the crimes of the Clintons.
[01:34:56.943 --> 01:35:04.146]  So it is fitting that I, Alex Jones, called the Dark Heart by Hillary Clinton, would be your chronicler.
[01:35:05.083 --> 01:35:10.867]  A chronicler who risked his very life exposing these evil ones.
[01:35:10.867 --> 01:35:15.370]  It's required by Bill Clinton in 1992, and it was instituted here in Texas in 1993.
[01:35:15.370 --> 01:35:16.371]  I know the code, sir.
[01:35:16.371 --> 01:35:18.933]  Are you going to institute his urine and blood testing when he commands you?
[01:35:18.933 --> 01:35:23.196]  Are you going to stick a needle in my arm when I have no criminal record?
[01:35:23.196 --> 01:35:33.363]  It's also what happens when you listen to the radio host Alex Jones, who claims that 9-11 and the Oklahoma City bombings were inside jobs.
[01:35:34.448 --> 01:35:48.640]  Just a few days ago, Hillary Clinton, one of the most powerful criminal kingpins in history, came out on national television and said that I had a horrible, dark heart.
[01:35:48.640 --> 01:35:56.867]  I don't know what happens in somebody's mind or how dark their heart must be.
[01:35:56.867 --> 01:36:00.790]  I am committed to standing up against oppression and tyranny.
[01:36:00.790 --> 01:36:01.691]  That's just who I am.
[01:36:02.892 --> 01:36:05.354]  But I've got to be honest with you.
[01:36:05.354 --> 01:36:12.840]  I thought back to the history of the Clinton's reign of criminal terror in the last 20 plus years on this planet.
[01:36:12.840 --> 01:36:23.269]  And I have to tell you, it's surreal to realize that Alex Jones, little old me, is one of the main opposition points against these monsters.
[01:36:24.488 --> 01:36:35.836]  It's also what happens when you listen to the radio host Alex Jones, who claims that 9-11 and the Oklahoma City bombings were inside jobs.
[01:36:35.836 --> 01:36:41.199]  Hillary Clinton is famous for her death threats, both public and private.
[01:36:41.199 --> 01:36:48.764]  Back in 2008, even the New York Times had the headline, Clinton's remark on Kennedy's killing stirs uproar.
[01:36:48.764 --> 01:36:53.628]  When Obama was way ahead of her in the primary polls, she said it doesn't matter.
[01:36:54.946 --> 01:37:00.230]  Because Bobby got assassinated before the primary ended.
[01:37:00.230 --> 01:37:09.378]  My husband did not wrap up the nomination in 1992 until he won the California primary somewhere in the middle of June, right?
[01:37:09.378 --> 01:37:16.364]  We all remember Bobby Kennedy was assassinated in June in California.
[01:37:16.364 --> 01:37:22.269]  This is the type of bloodthirsty rhetoric that we continually see from Hillary Clinton.
[01:37:23.524 --> 01:37:39.293]  Years later, after she had successfully conned the world into bombing Libya to give Al-Qaeda air cover, Hillary, after landing in Tripoli, bragged that she came, she saw, and Gaddafi died.
[01:37:39.293 --> 01:37:42.254]  Yes, we came, we saw, he died.
[01:37:42.254 --> 01:37:45.696]  Did it have anything to do with your visit?
[01:37:45.696 --> 01:37:46.297]  No.
[01:37:46.297 --> 01:37:48.938]  Oh, I'm sure it did.
[01:37:48.938 --> 01:37:50.479]  I want to go back to the beginning.
[01:37:52.009 --> 01:38:00.974]  Governor Bill Clinton and his co-governor wife supported George Herbert Walker Bush and the 1991 war in Iraq.
[01:38:00.974 --> 01:38:02.895]  But from there, it only got worse.
[01:38:04.176 --> 01:38:14.418]  Once they were in the White House, they expanded the bombing to hundreds and hundreds and hundreds of attacks a year on the infrastructure of Iraq.
[01:38:14.418 --> 01:38:28.501]  They got the UN to pass the most draconian sanctions ever in modern history, where medicine and food and all forms of technology were basically blocked from coming into the country.
[01:38:28.501 --> 01:38:32.682]  Over a million and a half Iraqis starved to death and died.
[01:38:33.817 --> 01:38:49.408]  And Hillary Clinton's mentor, Madeleine Albright, bragged on 16 Minutes and other channels that 500,000 dead Iraqi children were a good price to pay of the sanctions.
[01:38:49.408 --> 01:38:51.830]  We have heard that a half a million children have died.
[01:38:51.830 --> 01:38:58.115]  I mean, that's more children than died in Hiroshima.
[01:38:58.115 --> 01:39:01.097]  And, you know, is the price worth it?
[01:39:02.142 --> 01:39:07.366]  I think this is a very hard choice, but the price, we think the price is worth it.
[01:39:07.366 --> 01:39:12.590]  The population implodes, refugees flee across the world.
[01:39:12.590 --> 01:39:26.740]  A once pro-Western secular Muslim nation had begun its path to being taken over by jihadis, which Hillary, a decade plus later, would facilitate in happening.
[01:39:27.649 --> 01:39:34.793]  Let's remember here, the people we are fighting today, we funded 20 years ago.
[01:39:34.793 --> 01:39:39.835]  Let's go back again to 1995 and 1999.
[01:39:39.835 --> 01:39:50.141]  You have the Croats, you have the Serbs, you have the Muslims of the South in Albania, you have the Balkans, the Russians have pulled out after the fall of the Soviet Union in 1991, the Clintons
[01:39:53.132 --> 01:40:00.536]  back islamicists out of Albania and Croats, this is on record, to attack Serbia.
[01:40:00.536 --> 01:40:17.106]  When Serbia fights back, even though they lost twice as many people, the Clintons launch giant bombing raids and NATO invasions that blow up power plants, water treatment plants, TV stations with depleted uranium bombs.
[01:40:18.630 --> 01:40:21.331]  Radiating the entire area.
[01:40:21.331 --> 01:40:29.672]  Then they had British television broadcast images of what's admitted now to be fake Serb concentration camps.
[01:40:29.672 --> 01:40:35.634]  The Clintons are the most hated couple in Serbia and the Balkans.
[01:40:35.634 --> 01:40:39.794]  Because the Serbs were the most powerful allies of America.
[01:40:39.794 --> 01:40:44.996]  And Madeleine Albright, the Secretary of State who ran this whole operation that bragged about 500,000 kids, is no big deal.
[01:40:47.501 --> 01:40:52.224]  Her father and her were saved from the Nazis by the Serbs.
[01:40:52.224 --> 01:40:56.426]  A lot of you younger women don't think you have to... It's been done.
[01:40:56.426 --> 01:40:58.207]  It's not done.
[01:40:58.207 --> 01:40:59.728]  And you have to help.
[01:40:59.728 --> 01:41:03.009]  Hillary Clinton will always be there for you.
[01:41:03.009 --> 01:41:10.434]  And just remember, there's a special place in hell for women who don't help each other.
[01:41:10.434 --> 01:41:16.197]  But when you are a Machiavellian sociopath or a sadistic psychopath,
[01:41:17.174 --> 01:41:20.855]  Like George Soros, Hillary Clinton, Bill Clinton and others.
[01:41:20.855 --> 01:41:25.017]  You don't look at things about alliances and who's right and who's wrong.
[01:41:25.017 --> 01:41:27.958]  You look at a billion plus Muslims.
[01:41:27.958 --> 01:41:30.299]  And you look at Syria.
[01:41:30.299 --> 01:41:36.741]  And you look at the invasion points where you can come into all of Europe and take over.
[01:41:36.741 --> 01:41:38.982]  But first you've got to get the weapons to invade.
[01:41:39.932 --> 01:41:50.618]  And you see Libya, and Muammar Gaddafi, who for eight years previous to the Western attack, had invested in the West, brought the West in, and decided to go the route of detente.
[01:41:50.618 --> 01:41:51.759]  He was set up.
[01:41:51.759 --> 01:41:58.242]  Jihadists out of Saudi Arabia, via the State Department and Hillary, this is all mainstream news now, were brought into Benghazi.
[01:41:58.242 --> 01:41:59.643]  They attacked the country.
[01:41:59.643 --> 01:42:03.225]  The West had a bombing campaign to back the takeover.
[01:42:03.225 --> 01:42:05.446]  Islamists were put in control.
[01:42:05.446 --> 01:42:06.007]  Christians
[01:42:07.156 --> 01:42:12.746]  Blacks, non-radical Muslims, Shiites and others were killed by the tens of thousands.
[01:42:12.746 --> 01:42:16.793]  And Hillary formed, by design, a failed state.
[01:42:16.793 --> 01:42:20.400]  We came, we saw, he died.
[01:42:23.186 --> 01:42:26.367]  You look at the before and after images, it is simply incredible.
[01:42:26.367 --> 01:42:28.668]  And Hillary admits it's a failed state.
[01:42:28.668 --> 01:42:37.752]  They took the weapons, the Stinger missiles, the TOW missiles, and moved them to Syria to knock down the gates to Europe.
[01:42:37.752 --> 01:42:42.755]  You take over Syria, you can bring in all the jihadis out of Saudi Arabia and other areas.
[01:42:42.755 --> 01:42:46.436]  Alright, we're going to take a quick break and we're going to return with Alex's report.
[01:42:46.436 --> 01:42:52.119]  Of course, as we point out early in the program, Paul Wolfowitz, Republican who started the Iraq War, said, I'm with her.
[01:42:52.679 --> 01:42:54.345]  Because she's with war.
[01:42:54.345 --> 01:42:56.634]  We'll be right back with the rest of Alex Jones' report.
[01:42:56.634 --> 01:42:57.096]  Stay with us.
[01:43:01.095 --> 01:43:02.976]  It's not just our water we need to filter.
[01:43:02.976 --> 01:43:04.996]  It's not just our food that needs to be cleaned.
[01:43:04.996 --> 01:43:07.797]  It's the air we're breathing, especially for our children.
[01:43:07.797 --> 01:43:13.979]  The artificial particulates, the chemicals, is absolutely weighing down our immune systems.
[01:43:13.979 --> 01:43:23.162]  The same team based right here in America that brought you the Alexa Pure groundbreaking water filtration systems have now developed Alexa Pure Breathe.
[01:43:23.162 --> 01:43:28.003]  Whether it's your home or office, you owe it to yourself, your co-workers, your family, your children.
[01:43:28.243 --> 01:43:30.686]  Do the best job you can to purify your air.
[01:43:30.686 --> 01:43:38.715]  The elite are masters at poisoning our environment while themselves doing things that mitigate or avoid most of the toxic effects for themselves.
[01:43:38.715 --> 01:43:39.677]  The general public doesn't.
[01:43:40.897 --> 01:43:44.279]  The Alexa Pure Breeze will be a steal at $300, $400, $500.
[01:43:44.279 --> 01:43:48.420]  One of these systems can keep 800 square feet incredibly clean.
[01:43:48.420 --> 01:43:55.123]  This is a system I'm personally putting in throughout my house, replacing older, more expensive filters that didn't do as good a job.
[01:43:55.123 --> 01:43:59.205]  Find out why this system is so revolutionary today at m4wrestore.com.
[01:44:01.212 --> 01:44:02.033]  Hey, everyone!
[01:44:02.033 --> 01:44:04.315]  Pharmacist Ben Fuchs here, host of The Bright Side.
[01:44:04.315 --> 01:44:08.158]  And as many of you know, I'm on a mission to help Americans get and stay healthy.
[01:44:08.158 --> 01:44:10.240]  You've all heard the shocking statistics.
[01:44:10.240 --> 01:44:20.529]  Despite spending trillions of dollars in health care, nearly $10,000 per man, woman, and child in this country, obesity, diabetes, cancer, heart disease, and autoimmune illnesses are rampant.
[01:44:20.529 --> 01:44:26.514]  One out of three or four people is dealing with some kind of health challenge, and everyone knows at least one person with a degenerative disease.
[01:44:26.954 --> 01:44:41.812]  If you're dealing with a health challenge or if you're healthy and want to maintain your vigor and longevity, and you're looking for a convenient, easy way to incorporate nutritional raw materials into your day-to-day lives to guarantee that your body is getting the fundamental nutrients, the 90 essential vitamins, minerals, fats, and amino
[01:44:41.932 --> 01:44:42.493]  I think so.
[01:45:02.085 --> 01:45:04.166]  Brainforce, it's completely different.
[01:45:04.166 --> 01:45:05.386]  Try a bottle of it.
[01:45:05.386 --> 01:45:06.986]  Rob Dew joins us.
[01:45:06.986 --> 01:45:10.087]  You worked, I guess, like 20 plus hours.
[01:45:10.087 --> 01:45:11.208]  Tell us what Brainforce did.
[01:45:11.208 --> 01:45:12.128]  I've been working all day.
[01:45:12.128 --> 01:45:14.629]  I took a couple hours off coaching basketball.
[01:45:14.629 --> 01:45:16.049]  I get in here at 8.30.
[01:45:16.049 --> 01:45:17.950]  I was kind of run down.
[01:45:17.950 --> 01:45:19.910]  You know, I just didn't feel like I was going to make it.
[01:45:19.910 --> 01:45:21.771]  And I really wanted to do a good job on the interview.
[01:45:21.771 --> 01:45:23.591]  I got my bottle of Brainforce right there.
[01:45:23.591 --> 01:45:24.672]  I popped two of them.
[01:45:24.672 --> 01:45:26.932]  And about 20 minutes later, it's like, bing!
[01:45:26.932 --> 01:45:28.793]  Everything just kind of clears up.
[01:45:28.933 --> 01:45:30.374]  It's got four and a half stars.
[01:45:30.374 --> 01:45:31.695]  People really love it.
[01:45:31.695 --> 01:45:32.316]  Read about it.
[01:45:32.316 --> 01:45:41.624]  Find out why third-party nutraceutical sites give it such high praise, because it really does have the best organic-based systems that will blow your socks off.
[01:45:41.624 --> 01:45:45.668]  I haven't pulled an all-nighter like that in a while, but I probably could not have done it without BrainForce.
[01:45:45.668 --> 01:45:51.813]  I went home about 6.45 this morning, took three hours of sleep, got up, took two more BrainForce and came in.
[01:45:51.813 --> 01:45:55.096]  You will find BrainForce and other game-changing products
[01:46:02.239 --> 01:46:06.381]  Introducing Vitamin Mineral Fusion from Infowarslife.com.
[01:46:06.381 --> 01:46:13.864]  We have worked for years with our chemists and scientists to create the most powerful and affordable grape-tasting multivitamin formula available.
[01:46:13.864 --> 01:46:24.869]  The all-new Vitamin Mineral Fusion drink mix at Infowarslife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[01:46:25.310 --> 01:46:33.159]  In the history of InfoWars life, we've brought out a lot of amazing products like Survival Skill X2, Super Mel Vitality, and so many others.
[01:46:33.159 --> 01:46:42.471]  But I am most proud of the product we're now launching today, with its unique delivery system and proprietary manufacturing process designed for maximized effects.
[01:46:42.771 --> 01:46:47.234]  This formula is the platinum standard of multivitamin mineral products.
[01:46:47.234 --> 01:46:54.278]  The ingredients in Vitamin Mineral Fusion are either plant derived or of the highest quality lab standard.
[01:46:54.278 --> 01:46:55.739]  That means it's clean.
[01:46:55.739 --> 01:46:56.919]  That means it's pure.
[01:46:56.919 --> 01:46:59.821]  That's infowarswife.com and Vitamin Mineral Fusion.
[01:46:59.821 --> 01:47:05.084]  Take action now before we sell out.
[01:47:05.084 --> 01:47:07.726]  You're listening to the Alex Jones Show.
[01:47:16.092 --> 01:47:20.516]  The answer to 1984 is 1776.
[01:47:20.516 --> 01:47:25.041]  You're listening to the Alex Jones Show.
[01:47:25.041 --> 01:47:27.383]  We came, we saw, he died.
[01:47:33.063 --> 01:47:36.244]  You look at the before and after images, it is simply incredible.
[01:47:36.244 --> 01:47:38.545]  And Hillary admits it's a failed state.
[01:47:38.545 --> 01:47:47.627]  They took the weapons, the Stinger missiles, the TOW missiles, and moved them to Syria to knock down the gates to Europe.
[01:47:47.627 --> 01:47:57.310]  You take over Syria, you can bring in all the jihadis out of Saudi Arabia and other areas, invade Europe, then use the Islamic threat
[01:47:58.277 --> 01:48:07.183]  To ban free speech of those that criticize it and use the civil emergency to bring in a permanent form of martial law.
[01:48:07.183 --> 01:48:23.654]  To be fair to Hillary Clinton, she's only a puppet of George Soros, who even the Jerusalem Post has recently reported, due to the WikiLeaks documents, is nothing but a megalomaniac who thinks he's the messiah, establishing world government through chaos he sows.
[01:48:24.634 --> 01:48:40.382]  First on Ukraine, one of the things that many people recognize about you was that you, during the revolutions of 1989, funded a lot of dissident activities, civil society groups in Eastern Europe, in Poland, the Czech Republic.
[01:48:40.382 --> 01:48:42.243]  Are you doing similar things in Ukraine?
[01:48:42.703 --> 01:48:51.592]  Well, I set up a foundation in Ukraine before Ukraine became independent of Russia.
[01:48:51.592 --> 01:48:56.136]  And the foundation has been functioning ever since.
[01:48:56.136 --> 01:49:00.800]  And it played an important part in events now.
[01:49:00.800 --> 01:49:05.385]  It would take hours to chronicle the hundreds and hundreds and hundreds of people
[01:49:05.825 --> 01:49:17.774]  That have been mysteriously murdered, gunned down, choked to death, drowned, cut into pieces since the Clintons were running for governor right through President, right through the State Department to today.
[01:49:17.774 --> 01:49:33.807]  But just since Bernie Sanders openly had the nomination stolen from him a few months ago, we've seen at least four top staffers over email, over servers, over all the key information being gunned down, being killed, being murdered.
[01:49:33.807 --> 01:49:35.168]  And WikiLeaks has come out and said,
[01:49:36.226 --> 01:49:43.672]  We don't reveal sources, but this is an alleged source, and we have put out a $20,000 reward.
[01:49:43.672 --> 01:49:46.994]  This is getting really, really out of control.
[01:49:46.994 --> 01:49:51.858]  The stuff that you're sitting on, is an October surprise in there?
[01:49:51.858 --> 01:49:56.102]  Do we even know what you're sitting on?
[01:49:56.102 --> 01:49:57.903]  Well, Xenex never sits on material.
[01:49:59.879 --> 01:50:05.364]  Whistleblowers go to significant efforts to get us material and often very significant risks.
[01:50:05.364 --> 01:50:16.955]  There's a 27-year-old that works for the DNC who was shot in the back, murdered just two weeks ago for unknown reasons as he was walking down the street in Washington.
[01:50:16.955 --> 01:50:19.637]  That was just a robbery, I believe, wasn't it?
[01:50:19.637 --> 01:50:21.218]  No, there's no finding.
[01:50:21.218 --> 01:50:24.041]  What are you suggesting?
[01:50:27.103 --> 01:50:38.009]  I'm suggesting that our sources take risks and they become concerned to see things occurring like that.
[01:50:38.009 --> 01:50:39.769]  But was he one of your sources then?
[01:50:39.769 --> 01:50:42.971]  I mean... We don't comment on who our sources are.
[01:50:42.971 --> 01:50:47.753]  But why make the suggestion about a young guy being shot in the streets of Washington?
[01:50:47.753 --> 01:50:52.476]  Because we have to understand how high the stakes are
[01:50:53.817 --> 01:50:58.961]  Google has been caught, so have Facebook, Twitter, you name it.
[01:50:58.961 --> 01:51:04.005]  Censoring anti-news stories about the Clintons, including the Clinton death count.
[01:51:04.005 --> 01:51:06.466]  We are seeing what the technocracy is able to do.
[01:51:06.466 --> 01:51:11.390]  We are seeing them openly engage in mass censorship.
[01:51:11.390 --> 01:51:15.033]  What difference at this point does it make?
[01:51:15.033 --> 01:51:20.537]  In closing, I want to reach out to you with a personal appeal.
[01:51:20.537 --> 01:51:21.998]  A free human to other free humans.
[01:51:22.927 --> 01:51:31.012]  of every race, color, and creed who have the spirit of liberty beating in your breast.
[01:51:31.012 --> 01:51:38.436]  I don't want to confront a kingpin that's killed millions of people around the world and who thinks it's funny.
[01:51:38.436 --> 01:51:41.138]  I don't want to take on this vampire.
[01:51:41.138 --> 01:51:44.560]  I don't want to fight this monster as an individual.
[01:51:44.560 --> 01:51:45.100]  But as a man,
[01:51:46.300 --> 01:51:52.103]  My spirit directs me, commands me to take action.
[01:51:52.103 --> 01:51:54.704]  I don't have any other choice.
[01:51:54.704 --> 01:51:59.766]  And I want to be victorious and successful in this quest.
[01:51:59.766 --> 01:52:08.250]  Evil historically takes over and is unstoppable as long as good men and women do nothing.
[01:52:08.250 --> 01:52:15.214]  But as Thomas Jefferson famously said, our third president, when we take action, nothing on earth can stop us.
[01:52:16.223 --> 01:52:23.067]  That's why tyrants are so scared of good men and women who actually have goodwill and want you to have free will.
[01:52:23.067 --> 01:52:27.670]  And who want universal law to reign on this planet.
[01:52:27.670 --> 01:52:29.652]  We're facing cancer.
[01:52:29.652 --> 01:52:31.673]  That's what Hillary Clinton represents.
[01:52:31.673 --> 01:52:33.114]  Evil.
[01:52:33.114 --> 01:52:35.055]  She represents chaos.
[01:52:35.055 --> 01:52:37.276]  She represents lawlessness.
[01:52:37.276 --> 01:52:39.718]  She represents disease and failure.
[01:52:39.718 --> 01:52:45.562]  Her physical manifestation is a rotting, reanimated corpse.
[01:52:46.994 --> 01:52:52.637]  I'm not scared of Hillary Clinton, but I am scared of failing in this mission.
[01:52:52.637 --> 01:52:57.560]  So I ask you all to redouble your efforts to expose the new world order.
[01:52:57.560 --> 01:53:00.161]  And I ask you all for your prayers.
[01:53:00.161 --> 01:53:05.524]  And I reach out to Hillary Clinton as well, because I don't even personally hate her.
[01:53:05.524 --> 01:53:12.348]  I hate the spirit that has taken over her body, her mind, and her soul.
[01:53:12.348 --> 01:53:15.309]  There's still time for you to turn back, Hillary.
[01:53:15.309 --> 01:53:15.910]  You talk about
[01:53:17.074 --> 01:53:19.815]  My dark heart, and then misrepresent what I've said?
[01:53:19.815 --> 01:53:24.576]  I have a heart of incredible love.
[01:53:24.576 --> 01:53:26.617]  I care deeply for people.
[01:53:26.617 --> 01:53:31.478]  And I even care for what's left of you.
[01:53:31.478 --> 01:53:40.081]  You wouldn't have said the things you said on that podium unless there wasn't some shred of humanity left in you.
[01:53:40.081 --> 01:53:43.022]  There's still time for you and others to turn back.
[01:53:44.892 --> 01:53:45.953]  But I want to be very, very clear.
[01:53:45.953 --> 01:53:54.839]  I have chosen the path I'm on, and I am willfully challenging you and everything that you represent.
[01:53:54.839 --> 01:54:04.447]  And I'm asking the population of this planet and those that love liberty to support us and to pray for us.
[01:54:04.447 --> 01:54:13.934]  And I'm telling you and your masters that I'm only one symbol of freedom, one manifestation, and that nothing on earth will stop the movement.
[01:54:14.659 --> 01:54:16.779]  That you now see.
[01:54:16.779 --> 01:54:19.720]  It's time for Hillary Clinton to repent.
[01:54:19.720 --> 01:54:30.202]  It's time for Hillary Clinton to stop the murder, to stop the killing, to stop licking her lips like Madeleine Albright and herself when they talk about all the dead kids.
[01:54:30.202 --> 01:54:43.344]  I look at how you put in jihadis and al-Qaeda into Libya and into Syria to kill hundreds of thousands of Christians, and Obama won't let the Christians get out, but lets the Sunnis that engage in the crime escape.
[01:54:45.774 --> 01:54:49.836]  And I just thank God I'm not on your team.
[01:54:49.836 --> 01:54:54.018]  So whatever you do to me, that's between you and God.
[01:54:54.018 --> 01:54:58.260]  But I've made my choice, and I am not with you.
[01:54:58.260 --> 01:55:07.624]  I will never commit suicide, and if I am killed, the criminals that represent Hillary Rodham Clinton are the main suspects.
[01:55:09.147 --> 01:55:17.591]  You may have the old, rotten, discredited mainstream media that the AP says has a 6% trust rate with the public backing you, Hillary.
[01:55:17.591 --> 01:55:22.393]  But I've got common sense and the will of the people behind me.
[01:55:22.393 --> 01:55:24.834]  And I'm committed to a cause.
[01:55:24.834 --> 01:55:30.797]  And in history, and in this universe, nothing on earth can stand up against that.
[01:55:30.797 --> 01:55:37.840]  No matter what happens to this body, ideas and movements backed by truth and liberty
[01:55:38.914 --> 01:55:40.455]  Are invincible.
[01:55:40.455 --> 01:55:44.979]  They are bulletproof.
[01:55:44.979 --> 01:55:46.561]  This is the heart of 1776!
[01:55:49.645 --> 01:55:56.549]  And again, that's Alex Jones, and we've got the docs to prove that they created war and chaos in Libya.
[01:55:56.549 --> 01:56:03.432]  Thanks to Wikileaks, thanks to Judicial Watch, we now have the documentation as to why they did it.
[01:56:03.432 --> 01:56:05.754]  They did it for the central banks.
[01:56:05.754 --> 01:56:08.955]  And they'll go to war to cover up for their own scandals.
[01:56:08.955 --> 01:56:11.917]  We saw this happening, as I mentioned earlier.
[01:56:11.917 --> 01:56:18.561]  Even Huma Abedin's publication admitted that in 1998 Operation Desert Fox was done
[01:56:19.501 --> 01:56:32.231]  As began bombing Iraq as the House of Representatives filed a report accusing the president of high crimes and misdemeanors, and it did not end until they came up with the indictment with the impeachment.
[01:56:32.231 --> 01:56:34.772]  Once that happened, it's like, all right, we don't have to keep bombing them anymore.
[01:56:34.772 --> 01:56:44.360]  So they stopped raining death down on people just to cover up his sexual predator crimes, his committing perjury under oath.
[01:56:45.040 --> 01:56:49.864]  And of course in 1996 they did it, same thing, went into Iraq, bombed people there.
[01:56:49.864 --> 01:56:50.945]  Why?
[01:56:50.945 --> 01:56:53.367]  To cover up for a finance scandal.
[01:56:53.367 --> 01:57:00.933]  You know earlier this week we put up a video, I talked to Roger Stone, we had Vince Foster goes missing again, we got an article and video.
[01:57:00.933 --> 01:57:05.437]  In that we talked about what Sandy Berger did, very much like what Hillary Clinton has done with these emails.
[01:57:05.437 --> 01:57:09.981]  It's now come out that they deliberately destroyed these things, didn't accidentally erase them.
[01:57:10.481 --> 01:57:11.761]  They deliberately destroyed them.
[01:57:11.761 --> 01:57:12.482]  Why?
[01:57:12.482 --> 01:57:22.104]  She was given special privileges, just like Sandy Berger was given special privileges in the National Archives to delete documents there that they thought would be damaging to the Clintons.
[01:57:22.104 --> 01:57:24.745]  The people who control that said, we made a mistake.
[01:57:24.745 --> 01:57:27.386]  We gave them special access, and they abused it.
[01:57:27.386 --> 01:57:27.986]  What did he do?
[01:57:27.986 --> 01:57:37.689]  He said, I made an honest mistake when he was stuffing these documents in his clothes, took them out, cut them up with scissors, he later admitted, did it four different times, then he called it an honest mistake.
[01:57:37.689 --> 01:57:38.649]  Who gave him a pass?
[01:57:39.662 --> 01:57:43.251]  It was FBI Director Comey when he was investigating that.
[01:57:43.251 --> 01:57:47.081]  Join us again tomorrow at 11 central for the Alex Jones Radio Show.
[01:57:47.081 --> 01:57:48.063]  Alex Jones will be back.
[01:57:48.063 --> 01:57:48.624]  I'm David Knight.
