[00:00:00.868 --> 00:00:03.151]  It's Wednesday, January 12th.
[00:26:36.917 --> 00:26:44.962]  And then Congress wants it safe for them to release it after James O'Keefe hit the barbed wire with all the death threats and attacks he's under.
[00:26:45.905 --> 00:26:47.586]  Then it gave them the courage to do the right thing.
[00:26:47.586 --> 00:26:48.866]  I can tell you about James O'Keefe.
[00:26:48.866 --> 00:26:50.527]  He's in the same boat I'm in.
[00:26:50.527 --> 00:26:53.348]  Grand jury's open all over the place trying to indict him for something.
[00:26:53.348 --> 00:27:09.254]  I told you back over that diary of Joe Biden's daughter, his sex slave it looks like, that they raided him to get information about Pfizer and Peter Daszak and Fauci and the Pentagon documents.
[00:27:09.254 --> 00:27:10.535]  They were not raiding him over that.
[00:27:11.385 --> 00:27:13.246]  He wasn't even involved in it really.
[00:27:13.246 --> 00:27:16.229]  They gave it to him and he didn't want the diary and never published it.
[00:27:16.229 --> 00:27:17.590]  Others did.
[00:27:17.590 --> 00:27:19.691]  That's on record.
[00:27:19.691 --> 00:27:22.594]  But he's had to put a video out saying he will never commit suicide.
[00:27:22.594 --> 00:27:23.474]  And I want to say the same thing.
[00:27:23.474 --> 00:27:28.278]  I'll never commit suicide because I'm not trying to brag here.
[00:27:28.278 --> 00:27:30.580]  I'm bringing this up so you understand what a victory is.
[00:27:30.580 --> 00:27:34.603]  It takes James O'Keefe being willing to get put in prison or die.
[00:27:34.603 --> 00:27:37.645]  It takes Alex Jones being willing to get put in prison or die.
[00:27:37.645 --> 00:27:38.106]  It takes
[00:27:39.502 --> 00:27:43.365]  Joe Rogan waking up, it takes Tucker Carlson waking up.
[00:27:43.365 --> 00:27:49.830]  That's what men are supposed to do no matter how high the punishment could be.
[00:27:50.819 --> 00:28:05.310]  Because we have children to defend, and we have a civilization to defend, and we're not going to be like all the establishment lawyers and globalists that Pfizer and the inside globalist death cult thought would go along with this and they could gaslight us into submission.
[00:28:05.310 --> 00:28:11.895]  Yeah, you may have manipulated and brainwashed half the public into going under Stockholm Syndrome, but you didn't work on us.
[00:28:11.895 --> 00:28:14.217]  All you did was get us fighting mad.
[00:28:19.560 --> 00:28:24.784]  So I intend to bring these people to justice, legally and lawfully.
[00:28:24.784 --> 00:28:32.570]  And they intend to stage terror attacks and power outages and civil wars and all this other crap to try to smokescreen, but I just want to ask everybody that works for the system.
[00:28:34.750 --> 00:28:55.405]  You know you're signed on with evil people, and you know they don't run this country with any legitimacy, and you know going down the road they've built is going to destroy civilization, so it's time for everybody to repent and turn back to God and start doing the right thing and not just being Machiavelli of what you think will make your life better, or we're going to lose everything.
[00:28:59.070 --> 00:29:01.572]  Christmas 2021 is gone.
[00:29:01.572 --> 00:29:09.118]  It's in the rearview mirror, but you can still take advantage of Christmas prices going to the New Year at InfoWareStore.com.
[00:29:09.118 --> 00:29:16.364]  On two of our best-selling products, now finally back in stock, we have the number one bestseller of all time.
[00:29:17.385 --> 00:29:25.749]  X2, the Deep Earth Crystal Iodine that is essential for all your body's activities, electrochemical functions of the cells, the mitochondria, your immune system.
[00:29:25.749 --> 00:29:27.350]  It is back in stock.
[00:29:27.350 --> 00:29:34.094]  X2 is 50% off at infowarestore.com and right in time for the deepest part of winter.
[00:29:35.213 --> 00:29:40.596]  We have Winter Sun Back in Stock, the highest quality vitamin D3 for your immune system.
[00:29:40.596 --> 00:29:45.639]  And again, your whole body is back in stock, ready to ship to you right now at InfoWarsTore.com.
[00:29:45.639 --> 00:29:46.719]  So it's a 360 win.
[00:29:46.719 --> 00:29:51.982]  It keeps us on air and it also makes your life so much healthier and better.
[00:29:51.982 --> 00:29:56.445]  So get your supply up to date at InfoWarsTore.com right now.
[00:29:59.002 --> 00:30:03.127]  Three very important life-saving words.
[00:30:03.127 --> 00:30:06.891]  Vitamins, minerals, amino acids.
[00:30:06.891 --> 00:30:11.156]  And you find them all in Vitamin Mineral Fusion.
[00:30:11.156 --> 00:30:19.685]  All the essential vitamins, all the essential minerals from really good, high-quality, absorbable sources and a bunch of key
[00:30:20.626 --> 00:30:26.768]  Compounds, amino acids known to help get the nutrients into your tissues, into your cells.
[00:30:26.768 --> 00:30:35.792]  And despite the fact that the product is going to sell out in the next week or so, we're going to keep it on sale at 50% off for another seven days.
[00:30:35.792 --> 00:30:39.553]  So again, I am cutting this announcement on the afternoon of January 6, 2022.
[00:30:39.553 --> 00:30:42.915]  We're going to run this for a week and then
[00:30:43.695 --> 00:30:45.377]  We are going to be selling out of this product.
[00:30:45.377 --> 00:30:51.824]  Hopefully more comes in in the next month or so because it's a best seller and it's something everybody needs for their immune system and their body.
[00:30:51.824 --> 00:30:54.747]  Get your Vitamin Mineral Fusion now and support the InfoWar.
[00:30:54.747 --> 00:30:55.728]  A 360 win at InfoWarStore.com.
[00:30:59.011 --> 00:31:13.836]  I am recording this announcement on the afternoon of January 6, 2022, and that means there are only seven days left of us being able to offer our best-selling product, Vitamin Mineral Fusion, at 50% off.
[00:31:13.836 --> 00:31:17.677]  It has all the vitamins, all the minerals, incredible amino acids.
[00:31:17.677 --> 00:31:23.458]  It is a game-changer for your immune system and every other function in your body, and it's a must-have.
[00:31:23.458 --> 00:31:24.699]  That's why, despite the facts,
[00:31:25.239 --> 00:31:27.801]  That is selling out at current sales rates.
[00:31:27.801 --> 00:31:32.426]  We're going to keep it on sale for another seven days.
[00:31:32.426 --> 00:31:35.648]  So we're running this until next Thursday.
[00:31:35.648 --> 00:31:37.670]  And your purchase supports the broadcast.
[00:31:37.670 --> 00:31:40.633]  I want to thank you all for shopping with InfoWars.
[00:31:40.633 --> 00:31:46.158]  Without you, we would not have been on air and the world would be a much worse position right now that it's in.
[00:31:46.158 --> 00:31:50.542]  Thanks to you supporting InfoWars, we have now become the number one beacon of truth
[00:31:50.902 --> 00:31:53.544]  Exposing the Great Reset and the New World Order.
[00:31:53.544 --> 00:31:58.487]  So, support your immune system and support free speech and the fight for liberty at the same time at InfoWarsTour.com.
[00:32:20.862 --> 00:32:21.062]  I'm good.
[00:32:38.530 --> 00:32:44.294]  We have the entire line of Silent Pocket ready to ship to you when you visit InfoWarsStore.com.
[00:32:44.294 --> 00:32:51.439]  Again, we have big backpacks, we have special dry bags, we've got them for cell phones, we've got them for laptops, we've got them for iPads.
[00:32:51.439 --> 00:32:54.061]  It's all there at InfoWarsStore.com.
[00:32:54.061 --> 00:33:01.646]  So protect your privacy today and support the Info War at InfoWarsStore.com.
[00:33:01.646 --> 00:33:07.550]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:33:26.582 --> 00:33:28.964]  Live from Austin, Texas.
[00:33:28.964 --> 00:33:32.447]  It's Alex Jones.
[00:33:32.447 --> 00:33:34.409]  And the wheels are coming off the New World Order.
[00:33:34.409 --> 00:33:37.391]  The House of Cards has collapsed.
[00:33:37.391 --> 00:33:41.555]  The problem is they war-gamed all that in spars.
[00:33:41.555 --> 00:33:43.677]  John Hopkins, Rockefeller, U.N.
[00:33:43.677 --> 00:33:46.840]  drills three years before they launch the attack.
[00:33:46.840 --> 00:33:48.382]  And that's part of their plan.
[00:33:48.382 --> 00:33:50.804]  Though it's not going exactly the way they want it.
[00:33:54.451 --> 00:33:56.091]  So here's the headlines, ladies and gentlemen.
[00:33:56.091 --> 00:33:59.012]  They are incredible.
[00:33:59.012 --> 00:34:10.194]  GOP Oversight Committee House Oversight Committee releases Fauci emails further proving he covered up lab leak.
[00:34:10.194 --> 00:34:11.995]  And then it gets even more intense.
[00:34:11.995 --> 00:34:13.575]  What's in the documents?
[00:34:13.575 --> 00:34:19.156]  Ivermectin works throughout all phases of COVID, according to leaked military documents.
[00:34:19.156 --> 00:34:20.876]  For those that don't know, the U.S.
[00:34:20.876 --> 00:34:23.117]  military is the biggest tester of drugs and chemicals and
[00:34:24.344 --> 00:34:27.085]  Compounds out there.
[00:34:27.085 --> 00:34:29.065]  There's two ways to get drugs basically approved.
[00:34:29.065 --> 00:34:34.227]  You can have them approved through the FDA or by the Pentagon for emergency use.
[00:34:34.227 --> 00:34:39.188]  And look, it continues right here.
[00:34:39.188 --> 00:34:44.249]  With all the other giant developments that have now come out.
[00:34:44.249 --> 00:34:53.312]  That again, major insurance companies report 40% increase in deaths, higher than any other previous death grouping in modern history.
[00:34:57.253 --> 00:35:12.778]  And then you have a major Canadian document out of a major university in 100 plus countries, 145 nations, showing exact same numbers, 40 to 45% increases in death worldwide where the shots are given.
[00:35:12.778 --> 00:35:17.179]  The countries where they're not given, which is only just a few, nothing's happening, nobody's sick.
[00:35:17.179 --> 00:35:19.040]  It's all there.
[00:35:19.040 --> 00:35:19.640]  And it gets worse.
[00:35:21.707 --> 00:35:26.910]  How many times did I tell you this because I was reading the literature and interviewing top scientists?
[00:35:26.910 --> 00:35:28.912]  I mean, it wasn't hard to figure this out.
[00:35:28.912 --> 00:35:30.913]  Like, hey, don't take cyanide.
[00:35:30.913 --> 00:35:32.114]  Here's how it kills you.
[00:35:32.114 --> 00:35:35.596]  You can go read a paper on how it kills you in about 30 seconds.
[00:35:35.596 --> 00:35:42.680]  Well, you can also go to top scientists about why they never made a common cold vaccine because it causes autoimmune responses and all sorts of organ failure.
[00:35:42.680 --> 00:35:48.244]  But if you make a super virus and then you inject into people the spike protein,
[00:35:48.824 --> 00:36:04.475]  Or order the body to manufacture it, that creates colonies of toxic spike protein that your body then attacks throughout yourself, eating holes in your capillaries and in your veins and arteries and in other tissues.
[00:36:04.475 --> 00:36:06.056]  And that's just that area.
[00:36:06.056 --> 00:36:11.240]  The cancer-causing nature of this is spectacular.
[00:36:11.240 --> 00:36:12.541]  And we knew exactly what would happen.
[00:36:14.602 --> 00:36:27.848]  We had all these scientists on a year and a half ago, and then it came out last year, early last year, that they posted on the CDC website all the things they predicted it would do, including cancer, microcarditis, heart attacks.
[00:36:27.848 --> 00:36:28.949]  It's all right there.
[00:36:28.949 --> 00:36:33.411]  They knew months before they rolled it out in America.
[00:36:33.411 --> 00:36:35.032]  So see, here's how my brain works.
[00:36:35.032 --> 00:36:43.416]  When I read you this over-the-top article headline that's all over the news today, we could just cover the surface of it, and it would be important.
[00:36:44.161 --> 00:36:45.722]  But we're not going to just cover the surface here.
