[00:00.000 --> 00:07.000]  Mainstream media, government cover-ups. You want answers? Well, so does he.
[29:44.000 --> 29:55.000]  We're on the march. The Empire's on the run. Alex Jones and the GCN Radio Network.
[29:55.000 --> 29:59.000]  If you're listening, you know, your basic freedoms are being threatened every day.
[29:59.000 --> 30:02.000]  If you're listening, you know, the economy is not getting better.
[30:02.000 --> 30:05.000]  You know, gas and food prices are skyrocketing.
[30:05.000 --> 30:10.000]  Now is the time to get prepared for years. We've told you about our friends at E Foods Direct.
[30:10.000 --> 30:13.000]  They have the best tasting, long term, storable food on the planet.
[30:13.000 --> 30:17.000]  This food will taste just as great 25 years from now as it does tonight.
[30:17.000 --> 30:23.000]  A long term food supply allows you to freeze the cost and the availability of the one thing you need most.
[30:23.000 --> 30:27.000]  Be prepared and get your supply from E Foods Direct.
[30:27.000 --> 30:32.000]  Right now is the best time to stock up and save hundreds of dollars with free shipping on all food supplies.
[30:32.000 --> 30:35.000]  Give yourself peace of mind and be prepared.
[30:35.000 --> 30:45.000]  Act now and call 800-409-5633 or visit efoodsdirect.com slash Alex. Get free shipping on all orders for a limited time.
[30:45.000 --> 30:51.000]  Call 800-409-5633 or go to efoodsdirect.com slash Alex.
[30:51.000 --> 30:55.000]  You can bet your life on E Foods Direct.
[30:55.000 --> 30:58.000]  You prepare by purchasing gold, food and firearms.
[30:58.000 --> 31:04.000]  But if you don't have a home security system, then you're missing a critical weapon in your arsenal for home protection.
[31:04.000 --> 31:08.000]  When you're sleeping or away from home, who's watching out for intruders?
[31:08.000 --> 31:14.000]  Check out SimpliSafe. It's a new do it yourself home security system that is completely wireless.
[31:14.000 --> 31:17.000]  Go to getsimplisafe.com.
[31:17.000 --> 31:20.000]  SimpliSafe is independent and off the grid.
[31:20.000 --> 31:24.000]  It runs on battery power so even if the grid goes down, you're protected.
[31:24.000 --> 31:31.000]  It's completely customizable so you can use it in your home, business, boat, trailer, storage unit or shed.
[31:31.000 --> 31:33.000]  Getsimplisafe.com.
[31:33.000 --> 31:37.000]  SimpliSafe is also ridiculously easy to install yourself in under 20 minutes.
[31:37.000 --> 31:40.000]  So there's no need to let a stranger into your home.
[31:40.000 --> 31:44.000]  If you move or need to relocate, you can take the system with you wherever you go.
[31:44.000 --> 31:51.000]  You aren't always at home, but SimpliSafe will stand guard, protecting your property 24 hours a day, seven days a week.
[31:51.000 --> 31:54.000]  Again, that's getsimplisafe.com.
[31:54.000 --> 31:56.000]  Introducing Pro1.
[31:56.000 --> 32:00.000]  All of your filtration in one system, portable, on the go.
[32:00.000 --> 32:04.000]  No more do you have two or three filters to just reduce sodium fluoride.
[32:04.000 --> 32:10.000]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosolic acid.
[32:10.000 --> 32:21.000]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals, all in one filter element.
[32:21.000 --> 32:28.000]  It is the only one that does it and out of the gates, we have it discounted at 10% off with promo code water.
[32:28.000 --> 32:37.000]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia, and chlorine.
[32:37.000 --> 32:45.000]  Hydrofluorosolic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[32:45.000 --> 33:11.000]  Get your Pro Pure with the new Pro1 filters today at infowarsstore.com or by calling 888-253-3139.
[33:11.000 --> 33:22.000]  KML in Los Angeles. Clone Radio. We play the songs that sound more like everyone else than anyone else. Clone.
[33:22.000 --> 33:30.000]  Hitler took the guns, Stalin took the guns, Mao took the guns, Fidel Castro took the guns, Hugo Chavez took the guns.
[33:30.000 --> 33:36.000]  1776 will commence again if you try to take our firearms.
[33:36.000 --> 33:41.000]  The Republic will rise again when you attempt to take our guns.
[33:41.000 --> 33:52.000]  I am sworn upon the altar of God, eternal hostility against every form of tyranny over the mind of man.
[33:52.000 --> 34:09.000]  The answer to 1984 is 1776. You're listening to the Alex Jones Show.
[34:09.000 --> 34:21.000]  Don't ever take a flu shot again. I watched that night with Dr. Oz, and in deference to Dr. Oz, I think he's, you know, probably, he seems like a completely competent doctor.
[34:21.000 --> 34:30.000]  But, and I don't understand any of the, you know, the kind of biological aspects of the, you know, of the meds.
[34:30.000 --> 34:36.000]  But we're both doing the maths, aren't we? We both saw him put that thing in my arm, and within ten days, I'm mistrutting down.
[34:36.000 --> 34:44.000]  And I just, you know what, I don't want to tell anybody out there, I'm not a medical advisor, get your vaccines if you, I don't believe in them.
[34:44.000 --> 34:48.000]  I'm just suspicious by nature, and I saw you get it, and here we are.
[34:48.000 --> 34:52.000]  We'll try and plow on with the interview, notwithstanding the fact I can't speak.
[34:52.000 --> 35:05.000]  By the way, I'm going to work on getting Dwight Yoakam on the show, and if God wants it to happen, it will. Have we gone after him yet?
[35:05.000 --> 35:13.000]  Yeah, no, I want you to try to get him on. It just so happens, my wife's been invited to be backstage when he's in town this weekend, so I'm going to have her ask him on the show.
[35:13.000 --> 35:20.000]  But the point is, you haven't even gone after him yet? I'm not complaining, can we just get him on? Not because he's a celebrity, but he's a smart guy.
[35:20.000 --> 35:26.000]  She said, 1776, I don't trust the government, why do they have all the guns? I mean, I want to get him on, I like him.
[35:26.000 --> 35:32.000]  He's a Kentucky boy, I know. Shane Steiner knows him. Seems like Shane Steiner knows everybody.
[35:32.000 --> 35:37.000]  He was hanging out with one of the Green Day guys this weekend. I ought to get him to get them on the show.
[35:37.000 --> 35:46.000]  We've got to wake everybody up. Okay, ladies and gentlemen, the point is, liberty is popular, and it is rising, and we don't have to give in to this total takeover.
[35:46.000 --> 35:56.000]  The reason the tyrants want to make us a bunch of robots is because then they can dominate and have full control and control the future.
[35:56.000 --> 36:04.000]  You know, the Romans, if you resisted them, they would just kill everybody. They would say, come out, come out, give up, or we're going to kill everybody.
[36:04.000 --> 36:10.000]  And even if you gave up, they usually killed all the men, down to about age five.
[36:10.000 --> 36:20.000]  And so that's kind of what we're being told by the globalists, except they're just saying, hey, we're going to merge with computers and kill everybody, and humans are scum, and get ready to have your resources turned off.
[36:20.000 --> 36:24.000]  We've got to get you really poor and under our control before we fully get rid of you.
[36:24.000 --> 36:41.000]  And they write all these publications and white papers, I made the film Endgame, it has an online bibliography, whatistheendgame.com, every minute of the film has a bibliography, it has a factoid proof, proves of this technotronic, technocracy conspiracy.
[36:41.000 --> 36:54.000]  And here's the article, Canon Algorithm, Write a Better News Story Than a Human Being, and Paul Watson's article breaks it down up at infowars.com, we can punch that up for viewers.
[36:54.000 --> 37:05.000]  It is robo reporters to replace mainstream journalists, establishment acts, now so glib and unquestioning they could be supplanted by computer programs.
[37:05.000 --> 37:23.000]  Well, it's not that they could be, it's they are. You're not going to see the president anymore down the road, it's going to be a teleprompter, because they already write the stuff he says, and it's going to be a virtual reality, 3D model, projection, the movies are going to be like that too.
[37:23.000 --> 37:35.000]  I know folks that have had the secret tours of the studios out in California, including not just what the media has been shown, but what James Cameron's really planning.
[37:35.000 --> 37:42.000]  And that's the whole future, and they're just going to start rolling it out faster and faster and faster and faster.
[37:42.000 --> 37:57.000]  And again, it's not going to be a hologram of where I stand somewhere and hologram something to you, it's going to be a composite where it looks like Alex Jones, sounds like Alex Jones, and where you just get used to, oh, well, that's the virtual president, or that's the virtual Alex Jones.
[37:57.000 --> 38:07.000]  Robo reporters to replace mainstream journalists, we're going to get into that, we're going to get into all of it, but the Swedish government, yes, they got to be brought in line.
[38:07.000 --> 38:16.000]  The British government has been forced, because they don't have total evil people working there. Not everybody's bad, everybody just goes along, you see, but I'm not going to go along.
[38:16.000 --> 38:24.000]  And Billy Corrigan's not going to go along. And Dave Mustaine's not going to go along. And Matt Drudge isn't going to go along.
[38:24.000 --> 38:33.000]  And Bellamy Amuse isn't going to go along. And none of us have to save the world, Ron Paul isn't going to go along, Rand Paul, Ted Cruz.
[38:33.000 --> 38:40.000]  And people say, well, can you trust Ted Cruz? Well, his voting record's stellar right now, so we're going to make sure he stays true.
[38:40.000 --> 38:52.000]  There's a few-vote difference on whether they're going to have national registration, basically, and ban all private sales of guns. That means passing them on to your friends and family.
[38:52.000 --> 39:01.000]  And that registration, and not allowing transfer, is going to be a way to purge gun owners. We're a couple votes away from them getting that.
