[00:00.000 --> 00:10.000]  Rallying Patriots Worldwide in Defense of Human Liberty, it's Alex Jones.
[32:49.000 --> 32:55.000]  So what we've learned is that volcanic ash and acid rain can contaminate a rainwater supply.
[32:55.000 --> 33:00.000]  But more importantly, a good water filtration system will purify it.
[33:25.000 --> 33:32.000]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[33:37.000 --> 33:40.000]  What would you do if you knew your country was under attack?
[33:40.000 --> 33:47.000]  What would you do if you saw the proof that a foreign authoritarian government allied with trader corporations
[33:47.000 --> 33:56.000]  had had a long-term plan to deindustrialize the country, turn its nation against itself, encircle it geopolitically,
[33:56.000 --> 34:02.000]  and finally bring it down to be a UN enclave of a larger world government?
[34:02.000 --> 34:06.000]  What would you do if you'd been brainwashed by the propaganda against your own nation
[34:06.000 --> 34:12.000]  and finally saw the proof that you'd been conned, that you'd been a chump, that you'd been indoctrinated
[34:12.000 --> 34:19.000]  by the whole life, by the media, by the educational system? Would you get pissed at your brainwashers, at your captors,
[34:19.000 --> 34:24.000]  at those that built the mental prison, the mental labyrinth of lies?
[34:24.000 --> 34:32.000]  No history shows with cognitive dissidents and MASH Stockholm syndrome
[34:32.000 --> 34:40.000]  that most people are followers and most that had already fallen into that system would then fight for their captors
[34:40.000 --> 34:51.000]  and fight for their mortal enemies. And that's why it's up to those of us that are leaders to take action.
[34:51.000 --> 34:56.000]  Now, the good news is the majority of America has not fallen to this brainwashing.
[34:56.000 --> 35:01.000]  I'd say about 65% are awake now. That's why the globalists are so scared. The poll numbers show that.
[35:01.000 --> 35:07.000]  The problem is most are scared and on the fence and still passive. They're not leaders.
[35:07.000 --> 35:14.000]  They can look at Venezuela and China and the EU and know that those are very evil and elected systems.
[35:14.000 --> 35:24.000]  They know that just the idea of America and free market is an incredible system compared to what other authoritarian
[35:24.000 --> 35:34.000]  kleptocracies are offering. The problem is people think that they protect themselves keeping their head down.
[35:34.000 --> 35:46.000]  And in a moment of history like this when the sides are so clear and we're even getting the initiative, you're fools.
[35:46.000 --> 35:53.000]  If we lose, it's because of you, those of you on the fence, it's because of you.
[35:53.000 --> 35:59.000]  You know, the enemy, I know the enemy, I understand them, I hate them, but I respect them because they've committed to evil.
[35:59.000 --> 36:07.000]  And I've committed to try to do the right thing and not to use any other tactics to beat them.
[36:07.000 --> 36:12.000]  But you, you're worse than the enemy.
[36:12.000 --> 36:22.000]  You know what's going on, but you won't even jump in their camp. You won't jump in our camp.
[36:22.000 --> 36:29.000]  And so forget you are a countryman, crouched down, licked the hand that feeds you, may the chains shed lightly upon you.
[36:29.000 --> 36:33.000]  But the war has already begun.
[36:33.000 --> 36:38.000]  Why sit we here idle? It's a culture war. It's an economic war. It's a spiritual war.
[36:38.000 --> 36:43.000]  It's a war of courage versus fear. It's a war of information versus ignorance.
[36:43.000 --> 36:49.000]  It's a war of will versus capitulation. It's a war of honor versus dishonor.
[36:49.000 --> 36:53.000]  It's a war of knowing history instead of being lazy and throwing to the forewinds.
[36:53.000 --> 37:02.000]  You people think that being lazy has empowered you. You have no idea how good it is to be informed and strong and to stand against evil.
[37:02.000 --> 37:08.000]  If you had any idea how fulfilling it is, we would never be in this position.
[37:08.000 --> 37:12.000]  And that's why adversity makes men and prosperity makes monsters.
[37:12.000 --> 37:16.000]  Because we've had it so good, so long, people don't know.
[37:16.000 --> 37:22.000]  In every system of honorable history, when good golden ages came, there were horrible times that preceded it,
[37:22.000 --> 37:29.000]  where people learned being honorable, being strong, being focused, being informed was everything.
[37:29.000 --> 37:36.000]  And they'd have a couple generations of innovation and glory and freedom and beauty.
[37:36.000 --> 37:46.000]  But then the spoiledness sets in and the corruption sets in and the rot until the Communist Chinese,
[37:46.000 --> 37:52.000]  the greatest bloodthirsty murdering control freaks the planet has ever seen,
[37:52.000 --> 38:02.000]  propped up by the Rockefeller UN Rothschild Combine on record, put in power, attempted to gobble up Korea.
[38:02.000 --> 38:05.000]  Only got half of it down its throat.
[38:05.000 --> 38:13.000]  We almost had a civil war in this country over the Korean War.
[38:13.000 --> 38:18.000]  And our generals almost removed Truman because of it, but they didn't.
[38:18.000 --> 38:23.000]  Truman was within inches of getting a bullet in his head.
[38:23.000 --> 38:26.000]  Look it up.
[38:26.000 --> 38:31.000]  The military asked MacArthur to, he said, no, I'm not doing it.
[38:31.000 --> 38:33.000]  We're going to fight the Communist here in America.
[38:33.000 --> 38:35.000]  We're going to wear and understand their program.
[38:35.000 --> 38:39.000]  And that's the whole movement to expose the UN and the Communist and McCarthy and all of it.
[38:39.000 --> 38:43.000]  We have been in the civil war against these globalists a long time, folks.
[38:43.000 --> 38:53.000]  And those on the global aside are the idiot quiz links, the incredible morons that don't even understand what's happening.
[38:53.000 --> 38:59.000]  I mean, I've got mainstream news here with the Chinese memo that we've already had others that the Chinese dictators put out.
[38:59.000 --> 39:04.000]  They call a president.
[39:04.000 --> 39:16.000]  Where they said, get all the rare earth minerals, send in troops under the name of trade craftsmen, take over Latin America, take over Asia, take over the largest ports,
[39:16.000 --> 39:20.000]  and then be prepared to cut the U.S. off economically.
[39:20.000 --> 39:35.000]  And then we're going to start a giant, massive military expansion, cutting them off the South China Sea and then expanding from there with planned invasions of the Philippines and other areas.
[39:35.000 --> 39:40.000]  And oh, now it's in mainstream news, Sunday Express and others.
[39:40.000 --> 39:50.000]  China's military reforms to win a war and overtake the U.S. revealed in leaked memo to economically encircle the United States globally.
[39:50.000 --> 39:54.000]  To, of course, politically manipulate internally. Look at Hollywood.
[39:54.000 --> 39:58.000]  To divide the United States internally further.
[39:58.000 --> 40:09.000]  To accelerate their trade war they've had for 50 years from a few billion to 900 billion a year and to expand that.
[40:09.000 --> 40:13.000]  And they were so close, you see. They're so close.
[40:13.000 --> 40:17.000]  China admits they're at war with America.
[40:17.000 --> 40:24.000]  Communist China admits it and then Trump comes in and says 50 billion for your 900 billion unless you start reforms.
[40:24.000 --> 40:28.000]  Just to slap on the wrist. They go, no.
[40:28.000 --> 40:32.000]  And then they put bigger tariffs on us. What was the first big tariff?
[40:32.000 --> 40:37.000]  We were at 40% corporate tax. They were at 15. No one would base themselves here. They were all going to China.
[40:37.000 --> 40:41.000]  China turned around and went, oh, we're going to zero.
[40:41.000 --> 40:48.000]  We're going to zero. And Apple and all the traders moved over there.
[40:48.000 --> 40:53.000]  But then the left's over here going, we want a 50% corporate tax all to shut the U.S. down.
[40:53.000 --> 41:00.000]  All to teach. Just like Bill Maher said, he wants a crashing economy to get the American people on their knees.
[41:00.000 --> 41:03.000]  And that's their plan. Cloward and Piven, all of it.
[41:03.000 --> 41:08.000]  Oh, China has giant, giant ghost cities they've built. Giant, giant freeways bigger than the U.S.
[41:08.000 --> 41:12.000]  They don't give it to either people. It all just sits there empty.
[41:12.000 --> 41:15.000]  Investing all the trillions of U.S. money.
[41:15.000 --> 41:20.000]  Laughing at us. All of it about selling America out.
[41:20.000 --> 41:22.000]  All of it a sick joke.
[41:22.000 --> 41:27.000]  And then Trump says, okay, we'll do 500 billion on you then.
[41:27.000 --> 41:36.000]  And then our media starts siding against Trump and against America saying, how dare you, after 50 years of us being under trade war,
[41:36.000 --> 41:40.000]  try to just bring something back and stabilize the U.S. and get control of the U.S.
[41:40.000 --> 41:47.000]  when the Chinese have gotten all our codes, all of our bases, all of our troops, all of our personnel files on purpose by Obama and Hillary.
[41:47.000 --> 41:53.000]  We've been totally sold out. Last minute Trump comes in, as we're under attack to raise a shield and try to build up some industry
[41:53.000 --> 42:00.000]  and some strategic stockpiles. We have been totally sold out and lulled to sleep with our giant military.
[42:00.000 --> 42:04.000]  And it's all been planned for decades upon decades upon decades.
[42:04.000 --> 42:10.000]  And the CFR has been hailing it for 30 years. The Chinese century. America's going down. Only invest in China.
[42:10.000 --> 42:15.000]  Well, of course, China did great with billions of slaves. 1.5 billion slaves now.
[42:15.000 --> 42:21.000]  Of course, they did great with centralized control. Of course, they did great with a capitalist system for the top generals
