[00:00.000 --> 00:22.000]  Another world, another time, In the age of wonder, another world, another time,
[1:46:43.000 --> 1:46:49.000]  being bussed into Washington D.C. on May Day, on the 1st of May.
[1:46:49.000 --> 1:46:53.000]  And they're testing their databases right now with these fake women marches,
[1:46:53.000 --> 1:46:55.000]  and even fusing it with Islam.
[1:46:55.000 --> 1:46:59.000]  Yes. Alex, you've covered this, and you know what I'm talking about,
[1:46:59.000 --> 1:47:02.000]  but I don't think people are really understanding.
[1:47:02.000 --> 1:47:07.000]  And unfortunately, Trump doesn't have advisors who are very broad in nature.
[1:47:07.000 --> 1:47:10.000]  I love Steve Bannon, but I've recommended that he...
[1:47:10.000 --> 1:47:13.000]  Well, he's overwhelmed. He's also getting isolated.
[1:47:13.000 --> 1:47:15.000]  But I don't want to... Let's go through the points.
[1:47:15.000 --> 1:47:18.000]  So obviously, they're going to have a three million march. They admit that.
[1:47:18.000 --> 1:47:20.000]  They're going to burn everything down.
[1:47:20.000 --> 1:47:23.000]  But it's not just the left that's trying to kill Donald Trump.
[1:47:23.000 --> 1:47:25.000]  The right wing Republicans.
[1:47:25.000 --> 1:47:28.000]  Dick Cheney is still Darth Vader.
[1:47:28.000 --> 1:47:32.000]  Dick Cheney is orchestrating penetrations of the government.
[1:47:32.000 --> 1:47:36.000]  And in fact, I've recommended to Trump that he fire the director of the office
[1:47:36.000 --> 1:47:40.000]  of presidential personnel, DeStefano, who was put in there by previous,
[1:47:40.000 --> 1:47:45.000]  specifically to front load all of Donald Trump's political appointees
[1:47:45.000 --> 1:47:48.000]  with molds from the establishment.
[1:47:48.000 --> 1:47:53.000]  Dick Cheney is hijacking this government just as he hijacked the government of George Bush.
[1:47:53.000 --> 1:47:58.000]  And I would point your listeners, your viewers, to a book called Vice.
[1:47:58.000 --> 1:48:01.000]  Dick Cheney and the hijacking of the American presidency.
[1:48:01.000 --> 1:48:06.000]  The third enemy group that Donald Trump is facing is the deep state,
[1:48:06.000 --> 1:48:10.000]  which is the traders.
[1:48:10.000 --> 1:48:14.000]  I think there's 500 of them across the United States government
[1:48:14.000 --> 1:48:20.000]  who have sold out for money, for ideology, or for religion.
[1:48:20.000 --> 1:48:24.000]  There are three different groups that are after Donald Trump.
[1:48:24.000 --> 1:48:30.000]  And there are three things Donald Trump has to do to survive the next 90 days.
[1:48:30.000 --> 1:48:37.000]  The first is an electoral reform act so that he recruits the 73% that did not vote for him.
[1:48:37.000 --> 1:48:41.000]  The second is a Trump channel so that he can bypass the media
[1:48:41.000 --> 1:48:44.000]  and work through people like you and Greg Hunter and other...
[1:48:44.000 --> 1:48:47.000]  Sure, you should just go on every day with press announcements himself
[1:48:47.000 --> 1:48:49.000]  or what others are just laying out.
[1:48:49.000 --> 1:48:54.000]  Think about a seven-minute fireside chat from the president every day.
[1:48:54.000 --> 1:48:57.000]  And then think about all of his cabinet officials being brought in
[1:48:57.000 --> 1:49:00.000]  to do seven- to 15-minute YouTubes.
[1:49:00.000 --> 1:49:05.000]  And then think about Donald Trump asking America a question with a tweet
[1:49:05.000 --> 1:49:09.000]  and using poll mole, P-O-L-L-M-O-L-E, poll mole.
[1:49:09.000 --> 1:49:12.000]  With poll mole, I can get 150 million viewers.
[1:49:12.000 --> 1:49:14.000]  No, that's it. He must mobilize his base.
[1:49:14.000 --> 1:49:18.000]  It's just sitting on the sideline because they're mobilizing their armies right now.
[1:49:18.000 --> 1:49:19.000]  We must mobilize.
[1:49:19.000 --> 1:49:26.000]  Yes, but we need to mobilize the 70% that George Soto doesn't control.
[1:49:26.000 --> 1:49:29.000]  This morning when I came in, I meant to get on air and say,
[1:49:29.000 --> 1:49:32.000]  become activists, call C-SPAN, get in the streets.
[1:49:32.000 --> 1:49:34.000]  What do people need to do to expose this?
[1:49:34.000 --> 1:49:37.000]  I mean, you're dead on about other plan.
[1:49:37.000 --> 1:49:41.000]  Alex, I certainly am a very humble person.
[1:49:41.000 --> 1:49:44.000]  And these have been eight very hard years wandering in the wilderness.
[1:49:44.000 --> 1:49:47.000]  My bottom line is Donald Trump needs to sit down and listen.
[1:49:47.000 --> 1:49:50.000]  I have had for a number of years...
[1:49:50.000 --> 1:49:53.000]  I've been trying to get hold of him since July of 2015.
[1:49:53.000 --> 1:49:57.000]  And I wrote the first article, Counter-Coup, how Donald Trump can win.
[1:49:57.000 --> 1:50:02.000]  It appeared in Counter-Punch, which is an excellent magazine in August of 2015.
[1:50:02.000 --> 1:50:04.000]  Corey Lubakowski blew me off.
[1:50:04.000 --> 1:50:05.000]  Roger Stone blew me off.
[1:50:05.000 --> 1:50:08.000]  I visited Paul Manafort's office five times.
[1:50:08.000 --> 1:50:09.000]  He blew me off.
[1:50:09.000 --> 1:50:10.000]  Okay?
[1:50:10.000 --> 1:50:12.000]  Donald Trump is isolated.
[1:50:12.000 --> 1:50:14.000]  His mail is being controlled.
[1:50:14.000 --> 1:50:17.000]  He's not getting to sit down with people like...
[1:50:17.000 --> 1:50:18.000]  I'll name five names.
[1:50:18.000 --> 1:50:23.000]  Robert Steele, Dennis Kasinich, Cynthia McKinney, Ralph Nader and Jesse Ventura.
[1:50:23.000 --> 1:50:26.000]  You put those five people in an office with Donald Trump,
[1:50:26.000 --> 1:50:28.000]  you announce the electoral reform act,
[1:50:28.000 --> 1:50:33.000]  and you have those five people in Donald Trump brainstorm the country.
[1:50:33.000 --> 1:50:35.000]  Fifty states in 30 days.
[1:50:35.000 --> 1:50:40.000]  I guarantee you, we will own this country for the people.
[1:50:40.000 --> 1:50:43.000]  You're just saying, would that type of diverse crowd would be optics for the public?
[1:50:43.000 --> 1:50:45.000]  This was a big table for everybody.
[1:50:45.000 --> 1:50:46.000]  What Trump's doing...
[1:50:46.000 --> 1:50:48.000]  What is this optics for the public?
[1:50:48.000 --> 1:50:51.000]  Donald Trump has to understand the Republican Party is toast.
[1:50:51.000 --> 1:50:55.000]  Well, the Republican Party is definitely at the top out to get Trump
[1:50:55.000 --> 1:50:57.000]  and block the American people along with Democrats.
[1:50:57.000 --> 1:51:00.000]  Especially the Republicans, the Democrats and the globalists as main enemies.
[1:51:00.000 --> 1:51:02.000]  How will you spend your tax return?
[1:51:02.000 --> 1:51:06.000]  Will a new TV or the newest cell phone protect you when the unexpected happens?
[1:51:06.000 --> 1:51:10.000]  Wildfires, hurricanes, tornadoes, earthquakes.
[1:51:10.000 --> 1:51:12.000]  You and your family could be left helpless,
[1:51:12.000 --> 1:51:15.000]  waiting for a slow-acting FEMA to come to your rescue.
[1:51:15.000 --> 1:51:18.000]  In a disaster, local store shelves are emptied at just hours.
[1:51:18.000 --> 1:51:23.000]  Your tax return is your chance to be wise and be ready with Wise Food Storage.
[1:51:23.000 --> 1:51:28.000]  Wise Food Storage provides affordable, ready-made gourmet meals with a 25-year shelf life.
[1:51:28.000 --> 1:51:31.000]  Just add water and your family is eating delicious food
[1:51:31.000 --> 1:51:33.000]  instead of fighting for scraps in a food riot.
[1:51:33.000 --> 1:51:34.000]  Try it free.
[1:51:34.000 --> 1:51:37.000]  Order a no-obligation free sample meal delivered right to your front door.
[1:51:37.000 --> 1:51:40.000]  And for a limited time, make the most of your tax return.
[1:51:40.000 --> 1:51:43.000]  Place your order and get a huge 20% discount and free shipping.
[1:51:43.000 --> 1:51:45.000]  This big discount ends soon.
[1:51:45.000 --> 1:51:48.000]  Once done, you're set for 25 years.
[1:51:48.000 --> 1:51:49.000]  Be wise.
[1:51:49.000 --> 1:51:51.000]  Be ready with Wise Food Storage.
[1:51:51.000 --> 1:51:52.000]  Call now.
[1:51:52.000 --> 1:51:54.000]  800-803-5505.
[1:51:54.000 --> 1:51:56.000]  800-803-5505.
[1:51:56.000 --> 1:51:59.000]  800-803-5505.
[1:51:59.000 --> 1:52:02.000]  We use cell phones against our heads every day.
[1:52:02.000 --> 1:52:06.000]  But now, a landmark U.S. government study confirms increased health risks
[1:52:06.000 --> 1:52:09.000]  from exposure to EMF radiation emitted from these devices.
[1:52:09.000 --> 1:52:11.000]  The time to protect yourself is now.
[1:52:11.000 --> 1:52:13.000]  The solution is Defender Shield.
[1:52:13.000 --> 1:52:18.000]  Proudly made in the U.S.A., Defender Shield blocks virtually 100% of EMF radiation emitted
[1:52:18.000 --> 1:52:20.000]  from cell phones, tablets, and laptops.
[1:52:20.000 --> 1:52:22.000]  Buy now at DefenderShield.com.
[1:52:22.000 --> 1:52:24.000]  Use discount code Defender for 10% off.
[1:52:24.000 --> 1:52:50.000]  DefenderShield.com, the worldwide leader in EMF radiation protection.
[1:52:54.000 --> 1:52:59.000]  Call now at DefenderShield.com.
[1:53:25.000 --> 1:53:27.000]  Go to MinutemanStove.com.
[1:53:27.000 --> 1:53:29.000]  That's MinutemanStove.com.
[1:53:29.000 --> 1:53:34.000]  Now's the time to refresh your home and save at Lumber Liquidators spring flooring kickoff sale.
[1:53:34.000 --> 1:53:39.000]  Our stores are packed with the latest spring trends like modern, water-proof, wood-look flooring.
[1:53:39.000 --> 1:53:45.000]  It's up to 34% off or choose from more than 200 styles of pre-finished hardwood from $149.
[1:53:45.000 --> 1:53:52.000]  Get deals in over 55 varieties of bamboo from $159, more from $0.59 and special financing.
[1:53:52.000 --> 1:53:55.000]  The spring flooring kickoff sale ends Tuesday.
[1:53:55.000 --> 1:54:00.000]  Visit LumberLiquidators.com to find a store near you today.
[1:54:00.000 --> 1:54:29.000]  Music playing.
[1:54:29.000 --> 1:54:31.000]  The media is always asking, what do you talk to Trump about?
[1:54:31.000 --> 1:54:33.000]  I go, well, I'll tell you this.
[1:54:33.000 --> 1:54:37.000]  I say, sir, please go out for China openly giving money to Hillary, Saudi Arabia and the Russians.
[1:54:37.000 --> 1:54:39.000]  And here's all the articles, sir.
[1:54:39.000 --> 1:54:41.000]  And he's sitting there, you know, writing them down while I'm talking to him.
[1:54:41.000 --> 1:54:42.000]  He goes, I know, I know.
[1:54:42.000 --> 1:54:44.000]  And he goes, and the OPM hack.
[1:54:44.000 --> 1:54:46.000]  Well, God, that was under Obama.
[1:54:46.000 --> 1:54:47.000]  You know, 15 million names.
[1:54:47.000 --> 1:54:48.000]  I'm like, I know, sir, I know.
[1:54:48.000 --> 1:54:51.000]  And he's like, so if you want to know what I've talked about, Trump, it's that.
[1:54:51.000 --> 1:54:53.000]  I have personally begged him to do this.
[1:54:53.000 --> 1:54:57.000]  And so, I mean, I've said the common sense is just let the law be carried out.
[1:54:57.000 --> 1:55:02.000]  And of all these, you know, Republicans and Democrats, like he said during his inauguration,
[1:55:02.000 --> 1:55:05.000]  we're going after everybody, they've all been on the Russian payroll.
[1:55:05.000 --> 1:55:06.000]  I'm not attacking the Russians.
[1:55:06.000 --> 1:55:07.000]  That's what governments do.
[1:55:07.000 --> 1:55:12.000]  Or the Chinese who brag they've done it and say they're going to censor the web, the communist,
[1:55:12.000 --> 1:55:13.000]  then arrest them all.
[1:55:13.000 --> 1:55:16.000]  And I'm not looking for some purge here, but the law is the law.
[1:55:16.000 --> 1:55:18.000]  And I'm sick of reading the newspaper.
[1:55:18.000 --> 1:55:25.000]  My own hometown paper has had it three times the last two months in the front of the physical metro
[1:55:25.000 --> 1:55:30.000]  and state that I'm a, quote, Russian idiot or a Russian dupe or a Russian agent.
[1:55:30.000 --> 1:55:31.000]  Man, that's weird.
[1:55:31.000 --> 1:55:32.000]  Okay.
[1:55:32.000 --> 1:55:33.000]  That's crazy.
[1:55:33.000 --> 1:55:35.000]  I can speak like two Russian words.
[1:55:35.000 --> 1:55:36.000]  Okay.
[1:55:36.000 --> 1:55:38.000]  And that's the level we've reached here.
[1:55:38.000 --> 1:55:40.000]  And so we're going to have excerpts of that coming up.
[1:55:40.000 --> 1:55:41.000]  He's still going.
[1:55:41.000 --> 1:55:42.000]  We're getting the best clips.
[1:55:42.000 --> 1:55:46.000]  We've got a New York Post reporter coming on where Obama and that's the Soros group are
[1:55:46.000 --> 1:55:49.000]  literally admitting they're moving to overthrow Trump.
[1:55:49.000 --> 1:55:55.000]  But it shows that in the councils that people like Evan McMillan or the CIA are in, they're
[1:55:55.000 --> 1:55:56.000]  confident enough.
[1:55:56.000 --> 1:55:57.000]  Let me tell you something.
[1:55:57.000 --> 1:56:01.400]  You start getting on air as a person that's powerful and saying, you know, the president
[1:56:01.400 --> 1:56:04.200]  is a, quote, domestic enemy and he's be overthrown.
[1:56:04.200 --> 1:56:07.500]  The president has, and the agencies, they follow the constitution have full purview.
[1:56:07.500 --> 1:56:09.000]  You're an outside enemy now.
[1:56:09.000 --> 1:56:14.000]  I mean, that is not a very good way to be staying around above the, you know, above the dirt
[1:56:14.000 --> 1:56:15.000]  level, above the grass.
[1:56:15.000 --> 1:56:16.000]  I'm not threatening this guy.
[1:56:16.000 --> 1:56:17.000]  I don't care about him.
[1:56:17.000 --> 1:56:21.000]  The point is it's really super crazy to be saying this.
[1:56:21.000 --> 1:56:23.000]  What do you, what do you make of all this rhetoric?
[1:56:23.000 --> 1:56:25.000]  Uh, Robert David Steele.
[1:56:25.000 --> 1:56:29.000]  Well, McMillan has just demonstrated that he's a clickbait.
[1:56:29.000 --> 1:56:31.000]  He's right up there with Madonna.
[1:56:31.000 --> 1:56:34.000]  Um, I think very, very poorly of him.
[1:56:34.000 --> 1:56:37.000]  He is being an irresponsible, unprofessional person.
[1:56:37.000 --> 1:56:43.000]  Um, Donald Trump for all of his flaws is unshackled.
[1:56:43.000 --> 1:56:48.000]  And I cannot emphasize this anymore.
[1:56:48.000 --> 1:56:54.000]  There is one chance to restore the constitution and restore the republic.
[1:56:54.000 --> 1:56:59.000]  Now I'm really pleased that Jeff Sessions and James Comey, who appears to have turned
[1:56:59.000 --> 1:57:03.000]  around somewhat, they're going after the pedophiles among the elite.
[1:57:03.000 --> 1:57:07.000]  A number of arrests are expected in the next week or two.
[1:57:07.000 --> 1:57:09.000]  Uh, and that's putting them on notice.
[1:57:09.000 --> 1:57:10.000]  That's putting them on notice, isn't it?
[1:57:10.000 --> 1:57:12.000]  Yes, it is putting them on notice.
[1:57:12.000 --> 1:57:14.000]  These people are extremely vulnerable.
[1:57:14.000 --> 1:57:19.000]  However, one of the problems that I have with Trump's current team is they don't seem to
[1:57:19.000 --> 1:57:26.000]  understand that the real enemies, the existential enemies of America are right here at home.
[1:57:26.000 --> 1:57:28.000]  They are not overseas.
[1:57:28.000 --> 1:57:30.000]  North Korea is the Chinese's problem.
[1:57:30.000 --> 1:57:33.000]  Look, look, look, Trump's got to be political some.
[1:57:33.000 --> 1:57:37.000]  I mean, you know, he's got to have some, if he's going to not start war with Russia and
[1:57:37.000 --> 1:57:41.000]  people, he's got to have something, you know, that nationalistic he's going to do.
[1:57:41.000 --> 1:57:45.000]  I'll tell you what, let's make America great again, starting right here at home.
[1:57:45.000 --> 1:57:51.000]  What Donald Trump needs to do is restore integrity to our electoral process and our
[1:57:51.000 --> 1:57:52.000]  governance process.
[1:57:52.000 --> 1:57:54.000]  Nothing else matters.
[1:57:54.000 --> 1:58:01.000]  All of these platitudes about Russia and Iran and other countries are platitudes.
[1:58:01.000 --> 1:58:07.000]  There is one tangible thing that Donald Trump can do other than firing rents previous, which
[1:58:07.000 --> 1:58:11.000]  is he can call for an electoral reform act.
[1:58:11.000 --> 1:58:16.000]  And before he does that, I think he should have a very public meeting with Cynthia McKinney,
[1:58:16.000 --> 1:58:17.000]  Dennis.
[1:58:17.000 --> 1:58:18.000]  No, no, no, I hear you.
[1:58:18.000 --> 1:58:20.000]  And I've seen that, you know, that plan you have.
[1:58:20.000 --> 1:58:24.000]  All I'm telling you is, is that I want to come back in 70 seconds to talk more about
[1:58:24.000 --> 1:58:29.000]  474 arrests in LA of pedophiles and a bunch of kids actually kept in slave dungeons.
[1:58:29.000 --> 1:58:30.000]  That's not even on the news.
[1:58:30.000 --> 1:58:31.000]  That shows how it's a cover up.
[1:58:31.000 --> 1:58:33.000]  We're arrest all over the country.
[1:58:33.000 --> 1:58:35.000]  Arrest of Sandusky's son.
[1:58:35.000 --> 1:58:37.000]  We've got Weiner, child porn stuff.
[1:58:37.000 --> 1:58:41.000]  I mean, our law enforcement people told us this three months ago.
[1:58:41.000 --> 1:58:43.000]  So, I mean, this is really going on.
[1:58:43.000 --> 1:58:45.000]  And, you know, who had one of the pedophiles?
[1:58:45.000 --> 1:58:46.000]  It's Donald Trump.
[1:58:46.000 --> 1:58:48.000]  And sessions hadn't either.
[1:58:48.000 --> 1:58:50.000]  They want to go after him.
[1:58:50.000 --> 1:58:55.000]  Since a federal judge has halted Trump's executive order, 60% of the refugee arrivals to the
[1:58:55.000 --> 1:58:57.000]  United States have come from terror-prone countries.
[1:58:57.000 --> 1:58:59.000]  In fact, the most terror-prone.
[1:58:59.000 --> 1:59:04.000]  Since U.S. District Judge James Robarts restraining order, the United States has taken 532
[1:59:04.000 --> 1:59:09.000]  refugees from Syria, a civil war-torn country, ripe with terrorists, in which President Assad
[1:59:09.000 --> 1:59:14.000]  of Syria and U.S. intelligence agencies said are infiltrating refugee groups.
[1:59:14.000 --> 1:59:18.000]  472 refugees from Iraq, where Americans can't even go out on the streets.
[1:59:18.000 --> 1:59:24.000]  363 from Somalia, where we already had a refugee stab 11 people at Ohio State.
[1:59:24.000 --> 1:59:29.000]  117 refugees from Iran, where they just last week held a march, where they marched on the
[1:59:29.000 --> 1:59:35.000]  American flag, enchanted death to the U.S. in the streets, and 65 are from Sudan, a failed
[1:59:35.000 --> 1:59:41.000]  state, for a total of 1,549 refugees from terrorist-prone countries since February 3rd.
[1:59:41.000 --> 1:59:45.000]  If any terror attacks happen at the hands of these refugees, we know where to look,
[1:59:45.000 --> 1:59:46.000]  and it ain't Trump.
[1:59:46.000 --> 2:00:12.000]  For Infowars.com, this is Owen Schreuer.
[2:00:12.000 --> 2:00:38.000]  He aligns himself with the truth, and it's time for you to choose a side.
[2:00:38.000 --> 2:00:42.000]  And I agree with almost all of it, other than these roundtable meetings, I think those are
[2:00:42.000 --> 2:00:43.000]  fine, too.
[2:00:43.000 --> 2:00:50.000]  It's just that I know this, the entire power structures against Trump.
[2:00:50.000 --> 2:00:54.000]  The foreign banks, the Saudi Arabians, the communist Chinese, it's so obvious, and he's
[2:00:54.000 --> 2:00:58.000]  really trying to cut taxes on poor people, have the big banks loaned to local businesses.
[2:00:58.000 --> 2:01:00.000]  I mean, it's a real move towards prosperity.
[2:01:00.000 --> 2:01:04.000]  He's not perfect, but he's just kind of a businessman that did not get the country.
[2:01:04.000 --> 2:01:06.000]  That doesn't mean he's not going to make mistakes.
[2:01:06.000 --> 2:01:13.000]  Are they trying to act confident, or are they really in a megalomaniac way confident that
[2:01:13.000 --> 2:01:14.000]  they're going to bring Trump down?
[2:01:14.000 --> 2:01:17.000]  Because Michael Moore is saying, we're going to overthrow him.
[2:01:17.000 --> 2:01:18.000]  He is a Russian.
[2:01:18.000 --> 2:01:21.000]  And then the CIA comes out, or he is a Russian.
[2:01:21.000 --> 2:01:22.000]  We know the talking points.
[2:01:22.000 --> 2:01:23.000]  They've been building this up.
[2:01:23.000 --> 2:01:25.000]  Now they're in the news saying, could we kill him?
[2:01:25.000 --> 2:01:26.000]  Could the CIA legally kill him?
[2:01:26.000 --> 2:01:29.000]  They're really trying to get themselves up to that edge of that cliff.
[2:01:29.000 --> 2:01:32.000]  I don't think they realize what's going to come if they do that separately.
[2:01:32.000 --> 2:01:34.000]  This is in 1963.
[2:01:34.000 --> 2:01:38.000]  Let's get into what your intel is on more roundups of pedophiles.
[2:01:38.000 --> 2:01:45.000]  Well, let me first say that Catherine Austin Fitz, speaking for Greg Hunter, the Underground
[2:01:45.000 --> 2:01:50.000]  Show, has a YouTube that I consider to be the single most important piece of advice
[2:01:50.000 --> 2:01:52.000]  Donald Trump could ever get.
[2:01:52.000 --> 2:01:54.000]  They are playing Trump like a fiddle.
[2:01:54.000 --> 2:01:57.000]  They're going after his women, which makes him crazy.
[2:01:57.000 --> 2:02:00.000]  They are undermining him with the media.
[2:02:00.000 --> 2:02:02.000]  Trump is not focusing.
[2:02:02.000 --> 2:02:08.000]  He made a huge mistake today in doubling down on a national security advisor.
[2:02:08.000 --> 2:02:12.000]  What he really needs is a national strategy advisor that can do a whole of government
[2:02:12.000 --> 2:02:13.000]  thinking.
[2:02:13.000 --> 2:02:18.000]  They're distracting him with filling his cabinet when what matters is he's everything.
[2:02:18.000 --> 2:02:20.000]  Yes, absolutely right.
[2:02:20.000 --> 2:02:22.000]  Alex, you are absolutely on target.
[2:02:22.000 --> 2:02:28.000]  Donald Trump needs to sit down and game out the next 90 days.
[2:02:28.000 --> 2:02:33.000]  And he has to do it in a way that allows him to shut down the two-party tyranny.
[2:02:33.000 --> 2:02:35.000]  Paul Ryan is not his friend.
[2:02:35.000 --> 2:02:37.000]  Oh, Paul Ryan is his sworn enemy.
[2:02:37.000 --> 2:02:40.000]  In fact, I've got to be honest.
[2:02:40.000 --> 2:02:41.000]  Here's the thing.
[2:02:41.000 --> 2:02:45.000]  The Democrat leadership thinks that Russia invaded Korea and doesn't know what day it is.
[2:02:45.000 --> 2:02:48.000]  It thinks Bush is an office, but they're all goofy and just...
[2:02:48.000 --> 2:02:49.000]  It is like the scariest.
[2:02:49.000 --> 2:02:53.000]  The Republican leadership has got their act together, but they're really the threat to
[2:02:53.000 --> 2:02:54.000]  Trump, I think.
[2:02:54.000 --> 2:02:58.000]  I agree with you completely, Alex, and one of the reasons I want to throw the press out
[2:02:58.000 --> 2:03:04.000]  of the White House and create a Trump channel in that space is because Fox News is part of
[2:03:04.000 --> 2:03:05.000]  the traffic law.
[2:03:05.000 --> 2:03:08.000]  Oh, they're attacking him backhanded every 10 seconds.
[2:03:08.000 --> 2:03:09.000]  They are sleazeballs.
[2:03:09.000 --> 2:03:14.000]  And frankly, I'm tired of three bimbos in the morning and five jerks at night.
[2:03:14.000 --> 2:03:17.000]  Fox News is a disgrace to the journalist profession.
[2:03:17.000 --> 2:03:22.000]  Trump needs to sit down and think strategically, and he doesn't have anyone that can do that
[2:03:22.000 --> 2:03:23.000]  form.
[2:03:23.000 --> 2:03:26.000]  I love Bannon, but Bannon needs playmates that are diversified.
[2:03:26.000 --> 2:03:28.000]  Well, I mean, you know what they're doing.
[2:03:28.000 --> 2:03:29.000]  They're trying to run Bannon out.
[2:03:29.000 --> 2:03:31.000]  Bannon's just trying to get policy down.
[2:03:31.000 --> 2:03:33.000]  Yeah, but Bannon's been very good.
[2:03:33.000 --> 2:03:34.000]  But here's the bottom line, Alex.
[2:03:34.000 --> 2:03:41.000]  If Trump will listen, if Trump will read the memo for Trump, and if Trump will follow this
[2:03:41.000 --> 2:03:47.000]  strategy, he could shut down George Sodos within the next 15 days.
[2:03:47.000 --> 2:03:48.000]  Yeah, why is he scared to have this...
[2:03:48.000 --> 2:03:51.000]  I mean, clearly, Soros has committed a bunch of crimes and stuff.
[2:03:51.000 --> 2:03:52.000]  He's...
[2:03:52.000 --> 2:03:53.000]  He's been dieting.
[2:03:53.000 --> 2:03:55.000]  Why not pick the gloves off?
[2:03:55.000 --> 2:03:59.000]  Frankly, I'm surprised that George Sodos hasn't had a bullet put through his brain.
[2:03:59.000 --> 2:04:01.000]  We have something called Ranger Justice.
[2:04:01.000 --> 2:04:07.000]  It's when specific people understand that certain things need to be done and they do
[2:04:07.000 --> 2:04:08.000]  it.
[2:04:08.000 --> 2:04:11.000]  George Sodos is a dead man walking, in my view.
[2:04:11.000 --> 2:04:16.000]  I certainly am no threat to George Sodos, but I think he is very, very likely to be
[2:04:16.000 --> 2:04:21.000]  assassinated in the next 180 days if he doesn't change his...
[2:04:21.000 --> 2:04:25.000]  What I know is people can't go on TV and call the president a domestic enemy and these be
[2:04:25.000 --> 2:04:26.000]  overthrown and stuff don't happen.
[2:04:26.000 --> 2:04:27.000]  That's all I'm saying.
[2:04:27.000 --> 2:04:32.000]  Alex, we all need to rally behind Donald Trump.
[2:04:32.000 --> 2:04:36.000]  I just got off Gary Nell, and I'm on with Gary Nell again on Tuesday.
[2:04:36.000 --> 2:04:38.000]  You're on with us next Tuesday as well.
[2:04:38.000 --> 2:04:39.000]  I appreciate you.
[2:04:39.000 --> 2:04:40.000]  Thank you.
[2:04:40.000 --> 2:04:41.000]  We'll look into all this.
[2:04:41.000 --> 2:04:43.000]  I mean, a lot of what you're saying I can document.
[2:04:43.000 --> 2:04:46.000]  I believe you have a good heart or on target and a lot of stuff.
[2:04:46.000 --> 2:04:47.000]  Who knows?
[2:04:47.000 --> 2:04:48.000]  I hope some of this isn't true.
[2:04:48.000 --> 2:04:49.000]  It's simply unbelievable.
[2:04:49.000 --> 2:04:53.000]  Just look at what we know about the Catholic Church and all this other crap and it's just
[2:04:53.000 --> 2:04:54.000]  unbelievable.
[2:04:54.000 --> 2:04:57.000]  They're definitely covering up pedophilia in the news and the huge, massive roundups
[2:04:57.000 --> 2:04:58.000]  of them.
[2:04:58.000 --> 2:04:59.000]  It's amazing.
[2:04:59.000 --> 2:05:00.000]  Thank you, sir.
[2:05:00.000 --> 2:05:04.000]  In a protest against Donald Trump's tight citizenship policy, a day without immigrants has been
[2:05:04.000 --> 2:05:05.000]  declared nationwide.
[2:05:05.000 --> 2:05:10.000]  Today, February 16th, 2017 will go down in history as a day without immigrants.
[2:05:10.000 --> 2:05:11.000]  Look around you.
[2:05:11.000 --> 2:05:12.000]  Is that person an immigrant?
[2:05:12.000 --> 2:05:14.000]  Imagine if they were just gone.
[2:05:14.000 --> 2:05:15.000]  But wait a second.
[2:05:15.000 --> 2:05:17.000]  This ideal or illustration doesn't make sense.
[2:05:17.000 --> 2:05:19.000]  President Trump is not deporting immigrants.
[2:05:19.000 --> 2:05:23.000]  In fact, I'm yet to see or hear any policy that deals directly with just immigrants.
[2:05:23.000 --> 2:05:27.000]  So are citizens of the U.S. that have immigrated here going to take off work in protest for
[2:05:27.000 --> 2:05:31.000]  those who want to skirt the legal process that they went through to be an immigrant?
[2:05:31.000 --> 2:05:32.000]  An interesting notion.
[2:05:32.000 --> 2:05:36.000]  Or will this just be a bunch of self-loathing white liberal college students and older women
[2:05:36.000 --> 2:05:39.000]  like usual in a desperate attempt to virtue signal against Trump?
[2:05:39.000 --> 2:05:43.000]  Or will non-citizens show up and proudly announce that they work here illegally?
[2:05:43.000 --> 2:05:47.000]  The goal of this protest is to display how imperative immigrants are to society.
[2:05:47.000 --> 2:05:49.000]  Guess we will find that out real quick.
[2:05:49.000 --> 2:05:53.000]  Or we will see that people who immigrated here came here to work for a better life and
[2:05:53.000 --> 2:05:57.000]  have better things to do than protest a process that they followed.
[2:05:57.000 --> 2:06:26.000]  Infowars.com, this is Owen Schreuer.
[2:06:27.000 --> 2:06:53.000]  Thank you.
[2:06:53.000 --> 2:07:19.000]  Thank you.
[2:07:19.000 --> 2:07:45.000]  Thank you.
[2:07:45.000 --> 2:08:11.000]  Thank you.
[2:08:11.000 --> 2:08:37.000]  Thank you.
[2:08:37.000 --> 2:09:03.000]  Thank you.
[2:09:03.000 --> 2:09:29.000]  Thank you.
[2:09:29.000 --> 2:09:55.000]  Thank you.
[2:09:55.000 --> 2:10:21.000]  Thank you.
[2:10:21.000 --> 2:10:49.000]  Thank you.
[2:10:49.000 --> 2:11:15.000]  Thank you.
[2:11:15.000 --> 2:11:41.000]  Thank you.
[2:11:41.000 --> 2:12:07.000]  Thank you.
[2:12:07.000 --> 2:12:33.000]  Thank you.
[2:12:33.000 --> 2:12:59.000]  Thank you.
[2:12:59.000 --> 2:13:25.000]  Thank you.
[2:13:25.000 --> 2:13:51.000]  Thank you.
[2:13:51.000 --> 2:14:17.000]  Thank you.
[2:14:17.000 --> 2:14:43.000]  Thank you.
[2:14:43.000 --> 2:15:11.000]  Thank you.
[2:15:11.000 --> 2:15:39.000]  Thank you.
