[00:00:23.526 --> 00:00:25.907]  It's Friday, November 19th.
[00:26:26.759 --> 00:26:30.440]  A big, long, super sharp, just knife right in their heart.
[00:26:30.440 --> 00:26:31.220]  Feel that?
[00:26:31.220 --> 00:26:33.061]  And they're bleeding out politically right now.
[00:26:33.061 --> 00:26:36.262]  And they want to stab us and get at us and scrabble around and flop around.
[00:26:38.062 --> 00:26:39.263]  We're not like you Satanists.
[00:26:39.263 --> 00:26:40.923]  We're not worried about our bodies.
[00:26:40.923 --> 00:26:42.804]  We're not worried about how we look.
[00:26:42.804 --> 00:26:44.624]  We don't care what the news says about us.
[00:26:44.624 --> 00:26:45.525]  You understand?
[00:26:45.525 --> 00:26:47.365]  We care about taking you down.
[00:26:47.365 --> 00:26:48.246]  You understand that?
[00:26:48.246 --> 00:26:49.726]  Good.
[00:26:49.726 --> 00:26:52.207]  And I will, with God's help, take you down.
[00:26:52.207 --> 00:27:05.231]  So, I need financial support so that I can use the money we've got to run these operations and devastate the enemy further and just be clear-eyed and focused while I do this like a surgeon.
[00:27:06.423 --> 00:27:11.845]  And I need to hold at bay their little operatives and their systems and everything, so we need funds.
[00:27:11.845 --> 00:27:17.287]  So I want you to go to SaveInfoWars.com, it's GiveSendGo, and I want you to make a donation there.
[00:27:17.287 --> 00:27:19.948]  We're not even allowed to be on the other donation sites.
[00:27:19.948 --> 00:27:24.249]  The left raises tens of millions, you know, for literal pedophile books they put in schools.
[00:27:24.249 --> 00:27:26.650]  Those have been, you know, done by the big GoFundMe firms.
[00:27:30.367 --> 00:27:32.208]  I'm not saying GoFundMe did that, but you know, that whole genre.
[00:27:32.208 --> 00:27:37.072]  There's been a bunch of really sick leftist fundraiser stuff that's gone on on different outlets.
[00:27:37.072 --> 00:27:45.559]  We're just here trying to keep this operation on air, and make more films, and write books, and do special presentations, and fund more journalists, and many others.
[00:27:45.559 --> 00:27:49.081]  But it takes money, and I need all the money we've got coming in.
[00:27:49.081 --> 00:27:49.962]  I sold my house.
[00:27:49.962 --> 00:27:50.783]  It sold two weeks ago.
[00:27:52.987 --> 00:28:03.790]  And I'm putting all of that into the fight, and I am just liquidating everything I've got, which isn't that much, to just pour it into this to make sure.
[00:28:03.790 --> 00:28:11.892]  And then I need money to then hold off the wolves while I finish getting everything set up and prepared.
[00:28:11.892 --> 00:28:20.094]  I mean, we've never had this much knowledge, we've never had this great understanding of the enemy operations, and we've never had better insights into how to destroy them.
[00:28:20.794 --> 00:28:28.119]  So when I say destroy them, I mean stop their system, stop their program of killing everybody and literally raping our children to death.
[00:28:28.119 --> 00:28:36.544]  So go to SaveInfoWars.com right now and make a $10, $100, $1,000 donation and that will really be helping the tip of the spear.
[00:28:36.544 --> 00:28:42.709]  You could not spend money anywhere on earth in a better place to fight evil than SaveInfoWars.com.
[00:28:42.709 --> 00:28:47.572]  SaveInfoWars.com and I thank you all for your support and I just say God bless you.
[00:28:48.072 --> 00:28:54.838]  And again, you are definitely the tip of the spear when it comes to funding this operation.
[00:28:54.838 --> 00:28:55.499]  We'll be right back.
[00:28:55.499 --> 00:28:58.001]  Stay with us.
[00:28:58.001 --> 00:28:59.222]  Hey, everybody.
[00:28:59.222 --> 00:29:06.468]  There are so many crappy brands of energy products, energy drinks, energy powders, energy pills.
[00:29:06.468 --> 00:29:12.393]  And look, almost all of them work, but they're toxic and they've got incredible downsides.
[00:29:12.393 --> 00:29:13.815]  Horrible crashes and
[00:29:15.362 --> 00:29:17.623]  Again, so many toxins in them.
[00:29:17.623 --> 00:29:29.729]  All of the nootropic products that we sell at mfolwarestore.com are clean, are pure, are highest quality, and they're long-lasting, and they help focus your mind.
[00:29:29.729 --> 00:29:32.711]  And right now, our strongest product, the three nootropics we have,
[00:29:33.717 --> 00:29:42.380]  RainForce Plus, RainForce Ultra, and TurboForce are back in stock at InfoWareStore.com.
[00:29:42.380 --> 00:29:45.841]  TurboForce has been sold out for more than six months.
[00:29:45.841 --> 00:29:48.722]  It's back in stock with free shipping, 40% off.
[00:29:48.722 --> 00:29:59.105]  It is 10 hours of clean energy, clean energy without the big crash, and it's available right now, and it funds the InfoWare, a 360 win.
[00:29:59.105 --> 00:30:00.526]  I know you're humble.
[00:30:00.526 --> 00:30:01.226]  I know you're like me.
[00:30:02.193 --> 00:30:15.043]  But I really want you to sit back and cogitate or meditate on the fact that those of you that have supported my broadcast and InfoWars over the years have changed the world in incredible ways.
[00:30:15.043 --> 00:30:17.365]  And now, as 2021 prepares to end and 2022
[00:30:21.109 --> 00:30:22.070]  It begins to dawn.
[00:30:22.070 --> 00:30:28.458]  It is more important than ever that you realize how important you are and that you be more active than you've ever been.
[00:30:28.458 --> 00:30:30.680]  The tip of the spear is Vandervelde.
[00:30:30.680 --> 00:30:33.984]  The very front lines of the fight for human liberty is infowards.com.
[00:30:34.838 --> 00:30:39.481]  And we can't stay on air without your support, so thank you all for your support.
[00:30:39.481 --> 00:30:44.323]  Donate to our legal defense fund to stay on the air at SaveInfoWars.com.
[00:30:44.323 --> 00:30:45.844]  That's SaveInfoWars.com.
[00:30:45.844 --> 00:30:57.091]  And continue to go to InfoWarsStore.com, where right now we've got Turbo Force, sold out for months, 10 hours of clean energy, back in stock with free shipping, 40% off, and so many other great products.
[00:30:58.928 --> 00:31:00.350]  I know you're humble.
[00:31:00.350 --> 00:31:02.032]  I know you're like me.
[00:31:02.032 --> 00:31:14.886]  But I really want you to sit back and cogitate or meditate on the fact that those of you that have supported my broadcast and InfoWars over the years have changed the world in incredible ways.
[00:31:14.886 --> 00:31:17.228]  And now, as 2021 prepares to end and 2022
[00:31:20.956 --> 00:31:21.917]  It begins to dawn.
[00:31:21.917 --> 00:31:28.301]  It is more important than ever that you realize how important you are, and that you be more active than you've ever been.
[00:31:28.301 --> 00:31:30.522]  The tip of the spear is Van Dot Video.
[00:31:30.522 --> 00:31:33.604]  The very front lines of the fight for human liberty is M4Wars.com.
[00:31:34.688 --> 00:31:39.313]  And we can't stay on air without your support, so thank you all for your support.
[00:31:39.313 --> 00:31:44.158]  Donate to our Legal Defense Fund to stay on the air at SaveM4Awards.com.
[00:31:44.158 --> 00:31:45.700]  That's SaveM4Awards.com.
[00:31:45.700 --> 00:31:56.952]  And continue to go to M4AwardsStore.com, where right now we've got Turbo Force, sold out for months, 10 hours of energy, back in stock with free shipping, 40% off, and so many other great products.
[00:31:59.122 --> 00:32:13.636]  The COVID-19 face diaper is a symbol of subservience, a symbol of slavery, a symbol of the change that the medical tyranny combine controlled by the global private corporations has put in place.
[00:32:14.396 --> 00:32:19.619]  It is the symbol of the permanent emergency from which we will never emerge.
[00:32:19.619 --> 00:32:27.844]  It is the symbol that we are diseased and evil and bad and must cover our diseased criminal faces from the light of the sun.
[00:32:27.844 --> 00:32:36.068]  It is the symbol of our complete and total absolute surrender to evil.
[00:32:36.068 --> 00:32:36.849]  Ladies and gentlemen,
[00:32:37.836 --> 00:32:40.639]  We are crossing the Rubicon now.
[00:32:40.639 --> 00:32:43.902]  The entire future destiny of humanity is upon us.
[00:32:43.902 --> 00:32:50.247]  Klaus Schwab and the UN admit they're coming out with implantable microchips as part of the World ID and carbon taxes.
[00:32:50.247 --> 00:32:52.289]  Things only get worse from here if we submit.
[00:32:52.289 --> 00:32:55.892]  They only get better if we resist and say no.
[00:32:55.892 --> 00:33:01.357]  Noncompliance, noncompliance, noncompliance.
[00:33:01.357 --> 00:33:03.980]  You're listening to the Alex Jones Show.
[00:33:12.304 --> 00:33:16.965]  Leading a frontal assault on the lives of the New World Order.
[00:33:16.965 --> 00:33:26.067]  It's Alex Jones.
[00:33:26.067 --> 00:33:34.889]  Okay, thank you so much for joining us.
[00:33:34.889 --> 00:33:37.450]  What did I talk about yesterday?
[00:33:39.155 --> 00:33:41.416]  What did I talk about at the start of the show?
[00:33:41.416 --> 00:34:00.264]  I said the criminals that run NATO and the top of Interpol are the corporate body set up at the end of World War II for the Marshall Plan in Europe where they were able, with occupied countries, to set up whatever they wanted.
[00:34:00.264 --> 00:34:08.468]  You know, France was never let out of occupation until de Gaulle
[00:34:10.438 --> 00:34:19.246]  Basically had a coup and kicked the NATO group out.
[00:34:19.246 --> 00:34:21.488]  And that's in the history books.
[00:34:21.488 --> 00:34:27.994]  And they actually also seized the NATO nuclear weapons that were being stored in France.
[00:34:27.994 --> 00:34:29.256]  I mean, people don't even know about this.
[00:34:31.343 --> 00:34:34.845]  That the French had to have a coup to get their country back.
[00:34:34.845 --> 00:34:45.792]  You just don't think the Nazis came in and crossed over the Maginot Line at the start of World War II in 1940, and that all the generals just gave up for no reason.
[00:34:45.792 --> 00:34:54.057]  They were Vichy, or they were going to establish Vichy France down in the south of France.
[00:34:54.057 --> 00:34:58.400]  And that's how Hitler, three weeks after the Germans invaded France, Hitler was
[00:35:01.087 --> 00:35:13.474]  Surveying and touring downtown Paris, driving down the road, and the majority of Parisians were hailing Hitler.
[00:35:13.474 --> 00:35:16.216]  That's because Hitler was so popular at the time, and the U.S.
[00:35:16.216 --> 00:35:24.900]  News said he was a great guy, and the British News said he was a great guy, because he was set up to think he was allowed to do all this on a secret treaty with the British Empire that later came out.
[00:35:24.900 --> 00:35:28.963]  You're like, what does that have to do with what's happening now?
[00:35:29.997 --> 00:35:40.080]  Well, through the Marshall Plan, the takeover of Europe, NATO and these groups, private-corporate charter, was able to do whatever it wanted in places like Germany.
[00:35:40.080 --> 00:35:41.640]  And you saw what it did.
[00:35:41.640 --> 00:35:49.162]  Run giant, industrial-level, pedophile takeover to create a new culture of pedophile armies.
[00:35:56.161 --> 00:35:59.364]  Yeah, there's the King of England hailing Hitler.
[00:35:59.364 --> 00:36:03.028]  Edward VIII, but that's for TV viewers.
[00:36:03.028 --> 00:36:15.101]  So, when you see all this, and you hear NATO coming out with this statement, it's on infowars.com from zerohedge.com, January 6th, riot, an attack on NATO.
[00:36:18.715 --> 00:36:21.637]  And of course you know NATO's got spy groups and units here.
[00:36:21.637 --> 00:36:24.539]  You know NATO carried out the Oklahoma City bombing in 95.
[00:36:24.539 --> 00:36:30.824]  We don't even know the names of the NATO officers.
[00:36:30.824 --> 00:36:34.307]  With dramatic and overly self-serious gusto,
[00:36:36.821 --> 00:36:48.790]  Stoltenberg told Axios journalist Swann, I regard that as an attack on the core democratic institutions of the United States and therefore also on the core values of NATO.
[00:36:48.790 --> 00:36:51.292]  You can watch the video.
