[00:00.000 --> 00:06.000]  From the Frontlines of the Information War, it's Alex Jones.
[38:13.000 --> 38:29.000]  Just type it in. Type in Dutch fire departments won't go in no go zones. French fire departments, Belgian fire departments, Swedish fire departments all announced this month, sites all over their countries they won't go into.
[38:29.000 --> 38:42.000]  But don't worry. Here in the US, they're moving from Austin to Chicago. Do you name it? To ban bulletproof glass in businesses at bank tellers and at liquor stores.
[38:42.000 --> 38:51.000]  There it is. Europe's no go zones list of 900 EU areas where police have lost control to migrants. What is that? The Sunday Express?
[38:51.000 --> 39:09.000]  Yeah. But again, oh, Trump's a liar. He's a bigot. He showed men beating people up and throwing gays off buildings. How bigoted? Yeah, there's one of the headlines. What is it? Three out of five?
[39:09.000 --> 39:24.000]  Three out of four. Child refugees are actually adults. Oh, yeah. You'll read these articles where a 30 year old rapes some 15 year old in a Swedish high school and the news says, well, that's what boys do in their country.
[39:24.000 --> 39:36.000]  And it's some 30 year old guy with a beard named Ahmed and he rapes her and it's okay because oh, oh, we're sorry. Thank you for, but they even had women apologize to the Muslims when they rape them.
[39:36.000 --> 39:49.000]  I'm sorry I fought back at first. I forgot what you've gone through. The head of the Green Party in Germany then said, stop wearing short dresses. You're asking for it.
[39:49.000 --> 40:00.000]  The most classic sexist garbage from the left. It's okay because see, they just want to adopt what they see as brutal, masculine control.
[40:00.000 --> 40:08.000]  Most of the so-called liberal lesbians and all these groups, they just want to have the guy with the duck's ass haircut and the James Dean outfit.
[40:08.000 --> 40:14.000]  The truth is, James Dean loves slapping girls around, but they want to be the ones slapping the girls around and statistically it shows it.
[40:14.000 --> 40:23.000]  I'm not blaming all lesbians, but it shows that most of these butch lesbians, they want to be the guy smacking the hot chick around. They think that's manly.
[40:23.000 --> 40:30.000]  And a lot of the chicks, they like it. See, because no man will do that to them and I'm not saying it's good if a man does that, but some women like it.
[40:30.000 --> 40:35.000]  And if they find a man to smack them around, well, they found them a girl going to do it real good.
[40:35.000 --> 40:41.000]  Knock them upside their head and have 50 shades of gray about the sexy rich guy that's going to chain you up.
[40:41.000 --> 40:46.000]  Of course, you're going to get chained up one time. They're going to put that devil mask or that piggy mask on.
[40:46.000 --> 40:52.000]  They're going to say, now I'm going to torture you for about six weeks to start begging for your mommy and your daddy.
[40:52.000 --> 40:57.000]  That's the liberals. They want to get you in a dungeon.
[40:57.000 --> 41:04.000]  They want to strap you down and take a buzz saw and cut the top of your head off like a pumpkin and pull it off and get a little spoon and go,
[41:04.000 --> 41:09.000]  well, you're looking in the mirror. This is one thing I know they like to do. They go, I'm going to eat your brain now.
[41:09.000 --> 41:17.000]  Let's start. Let's start at the side areas here because we don't want to take away your side at the back or your thinking on the front.
[41:17.000 --> 41:29.000]  I'm going to eat your cerebral cortex last because I've got power. I love Satan and I'm going to suck you dry and I'm going to torture you to death.
[41:29.000 --> 41:36.000]  And you're going to follow my liberal orders and you're going to talk like I talk and you're going to be guilty when I say you're guilty and you're going to bow to me.
[41:36.000 --> 41:48.000]  And I'm going to teach huge hordes of people that we shovel welfare at to hate you if you produce, to hate you if you're good and to create a total system of collapse.
[41:48.000 --> 41:56.000]  Oh, but it's okay. Don't say it's Muslims running a slave trade. No, no, no, no, no. No, it's Libyans. They did it.
[41:56.000 --> 42:04.000]  No, it was Libya invaded by a jihadist who now run the country as a giant exploitation site. But that's okay.
[42:04.000 --> 42:13.000]  African migrants don't put that in quote are being sold as slaves by Libyan human traffickers.
[42:13.000 --> 42:22.000]  What they do is they call the Islamic invaders are called migrants. Then the blacks are enslaving. They call them migrants to create people feeling sad for the Muslim invaders.
[42:22.000 --> 42:30.000]  You understand how they recycle that? You got the Muslim invaders running slave camps, then going to Europe to, you know, run their operations to get girls kidnapped and shipped back.
[42:30.000 --> 42:37.000]  But then to make themselves look good, they then take the identity of the people that have actually enslaved to double dip and then be the victims on top of it.
[42:37.000 --> 42:41.000]  And then they never call them Muslims. It's just all giant mind control. And the public just goes along with this.
[42:41.000 --> 42:49.000]  And I've just got stacks of news on that front, but so much more coming up on the economy straight ahead as the globalist panic as the Dow goes to 24,000.
[42:49.000 --> 42:56.000]  And the globalist like Soros, crap, his dirty little filthy Nazi scumbag britches. Yeah.
[42:56.000 --> 43:09.000]  I'm so excited. The new product at infowarslife.com in a glass bottle, two months servings filled to the brim, filled to the absolute top, the real red pill.
[43:09.000 --> 43:18.000]  This is a heart and brain pill, a new tropic, but doesn't have any stimulants in it. But boy, does it stimulate because it's beyond that.
[43:18.000 --> 43:30.000]  Quite frankly, I just went off what I saw medical doctors prescribing to their patients, but it wasn't prescription, but they were charging people $100, $200 for the formulae.
[43:30.000 --> 43:39.000]  And I came up with our own formulae working with some scientists and developers non GMO made right here in America, 120 capsules.
[43:39.000 --> 43:48.000]  And ladies and gentlemen, you add the preglonone to it, which is the precursor to all the hormones that your body has to have to even make the hormones in your glands.
[43:48.000 --> 43:57.000]  It is amazing. Red pill now available at infowarsstore.com and your purchase funds the operation.
[43:57.000 --> 44:08.000]  Please listen carefully because I'm about to point out three things that will save you a lot of money while you get high quality products and fund the info war, a 360 win.
[44:08.000 --> 44:14.000]  Number one, when you choose auto ship before checkout, we give you 10% off on your order at infowarsore.com.
[44:14.000 --> 44:22.000]  Number two, you're also able to get items that are out of stock when you sign up for auto ship because we hold back a surplus for auto ship customers.
[44:22.000 --> 44:27.000]  Number three, we're giving you free shipping on all orders above $50.
[44:27.000 --> 44:33.000]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[44:33.000 --> 44:41.000]  Just go to infowarsstore.com, select your favorite product or products, click on auto ship and choose how often you want us to send you another order.
[44:41.000 --> 44:52.000]  As you know, I coined the term 360 win and with the new auto ship feature at infowarslife.com, this is a sure win. 10% off on auto ship. Win, win, win at infowarslife.com.
[44:52.000 --> 45:11.000]  Free shipping on orders above $50 and all out of stock items are never out of stock when you sign up for auto ship.
[45:22.000 --> 45:29.000]  Our amazing mouthwash features natural oils and ancient ingredients used since aboriginal and biblical times.
[45:29.000 --> 45:39.000]  Instead of containing fluoride, our super blue line is loaded with the good halogen iodine and an array of other beneficial compounds that have been hand selected for their oral health benefits.
