[00:00:30.179 --> 00:00:30.566]  I'll play.
[00:27:47.319 --> 00:27:48.180]  That's our best deal.
[00:27:48.180 --> 00:27:50.321]  That's an amazing product.
[00:27:50.321 --> 00:27:52.302]  50% off DNA Force Plus.
[00:27:52.302 --> 00:27:52.402]  40% off
[00:27:53.843 --> 00:28:02.588]  Vazzo Beads, 50% off Vitaminal Fusion, 50% off Real Red Bull, Real Red Bull Plus, despite the fact that it's close to selling out.
[00:28:02.588 --> 00:28:06.430]  This is all available at InfoWarStore.com.
[00:28:06.430 --> 00:28:13.254]  They're amazing products, and they also fund the InfoWar, which makes them even more amazing.
[00:28:13.254 --> 00:28:16.376]  Ultimate Krill Oil, highest quality you're going to find, incredible benefits.
[00:28:16.376 --> 00:28:18.297]  It's back in stock, 50% off.
[00:28:18.297 --> 00:28:22.960]  Take action now, make your life better, and fund the InfoWar at InfoWarStore.com.
[00:28:28.044 --> 00:28:30.648]  You're listening to The Alex Jones Show.
[00:28:59.019 --> 00:29:10.690]  All right, next segment, I'm going to tell you what Melinda Gates on today's program was really wearing on national TV.
[00:29:10.690 --> 00:29:13.893]  Was it just an upside-down cross?
[00:29:13.893 --> 00:29:16.956]  No, it was far worse than that.
[00:29:16.956 --> 00:29:21.200]  What was the red circle of rubies around it?
[00:29:21.200 --> 00:29:22.121]  What does that mean?
[00:29:24.124 --> 00:29:26.666]  It's a corona.
[00:29:26.666 --> 00:29:28.448]  Sun is yellow.
[00:29:28.448 --> 00:29:29.689]  The crown is red.
[00:29:29.689 --> 00:29:43.180]  And in the occult, you wear that symbol, hoping for the death of the earth, which is about the most satanic spirit there is, the spirit of Satan.
[00:29:43.180 --> 00:29:44.901]  The kill, steal, and destroy.
[00:29:44.901 --> 00:29:49.125]  When you believe in the occult, these different demons and different entities, different things of different attributes, different
[00:29:50.037 --> 00:29:51.518]  Curses, different things they do.
[00:29:51.518 --> 00:29:54.559]  And she's up there doing a death ritual.
[00:29:54.559 --> 00:29:57.240]  And of course, what does Bill Gates say?
[00:29:57.240 --> 00:29:59.501]  We want more childhood death.
[00:29:59.501 --> 00:30:02.062]  So next segment, I'm going to show you these symbols.
[00:30:02.062 --> 00:30:03.143]  We have the HD video.
[00:30:03.143 --> 00:30:03.743]  We blew it up.
[00:30:03.743 --> 00:30:08.005]  It's bigger than Dallas, where Miss French is from.
[00:30:08.005 --> 00:30:15.208]  But it's an upside down cross with a red corona around it.
[00:30:15.208 --> 00:30:18.830]  But of course, they did Event 201 last October.
[00:30:20.950 --> 00:30:26.513]  And they even handed out Corona doll plush toys.
[00:30:26.513 --> 00:30:35.458]  And it turns out there were more than 40 programs funded by the NIH and Bill and Melinda Gates at the Wuhan lab.
[00:30:35.458 --> 00:30:38.899]  There were deals funded by them from Chapel Hill and Fauci in 2015.
[00:30:38.899 --> 00:30:41.941]  It was a scandal in the scientific community.
[00:30:41.941 --> 00:30:46.944]  People said, you're giving gain of function.
[00:30:46.944 --> 00:30:49.325]  Weaponized cold virus.
[00:30:51.892 --> 00:30:53.792]  To the Chinese, when it should be banned.
[00:30:53.792 --> 00:31:02.455]  And of course, it's them!
[00:31:02.455 --> 00:31:03.095]  It's them!
[00:31:03.095 --> 00:31:03.855]  It's them!
[00:31:03.855 --> 00:31:13.077]  And of course, Snopes goes, well, it is upside down cross, but that, we ask the church, Satan, they're the authority.
[00:31:13.077 --> 00:31:14.298]  That's how it works a lot.
[00:31:14.298 --> 00:31:15.298]  They are the authority.
[00:31:17.847 --> 00:31:23.313]  As if the Church of Satan and that carnival barker, Anton LaVey, are the top satanists.
[00:31:23.313 --> 00:31:25.895]  I mean, give me a break.
[00:31:25.895 --> 00:31:28.057]  Those aren't even real satanists.
[00:31:28.057 --> 00:31:31.081]  Those are pop satanists.
[00:31:31.081 --> 00:31:36.886]  Anton LaVey didn't know anything about satanism.
[00:31:36.886 --> 00:31:40.110]  The real satanists wouldn't get within a thousand yards of that guy.
[00:31:43.999 --> 00:31:48.860]  Oh, but they say it doesn't mean you're a Satanist to wear an upside-down cross.
[00:31:48.860 --> 00:31:50.661]  Oh, no.
[00:31:50.661 --> 00:31:51.681]  No, no.
[00:31:51.681 --> 00:31:53.402]  You're the authority.
[00:31:53.402 --> 00:31:59.723]  Whatever fat slob runs that organization now.
[00:31:59.723 --> 00:32:01.724]  Satanists aren't about having sex with hot women.
[00:32:01.724 --> 00:32:06.325]  They're about killing the planet.
[00:32:06.325 --> 00:32:08.526]  They're about murdering all life.
[00:32:08.526 --> 00:32:09.566]  Draining the oceans.
[00:32:13.356 --> 00:32:17.780]  And all you idiots that think you're part of something cool better get the hell out of what you're involved in right now.
[00:32:17.780 --> 00:32:23.085]  Because the party's about to be over and you're going to be crying for your mommies.
[00:32:23.085 --> 00:32:25.327]  I can tell you that right now.
[00:32:25.327 --> 00:32:31.393]  Okay, now let's lay it all out.
[00:32:31.393 --> 00:32:37.038]  It's good news that InfoWars has five times the listeners we've ever had on our platforms and visitors.
[00:32:38.732 --> 00:32:44.854]  And we've had some growing pains because of having to get even bigger servers and systems than we've had.
[00:32:44.854 --> 00:32:48.635]  Obviously, Bill Gates and the Globalists have done a lot of stuff behind the scenes.
[00:32:48.635 --> 00:33:00.900]  And I am not at liberty to tell you the things that are going on behind the scenes yet, because I have been given information and confidence.
[00:33:00.900 --> 00:33:01.740]  And I'll just leave it at that.
[00:33:08.311 --> 00:33:11.453]  But this stuff will all be coming out soon.
[00:33:11.453 --> 00:33:17.055]  Just know this, there is a civil war going on inside the government right now.
[00:33:17.055 --> 00:33:18.636]  And it really breaks into two camps.
[00:33:18.636 --> 00:33:24.899]  People that are just common sense and want a pro-human future, and those that are psychotic killers.
[00:33:24.899 --> 00:33:30.582]  And they're using just mentally ill mafia types, control freaks, morons.
[00:33:32.625 --> 00:33:40.528]  That just through their leftist ideology they really believe tearing down America and tearing down capitalism is going to rebuild some utopia.
[00:33:40.528 --> 00:33:50.633]  They have an army of useful idiots trained in the colleges that actually believe that Christians and conservatives and nationalists are Nazis.
[00:33:55.862 --> 00:33:59.383]  They're cult brainwashed fools and you cannot get through to them.
[00:33:59.383 --> 00:34:06.826]  And then their bosses come from the groups that literally created Hitler as a side project.
[00:34:06.826 --> 00:34:08.407]  A dialectic.
[00:34:08.407 --> 00:34:14.269]  Wind him up, tell him he's going to rule the world, blow him up, and then bring in the scientific dictators.
[00:34:14.269 --> 00:34:19.951]  They didn't want a king of England who was really German over EU world government.
[00:34:19.951 --> 00:34:23.532]  They weren't going to let the Sax-Koburgs run stuff.
[00:34:27.125 --> 00:34:34.287]  But they gave Hitler the whole plan, the go-ahead, the money, the weapons, the General Motors and Ford factories.
[00:34:34.287 --> 00:34:35.848]  They gave them everything!
[00:34:35.848 --> 00:34:50.052]  Bill and Melinda Gates' family, the grandfathers, all of them, look into them, are in the inner club that ran the computers in the death camps.
[00:34:51.109 --> 00:34:53.692]  Yeah, these are some serious hombres.
[00:34:53.692 --> 00:34:57.195]  You know, you think of the Gambinos as the tough mafia.
[00:34:57.195 --> 00:34:58.877]  They run hookers.
[00:34:58.877 --> 00:35:02.140]  And they run illegal gambling facilities.
[00:35:02.140 --> 00:35:04.823]  And then later they dealt drugs.
[00:35:04.823 --> 00:35:10.288]  Oh my, what tough guys in their black Cadillacs and their big cigars.
[00:35:10.288 --> 00:35:11.970]  They're so scary.
[00:35:15.711 --> 00:35:30.946]  When the real mafia gives you injections of time-released cancer viruses, that as soon as your hormone levels drop to a certain point, right around menopause, you die.
[00:35:30.946 --> 00:35:34.249]  They already had it time-released by the 50s.
[00:35:34.249 --> 00:35:35.851]  Viruses that were hormone-triggered.
[00:35:36.943 --> 00:35:40.866]  To be embedded in your cells and then to start replicating when your hormone levels change.
[00:35:40.866 --> 00:35:47.550]  They tested them out on guinea pigs, rats, rabbits, and then human trials in the third world and here in the United States.
[00:35:47.550 --> 00:35:50.092]  And then they all gave it to you in your polio shots.
[00:35:50.092 --> 00:35:55.115]  And then we had the cancer epidemic and grandma and grandpa and now the kids die of cancer.
[00:35:55.115 --> 00:35:56.396]  It's just so much fun!
[00:35:57.637 --> 00:36:02.021]  Oh, but oh, the Crips are a scary gang.
[00:36:02.021 --> 00:36:03.102]  Oh.
[00:36:03.102 --> 00:36:07.806]  MS-13, oh, they do devil rituals and kill little kids sometimes.
[00:36:07.806 --> 00:36:10.469]  Oh my, they're the hardest dudes.
[00:36:10.469 --> 00:36:13.412]  Oh, but Bill Gates is wearing a pink sweater.
[00:36:15.435 --> 00:36:16.816]  And he acts effeminate.
[00:36:16.816 --> 00:36:19.158]  That's all an act, ladies and gentlemen.
[00:36:19.158 --> 00:36:22.721]  Behind the scenes, Bill Gates is literally hopping around like a gremlin.
[00:36:22.721 --> 00:36:26.784]  I know people that know him, just going, Get it, get work done now!
[00:36:26.784 --> 00:36:28.205]  18 hours a day, he used to take everything over.
[00:36:28.205 --> 00:36:29.846]  He's just... There you go.
[00:36:29.846 --> 00:36:31.948]  Well, we got one of the most evil ones ever here.
[00:36:31.948 --> 00:36:34.930]  He was a totally satanic demon by age 10, reportedly.
[00:36:37.932 --> 00:36:40.994]  He is a monster unleashed on you!
[00:36:40.994 --> 00:36:42.455]  With savage will!
[00:36:42.455 --> 00:36:43.836]  Little cunning eyes!
[00:36:43.836 --> 00:36:44.336]  Attacking!
[00:36:44.336 --> 00:36:44.817]  Attacking!
[00:36:44.817 --> 00:36:45.417]  Attacking!
[00:36:45.417 --> 00:36:45.897]  Attacking!
[00:36:45.897 --> 00:36:46.338]  Attacking!
[00:36:46.338 --> 00:36:46.738]  Attacking!
[00:36:46.738 --> 00:36:48.639]  Attacking!
[00:36:48.639 --> 00:36:51.641]  Like a pit bull!
[00:36:51.641 --> 00:36:52.742]  Never stops!
[00:36:52.742 --> 00:36:53.362]  Never sleeps!
[00:36:53.362 --> 00:36:54.123]  Never backs down!
[00:36:54.123 --> 00:36:56.925]  But he's got a pink sweater!
[00:36:56.925 --> 00:37:01.308]  Oh, liberal!
[00:37:01.308 --> 00:37:02.609]  It's called camouflage!
[00:37:04.309 --> 00:37:13.531]  If he was in a black uniform with SS twin lightning bolt runes on him, wow, you'd mobilize against him, but there he is.
[00:37:13.531 --> 00:37:17.952]  I'm just a nerd who really wants to put things in your body.
[00:37:17.952 --> 00:37:26.874]  And did I tell you there's too many people?
[00:37:26.874 --> 00:37:30.034]  Oh, look at the little, oh, he's so, oh.
[00:37:37.347 --> 00:37:43.655]  So, here's the deal.
[00:37:43.655 --> 00:37:46.679]  Bill Gates believes he's a guardian of the earth.
[00:37:46.679 --> 00:37:49.223]  But he knows he likes the power over people.
[00:37:49.223 --> 00:37:52.888]  And he loves running the orphanages where they test deadly stuff on kids.
[00:37:52.888 --> 00:37:54.410]  So they got thrown out of Africa and India.
[00:37:58.041 --> 00:38:03.743]  But the lower-level people beneath them, they're all like, yes, we have to, we have to mitigate the wild human infestation.
[00:38:03.743 --> 00:38:05.063]  That's what it's called in the documents.
[00:38:05.063 --> 00:38:06.964]  Free-roaming humans are a major problem.
[00:38:06.964 --> 00:38:07.364]  It's tough.
[00:38:07.364 --> 00:38:12.025]  And there's a lot of gallant people against us because they don't understand the larger good.
[00:38:12.025 --> 00:38:13.505]  We're doing an emergency triage for the Earth!
[00:38:13.505 --> 00:38:14.626]  Let's do it!
[00:38:14.626 --> 00:38:17.306]  I know there's pheromones in the shots, but we've got to do it for Earth!
[00:38:17.306 --> 00:38:19.267]  And Bill Gates is like, good job, you understand about this.
[00:38:19.267 --> 00:38:20.187]  He's like, ah, Satan!
[00:38:20.187 --> 00:38:21.187]  Bleh!
[00:38:21.187 --> 00:38:22.888]  His wife's wearing upside-down crosses.
[00:38:26.724 --> 00:38:30.609]  Please remember that we have a lot of great products that have been out of stock, back in stock, like krill oil.
[00:38:30.609 --> 00:38:31.790]  We have the ultimate krill oil.
