[00:00.000 --> 00:06.560]  It's Wednesday, September 15, 2021.
[35:22.000 --> 35:24.000]  But they're proud of it.
[35:24.000 --> 35:27.000]  That's what's so sick about this.
[35:27.000 --> 35:36.000]  And even if they did this and Trump was really looking at that because of China threatening places, that's one thing, but we elected Trump.
[35:36.000 --> 35:38.000]  So that's bypassing our republic.
[35:38.000 --> 35:39.000]  But he didn't even do that.
[35:39.000 --> 35:40.000]  It's on record.
[35:40.000 --> 35:45.000]  He was going into Daytona with China at that point and North Korea.
[35:45.000 --> 35:50.000]  And of course, Trump responded to that and said, this is crazy.
[35:50.000 --> 35:52.000]  China was starting to warm up to our deals.
[35:52.000 --> 35:53.000]  We've made these deals.
[35:53.000 --> 35:57.000]  So it's beyond serving China, he serves himself.
[35:57.000 --> 35:59.000]  He could have triggered a nuclear war calling up.
[35:59.000 --> 36:01.000]  They have the military said, well, do I launch an attack?
[36:01.000 --> 36:04.000]  He said, no, I'll let you know if we launch one.
[36:04.000 --> 36:07.000]  Well, that's how you think he said, well, then I may launch an attack.
[36:07.000 --> 36:10.000]  And all of our allies are listening in on this call on record.
[36:10.000 --> 36:12.000]  They're like, what the hell?
[36:12.000 --> 36:19.000]  And they started calling the NSA and others saying, is there a military coup in America?
[36:19.000 --> 36:21.000]  Is General Milley the president?
[36:21.000 --> 36:24.000]  Because you know, that's what happened in Rome.
[36:24.000 --> 36:25.000]  Two thousand.
[36:25.000 --> 36:27.000]  50 years ago.
[36:27.000 --> 36:29.000]  60 years ago now.
[36:29.000 --> 36:30.000]  Roughly.
[36:30.000 --> 36:32.000]  Look up when Caesar got killed, folks.
[36:32.000 --> 36:33.000]  I forget.
[36:33.000 --> 36:39.000]  Like 40 something years before the birth of Christ.
[36:39.000 --> 36:41.000]  And it happens in third world countries all the time.
[36:41.000 --> 36:42.000]  You see this.
[36:42.000 --> 36:44.000]  Well, it happens in Africa, Latin America and Asia.
[36:44.000 --> 36:47.000]  And here it is happening in America.
[36:47.000 --> 36:53.000]  Like we're Myanmar or something.
[36:53.000 --> 36:59.000]  And what's frightening is they're the ones that are dangerous.
[36:59.000 --> 37:09.000]  Oh, but he apologized in his photo op role when Trump walked around the streets and showed the burned down church and said it was wrong as just a sign of strength.
[37:09.000 --> 37:11.000]  He could have called out the military.
[37:11.000 --> 37:21.000]  Oh, but Milley doesn't mind being political when he is on his knees and Congress saying critical race theories good and white people attack the Capitol and white people are the main terror threat.
[37:21.000 --> 37:24.000]  Don't you get it?
[37:24.000 --> 37:26.000]  I'm going to lay it out next hour.
[37:26.000 --> 37:39.000]  I'm going to lay out how they're preparing for war and gun confiscation, how they said we're the main terror threat, how Biden has announced that in his June report and how they were planning this all day one, even if they couldn't have stolen the election from Trump.
[37:39.000 --> 37:48.000]  They were planning to have a 25th Amendment coup against him claiming he was about to start a war with China because all he did was sign on to standing up to them.
[37:48.000 --> 37:54.000]  In the 40 year trade war they were in with us that we never fought back against.
[37:54.000 --> 38:01.000]  And the globalists had all prepositioned their investments and everything else they did in China.
[38:01.000 --> 38:07.000]  And so that's their investment going down when Trump stands up to them and brings jobs back to America.
[38:07.000 --> 38:09.000]  Trump got us out of Afghanistan.
[38:09.000 --> 38:11.000]  Trump was doing peace deals with North Korea.
[38:11.000 --> 38:13.000]  Trump got us out of Syria.
[38:13.000 --> 38:24.000]  And Milley, remember, the Pentagon ignored the president and the left is celebrating that and celebrating surveillance and celebrating censorship.
[38:24.000 --> 38:28.000]  So we're not, here's the big announcement, and it's a big announcement.
[38:28.000 --> 38:32.000]  And I'll be honest, I don't ever have problems speaking to a big crowd.
[38:32.000 --> 38:35.000]  I don't have any anxiety on national TV.
[38:35.000 --> 38:38.000]  This isn't like a choking or butterflies in my stomach.
[38:38.000 --> 38:40.000]  It's more like a rage.
[38:40.000 --> 38:45.000]  I have trouble presenting this because it's not a pride issue.
[38:45.000 --> 38:51.000]  It makes me mad that they're on top of us and we can't get them off our backs.
[38:51.000 --> 39:02.000]  We live in a plutocratic oligarchy of bureaucrats and special interests and billionaires and trillion dollar companies that control them.
[39:02.000 --> 39:05.000]  A society of criminals.
[39:05.000 --> 39:10.000]  We live in a bureaucratic dictatorship of people that just don't want to be in control.
[39:10.000 --> 39:21.000]  They fundamentally hate America because the globalists in the last 70 years had to recruit people that hated the country because why would you want to get rid of something so good?
[39:21.000 --> 39:25.000]  Like free market and self-defense and sovereignty and all of it.
[39:25.000 --> 39:27.000]  We weren't perfect, but way above everybody else.
[39:27.000 --> 39:37.000]  5% of the wealth in 1950, 4% of the world population, 50% of the wealth in 1950, 4% of the population.
[39:37.000 --> 39:44.000]  We had half the world's wealth and it was in the middle class and the average person's hands.
[39:44.000 --> 39:45.000]  We had created it.
[39:45.000 --> 39:46.000]  We had generated it.
[39:46.000 --> 39:52.000]  We had made all these inventions and all these things and been hardworking and it had delivered.
[39:52.000 --> 39:54.000]  And now what do you have?
[39:54.000 --> 40:00.000]  Drug addiction, laziness, stupidness, Satanism, pedophilia around the muck, a cursed nation.
[40:00.000 --> 40:03.000]  Because we got fat and happy and let the evil come in and take over.
[40:03.000 --> 40:06.000]  I'm going to go to break and I'm going to come back with all the COVID news.
[40:06.000 --> 40:07.000]  It's huge.
[40:07.000 --> 40:09.000]  A bunch of the COVID news, my God.
[40:09.000 --> 40:19.000]  And then on the next hour, I'm going to nail Millie and nail it on the wall and just homely explain the whole track.
[40:19.000 --> 40:20.000]  What happened?
[40:20.000 --> 40:22.000]  And here's the frustrating part.
[40:22.000 --> 40:25.000]  We need massive awakening to this.
[40:25.000 --> 40:29.000]  Or Millie doesn't get in trouble because you could bring down Millie.
[40:29.000 --> 40:34.000]  You could bring down the whole deep state, the whole criminal cabal.
[40:34.000 --> 40:38.000]  It's like the string on the sweater that it unravels the whole sweater.
[40:38.000 --> 40:43.000]  Or it's like you knock a hole in the dam and the water's coming through and the whole thing breaks down.
[40:43.000 --> 40:45.000]  But instead, they're like, well, why?
[40:45.000 --> 40:46.000]  He's a Chinese agent.
[40:46.000 --> 40:47.000]  He was calling him.
[40:47.000 --> 40:48.000]  He's a trader.
[40:48.000 --> 40:51.000]  They're like, oh, no, he saved us by doing that.
[40:51.000 --> 40:53.000]  That gives them their fake argument.
[40:53.000 --> 40:54.000]  No.
[40:54.000 --> 41:05.000]  They were, he was lying, saying Trump was going to nuke somebody with no evidence to have the military pledge allegiance to him and sign an agreement not to follow the president's orders.
[41:05.000 --> 41:06.000]  That's the treason.
[41:06.000 --> 41:07.000]  That's the coup.
[41:07.000 --> 41:14.000]  And he called Schumer and Pelosi and others to get them on board.
[41:14.000 --> 41:16.000]  And he would they and they would he.
[41:16.000 --> 41:18.000]  That's the issue.
[41:18.000 --> 41:21.000]  That's the and no one it's nowhere.
[41:21.000 --> 41:26.000]  No one is talking about Pelosi that I've seen other than the articles from January 8.
[41:26.000 --> 41:30.000]  Pelosi says she spoke to General Millie about Trump and the nuclear codes.
[41:30.000 --> 41:38.000]  Do you understand that's why we've got to stay on air despite all the attacks that I don't even get into with you.
