[00:00:07.176 --> 00:00:09.377]  It's Monday, November 9th.
[00:25:41.206 --> 00:25:56.510]  And that it's the perfect governor, the perfect throttle, the perfect gate to turn the economy off whenever they want, selectively kill the economy, get us into debt, and selectively shut down systems during elections and have mail-in ballots forever.
[00:25:56.510 --> 00:26:01.531]  Bring in the casual society, bring in the social credit score with the phones to track where you go and what you do.
[00:26:01.531 --> 00:26:03.872]  And it's all being announced, it's all being done.
[00:26:03.872 --> 00:26:06.693]  So it's a permanent martial law takeover.
[00:26:06.693 --> 00:26:07.333]  Here's the headline.
[00:26:08.305 --> 00:26:09.947]  Hope you spread the live link.
[00:26:09.947 --> 00:26:15.873]  Monday live, Alex Jones knows Joe Biden's next moves and how to stop him.
[00:26:15.873 --> 00:26:22.801]  Infowars has discovered the global's deep state strategy to complete their steal of the election and put the United States on permanent martial law lockdown.
[00:26:22.801 --> 00:26:27.707]  I'm going to explain that when I come back, why the stakes are so high and what President Trump has to do in a nutshell.
[00:26:29.093 --> 00:26:31.816]  Because they know there's the Midwest and the South and everywhere else.
[00:26:31.816 --> 00:26:33.037]  They want to fully break us.
[00:26:33.037 --> 00:26:35.659]  It's a communist strategy, run by big banks.
[00:26:35.659 --> 00:26:42.586]  They want to have decades of us shut down, just like they did the Chinese under Mao, when he killed 80 million of them, to make them submit.
[00:26:42.586 --> 00:26:44.988]  We're about to go into the real reprogramming now.
[00:26:45.967 --> 00:26:53.569]  And they're going to shut the economy off first to bring you to your knees and mobilize giant hordes of people who will do whatever they say.
[00:26:53.569 --> 00:26:57.330]  Communist China has been fully open for business for more than six months.
[00:26:57.330 --> 00:27:02.091]  But the European Union and every other major Western nation is still under some form of lockdown.
[00:27:02.091 --> 00:27:09.693]  And the lockdowns are getting more intense and people are being told they're going to be arrested if they leave their houses, just like we've seen in Australia.
[00:27:10.413 --> 00:27:13.815]  You see, the authoritarians want total control.
[00:27:13.815 --> 00:27:19.938]  And because they don't respect this, because the general public puts up with so much abuse, they're going for broke.
[00:27:19.938 --> 00:27:20.958]  Why shouldn't they?
[00:27:20.958 --> 00:27:22.879]  They never get in trouble for the big illegal wars.
[00:27:22.879 --> 00:27:25.260]  They never get in trouble for the Chinese slave camps.
[00:27:25.260 --> 00:27:28.882]  They never get in trouble for all the terrible exploitation in Africa.
[00:27:28.882 --> 00:27:32.324]  They never get in trouble for shipping fentanyl and other deadly drugs into our country.
[00:27:33.044 --> 00:27:36.105]  And so why shouldn't they go for broke?
[00:27:36.105 --> 00:27:38.847]  Because so many people are domesticated and they're soft.
[00:27:38.847 --> 00:27:40.327]  And they have Stockholm Syndrome.
[00:27:40.327 --> 00:27:41.948]  They love their abusers.
[00:27:41.948 --> 00:27:44.109]  They can't believe they're being lied to.
[00:27:44.109 --> 00:27:46.150]  They can't believe they're being conned.
[00:27:46.150 --> 00:27:48.171]  And so, they're going into bondage.
[00:27:48.171 --> 00:27:50.552]  You see, there's always a minority that says no.
[00:27:50.552 --> 00:27:51.833]  And Infowars is that minority.
[00:27:53.752 --> 00:27:58.015]  There are many references in the Holy Bible to the mustard seed.
[00:27:58.015 --> 00:27:59.215]  And why is that?
[00:27:59.215 --> 00:28:07.020]  It's one of the tiniest seeds out there, but a giant tree-like bush grows from it that produces more mustard seeds.
[00:28:07.020 --> 00:28:11.503]  Mustard was known by the ancients around the world to have amazing health effects.
[00:28:11.503 --> 00:28:12.783]  They didn't know why.
[00:28:12.783 --> 00:28:18.547]  Well, with modern science we know it's one of the purest, cleanest organic forms of selenium.
[00:28:19.147 --> 00:28:30.635]  We have BioTrue Selenium, sold out for months, back in stock at InfoWarsStore.com at 50% off, store-wide free shipping, and triple patriot points.
[00:28:30.635 --> 00:28:40.161]  BioTrue Selenium at InfoWarsStore.com is an amazing product, and it's even more amazing in that it funds our operation.
[00:28:40.161 --> 00:28:42.643]  But if you don't know about selenium, research it.
[00:28:42.643 --> 00:28:44.985]  It is an essential nutrient in the body
[00:28:45.345 --> 00:28:46.746]  You absolutely have to have.
[00:28:46.746 --> 00:28:48.647]  It's back in stock 50% off.
[00:28:48.647 --> 00:28:57.212]  Triple Patriot points at m4store.com and with free shipping.
[00:28:57.212 --> 00:28:58.132]  The days of hell.
[00:28:58.132 --> 00:29:00.554]  The nightmare is here.
[00:29:01.990 --> 00:29:05.613]  79 days of hell has begun!
[00:29:05.613 --> 00:29:25.508]  Multinational corporations, the mainstream media apparatus, and social media tech giants are all now being deployed by the archaic, inbred, crooked establishment to interfere with the 2020 US elections, remove the populist champion of the people, Donald J. Trump,
[00:29:26.048 --> 00:29:36.932]  And install the decrepit, perverted, traitorous establishment puppet, Joe Biden, along with rabid radical hag, Kamala Harris.
[00:29:36.932 --> 00:29:44.115]  Keep your heads on a swivel and tune in to 79days.news for tomorrow's news today.
[00:29:44.115 --> 00:29:46.996]  79days.news, America's last stand.
[00:29:46.996 --> 00:29:47.716]  79days.news.
[00:29:57.068 --> 00:30:00.969]  You're listening to The Alex Jones Show.
[00:30:00.969 --> 00:30:21.497]  Back in the core of the human event, it becomes necessary for one person to install the torrential fan and connect the fan with another.
[00:30:21.497 --> 00:30:24.718]  And to remove all the power from the earth,
[00:30:49.382 --> 00:31:18.074]  The devil's henchman is doomed and died A sacred brotherhood, an ancient rite Politicians and the devil lies behind Violate your rights, no more equality Surrender freedom, your social security
[00:31:20.709 --> 00:31:29.197]  Ladies and gentlemen, the social contract is being broken right now, ladies and gentlemen.
[00:31:29.197 --> 00:31:43.570]  And the total takeover is taking place where even if President Trump tries to restart the economy and exposes these criminals, they don't care because they control the blue states, the blue cities, they control the independent so-called school districts.
[00:31:43.570 --> 00:31:45.391]  These are all cults of control.
[00:31:46.343 --> 00:31:48.404]  We're with no evidence, no proof now.
[00:31:48.404 --> 00:31:58.147]  They go, oh, someone at the school, someone at the factory, someone at the farm, someone at the warehouse, someone at the TV station had COVID.
[00:31:58.147 --> 00:32:01.868]  Now you've all got to self-quarantine for 14 days.
[00:32:01.868 --> 00:32:06.670]  And oh, you've got to check in with this app everywhere you go, everything you do.
[00:32:06.670 --> 00:32:09.511]  And if you're seen out, you'll lose your job.
[00:32:09.511 --> 00:32:11.992]  That's happening to people all over the United States.
[00:32:11.992 --> 00:32:14.313]  It's happening to crew members, here to their wives,
[00:32:16.596 --> 00:32:19.100]  This is the reality.
[00:32:19.100 --> 00:32:25.811]  And now the Bar Association of New York says we are coming with forced inoculations.
[00:32:25.811 --> 00:32:29.076]  Oh, they're now your doctors, the lawyers of New York.
[00:32:29.076 --> 00:32:29.957]  You have no rights.
[00:32:31.144 --> 00:32:40.371]  And now Bill Gates and these lawyers are your doctor, and they're telling you what they're going to do to you, and President Trump was not going to push forced inoculations.
[00:32:40.371 --> 00:32:46.476]  He was creating a quicker vaccine that wasn't the mRNA super dangerous vaccine that Bill Gates had.
[00:32:46.476 --> 00:32:51.560]  Still dangerous, I still wouldn't take it, but Trump's coming up with.
[00:32:51.560 --> 00:32:53.842]  And now you notice that Cuomo and others are on TV.
[00:32:55.615 --> 00:32:56.655]  Saying don't take it.
[00:32:56.655 --> 00:32:59.196]  It doesn't matter if Pfizer says it's safe.
[00:32:59.196 --> 00:33:01.597]  Doesn't matter if they say it's 90% effective.
[00:33:01.597 --> 00:33:04.037]  Doesn't matter if it doesn't have a bunch of side effects.
[00:33:04.037 --> 00:33:06.478]  Because they want to keep that fear going.
[00:33:06.478 --> 00:33:07.959]  They want to control you.
[00:33:07.959 --> 00:33:09.539]  They want to run your life.
[00:33:09.539 --> 00:33:10.959]  And they only do this to schmucks.
[00:33:10.959 --> 00:33:12.860]  They only do this to people that have Stockholm Syndrome.
[00:33:14.957 --> 00:33:21.285]  They would never do this to a free people that stood up for themselves, but they will do it to us because we've lost connection to the land.
[00:33:21.285 --> 00:33:22.927]  We've lost connection to reality.
[00:33:22.927 --> 00:33:26.652]  We've lost connection to ourselves.
[00:33:26.652 --> 00:33:30.097]  And so now the globalists are making their move on us.
[00:33:30.097 --> 00:33:33.321]  And how did I, 13 years ago in Endgame, blueprint for global enslavement?
[00:33:35.523 --> 00:33:42.067]  Come out and say that they're going to come with forced inoculations and digital AI tracking systems to control where you go and what you do.
[00:33:42.067 --> 00:33:52.794]  Because they said world government will be brought in by economic collapse, by viral releases and plagues, and by third world collapse flooding the first world.
[00:33:52.794 --> 00:33:54.315]  It's in the Demos Group.
[00:33:54.315 --> 00:33:58.717]  It's in the documents that Judicial Watch got 14 years ago.
[00:33:58.717 --> 00:34:00.038]  We know their plan.
[00:34:00.038 --> 00:34:02.360]  We know what they'll do in Operation Lockstep.
[00:34:02.360 --> 00:34:02.820]  We know it.
[00:34:04.793 --> 00:34:18.564]  And so I'm here talking to the President, talking to you, talking to the world today, with record audiences tuned in to TheInfoWars.com and Band.Video streams, and I know radio stations have huge audiences out there.
[00:34:18.564 --> 00:34:21.066]  But the question is, what are we going to do about this?
[00:34:22.401 --> 00:34:28.148]  You create a virus that spreads really well, that isn't very deadly, but makes everyone suspect, makes everyone bad.
[00:34:28.148 --> 00:34:30.871]  Then they tell you there's no vaccine that will ever protect you.
[00:34:30.871 --> 00:34:34.356]  Trump talks to scientists and they go, well, there is one that might be a little something.
[00:34:34.356 --> 00:34:40.283]  But your body won't even produce antibodies for this vaccine because it doesn't see it as big enough of a threat.
[00:34:41.820 --> 00:34:59.432]  And top scientists have said that, and every day there's another press conference with dozens and hundreds, in some cases, of scientists and doctors and epidemiologists and virologists saying, this is overblown, this is a fraud, most of the deaths were caused by something else, and those all get banned off the Internet.
[00:34:59.432 --> 00:35:00.793]  So, that was all a test.
[00:35:00.793 --> 00:35:03.675]  We put up with the beta test of Internet censorship.
[00:35:03.675 --> 00:35:06.196]  Trump didn't stop it, he spoke out against it.
[00:35:06.196 --> 00:35:11.540]  But it wasn't enough, and so now we failed the test, and now the chains are really going on.
[00:35:13.120 --> 00:35:21.943]  And that's why everybody has a sick feeling because these unions and these bureaucracies and these Democratic Party systems are cults!
[00:35:21.943 --> 00:35:28.865]  And they want full control of you to be able to shut things off and shut things down when they want to.
[00:35:28.865 --> 00:35:31.026]  So let's look at some of these headlines.
[00:35:31.026 --> 00:35:36.747]  Again, Monday Live, Alex Jones knows Joe Biden's next moves and how to stop him.
[00:35:36.747 --> 00:35:38.668]  He's going to come out, he already has.
[00:35:40.964 --> 00:35:41.104]  I think?
[00:36:01.650 --> 00:36:12.275]  With all the evidence and politically, Fauci, Gates, the UN, the lies, Governor Whitmer, Governor Cuomo, all of them that he tried to be nice to and said they were doing a good job while they stabbed him in the back.
[00:36:12.275 --> 00:36:16.377]  Now he must go on the total warpath and expose them.
