[00:00.000 --> 00:01.000]  Come on, man.
[25:01.760 --> 25:07.800]  gonna hit it all but yesterday in the first hour at the end of the hour I
[25:07.800 --> 25:15.320]  came on air and told the truth I mean it's a possible future that in the next
[25:15.320 --> 25:22.080]  year and a quarter or so in four wars will run out of money to operate we can
[25:22.080 --> 25:25.480]  make it through the election maybe that's just God's will I know I've got
[25:25.480 --> 25:29.520]  enough product that if I sell it all I could run this place at full throttle
[25:29.520 --> 25:34.760]  and even expanse time into the campaign and I have a reporters on the ground for
[25:34.760 --> 25:38.960]  almost every major event and and really have a big strong powerful finish for
[25:38.960 --> 25:42.560]  info wars and then the site would still be there and I'd probably still do a
[25:42.560 --> 25:46.640]  show but it'd be probably radio or you know something like that because you
[25:46.640 --> 25:49.640]  build something up this big that's designed to reach hundreds of millions of
[25:49.640 --> 25:54.840]  people and they cut it down they cripple it they crush it and it's just hard to
[25:54.840 --> 25:59.280]  keep together and and you know I told the truth about that because listeners
[25:59.280 --> 26:03.600]  need to understand that we need to be here to put out truthful talking points
[26:03.600 --> 26:06.560]  against the globalist we need to be here to promote Americana and expose
[26:06.560 --> 26:11.760]  globalism because almost no one else really gets it like our guests do you
[26:11.760 --> 26:18.480]  do the listeners and I do now I believe by telling you that that after these
[26:18.480 --> 26:24.280]  years of boycotts and blackballing and attacks and harassment that we've held
[26:24.280 --> 26:29.760]  up much longer than they thought but that without sustained financial support
[26:29.760 --> 26:35.160]  and also spreading the word aggressively info wars that is seen as a symbol of the
[26:35.160 --> 26:39.360]  American resistance as pure Americana by the enemy they admit that they marvel
[26:39.360 --> 26:43.360]  at what we've done their white papers have leaked out of Congress the New
[26:43.360 --> 26:47.360]  York Times Washington Post I mean they are scared to death of what info wars
[26:47.360 --> 26:53.160]  has done and could do it'll be a great victory for them either able to
[26:53.160 --> 26:59.760]  strangle us into oblivion but I believe that with the election coming up and
[26:59.760 --> 27:02.400]  with all the interest in all the things that are going to happen and
[27:02.400 --> 27:07.680]  Providence that if we just go 110% into this fight that will somehow be
[27:07.680 --> 27:12.240]  sustained the next year but let me explain something if I don't have money
[27:12.240 --> 27:19.320]  to buy a future product and I have to operate off purely the money coming in
[27:19.320 --> 27:27.960]  again maybe maybe maybe a year and a half maybe and then I'd have to lay a
[27:27.960 --> 27:32.360]  bunch of people off and I'd have to contract and I'd have to and it's just
[27:32.360 --> 27:36.080]  something that I don't want to do because we've already changed the world
[27:36.080 --> 27:39.280]  together so I'm gonna tell you again it's real simple we've got the best
[27:39.280 --> 27:43.320]  water filtration we've got the best air filtration at really good prices we've
[27:43.320 --> 27:47.000]  got the best supplements we've got great t-shirts great books great films
[27:47.000 --> 27:53.800]  we've got great emergency preparedness storeable food everything you need high
[27:53.800 --> 27:57.600]  quality coffee high quality toothpaste is fluoride free high quality fish oil
[27:57.600 --> 28:00.240]  and krill oil high quality turmeric high quality
[28:00.240 --> 28:06.760]  Neutropics high quality post and pre-workout turbo force I'm doing some
[28:06.760 --> 28:10.960]  of the biggest sales we've ever done I'm selling some stuff at below what it
[28:10.960 --> 28:14.880]  cost me to get it's quite frankly we expanded a lot of the enforced products
[28:14.880 --> 28:17.720]  some things are hit some things aren't some things are really important really
[28:17.720 --> 28:21.320]  great like this is the best fiber you'll find anywhere out there gut fusion
[28:21.320 --> 28:28.200]  fiber and glutamine this is incredible for your body competitors are like 50
[28:28.200 --> 28:35.280]  bucks usually sell us for like 20 it costs us like $12 people don't buy it so
[28:35.280 --> 28:39.360]  right now got a deal where it's free when you order with something else it's
[28:39.360 --> 28:43.240]  like you can get ultimate female force stand on a libido you want your wife to
[28:43.240 --> 28:46.280]  be really perky your girlfriend a free bottle of this with supermail
[28:46.280 --> 28:51.640]  volatility there's like $15 a product in this this will blow you away free bottle
[28:51.640 --> 28:57.640]  of a supermail volatility fund this revolution or let the enemy win if you
[28:57.640 --> 29:02.440]  are trying to quit drinking or doing too many drugs listen to me you don't know
[29:02.440 --> 29:07.080]  me and we'll never meet I had a problem like you once I drank and used to party
[29:07.080 --> 29:12.120]  a little too much till it got out of control and almost ruined my life I
[29:12.120 --> 29:17.760]  realized I needed help to fix my problem before it totally destroyed me if you've
[29:17.760 --> 29:21.760]  tried to fix your drinking and drug problem and you know you can't do it
[29:21.760 --> 29:26.640]  alone you need to call the national treatment advisors they'll immerse you
[29:26.640 --> 29:31.280]  into a 30-day program to replace your old habits with new habits and totally
[29:31.280 --> 29:35.920]  change your life and if you have PPO private health insurance the entire
[29:35.920 --> 29:41.320]  program may be covered fix your problem right now before it gets any worse get
[29:41.320 --> 29:57.760]  clean call now and learn more 800 506 6740 800 506 6740 that's 800 506 6740
[29:57.760 --> 30:04.440]  super silver wound gel is a private label from the top company in the U.S.
[30:04.440 --> 30:08.040]  that has their products and hospitals and is sold over the counter and approved
[30:08.040 --> 30:11.240]  for that by the FDA we have been blessed with their listeners and let us
[30:11.240 --> 30:15.080]  private label it in the last two years it's been a bestseller we convinced them
[30:15.080 --> 30:20.600]  to let us come out with a skin cream that basically mimics the top skin creams
[30:20.600 --> 30:24.600]  that are already out there at a lower price with their patented silver salt
[30:24.600 --> 30:30.160]  technology in it it's got the hyaluronic acid it's got the steric acid it's got
[30:30.160 --> 30:35.640]  the grapefruit essential oil it's got the nano silver coconut oil and so much
[30:35.640 --> 30:40.440]  more it's in two sizes super silver skin cream in three point four ounce and in
[30:40.440 --> 30:43.760]  the smaller one you're not gonna find a product that's good anywhere you're
[30:43.760 --> 30:47.040]  certainly not gonna find it at this price and it funds the info war at
[30:47.040 --> 30:53.200]  infowarslife.com get your super silver skin cream today we can only run this
[30:53.200 --> 30:58.960]  special for another week or so as of taping this September 10th there are
[30:58.960 --> 31:02.840]  few things in this universe that are a sure bet but I'm here to tell you the
[31:02.840 --> 31:08.320]  products at infowarslife.com are we go out we find out what is the best rated
[31:08.320 --> 31:14.720]  best tested most loved most documented substances that God gave us to mother
[31:14.720 --> 31:19.920]  nature and then we make it even stronger even better and lower the price now
[31:19.920 --> 31:23.840]  turmeric has been known for thousands of years to help with inflammation head
[31:23.840 --> 31:29.480]  eggs it's good for the immune system so many things it sells itself but normal
[31:29.480 --> 31:35.040]  turmeric's only has three to five percent curcuminoid the active enzyme or
[31:35.040 --> 31:40.520]  system in the plan originally obviously from India well bodies ultimate
[31:40.520 --> 31:46.080]  turmeric formula has a 95% curcuminoid level that's got other natural things
[31:46.080 --> 31:50.080]  that help boost it help your body absorb it and that's why people absolutely
[31:50.080 --> 31:54.960]  love it I'm doing this offer for people that haven't tried it yet 50% off on
[31:54.960 --> 32:00.280]  bodies at infowarslife.com happy's is a tincture that you take under the tongue
[32:00.280 --> 32:04.400]  you've been selling it for over a year it's a private label of one of the top
[32:04.400 --> 32:09.720]  national sellers of herbs that's known to calm the body but not be a depressant
[32:09.720 --> 32:12.800]  now despite the fact that I've never really promoted or cut an ad for it
[32:12.800 --> 32:16.800]  it's in our top 10 best sellers and right now for those of you that haven't
[32:16.800 --> 32:21.840]  tried it you can get it for 50% off life is stressful almost everything in our
[32:21.840 --> 32:26.360]  lives can put stress and pressure on us but ashwagandha root, rhodiola root,
[32:26.360 --> 32:31.680]  passionflower herb, green tea leaf and licorice root is known to be so good for
[32:31.680 --> 32:36.760]  us and to smooth us out in a calm good way and happy's is available right now
[32:36.760 --> 32:41.160]  at infowarshore.com 50% off and your purchase supports the broadcast it is so
[32:41.160 --> 32:44.520]  vital and I recommend you order another bottle to give friends and family
[32:44.520 --> 32:48.600]  because this stuff has really worked for myself and so many others it's happy's
[32:48.600 --> 32:53.320]  exclusively available at infowarslife.com again secure your
[32:53.320 --> 32:57.600]  happy's today at infowarslife.com
[32:57.600 --> 33:27.000]  You're listening to the Alex Jones show if you are receiving this
[33:27.000 --> 33:34.600]  transmission you are the resistance live from the infowars.com studios it's
[33:34.600 --> 33:37.680]  Alex Jones
[33:40.920 --> 33:45.600]  all right ladies and gentlemen we're back live they are dumping out the video
[33:45.600 --> 33:49.800]  we ready next segment that has a whole bunch of new clips that I've never seen
[33:49.800 --> 33:56.040]  you may have seen these of Democrats and leftist saying we love to kill babies
[33:56.040 --> 33:59.880]  it's so enjoyable those little bastards we're gonna dig it out of there there's
[33:59.880 --> 34:06.580]  too many humans you're gonna see mainline feminist saying this can you
[34:06.580 --> 34:11.720]  imagine being married to one of these people you imagine somebody like this
[34:11.720 --> 34:17.960]  watching your back you imagine being in business with someone this nasty and
[34:17.960 --> 34:22.560]  crazed I mean these are like Charlie Manson people that cut the baby out of
[34:22.560 --> 34:38.200]  share and tape but see that was 50 years ago I guess exactly 50 years ago so
[34:38.200 --> 34:44.320]  that's that's 50 years ago and then look at who we are 50 years later
[34:44.320 --> 34:48.920]  Charlie Manson doesn't scare anybody you know AOC came out and said that
[34:48.920 --> 34:53.960]  Republicans are scared of her and that the Democrats are pathetic it don't
[34:53.960 --> 34:59.120]  recognize how wonderful their communism is and you know it's really true I am
[34:59.120 --> 35:07.400]  scared that a stupid method I mean she's obviously on stimulants who behaves
[35:07.400 --> 35:14.080]  and acts like a arrogant crack whore is up there spouting all this hate and
[35:14.080 --> 35:20.520]  saying cauliflower's racist and white people are inherently evil the woman is
[35:20.520 --> 35:25.600]  a pig I mean as you have a white person was saying crap like this I'd say they
[35:25.600 --> 35:33.480]  were a pig and then she just sits there like she's God and that's what the
[35:33.480 --> 35:37.640]  comments on info wars when we'll scare you right lady oh you're moron hey you
[35:37.640 --> 35:41.760]  know what listeners you better be scared of her you better be scared that we're
[35:41.760 --> 35:45.040]  not doing enough to educate people because while you're busy working your
[35:45.040 --> 35:49.000]  job and while you're busy running your own life the left's got your kids and
[35:49.000 --> 35:52.240]  they've got your church and they've got the media and they've got it all and
[35:52.240 --> 36:00.600]  they're sabotaging civilization and so you laugh at her when she says cauliflower
[36:00.600 --> 36:07.840]  is racist or when Burger King takes the word hamburger out because it might
[36:07.840 --> 36:13.760]  offend Muslims you laugh at that it's not funny they're destroying language on
[36:13.760 --> 36:20.920]  purpose you know limbaugh always make fun of environmentalist wackos they're
[36:20.920 --> 36:27.840]  not wackos they get control of all the carbon on this planet and track every
[36:27.840 --> 36:31.920]  bit of it and surveil it that's big brother and then if they can tax it they
[36:31.920 --> 36:38.320]  can literally impoverish whole nations selectively you don't need a bunch of
[36:38.320 --> 36:42.000]  bombers to blow up their power plants you just shut them down and Europe and
[36:42.000 --> 36:46.760]  the US had been crippled by what is it in Europe of the US over 3,000 coal
