[00:00:01.002 --> 00:00:06.786]  And ladies and gentlemen, thank you for joining us on this February 11, 2018 Global Transmission.
[01:38:10.264 --> 01:38:12.545]  The names were leaked to the White House, unmasked.
[01:38:13.562 --> 01:38:25.986]  Because those engaged in the collateral electronic surveillance, because they were talking to Carter Page, their names were opened up and released and leaked to the press, which is again a crime.
[01:38:25.986 --> 01:38:34.068]  And the electronic surveillance on Donald Trump continued through the transition, I believe right up into the first six months of the presidency.
[01:38:34.068 --> 01:38:38.329]  And this was all done on opposition research on a lying basis.
[01:38:39.546 --> 01:38:44.110]  You're going to have the American public, I think, demanding a second prosecutor.
[01:38:44.110 --> 01:39:04.448]  And the Iranian one scandal, which developed while Mueller was head of the FBI, I think within the next few weeks we could see Mueller himself under investigation, which will be the end of his special prosecutor witch hunt into Donald Trump's supposed collusion with Russia to win the election.
[01:39:04.448 --> 01:39:06.349]  You know, it's almost an amazing
[01:39:07.301 --> 01:39:09.502]  We always use the analogy 6-D chess.
[01:39:09.502 --> 01:39:14.323]  It's almost like a perfect 6-D chess move into checkmate here.
[01:39:14.323 --> 01:39:20.465]  Whether you can say that Trump was behind this or other people were behind this as well or just Providence here.
[01:39:20.465 --> 01:39:28.047]  Their whole Russian thing is not only blowing up in their face now, it's also going to be spun back on them because they made such a big deal out of Russian collusion.
[01:39:28.587 --> 01:39:32.329]  When it comes out that they were the ones that colluded with Russia, what do they do then?
[01:39:32.329 --> 01:39:33.429]  What does the media do then?
[01:39:33.429 --> 01:39:40.512]  And, I mean, do the brainwashed masses go full... I mean, you know, where do they go?
[01:39:40.512 --> 01:39:41.532]  That's a whole other debate.
[01:39:41.532 --> 01:39:52.177]  But back to the story of the Russian plane, obviously it goes without saying that Hillary Clinton, Robert Mueller, and whoever else was involved in the Uranium One deal,
[01:39:53.280 --> 01:40:01.283]  If they were afraid of prosecution, if they were afraid that people were going to be testifying against them from Russia in that deal, well, they would want them dead.
[01:40:01.283 --> 01:40:05.084]  Dead men tell no tales, Dr. Corsi.
[01:40:05.084 --> 01:40:08.065]  And the plane, it looks like, might have been a bomb.
[01:40:08.065 --> 01:40:09.585]  Is that the truth?
[01:40:09.585 --> 01:40:20.289]  The reports that I was reading the Russian newspapers today, about four of the Russian newspapers, the reports from people who saw it, there's evidently a film of the plane coming down.
[01:40:21.215 --> 01:40:23.076]  Uh, it blew up first.
[01:40:23.076 --> 01:40:27.178]  A big boom and blast could be seen in the airplane.
[01:40:27.178 --> 01:40:28.119]  That's a bomb.
[01:40:28.119 --> 01:40:29.099]  It was a regional plane.
[01:40:29.099 --> 01:40:29.880]  It was a bomb.
[01:40:29.880 --> 01:40:30.920]  That's a bomb.
[01:40:30.920 --> 01:40:32.941]  Planes just don't blow up, you know?
[01:40:32.941 --> 01:40:34.882]  I mean, come on.
[01:40:34.882 --> 01:40:43.407]  And as it hit the ground, of course it was full of fuel, and the initial debris pattern looks like a blown-apart airplane.
[01:40:43.407 --> 01:40:50.531]  There are body parts, pretty gruesome, scattered around, and this was evidently a complete terror attack.
[01:40:51.209 --> 01:40:54.710]  Of a bomb, some kind of device brought aboard the airplane.
[01:40:54.710 --> 01:40:59.471]  You know, I hate to interrupt you, but I was wondering if your mind went here too, Dr. Corsi.
[01:40:59.471 --> 01:41:07.952]  This just feels eerily similar to TWA Flight 800 during Clinton's presidency.
[01:41:07.952 --> 01:41:14.774]  Well, again, that's another one that's very suspicious and has been a suspected deep state operation since it happened.
[01:41:14.774 --> 01:41:16.554]  I mean, just the way it went down and everything.
[01:41:17.321 --> 01:41:29.532]  Right, well today, in today's attack, I mean, when you look at the executives who are on this plane, there were several of them from Rosatom, including the CFO, but the CFO
[01:41:30.276 --> 01:41:51.123]  Would have had intimate knowledge of all the financial arrangements that occurred with the acquisition of Rosatom, the operations in the United States, as well as this bribery scheme where Russia was paying through various transport companies to try to corner the uranium market with a complete
[01:41:52.154 --> 01:42:03.042]  Help with the Clintons, because President Clinton, former President Clinton, got half a million dollars in Russia for a speech right after this Rose Adam initial deal was done.
[01:42:03.042 --> 01:42:19.114]  The Kazakhstan deal gave Uranium One control over Kazakhstan's uranium, large portion of it, and Russia decided they were just going to buy the entire Uranium One operation, which they did in two steps.
[01:42:19.924 --> 01:42:36.470]  With the Civius Committee rubber-stamping it, and Mueller hiding the information from Civius that the FBI had an ongoing operation that had determined Russia was involved in bribery in the United States to corner the uranium market.
[01:42:36.470 --> 01:42:38.931]  And in the end, Russia walks away with 20% of the U.S.
[01:42:38.931 --> 01:42:40.131]  uranium.
[01:42:40.131 --> 01:42:47.914]  And clearly, as this gets under investigation, the Clintons, Robert Mueller, those involved in selling out
[01:42:48.878 --> 01:42:49.219]  U.S.
[01:42:49.219 --> 01:42:50.322]  uranium to Russia.
[01:42:50.322 --> 01:42:52.728]  Don't want the CFO coming forward with records.
[01:42:52.728 --> 01:42:54.353]  Yeah, they don't want it desperately, folks.
[01:42:54.353 --> 01:42:55.837]  So desperately, a plane just went down.
[01:42:55.837 --> 01:42:56.459]  We'll be right back.
[01:42:57.520 --> 01:42:59.501]  Michael ZX is back!
[01:42:59.501 --> 01:43:06.405]  And just like we're game-changing when it comes to politics, when it comes to the economy, we're game-changing on supplements.
[01:43:06.405 --> 01:43:14.130]  I want to bring you products from the best research out there, from the best labs, the best laboratories, the best scientists, that really change lives.
[01:43:14.130 --> 01:43:15.651]  Because I want you to get a great effect.
[01:43:15.651 --> 01:43:22.415]  I want you to have a great life, be healthy, I want you to see the results, so you reorder it and tell your friends and family about it.
[01:43:22.975 --> 01:43:31.858]  We'll tell you, fungus is a scourge, mold's a scourge, and you can't battle it with this in your sinus or other areas, but in your gut, the main area, you can.
[01:43:31.858 --> 01:43:34.218]  MycoZX, available exclusively.
[01:43:34.218 --> 01:43:38.540]  Been out for over six months at M4Hlife.com or by calling toll-free, 888-253-3139.
[01:43:38.540 --> 01:43:44.401]  Ladies and gentlemen, I only bring you products I use myself.
[01:43:44.401 --> 01:43:48.123]  I only bring you products that have been proven to have dynamite effects.
[01:43:48.123 --> 01:43:51.524]  MycoZX is back in stock right now at M4Hlife.com.
[01:43:51.524 --> 01:43:52.584]  Secure yours today.
[01:43:56.926 --> 01:44:05.492]  You know, I've got some talking points here about Caveman from Infowarsandlife.com, but instead of going to those talking points, let me just give you what I've experienced personally.
[01:44:05.492 --> 01:44:10.055]  From all the wives' tales in every culture, we know that the bones have the essence.
[01:44:10.055 --> 01:44:13.197]  We know chicken noodle soup is great for people that are sick.
[01:44:13.197 --> 01:44:16.300]  Again, in every culture, this has been reported because it works.
[01:44:17.819 --> 01:44:30.642]  And there's no way to quantify how strong this is, but the amount of bone protein and the amount of marrow and the amount of concentrated life force that is in this is incredible.
[01:44:30.642 --> 01:44:45.705]  Ladies and gentlemen, whether it's for your joints, whether it's for your arteries and your veins, whether it's for your brain, whether it's for energy, this, ladies and gentlemen, is the strongest, most concentrated bone broth formula out there, and it's amazing.
[01:44:46.705 --> 01:44:50.429]  Find out for yourself today at InfoWareStore.com what it can do for your family.
[01:44:50.429 --> 01:44:52.711]  And again, I want to thank you all for your support.
[01:44:52.711 --> 01:44:54.973]  You are funding the Information War in 2018.
[01:44:57.719 --> 01:45:06.806]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best-tasting, 100% organic coffee on the planet.
[01:45:06.806 --> 01:45:15.213]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[01:45:15.213 --> 01:45:19.897]  We have now managed to secure these sought-after beans in a highly customized blend.
[01:45:20.097 --> 01:45:26.881]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[01:45:26.881 --> 01:45:34.065]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[01:45:34.065 --> 01:45:41.069]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[01:45:41.069 --> 01:45:45.551]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[01:45:45.551 --> 01:45:48.793]  Available in original or with our immune support infusion blend.
[01:45:48.933 --> 01:45:53.015]  Every year, we spend hundreds of dollars on chocolates, jewelry, and sappy cards for Valentine's Day.
[01:45:53.015 --> 01:45:58.598]  It's time to get a gift that will really make the sparks fly with the InfoWars Life His and Hers Pack, now at 40% off.
[01:46:13.700 --> 01:46:22.566]  Get our two fan favorite products, Super Male Vitality and Super Female Vitality that help boost vitality and energy for less.
[01:46:22.566 --> 01:46:25.128]  You've already taken care of Valentine's Day.
[01:46:25.128 --> 01:46:28.671]  Make sure you and your significant other have an incredible Valentine's Night.
[01:46:30.057 --> 01:46:33.738]  A perfect excuse to get a gift for them and a gift for yourself.
[01:46:33.738 --> 01:46:43.060]  Super male vitality and super female vitality combine ancient wisdom and modern techniques for truly powerful formulas that you know they'll love.
[01:46:43.060 --> 01:46:49.262]  Fuel your body naturally and celebrate your love today with the InfoWars Life His and Hers Pack.
[01:46:49.262 --> 01:46:54.483]  Now available at 40% off at InfoWarsStore.com or by calling 888-253-3139.
[01:47:00.911 --> 01:47:05.275]  You're listening to The Alex Jones Show.
[01:47:05.275 --> 01:47:11.940]  From the front lines of the information war, it's Alex Jones.
[01:47:26.823 --> 01:47:31.264]  We're talking to Dr. Corsi, who writes for Infowars.com.
[01:47:31.264 --> 01:47:34.865]  A lot of breaking news there from him about the Russian plane crash.
[01:47:34.865 --> 01:47:37.346]  We're going to get back to that in a second.
[01:47:37.346 --> 01:47:39.527]  Eric Swalwell.
[01:47:39.527 --> 01:47:41.367]  Representative Eric Swalwell.
[01:47:41.367 --> 01:47:44.308]  This guy is a piece of work, man.
[01:47:44.308 --> 01:47:46.629]  I mean, what a piece of shift.
[01:47:46.629 --> 01:47:48.930]  He just put out a poll.
[01:47:48.930 --> 01:47:49.390]  Pull the poll up.
[01:47:50.782 --> 01:47:53.844]  Be the antidote to Donald Trump's poison.
[01:47:53.844 --> 01:47:58.148]  What will you do to counter Donald Trump's endorsement of domestic violence?
[01:47:58.148 --> 01:48:01.150]  I'll tell ya.
[01:48:01.150 --> 01:48:08.136]  Eric Swalwell is like the boss in The Incredibles that Mr. Incredible throws through like 10 walls.
[01:48:08.136 --> 01:48:09.297]  That's Eric Swalwell.
[01:48:09.297 --> 01:48:15.402]  He is that annoying, heathen, piece of garbage, trash rat that you just want to ring up.
[01:48:17.133 --> 01:48:25.157]  The nerve of Eric Swalwell to say that Donald Trump is endorsing domestic violence shows just how low he really is.
[01:48:25.157 --> 01:48:26.198]  He is lower than dirt.
[01:48:26.198 --> 01:48:27.699]  He's lower than a cockroach.
[01:48:27.699 --> 01:48:29.060]  He's a Swalwell.
[01:48:29.060 --> 01:48:31.301]  Swalwell is now lower than cockroach.
[01:48:31.301 --> 01:48:31.941]  Let's see.
[01:48:31.941 --> 01:48:37.804]  The left has been endorsing political violence, domestic violence, ever since Trump was elected.
[01:48:37.804 --> 01:48:38.525]  Are you kidding me?
[01:48:40.148 --> 01:48:49.605]  We just had a Russian jet downed in Russia that had a bunch of people that had Uranium One information, potentially.
[01:48:50.643 --> 01:48:52.644]  With an investigation ongoing.
[01:48:52.644 --> 01:49:11.790]  And this piece of Swalwell, this Swalwell trash is going to say that Donald Trump is endorsing domestic violence when CNN and New York Times and the rest of the liberal media are praising Kim Jong-un's sister being at the Olympics, the sister of an oppressive communist regime.
[01:49:14.301 --> 01:49:17.262]  I'm sorry, Dr. Corsi, to step away from the main story here.
[01:49:17.262 --> 01:49:23.526]  Just when I see a piece of absolute human garbage, Eric Swalwell, I just have to call him out.
[01:49:23.526 --> 01:49:26.567]  I just can't believe the nerve of these people.
[01:49:26.567 --> 01:49:31.850]  To even pretend like Donald Trump is responsible for domestic violence, while that is all the left is.
[01:49:31.850 --> 01:49:35.892]  Look at what happened at the Republican baseball practice, got shot up by a radical leftist.
[01:49:35.892 --> 01:49:41.094]  Look at what happened to the Republicans on that train going to retreat that got in a crash.
[01:49:41.094 --> 01:49:42.095]  You think that's a coincidence?
[01:49:43.922 --> 01:49:46.644]  It's because of the leftist violence.
[01:49:46.644 --> 01:49:49.647]  It's because of the Clinton body count.
[01:49:49.647 --> 01:49:54.050]  That's why Alex Jones has been saying for a month now, it's time to watch R6.
[01:49:54.050 --> 01:49:56.332]  He's talking about the people in Congress.
[01:49:56.332 --> 01:50:01.816]  He's talking about the Matt Gaetz, the Jim Jordans, the Chuck Grassleys, the Devin Nuneses.
[01:50:01.816 --> 01:50:06.280]  Oh, I don't know, the members of the Russian energy company.
[01:50:06.900 --> 01:50:09.904]  That we're working with Hillary Clinton to get Uranium One deal done.
[01:50:09.904 --> 01:50:10.925]  They're gone!
[01:50:10.925 --> 01:50:13.108]  You see why he said, watch your six?
[01:50:13.108 --> 01:50:14.190]  You get it now?
[01:50:14.190 --> 01:50:15.291]  They're all gone!
[01:50:15.291 --> 01:50:19.136]  And this is why Hillary Clinton should have been in jail a year ago!
[01:50:19.136 --> 01:50:21.059]  I'm sorry Dr. Corsi, I'm getting fired up here.
[01:50:21.059 --> 01:50:23.983]  It's just... We know what's going on.
[01:50:25.225 --> 01:50:33.630]  And when people like Eric Swalwell try to keep the public ignorant and sell the public a bill of lies, I just, I can't help myself.
[01:50:33.630 --> 01:50:35.511]  I just get very worked up here, Dr. Corsi.
[01:50:35.511 --> 01:50:37.652]  So bring me back down to earth.
[01:50:37.652 --> 01:50:40.934]  What do people need to know about this Russian plane crash?
[01:50:40.934 --> 01:50:44.175]  Well, I understand how you get worked up, Owen.
[01:50:44.175 --> 01:50:45.136]  I think we all feel it.
[01:50:46.358 --> 01:50:58.689]  The issue with this Russian plane crash, again, is that it was headed towards the region near Kazakhstan and took off from Moscow today and apparently blew up in the air.
[01:50:58.689 --> 01:51:01.151]  Pretty clearly, I think, a terrorist attack.
[01:51:02.501 --> 01:51:15.246]  On the live stream all day working with the various anonymous decoding QAnon, who's posted extensively about this today, that's at the CBTS underscore stream.
[01:51:15.246 --> 01:51:25.930]  That's calm before the storm underscore scream stream with them and also on YouTube with a group of anonymous listening in on the chat.
[01:51:25.930 --> 01:51:30.292]  There are almost 10,000 people working with it today as we tried to figure this out.
[01:51:31.115 --> 01:51:42.883]  But what seems to be clear is that a group of executives from this ROSATOM, Rosatom, which is the Russian State Energy Department,
[01:51:43.573 --> 01:51:54.683]  We're on this airplane, and of course, what is heating up in Washington right now is an investigation of Uranium One, which is a scam for the Clinton Foundation.
[01:51:54.683 --> 01:52:08.475]  Clinton Foundation made something like $147 million in pay-to-play contributions, and 20% of our uranium went into a company that Bill Clinton helped engineer with an entrepreneur in Canada.
[01:52:09.113 --> 01:52:25.019]  Called originally Eurasia, but ultimately Uranium One, and Russia owns Uranium One now, approved by the Civius Committee, which Mueller never told had Russian bribery schemes going on in the United States.
[01:52:25.019 --> 01:52:34.582]  So the Chief Financial Officer and one or two of the other top executives of Rosatom were killed today in this blast, this airplane crash.
[01:52:34.582 --> 01:52:35.882]  There were no survivors.
[01:52:35.882 --> 01:52:37.863]  The debris was spread over a kilometer.
[01:52:38.667 --> 01:52:45.992]  It's a one kilometer square area, which is clearly, I think, with debris that indicates immediately a bomb blast.
[01:52:45.992 --> 01:52:55.818]  And my guess is that these officials were silenced so they couldn't talk, couldn't be investigated in the United States.
[01:52:55.818 --> 01:53:00.861]  I'm predicting that the Rose Adams scam will be the end of Robert Mueller's career.
[01:53:01.627 --> 01:53:08.270]  And that there will be a special prosecutor that will be assigned both the Rose-Ottom investigation... But what happens now?
[01:53:08.270 --> 01:53:11.511]  What if the two key witnesses are now dead?
[01:53:11.511 --> 01:53:16.113]  Well, again, it's going to set back the investigation, but there's plenty of other information.
[01:53:16.113 --> 01:53:25.056]  And I would be very suspicious that this crash is going to heighten suspicion in Washington that in fact... Oh, you better believe it!
[01:53:25.996 --> 01:53:26.136]  Yeah.
[01:53:39.674 --> 01:53:42.376]  This scheme was being perpetrated.
[01:54:01.301 --> 01:54:06.383]  Denials from the Central Intelligence Agency aren't going to spare them this time.
[01:54:06.383 --> 01:54:06.983]  I'll tell you what.
[01:54:06.983 --> 01:54:08.103]  I'll tell you what.
[01:54:08.103 --> 01:54:09.184]  I'd say this to the CIA.
[01:54:09.184 --> 01:54:11.464]  I'd say, you know what CIA?
[01:54:11.464 --> 01:54:15.125]  If you really don't know, then we're shutting you down.
[01:54:15.125 --> 01:54:16.566]  What do we have you for?
[01:54:16.566 --> 01:54:18.887]  If you really don't know, then goodbye.
[01:54:18.887 --> 01:54:19.787]  You're not doing your job.
[01:54:19.787 --> 01:54:19.967]  Bye.
[01:54:21.291 --> 01:54:26.436]  Well, I would have liked it if John Kennedy had been able to follow through with what he planned and shut down the CIA.
[01:54:26.436 --> 01:54:27.717]  Another guy who died.
[01:54:27.717 --> 01:54:28.798]  Thousand pieces.
[01:54:28.798 --> 01:54:29.018]  Right.
[01:54:29.018 --> 01:54:30.559]  He got assassinated.
[01:54:30.559 --> 01:54:39.807]  And the book I've written on that, I put the CIA right at the top of the list with Alan Ellis as the chief planner in the assassination of John Kennedy.
[01:54:39.807 --> 01:54:47.154]  The CIA has been running drugs around the world since at least the Vietnam War, I think going back to World War II with the OSS.
[01:54:48.468 --> 01:54:49.749]  It's a rogue organization.
[01:54:49.749 --> 01:54:51.629]  It's never been reined in.
[01:54:51.629 --> 01:55:04.394]  And I think the CIA, with the Obama administration, has intensified its control of the Department of Justice, of the FBI, of the State Department.
[01:55:04.394 --> 01:55:07.155]  It's, I think, a seriously dangerous, rogue organization.
[01:55:07.155 --> 01:55:11.957]  And it, I think, is trying here with the plane today.
[01:55:11.957 --> 01:55:15.878]  My first suspicion is a CIA attempt to silence
[01:55:16.508 --> 01:55:16.908]  Thank you.
[01:55:31.943 --> 01:55:38.925]  It looks to me like right now the globalists that are in the deep panic realize that they cannot get their agenda through in America.
[01:55:38.925 --> 01:55:45.567]  So they're kind of giving up on whatever they thought they could get done in America, whether it be war on the streets, Hillary Clinton in the White House, all of it combined.
[01:55:45.567 --> 01:55:56.290]  And it seems now that they're shifting their patterns into more goading Russia into a war, downing their planes, multiple planes, all these sanctions.
[01:55:56.290 --> 01:56:00.891]  Is that kind of the new globalist thing to try to keep poking at the Russian bear until it explodes?
[01:56:01.687 --> 01:56:12.816]  Well, I think the deep state, I mean, Hillary Clinton seemed like she wanted a war with Russia, and the deep state, I think, wants a war to control population and all the other crazy things they think about.
[01:56:12.816 --> 01:56:14.597]  Too many people on the planet.
[01:56:14.597 --> 01:56:20.502]  And the military-industrial complex, and then, you know, a lot of the evidence probably against their crimes magically gets, you know, incinerated in the process.
[01:56:21.654 --> 01:56:22.974]  And we've just had too many things.
[01:56:22.974 --> 01:56:40.479]  I mean, this whole Las Vegas incident, you know, the Mandalay Bay, which I'm still suspicious of being a Saudi Arabian extraction to take this prince, the key prince who's now in Saudi Arabia, out of that hotel, with Alawede being involved trying to prevent his extraction.
[01:56:41.187 --> 01:56:49.455]  We still have missing information that comes out in dribs and drabs on that event, which I think is also CIA complicit.
[01:56:49.455 --> 01:56:51.537]  We've got the train crash.
[01:56:52.392 --> 01:56:56.014]  Well, we don't know yet, you know, the one with the congressman.
[01:56:56.014 --> 01:56:59.756]  We have very little investigative information on that report.
[01:56:59.756 --> 01:57:10.782]  We saw that the train cab was only damaged on one side, which would indicate that the truck may have been trying to ram the train to get it off the tracks.
[01:57:10.782 --> 01:57:17.986]  These are all things that when you don't have... Not to mention the other train crash where you had the switcher padlocked.
[01:57:19.525 --> 01:57:21.426]  A totally separate one.
[01:57:21.426 --> 01:57:25.088]  These things have their ear markings of deep state operations.
[01:57:25.088 --> 01:57:26.128]  So that was my next question.
[01:57:26.128 --> 01:57:27.609]  We don't have time.
[01:57:27.609 --> 01:57:29.790]  Dr. Corsi, all of his great works at Infowars.com.
[01:57:29.790 --> 01:57:30.971]  That was my next question.
[01:57:30.971 --> 01:57:32.952]  The deep state is so desperate.
[01:57:32.952 --> 01:57:33.832]  Five seconds, Dr. Corsi.
[01:57:33.832 --> 01:57:34.493]  What do they do next?
[01:57:34.493 --> 01:57:35.153]  They are so desperate.
[01:57:35.153 --> 01:57:35.813]  They're going to do anything.
[01:57:35.813 --> 01:57:37.294]  What's next?
[01:57:37.294 --> 01:57:41.096]  Well, I mean, I've been very worried and concerned for the president's safety.
[01:57:41.096 --> 01:57:44.318]  And I continue to say... We've got to pray every night.
[01:57:44.318 --> 01:57:46.699]  We've got to pray every night to God that he protects this country, folks.
[01:57:47.651 --> 01:57:52.796]  Introducing Floralife, the new probiotic line developed exclusively by InfoWars Life.
[01:57:52.796 --> 01:57:57.581]  After years of research on the human microbiome, not all probiotics are made the same.
[01:57:57.581 --> 01:58:06.270]  Floralife probiotics use a unique targeted delivery system that bypasses the stomach and releases directly into the intestines for maximum effect.
[01:58:06.270 --> 01:58:09.513]  This is critical because stomach acid kills most probiotics
[01:58:09.773 --> 01:58:15.015]  So if you don't have a targeted delivery probiotic, then you're cheating your gut health and your wallet.
[01:58:15.015 --> 01:58:22.317]  Floralife supports your body's core, where you need it most, including digestion, regularity, immunity, the gut lining, and metabolism.
[01:58:22.317 --> 01:58:26.218]  Did you know that over 80% of your immune system is located in your gut?
[01:58:26.218 --> 01:58:30.940]  That's why increasing gut probiotic levels is so important for overall health.
[01:58:30.940 --> 01:58:38.602]  Floralife is sold as a $15 billion probiotic for everyday maintenance care and a $50 billion probiotic for a 30-day advanced gut restoration program.
[01:58:39.042 --> 01:58:43.232]  Head to Infowarslife.com to pick up your bottle of Floralife probiotics today.
[01:58:43.232 --> 01:58:44.535]  That's Infowarslife.com.
[01:58:48.399 --> 01:58:56.663]  Please listen carefully because I'm about to point out three things that will save you a lot of money while you get high quality products and fund the InfoWar.
[01:58:56.663 --> 01:58:57.883]  A 360 win.
[01:58:57.883 --> 01:59:04.446]  Number one, when you choose AutoShip before checkout, we give you 10% off on your order at InfoWarshore.com.
[01:59:04.446 --> 01:59:11.970]  Number two, you're also able to get items that are out of stock when you sign up for AutoShip because we hold back a surplus for AutoShip customers.
[01:59:12.370 --> 01:59:17.431]  Number three, we're giving you free shipping on all orders above $50.
[01:59:17.431 --> 01:59:23.533]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[01:59:23.533 --> 01:59:31.335]  Just go to InfoWarsTore.com, select your favorite product or products, click on auto ship, and choose how often you want us to send you another order.
[01:59:31.335 --> 01:59:38.557]  As you know, I coined the term 360 win, and with the new auto ship feature at InfoWarsLife.com, this is a sure win.
[01:59:38.557 --> 01:59:39.357]  10% off on auto ship.
[01:59:39.517 --> 01:59:41.960]  Win-win-win at Infowarslife.com.
[01:59:41.960 --> 01:59:43.922]  Free shipping on orders above 50 bucks.
[01:59:43.922 --> 01:59:51.931]  And all out-of-stock items are never out of stock when you sign up for AutoShip.
[01:59:51.931 --> 01:59:54.573]  You're listening to the Alex Jones Show.
