[00:00.000 --> 00:06.400]  been so affordable at mainmilitary.com one of the last surviving true surplus stores in the country
[1:40:12.760 --> 1:40:15.120]  There's no farmers where the pigs won't eat the GMO crop.
[1:40:15.120 --> 1:40:19.960]  Yeah, they'll sniff it, they'll look at it, and then they'll look at me like I'm crazy,
[1:40:19.960 --> 1:40:20.960]  like I'm trying to poison them.
[1:40:20.960 --> 1:40:28.520]  Now, if I go and get what you call organic foods, they'll eat it right up and come back
[1:40:28.520 --> 1:40:29.520]  for more.
[1:40:29.520 --> 1:40:33.720]  Sir, there are thousands of studies, I just had an expert on Friday, thousands, I mean
[1:40:33.720 --> 1:40:38.160]  all these GMOs, they feed them to rats, they can't have babies anymore.
[1:40:38.160 --> 1:40:40.520]  It's being done by design, go ahead.
[1:40:40.520 --> 1:40:45.880]  And even those rats, just like a man who's imprisoned or a man who may be in a dire situation,
[1:40:45.880 --> 1:40:47.480]  you'll eat your own waste byproducts.
[1:40:47.480 --> 1:40:53.720]  See, those lab animals are starved so that they'll eat the foods for the research.
[1:40:53.720 --> 1:40:58.320]  But a free animal or human with the right to choose will choose what's best.
[1:40:58.320 --> 1:41:03.160]  And all I can say is that we have to get back to looking at nature for our direction because
[1:41:03.160 --> 1:41:05.160]  I've noticed no butterflies this year.
[1:41:05.160 --> 1:41:11.040]  I've seen like maybe, this whole summer I saw maybe three swallowtails and maybe one
[1:41:11.040 --> 1:41:12.040]  monarch.
[1:41:12.040 --> 1:41:16.600]  I always saw swallowtails growing up, you never see them anymore, and of course almost
[1:41:16.600 --> 1:41:20.360]  all the bees in England have died, half of our bees have died, and they have major German
[1:41:20.360 --> 1:41:25.960]  and Russian studies, university studies I've had the scientists on here on the show.
[1:41:25.960 --> 1:41:31.120]  It's all linked to one GMO corn, and when the bees, other bugs won't eat it, but the
[1:41:31.120 --> 1:41:34.320]  bees will, then the bees die.
[1:41:34.320 --> 1:41:41.320]  And so that's the major issue there, it is just so horrible, but the reason pigs and
[1:41:41.320 --> 1:41:45.560]  squirrels and others that have been studies on this won't eat many varieties of GMO corn
[1:41:45.560 --> 1:41:51.080]  and other foods that have had mainly cross species, other genetics of their animals put
[1:41:51.080 --> 1:41:55.280]  into it is because they're olfactory nerves, they're noses, that's why they use the pigs,
[1:41:55.280 --> 1:41:57.800]  they use pigs to find truffles.
[1:41:57.800 --> 1:42:00.760]  Some police agencies now use pigs other than dogs.
[1:42:00.760 --> 1:42:05.320]  Pigs have a nose even better than a bloodhound, and the pig is smelling something in there,
[1:42:05.320 --> 1:42:09.280]  we can't smell, thousands of times better sense of smell than we have, good to hear from
[1:42:09.280 --> 1:42:10.280]  you.
[1:42:10.280 --> 1:42:13.640]  Bobby in California, good to hear from you, you're on the air world wide.
[1:42:13.640 --> 1:42:19.200]  Hi, I was going to call it, Lou Dobbs broke a story the other day about United States
[1:42:19.200 --> 1:42:22.960]  funding Russian scientists that are building up the Iran nuclear program, did you hear
[1:42:22.960 --> 1:42:23.960]  about that?
[1:42:23.960 --> 1:42:28.320]  Yes, the United States, what was that, was only 15 million to a Russian science institute
[1:42:28.320 --> 1:42:34.280]  is helping Iran develop their nuclear reactors, but again, that's a shill in and of itself
[1:42:34.280 --> 1:42:40.280]  because if you Google US and England help arm Iran, actually the US and England have
[1:42:40.280 --> 1:42:44.960]  been arming Pakistan, India and Iran with real new components, so that's kind of a red
[1:42:44.960 --> 1:42:45.960]  herring.
[1:42:45.960 --> 1:42:51.920]  Do you think they're trying to build up Iran nuclear, so they could bomb it?
[1:42:51.920 --> 1:43:00.320]  You ever seen the old Western where the evil gunfighter hired by the mining company has
[1:43:00.320 --> 1:43:06.480]  just killed the little miner's dad, and then he throws the gun down in front of the ten
[1:43:06.480 --> 1:43:12.040]  year old's feet and says, pick up the gun, pick it up, well that's what they're doing
[1:43:12.040 --> 1:43:15.920]  with these conference, they give them the weapons so they can blow the daylights out
[1:43:15.920 --> 1:43:16.920]  of them.
[1:43:16.920 --> 1:43:22.040]  You mean they're setting up Russia so they can bomb Russia and say that they helped Iran
[1:43:22.040 --> 1:43:23.040]  go?
[1:43:23.040 --> 1:43:25.200]  Oh no, you're right, NATO says they want to launch a sneak attack on Russia, just like
[1:43:25.200 --> 1:43:29.920]  they snuck attack areas of South Ossetia, well they're right back.
[1:43:29.920 --> 1:43:33.200]  Silver is mankind's oldest natural antibiotic.
[1:43:33.200 --> 1:43:37.000]  This very special mineral has been used for centuries by most cultures throughout the
[1:43:37.000 --> 1:43:38.000]  world.
[1:43:38.000 --> 1:43:42.840]  Utopia, Texas is home to a small but mighty supplement company called Utopia Silver, who
[1:43:42.840 --> 1:43:47.720]  offers colloidal products produced in distilled water, without use of animal protein, nitrates
[1:43:47.720 --> 1:43:49.280]  or saline solutions.
[1:43:49.280 --> 1:43:53.840]  Because our colloidal silver is made up of nano sized particles, it can be better utilized
[1:43:53.840 --> 1:43:58.520]  at the cellular level, and germs can't mutate to be resistant like they can to modern day
[1:43:58.520 --> 1:43:59.720]  antibiotics.
[1:43:59.720 --> 1:44:04.080]  Utopia Silver has a broad range of health supplements including colloidal silver, gold
[1:44:04.080 --> 1:44:08.040]  and copper, with a money bag guarantee on the colloidal products we produce.
[1:44:08.040 --> 1:44:12.320]  For four years Utopia Silver has been fighting in the Texas courts against agencies that
[1:44:12.320 --> 1:44:16.200]  would steal our God given rights of health care and freedom of speech.
[1:44:16.200 --> 1:44:27.920]  Visit us today at utopiasilver.com, that's utopiasilver.com, or call 888-213-4338, 888-213-4338, and help
[1:44:27.920 --> 1:44:28.920]  us win this battle.
[1:44:28.920 --> 1:44:31.760]  How much food do you have in your fridge?
[1:44:31.760 --> 1:44:35.120]  How long would it last in the event of a nationwide crisis?
[1:44:35.120 --> 1:44:39.720]  Survivalgearsource.com is America's number one source for survival kits and supplies.
[1:44:39.720 --> 1:44:42.960]  Survivalgearsource.com Survivalgearsource.com is everything you need
[1:44:42.960 --> 1:44:43.960]  to be prepared.
[1:44:43.960 --> 1:44:46.680]  Get your storeable food at survivalgearsource.com.
[1:44:46.680 --> 1:44:49.720]  We've supplied thousands of Americans with our ready to eat meals.
[1:44:49.720 --> 1:44:52.080]  Sealed, portable and will last for a year.
[1:44:52.080 --> 1:44:54.120]  Get your portable flameless ovens for cooking.
[1:44:54.120 --> 1:44:59.280]  Get your ultra portable survival kits now, tailored for 1, 4, 10, or even the 100 person
[1:44:59.280 --> 1:45:00.280]  deluxe kit.
[1:45:00.280 --> 1:45:04.200]  Prepare for nuclear and bioterrorism with a complete terror protection kit, including
[1:45:04.200 --> 1:45:10.200]  gas masks, biosuits, potassium iodate, a solar hand crag flashlight, radio, cell phone charger,
[1:45:10.200 --> 1:45:11.200]  and much more.
[1:45:11.200 --> 1:45:12.200]  Prepare now.
[1:45:12.200 --> 1:45:21.480]  Order by phone at 877-231-1925, that's 877-231-1925, or go to survivalgearsource.com.
[1:45:21.480 --> 1:45:29.600]  Use coupon code GCN and receive a free Patriot Bar with every order, survivalgearsource.com.
[1:45:29.600 --> 1:45:35.320]  Did you know that it's a documented fact, 80% of all Americans and 85% of people around
[1:45:35.320 --> 1:45:38.880]  the world suffer from internal parasites and parasitic infection?
[1:45:38.880 --> 1:45:43.240]  You may be one of millions of people suffering from one of dozens of debilitating chronic
[1:45:43.240 --> 1:45:46.960]  diseases from these parasites and your doctor would never know it.
[1:45:46.960 --> 1:45:51.720]  In fact, clinically detected parasites account for only 1% of all cases.
[1:45:51.720 --> 1:45:54.320]  Don't continue to suffer from pain due to misdiagnosis.
[1:45:54.320 --> 1:45:59.040]  Now you can fight internal parasites, heavy metal poisoning, and high cholesterol, naturally
[1:45:59.040 --> 1:46:00.040]  and safely.
[1:46:00.040 --> 1:46:04.840]  By mixing fossilized phytoplankton powder, also known as FPP, with your favorite beverage
[1:46:04.840 --> 1:46:05.840]  once a day.
[1:46:05.840 --> 1:46:11.040]  FPP is used around the world, has numerous uses, and is now available to you from Fresh
[1:46:11.040 --> 1:46:12.040]  Water Organics.
[1:46:12.040 --> 1:46:17.000]  FPP strengthens skin, hair, and bones, lowers cholesterol, and is an excellent source of
[1:46:17.000 --> 1:46:20.320]  natural plant-based silica with 14 trace minerals.
[1:46:20.320 --> 1:46:25.520]  Order some today at FreshWaterOrganics.com, again, that's FreshWaterOrganics.com, or
[1:46:25.520 --> 1:46:29.400]  call 888-949-3570.
[1:46:29.400 --> 1:46:34.400]  Lead from solder and copper pipes, mercury from fish, dental fillings, vaccines, arsenic
[1:46:34.400 --> 1:46:35.400]  in the water.
[1:46:35.400 --> 1:46:39.200]  These heavy metal toxins are difficult or even impossible to avoid.
[1:46:39.200 --> 1:46:43.160]  Even trace amounts of these heavy metals over time can impact your health.
[1:46:43.160 --> 1:46:47.080]  Many health problems have been suggested as being related to this heavy metal exposure,
[1:46:47.080 --> 1:46:51.320]  including memory loss, high blood pressure, depression, mood swings, speech disorders,
[1:46:51.320 --> 1:46:54.720]  neuropathy, autoimmune diseases, chronic fatigue, and more.
[1:46:54.720 --> 1:46:58.920]  Unfortunately, traditional detoxifying isn't able to clear the body of these harmful and
[1:46:58.920 --> 1:47:00.960]  potentially deadly toxins.
[1:47:00.960 --> 1:47:03.400]  That's why there's PuraClear from Ripple Creek.
[1:47:03.400 --> 1:47:07.680]  PuraClear contains a proprietary blend of ingredients, including a cilantro extract
[1:47:07.680 --> 1:47:09.200]  and alphalipoic acid.
[1:47:09.200 --> 1:47:14.080]  Among other ingredients formulated specifically to promote body cleansing, PuraClear also has
[1:47:14.080 --> 1:47:18.760]  ingredients selected to promote improved circulation to enhance activity, so that heavy metals
[1:47:18.760 --> 1:47:21.840]  may be more effectively captured and removed from the body.
[1:47:21.840 --> 1:47:28.840]  Remember PuraClear now by calling Ripple Creek at 203-331-0363 or go to RippleCreek.com.
[1:47:28.840 --> 1:47:37.840]  Thank you for listening to GCN.
[1:47:37.840 --> 1:47:54.280]  All right, let's keep what's creaking for your phone calls, Brian in Austin, Texas.
[1:47:54.280 --> 1:47:55.280]  You're on the air, Brian.
[1:47:55.280 --> 1:47:56.280]  Hey, thank you, Alex.
[1:47:56.280 --> 1:48:01.640]  First off, I just want to say that I owe you an apology because six weeks ago I had been
[1:48:01.640 --> 1:48:05.800]  considered a right-wing Republican Christian conservative and I ridiculed you to other
[1:48:05.800 --> 1:48:06.800]  people.
[1:48:06.800 --> 1:48:07.800]  I regret it.
[1:48:07.800 --> 1:48:11.120]  Well, what woke you up?
[1:48:11.120 --> 1:48:18.320]  Somebody told me to go watch a 9-second video of Building 7 and then of course I had a heightened
[1:48:18.320 --> 1:48:24.560]  awareness and fear over what the Fed printed all this money and so I watched Fabled Enemies
[1:48:24.560 --> 1:48:27.800]  and a few others and I'm just shocked.
[1:48:27.800 --> 1:48:31.440]  Well, I mean, did you hear me years ago say that they were going to do this with the banking
[1:48:31.440 --> 1:48:35.160]  and they were going to put troops on the streets and everything's being announced now?
[1:48:35.160 --> 1:48:40.040]  Well, you know, I'm living proof that what you're doing is working because some of the
[1:48:40.040 --> 1:48:43.320]  things you would say, I say, you know, I want to believe that but gosh, I just can't get
[1:48:43.320 --> 1:48:45.240]  myself to believe this and this and this.
[1:48:45.240 --> 1:48:47.720]  But the good news is you don't have to believe me.
[1:48:47.720 --> 1:48:49.920]  Everything I talk about is documented.
[1:48:49.920 --> 1:48:50.920]  No, I know.
[1:48:50.920 --> 1:48:56.440]  But if I tell you they're arresting Amish people for selling each other a whole milk, I got
[1:48:56.440 --> 1:48:57.440]  the news article.
[1:48:57.440 --> 1:49:01.560]  Well, no, I believe everything you're saying now, Alex, it's just that the information
[1:49:01.560 --> 1:49:06.880]  is getting out and I had to see it to believe it and now I've been able to absorb it.
[1:49:06.880 --> 1:49:11.960]  But something that I think may or may not have gotten on your radar is they had an unbelievable
[1:49:11.960 --> 1:49:16.560]  stellar group of people, if you call them stellar, or at least that's the way they appear
[1:49:16.560 --> 1:49:23.360]  in Colin Powell and Rudy Giuliani, Zig Ziglar, and they were charging $19 for this big seminar.
[1:49:23.360 --> 1:49:24.360]  No way it's profitable.
[1:49:24.360 --> 1:49:28.880]  Oh yeah, they advertised on every radio and TV station had to be hundreds of thousands
[1:49:28.880 --> 1:49:33.400]  and how are they making money saying 20, 30 people could come for $19?
[1:49:33.400 --> 1:49:34.400]  They're not.
[1:49:34.400 --> 1:49:37.720]  You know what they were telling people to leave your money in your 401k so they can
[1:49:37.720 --> 1:49:38.720]  steal it?
[1:49:38.720 --> 1:49:44.200]  Well, Zabigniew Brzezinski, all of these people have been coming to Austin, the head of the
[1:49:44.200 --> 1:49:47.600]  Federal Reserve, he should be going to prison, according to Ron Paul.
[1:49:47.600 --> 1:49:52.400]  He came to town to propagandize and act like they're the good guys when they're engineering
[1:49:52.400 --> 1:49:53.400]  all of this.
[1:49:53.400 --> 1:49:54.800]  So you saw through that?
[1:49:54.800 --> 1:49:56.240]  Yeah, I absolutely did.
[1:49:56.240 --> 1:50:00.840]  I wouldn't have had I not watched that 9-second video and then started listening to you and
[1:50:00.840 --> 1:50:04.960]  now I'm starting to study a little bit of British history and it's absolutely frightening.
[1:50:04.960 --> 1:50:10.480]  Last night on the Austin News they talked about a fusion center here and the news program
[1:50:10.480 --> 1:50:12.520]  couldn't even tell us what a fusion center was.
[1:50:12.520 --> 1:50:16.800]  How many years did I say they're building FEMA command centers to federalize your local
[1:50:16.800 --> 1:50:20.360]  police and they've now announced the governors will be federalized?
[1:50:20.360 --> 1:50:25.680]  They told us the reason that Austin is more likely to be hit by a terrorist attack is
[1:50:25.680 --> 1:50:28.760]  because of our population and because of I-35.
[1:50:28.760 --> 1:50:31.600]  What laziness on the part of the media?
[1:50:31.600 --> 1:50:35.080]  Fusion center is a federalization tyranny center.
[1:50:35.080 --> 1:50:40.360]  Well, Alex, what you're doing is working because again, I owe you an apology.
[1:50:40.360 --> 1:50:44.680]  I left a message several days ago for you just because I just felt guilty, but I will
[1:50:44.680 --> 1:50:46.960]  never ridicule anything that you say again.
[1:50:46.960 --> 1:50:51.160]  I mean, obviously, I'm an independent thinker, so I have the right to disagree.
[1:50:51.160 --> 1:50:52.160]  No, no, no.
[1:50:52.160 --> 1:50:53.160]  Ridical whatever you want.
[1:50:53.160 --> 1:50:57.240]  The thing is, I try to tell the truth and 98% of the time I am accurate.
[1:50:57.240 --> 1:51:01.160]  You know, I was listening to a rebroadcast of my show the other day and I was talking
[1:51:01.160 --> 1:51:03.880]  about Arnold Schwarzenegger shouldn't be able to be our president.
[1:51:03.880 --> 1:51:05.920]  We shouldn't change the 22nd Amendment.
[1:51:05.920 --> 1:51:10.720]  You know, it turns out Obama, you know, isn't natural born and can't be president.
[1:51:10.720 --> 1:51:12.280]  We shouldn't amend that for him either.
[1:51:12.280 --> 1:51:17.040]  And then I said, because Arnold Schwarzenegger isn't a U.S. citizen.
[1:51:17.040 --> 1:51:20.640]  And later I listened to the show and I go, I meant natural born.
[1:51:20.640 --> 1:51:22.780]  So I make mistakes like that all the time.
[1:51:22.780 --> 1:51:26.400]  But when it comes to the basic information, I am accurate.
[1:51:26.400 --> 1:51:27.400]  Okay.
[1:51:27.400 --> 1:51:28.400]  Let's go ahead.
[1:51:28.400 --> 1:51:30.600]  I mean, I also oversimplify because of time.
[1:51:30.600 --> 1:51:32.760]  I mean, I want to go to your calls right now.
[1:51:32.760 --> 1:51:36.520]  But earlier I said they're confiscating guns using the National Guard in Illinois.
[1:51:36.520 --> 1:51:39.720]  Well, what they're doing is they're going door to door knocking and saying, can we see
[1:51:39.720 --> 1:51:40.720]  your guns?
[1:51:40.720 --> 1:51:43.080]  It's called knock and talk, Google that.
[1:51:43.080 --> 1:51:45.880]  So it's not like they're door to door, every house taking the guns.
[1:51:45.880 --> 1:51:48.320]  They're trying to take the guns.
[1:51:48.320 --> 1:51:52.000]  Let's go ahead and talk to Alex in California.
[1:51:52.000 --> 1:51:53.000]  Here on the air, welcome.
[1:51:53.000 --> 1:51:54.000]  Hi, Alex.
[1:51:54.000 --> 1:51:55.000]  How are you doing today?
[1:51:55.000 --> 1:51:56.000]  Good, sir.
[1:51:56.000 --> 1:51:57.000]  Yeah.
[1:51:57.000 --> 1:51:58.000]  Listen.
[1:51:58.000 --> 1:51:59.000]  I want to relate to a story.
[1:51:59.000 --> 1:52:03.000]  I live in the Beach Cities area of the Donna Beach at the suburb of Los Angeles.
[1:52:03.000 --> 1:52:05.480]  I want to relate to you a story about the army.
[1:52:05.480 --> 1:52:09.120]  My brother-in-law and me, we experienced, I was in Carson, California, right off the
[1:52:09.120 --> 1:52:12.600]  91 freeway on Friday, about 11 o'clock in the morning.
[1:52:12.600 --> 1:52:16.240]  And you know, we were at a stoplight right about the freeway, it's kind of an industrial
[1:52:16.240 --> 1:52:18.920]  poor area in Carson.
[1:52:18.920 --> 1:52:23.400]  So we saw these three canopies that were truck full of just military people and it was full
[1:52:23.400 --> 1:52:24.400]  on army.
[1:52:24.400 --> 1:52:27.400]  You know, we could tell they were soldiers and in our time, that's what we found.
[1:52:27.400 --> 1:52:28.400]  Regular army.
[1:52:28.400 --> 1:52:33.840]  Regular army used to be in every fusion center, in every city, surveilling illegal, the American
[1:52:33.840 --> 1:52:34.840]  people.
[1:52:34.840 --> 1:52:38.760]  Listen, I just wanted to know if you had information about anything going on in Los Angeles, there.
[1:52:38.760 --> 1:52:43.280]  And also, you know, I'm a freelance writer and I covered some local events, city council
[1:52:43.280 --> 1:52:44.280]  meetings, stuff in this area.
[1:52:44.280 --> 1:52:49.640]  Have you heard anything about the El Segundo military entrance processing station?
[1:52:49.640 --> 1:52:50.640]  Yes.
[1:52:50.640 --> 1:52:54.800]  I mean, I covered it when they were first talking about it in the city council, so what exactly
[1:52:54.800 --> 1:52:55.800]  is that going to entail?
[1:52:55.800 --> 1:52:59.240]  They said it's going to be open by the summer of 2009, so what exactly is that going to
[1:52:59.240 --> 1:53:00.240]  entail?
[1:53:00.240 --> 1:53:03.960]  They're going to turn the public schools into military academies, and I'm all for military
[1:53:03.960 --> 1:53:08.280]  academies, but not when it's public schools, like Nazi Germany, they are going to build
[1:53:08.280 --> 1:53:11.880]  huge military bases and take old bases and reopen them.
[1:53:11.880 --> 1:53:16.160]  All over the country, they're moving the National Guard, which has now been federalized, under
[1:53:16.160 --> 1:53:20.080]  Homeland Security, Northcom, in with local police departments, they are, I mean, just
[1:53:20.080 --> 1:53:21.080]  classical tyranny, sir.
[1:53:21.080 --> 1:53:22.880]  I don't know what else to tell you.
[1:53:22.880 --> 1:53:24.880]  Ronnie in Texas, you're on the air.
[1:53:24.880 --> 1:53:31.000]  Thank you, sir, and I wanted to also apologize for a missed opportunity on the BBC broadcast.
[1:53:31.000 --> 1:53:32.760]  World, have your say.
[1:53:32.760 --> 1:53:36.360]  They did here in Austin, and gosh, I don't know, I'm sorry, I just didn't get everything
[1:53:36.360 --> 1:53:37.360]  and I wanted to.
[1:53:37.360 --> 1:53:39.720]  I didn't know that that happened here in town.
[1:53:39.720 --> 1:53:44.680]  It was great, and I was able to at least say my revolutionary name, which you don't let
[1:53:44.680 --> 1:53:48.080]  me say, by the way, which is, I don't think, constructive, but I don't know what you're
[1:53:48.080 --> 1:53:49.080]  talking about.
[1:53:49.080 --> 1:53:54.040]  My name is Ronnie, Referseed, and it's kind of a, I call it revolutionary because it's
[1:53:54.040 --> 1:53:55.440]  tearing up the Republican Party.
[1:53:55.440 --> 1:54:00.720]  They wouldn't let me go to the, as a delegate, despite the overwhelming support of the...
[1:54:00.720 --> 1:54:05.160]  Well, I mean, it's okay for you to say Ronnie, Referseed, I mean, you're claiming I'm not
[1:54:05.160 --> 1:54:06.160]  letting you say...
[1:54:06.160 --> 1:54:10.480]  Well, I guess I was trying to, you know, and I've heard you say you prefer people to have
[1:54:10.480 --> 1:54:14.360]  only one name, and this was the kind of exception, because like in my case, that's actually my
[1:54:14.360 --> 1:54:15.520]  name on the ballot.
[1:54:15.520 --> 1:54:16.920]  When I ran for Congress in the year 2000...
[1:54:16.920 --> 1:54:22.600]  Okay, well, it's different if somebody is a candidate for something, but listen, here's
[1:54:22.600 --> 1:54:23.880]  the deal, man.
[1:54:23.880 --> 1:54:26.720]  I don't care if people smoke pot, I don't smoke it.
[1:54:26.720 --> 1:54:30.480]  But people that smoke it, act like it, that's their revolution.
[1:54:30.480 --> 1:54:33.960]  That's how they're fighting the man, or having roster hair, or having tattoos.
[1:54:33.960 --> 1:54:35.240]  Look, I don't care.
[1:54:35.240 --> 1:54:38.840]  Do what you want, just don't say, I'm a square because I don't do it.
[1:54:38.840 --> 1:54:42.800]  I'm against drug prohibition, but I don't think drugs overall are good.
[1:54:42.800 --> 1:54:47.720]  Now, I think marijuana is not as bad as alcohol, let me be clear about that, okay?
[1:54:47.720 --> 1:54:51.720]  I think alcohol, I've seen the studies, is clearly worse, little car wrecks, death, liver
[1:54:51.720 --> 1:54:53.080]  disease, everything.
[1:54:53.080 --> 1:54:57.120]  I'm just making the point here that people stoned out of their head calling into the
[1:54:57.120 --> 1:54:58.760]  show is annoying to me.
[1:54:58.760 --> 1:55:01.600]  I mean, I get sick of pot heads.
[1:55:01.600 --> 1:55:04.520]  People who smoke pot every five minutes, I mean, I'm tired of it.
[1:55:04.520 --> 1:55:07.640]  I mean, if you smoke some pot at night, like you'd have a drink or something, fine with
[1:55:07.640 --> 1:55:08.640]  me.
[1:55:08.640 --> 1:55:11.160]  But just, I don't want to hear about it all day long.
[1:55:11.160 --> 1:55:19.360]  Let's talk to, is that Chess, it's C-H-E-S, in South Dakota.
[1:55:19.360 --> 1:55:20.360]  You are on the air.
[1:55:20.360 --> 1:55:21.360]  Welcome.
[1:55:21.360 --> 1:55:22.360]  Hi, Alex.
[1:55:22.360 --> 1:55:23.360]  Yeah, we're calling.
[1:55:23.360 --> 1:55:26.000]  We're doing, I want to tell you how we're fighting the Info War up here.
[1:55:26.000 --> 1:55:29.880]  You've talked about micro FM, but we use these certified transmitters.
[1:55:29.880 --> 1:55:34.280]  We've created a daisy chain of low power transmitters in Sioux Falls and Omaha.
[1:55:34.280 --> 1:55:37.960]  They're actually live right now in the two cities, and we're growing these by about one
[1:55:37.960 --> 1:55:38.960]  transmitter a week.
[1:55:38.960 --> 1:55:41.920]  So, you have legal little tiny ones, but get them in everybody's houses.
[1:55:41.920 --> 1:55:46.280]  Yeah, actually, these transmitters are certified, only on the AM side, they have available these
[1:55:46.280 --> 1:55:47.280]  certified transmitters.
[1:55:47.280 --> 1:55:49.480]  They actually cover almost a three mile radius.
[1:55:49.480 --> 1:55:52.160]  You get six of these in a city like this, you're all over the airways.
[1:55:52.160 --> 1:55:53.160]  Where did you get them?
[1:55:53.160 --> 1:55:55.200]  Well, there's a man in New Hampshire that builds these.
[1:55:55.200 --> 1:55:56.200]  He's an engineer.
[1:55:56.200 --> 1:55:57.200]  I'm an engineer.
[1:55:57.200 --> 1:55:58.400]  I used to work there in Dallas for Southwestern Bell.
[1:55:58.400 --> 1:55:59.720]  I learned about this back then.
[1:55:59.720 --> 1:56:00.720]  Hey, listen.
[1:56:00.720 --> 1:56:05.760]  Give us your name and number, because I know that small AMs are legal, and I would love
[1:56:05.760 --> 1:56:09.400]  to have you guys as a sponsor or just to promote you, period.
[1:56:09.400 --> 1:56:11.000]  Well, this is blowing up.
[1:56:11.000 --> 1:56:13.680]  I mean, I'm getting emails everywhere now.
[1:56:13.680 --> 1:56:15.680]  So how many of these transmitters you got going out there?
[1:56:15.680 --> 1:56:16.880]  I've got five.
[1:56:16.880 --> 1:56:21.800]  I've got one in Omaha and four here in Sioux Falls, and everybody in Omaha now.
[1:56:21.800 --> 1:56:23.840]  We've got enough demands to cover them.
[1:56:23.840 --> 1:56:27.840]  We're trying to get some people to donate money so we can get them across, but that's
[1:56:27.840 --> 1:56:28.840]  not important.
[1:56:28.840 --> 1:56:33.200]  I just want to tell you, this works, and it's getting attention.
[1:56:33.200 --> 1:56:36.320]  And those are the small AMs that are legal.
[1:56:36.320 --> 1:56:41.680]  Yeah, it's called the Hamilton Rangemaster, but I can get them at a discount for listeners.
[1:56:41.680 --> 1:56:44.000]  But and Ted Anderson's folks know about me.
[1:56:44.000 --> 1:56:46.520]  I've been talking to- Well, we want to talk to you.
[1:56:46.520 --> 1:56:51.280]  We want to put you on hold right now and get that information, okay?
[1:56:51.280 --> 1:56:52.440]  Last caller, Drew in Arizona.
[1:56:52.440 --> 1:56:53.440]  Go ahead.
[1:56:53.440 --> 1:56:54.440]  Hey, buddy.
[1:56:54.440 --> 1:56:57.440]  Turn your radio off.
[1:56:57.440 --> 1:56:59.160]  Okay.
[1:56:59.160 --> 1:57:04.040]  That's another pothead caller.
[1:57:04.040 --> 1:57:05.040]  I'm going to hang up on him.
[1:57:05.040 --> 1:57:06.040]  I'm joking.
[1:57:06.040 --> 1:57:08.040]  That's a prank caller that keeps calling in disguising his voice.
[1:57:08.040 --> 1:57:10.760]  I know who he is, so we just hung up on him.
[1:57:10.760 --> 1:57:12.360]  Look, I'm out of time, ladies and gentlemen.
[1:57:12.360 --> 1:57:15.200]  I didn't cover all the news I wanted to, but I did cover a lot of it.
[1:57:15.200 --> 1:57:18.960]  Obama, economy, worse before it gets better, CBS News.
[1:57:18.960 --> 1:57:21.280]  He says he's going to do a lot of things people aren't going to like.
[1:57:21.280 --> 1:57:22.480]  The economy is going to get worse for it.
[1:57:22.480 --> 1:57:23.480]  It's better.
[1:57:23.480 --> 1:57:28.120]  There's going to be early moments of the interview on Meet the Press, taped Saturday,
[1:57:28.120 --> 1:57:33.080]  and then aired today across the nation, and then tomorrow on my weekday show, I'm going
[1:57:33.080 --> 1:57:37.320]  to go through Obama's unveils 21st century New Deal.
[1:57:37.320 --> 1:57:41.920]  They're going to take over the web like they took over AM and FM radio 80 years ago.
[1:57:41.920 --> 1:57:45.200]  They're basically going to shut down the free web and go to Internet too, and they're going
[1:57:45.200 --> 1:57:50.560]  to turn most of the major roads into international biosphere corridors, international zones.
[1:57:50.560 --> 1:57:55.600]  I want you to go on those ABC News and APR reporting, more foreign troops to make up
[1:57:55.600 --> 1:58:01.040]  our military, more mercenary groups to be operating in the United States.
[1:58:01.040 --> 1:58:08.600]  I've got a video here where the police, this guy falls in the waters drowning, so his sons
[1:58:08.600 --> 1:58:10.560]  are yelling and screaming, so they taser them.
[1:58:10.560 --> 1:58:12.600]  I mean, just, I'm not bashing the police here.
[1:58:12.600 --> 1:58:17.760]  I'm saying you've turned into just morons, not all of you, but a large portions of you.
[1:58:17.760 --> 1:58:19.760]  Oh, and Reuters reported the queen.
[1:58:19.760 --> 1:58:24.040]  It's no secret that Genesis Communications Network depends on listeners like you.
[1:58:24.040 --> 1:58:27.120]  Now you can do even more to hear Genesis shows in your area.
[1:58:27.120 --> 1:58:31.560]  Simply call your local radio stations and tell them about your favorite GCN programs.
[1:58:31.560 --> 1:58:32.560]  It's easy.
[1:58:32.560 --> 1:58:38.880]  Log on to GCNLive.com or call us toll free 877-807-4048.
[1:58:38.880 --> 1:58:42.920]  Make a difference, call your local stations and contact us through affiliate relations
[1:58:42.920 --> 1:58:48.400]  at GCNLive.com or call 877-807-4048.
[1:58:48.400 --> 1:59:17.280]  Call today.
[1:59:19.400 --> 1:59:20.400]  Usman.
[1:59:20.400 --> 1:59:23.000]  Break the law and you're caught on film.
[1:59:23.000 --> 1:59:27.000]  Practically impossible for police to spot plates that have been treated with a reflective
[1:59:27.000 --> 1:59:28.000]  spray.
[1:59:28.000 --> 1:59:29.960]  The reflection blinded our camera.
[1:59:29.960 --> 1:59:31.280]  We are under the microscope.
[1:59:31.280 --> 1:59:35.360]  Red light cameras and sneak cameras are in place to make money, not for your safety.
[1:59:35.360 --> 1:59:39.000]  But you don't have to be defenseless against these unconstitutional devices.
