[00:00.000 --> 00:29.000]  When I grow up, I want to be around you guys!
[01:46:38.320 --> 01:46:45.400]  They're both 50% off individually or together they're 50% off and free shipping with the
[01:46:45.400 --> 01:46:47.800]  combo at InfowarsLife.com.
[01:46:47.800 --> 01:46:52.200]  But it's got to end in a couple days because both of these best sellers are about to sell
[01:46:52.200 --> 01:47:19.000]  out InfowarsLife.com to get your Brain Force Plus and real red pill today.
[01:47:19.000 --> 01:47:27.960]  They deny absolutely our Judeo-Christian culture, which if you think about it actually are the
[01:47:27.960 --> 01:47:31.600]  roots completely of our nations and our civilization.
[01:47:31.600 --> 01:47:32.600]  They deny that.
[01:47:32.600 --> 01:47:37.280]  They also, don't forget Alex, they want to abolish the nation state, they want to get
[01:47:37.280 --> 01:47:38.280]  rid of it.
[01:47:38.280 --> 01:47:43.680]  They want to replace it with the globalist project and the European Union is the prototype
[01:47:43.680 --> 01:47:51.400]  for the new world order.
[01:47:51.400 --> 01:47:54.040]  And Nigel Farage joins us for the next 10 minutes.
[01:47:54.040 --> 01:47:58.720]  You can follow him at Twitter, Nigel underscore Farage, not going to go over his whole background
[01:47:58.720 --> 01:48:03.840]  because that would take the 10 minutes we have but he's helped lead the populist movement.
[01:48:03.840 --> 01:48:05.360]  What is the latest from the UK?
[01:48:05.360 --> 01:48:11.240]  Well, remember that in 2013 it was in fact British public opinion that shifted our politicians
[01:48:11.240 --> 01:48:15.960]  that stopped us getting involved in Syria and don't forget the object of the government
[01:48:15.960 --> 01:48:18.320]  at the time was to arm the rebels.
[01:48:18.320 --> 01:48:21.160]  Alex, if we'd done that, we'd have armed ISIS.
[01:48:21.160 --> 01:48:27.160]  It would have been mad and actually it was British public opinion affecting our politicians
[01:48:27.160 --> 01:48:30.840]  that stopped Obama and America from getting involved in this.
[01:48:30.840 --> 01:48:36.520]  So I'm a great believer actually with all these things, trust middle England, trust
[01:48:36.520 --> 01:48:41.560]  middle America, they tend to get it right more than London or Washington DC.
[01:48:41.560 --> 01:48:46.000]  Now Mrs. May does appear keen to get involved militarily.
[01:48:46.000 --> 01:48:53.240]  All I can tell her is be careful because public opinion now against intervention is probably
[01:48:53.240 --> 01:48:56.520]  even stronger than it was four years ago.
[01:48:56.520 --> 01:48:57.520]  Let's put it like this.
[01:48:57.520 --> 01:49:01.680]  If it wasn't a sad that did it, you know, you can make arguments about the deep state
[01:49:01.680 --> 01:49:07.240]  doing it, but equally, don't forget that ISIS themselves a couple of years ago were
[01:49:07.240 --> 01:49:13.240]  on record for using chemical weapons no fewer than 52 times.
[01:49:13.240 --> 01:49:19.120]  ISIS could quite easily have done this, hoping the world would blame Assad and the Russians
[01:49:19.120 --> 01:49:23.320]  particularly in the wake of the arguments that are still going on about the poisonings
[01:49:23.320 --> 01:49:25.880]  that took place in Salisbury, England.
[01:49:25.880 --> 01:49:28.440]  So the answer is we don't know.
[01:49:28.440 --> 01:49:29.600]  You're a leading expert on this.
[01:49:29.600 --> 01:49:31.720]  Why is the left ally with radical Islam?
[01:49:31.720 --> 01:49:33.200]  Why are they trying to fly?
[01:49:33.200 --> 01:49:35.480]  Because they hate Christianity.
[01:49:35.480 --> 01:49:36.480]  They can't.
[01:49:36.480 --> 01:49:41.480]  I mean, you know, they deny absolutely our Judeo-Christian culture, which if you think
[01:49:41.480 --> 01:49:46.480]  about it actually are the roots completely of our nations and our civilization.
[01:49:46.480 --> 01:49:47.760]  They deny that.
[01:49:47.760 --> 01:49:51.480]  They also don't forget, Alex, they want to abolish the nation state.
[01:49:51.480 --> 01:49:53.160]  They want to get rid of it.
[01:49:53.160 --> 01:49:58.600]  They want to replace it with the globalist project and the European Union is the prototype
[01:49:58.600 --> 01:50:00.800]  for the new world order.
[01:50:00.800 --> 01:50:06.680]  You know, if Hillary had won that election last year, she was going to sign America up
[01:50:06.680 --> 01:50:09.160]  to get really close to this kind of thing.
[01:50:09.160 --> 01:50:13.280]  So, you know, we may sit here right now, Alex, and be a bit critical of Trump, but on many
[01:50:13.280 --> 01:50:15.280]  other things, he's got things right.
[01:50:15.280 --> 01:50:20.840]  And when you send a message, when Angela Merkel sends a message, as many of you as
[01:50:20.840 --> 01:50:23.760]  want to come can come, what do you think they're going to do?
[01:50:23.760 --> 01:50:28.840]  In fact, the liberals have become the very fascists that they try and criticize with
[01:50:28.840 --> 01:50:29.840]  their rhetoric.
[01:50:29.840 --> 01:50:35.080]  And look, what's really happening here, you know, don't underestimate how massive the
[01:50:35.080 --> 01:50:40.160]  seismic shock of 2016 was, the victory of Brexit, the victory of Trump.
[01:50:40.160 --> 01:50:41.160]  You know, we're winning.
[01:50:41.160 --> 01:50:42.680]  Look, I'm really hungry the other day.
[01:50:42.680 --> 01:50:47.520]  We are winning, but it doesn't feel like we're winning because the left and the state are
[01:50:47.520 --> 01:50:50.360]  fighting back with all their might.
[01:50:50.360 --> 01:50:56.160]  And you know something, if we can resist this politically correct charge, this attempt to
[01:50:56.160 --> 01:51:01.560]  stop us thinking and speaking freely, if we can resist that, then our victory actually
[01:51:01.560 --> 01:51:02.560]  will be complete.
[01:51:02.560 --> 01:51:04.560]  So, don't get down, everybody.
[01:51:04.560 --> 01:51:05.560]  Don't get depressed.
[01:51:05.560 --> 01:51:08.360]  They're behaving like this because we're beating them.
[01:51:08.360 --> 01:51:11.680]  And let's remember, you're the guy when Trump thought three months before he was going to
[01:51:11.680 --> 01:51:15.080]  lose, that came in privately, cheered him up and cheered up the troops.
[01:51:15.080 --> 01:51:18.200]  And you were a critical catalyst in this, just as you were in Brexit.
[01:51:18.200 --> 01:51:19.200]  You're amazing.
[01:51:19.200 --> 01:51:20.200]  Thank you for joining us.
[01:51:20.200 --> 01:51:21.200]  We're busy.
[01:51:21.200 --> 01:51:25.200]  But that says the EU has said they'll try to start a wider war to keep the EU.
[01:51:25.200 --> 01:51:29.440]  Don't you think that's what part of this attempt to start World War III is about in Syria?
[01:51:29.440 --> 01:51:35.960]  I think, you know, the globalists have wanted to have some form of conflict with Russia
[01:51:35.960 --> 01:51:41.480]  as an argument for us all to surrender our national sovereignty and give it up to a higher
[01:51:41.480 --> 01:51:42.480]  global level.
[01:51:42.480 --> 01:51:48.800]  They've wanted it for years, and now they see their opportunity, and we ask for it.
[01:51:48.800 --> 01:51:50.200]  Thank you so much, Nigel Farage.
[01:51:50.200 --> 01:51:54.440]  You know, someone very profoundly once said many years ago that if fascism ever comes
[01:51:54.440 --> 01:51:56.600]  to America, it'll come in the name of liberalism.
[01:51:56.600 --> 01:51:57.600]  He goes to jail.
[01:51:57.600 --> 01:51:58.600]  He goes to jail.
[01:51:58.600 --> 01:52:01.600]  Who wants the money?
[01:52:01.600 --> 01:52:10.160]  If you are receiving this transmission, you are the resistance.
[01:52:10.160 --> 01:52:16.320]  We have before us the opportunity to forge for ourselves and for future generations a
[01:52:16.320 --> 01:52:22.760]  new world order, a world where the rule of law, not the law of the jungle, governs the
[01:52:22.760 --> 01:52:25.400]  conduct of nations.
[01:52:25.400 --> 01:52:31.920]  When we are successful, and we will be, we have a real chance at this new world order,
[01:52:31.920 --> 01:52:37.560]  an order in which a credible United Nations can use its peacekeeping role to fulfill
[01:52:37.560 --> 01:52:41.440]  the promise and vision of the UN's founders.
[01:52:41.440 --> 01:52:49.360]  It is a big idea, a new world order, a world in which there is the very real prospect of
[01:52:49.360 --> 01:52:51.200]  a new world order.
[01:52:51.200 --> 01:52:57.040]  After 1989, President Bush said, it's a phrase that I often use myself, that we needed a
[01:52:57.040 --> 01:52:58.040]  new world order.
[01:52:58.040 --> 01:53:04.200]  There is a chance in the President of the United States to use this disaster to carry
[01:53:04.200 --> 01:53:09.800]  out what his father, a phrase his father used, I think only once, and hasn't been used since,
[01:53:09.800 --> 01:53:11.320]  and that is a new world order.
[01:53:11.320 --> 01:53:17.040]  So that the problem of the Bush presidency will be the emergence of a new international
[01:53:17.040 --> 01:53:18.540]  order.
[01:53:18.540 --> 01:53:22.520]  Within the next four years, we will see the emergence of a new international order.
[01:53:22.520 --> 01:53:26.080]  The beginning, the beginning of a new international order.
[01:53:26.080 --> 01:53:30.680]  The pieces are in flux, soon they will settle again.
[01:53:30.680 --> 01:53:35.040]  Before they do, let us reorder this world around us.
[01:53:35.040 --> 01:53:42.680]  I think its task will be to develop an overall strategy for Americans in this period, when
[01:53:42.680 --> 01:53:49.280]  really a new world order can be created, it's a great opportunity, it isn't just a crisis.
[01:53:49.280 --> 01:53:52.760]  It's about the future of Europe and a new world order.
[01:53:52.760 --> 01:53:59.720]  There's a need for a new world order, but it has different characteristics in different
[01:53:59.720 --> 01:54:02.960]  parts of the world.
[01:54:02.960 --> 01:54:10.040]  Today, with Asia already outproducing Europe, India and China are clearly becoming part
[01:54:10.040 --> 01:54:12.040]  of our new order.
[01:54:12.040 --> 01:54:22.480]  We are now facing a coming challenge, and the challenge is how to build a world order
[01:54:22.480 --> 01:54:27.320]  for the first time in history on a global basis.
[01:54:27.320 --> 01:54:34.080]  So in conclusion, ladies and gentlemen, a new world is emerging, it is a new world
[01:54:34.080 --> 01:54:40.320]  order with significantly different and radically new challenges.
[01:54:40.320 --> 01:54:49.120]  The affirmative task we have now is to actually create a new world order.
[01:54:49.120 --> 01:54:54.760]  Good evening everybody, President Obama and British Prime Minister Gordon today calling
[01:54:54.760 --> 01:54:59.560]  for a new world order to tackle our global economic crisis.
[01:54:59.560 --> 01:55:04.640]  And the President outlined his vision of a new world order in which the US would participate
[01:55:04.640 --> 01:55:05.640]  fully.
[01:55:05.640 --> 01:55:10.320]  We've got to give them a stake in creating the kind of world order that I think all
[01:55:10.320 --> 01:55:11.320]  of us would like to see.
[01:55:11.320 --> 01:55:16.280]  So I see a world order in the future with a multi-polar world order.
[01:55:16.280 --> 01:55:20.920]  I think the new world order is emerging and with it the foundations of a new and progressive
[01:55:20.920 --> 01:55:23.720]  era of international cooperation.
[01:55:23.720 --> 01:55:29.760]  But in a globalized economy, we are going to have to take global responsibilities.
[01:55:29.760 --> 01:55:35.360]  And there is going to have to be some semblance of global governance.
[01:55:35.360 --> 01:55:41.040]  Never before has a new world order had to be assembled from so many different perceptions
[01:55:41.040 --> 01:55:46.880]  or on so global a scale, nor has any previous order had to combine the attributes of the
[01:55:46.880 --> 01:55:53.440]  historic balance of power system with global democratic opinion and the exploding technology
[01:55:53.440 --> 01:55:55.760]  of the contemporary period.
[01:55:55.760 --> 01:56:02.360]  And I surely believe India will be a central actor in the new world order.
[01:56:02.360 --> 01:56:08.400]  There also exists an extraordinary opportunity to form for the first time in history a truly
[01:56:08.400 --> 01:56:09.880]  global society.
[01:56:09.880 --> 01:56:15.600]  2009 is also the first year of global governance with the establishment of the G20 in the
[01:56:15.600 --> 01:56:18.400]  middle of the financial crisis.
[01:56:18.400 --> 01:56:24.320]  The climate conference in Copenhagen is another step towards the global management of our
[01:56:24.320 --> 01:56:25.320]  planet.
[01:56:25.320 --> 01:56:28.000]  New world order is the headline in the global mail in Canada.
[01:56:28.000 --> 01:56:30.120]  Is this global governance at last?
[01:56:30.120 --> 01:56:31.120]  Is it one world?
[01:56:31.120 --> 01:56:32.680]  The central bank is in charge.
[01:56:32.680 --> 01:56:36.120]  But aren't we all just living and dying for what the central banks do?
[01:56:36.120 --> 01:56:37.120]  Of course we are.
[01:56:37.120 --> 01:56:46.320]  We are absolutely slaves to central banks.
[01:56:46.320 --> 01:56:50.640]  Good oral health with our one of a kind super blue fluoride free products.
[01:56:50.640 --> 01:56:56.040]  Info Wars Life brings you a revolutionary toothpaste blend with iodine and nano silver
[01:56:56.040 --> 01:56:57.840]  designed to deliver a powerful clean.
[01:56:57.840 --> 01:57:02.320]  Enjoy a minty fresh flavor made with peppermint oil or try our bubblegum flavor.
[01:57:02.320 --> 01:57:07.200]  Pair this groundbreaking toothpaste with a super blue, fluoride free mouthwash and super
[01:57:07.200 --> 01:57:08.640]  charged your oral health.
[01:57:08.640 --> 01:57:13.880]  Our amazing mouthwash features natural oils and ancient ingredients used since Aboriginal
[01:57:13.880 --> 01:57:15.600]  and Biblical times.
[01:57:15.600 --> 01:57:20.120]  containing fluoride our super blue line is floated with the good halogen iodine
[01:57:20.120 --> 01:57:24.080]  and an array of other beneficial compounds that have been hand selected for
[01:57:24.080 --> 01:57:28.000]  their oral health benefits. Super blue fluoride free mouthwash and toothpaste
[01:57:28.000 --> 01:57:32.880]  are the first and only to contain all of these natural ingredients. Xylitol,
[01:57:32.880 --> 01:57:37.800]  nano silver and iodine. Notice the difference with our super blue fluoride
[01:57:37.800 --> 01:57:42.120]  free products. Refresh your breath and invigorate your oral health routine at
[01:57:42.120 --> 01:57:49.840]  infowarstore.com. That's infowarstore.com. You deserve a deep restful sleep with
[01:57:49.840 --> 01:57:55.080]  knockout by InfoWarsLife. Our organic formula is made from high quality
[01:57:55.080 --> 01:58:01.040]  natural ingredients such as valerian root extract, L-tryptophan, lemon balm
[01:58:01.040 --> 01:58:06.280]  leaf extract and melatonin. Knockout packs a powerful punch to get you through
[01:58:06.280 --> 01:58:10.200]  the night and achieve proper sleep. Millions of people around the world
[01:58:10.200 --> 01:58:15.320]  experience daytime drowsiness but with the rapid speed of life we need to be
[01:58:15.320 --> 01:58:20.240]  able to keep up the pace. Our natural mixture harnesses the power of 10 known
[01:58:20.240 --> 01:58:25.120]  ingredients to let your body relax and get the sleep you need. Wake up
[01:58:25.120 --> 01:58:29.600]  refreshed and take on the day. InfoWarsLife wants to bring you a sleep
[01:58:29.600 --> 01:58:33.720]  support formula that goes above and beyond other leading brands at an
[01:58:33.720 --> 01:58:37.920]  affordable price. Get the sleep you deserve and experience the power of
[01:58:37.920 --> 01:58:42.720]  knockout. Head on over to infowarslife.com and say goodbye to fatigue.
[01:58:42.720 --> 01:58:49.880]  That's infowarslife.com. After being sold out for months our best-selling
[01:58:49.880 --> 01:58:53.520]  super blue fluoride toothpaste is now back in stock at infowarstore.com. The
[01:58:53.520 --> 01:58:57.080]  first shipment of super blue sold out in one week. I thought it would be a six
[01:58:57.080 --> 01:59:00.480]  month supply for listeners and since then people are beating down our doors
[01:59:00.480 --> 01:59:04.760]  wanting to be able to resupply their super blue. Research across the board is
[01:59:04.760 --> 01:59:08.840]  clear. In fact it's certified. When bacteria infect your gums it can enter
[01:59:08.840 --> 01:59:11.880]  your bloodstream and if you contribute to blood clots and heart attacks. That's
[01:59:11.880 --> 01:59:16.240]  why the last surgeon general's report on oral health warns that your oral health
[01:59:16.240 --> 01:59:19.800]  can have a serious impact on your entire body. Super blue fluoride free
[01:59:19.800 --> 01:59:23.120]  toothpaste is a groundbreaking new formula. It's loaded with good halogen
[01:59:23.120 --> 01:59:27.320]  iodide so the bad halogen fluoride. Super blue contains natural oils and
[01:59:27.320 --> 01:59:31.520]  ingredients used in biblical times to help wipe out bad bacteria and eliminate
[01:59:31.520 --> 01:59:35.040]  bad breath. Just some of the ingredients in super blue chosen by our dental
[01:59:35.040 --> 01:59:40.200]  experts include xylitol, peppermint oil, iodide, nanosilver and more. Learn more
[01:59:40.200 --> 01:59:44.600]  about info wars life super blue toothpaste at infowarslife.com and
[01:59:44.600 --> 01:59:49.320]  support the info war while you support healthy gums and teeth.
[01:59:49.320 --> 02:00:02.480]  You're listening to the Alex Jones show.
