[00:00:09.372 --> 00:00:13.456]  The system isn't broken.
[00:30:52.476 --> 00:30:56.219]  Now 25% off for a limited time at InfoWarsStore.com
[00:30:59.938 --> 00:31:01.339]  Bodies is back!
[00:31:01.339 --> 00:31:08.743]  The ultimate tumeric product on the market has returned to Infowarsstore.com and is now 25% off for a limited time.
[00:31:08.743 --> 00:31:14.106]  Utilized for thousands of years, tumeric is one of the most studied medicinal herbs today.
[00:31:14.106 --> 00:31:21.771]  Hundreds of peer-reviewed scientific articles are published every year on the chemistry and therapeutic potential of tumeric and its active components.
[00:31:21.971 --> 00:31:32.961]  Turmeric bodies will reduce inflammation throughout the body, help boost and support flexibility, increase mobility, assist in joint function, bolster your immune system, and so much more.
[00:31:32.961 --> 00:31:44.732]  Regular turmeric from the store contains about 1-5% of the active ingredient curcuminoids, but our super powerful extract using bodies contains over 95% of the active ingredients in turmeric.
[00:31:44.972 --> 00:31:48.455]  No other product can compare with this curcuminoid delivery system.
[00:31:48.455 --> 00:31:52.298]  So if you want to put the true power of turmeric to the test, then look no further.
[00:31:52.298 --> 00:31:58.562]  Grab yourself a bottle today for 25% off at InfoWareStore.com and put your body at ease.
[00:31:59.875 --> 00:32:06.637]  When I tell you we have the ultimate bone broth, hands down, this is the most concentrated, high quality bone broth there is.
[00:32:06.637 --> 00:32:10.279]  Concentrated chicken broth, patented amazing.
[00:32:10.279 --> 00:32:19.782]  Then a huge dose of chaga mushroom, a massive dose of beet pollen, a gigantic dose of highest quality turmeric, and then it just gets crazier from there.
[00:32:19.782 --> 00:32:20.962]  It's about to sell out.
[00:32:20.962 --> 00:32:22.463]  We haven't had it in stock for years.
[00:32:22.463 --> 00:32:24.403]  This first new run is about to sell out.
[00:32:24.403 --> 00:32:25.404]  Get it discounted right now.
[00:32:26.397 --> 00:32:29.778]  40% off at InfoWarsTore.com, and it funds our operation.
[00:32:29.778 --> 00:32:40.261]  And once you get addicted to it, once you get blown away by it, once you feel your joints and your energy and your stamina accelerate, then become a regular customer for Bone Broth, InfoWarsTore.com.
[00:32:40.261 --> 00:32:48.724]  Whatever you do, spread the word about InfoWars, about the live show, and about all the other great products, because these are great products that empower your life, plus they fund our operation.
[00:32:48.724 --> 00:32:51.044]  Go to InfoWarsTore.com right now.
[00:32:51.044 --> 00:32:53.405]  We're selling out ultimate bone broth.
[00:32:54.045 --> 00:33:01.296]  At InfowarsStore.com, 40% off, about to sell out!
[00:33:01.296 --> 00:33:07.204]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones!
[00:33:22.009 --> 00:33:29.212]  Live from the Infowars.com studios, it's Alex Jones.
[00:33:29.212 --> 00:33:33.073]  And we are back live on the September 20th Wednesday broadcast.
[00:33:33.073 --> 00:33:34.194]  I'm your host Alex Jones.
[00:33:34.194 --> 00:33:36.135]  Thank you so much for joining us.
[00:33:36.135 --> 00:33:42.177]  We have some new breaking news that I warned of more than a decade because that's actually the Globalist's plan.
[00:33:42.177 --> 00:33:46.239]  And that is for New York City and other major cities in the U.S.
[00:33:46.239 --> 00:33:48.900]  to remove statues of George Washington.
[00:33:49.480 --> 00:33:52.041]  Because George Washington had slaves.
[00:33:52.041 --> 00:33:56.542]  Of course, George Washington helped set up a government and then set up a system that got rid of slavery.
[00:33:56.542 --> 00:33:57.842]  But that doesn't matter.
[00:33:57.842 --> 00:34:02.144]  It doesn't matter that slavery is currently going on in multiple African countries in the Middle East.
[00:34:02.144 --> 00:34:06.645]  It doesn't matter if a billion and a half Chinese are slaves or three million Uyghurs.
[00:34:06.645 --> 00:34:07.205]  No, no, no.
[00:34:07.205 --> 00:34:07.885]  They're all great.
[00:34:07.885 --> 00:34:08.805]  They're all good.
[00:34:08.805 --> 00:34:09.806]  America's bad.
[00:34:09.806 --> 00:34:13.487]  So get rid of the rebel flag and now let's get rid of the American flag.
[00:34:13.487 --> 00:34:14.187]  Now let's get rid of
[00:34:15.177 --> 00:34:16.618]  George Washington.
[00:34:16.618 --> 00:34:20.662]  Because the globalists see George Washington as the first American tyrant.
[00:34:20.662 --> 00:34:29.511]  Again, in the Greek philosophy, not the modern use, that he was a man of the people, a populist that organized the people, and that's the worst thing to the aristocracy.
[00:34:29.511 --> 00:34:38.019]  So now, in the year 2023, they are moving officially, after taking down Robert E. Lee, to go after George Washington.
[00:34:39.264 --> 00:34:42.505]  Then it's going to be Thomas Jefferson and everybody else.
[00:34:42.505 --> 00:34:43.865]  They have to demonize America.
[00:34:43.865 --> 00:34:57.409]  They have to get rid of the idea because the idea of freedom that we started that grew into something incredible is now basically being used against us by the globalists who want to set up a total corporate tyranny here on the planet Earth where we have no rights.
[00:34:57.409 --> 00:34:58.070]  We own nothing.
[00:34:58.070 --> 00:34:59.070]  We have nothing.
[00:34:59.070 --> 00:34:59.410]  We live in
[00:35:00.030 --> 00:35:02.731]  15-minute cities, we're all in a giant prison.
[00:35:02.731 --> 00:35:05.833]  They're building a huge prison around us.
[00:35:05.833 --> 00:35:08.254]  That's what the globalist operation is.
[00:35:08.254 --> 00:35:08.994]  You own nothing.
[00:35:08.994 --> 00:35:09.995]  You have nothing.
[00:35:09.995 --> 00:35:10.815]  You eat bugs.
[00:35:10.815 --> 00:35:12.536]  They launch giant wars.
[00:35:12.536 --> 00:35:14.076]  They fry you with 5G.
[00:35:14.076 --> 00:35:15.677]  They forcibly inject you.
[00:35:15.677 --> 00:35:16.978]  They own your body.
[00:35:16.978 --> 00:35:20.439]  This is the worst slavery ever even imagined.
[00:35:20.439 --> 00:35:24.341]  And it's being set up now by the Bill Gates and the Klaus Schwabs of the world.
[00:35:25.319 --> 00:35:28.521]  We owe a debt of gratitude to George Washington and Thomas Jefferson.
[00:35:28.521 --> 00:35:37.407]  But our enemies are alive today, moving against us, and using political correctness to destroy civilization, to destroy relationships between men and women.
[00:35:37.407 --> 00:35:39.268]  They're the ones smuggling millions of people.
[00:35:39.268 --> 00:35:41.089]  They're the ones involved in sex slavery.
[00:35:41.089 --> 00:35:42.430]  They're the ones at Epstein's Island.
[00:35:42.430 --> 00:35:43.751]  They're the problem.
[00:35:43.751 --> 00:35:45.612]  And anything they attack is the answer.
[00:35:46.272 --> 00:35:46.992]  All right.
[00:35:46.992 --> 00:35:51.093]  I'm going to turn the baton over right now to the great Owen Schroer.
[00:35:51.093 --> 00:35:52.734]  I'll be back in studio soon.
[00:35:52.734 --> 00:35:57.635]  Remember, only way this broadcast gets out is you share the links, share the video, share the clips.
[00:35:57.635 --> 00:35:59.155]  You're doing a great job.
[00:35:59.155 --> 00:36:01.676]  And now, Owen Schroer.
[00:36:01.676 --> 00:36:02.636]  All right.
[00:36:02.636 --> 00:36:07.597]  And how do you follow all of that up?
[00:36:07.597 --> 00:36:10.018]  Well.
[00:36:10.018 --> 00:36:11.018]  Maybe you expand on it.
[00:36:11.966 --> 00:36:15.969]  Or maybe you just go into the big breaking news that we have right now.
[00:36:15.969 --> 00:36:22.273]  Merrick Garland getting grilled in a House Committee hearing today.
[00:36:22.273 --> 00:36:27.677]  We've got some big bombshell clips from that.
[00:36:27.677 --> 00:36:41.486]  And it's pretty evident at this point that Merrick Garland will go down, if truth prevails, if justice prevails, if America prevails, that Merrick Garland will go down as the most corrupt
[00:36:43.863 --> 00:36:49.370]  Attorney General in the history of this country.
[00:36:49.370 --> 00:36:54.456]  A man who is truly corrupt and a weak man.
[00:36:54.456 --> 00:36:57.299]  And you can see that during the hearing today.
[00:36:57.299 --> 00:36:59.682]  And this is coming from one of his top targets.
[00:36:59.682 --> 00:37:00.243]  Yours truly.
[00:37:03.049 --> 00:37:06.591]  Who they want to incarcerate for my speech.
[00:37:06.591 --> 00:37:12.374]  Who he has teams listening to this show every day looking for anything I do that can be used against me in a court of law.
[00:37:12.374 --> 00:37:14.395]  I'm sorry, I should rephrase that.
[00:37:14.395 --> 00:37:20.939]  Anything I say that can be used against me in a court of law.
[00:37:20.939 --> 00:37:27.443]  Or rather, in these instances, a court of injustice.
[00:37:28.996 --> 00:37:31.877]  So we got a lot of those clips coming up for you.
[00:37:31.877 --> 00:37:36.600]  I'm probably going to start delving into those clips in the next segment.
[00:37:36.600 --> 00:37:39.721]  But it's Jim Jordan, it's Thomas Massey, it's Matt Gaetz.
[00:37:39.721 --> 00:37:54.849]  Of course it's the Republicans calling him out for the egregious injustice coming from the Injustice Department under Merrick Garland.
[00:37:54.849 --> 00:37:56.270]  But we got so much news today.
[00:37:57.666 --> 00:38:06.610]  And it's a good thing that I'm doing six hours of broadcasting here at InfoWars because there is so much news to get to.
[00:38:06.610 --> 00:38:15.914]  A lot is coming out and this ties into the Merrick Garland case where he's being questioned today by Congress.
[00:38:15.914 --> 00:38:20.296]  And I just happen to know some of the inside baseball because I've been a defendant.
[00:38:21.383 --> 00:38:25.466]  And my attorney Norm Pattis has defended other defendants.
[00:38:25.466 --> 00:38:27.767]  So we have a lot of discovery.
[00:38:27.767 --> 00:38:31.589]  We have a lot of trial experience.
[00:38:31.589 --> 00:38:39.274]  And let's just say, I'm not really going to be the one to present this to you.
[00:38:39.274 --> 00:38:41.496]  Julie Kelly has done a great job.
[00:38:41.496 --> 00:38:43.137]  Some other attorneys have done a great job.
[00:38:44.312 --> 00:38:56.560]  There's some other groups out there that are coalescing to really try to get this information out, but Merrick Garland confirms what had already come out in these court cases when we're dealing with January 6th.
[00:38:56.560 --> 00:38:57.181]  The U.S.
[00:38:57.181 --> 00:39:00.383]  government, and this is what has been argued in court, by the way,
[00:39:03.143 --> 00:39:10.589]  It's just these aren't my cases and you know I've been on extra special good behavior just to show you how corrupt the government is.
[00:39:10.589 --> 00:39:14.172]  You can be the best person you possibly can be and it doesn't matter to them.
