[00:00.000 --> 00:30.000]  That's the law required.
[36:15.260 --> 36:21.100]  I know we've got Sean in Australia, Chris in Canada, Linda, Joe, David, Linda, many others.
[36:21.100 --> 36:24.460]  I'm going to go to your calls here in a few minutes. Then we've got a very interesting
[36:24.460 --> 36:27.980]  guest joining us coming up in the next hour. But we will have open phones throughout the broadcast.
[36:28.620 --> 36:34.300]  And I've just got a host of things I want to cover. But we already talked about the communicable
[36:35.260 --> 36:39.740]  cancers. And they admit there's a lot of communicable cancers, communicable cancers in humans.
[36:39.740 --> 36:47.100]  But if you type into a search engine pharmacological crops, pharmacological crops,
[36:47.660 --> 36:53.740]  or pharma crops, you will learn that they have corn, they have other plants, but corn really
[36:53.740 --> 37:00.460]  works well, that grow chemicals in the corn. I mean, where the corn literally has different
[37:00.460 --> 37:06.380]  high tech, very expensive chemicals. I mean, that's what engineering can do now, where the
[37:06.380 --> 37:11.980]  plant will actually create little polyps of a different type of chemical or polyps of a
[37:11.980 --> 37:19.180]  particular type of AIDS virus, HIV virus, or different types of other pathogens or
[37:19.740 --> 37:25.500]  live agents or bacteria. Amazing what plants can do.
[37:28.140 --> 37:35.260]  And there are literally thousands of different varieties of genetically engineered plants,
[37:35.260 --> 37:41.020]  mainly food crops. And I remember seeing an article 10 years ago where the UN was
[37:41.020 --> 37:54.220]  funding studies of an HIV inoculation in a potato, or in corn, or hepatitis antibodies,
[37:54.220 --> 37:58.700]  or hepatitis virus that would then supposedly cause you to have the antibodies, a weakened
[37:58.700 --> 38:04.460]  hepatitis, or an altered hepatitis. And oh, we're going to bring it and plant it in Africa,
[38:04.540 --> 38:09.260]  and we're going to feed it to the people. But you know, all those Africans, they're ignorant.
[38:09.980 --> 38:15.900]  They will starve. They will refuse. They let it rot at the docks, the governments do,
[38:15.900 --> 38:22.540]  when the big free ships come in with the huge granaries filled with corn and wheat
[38:24.460 --> 38:29.100]  and all these other grains. They just won't eat it, those dumb Africans.
[38:29.100 --> 38:33.340]  Oh, the Africans, when the UN comes to give their children inoculations
[38:33.340 --> 38:38.380]  from Central Africa to the West Coast to the Sahara to Southern Africa and Zimbabwe,
[38:38.380 --> 38:44.700]  why they will run into the woods, they will run into the jungles. And then you can pull up
[38:44.700 --> 38:50.060]  articles where it says, but the UN has a mandate, so they pay the local soldiers and the local
[38:50.060 --> 38:56.380]  soldiers go and forcibly make the families come to sinners for their own good, and to the local
[38:56.380 --> 39:02.700]  sports stadiums, usually the soccer stadium, and then they lovingly inject them, those dumb
[39:02.700 --> 39:10.220]  Africans. They're just ignorant. Folks, 100 years ago, because I've read the accounts,
[39:11.500 --> 39:15.260]  I've read many National Geographics, I've read books on it, I go through different phases back
[39:15.260 --> 39:19.660]  when I had time to read. I read a lot of books about the English and the Dutch and others and
[39:19.660 --> 39:26.620]  French colonists 200 years ago, 300 years ago in Africa, 100 years ago. I mean, they would beg you
[39:26.620 --> 39:31.820]  to give them big medicine, because back then, let me tell you, the Western doctors didn't come with
[39:31.820 --> 39:37.980]  cancer virus and HIV virus-laden injections. And of course, again, the doctors themselves
[39:37.980 --> 39:41.980]  aren't part of it. They think they're giving them good medicine. I mean, the Africans, you know,
[39:41.980 --> 39:45.340]  they wanted the big medicine, because back then, the white man did have the big medicine.
[39:46.060 --> 39:51.420]  I mean, we're talking big medicine, ooga booga. And the witch doctors wanted to know
[39:52.540 --> 39:59.740]  what their big medicine was. Not anymore, folks, okay, because they're down to earth,
[39:59.740 --> 40:04.460]  and they know, you take that stuff, bad stuff starts happening. Village gets sick,
[40:05.420 --> 40:11.980]  village gets Ebola. Scientists, you know, big medicine men come, then most of village die.
[40:13.980 --> 40:19.180]  And those are the accounts now. They literally run screaming with their children in their arms,
[40:19.740 --> 40:26.700]  not the dumb Americans, not the know-it-all white bread yuppies, not the know-it-all blacks in
[40:26.700 --> 40:30.620]  America, not the know-it-all Mexicans, not the know-it-all, you know, the fat,
[40:30.620 --> 40:36.780]  dumb and happy Americans. We got it all figured out. By the way, in southern Mexico down there,
[40:36.780 --> 40:42.700]  with the Yucatan and other areas, those people won't take an inoculation. They run from it.
[40:42.700 --> 40:47.660]  They don't want the government's medicine, because they're not stupid, ladies and gentlemen.
[40:47.660 --> 40:53.500]  They can see that their baby takes a shot an hour later, is having convulsions, and word spreads,
[40:53.500 --> 40:58.860]  you don't take that stuff, okay? You don't take their medicine.
[41:02.620 --> 41:06.380]  So we can learn a little from the aboriginal people of Latin America,
[41:06.380 --> 41:10.860]  a little bit from the Africans, and a little bit from the tribes in Asia.
[41:11.980 --> 41:17.180]  Oh, they're just ignorant savages. They won't take it. They don't trust us. They did in the past,
[41:17.820 --> 41:22.860]  because they saw cause and effect. All right, I said I'd go to your call. This is important
[41:22.860 --> 41:32.300]  stuff here. With that said, let me just read one article. Now, again, this is in German medical
[41:32.300 --> 41:37.740]  journals. This is in university studies from China to Germany to England to the US. Remember,
[41:37.740 --> 41:42.620]  they don't put it all together in one article, though. On Monday, I was covering how this very
[41:42.620 --> 41:51.580]  BT corn has been conclusively linked in multiple studies to causing an intestinal change in the
[41:51.580 --> 41:56.140]  honeybee. Now, most insects won't eat this. It's a pesticide that if they do eat it, it'll kill them.
[41:57.980 --> 42:07.180]  Now, now, this is admitted. This is a pesticide in the plants, and it's not just in corn. Just
[42:07.180 --> 42:12.700]  corn is the most, corn and wheat, each year, neck and neck together of what is the biggest
[42:12.700 --> 42:16.780]  filler in foods, and the soybeans trying to rival it, coming in a close third.
[42:19.020 --> 42:22.860]  Point is, just go research it for yourself, please. I mean, you've been given the warning.
[42:22.860 --> 42:30.780]  Here it is. Monsanto GM corn, MON 863 shows kidney liver toxicity in animal studies. Now,
[42:32.380 --> 42:34.860]  again, I've interviewed all these top scientists over the years.
[42:34.860 --> 42:40.700]  Who told you the same thing? People were making millions of dollars a year. They were hot shots,
[42:40.700 --> 42:45.100]  and they would do the studies and go, wait a minute, we're feeding potatoes and corn and wheat
[42:45.100 --> 42:51.980]  that's been changed, and in almost every case, it causes massive organ failure in the rats,
[42:51.980 --> 42:58.220]  in the guinea pigs, in the other test subjects, in the monkeys, and it's causing major liver
[42:58.220 --> 43:07.420]  problems, and the rat's life expectancy is more than halved, and it's causing bizarre mutations,
[43:07.420 --> 43:12.060]  not generationally, but what they didn't think was possible in the animals during development.
[43:12.060 --> 43:18.860]  I mean, a rat's body won't grow as fast as it should, but the intestines will double in size.
[43:18.860 --> 43:24.060]  A lot of Crohn's-like type disorders. By the way, those are now major studies. Vaccines are
[43:24.060 --> 43:29.180]  massively linked, I'd say it's conclusive, but totally linked to Crohn's,
[43:30.620 --> 43:33.580]  where you have an autoimmune response and they've got to cut your guts out of you.
[43:35.500 --> 43:41.420]  So, let me continue. What you need to know, conventional view, the corn in question,
[43:41.420 --> 43:47.020]  MON 863 is made by the Monsanto company and approved for use in the Australia, Canada,
[43:47.020 --> 43:51.500]  China, the European Union, Japan, Mexico, Philippines, the United States. It has the
[43:51.500 --> 43:58.380]  gene inserted from the bacteria bacillus thrunigenesis, BT, which causes the plant
[43:58.380 --> 44:06.940]  cells to produce a pesticide. Now, let me just stop. A pesticide that kills bugs,
[44:08.940 --> 44:15.580]  gee, should we be eating that? Folks, they know most of the people can't tell you where Iraq is,
[44:15.580 --> 44:21.100]  how many continents there are, who their governor is, who the Speaker of the House is in their
[44:21.100 --> 44:25.580]  state, much less the federal level. They don't know who one of their city, maybe two of their
[44:25.580 --> 44:32.060]  city council members are. That's why you find out David Rockefeller and Jay Rockefeller, the
[44:32.060 --> 44:38.220]  governor, or the senator there in West Virginia, that's why you find out Prince Philip, they are
[44:38.220 --> 44:42.620]  obsessed. They have their own gardens, folks. They actually have their own food flown in.
[44:43.980 --> 44:47.180]  They literally eat, drink water that's been filtered like five times.
[44:48.060 --> 44:53.020]  Okay, I mean, they know, and it's the ultimate selfishness, they're doing this to all of us,
[44:53.020 --> 44:57.020]  the ultimate sickness. They should all be arrested immediately.
[44:58.780 --> 45:03.660]  Oh, man, I'm so angry at them, because you even try to get regular organic. It's hard.
