[00:00.000 --> 00:29.280]  It's for Wars, tomorrow's news, today.
[31:38.280 --> 31:39.280]  Polymob lock is back in stock.
[31:39.280 --> 31:41.280]  So is DNA force.
[31:41.280 --> 31:45.280]  So are some of the great products store wide free shipping and your purchase funds the info war.
[31:45.280 --> 31:48.280]  So that is a true 360 win.
[31:48.280 --> 31:50.280]  Get your Polymob lock today.
[31:50.280 --> 31:54.280]  40% off free shipping double patriot points infowarstore.com.
[31:54.280 --> 32:02.280]  And I know you're going to become a regular customer because everybody else has got it basically has this stuff really, really works.
[32:02.280 --> 32:30.280]  You're listening to the Alex Jones show.
[32:30.280 --> 32:59.280]  Ladies and gentlemen on this Thursday June 3rd transmission.
[32:59.280 --> 33:04.280]  All just slow down.
[33:04.280 --> 33:08.280]  Take a deep breath and cogitate meditate.
[33:08.280 --> 33:14.280]  Think about the fact of savor could be a word, but this isn't something I want to savor.
[33:14.280 --> 33:34.280]  So it is good, still painful that the entire globalist program of world government, neo feudalism, deindustrialization is coming off the rails.
[33:34.280 --> 33:45.280]  And I hardly ever drink soft drinks, but I was in such a good mood about this this morning that I got out of the refrigerator of Canada dry ginger ale.
[33:45.280 --> 33:47.280]  A nice childhood drink.
[33:47.280 --> 33:53.280]  I never do things like that, but just a little treat there, even though it's crap.
[33:53.280 --> 33:56.280]  And that's really a diversion from everything.
[33:56.280 --> 34:04.280]  It's just quite, quite a, quite a moment that we're in here.
[34:04.280 --> 34:08.280]  But you know what the wolf says in Pulp Fiction when they think they've gotten away, it's got free.
[34:08.280 --> 34:12.280]  He says, let's not start celebrating quite yet.
[34:12.280 --> 34:24.280]  He has a very crude way of saying that because while we're looking at the fact that globalists are in trouble and the fact that their system's falling apart.
[34:24.280 --> 34:27.280]  They do when their system was falling apart.
[34:27.280 --> 34:36.280]  A year and a half ago they released a bio weapon and then you used it for psychological fear to shut down the societies that were open and free.
[34:36.280 --> 34:51.280]  And so if you think they're going to give up, think again, they've got a lot of different plans on the drawing board that they've now been taking off the drawing board and going into beta.
[34:51.280 --> 34:55.280]  And I'm talking about final phase beta.
[34:55.280 --> 35:13.280]  And that has been all of these cyber attacks that have been taking place, shutting down meatpacking, shutting down major pipelines, shutting down major shipping systems.
[35:13.280 --> 35:23.280]  That is 100% the globalist system doing that and different countries as well joining in on it.
[35:23.280 --> 35:41.280]  The Russians, the Chinese are undoubtedly testing systems because there is a cold war taking place that is becoming a warmer and hotter war by the day.
[35:41.280 --> 35:50.280]  And so we could pour over the Fauci emails and pour over the head of his project admitting they were creating a five virus camera on video.
[35:50.280 --> 35:59.280]  Well, we played that months ago and we could look at, oh, they pulled his book because it's so embarrassing.
[35:59.280 --> 36:15.280]  It's on the top of Amazon and all the Barnes and Noble. The publishers did because it's Fauci coming out with his official story and with his perjury and it's a written record.
[36:15.280 --> 36:25.280]  Ten times worse than what he said three weeks ago in front of Senator Paul and that committee where he said, no one's ever done gain a function.
[36:25.280 --> 36:41.280]  I've never funded it. It wasn't happening at Wuhan when they name it gain a function and he orders gain a function and says I want gain a function on specific coronaviruses with gain a function specifically combining them.
[36:41.280 --> 36:54.280]  I mean, we have the director of it talking about what they did. We have Fauci funding it and saying he did it in writing and emails in the grants and in testimony in Congress six years ago.
[36:54.280 --> 37:09.280]  It'd be like somebody kidnapping a child off the street taking him to a basement and then slowly dissecting them while they're alive for a week with 50 HD cameras shooting footage of all of it.
[37:09.280 --> 37:26.280]  And then the serial killer calls the police and says I've killed the little girl and I dissected her and I ate her and then you have hundreds of hours of them doing this and then CNN turns around and says he didn't torture and eat the girl.
[37:26.280 --> 37:48.280]  I mean, it's that ridiculous. But you say why would they incriminate themselves? Why would they be out in the open because they were incriminating the NIH and the WHO and the Chinese and the US government because they're globalist that corrupt everyone so that everyone's to blame so they can continue on with the scientific takeover.
[37:48.280 --> 38:03.280]  What did they legalize last week? Last Tuesday, it was a minor blip on the radar. The United States of America in May of 2021.
[38:03.280 --> 38:19.280]  I'm getting chills. Human animal spliced clones. I told you been going on for 50 years. But they legalized it.
[38:19.280 --> 38:36.280]  Just like they said, hey, we could never get this gene therapy authorized because in all the studies with volunteers that killed most of them, blood clots and weird cancers and liquefying livers, strokes, heart attacks.
[38:36.280 --> 38:54.280]  You can go in and change genes on people all day. You can do all sorts of stuff. But then it's going to have some bad side effects like death. And what did they do? They got authorization under emergency authorization through all these governments because Bill Gates and Fauci went around over 30 years and spent hundreds of
[38:54.280 --> 39:15.280]  billions of dollars in U.S. taxpayer money they controlled to get control of over 150 national health services from Nigeria to Australia, from India to the United States, from Canada to Germany, from Mexico to Iceland, to Brazil.
[39:15.280 --> 39:29.280]  Bolsonaro doesn't even control the national medical service there. And that's how you dominate and that's how you take over. And so Fauci did it all out of the open.
[39:29.280 --> 39:49.280]  Just like Joe Biden got up a few years ago, what was it, 2018, on CNN, on C-SPAN, in a televised press conference and said they were investigating me for barisma in Ukraine.
[39:49.280 --> 40:07.280]  So I called up when I was vice president and I said there's a billion dollars being paid tonight. And if you keep that prosecutor on, you don't get a billion dollars. And some of the bits they called me an hour later, he was fired.
[40:07.280 --> 40:28.280]  Now, he didn't do that because he was senile then. He was still sharp. He did it to hide the crime in plain view. It is a con man operation with Haas, Richard and Haas, and those other white shoe boy Harvard mafia criminals.
[40:28.280 --> 40:38.280]  But there they are. And so that's where we are. And so what's in the cards? Massive cyber attacks to distract you.
[40:38.280 --> 40:57.280]  That's letting war with China, war in the Middle East, dollar fluctuations, and race war this summer, which they are in overdrive doing with look at the disparities in income and whites are racism, massacring blacks everywhere and white supremacy is the number one threat.
[40:57.280 --> 41:08.280]  White people are killing the black people. Do something, do something, stop the whites burn everything down now, hoping they can get black people to go out and be the cover for martial law by getting black folks to burn everything down.
[41:08.280 --> 41:26.280]  They are trying so hard, just like the famous Antifa documents we got from 2015 showed, where Obama planned martial law, having white Antifa go out in cities across the country like Maryland, like Baltimore, and getting them to stage the burning down of buildings.
[41:26.280 --> 41:29.280]  To use blacks as the cover for it.
[41:29.280 --> 41:42.280]  Unbelievable. So that's what we're facing. That's where we are with collapsing border. The Russians just dump the US dollar. The world is at war. And I'll tell you about the different factions and how I think we counter this when we come back.
[41:42.280 --> 41:58.280]  And from the vault, we've got info wars first on TV and radio, laying out not that he said it was a leak, but that it was deliberate. Last January, stay with us will be right by.
[41:58.280 --> 42:15.280]  Memorial Day 2021 is here. And that means store wide free shipping and double Patriot points at infowarstore.com. And on top of it, a lot of our best selling products that have been sold out for up to six months because of the COVID supply chain problems are finally back in stock.
[42:15.280 --> 42:22.280]  And that's a good thing because these are products that are really good for you and your family, good for your immune system, good for yourselves, good for your body.
[42:22.280 --> 42:33.280]  All of them are amazing, but DNA Force Plus is again the flagship. It's got the PQQ, the CoQ 10 and so much more. It helps your telemeters last longer. It cleans out your mitochondria.
[42:33.280 --> 42:43.280]  The list goes on and on. It is 40% off with free shipping and double Patriot points. That's an unprecedented deal. What else is back in stock?
[42:43.280 --> 42:58.280]  People are very excited to hear pollen block for seasonal discomfort for allergies. It's back in stock 40% off as well with a bunch of other items like alpha power and more at infowarstore.com free shipping and double Patriot points for Memorial Day.
[42:58.280 --> 43:24.280]  DNA Force Plus has been sold out for more than six months. It's our flagship product and it's something that every info wars listener and viewer needs. Whether you're young or old, it is incredible. But if you're over 40, especially you need it. The PQQ, the CoQ 10 and other key patented ingredients in this formula are designed to help your telemeters last longer, to regenerate DNA, to heal your mitochondria and so much more.
