[00:00:20.197 --> 00:00:22.038]  It's November 20th.
[00:26:32.639 --> 00:26:34.921]  They've got the evidence, it's gone.
[00:26:34.921 --> 00:26:36.322]  Forget about it.
[00:26:36.322 --> 00:26:38.763]  The FBI is not on our side.
[00:26:38.763 --> 00:26:41.205]  The CIA is not on our side.
[00:26:41.205 --> 00:26:43.747]  I'm debating whether the Department of Justice is on our side.
[00:26:43.747 --> 00:26:48.831]  So, if the CIA or the FBI or someone actually went in there and got those hard drives,
[00:26:49.651 --> 00:26:51.151]  It's gone, folks.
[00:26:51.151 --> 00:26:52.252]  It's gone.
[00:26:52.252 --> 00:26:54.012]  That's not a good thing.
[00:26:54.012 --> 00:26:55.192]  Alex Jones on the other side.
[00:26:55.192 --> 00:26:55.992]  Warning!
[00:26:55.992 --> 00:26:56.712]  Warning!
[00:26:56.712 --> 00:26:57.573]  Warning!
[00:26:57.573 --> 00:27:13.176]  There is not long to stop the complete martial law takeover, the giant third world collapse, and a new world war that is going to be triggered by the new COVID lockdown announced by globalist systems in Europe, in Asia, and now in the United States.
[00:27:14.136 --> 00:27:28.847]  Joe Biden is set to announce today that he has a new COVID task force that is calling for a national mask mandate to prove your servitude, contact tracing, forced inoculations coming, but most importantly, a new lockdown.
[00:27:29.668 --> 00:27:36.951]  That way he can say that Trump is to blame for COVID and claim that only a new lockdown will stop COVID.
[00:27:36.951 --> 00:27:42.953]  Then of course, when that new lockdown doesn't work, those of us that didn't submit to the lockdown are going to be blamed for it.
[00:27:42.953 --> 00:27:47.114]  And that's when all the mass arrests start sometime towards the end of next year.
[00:27:47.114 --> 00:27:49.695]  This is a permanent martial law plan.
[00:27:49.695 --> 00:27:54.557]  Trump must repudiate it, expose Fauci and Gates and the UN takeover, not play games with it.
[00:27:55.580 --> 00:28:00.043]  Two Info Wars best-selling products are now back in stock for being sold out for months.
[00:28:00.043 --> 00:28:06.206]  Bio-True Selenium from the mustard seed, essential in all electrochemical activity of the cells in the body.
[00:28:06.206 --> 00:28:08.067]  That's every human activity.
[00:28:08.067 --> 00:28:12.109]  And on top of it, Body's Ultimate Turmeric Formula with 95% Cucuminoid.
[00:28:13.610 --> 00:28:14.191]  We're good to go.
[00:28:34.468 --> 00:28:35.069]  We're good to go.
[00:29:06.260 --> 00:29:10.563]  Now it's easier than ever to have Band.Video on your iPhone.
[00:29:10.563 --> 00:29:14.066]  Simply go to Band.Video with your Safari browser.
[00:29:14.066 --> 00:29:17.328]  Then you click the Share button at the bottom of the screen.
[00:29:17.328 --> 00:29:20.871]  When the menu comes up, you simply click Add to Home Screen.
[00:29:20.871 --> 00:29:23.133]  It will then ask you to name the app.
[00:29:23.133 --> 00:29:24.534]  I suggest Band.Video.
[00:29:25.194 --> 00:29:30.676]  You will now have BAN.VIDEO app on your home screen, despite the fact that Tim Cook tried to stop it.
[00:29:30.676 --> 00:29:39.139]  The globalists think you're lazy, but by taking a little bit of action, you can override them, have the app, and then tell others about it so they can get the app.
[00:29:39.139 --> 00:29:46.981]  So it's up to you whether you want to defy big tech and click the share buttons below on your email, on Facebook, on Twitter, on YouTube, however you want.
[00:29:46.981 --> 00:29:48.662]  Be sure and share BAN.VIDEO.
[00:29:58.217 --> 00:30:00.820]  You're listening to The Alex Jones Show!
[00:30:18.445 --> 00:30:19.585]  Big Brother.
[00:30:19.585 --> 00:30:21.386]  Mainstream media.
[00:30:21.386 --> 00:30:23.267]  Government cover-ups.
[00:30:23.267 --> 00:30:24.968]  You want to stop tyranny?
[00:30:24.968 --> 00:30:26.628]  Well, so does he.
[00:30:26.628 --> 00:30:31.270]  Live from the InfoWars.com studios, it's Alex Jones.
[00:30:35.598 --> 00:30:40.543]  It's a very important article on Infowars.com that everyone needs to read.
[00:30:40.543 --> 00:30:42.465]  It's about sleepy Joe Biden.
[00:30:42.465 --> 00:30:52.354]  Biden claims support for national shutdown was hypothetical, just like shutting down fracking and oil and gas was hypothetical, even though Obama basically did that.
[00:30:53.382 --> 00:30:59.046]  And now he's saying, oh, he didn't mean it when he said he'd, quote, listen to the scientists if they said it and shut it down.
[00:30:59.046 --> 00:31:06.311]  He says he's going to shut some things down, but it's going to be calibrated so that he can shut the virus down.
[00:31:06.311 --> 00:31:07.832]  That's called doublespeak.
[00:31:07.832 --> 00:31:13.916]  The globalists want to shut us down, to bankrupt us, to get us into debt, to control us, to put everybody on welfare.
[00:31:13.916 --> 00:31:15.878]  That's their stated cloward pivot plan.
[00:31:16.758 --> 00:31:19.301]  And now they know Trump isn't conceding.
[00:31:19.301 --> 00:31:20.663]  They know the evidence of fraud is coming out.
[00:31:20.663 --> 00:31:33.899]  They know Americans know that he's totally unpopular, aka Biden, and that the fact that they understand he plans to put us back under total lockdown is energizing the public to resist that much more.
[00:31:33.899 --> 00:31:34.680]  And that's why Biden
[00:31:35.973 --> 00:31:38.656]  is so incredibly concerned.
[00:31:38.656 --> 00:31:50.690]  And that's why it's so important that you tell everyone you know that they now admit the Great Reset and Build Back Better is an admitted UN global government IMF World Bank plan.
[00:31:52.321 --> 00:31:52.581]  I think?
[00:32:08.428 --> 00:32:10.130]  This is war.
[00:32:10.130 --> 00:32:11.411]  This is discrimination.
[00:32:11.411 --> 00:32:12.352]  This is out of control.
[00:32:12.352 --> 00:32:14.234]  This is fraud.
[00:32:14.234 --> 00:32:16.416]  Go read it for yourself.
[00:32:16.416 --> 00:32:19.299]  Joe Biden couldn't get elected to the school board.
[00:32:19.299 --> 00:32:21.441]  Joe Biden's been a failure his whole life.
[00:32:21.441 --> 00:32:23.643]  Joe Biden has been a scam artist his whole life.
[00:32:23.643 --> 00:32:27.767]  Joe Biden is a communist Chinese agent and has been caught on record.
[00:32:27.767 --> 00:32:31.311]  Even if he won the election, which he clearly didn't, he is illegitimate.
[00:32:31.311 --> 00:32:31.731]  They said
[00:32:32.819 --> 00:32:36.100]  Trump was a Russian agent with no proof and tried to remove him.
[00:32:36.100 --> 00:32:39.522]  Ladies and gentlemen, then he said that he was meddling in Ukraine illegally.
[00:32:39.522 --> 00:32:40.382]  He wasn't.
[00:32:40.382 --> 00:32:44.304]  We have Joe Biden and his son on the Chinese Communist payroll.
[00:32:44.304 --> 00:32:50.086]  We have them with the electronic voting machines and the massive algorithmic fraud that does show up in all the numbers.
[00:32:50.626 --> 00:32:53.887]  And there's no way this person can be seen as the president.
[00:32:53.887 --> 00:32:59.288]  The globalists are arrogant, they're disconnected, and they have bitten off more than they can chew.
[00:32:59.288 --> 00:33:00.808]  Back to Owen Schroer.
[00:33:00.808 --> 00:33:08.449]  I'll be reporting live from the Capitol, coming up here in Georgia, as we battle to try to stop the governor from certifying the fraudulent election.
[00:33:08.449 --> 00:33:10.610]  You already heard it's been certified, it's not true.
[00:33:10.610 --> 00:33:18.671]  The state level, that re-ran the tabulation, running the same scam over again, has said it's certified, even though they found a bunch of new votes for Trump.
[00:33:19.994 --> 00:33:23.676]  We're calling for the legislature to be called in to do a real investigation.
[00:33:23.676 --> 00:33:25.337]  That's the constitutional angle.
[00:33:25.337 --> 00:33:28.819]  And Trump's also moving to get the legislature of Michigan to do it.
[00:33:28.819 --> 00:33:32.401]  And they've come out and said they found massive fraud at the Detroit level.
[00:33:32.401 --> 00:33:36.203]  And they have hundreds and hundreds of affidavits in dozens of counties.
[00:33:36.203 --> 00:33:37.844]  It's absolutely insane.
[00:33:37.844 --> 00:33:38.905]  They locked them up.
[00:33:38.905 --> 00:33:40.086]  They kicked the watchers out.
[00:33:40.964 --> 00:33:50.732]  From Georgia to Pennsylvania to Michigan, this is so incredibly obvious, just like all the other frauds, all the other scams that the globalists have run.
[00:33:50.732 --> 00:34:00.461]  And now they're so desperate to legitimize the mainstream media, to legitimize the Democrats, to protect themselves from the prosecution they would go under for selling America out, not just Biden.
[00:34:01.021 --> 00:34:04.723]  Ladies and gentlemen, welcome back into the InfoWars World Headquarters here in Austin, Texas.
[00:34:04.723 --> 00:34:06.464]  Alex Jones is on the road in Atlanta, Georgia.
[00:34:06.464 --> 00:34:07.785]  He will be at the state capitol.
[00:34:07.785 --> 00:34:09.305]  In fact, I believe he's at the state capitol
[00:34:30.253 --> 00:34:31.574]  Right now.
[00:34:31.574 --> 00:34:38.059]  And then of course tomorrow is the big rally in Atlanta, Georgia.
[00:34:38.059 --> 00:34:46.906]  I predict that Trump supporting American patriots will essentially surround the Capitol building there in downtown Atlanta.
[00:34:46.906 --> 00:34:49.088]  Of course, this is a nationwide
[00:34:50.134 --> 00:34:51.695]  Demonstration.
[00:34:51.695 --> 00:34:58.560]  People are going to their state capitals at noon every Saturday as part of this Stop the Steal demonstration.
[00:34:58.560 --> 00:35:05.725]  I'm also hearing major groups are organizing for another Million MAGA March on December 12th.
[00:35:05.725 --> 00:35:12.090]  I will be at the state capitol in Austin, Texas tomorrow at noon.
[00:35:12.090 --> 00:35:12.470]  Join me.
[00:35:13.831 --> 00:35:16.212]  People say, hey, well, you know, don't you know Trump won Texas?
[00:35:16.212 --> 00:35:17.033]  What are you doing?
[00:35:17.033 --> 00:35:23.296]  No, this is a United States of America protect our elections movement.
[00:35:23.296 --> 00:35:27.678]  This is a... Everyone has to get involved.
[00:35:27.678 --> 00:35:35.562]  Sure, they're trying to steal Georgia, Pennsylvania, Wisconsin, Michigan, Arizona, Nevada, but they're stealing our democracy.
[00:35:35.562 --> 00:35:39.864]  They're stealing our vote as a nation.
[00:35:39.864 --> 00:35:42.405]  So yes, everybody must get involved.
[00:35:43.663 --> 00:35:47.385]  I want to go to another video showing the complete voter fraud.
[00:35:47.385 --> 00:35:55.231]  And now you have Barack Obama making threats on national TV that I have a feeling is going to majorly backfire on him.
[00:35:55.231 --> 00:35:56.231]  So we'll have that coming up.
[00:35:56.231 --> 00:36:06.278]  But an individual who's getting retweeted by President Trump has put out multiple graphs of Wisconsin.
[00:36:08.121 --> 00:36:26.640]  And Michigan basically highlighting what I highlighted on the Stop the Steal Caravan, except really going into detail and showing the complete fraud when they get tranches and boxes and boxes and boxes of votes, mail-in ballots, magically hundreds of thousands, all for Biden and only Biden.
[00:36:26.640 --> 00:36:27.441]  Nothing suspicious.
[00:36:28.502 --> 00:36:31.784]  About that, and then he magically wins Wisconsin and Michigan.
[00:36:31.784 --> 00:36:34.166]  It's Justin Hart who's put all this out.
[00:36:34.166 --> 00:36:35.466]  Trump has retweeted it.
[00:36:35.466 --> 00:36:52.837]  This is all publicly available information, including a young individual who went and looked at the open data for the election results in Pennsylvania, and just on his own research, found what appeared to be about 100,000 illegal votes, all for Joe Biden.
[00:36:52.837 --> 00:36:55.039]  Again, this is all publicly available information.
