[00:00.000 --> 00:11.000]  There's a lot of controversy around this network about Alex Jones, for example.
[34:46.000 --> 34:49.000]  Now you just noticed that that was where clips from about a year ago
[34:49.000 --> 34:52.000]  of Jimmy Kimmel and people pointing a gun at me and saying,
[34:52.000 --> 34:54.000]  we got a message to you, Jones.
[34:54.000 --> 34:57.000]  Next, you know, it's going to be your blood.
[34:57.000 --> 35:00.000]  He now admits that he gets advice daily from Chuck E. Schumer
[35:00.000 --> 35:03.000]  and Hillary Clinton and George Soros to this day.
[35:03.000 --> 35:05.000]  Now it's not joking.
[35:05.000 --> 35:08.000]  It's now Alex Jones says no kids died and hates children.
[35:08.000 --> 35:10.000]  Alex Jones is a Nazi.
[35:10.000 --> 35:12.000]  They've upped the game.
[35:12.000 --> 35:14.000]  Then it's the lawsuits. Sue Trump.
[35:14.000 --> 35:16.000]  They're trying to break all of our wills.
[35:16.000 --> 35:18.000]  And then there's Hillary at Penn State,
[35:18.000 --> 35:22.000]  where the head of the university has been indicted and arrested
[35:22.000 --> 35:25.000]  for knowingly covering up what was going on there.
[35:25.000 --> 35:27.000]  Sandusky's son and many others.
[35:27.000 --> 35:32.000]  Sandusky was having sex with young children in the field house
[35:32.000 --> 35:35.000]  in the middle of the day.
[35:35.000 --> 35:38.000]  That's how rampant pedophilia is at Penn State.
[35:38.000 --> 35:42.000]  And by the way, I have insider sources and people in businesses
[35:42.000 --> 35:44.000]  that I know of.
[35:44.000 --> 35:48.000]  And it gets into the Duponts and, you know, all the things that
[35:48.000 --> 35:50.000]  he was into.
[35:50.000 --> 35:55.000]  But let me tell you, they told me the sources, multiple sources.
[35:55.000 --> 35:58.000]  They said, Alex, it's not just pedophilia.
[35:58.000 --> 36:01.000]  It's devil worship.
[36:01.000 --> 36:05.000]  Penn State is heavy, heavy, heavy, heavy, heavy, heavy,
[36:05.000 --> 36:07.000]  heavy, devil worship.
[36:07.000 --> 36:10.000]  All the ties.
[36:10.000 --> 36:15.000]  The Clinton family has to Penn State, big articles.
[36:15.000 --> 36:18.000]  Go look it up and put it on screen for TV viewers.
[36:18.000 --> 36:23.000]  The president indicted for child endangerment and knowing what
[36:23.000 --> 36:25.000]  was going on.
[36:25.000 --> 36:28.000]  They were running foundations for children, disadvantaged
[36:28.000 --> 36:30.000]  children.
[36:30.000 --> 36:33.000]  And then farming them out.
[36:33.000 --> 36:37.000]  And that's why Hillary hates me because I know about the
[36:37.000 --> 36:41.000]  Lolita Express and Epstein and the child kidnapping.
[36:41.000 --> 36:43.000]  That's all admitted.
[36:43.000 --> 36:46.000]  Former Penn State president, Ram Spencer, sentenced to jail for
[36:46.000 --> 36:51.000]  child endangerment and Jerry Sandusky abuse case.
[36:51.000 --> 36:54.000]  What a hideous, hideous organization.
[36:54.000 --> 36:56.000]  Just like the Vatican.
[36:56.000 --> 37:02.000]  You don't get at the top unless you are a child rapist, period.
[37:02.000 --> 37:05.000]  If you are a child molester, that gets you into the first level.
[37:05.000 --> 37:09.000]  You've got to do a lot more above that.
[37:09.000 --> 37:12.000]  Again, just like normal gangs, you've got to go rob a liquor store
[37:12.000 --> 37:14.000]  to get into really vicious gangs like the Crips.
[37:14.000 --> 37:15.000]  You've got to kill an innocent person.
[37:15.000 --> 37:17.000]  You've got to shoot an old lady.
[37:17.000 --> 37:22.000]  You've got to go in a liquor store and shoot the clerk.
[37:22.000 --> 37:25.000]  Three former Penn State officials get jail time for failure to
[37:25.000 --> 37:28.000]  report the child raping.
[37:28.000 --> 37:31.000]  And what was Hillary's first job as a lawyer, defending child
[37:31.000 --> 37:33.000]  kidnappers and rapists?
[37:33.000 --> 37:36.000]  That was her specialty.
[37:36.000 --> 37:42.000]  They had her in time life books in 1963 saying this woman will be
[37:42.000 --> 37:46.000]  president someday when she was at a JFK event and they just
[37:46.000 --> 37:48.000]  featured her in time life.
[37:48.000 --> 37:50.000]  I've got that original time life.
[37:50.000 --> 37:59.000]  When she just graduated high school, she just graduated high
[37:59.000 --> 38:02.000]  school and they had her in time life saying she'll be the president
[38:02.000 --> 38:05.000]  and then as soon as she gets her law degree, her specialty is
[38:05.000 --> 38:08.000]  defending child kidnappers.
[38:08.000 --> 38:12.000]  That's how you get the crew to trust you.
[38:12.000 --> 38:14.000]  Reportedly, her taste is not children.
[38:14.000 --> 38:21.000]  It's women.
[38:21.000 --> 38:24.000]  But you see, you've got to still be in the crew.
[38:24.000 --> 38:26.000]  And she's in the crew.
[38:26.000 --> 38:30.000]  She's on the crew.
[38:30.000 --> 38:34.000]  So it is a distinct honor to stand against these people with
[38:34.000 --> 38:37.000]  will and to know that I put everything on the line and I
[38:37.000 --> 38:39.000]  trust in Jesus Christ, my Lord and Savior.
[38:39.000 --> 38:42.000]  All you other people in media, all you other so-called
[38:42.000 --> 38:48.000]  conservatives, all you other so-called patriots, you shit back
[38:48.000 --> 38:53.000]  and you try to play it safe and that's why you couldn't change
[38:53.000 --> 38:54.000]  the world.
[38:54.000 --> 38:55.000]  Well, you know what?
[38:55.000 --> 38:56.000]  I'm no hero.
[38:56.000 --> 38:59.000]  I know these evil people don't like me because I don't have a
[38:59.000 --> 39:00.000]  dark heart.
[39:00.000 --> 39:04.000]  I got a strong red-blooded heart that loves justice and is
[39:04.000 --> 39:07.000]  willing to put everything I got on the line to stop these
[39:07.000 --> 39:08.000]  people.
[39:08.000 --> 39:12.000]  And you can see evil lining up around the block against us.
[39:12.000 --> 39:15.000]  You can see Hillary at Penn State saying how dare Trump be
[39:15.000 --> 39:18.000]  mean to Bezos and how the richest man in the world and how
[39:18.000 --> 39:21.000]  dare Trump be mean to the media that's trying to destroy him
[39:21.000 --> 39:23.000]  and lying about him and paying people to lie about him and
[39:23.000 --> 39:26.000]  all this crap when they're these big, giant taxpayer-funded
[39:26.000 --> 39:29.000]  monopolies.
[39:29.000 --> 39:30.000]  NBC got what?
[39:30.000 --> 39:32.000]  $5 billion in stimulus money?
[39:32.000 --> 39:33.000]  From Bush?
[39:33.000 --> 39:36.000]  Even more from Obama?
[39:36.000 --> 39:38.000]  You know what I could do with $5 billion in the media
[39:38.000 --> 39:41.000]  operation?
[39:41.000 --> 39:44.000]  You know what you could do?
[39:44.000 --> 39:46.000]  So the threats just get more intense.
[39:46.000 --> 39:47.000]  And here's the thing.
[39:47.000 --> 39:49.000]  I believe in you.
[39:49.000 --> 39:51.000]  I know you're strong and I know how far we've come.
[39:51.000 --> 39:53.000]  And I know we're getting a lot of new radio affiliates and a
[39:53.000 --> 39:57.000]  lot of new TV affiliates and a lot of big networks putting us
[39:57.000 --> 40:02.000]  on.
[40:02.000 --> 40:06.000]  Just looking at Hillary and the things she's done.
[40:06.000 --> 40:08.000]  You're a radio listener, you've got TV screens or on
[40:08.000 --> 40:10.000]  television and I just look at some of the stuff they put on
[40:10.000 --> 40:15.000]  screen and it makes me sick to know what monsters these are.
[40:15.000 --> 40:18.000]  And to see Hillary, this total sociopathic demon from the
[40:18.000 --> 40:21.000]  beginnings of her life just groveling at the feet of pure
[40:21.000 --> 40:23.000]  evil.
[40:23.000 --> 40:27.000]  Her dad was a well-known gangster, operator in Chicago.
[40:27.000 --> 40:29.000]  A capo.
[40:29.000 --> 40:34.000]  Her dad was a capo in the Daily Machine.
[40:34.000 --> 40:39.000]  He ran the vice departments, the compromising departments.
[40:39.000 --> 40:42.000]  He sent his little daughter in to work for pedophiles right
[40:42.000 --> 40:43.000]  out of college.
[40:43.000 --> 40:46.000]  Her specialty.
[40:46.000 --> 40:50.000]  We're talking brutal child rapist.
[40:50.000 --> 40:52.000]  And she doesn't want that talked about.
[40:52.000 --> 40:54.000]  You go look at her Twitter, it's all about women, women.
[40:54.000 --> 40:55.000]  I love women.
[40:55.000 --> 40:57.000]  And everything is about we're going to do it for women and
[40:57.000 --> 40:59.000]  women haven't gotten anywhere.
[40:59.000 --> 41:03.000]  And oh, they're only trying to shoot me down because I'm a woman.
[41:03.000 --> 41:05.000]  When we come back, we'll play the Milo clip.
[41:05.000 --> 41:07.000]  It's called a Nazi and chased out of the deal.
[41:07.000 --> 41:11.000]  And this Penn State speech she got perched up there at the
[41:11.000 --> 41:17.000]  main pedophile command base in the U.S.
[41:17.000 --> 41:19.000]  Anybody that I know has gone to Penn State.
[41:19.000 --> 41:20.000]  Great business school.
[41:20.000 --> 41:21.000]  You name it.
[41:21.000 --> 41:22.000]  Knows about it.
[41:22.000 --> 41:23.000]  Most of them aren't involved.
[41:23.000 --> 41:27.000]  You know, Trump went to the business school there.
[41:27.000 --> 41:29.000]  Wharton.
[41:29.000 --> 41:32.000]  Why do you think he knows where the bottom of the well is?
[41:32.000 --> 41:33.000]  Where the rabbit trail goes.
[41:33.000 --> 41:34.000]  I'm going to stop right there.
[41:34.000 --> 41:37.000]  If you want to send a message to these scumbags, do it every
[41:37.000 --> 41:40.000]  day, the videos, the articles in your email, in your private
[41:40.000 --> 41:44.000]  feeds, hand to hand, handing out cards with them full wars.com.
[41:44.000 --> 41:47.000]  I'm risking my life, my treasure, my name to do this because I
