[00:00:00.269 --> 00:00:01.230]  BREAKING THE CONDITIONING!
[00:24:05.345 --> 00:24:12.510]  Oh, but let's not listen to William Binney, former technical director of the NSA, or anybody else of these congressmen we have on.
[00:24:12.510 --> 00:24:19.054]  Let's listen to CNN and Media Matters saying, I hoaxed everyone and this had nothing to do with it.
[00:24:19.054 --> 00:24:24.318]  When, oh, I'm sorry, the CIA, you know, just said, hey, you're going on Alex's show today.
[00:24:24.318 --> 00:24:28.521]  You really need to cover this because this is the real memo.
[00:24:28.521 --> 00:24:30.902]  But just don't listen to us ever, of course.
[00:24:30.902 --> 00:24:33.944]  So you get next week's news today.
[00:24:33.944 --> 00:24:34.945]  So here's the big news.
[00:24:36.508 --> 00:24:42.951]  Again, they lied to get the three warrants when he was about to be nominated.
[00:24:42.951 --> 00:24:45.273]  It's all right here.
[00:24:45.273 --> 00:24:55.638]  When it was about to be nominated, then it happened again, once he was nominated, and then it happened when he became president-elect.
[00:24:55.638 --> 00:25:00.861]  Three different warrants to track everything, trying to find something, trying to get Russians in to see him.
[00:25:02.643 --> 00:25:04.184]  Okay, we have the memo now.
[00:25:04.184 --> 00:25:09.767]  It is posted on Infowars.com in the Kit Daniels article with that same headline.
[00:25:09.767 --> 00:25:12.168]  It just went live, just as I told you.
[00:25:12.168 --> 00:25:13.829]  We get it in the next 15 minutes.
[00:25:13.829 --> 00:25:16.150]  And here it is, Infowars.com.
[00:25:16.150 --> 00:25:21.853]  Hit refresh on the article that is on Infowars.com and you will be able to see the memo.
[00:25:21.853 --> 00:25:27.776]  But for TV viewers, document cam please, let's start going over this.
[00:25:27.776 --> 00:25:28.257]  And again,
[00:25:30.118 --> 00:25:31.838]  This has been released by the White House.
[00:25:31.838 --> 00:25:38.680]  They were telling us that Congress was going to be releasing it, our sources, and I guess they probably released their own copy.
[00:25:38.680 --> 00:25:44.301]  But this is on White House letterhead, February 2nd, Groundhogs Day, 2018.
[00:25:44.301 --> 00:25:47.221]  Here is the memo.
[00:25:47.221 --> 00:25:50.542]  And it is a detailed four-page memo.
[00:25:50.542 --> 00:25:55.623]  And just as we knew, it is unclassified sections.
[00:25:56.980 --> 00:26:12.064]  Detailing and tying it all together with the proof of the testimonies in Congress and then the perjury and then the lying to the federal court to get the document and to get the warrants, which is also perjury.
[00:26:12.064 --> 00:26:15.525]  We have them up one side and down the other.
[00:26:15.525 --> 00:26:17.766]  My friends, this is devastating.
[00:26:19.392 --> 00:26:22.694]  So now, Infowars.com, send the link out to everybody.
[00:26:22.694 --> 00:26:28.236]  Infowars.com forward slash show, or Facebook, Twitter, YouTube, wherever you're watching, or local radio stations, or TV stations.
[00:26:28.236 --> 00:26:32.478]  Tell your friends, your neighbors, your family, your co-workers, people that disagree with you.
[00:26:32.478 --> 00:26:38.441]  Go read this for yourself, because this is all, just looking at it, is exactly what we knew was there.
[00:26:38.441 --> 00:26:46.765]  How they did it, how they carried it out, where they perjured themselves, the crimes that have been committed, it's all laid out in a devastating four-page memo.
[00:26:48.362 --> 00:26:52.164]  Detailing the FISA court and then the public statements and all of it.
[00:26:52.164 --> 00:26:53.765]  This is incredible.
[00:26:53.765 --> 00:27:03.571]  So, the Honorable Devin Nunes, this is in the letterhead, the White House, Washington, February 2nd, 2018.
[00:27:03.571 --> 00:27:09.275]  The Honorable Devin Nunes, Chairman House Permanent Select Committee on Intelligence, United States Capitol.
[00:27:10.128 --> 00:27:17.417]  And boy, they're going after Nunes, calling it treason, saying they want him arrested, that he's getting all these debt threats, because the guy's a patriot and isn't selling the country out.
[00:27:17.417 --> 00:27:21.082]  We finally have some good men in Congress who've got huevos of steel.
[00:27:22.412 --> 00:27:35.858]  On January 29, 2018, the House Permanent Select Committee on Intelligence, hereafter the committee, voted to disclose publicly a memorandum containing classified information provided to the committee in connection with the oversight activities.
[00:27:35.858 --> 00:27:46.383]  Oh, by the way, we're now learning what Adam Schiff is saying is forgery because they took the memo and changed it into letterhead and fixed a typo from their original letter.
[00:27:46.383 --> 00:27:47.323]  That's now been confirmed.
[00:27:47.323 --> 00:27:51.725]  So, again, they're saying fraud is fixing a typo from one letter to what the White House put out.
[00:27:53.018 --> 00:27:55.099]  Let's continue with this incredible information.
[00:27:55.099 --> 00:28:08.785]  On January 29, 2018, the House Permanent Select Committee on Intelligence, hereafter the committee, voted to disclose publicly a memorandum containing classified information provided to the committee in connection with its oversight activities.
[00:28:08.785 --> 00:28:14.367]  The memorandum, which is attached to this letter, as provided by Clause 11G of Rule X of the House,
[00:28:16.607 --> 00:28:25.527]  Of representatives, the committee has forwarded this memorandum to the president based on its determination that the release of the memorandum should serve the public interest.
[00:28:26.584 --> 00:28:35.448]  The Constitution vests the President with the authority to protect national security secrets from disclosure, as the Supreme Court has recognized.
[00:28:35.448 --> 00:28:37.749]  It is the President's responsibility to classify and declassify.
[00:28:37.749 --> 00:28:39.110]  We're going to stop right there.
[00:28:39.110 --> 00:28:44.712]  When we come back, they're laying out the legal precedent for them to even release this memo, because they knew they'd come after him for it.
[00:28:44.712 --> 00:28:50.615]  And then they get into a basic breakdown, and then key exhibit points that will now be released to the public.
[00:28:51.175 --> 00:28:58.884]  Stay with us as we read the memo that strikes fear into the deep state and the multinational criminal combines burrowed inside our government.
[00:28:59.406 --> 00:29:06.171]  Water is the single most important thing your body needs, so you want to be sure it's the best for you and your family.
[00:29:06.171 --> 00:29:10.454]  Since 2005, thousands have depended on Berkey Purified Water.
[00:29:10.454 --> 00:29:15.058]  The Berkey guy provides the lowest price filtration systems in every size.
[00:29:15.058 --> 00:29:20.582]  For incredibly delicious water now and in an emergency, get to GoBerkey.com or call 877-886-3653.
[00:29:20.582 --> 00:29:20.742]  877-886-3653.
[00:29:20.742 --> 00:29:21.102]  GoBerkey.com.
[00:29:29.209 --> 00:29:34.331]  The answer to being in control of your own health care is freedom from insurance.
[00:29:34.331 --> 00:29:40.033]  Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[00:29:40.033 --> 00:29:45.234]  Individual share amounts begin at $107 a month and $347 for families.
[00:29:45.234 --> 00:29:47.195]  Choose from three health sharing programs.
[00:29:47.195 --> 00:29:49.576]  Holistic treatments may be eligible for sharing.
[00:29:49.576 --> 00:29:50.516]  See guidelines.
[00:29:50.516 --> 00:29:53.797]  Discount programs available for dental, vision, and pharmacy.
[00:29:53.797 --> 00:29:55.758]  Go to LibertyOnCall.org.
[00:29:55.758 --> 00:29:57.299]  That's LibertyOnCall.org.
[00:30:02.216 --> 00:30:20.627]  Over a year in the making, produced by one of the top organic firms in the country, that if you want proven studies and documentation, and I can speak for hours just on the files I have here, of what this is proven to do, the ingredients in this, this is the ultimate immune system boost for this time of year, any time of the year.
[00:30:20.627 --> 00:30:26.911]  But immune wall is incredible, and folks, other formulas that aren't even as good are $70, $80.
[00:30:26.911 --> 00:30:28.272]  It's a great deal at $39.
[00:30:28.272 --> 00:30:30.854]  Immune wall, beta-glucans, olive leaf,
[00:30:31.494 --> 00:30:33.035]  And so much more.
[00:30:33.035 --> 00:30:34.395]  It is concentrated.
[00:30:34.395 --> 00:30:36.216]  You need to go read what is in here.
[00:30:36.216 --> 00:30:41.938]  The mushroom blend of the most expensive, highest quality mushrooms that just incredibly accelerate.
[00:30:41.938 --> 00:30:43.138]  A citrus peel blend.
[00:30:43.138 --> 00:30:45.159]  I mean, this is the next level.
[00:30:45.159 --> 00:30:47.760]  It's now available, ladies and gentlemen, Immune Wall.
[00:30:47.760 --> 00:30:49.181]  I think it's beyond seasonal.
[00:30:49.181 --> 00:30:51.562]  Beta, glucan, olive leaf, and more.
[00:30:51.562 --> 00:30:52.262]  Immune Wall.
[00:30:52.262 --> 00:30:53.702]  Infowarsstore.com.
[00:30:53.702 --> 00:30:54.863]  Infowarslife.com or 888-253-3139.
[00:31:00.177 --> 00:31:03.659]  InfoWars Live is bringing you a breakthrough in modern medicine.
[00:31:03.659 --> 00:31:15.165]  We have found extraordinary new natural way to help alleviate seasonal distress symptoms including promoting clear nasal and sinus passageways, eye comfort and respiratory health and normal breathing.
[00:31:15.165 --> 00:31:16.086]  This is pollen blood.
[00:31:17.086 --> 00:31:29.730]  In the 1960s, researchers in France noticed that people who ate certain quail eggs from specific farms experienced less seasonal distress symptoms like runny nose, itchy watery eyes, and excessive mucous production.
[00:31:29.730 --> 00:31:34.052]  They began studying the effects in published trials, in their published trials.
[00:31:34.052 --> 00:31:38.053]  Now we are introducing the fruit of the research, a fast-acting chewable tablet,
[00:31:38.533 --> 00:31:48.620]  Just chew two tablets at the first sign of seasonal distress, and Fast-Acting Pollen Block starts working in about 15 minutes to help alleviate seasonal distress.
[00:31:48.620 --> 00:31:51.762]  Enjoy the air you breathe naturally with Fast-Acting Pollen Block.
[00:31:51.762 --> 00:31:55.965]  Available now at Infowarslife.com or by calling toll-free.
[00:31:55.965 --> 00:31:56.005]  888-253-3139.
[00:32:00.646 --> 00:32:05.350]  President Trump is expected to swiftly declassify the controversial FISA memo.
[00:32:05.350 --> 00:32:14.137]  The news comes after the FBI issued a rare public statement saying it had grave concerns about its release, which could be detrimental to national security.
[00:32:14.137 --> 00:32:20.383]  FBI Director Christopher Wray is reportedly pressuring the White House to redact all names in the memo prior to its release.
[00:32:20.703 --> 00:32:22.324]  So much for transparency.
[00:32:22.324 --> 00:32:27.549]  Congressman Jeff Duncan says the release of the FISA memo will shake the FBI to its core.
[00:32:27.549 --> 00:32:35.796]  He revealed that the document exposes how the agency was weaponized by Hillary Clinton and the Obama administration to spy on the Trump campaign.
[00:32:35.796 --> 00:32:39.379]  Representative Adam Schiff has tried to block the release of the damning FISA memo.
[00:32:39.599 --> 00:32:40.579]  You're listening to the Alex Jones Show!
[00:33:31.610 --> 00:33:33.071]  You're receiving this transmission.
[00:33:33.071 --> 00:33:35.333]  You are receiving this transmission.
[00:33:35.333 --> 00:33:37.414]  You are the resistance.
[00:33:37.414 --> 00:33:39.816]  It's Alex Jones.
[00:33:39.816 --> 00:33:54.507]  We're not playing around with the resistance to globalism, communism, pedophilia, the globalists, the narcissistic filth, the communist Chinese, the NWO, Hollywood, the disgusting, filthy NFL.
[00:33:54.507 --> 00:33:57.249]  All of them go back to hell where it came from.
[00:33:57.249 --> 00:33:58.090]  We're knocking them dead.
[00:34:01.283 --> 00:34:05.584]  We have the memo, and I've had a chance to look over it during the break.
[00:34:05.584 --> 00:34:10.065]  It's exactly what our congressional sources said it was.
[00:34:10.065 --> 00:34:19.568]  And you first got the White House two pages describing why Donald F. McDonnell, the second counsel to the president, decided that the president was going to authorize its release.
[00:34:19.568 --> 00:34:23.969]  And they state via the executive branch, their executive power to release it if they wish.
[00:34:23.969 --> 00:34:28.150]  They're calling it treason that the president's released it, claiming it's illegal.
[00:34:28.150 --> 00:34:29.251]  You've got New York State.
[00:34:30.228 --> 00:34:37.950]  Claiming that Fed's getting rid of the exemption above $10,000 for property taxes or income taxes.
[00:34:37.950 --> 00:34:40.291]  State income taxes is illegal and they're suing over that.
[00:34:40.291 --> 00:34:41.411]  It's pure crap.
[00:34:41.411 --> 00:34:44.712]  There's no precedent in law anywhere.
[00:34:44.712 --> 00:34:46.693]  And they were arrogant about the memo a few weeks ago.
