[00:00.000 --> 00:05.000]  You'll find, I think, that it'll work more than just on heart problems and circulation problems.
[01:41:03.480 --> 01:41:07.760]  it wouldn't be able to knock out columns further back and cut them off perfectly while not knocking
[01:41:07.760 --> 01:41:13.080]  down columns that were right up against the truck, just very close to the truck.
[01:41:13.080 --> 01:41:14.880]  It goes through all of that.
[01:41:14.880 --> 01:41:21.240]  It's just so many facets, this fits with everything we know and the research that we've done here.
[01:41:21.240 --> 01:41:23.600]  Let's go ahead and take another call.
[01:41:23.600 --> 01:41:26.440]  Let's go to Paula in Florida.
[01:41:26.440 --> 01:41:27.760]  Paula, you're on the air.
[01:41:27.760 --> 01:41:28.760]  Welcome.
[01:41:28.760 --> 01:41:29.760]  Hi, Alex.
[01:41:29.760 --> 01:41:36.600]  I saw the thing about the North American Union and the other one from Switzerland and it
[01:41:36.600 --> 01:41:40.160]  looks like they were trying to say all this is being done for economic reasons.
[01:41:40.160 --> 01:41:42.600]  Oh, it's going to help you to have a North American Union.
[01:41:42.600 --> 01:41:43.600]  It's going to be wonderful, yes.
[01:41:43.600 --> 01:41:44.600]  Yeah, sure.
[01:41:44.600 --> 01:41:48.200]  Just like NAFTA helped us, the big giant sucking sound that Ross Perot talked about.
[01:41:48.200 --> 01:41:49.200]  Yeah.
[01:41:49.200 --> 01:41:50.200]  Well, it's Ron Paulinus.
[01:41:50.200 --> 01:41:52.600]  He's still going to put that resolution through.
[01:41:52.600 --> 01:41:56.920]  He has introduced legislation to pull us out of NAFTA and GATT and the SPP Security and
[01:41:56.920 --> 01:41:58.400]  Prosperity Partnership.
[01:41:58.400 --> 01:42:02.000]  He's introduced legislation to abolish the Federal Reserve and he is running for president.
[01:42:02.000 --> 01:42:04.160]  I appreciate your call, Paula.
[01:42:04.160 --> 01:42:07.240]  Now shifting gears when we get back in the final segment, we'll take a few calls from
[01:42:07.240 --> 01:42:08.800]  the North American Union.
[01:42:08.800 --> 01:42:12.800]  For those that don't know, in March of 2005, President Bush with Canadian Prime Minister
[01:42:12.800 --> 01:42:18.800]  Paul Martin and Mexican President Vicente Fox secretly, the details of the agreement
[01:42:18.800 --> 01:42:24.280]  are still secret, signed the Security and Prosperity Partnership.
[01:42:24.280 --> 01:42:31.400]  Then last year, the SPP met in September in Western Canada and Judicial Watch sued and
[01:42:31.400 --> 01:42:34.320]  got the documents from the Department of Labor.
[01:42:34.320 --> 01:42:36.360]  They couldn't get the documents from the Justice Department.
[01:42:36.360 --> 01:42:37.680]  They refused to release them.
[01:42:37.680 --> 01:42:42.280]  We have the minutes of the main meeting where the first thing, the heads of our government,
[01:42:42.280 --> 01:42:45.960]  Canadian and Mexican governments say is we've got to keep this secret that it's a North
[01:42:45.960 --> 01:42:48.160]  American Union from the American people.
[01:42:48.160 --> 01:42:50.720]  This is at judicialwatch.org.
[01:42:50.720 --> 01:42:54.520]  We've written articles on it, WorldNet Daily has, Human Events has, a few other major
[01:42:54.520 --> 01:42:59.000]  publications have, but the Lou Dobbs has talked about it, but that's it.
[01:42:59.000 --> 01:43:03.160]  Imagine a secret agreement, almost two years ago Bush signed, they meet in secret last
[01:43:03.160 --> 01:43:08.960]  September again, and the whole meeting is about keeping it secret from the public and
[01:43:08.960 --> 01:43:13.160]  how to set up a North American Union carbon tax and how to do it stealthily.
[01:43:13.160 --> 01:43:18.400]  Well, now, Canada.com, Canadian Free Press, one of their biggest publications reports,
[01:43:18.400 --> 01:43:23.040]  North America political leaders meet in Ottawa and you read it and it says they're meeting
[01:43:23.040 --> 01:43:26.880]  to deflect criticism and tell everybody it's okay and they would just want to harmonize
[01:43:26.880 --> 01:43:29.800]  our laws, police and military to keep us all safe.
[01:43:29.800 --> 01:43:35.200]  We'll break it down when we give back, but you got the general public, they call their
[01:43:35.200 --> 01:43:38.360]  congressmen or women and they say it doesn't exist.
[01:43:38.360 --> 01:43:41.960]  This has no authority over this, they've been kept completely in the dark.
[01:43:41.960 --> 01:43:44.320]  Most bills aren't even read, did you know that?
[01:43:44.320 --> 01:43:48.560]  Well, there was never even a bill brought forward, they're just doing all of this.
[01:43:48.560 --> 01:43:53.200]  All right, we'll be right back on the other side of the final segment.
[01:43:53.200 --> 01:43:55.920]  I'm Alex Jones, your host, stay with us.
[01:43:55.920 --> 01:44:10.160]  Are you concerned about the high cost of prescription drugs?
[01:44:10.160 --> 01:44:16.160]  Since January of 2006, RxDrugCard.com members have saved an average of $33 per prescription
[01:44:16.160 --> 01:44:18.920]  film that's over 46% savings.
[01:44:18.920 --> 01:44:22.880]  The average savings for generic drugs was over 71%.
[01:44:22.880 --> 01:44:27.120]  RxDrugCard.com is the only major discount prescription drug plant that offers a price
[01:44:27.120 --> 01:44:31.640]  lookup page, so you can get an idea of your discounted price before you enroll.
[01:44:31.640 --> 01:44:36.480]  RxDrugCard.com is for anyone who pays for their own prescriptions, there are no age restrictions,
[01:44:36.480 --> 01:44:41.280]  all prescriptions are covered and 95% of all pharmacies in the US participate, including
[01:44:41.280 --> 01:44:44.520]  Walmart, Walgreens, CVS Pharmacy and many more.
[01:44:44.520 --> 01:44:49.560]  With RxDrugCard.com you will save immediately with no messy forms or paperwork.
[01:44:49.560 --> 01:44:54.800]  The fees start at only $4.50 per month and include a 30-day unconditional money-back
[01:44:54.800 --> 01:44:55.800]  guarantee.
[01:44:55.800 --> 01:45:05.360]  Visit us at www.rxdrugcard.com or call us at 888-216-2461, that's 888-216-2461.
[01:45:05.360 --> 01:45:06.520]  Do it today!
[01:45:06.520 --> 01:45:10.480]  Are you looking for a one-stop shop to find all your favorite books and videos?
[01:45:10.480 --> 01:45:15.480]  Look no further, Northern Voice bookstore has everything you need, hundreds of titles
[01:45:15.480 --> 01:45:20.440]  from self-defense, survival and financial freedom, to history, politics, conspiracy
[01:45:20.440 --> 01:45:23.240]  and everything you need to know about the New World Order.
[01:45:23.240 --> 01:45:28.880]  You can order everything you need on the web 24 hours a day at NorthernVoiceBookstore.com
[01:45:28.880 --> 01:45:34.920]  or send $2 far latest catalog to Northern Voice Bookstore, Post Office Box 281, Wildwood
[01:45:34.920 --> 01:45:37.440]  PA 15091.
[01:45:37.440 --> 01:45:41.640]  Northern Voice Bookstore offers a broad range of different perspectives and believes strongly
[01:45:41.640 --> 01:45:45.800]  that the American people need alternative sources of information in order to understand
[01:45:45.800 --> 01:45:47.560]  the society they live in today.
[01:45:47.560 --> 01:45:51.800]  You won't find a better selection of books or videos anywhere, so make Northern Voice
[01:45:51.800 --> 01:45:54.080]  Bookstore your bookstore.
[01:45:54.080 --> 01:46:00.080]  Visit us online at NorthernVoiceBookstore.com or send $2 far latest catalog to Northern
[01:46:00.080 --> 01:46:07.040]  Voice Bookstore, PO Box 281, Wildwood PA 15091.
[01:46:07.040 --> 01:46:11.960]  Are you in sales or do you own your own business, if so I want you to think of a number.
[01:46:11.960 --> 01:46:14.080]  Think of the amount of money you'd like to make this year.
[01:46:14.080 --> 01:46:15.080]  Do you have it?
[01:46:15.080 --> 01:46:16.640]  Okay, so what's stopping you?
[01:46:16.640 --> 01:46:21.080]  It's not your drive, it's not your skills, chances are it's your ability to find new
[01:46:21.080 --> 01:46:22.080]  leads.
[01:46:22.080 --> 01:46:23.080]  It's not easy.
[01:46:23.080 --> 01:46:25.640]  But what if someone had already done the work for you?
[01:46:25.640 --> 01:46:29.320]  What if with one phone call you could get your hands on as many new sales leads as you
[01:46:29.320 --> 01:46:32.880]  could handle and actually make that number you have in your head?
[01:46:32.880 --> 01:46:34.560]  It's not too good to be true.
[01:46:34.560 --> 01:46:39.000]  As sales genie, the largest provider of the most up-to-date sales leads mailing lists
[01:46:39.000 --> 01:46:44.000]  and business credit reports, and they want to give you 100 sales leads absolutely free.
[01:46:44.000 --> 01:46:48.000]  No matter what you're selling or who you're selling to, sales genie has the sales leads
[01:46:48.000 --> 01:46:52.560]  and mailing lists you need, and right now they'll give you 100 sales leads absolutely
[01:46:52.560 --> 01:46:53.560]  free.
[01:46:53.560 --> 01:46:59.680]  Call sales genie at 1-800-451-3580 and get 100 sales leads for free.
[01:46:59.680 --> 01:47:07.120]  Call 1-800-451-3580, 1-800-451-3580.
[01:47:07.120 --> 01:47:11.000]  According to a recent report by the National Institute of Health, high blood pressure is
[01:47:11.000 --> 01:47:14.960]  a major risk factor for heart disease and the chief risk factor for stroke and heart
[01:47:14.960 --> 01:47:15.960]  failure.
[01:47:15.960 --> 01:47:19.320]  It affects about 50 million Americans, that's one in four adults.
[01:47:19.320 --> 01:47:22.960]  Because many people have high blood pressure for years without knowing it, the American
[01:47:22.960 --> 01:47:25.520]  Heart Association calls it the silent killer.
[01:47:25.520 --> 01:47:29.480]  At ResearchedHerbs.com, we recognize your concern for your well-being.
[01:47:29.480 --> 01:47:33.680]  As your online partner in health, we are committed to empowering you with the resources you need
[01:47:33.680 --> 01:47:36.840]  to make informed health decisions about high blood pressure.
[01:47:36.840 --> 01:47:41.840]  Visit us online at ResearchedHerbs.com to learn more about heart care, the widely researched
[01:47:41.840 --> 01:47:46.680]  natural herbal supplement for regulating blood pressure and maintaining optimum heart health.
[01:47:46.680 --> 01:47:51.000]  Did you know that the safety and effectiveness of heart care is backed by over 100 clinical
[01:47:51.000 --> 01:47:52.840]  trials and experimental studies?
[01:47:52.840 --> 01:48:01.280]  Act now, visit us online at ResearchedHerbs.com or call us at 1-800-845-3841 to start protecting
[01:48:01.280 --> 01:48:03.280]  yourself from the silent killer.
[01:48:03.280 --> 01:48:06.280]  That's 1-800-845-3841.
[01:48:06.280 --> 01:48:13.280]  Thank you for listening to GCN.
[01:48:13.280 --> 01:48:19.680]  Visit GCNLive.com today.
[01:48:19.680 --> 01:48:31.640]  Trushing through the lies and disinformation, it's Alex Jones.
[01:48:31.640 --> 01:48:34.040]  We're here every Sunday, 4 to 6 p.m. Central.
[01:48:34.040 --> 01:48:35.520]  It's 5 to 7 Eastern.
[01:48:35.520 --> 01:48:40.120]  I want to thank all of our affiliate sponsors, listeners, the great folks running the show,
[01:48:40.120 --> 01:48:41.640]  Paul and Trey.
[01:48:41.640 --> 01:48:44.440]  All right, I want to go to your calls.
[01:48:44.440 --> 01:48:46.560]  John and the Netherlands, Paul and Bass Drop and others.
[01:48:46.560 --> 01:48:49.120]  We're going to go to your calls here in just a few minutes.
[01:48:49.120 --> 01:48:53.720]  At the Security and Prosperity Partnership, SPP, the agreement between Mexico and Canada
[01:48:53.720 --> 01:49:00.800]  is secret, but then we got the four-year documents from last year's meeting in January.
[01:49:00.800 --> 01:49:02.000]  Thanks to Judicial Watch.
[01:49:02.000 --> 01:49:03.400]  The whole thing's about secrecy.
[01:49:03.400 --> 01:49:05.160]  They say it's the North American Union.
[01:49:05.160 --> 01:49:08.920]  The chairman of the thing is Robert Pasture from the Council on Fine Relations who's written
[01:49:08.920 --> 01:49:12.120]  towards North American integration, towards the North American Union.
[01:49:12.120 --> 01:49:14.640]  They have meetings on C-SPAN and admitted to that in the past.
[01:49:14.640 --> 01:49:16.080]  That's how we know about it.
[01:49:16.080 --> 01:49:19.840]  Looks like the European Union started as a so-called trade deal.
[01:49:19.840 --> 01:49:25.000]  Now, this is from the Canadian press.
[01:49:25.000 --> 01:49:27.920]  It says, North American political leaders meet in Ottawa.
[01:49:27.920 --> 01:49:32.640]  The North American ministers deflected criticism that they had consulted only big business for
[01:49:32.640 --> 01:49:36.760]  their talks on trade and security rules, suggesting Friday that there are different venues for
[01:49:36.760 --> 01:49:39.960]  public interest and labor groups to raise their concerns and suggestions.
[01:49:39.960 --> 01:49:42.040]  That's because of last year's meeting in secret.
[01:49:42.040 --> 01:49:45.480]  And it's three leaders from each country, the Secretary of State, the military leader,
[01:49:45.480 --> 01:49:50.720]  and their Homeland Security leader or the same designate office meet and make the decisions.
[01:49:50.720 --> 01:49:53.080]  And they say, oh, this way the bureaucracy doesn't hold it up.
[01:49:53.080 --> 01:49:54.200]  You mean the Congress?
[01:49:54.200 --> 01:49:56.800]  You mean the Parliament's?
[01:49:56.800 --> 01:49:57.800]  Just incredible.
[01:49:57.800 --> 01:50:00.120]  Now, listen to this and read between the lines.
[01:50:00.120 --> 01:50:04.800]  The SPP was struck by leaders of the three countries in 2005, secretly, I would add,
[01:50:04.800 --> 01:50:06.280]  to enhance the continent's competitiveness.
[01:50:06.280 --> 01:50:08.560]  Oh, it'll be so good for us.
[01:50:08.560 --> 01:50:14.240]  But for at least the first year, received little attention with their dry talk on regulations
[01:50:14.240 --> 01:50:15.640]  and cutting down on paperwork.
[01:50:15.640 --> 01:50:19.280]  Recently, nationalist groups and politicians in Canada and the United States have raised
[01:50:19.280 --> 01:50:24.480]  alarm bells over the lack of formal consultation with either civil society or legislatures.
[01:50:24.480 --> 01:50:27.680]  And you've got to go, this is a 10 page report from the Canadian Free Press.
[01:50:27.680 --> 01:50:29.180]  It's a good report.
[01:50:29.180 --> 01:50:32.800]  Some of the issues that the ministers discussed during their meetings included finalizing a
[01:50:32.800 --> 01:50:37.400]  North American plan for dealing with the flu pandemic, that means a martial law grid, and
[01:50:37.400 --> 01:50:41.760]  another on a common regulatory environment in all three countries.
[01:50:41.760 --> 01:50:42.760]  That means laws.
[01:50:42.760 --> 01:50:43.760]  Harmonizing laws.
[01:50:43.760 --> 01:50:44.760]  Continental integration.
[01:50:44.760 --> 01:50:46.440]  Continental integration is what it's called.
[01:50:46.440 --> 01:50:50.120]  That could include common food safety rules, that's already happening.
[01:50:50.120 --> 01:50:51.840]  That's part of the animal ID.
[01:50:51.840 --> 01:50:56.920]  Canadians, as Canada regularly, currently has more stringent rules for four to five products.
[01:50:56.920 --> 01:51:01.880]  That's the Codex Alimentarius banning most over-the-counter vitamins and total regulation.
[01:51:01.880 --> 01:51:03.120]  Right there.
[01:51:03.120 --> 01:51:08.600]  Insiders say the value of the SPP is that it puts the weight of ministers and national
[01:51:08.600 --> 01:51:12.160]  leaders behind projects that might normally languish for years among bureaucrats.
[01:51:12.160 --> 01:51:14.920]  You mean the legislatures and parliaments.
[01:51:14.920 --> 01:51:15.920]  Those aren't bureaucracies.
[01:51:15.920 --> 01:51:16.920]  You are.
[01:51:16.920 --> 01:51:20.320]  The issue of public consultation was at least identified during their meetings.
[01:51:20.320 --> 01:51:23.720]  In the final statement released by the ministers, they said they discussed the importance of
[01:51:23.720 --> 01:51:27.720]  transparency and communication with stakeholders and the public.
[01:51:27.720 --> 01:51:29.240]  Stakeholders means the corporations that are global.
[01:51:29.240 --> 01:51:31.640]  When you hear of that, run for the hills.
[01:51:31.640 --> 01:51:37.040]  In DP leader, Jack Layton raised the issue during Friday's question period in the comments.
[01:51:37.040 --> 01:51:40.760]  The fact is, these discussions are worrisome to all Canadians.
[01:51:40.760 --> 01:51:44.600]  They have been incredibly secret from the get-go, and there has been little public input late
[01:51:44.600 --> 01:51:45.600]  and set.
[01:51:45.600 --> 01:51:49.360]  The government has not sought out the opinion of parliament or the public on it.
[01:51:49.360 --> 01:51:52.360]  Of course, the conservatives think they know best.
[01:51:52.360 --> 01:51:57.440]  Talking about the fake government is not conservative, and it just goes on and on, folks.
[01:51:57.440 --> 01:52:01.840]  So now they're having to go public with it, but spending and claiming it's for the economy.
[01:52:01.840 --> 01:52:08.000]  No, it was the three leaders of each country over the infrastructure meeting last year
[01:52:08.000 --> 01:52:12.640]  with over 200 CEOs to lobby, basically, and discuss the payoffs.
[01:52:12.640 --> 01:52:17.440]  This is racketeering, this is criminal, and Lou Dobbs has said it, not just Alex Jones.
[01:52:17.440 --> 01:52:19.840]  Let's talk to John in the Netherlands.
[01:52:19.840 --> 01:52:20.840]  You're on the air.
[01:52:20.840 --> 01:52:21.840]  Welcome.
[01:52:21.840 --> 01:52:22.840]  Yeah, well, great show.
[01:52:22.840 --> 01:52:23.840]  Alex.
[01:52:23.840 --> 01:52:24.840]  Thank you.
[01:52:24.840 --> 01:52:25.840]  I'm a big fan of you.
[01:52:25.840 --> 01:52:27.520]  Yes, I'm from the Netherlands.
[01:52:27.520 --> 01:52:28.520]  My name is John Kuhlers.
[01:52:28.520 --> 01:52:32.000]  You have Queen Beatrix, the third most rich person on earth, yes.
[01:52:32.000 --> 01:52:33.000]  I know.
[01:52:33.000 --> 01:52:34.000]  I know.
[01:52:34.000 --> 01:52:36.000]  I just want to expose her, too, in the Netherlands.
[01:52:36.000 --> 01:52:43.920]  I do my job well, listen, we have on the Wikipedia, we have a page concerning the Oklahoma City
[01:52:43.920 --> 01:52:49.640]  bombing, and if you look at the section on conspiracy theories, I want to hear your response
[01:52:49.640 --> 01:52:50.640]  to that.
[01:52:50.640 --> 01:52:51.640]  I looked at that just two nights ago.
[01:52:51.640 --> 01:52:56.280]  It says a few people think they're stupid conspiracies, but there's a few people.
[01:52:56.280 --> 01:52:57.280]  Oh, yes.
[01:52:57.280 --> 01:52:58.280]  Just a few people.
[01:52:58.280 --> 01:52:59.280]  Just a few people in other facts.
[01:52:59.280 --> 01:53:06.280]  I don't know if that congressman in 2006, Dana R. Bacher, I don't know if you've pronounced
[01:53:06.280 --> 01:53:09.360]  it well, but she mentioned on CNN that there's nothing wrong with adding to a conspiracy
[01:53:09.360 --> 01:53:11.800]  theory when there might be a conspiracy fact.
[01:53:11.800 --> 01:53:15.840]  No, he's the guy that, it's a male, he went and he's in the affidavit.
[01:53:15.840 --> 01:53:17.560]  He went and interviewed Nichols.
[01:53:17.560 --> 01:53:20.800]  The government shielded this because they're scared to death.
[01:53:20.800 --> 01:53:21.800]  Wow.
[01:53:21.800 --> 01:53:28.280]  I found it interesting, you know, this Oklahoma bombing sitting was being broadcast on local
[01:53:28.280 --> 01:53:33.120]  television and to them on exposure TV in 1995.
[01:53:33.120 --> 01:53:37.440]  So we were very fast in exposing all the information that was available then.
[01:53:37.440 --> 01:53:38.440]  And yes.
[01:53:38.440 --> 01:53:41.400]  So it was on your television then how there were bombs inside and all that?
[01:53:41.400 --> 01:53:42.400]  Yes.
[01:53:42.400 --> 01:53:46.440]  Yes, including that there were a bomb expert explaining there must be two bombs including
[01:53:46.440 --> 01:53:50.360]  the former head of Air Force weapons development and countless others.
[01:53:50.360 --> 01:53:54.840]  Look, this all came out in the grand jury and the FBI came to the grand jury foreman's
[01:53:54.840 --> 01:53:59.840]  house and put their hands on their guns and said, shut up or it's over for you.
[01:53:59.840 --> 01:54:04.840]  Including that they can actually registrate if there's a tiny earthquake, you know, you
[01:54:04.840 --> 01:54:05.840]  need to define it.
[01:54:05.840 --> 01:54:10.440]  It showed the classic demolition boom, boom, boom, boom, boom, exactly.
[01:54:10.440 --> 01:54:11.440]  And they can see that.
[01:54:11.440 --> 01:54:15.560]  University of Oklahoma US Geological Survey, two separate seismograph systems picked up
[01:54:15.560 --> 01:54:16.560]  the same signature.
[01:54:16.560 --> 01:54:17.560]  Yes.
[01:54:17.560 --> 01:54:21.320]  And that's what convinced me that there's more going on than only one bomb.
[01:54:21.320 --> 01:54:24.920]  Well, I have the actual seismograph reports, it's incredible.
[01:54:24.920 --> 01:54:25.920]  Yes.
[01:54:25.920 --> 01:54:30.640]  I still, you know, that was my eye opener that the media is controlled and, you know,
[01:54:30.640 --> 01:54:33.360]  we have to have an alternative media.
[01:54:33.360 --> 01:54:37.320]  I think we have a great slogan that we are the media.
[01:54:37.320 --> 01:54:40.560]  We are the media, the mainstream media is controlled, but the mainstream media is having
[01:54:40.560 --> 01:54:44.200]  to let more and more of this come out now because they're becoming obsolete.
[01:54:44.200 --> 01:54:46.600]  They're not even in the game anymore.
[01:54:46.600 --> 01:54:52.360]  Their viewers, their readers, their listeners are imploding, alternative media is exploding.
[01:54:52.360 --> 01:54:55.240]  Let's go ahead and take another call here.
[01:54:55.240 --> 01:54:58.280]  Let's talk to Joe in Ohio.
[01:54:58.280 --> 01:54:59.280]  Then we'll go to Paul.
[01:54:59.280 --> 01:55:00.280]  Go ahead, Joe.
[01:55:00.280 --> 01:55:06.120]  Alex, in less than 60 days, Mexican is going to cut 100 trucking companies to run free
[01:55:06.120 --> 01:55:07.120]  in our country.
[01:55:07.120 --> 01:55:11.040]  Yeah, that came out in the AP yesterday that they're going to have, quote, you know, these
[01:55:11.040 --> 01:55:12.040]  companies.
[01:55:12.040 --> 01:55:16.120]  Sir, they've had Mexican trucks driving the LinkedIn breads of the country for at least
[01:55:16.120 --> 01:55:17.120]  three years.
[01:55:17.120 --> 01:55:18.880]  We're in the North American Union.
[01:55:18.880 --> 01:55:19.880]  It's happening.
[01:55:19.880 --> 01:55:22.720]  The state police have been told, you know, leave them alone.
[01:55:22.720 --> 01:55:24.560]  They're going to be under different rules.
[01:55:24.560 --> 01:55:26.920]  It's just the destruction of our country.
[01:55:26.920 --> 01:55:30.080]  But now they're announcing it to the public, kind of like they passed the law of the National
[01:55:30.080 --> 01:55:31.680]  ID card two years ago.
[01:55:31.680 --> 01:55:36.880]  Now they're getting around to announcing it on the news.
[01:55:36.880 --> 01:55:40.280]  Go ahead and comment on that if you like.
[01:55:40.280 --> 01:55:41.880]  They're driving junk there.
[01:55:41.880 --> 01:55:46.840]  The guys are running three, three, three drivers to a truck, they're cutting holes in the bottom
[01:55:46.840 --> 01:55:47.840]  of the sleeper.
[01:55:47.840 --> 01:55:50.720]  Well, sir, it's just like Bank of America and Wells Fargo.
[01:55:50.720 --> 01:55:54.720]  No ID needed to get a bank account, but if you're a citizen, three forms of ID and the
[01:55:54.720 --> 01:55:58.800]  state police, this even came out in Tennessee last year, they were told, leave them alone.
[01:55:58.800 --> 01:55:59.800]  This is the new America.
[01:55:59.800 --> 01:56:00.800]  Okay.
[01:56:00.800 --> 01:56:04.360]  If it helps destroy the country and the sovereignty, the police in the system are told, give them
[01:56:04.360 --> 01:56:05.360]  a go.
[01:56:05.360 --> 01:56:07.920]  You know, a get out of jail free card.
[01:56:07.920 --> 01:56:11.400]  American citizens are the fat, dumb and happy cattle that'll take anything.
[01:56:11.400 --> 01:56:12.400]  So we're going to get it.
[01:56:12.400 --> 01:56:13.400]  We're going to get anything.
[01:56:13.400 --> 01:56:17.120]  We're going to have the president sign secret agreements to destroy our country and we're
[01:56:17.120 --> 01:56:18.760]  supposed to all just shut up about it.
[01:56:18.760 --> 01:56:23.280]  And yes, I know how junky these trucks are and the problems they're causing.
[01:56:23.280 --> 01:56:24.280]  It makes me sick.
[01:56:24.280 --> 01:56:25.800]  All right, Alex, you're doing a great job.
[01:56:25.800 --> 01:56:26.800]  Keep it up.
[01:56:26.800 --> 01:56:27.800]  Thank you.
[01:56:27.800 --> 01:56:28.800]  I appreciate your call.
[01:56:28.800 --> 01:56:29.800]  Let's talk to Paul and Bastrop, final caller.
[01:56:29.800 --> 01:56:30.800]  You're on the air.
[01:56:30.800 --> 01:56:31.800]  Paul, go ahead.
[01:56:31.800 --> 01:56:32.800]  Good evening, Alex.
[01:56:32.800 --> 01:56:36.600]  You know, a lot of this is becoming so, so transparent.
[01:56:36.600 --> 01:56:42.680]  I mean, it's been transparent to me for years, starting with the Waco and a little before
[01:56:42.680 --> 01:56:43.680]  that.
[01:56:43.680 --> 01:56:52.280]  Surely we have somebody on the national figure, possibly a presidential candidate, that's willing
[01:56:52.280 --> 01:56:59.640]  to blow this all up because I think we're at, anywhere between 35 and 60% of the people
[01:56:59.640 --> 01:57:01.320]  realize this is going on.
[01:57:01.320 --> 01:57:02.860]  They know the open borders.
[01:57:02.860 --> 01:57:04.960]  We know about the North American Union.
[01:57:04.960 --> 01:57:10.600]  We know about Waco, Oklahoma, we're a little fuzzy on 9-1-1, we're a little fuzzy on, but
[01:57:10.600 --> 01:57:12.840]  it's so transparent.
[01:57:12.840 --> 01:57:17.200]  Surely a national figure can rise and challenge it.
[01:57:17.200 --> 01:57:20.600]  Well, they could kill a national figure or he could dive a heart attack or it could be
[01:57:20.600 --> 01:57:25.520]  struck by a bolt of lightning, but an idea, as V says, is bulletproof.
[01:57:25.520 --> 01:57:27.800]  Ideas and the truth cannot be stopped.
[01:57:27.800 --> 01:57:29.400]  You know, here's the analogy.
[01:57:29.400 --> 01:57:34.320]  $20 of the truth can destroy a trillion dollars or $20 trillion of lies.
[01:57:34.320 --> 01:57:39.280]  And we're going to win and this idea of liberty and freedom and reality cannot be defeated.
[01:57:39.280 --> 01:57:42.640]  And thanks to folks like you out there, sir, we're going to win with God's help.
[01:57:42.640 --> 01:57:44.200]  We'll keep up the good work.
[01:57:44.200 --> 01:57:45.200]  Thank you, sir.
[01:57:45.200 --> 01:57:46.200]  I'll try.
[01:57:46.200 --> 01:57:47.200]  Help us.
[01:57:47.200 --> 01:57:48.200]  Go to prisonplanet.com.
[01:57:48.200 --> 01:57:49.200]  Get our Oklahoma City reports.
[01:57:49.200 --> 01:57:50.200]  Get the documents.
[01:57:50.200 --> 01:57:51.200]  Get them out of the four wins.
[01:57:51.200 --> 01:57:54.840]  Message boards, MySpace, calling to talk radio, calling to drudge tonight, calling to be on
[01:57:54.840 --> 01:57:55.840]  the Beltway.
[01:57:55.840 --> 01:57:56.840]  Coming up next.
[01:57:56.840 --> 01:57:57.840]  I mean, I want to hear you.
[01:57:57.840 --> 01:57:58.840]  Call them to be on the Beltway.
[01:57:58.840 --> 01:58:01.000]  Whatever subject they're talking about and working in.
[01:58:01.000 --> 01:58:02.000]  Call in.
[01:58:02.000 --> 01:58:03.000]  Get aggressive.
[01:58:03.000 --> 01:58:04.000]  Start your own websites.
[01:58:04.000 --> 01:58:05.000]  What about Terror Storm?
[01:58:05.000 --> 01:58:06.000]  I mean, $100,000 film.
[01:58:06.000 --> 01:58:08.480]  Put it out on Google video for free.
[01:58:08.480 --> 01:58:11.040]  I may not be able to do that with the next one because it's going to go broke, but you
[01:58:11.040 --> 01:58:14.640]  know, Terror Storm, history, government sponsored terror, Terror Storm, Google it.
[01:58:14.640 --> 01:58:19.600]  Google the road to tyranny to see the newscast and the footage of them taking the bombs out
[01:58:19.600 --> 01:58:24.520]  or go to infowars.com and buy the DVDs, the high quality DVDs so you can make copies
[01:58:24.520 --> 01:58:26.480]  of those and get them out and support us a little bit.
[01:58:26.480 --> 01:58:27.480]  All right.
[01:58:27.480 --> 01:58:30.160]  We're about to end this transmission, ladies and gentlemen.
[01:58:30.160 --> 01:58:31.480]  It is a real honor to be here.
[01:58:31.480 --> 01:58:32.480]  It's scary to do this.
[01:58:32.480 --> 01:58:35.880]  It's scary to cover these topics, but I've got to do it.
[01:58:35.880 --> 01:58:40.160]  I mean, I learned about this stuff back in college and I'm, for now, 12 years, almost
[01:58:40.160 --> 01:58:41.160]  13 years.
[01:58:41.160 --> 01:58:42.160]  I'm 33 now.
[01:58:42.160 --> 01:58:46.160]  I've been doing this a long time and I want my family to grow up and live in a safe, free
[01:58:46.160 --> 01:58:47.160]  society.
[01:58:47.160 --> 01:58:49.320]  See you back same time next week, 4 to 6 central.
[01:58:49.320 --> 01:58:57.360]  God bless you all.
[01:58:57.360 --> 01:59:01.680]  It's no secret that Genesis Communications Network depends on listeners like you.
[01:59:01.680 --> 01:59:04.480]  Now you can do even more to hear Genesis shows in your area.
[01:59:04.480 --> 01:59:09.160]  Simply call your local radio stations and tell them about your favorite GCN programs.
[01:59:09.160 --> 01:59:10.160]  It's easy.
[01:59:10.160 --> 01:59:16.480]  Log on to GCNLive.com or call us toll free 877-807-4048.
[01:59:16.480 --> 01:59:17.480]  Make a difference.
[01:59:17.480 --> 01:59:22.760]  Call your local stations and contact us through affiliate relations at GCNLive.com or call
[01:59:22.760 --> 01:59:26.000]  877-807-4048.
[01:59:26.000 --> 01:59:28.120]  Call today.
[01:59:28.120 --> 01:59:31.160]  Are your Federal Reserve notes looking for a safe haven?
[01:59:31.160 --> 01:59:36.880]  Mine found it in precious metals, not paper promises, but actual gold in my possession.
