[00:00.000 --> 00:04.000]  Forgive me, I have scammed.
[33:54.000 --> 34:02.000]  And of course, Gerald Salenty's publication is Trends Journal. So we want to see what Gerald sees ahead for 2017.
[34:02.000 --> 34:09.000]  We've seen a lot of optimism after the election. I want to talk about the pushback on free speech.
[34:09.000 --> 34:18.000]  I want to talk about the reaction that Hillary Clinton is having, and I want to talk about two different aspects of the reaction to free speech.
[34:18.000 --> 34:23.000]  Let me finish with what I was talking about just before we went to the break, which is this report from Kit Daniels.
[34:23.000 --> 34:34.000]  A report from an insider saying that drunk Hillary is demanding a recount to, quote, lift her spirits. Maybe she's going from first lady to bag lady.
[34:34.000 --> 34:41.000]  You know, wallowing in herself pity alcohol the gutter, but with mountains of cash to comfort her.
[34:41.000 --> 34:50.000]  They say this is a Clinton insider said she's weepy. She looks 10 years older. She's very whiny. She's been drinking wine pretty heavily, much more than usual.
[34:50.000 --> 34:56.000]  She's been around all day swimming in a sea of recriminations and complaining that her campaign managers were incompetent.
[34:56.000 --> 35:03.000]  Bill and Chelsea didn't work hard enough. FBI Director Comey was in league with Trump. It's not her fault.
[35:03.000 --> 35:10.000]  It's all these other people. It's this vast right wing and now a vast left wing conspiracy against her as well.
[35:10.000 --> 35:14.000]  Everybody has conspired to deny her her lifelong ambitions.
[35:14.000 --> 35:25.000]  Sorry, Hillary. You know, I was I've said many times I never thought that we would get Hillary in jail, but I thought we could if we defeated her, then it would be a punishment worse than jail.
[35:25.000 --> 35:30.000]  And maybe that's happening. I just can't contain. I'm sorry.
[35:30.000 --> 35:41.000]  Anyway, additionally, they say President Obama, who pressured Clinton to concede to Trump on election night, also encouraged her to jump on board Jill Stein's recount effort to make the globalist look less defeated, said the source.
[35:41.000 --> 35:47.000]  He said the president felt the progressives were acting stunned and helpless and had to rise out of their stupor.
[35:47.000 --> 35:55.000]  Contesting the results of the election was the best and fastest way to stir the morale and the fighting spirit of a demoralized party.
[35:55.000 --> 36:01.000]  He is a community organizer. He works with all these people that are surrounded by George Soros folks.
[36:01.000 --> 36:07.000]  And this whole thing is an effort to try to delegitimize the election seriously.
[36:07.000 --> 36:14.000]  This is the tactic and we've pointed this out from the very beginning. As soon as they started the riots, like, oh, this looks like a color revolution from George Soros.
[36:14.000 --> 36:27.000]  What do they do? They always paint the victor as corrupt, as racist as well, not racist, but authoritarian because in other parts of the world, they don't really have that is not the central leverage.
[36:27.000 --> 36:38.000]  Typically, a class struggle. In America, they've made it a race struggle. That was the brainchild of Bill Ayers and his people, the radicals from the 60s.
[36:38.000 --> 36:47.000]  They realized that they weren't going to be able to organize the communists left along the same lines that they would in Europe, so they chose to try to divide people by skin color.
[36:47.000 --> 36:51.000]  And that's worked pretty well. They're white skin privilege.
[36:51.000 --> 37:01.000]  So we know that that's the way they've worked in other countries. We know that they try to delegitimize the election. They tried to personally attack and demonize the person who won.
[37:01.000 --> 37:09.000]  And then they get these social justice warriors, college students to get violent and to stage a revolution.
[37:09.000 --> 37:14.000]  And so that's what they're trying to do. I don't think they're going to succeed, but that's the tactic on it.
[37:14.000 --> 37:30.000]  So before I get to this other news, we see that we've got the usual suspects, John McCain and Lindsey Graham out working hard on 9-11, working not for the American people, but for their Saudi masters.
[37:30.000 --> 37:40.000]  The Hill reports GOP centers want to amend the Saudi 9-11 bill. So it wasn't enough that they would delay compensation to the victims of 9-11 for 15 years.
[37:40.000 --> 37:46.000]  Now that passed because that was not something they were going to be able to sell politically.
[37:46.000 --> 37:52.000]  And especially after Donald Trump pushed for the missing 28 pages out of the report.
[37:52.000 --> 37:58.000]  If they want to blame 9-11 on the Saudis, then let's have them compensate us for it, okay?
[37:58.000 --> 38:09.000]  But now we've got McCain and Graham rolling out an amendment to a law that allows the families of 9-11 victims to sue Saudi Arabia so they can protect Saudi Arabia from the victims.
[38:09.000 --> 38:13.000]  They say that Saudi Arabia did this, but they say no. And here's the way they're going to do it.
[38:13.000 --> 38:26.000]  They want to change the law, which is JASTA. It's the Justice Against Sponsors of Terrorism Act, which sailed through Congress so that lawsuits can only be brought against foreign governments that quote, unquote, knowingly support terrorism.
[38:26.000 --> 38:36.000]  See, it's kind of like Hillary and Comey. Hillary said, oh, she's got all of these felony violations of national security, but she didn't do it knowingly.
[38:36.000 --> 38:46.000]  She just didn't know what she's doing. And, you know, when they deliberately erased and electronically shredded the disks, she didn't do that knowingly.
[38:46.000 --> 38:52.000]  There's no intent to evade the law or to break the law. Just stuff just happens, you know, for the rich and powerful at the very top.
[38:52.000 --> 38:59.000]  And so they want to tell us on the one hand that the Saudis did it, but then on the other hand that they shouldn't be held responsible.
[38:59.000 --> 39:07.000]  And of course, the 9-11 families and survivors united for justice against terrorism are not having any part of that. They quickly slammed that.
[39:07.000 --> 39:14.000]  Now, at the same time, we see that there's a lot of talk. Bloomberg is pushing this idea. Listen to this.
[39:14.000 --> 39:22.000]  They're expanding this narrative about how Russia put out this information about Hillary Clinton.
[39:22.000 --> 39:37.000]  Remember, the Red Scare, you know, WikiLeaks was an agent of Russia. Well, now the conspiracy theory widens, because if you, through social media, put out some of the information that was exposed about Hillary Clinton and John Podesta,
[39:37.000 --> 39:46.000]  now you are part of the vast right-wing conspiracy. Not only right-wing, but the red-wing, I guess we should call it, the Red Scare conspiracy.
[39:46.000 --> 39:53.000]  And this article from Bloomberg says Russia weaponized social media. See that? Weaponized social media.
[39:53.000 --> 40:02.000]  This is a company called FireEye. I wonder if their corporate logo is sauron from the Lord of the Rings. That would be appropriate, wouldn't it?
[40:02.000 --> 40:09.000]  Russia's government, they said, didn't just hack and leak the documents from U.S. political groups during the presidential campaign.
[40:09.000 --> 40:17.000]  It used social media as a weapon to influence perceptions about the election, according to cybersecurity company FireEye.
[40:17.000 --> 40:30.000]  They say material stolen by Russia's intelligence services was feverishly promoted by online personas and numerous fake accounts through links to leaked material and misleading narratives.
[40:30.000 --> 40:40.000]  There's the fake news thing coming in as well, right? So they enlarge this. They go on to say they have to do something about the spread of fake news.
