[00:00.000 --> 00:10.000]  Live from Austin, Texas. Broadcasting Worldwide. It's Alex Jones.
[01:42:54.000 --> 01:42:55.000]  Total deception.
[01:42:55.000 --> 01:42:57.000]  They say this is not an attack, but it is an attack.
[01:42:57.000 --> 01:42:59.000]  They are the devil.
[01:42:59.000 --> 01:43:01.000]  In the last 50 years,
[01:43:01.000 --> 01:43:04.000]  iodine has been phased out of our staple foods
[01:43:04.000 --> 01:43:06.000]  and replaced with the halogen bromine,
[01:43:06.000 --> 01:43:10.000]  a practice now banned in nations around the world.
[01:43:10.000 --> 01:43:12.000]  Guess what else is in the halogen family?
[01:43:12.000 --> 01:43:13.000]  Fluoride.
[01:43:13.000 --> 01:43:15.000]  Ladies and gentlemen, Alex Jones here.
[01:43:15.000 --> 01:43:18.000]  In 1924, the federal government did the right thing
[01:43:18.000 --> 01:43:22.000]  and encouraged salt producers to add iodine.
[01:43:22.000 --> 01:43:25.000]  It's the good halogen on the periodic table.
[01:43:25.000 --> 01:43:28.000]  And the results are on record, reports documented,
[01:43:28.000 --> 01:43:31.000]  a 15-point IQ increase in areas
[01:43:31.000 --> 01:43:33.000]  that had previously been deficient in iodine.
[01:43:33.000 --> 01:43:35.000]  Bottom line, iodine is important.
[01:43:35.000 --> 01:43:38.000]  Unbound, clean, in a glycerin base,
[01:43:38.000 --> 01:43:42.000]  nascent iodine was the answer for myself and my family.
[01:43:42.000 --> 01:43:45.000]  You will find Survival Shield nascent iodine
[01:43:45.000 --> 01:43:48.000]  exclusively at InfowarsLife.com.
[01:43:48.000 --> 01:43:51.000]  InfowarsLife Survival Shield nascent iodine
[01:43:51.000 --> 01:43:53.000]  isn't just for emergencies.
[01:43:53.000 --> 01:43:54.000]  I take it every day.
[01:43:54.000 --> 01:43:56.000]  That's InfowarsLife.com
[01:43:56.000 --> 01:44:00.000]  or call toll-free 888-253-3139.
[01:44:00.000 --> 01:44:03.000]  Alex Jones here to tell you about how you can help spread liberty
[01:44:03.000 --> 01:44:06.000]  worldwide while also enjoying what I have found to be the best tasting
[01:44:06.000 --> 01:44:09.000]  100% organic coffee on the planet.
[01:44:09.000 --> 01:44:10.000]  For more than a decade,
[01:44:10.000 --> 01:44:13.000]  my favorite coffee has come from the high mountains of southern Mexico,
[01:44:13.000 --> 01:44:17.000]  where the Chiapas farmers grow their unique shade-grown Arabica beans.
[01:44:17.000 --> 01:44:20.000]  We have now managed to secure these sought-after beans
[01:44:20.000 --> 01:44:22.000]  in a highly customized blend.
[01:44:22.000 --> 01:44:25.000]  Discover and try a bag of the Patriot Blend
[01:44:25.000 --> 01:44:29.000]  100% organic coffee at InfowarsLife.com.
[01:44:29.000 --> 01:44:32.000]  This coffee gives you a long, smooth pick-me-up for hours
[01:44:32.000 --> 01:44:34.000]  without the headaches and heartburn
[01:44:34.000 --> 01:44:36.000]  that so many other coffees give me personally.
[01:44:36.000 --> 01:44:38.000]  Hands down, this is my favorite coffee,
[01:44:38.000 --> 01:44:41.000]  and it's taken us years to secure connections directly
[01:44:41.000 --> 01:44:43.000]  to the Chiapas Mexican farmers.
[01:44:43.000 --> 01:44:46.000]  Dropped by the site today, order a bag or two,
[01:44:46.000 --> 01:44:48.000]  and I don't think you're going to be disappointed.
[01:44:48.000 --> 01:44:51.000]  Available in original or with our immune support infusion blend,
[01:44:51.000 --> 01:44:53.000]  you will be supporting a free press
[01:44:53.000 --> 01:44:56.000]  all the while enjoying a truly great tasting cup
[01:44:56.000 --> 01:44:57.000]  of my favorite coffee.
[01:44:57.000 --> 01:45:00.000]  Available at InfowarsLife.com.
[01:45:00.000 --> 01:45:01.000]  The facts are in.
[01:45:01.000 --> 01:45:02.000]  The studies are legion.
[01:45:02.000 --> 01:45:06.000]  Sodium fluoride and other toxic members of the fluoride family
[01:45:06.000 --> 01:45:08.000]  are devastating the health and cognitive ability
[01:45:08.000 --> 01:45:10.000]  of the American people.
[01:45:10.000 --> 01:45:13.000]  So why are the social engineers adding it to the water?
[01:45:13.000 --> 01:45:14.000]  Simple.
[01:45:14.000 --> 01:45:16.000]  Dumb down the host population
[01:45:16.000 --> 01:45:19.000]  that the parasitic technocracy is feeding on.
[01:45:19.000 --> 01:45:22.000]  We may not have been able to get fluoride out of the water supply yet,
[01:45:22.000 --> 01:45:24.000]  but we can help to get it out of our bodies.
[01:45:24.000 --> 01:45:26.000]  I am extremely excited to announce
[01:45:26.000 --> 01:45:30.000]  the exclusive InfowarsLife fluoride shield formulation,
[01:45:30.000 --> 01:45:33.000]  fusing six of the best documented ingredients
[01:45:33.000 --> 01:45:36.000]  from around the world to help the body remove
[01:45:36.000 --> 01:45:38.000]  not just toxic fluoride residues from the body,
[01:45:38.000 --> 01:45:41.000]  but a whole host of toxic substances.
[01:45:41.000 --> 01:45:43.000]  Let's take a stand against the globalist
[01:45:43.000 --> 01:45:45.000]  by blocking their poisons with fluoride shield.
[01:45:45.000 --> 01:45:47.000]  I use fluoride shield every day.
[01:45:47.000 --> 01:45:49.000]  Secure your fluoride shield
[01:45:49.000 --> 01:45:51.000]  and other pioneering formulations
[01:45:51.000 --> 01:45:53.000]  at InfowarsLife.com today.
[01:45:53.000 --> 01:45:55.000]  Let's start cleansing our bodies now
[01:45:55.000 --> 01:45:57.000]  and support the Infowar at the same time.
[01:45:57.000 --> 01:46:00.000]  That's InfowarsLife.com.
[01:46:00.000 --> 01:46:03.000]  Strategic relocation is a systematic way
[01:46:03.000 --> 01:46:06.000]  to think strategically in the future about how do I safeguard.
[01:46:06.000 --> 01:46:09.000]  Renowned author and expert, Joel Scowzen.
[01:46:09.000 --> 01:46:12.000]  The U.S. isn't building huge underground bases and bunkers
[01:46:12.000 --> 01:46:14.000]  because of some terrorist threat.
[01:46:14.000 --> 01:46:17.000]  They know that a massive nuclear attack is coming.
[01:46:17.000 --> 01:46:18.000]  They want that attack to come.
[01:46:18.000 --> 01:46:20.000]  Joel Scowzen is renowned as one of the world's
[01:46:20.000 --> 01:46:23.000]  far-most experts in strategic relocation
[01:46:23.000 --> 01:46:25.000]  and the securing of your home.
[01:46:25.000 --> 01:46:27.000]  What I tell people is that you do have time.
[01:46:27.000 --> 01:46:29.000]  We talk about natural disasters.
[01:46:29.000 --> 01:46:30.000]  The health environment.
[01:46:30.000 --> 01:46:32.000]  We talk about pollution, the water quality.
[01:46:32.000 --> 01:46:35.000]  My personal experience about being in every one of these states,
[01:46:35.000 --> 01:46:38.000]  most people won't even be ready and won't be able to get out of town
[01:46:38.000 --> 01:46:40.000]  because there will be absolute panic.
[01:46:40.000 --> 01:46:43.000]  There is no preparedness without strategy.
[01:46:43.000 --> 01:46:46.000]  This Christmas, give the gift of preparedness.
[01:46:46.000 --> 01:46:50.000]  Strategic relocation film with Joel Scowzen and Alex Jones.
[01:46:50.000 --> 01:46:54.000]  Available only at InfowarsShop.com
[01:46:54.000 --> 01:46:59.000]  or by calling 888-253-3139.
[01:47:01.000 --> 01:47:04.000]  Coast to coast, direct from Austin.
[01:47:04.000 --> 01:47:09.000]  You're listening to the Alex Jones Broadcasting Network.
[01:47:18.000 --> 01:47:21.000]  It's always a tough boat because the average person
[01:47:21.000 --> 01:47:25.000]  thinks raising the debt ceiling must mean that we're running up our debt.
[01:47:25.000 --> 01:47:28.000]  Raising the debt ceiling, which has been done over a hundred times,
[01:47:28.000 --> 01:47:31.000]  does not increase our debt.
[01:47:31.000 --> 01:47:34.000]  It does not somehow promote proflicacy.
[01:47:34.000 --> 01:47:36.000]  All it does is it says,
[01:47:36.000 --> 01:47:39.000]  you've got to pay the bills that you've already racked up, Congress.
[01:47:39.000 --> 01:47:47.000]  You're listening to the Alex Jones show.
[01:47:51.000 --> 01:47:54.000]  And again, increasing the debt, that increases the debt,
[01:47:54.000 --> 01:47:56.000]  and Obamacare is free.
[01:47:56.000 --> 01:47:59.000]  If you don't agree with that, you are racist.
[01:47:59.000 --> 01:48:01.000]  I got loaded phone lines, only one segment left.
[01:48:01.000 --> 01:48:03.000]  I want to try to jam all of you in.
[01:48:03.000 --> 01:48:05.000]  I said I'd get into gay false flags.
[01:48:05.000 --> 01:48:08.000]  This whole Duck Dynasty thing is a setup.
[01:48:08.000 --> 01:48:10.000]  What the guy said isn't even hateful at all.
[01:48:10.000 --> 01:48:12.000]  It's about making us guilty,
[01:48:12.000 --> 01:48:17.000]  so they can attach a political agenda to a fake civil rights movement
[01:48:17.000 --> 01:48:21.000]  while all of our liberties are being destroyed.
[01:48:21.000 --> 01:48:24.000]  And that's basically what's going on.
[01:48:24.000 --> 01:48:28.000]  Now, let's go ahead and there's a lot of different Facebooks.
[01:48:28.000 --> 01:48:30.000]  One has a 2 million.
[01:48:30.000 --> 01:48:32.000]  Others have hundreds of thousands.
[01:48:32.000 --> 01:48:38.000]  If you look at M4's free speech, it's one we set up dealing with all of that as well.
[01:48:38.000 --> 01:48:40.000]  But here's just some of the articles.
[01:48:40.000 --> 01:48:46.000]  Lesbian teen faked anti-gay notes that sparked college's solidarity rally.
[01:48:46.000 --> 01:48:54.000]  CBS St. Louis, cops, lesbians fake attack in which she carved anti-gay slurs into her skin.
[01:48:54.000 --> 01:48:58.000]  Lesbian waitress is anti-gay receipt flap fired,
[01:48:58.000 --> 01:49:01.000]  putting fake stuff on a receipt that wasn't said to her.
[01:49:01.000 --> 01:49:07.000]  Fake-hating lesbian fraudster lies about everything, says former coworkers.
[01:49:07.000 --> 01:49:12.000]  No rally after more head cops say alleged attack wasn't hate crime against gays.
[01:49:12.000 --> 01:49:17.000]  UNC student who claimed hate crime cited for filing false report.
[01:49:17.000 --> 01:49:23.000]  Gay man pleads guilty to false report of attack in downtown Missoula.
[01:49:23.000 --> 01:49:25.000]  And I got more of these.
[01:49:25.000 --> 01:49:28.000]  But I mean, you know, this is just the standard deal.
[01:49:28.000 --> 01:49:37.000]  And so GQ goes and talks to a lay preacher, extremely conservative person.
[01:49:37.000 --> 01:49:40.000]  And I'm surprised he didn't quote Leviticus.
[01:49:40.000 --> 01:49:43.000]  He just said, you know, I like women, not men.
[01:49:43.000 --> 01:49:49.000]  I like strawberry milkshakes, not vanilla.
[01:49:49.000 --> 01:49:53.000]  And they said, boom, you're suspended, all the rest of it.
[01:49:53.000 --> 01:49:55.000]  And that's blowing up in their face.
[01:49:55.000 --> 01:49:58.000]  In fact, a cracker barrel would remove the items, like it would be offensive.
[01:49:58.000 --> 01:50:01.000]  It just shows the tyranny we're under.
[01:50:01.000 --> 01:50:04.000]  While all of our basic liberties are being butchered, this is happening.
[01:50:04.000 --> 01:50:07.000]  And while we're distracted by all that, this is going on.
[01:50:07.000 --> 01:50:09.000]  Here's RT reporting.
[01:50:09.000 --> 01:50:13.000]  TEPCO detects record radiation of Fukushima reactor 2.
[01:50:13.000 --> 01:50:15.000]  New leaks suspected.
[01:50:15.000 --> 01:50:20.000]  U.S. failures, assisted with Fukushima cleanup, crippled by cancer.
[01:50:20.000 --> 01:50:21.000]  You'll never hear about them.
[01:50:21.000 --> 01:50:23.000]  They won't be any heroes.
[01:50:23.000 --> 01:50:24.000]  They don't need to be taken care of.
[01:50:24.000 --> 01:50:28.000]  That's Kyoto newspaper reports that U.S.
[01:50:28.000 --> 01:50:32.000]  Failures are now filing lawsuits against Tokyo Electric Power,
[01:50:32.000 --> 01:50:34.000]  claiming their cancer has come from that.
[01:50:34.000 --> 01:50:36.000]  But you'll never see that in the U.S. news.
[01:50:36.000 --> 01:50:37.000]  Here's another one.
[01:50:37.000 --> 01:50:41.000]  A wave of radiation from Fukushima will be 10 times bigger than all radiation
[01:50:41.000 --> 01:50:43.000]  from nuclear tests.
[01:50:43.000 --> 01:50:47.000]  And then it links through to all the major scientific bodies that are coming out
[01:50:47.000 --> 01:50:52.000]  and saying this and that the wave hits us in the next month to the next four months
[01:50:52.000 --> 01:50:54.000]  on the West Coast.
[01:50:54.000 --> 01:50:56.000]  And it goes through all the science.
[01:50:56.000 --> 01:51:00.000]  That's up on infoworks.com and presidentplanet.com.
[01:51:00.000 --> 01:51:08.000]  In fact, I'm going to tweet out these reports on real Alex Jones for folks.
[01:51:08.000 --> 01:51:11.000]  All right, let's rampage in the eight, nine minutes we have left through all the callers.
[01:51:11.000 --> 01:51:15.000]  Ironhead in Washington wants to talk about the mystery illness
[01:51:15.000 --> 01:51:17.000]  that they can't find out what is killing so many people.
[01:51:17.000 --> 01:51:18.000]  Go ahead.
[01:51:18.000 --> 01:51:19.000]  Hey there, my friend.
[01:51:19.000 --> 01:51:20.000]  Hey, buddy.
[01:51:20.000 --> 01:51:25.000]  Again, I'm going to say this from the heart because it hits me really hard.
[01:51:25.000 --> 01:51:31.000]  I lost my mom about three months ago due to the greatness from the allopathic world.
[01:51:31.000 --> 01:51:37.000]  They gave her 10 days of hard core antibiotics without doing a bacterial culture and we lost her.
[01:51:37.000 --> 01:51:46.000]  One of the things that you might want to look into is chlorine dioxide, MMS.
[01:51:46.000 --> 01:51:48.000]  I've had extensive experience.
[01:51:48.000 --> 01:51:51.000]  Everything ultimately is an electron transport system.
[01:51:51.000 --> 01:51:59.000]  We look at chemical reactions, but every chemical reaction is an electron, proton, neutron electrical reaction,
[01:51:59.000 --> 01:52:02.000]  the body electric, holographic universe.
[01:52:02.000 --> 01:52:06.000]  If you look into it, the chlorine dioxide, which...
[01:52:06.000 --> 01:52:07.000]  No, no, I know.
[01:52:07.000 --> 01:52:08.000]  Absolutely.
[01:52:08.000 --> 01:52:16.000]  I mean, look, it's incredible that they don't even look at funguses or don't even know what it is,
[01:52:16.000 --> 01:52:18.000]  but they'll put people on drugs.
[01:52:18.000 --> 01:52:19.000]  What do you expect them to do?
[01:52:19.000 --> 01:52:22.000]  It just shows we think they're like high priests that have all the answer.
[01:52:22.000 --> 01:52:23.000]  Anything else, Ironhead?
[01:52:23.000 --> 01:52:25.000]  Yeah, what you have to do is you have to look at...
[01:52:25.000 --> 01:52:32.000]  Going back to what the other caller said, you have to look at the fact that we're dealing with a pH recognizable bacteria,
[01:52:32.000 --> 01:52:34.000]  a fungus, a pathogen.
[01:52:34.000 --> 01:52:36.000]  It's all going to be pH identifiable.
[01:52:36.000 --> 01:52:41.000]  Due to chlorine dioxide, you're going to find a negative 5, negative 4 balance reaction based on...
[01:52:41.000 --> 01:52:42.000]  Well, I mean, here's the deal.
[01:52:42.000 --> 01:52:43.000]  My uncle goes to the hospital.
[01:52:43.000 --> 01:52:44.000]  They say, go home.
[01:52:44.000 --> 01:52:46.000]  He says he's having a real brain.
[01:52:46.000 --> 01:52:47.000]  They take him to the hospital.
[01:52:47.000 --> 01:52:51.000]  He fights with the stuff they're putting down his nose and the, you know, the oxygen.
[01:52:51.000 --> 01:52:55.000]  So they drug him to put him in a coma so they can then try to oxygenate his lungs.
[01:52:55.000 --> 01:52:59.000]  And then he gets to where he's losing circulation is on death's doorstep.
[01:52:59.000 --> 01:53:02.000]  And I'm not blaming the mainline MD model.
[01:53:02.000 --> 01:53:08.000]  It's just that in my experience, I've had so many friends going for a minor surgery,
[01:53:08.000 --> 01:53:10.000]  diabetes infection, and it's never on the news.
[01:53:10.000 --> 01:53:13.000]  I mean, I got a lot of friends killed by hospitals.
[01:53:13.000 --> 01:53:16.000]  The numbers show that, sure, they can do heroic medicine.
[01:53:16.000 --> 01:53:17.000]  My leg's broken.
[01:53:17.000 --> 01:53:19.000]  I'm going to a medical doctor.
[01:53:19.000 --> 01:53:21.000]  But it's just a death sentence.
[01:53:21.000 --> 01:53:23.000]  Most of the time, I appreciate your call.
[01:53:23.000 --> 01:53:28.000]  Absolute death sentence because it's run by the globalist in the eugenicists at the top.
[01:53:28.000 --> 01:53:30.000]  Research population reduction or research.
[01:53:30.000 --> 01:53:35.000]  The Rockefellers 100 years ago taking over medical science here in the U.S.
[01:53:35.000 --> 01:53:36.000]  Thank you for the call.
[01:53:36.000 --> 01:53:41.000]  Daniel in Kentucky, go ahead.
[01:53:41.000 --> 01:53:43.000]  Okay, Daniel, you're not there.
[01:53:43.000 --> 01:53:44.000]  Thank you for the call.
[01:53:44.000 --> 01:53:46.000]  Let's go to Chris in Kentucky.
[01:53:46.000 --> 01:53:49.000]  Chris, you're on the air.
[01:53:49.000 --> 01:53:50.000]  Alex.
[01:53:50.000 --> 01:53:51.000]  Hey, buddy.
[01:53:51.000 --> 01:53:52.000]  Go ahead.
[01:53:52.000 --> 01:53:55.000]  I tell you what, this Obamacare is nothing but a banker scam.
[01:53:55.000 --> 01:53:58.000]  They want to take away the raw milk and just shut down all the Amish farms.
[01:53:58.000 --> 01:54:00.000]  It's such freedom, isn't it?
[01:54:00.000 --> 01:54:05.000]  Yeah, they want to get this blood-filled pus that they boil and call homogenized
[01:54:05.000 --> 01:54:09.000]  and then ban all the real milk so that people can't sell high quality products
[01:54:09.000 --> 01:54:12.000]  that is a natural antibiotic in and of itself.
[01:54:12.000 --> 01:54:13.000]  Absolutely.
[01:54:13.000 --> 01:54:18.000]  And that's what it's all about because now that all these mainstream dinosaur corporate
[01:54:18.000 --> 01:54:22.000]  horror media, I'm going to call them that, on the Sunday shows, every one of them that
[01:54:22.000 --> 01:54:25.000]  I looked at this morning said, oh, there's nothing wrong with it.
[01:54:25.000 --> 01:54:26.000]  We just tested.
[01:54:26.000 --> 01:54:27.000]  Everything's fine.
[01:54:27.000 --> 01:54:28.000]  Get your vaccinations.
[01:54:28.000 --> 01:54:32.000]  There's no, there's no, we have to check it out.
[01:54:32.000 --> 01:54:33.000]  It's okay.
[01:54:33.000 --> 01:54:34.000]  It's safe.
[01:54:34.000 --> 01:54:37.000]  They just keep indoctrinating this garbage into our minds.
[01:54:37.000 --> 01:54:38.000]  Alex, I'm sick and tired.
[01:54:38.000 --> 01:54:45.000]  Well, I mean, I read the article where half the chicken, 49.7%, has flesh-eating bacteria on it.
[01:54:45.000 --> 01:54:49.000]  And no one's going to tell you, but they'll shut down a small chicken producer because
[01:54:49.000 --> 01:54:50.000]  in one case, it's salmonella.
[01:54:50.000 --> 01:54:55.000]  It's big business, radiating everything, doing whatever they want.
[01:54:55.000 --> 01:54:56.000]  You're absolutely right.
[01:54:56.000 --> 01:54:57.000]  God bless you, Chris.
[01:54:57.000 --> 01:54:59.000]  Folks, it's selfish, I know.
[01:54:59.000 --> 01:55:01.000]  But pray for everybody that's sick right now.
[01:55:01.000 --> 01:55:05.000]  I just can't imagine if my uncle does die when I'll think of Christmas ever after.
[01:55:05.000 --> 01:55:10.000]  I mean, it's just, it's just, it's just so horrible.
[01:55:10.000 --> 01:55:14.000]  And I'm not just blaming the system, but I mean, we've seen what they've done.
[01:55:14.000 --> 01:55:16.000]  Ben and Tennessee, you're on the air.
[01:55:16.000 --> 01:55:17.000]  Go ahead.
[01:55:17.000 --> 01:55:18.000]  Hey, Alex.
[01:55:18.000 --> 01:55:21.000]  Thanks for checking my call.
[01:55:21.000 --> 01:55:30.000]  I just wanted to say that same super bug you've been mentioning has hit my dad actually recently.
[01:55:30.000 --> 01:55:38.000]  He just had to have major surgery at the end of October and he's still pretty sick.
[01:55:38.000 --> 01:55:42.000]  Yeah, no, this stuff's got people sick for over a month.
[01:55:42.000 --> 01:55:43.000]  It is unbelievable.
[01:55:43.000 --> 01:55:44.000]  I've never seen anything like it.
[01:55:44.000 --> 01:55:47.000]  And again, I know all the people that have died and family, the hospitals test it.
[01:55:47.000 --> 01:55:49.000]  They do not know what it is.
[01:55:49.000 --> 01:55:52.000]  And then they go, oh, it's the flu in the news.
[01:55:52.000 --> 01:55:53.000]  It's not the flu.
[01:55:53.000 --> 01:55:55.000]  The flu last three days, folks.
[01:55:55.000 --> 01:55:56.000]  Not a month.
[01:55:56.000 --> 01:56:04.000]  Yeah, and he was sick for about three months before he had exploratory surgery and then
[01:56:04.000 --> 01:56:12.000]  they've just had him on every kind of antibiotic, you know, all kinds of different treatments.
[01:56:12.000 --> 01:56:14.000]  Which is only going to make even more super bugs.
[01:56:14.000 --> 01:56:15.000]  That's the deal.
[01:56:15.000 --> 01:56:21.000]  The more weaponized antibiotic, I mean, my gut tells me moved to the desert and get a
[01:56:21.000 --> 01:56:26.000]  shack and a bunch of food, my kids, because I'm telling you, my gut tells me I see the
[01:56:26.000 --> 01:56:27.000]  numbers.
[01:56:27.000 --> 01:56:28.000]  We already have mega plagues.
[01:56:28.000 --> 01:56:29.000]  We already have super bugs.
[01:56:29.000 --> 01:56:30.000]  We already have it.
[01:56:30.000 --> 01:56:31.000]  It's already going on.
[01:56:31.000 --> 01:56:35.000]  I mean, I'm telling you, this society better get ready.
[01:56:35.000 --> 01:56:36.000]  We are a cursed nation.
[01:56:36.000 --> 01:56:41.000]  If we'll kill 53 million babies and say they're not human, well, God's going to say we're
[01:56:41.000 --> 01:56:42.000]  not human.
[01:56:42.000 --> 01:56:43.000]  God bless you.
[01:56:43.000 --> 01:56:44.000]  I appreciate your call.
[01:56:44.000 --> 01:56:45.000]  I hope your dad does better.
[01:56:45.000 --> 01:56:46.000]  God, I can't imagine.
[01:56:46.000 --> 01:56:47.000]  My dad almost.
[01:56:47.000 --> 01:56:49.000]  My dad's been sick for a month of this.
[01:56:49.000 --> 01:56:50.000]  Finally got halfway better.
[01:56:50.000 --> 01:56:52.000]  I mean, this is some rough stuff, man.
[01:56:52.000 --> 01:56:53.000]  Same deal.
[01:56:53.000 --> 01:56:54.000]  Went and got cultures.
[01:56:54.000 --> 01:56:55.000]  They don't know what it is.
[01:56:55.000 --> 01:56:58.000]  Paul, in California, you're almost out of time.
[01:56:58.000 --> 01:56:59.000]  Go ahead.
[01:56:59.000 --> 01:57:05.000]  Yeah, I tried to contact you by email with your mystery disease website.
[01:57:05.000 --> 01:57:07.000]  Couldn't get through.
[01:57:07.000 --> 01:57:09.000]  So I went to contact us.
[01:57:09.000 --> 01:57:10.000]  Sure.
[01:57:10.000 --> 01:57:11.000]  Tell me now.
[01:57:11.000 --> 01:57:12.000]  Tell me now.
[01:57:12.000 --> 01:57:13.000]  You're on the air now.
[01:57:13.000 --> 01:57:14.000]  Cigarettes.
[01:57:14.000 --> 01:57:18.000]  My roommate and I both smoke cigarettes and we've been walking around with this thing for
[01:57:18.000 --> 01:57:20.000]  about six, five, six weeks.
[01:57:20.000 --> 01:57:26.000]  In the old country in Europe, they take cigarette butts and make a soup out of it and spray
[01:57:26.000 --> 01:57:29.000]  it on houseplants as a fungicide.
[01:57:29.000 --> 01:57:30.000]  And I don't know.
[01:57:30.000 --> 01:57:34.000]  We're living our lives coughing, but we're living our lives.
[01:57:34.000 --> 01:57:35.000]  Thank you for the call.
[01:57:35.000 --> 01:57:36.000]  God bless you.
[01:57:36.000 --> 01:57:39.000]  I'm sorry to Mark and Jeff and everybody else in case I'm out of time.
[01:57:39.000 --> 01:57:41.000]  Let's pray for humanity.
[01:57:41.000 --> 01:57:43.000]  Pray for my uncle, police William Hammond.
[01:57:43.000 --> 01:57:46.000]  God bless you all and all the sponsors and listeners and the great crew.
[01:57:46.000 --> 01:57:48.000]  Have a great Christmas.
[01:57:48.000 --> 01:58:17.000]  God bless you all.
