[00:00:00.489 --> 00:00:05.791]  This will free up the relief organs due to those unable or not smart enough to prepare.
[01:54:27.635 --> 01:54:30.976]  But a lot of people are purposefully running up cards.
[01:54:30.976 --> 01:54:31.816]  They're rebelling.
[01:54:31.816 --> 01:54:37.158]  It's kind of like a tax revolt, but it's overall a credit revolt.
[01:54:37.158 --> 01:54:37.458]  Gerald?
[01:54:38.158 --> 01:54:47.801]  Well, let's remember who's the one that put in these pernicious bankruptcy laws was Joe Biden, the governor of the loophole state, Delaware.
[01:54:47.801 --> 01:54:52.322]  You know, he was the one that made it so hard for everybody but gives the big guys the break.
[01:54:52.322 --> 01:54:55.603]  But don't forget, they're going to go after you no matter what.
[01:54:55.603 --> 01:54:58.703]  These are people that know no bounds.
[01:54:58.703 --> 01:55:04.345]  You know, if they'll get your first child, if that's what they have to do, it's not going to be an easy ride to get off the hook.
[01:55:05.777 --> 01:55:07.661]  Yeah, people keep saying, well, why should I have gold?
[01:55:07.661 --> 01:55:08.823]  They might come take it.
[01:55:08.823 --> 01:55:09.945]  There's no perfect world.
[01:55:09.945 --> 01:55:13.592]  We're talking about getting the best position you can, Gerald.
[01:55:13.592 --> 01:55:16.578]  Yeah, listen, I own both gold and guns, so...
[01:55:18.275 --> 01:55:25.523]  As a matter of fact, that's all my investments other than the Trends Research Institute and my own properties.
[01:55:25.523 --> 01:55:26.804]  I'm totally invested in that.
[01:55:26.804 --> 01:55:28.025]  It's hard to say because as you
[01:55:36.374 --> 01:55:39.478]  You know these markets are being manipulated in front of our eyes.
[01:55:39.478 --> 01:55:41.801]  Remember they wouldn't allow short selling?
[01:55:41.801 --> 01:55:43.303]  The game is being rigged.
[01:55:43.303 --> 01:55:45.506]  It's not even pulling a rabbit out of a hat.
[01:55:45.506 --> 01:55:46.687]  There's no hat.
[01:55:46.687 --> 01:55:54.377]  So we know that they are, report after report, of banks buying tens of thousands of Comex gold
[01:55:54.737 --> 01:55:56.078]  We're good to go.
[01:56:16.954 --> 01:56:17.935]  We're good.
[01:56:32.262 --> 01:56:37.048]  Because there's a shortage of supply and the shortage of supply is worldwide.
[01:56:37.048 --> 01:56:38.831]  And that shows the manipulation.
[01:56:38.831 --> 01:56:42.035]  You have gold down by a hundred and something bucks now going back up.
[01:56:42.035 --> 01:56:45.619]  Meanwhile, there's 30, 40, 50 percent premiums and you can't get it.
[01:56:45.619 --> 01:56:47.482]  I mean, talk about global manipulation.
[01:56:48.062 --> 01:56:48.883]  Exactly.
[01:56:48.883 --> 01:57:04.900]  So what we're saying is, you know, gold is, and again, we could be wrong, you know, we don't walk on water, and we're only human, but I'm telling you what I do and what I believe, and I put all my investment capital is in gold.
[01:57:04.900 --> 01:57:05.541]  What about silver?
[01:57:09.656 --> 01:57:09.916]  Well, I
[01:57:29.702 --> 01:57:31.523]  I understand.
[01:57:31.523 --> 01:57:34.164]  You trade in what you love and what you know and what you research.
[01:57:34.164 --> 01:57:47.487]  Well, Gerald Cilente, ladies and gentlemen, the market trend research, mandrendresearch.com, thank you for spending an hour and 20 minutes with us, and we'll talk to you again sometime in December.
[01:57:47.487 --> 01:57:48.448]  Godspeed.
[01:57:48.448 --> 01:57:49.388]  Okay, thank you so much.
[01:57:49.648 --> 01:57:59.720]  You're listening to Alex Jones with Congressman Ron Paul and Trend Forecaster Gerald Cilente in this encore presentation of the Alex Jones Radio Show.
[01:58:20.675 --> 01:58:25.017]  It's no secret that Genesis Communications Network depends on listeners like you.
[01:58:25.017 --> 01:58:27.917]  Now you can do even more to hear Genesis shows in your area.
[01:58:27.917 --> 01:58:32.479]  Simply call your local radio stations and tell them about your favorite GCN programs.
[01:58:32.479 --> 01:58:33.179]  It's easy.
[01:58:33.179 --> 01:58:39.802]  Log on to GCNlive.com or call us toll free 877-807-4048.
[01:58:39.802 --> 01:58:40.562]  Make a difference.
[01:58:40.562 --> 01:58:45.944]  Call your local stations and contact us through affiliate relations at GCNlive.com or call 877-807-4048.
[01:58:45.944 --> 01:58:46.304]  Call today.
[01:58:51.411 --> 01:58:54.353]  Are your Federal Reserve notes looking for a safe haven?
[01:58:54.353 --> 01:58:56.974]  Mine found it in precious metals.
[01:58:56.974 --> 01:59:00.797]  Not paper promises, but actual gold in my possession.
[01:59:00.797 --> 01:59:08.061]  It is liquid, it is private, it owes no one, it cannot go bankrupt, and it maintains its purchasing power.
[01:59:08.061 --> 01:59:10.622]  Find your answer at Midas Resources.
[01:59:10.622 --> 01:59:11.123]  That's 1-800-686-2237.
[01:59:11.123 --> 01:59:12.544]  The answer is at 1-800-686-2237.
[01:59:20.595 --> 01:59:27.279]  With oil at $105 per barrel and counting, we need radical change if we're to avert becoming a third world nation.
[01:59:27.279 --> 01:59:32.483]  It's time to jump on the next wave of free energy and radical natural alternative health solutions.
[01:59:32.483 --> 01:59:34.444]  Introducing Organ Products.
[01:59:34.444 --> 01:59:39.427]  Organ is the universal life force, the basic building block of all matter on the material planet.
[01:59:39.427 --> 01:59:43.009]  Organ Electro Medicine is the wave of the future dating back to the late 1800s.
[01:59:44.110 --> 01:59:51.239]  Wilhelm Reich Organ used CloudBuster technology that can now be applied in your home for dramatic energy savings of up to 25%.
[01:59:51.239 --> 01:59:55.445]  The possible uses for this device are only limited by your imagination.
[01:59:55.445 --> 01:59:59.410]  For less than the cost of a doctor's visit, you can have a device that can lead to the end...
