[00:00:04.924 --> 00:00:08.126]  It's Wednesday, July 21st.
[00:26:04.359 --> 00:26:09.121]  If you've got an ancient African background, there were times when people sacrificed their children.
[00:26:09.121 --> 00:26:10.422]  Why does every culture do this?
[00:26:10.422 --> 00:26:13.523]  There is an evil group that gets control and does this.
[00:26:13.523 --> 00:26:18.345]  Look at this headline, Mainline News, DW.com, The Sun, everything reporting it.
[00:26:18.345 --> 00:26:28.349]  Horrifying Berlin foster experiments saw 30,000 children deliberately given to pedophiles to see if sex abuse was quote, good for them.
[00:26:28.349 --> 00:26:30.750]  That's human sacrifice right there.
[00:26:30.750 --> 00:26:31.391]  This is a cult.
[00:26:32.366 --> 00:26:33.967]  So here's David L.V.
[00:26:33.967 --> 00:26:44.971]  Bower, who heads up the program at the Maine Bioweapons Lab in London, England, that started the first shots, that's going after the kids, that's doing the trials on children.
[00:26:44.971 --> 00:26:51.474]  He studies their blood to see what happens, and he heads the project up, and here he is, telling you...
[00:26:52.657 --> 00:26:58.522]  That it reduces your immune system massively when you take it, so you've got to have more shots in the future.
[00:26:58.522 --> 00:27:00.404]  Well, talk about capturing humanity, here it is.
[00:27:08.251 --> 00:27:08.871]  I think so.
[00:27:23.659 --> 00:27:26.081]  So we found that that's less for people with two doses.
[00:27:26.081 --> 00:27:35.149]  We've also found that for people with only one dose of the Pfizer jab, that they are less likely to have high levels of these antibodies in their blood.
[00:27:35.149 --> 00:27:40.013]  And perhaps most importantly for all of us going forward, is that we see that the older you are,
[00:27:40.713 --> 00:27:49.659]  The lower your levels are likely to be, and the time since you've had your second jab, as that time goes on, the lower your levels are also likely to be.
[00:27:49.659 --> 00:28:00.246]  So that's telling us that we're probably going to be needing to prioritize boosters for older and more vulnerable people coming up soon, especially at this new burn.
[00:28:00.246 --> 00:28:08.432]  As men age, they often experience a slowdown in vitality, energy and overall wellness.
[00:28:09.710 --> 00:28:14.454]  And that's why we made one of our most popular formulas to date.
[00:28:14.454 --> 00:28:16.796]  Super Male Vitality!
[00:28:16.796 --> 00:28:25.644]  Specifically designed to assist the body in regulating proper balance to create superior vitality in males.
[00:28:25.644 --> 00:28:36.513]  Now look, this unique formula promotes your body's own natural responses and it contains no synthetic chemicals and no unwanted additives.
[00:28:36.793 --> 00:28:37.474]  Yes.
[00:28:37.474 --> 00:28:42.398]  We're talking about ancient wisdom combined with modern technology.
[00:28:42.398 --> 00:28:49.224]  Working together in perfect synchronicity to help you get the most out of this herb-packed formula.
[00:28:49.224 --> 00:28:50.365]  So what are you waiting for?
[00:28:50.365 --> 00:28:52.186]  Go to the InfoWars store.
[00:28:52.186 --> 00:28:55.048]  Never been a better time than right now.
[00:28:55.048 --> 00:28:58.551]  Super Pale Vitality at InfoWarsStore.com
[00:29:02.777 --> 00:29:04.019]  Jacob in Ohio.
[00:29:04.019 --> 00:29:04.399]  Welcome.
[00:29:04.399 --> 00:29:04.860]  Go ahead.
[00:29:04.860 --> 00:29:06.161]  Hey, how's it going, Alex?
[00:29:06.161 --> 00:29:06.722]  Good, Bob.
[00:29:06.722 --> 00:29:07.823]  Great last caller.
[00:29:07.823 --> 00:29:10.886]  I just wanted to start with plugging your sleep supplement.
[00:29:10.886 --> 00:29:16.593]  It's basically the only way I get sleep anymore with all the gaslighting, demoralization, and absurdity.
[00:29:16.593 --> 00:29:18.175]  It's like we're living in a twilight zone.
[00:29:18.655 --> 00:29:20.356]  All right, Eric in New Hampshire.
[00:29:20.356 --> 00:29:21.296]  Eric, thanks for calling.
[00:29:21.296 --> 00:29:21.656]  Go ahead.
[00:29:21.656 --> 00:29:22.097]  Hey, Alex.
[00:29:22.097 --> 00:29:23.217]  Thanks for taking my call.
[00:29:23.217 --> 00:29:26.238]  If I could, I just want to throw a quick plug out for the point of the product.
[00:29:26.238 --> 00:29:27.919]  The X-Tune does wonders.
[00:29:27.919 --> 00:29:29.160]  I recommend it to everybody.
[00:29:29.160 --> 00:29:30.220]  You're on the fence about it.
[00:29:30.220 --> 00:29:31.021]  Get off the fence.
[00:29:31.021 --> 00:29:31.901]  Get the product.
[00:29:31.901 --> 00:29:33.122]  Support the Infowar.
[00:29:33.122 --> 00:29:34.422]  Tyler in Maine.
[00:29:34.422 --> 00:29:35.062]  You're on the air.
[00:29:35.062 --> 00:29:35.623]  Thanks for holding.
[00:29:35.623 --> 00:29:35.983]  Go ahead.
[00:29:35.983 --> 00:29:36.623]  Hey, Alex.
[00:29:36.623 --> 00:29:37.764]  It's great to be on with you.
[00:29:37.764 --> 00:29:38.264]  It's an honor.
[00:29:38.464 --> 00:29:40.185]  It's an honor to talk to you.
[00:29:40.185 --> 00:29:40.625]  Awesome.
[00:29:40.625 --> 00:29:45.827]  So, first thing I wanted to do is say I love the product, Alpha Power, even at 29.
[00:29:45.827 --> 00:29:49.929]  If you ask my better half, she loves it, and it helps in the bedroom.
[00:29:49.929 --> 00:29:51.510]  So, just number one for viewers.
[00:29:51.510 --> 00:29:52.591]  Well, it definitely works.
[00:29:52.591 --> 00:29:54.211]  It's not a joke.
[00:29:54.211 --> 00:29:54.992]  Absolutely.
[00:29:59.702 --> 00:30:07.889]  I preach about the dangers of cell phones all day long because they're supercomputers controlled by big tech that are spying on us everywhere we go and what we do.
[00:30:07.889 --> 00:30:16.677]  But because they have great cameras and great recording systems and great ways to communicate, I still have one because this Trojan horse, this Promethean fire, has a lot of power.
[00:30:16.677 --> 00:30:17.798]  But when I'm not using it,
[00:30:17.978 --> 00:30:18.538]  We're good to go.
[00:30:38.764 --> 00:30:48.930]  For $14.95 because I want you to get them and I want you to buy friends and family these systems to educate them about what these quote smartphones really are.
[00:30:48.930 --> 00:30:56.814]  This is a great way to limit your phone time use, it's a great way to spend more time with your family, and it's a great way to know you're not being tracked by the criminal globalist system.
[00:30:56.814 --> 00:31:02.297]  They're 50% off right now at InfoWarsTore.com.
[00:31:02.297 --> 00:31:04.919]  You're listening to the Alex Jones Show.
[00:31:22.071 --> 00:31:25.133]  And then one day...
[00:31:54.056 --> 00:31:58.045]  Well, I'm here to tell you I got into Satan's mind, thanks to God.
[00:31:58.045 --> 00:32:04.298]  And I know more than most of the minions of the system that have a good idea of what they're building, but are delusional.
[00:32:05.731 --> 00:32:07.932]  I've got the big picture, and so do you.
[00:32:07.932 --> 00:32:28.677]  And our goal is to give the general public the big picture of the nightmare system that's being built for them and their families, and that compliance with this means death, enslavement, humiliation, and separation from God, and that resistance to this is the animating contest of liberty that God designed us for that will elevate us to the next level.
[00:32:28.677 --> 00:32:29.817]  So this is the big challenge.
[00:32:31.988 --> 00:32:38.171]  So we gotta keep our chins up, we gotta stay focused, and we gotta ask God to lead God and direct us.
[00:32:38.171 --> 00:32:42.452]  Okay, I got Robert Barnes on a host of issues joining us next hour.
[00:32:42.452 --> 00:32:47.735]  I need to judiciously get through as much of this as I can before that happens.
[00:32:47.735 --> 00:33:00.020]  And then we do have some of those medical doctors that have filed the emergency lawsuit over all the different secret recording systems of deaths that they're saying are in 40 plus thousand just in the first week of the vaccines in the US, which I believe those numbers.
[00:33:00.964 --> 00:33:08.105]  Because we know that only one out of 40 VARs gets reported VAERS and that's at 13,000 now.
[00:33:08.105 --> 00:33:11.106]  Most of those are physician reported.
[00:33:11.106 --> 00:33:13.006]  So those guys are on the show Friday.
[00:33:13.006 --> 00:33:19.548]  And we have some other experts joining us tomorrow as well.
[00:33:19.548 --> 00:33:29.010]  And I also have Dr. Yidan, the former chief scientist at Pfizer, who just retired three years ago, very prestigious, saying this is a crime against humanity.
[00:33:29.010 --> 00:33:29.890]  He's made new statements.
[00:33:30.794 --> 00:33:39.523]  He said this is crimes against humanity, this is a global depopulation operation, this is purposely to make everybody sick and collapse civilization for a great reset.
[00:33:39.523 --> 00:33:47.831]  So now Dr. Yidan has come out, since he came out in December with Wolfgang Wudarg, the Chief Advisor to the European Union Medical Board.
[00:33:49.298 --> 00:33:51.380]  And said, okay, it's confirmed.
[00:33:51.380 --> 00:33:52.941]  They did it on purpose.
[00:33:52.941 --> 00:33:55.682]  This is the greatest crime in history.
[00:33:55.682 --> 00:33:58.765]  And this is designed to collapse society as a weapon.
[00:33:58.765 --> 00:33:59.225]  Of course.
[00:33:59.225 --> 00:34:04.408]  I mean, you don't do something like this unless you're planning to pull out all the stops.
[00:34:04.408 --> 00:34:08.651]  And as soon as we try to arrest them, they'll activate the race war squads they've got.
[00:34:08.651 --> 00:34:11.814]  We've got to not kill each other if we're black or white or brown or whatever.
[00:34:11.814 --> 00:34:13.034]  We've got to see through that.
[00:34:13.034 --> 00:34:14.195]  We've got to come together as well.
[00:34:14.195 --> 00:34:16.577]  I mean, this is their big move, ladies and gentlemen.
[00:34:18.956 --> 00:34:20.337]  This is it!
[00:34:20.337 --> 00:34:26.401]  So... And I see the sad left going, we're with the science, we're with Fauci.
[00:34:26.401 --> 00:34:32.705]  Fauci's a corrupt bureaucrat, a eugenicist with Bill Gates, but... Let me stop.
[00:34:32.705 --> 00:34:38.829]  The bad news is these people are out of control and evil and they've triggered their operation and they can't even reverse it at this point.
[00:34:38.829 --> 00:34:40.530]  The fight's on.
[00:34:40.530 --> 00:34:44.973]  The good news is we know their whole plan, we've been studying it, and now...
[00:34:46.567 --> 00:34:56.131]  Because InfoWars was able to be the genesis with our research and a few other experts that understood things 17, 18 months ago.
[00:34:56.131 --> 00:35:08.597]  We were able to get ahead of this thing and then a lot of top scientists and researchers looked at what we were saying and then applied their incredible gravitas to it and concurred and even found more than obviously we'd found.
[00:35:08.597 --> 00:35:12.158]  And so we weren't caught flat-footed like the enemy wanted.
[00:35:12.158 --> 00:35:13.079]  They've launched their attack.
[00:35:14.580 --> 00:35:16.743]  I would say a billion people are going to die very slowly now.
[00:35:16.743 --> 00:35:19.546]  I mean, we're seeing biblical stuff unfold.
[00:35:19.546 --> 00:35:20.708]  It's just unbelievable.
[00:35:20.708 --> 00:35:21.769]  There's no going back now.
[00:35:21.769 --> 00:35:25.554]  I mean, look at these stacks of articles.
[00:35:25.554 --> 00:35:27.576]  None of this is here as a prop.
[00:35:27.576 --> 00:35:28.938]  This is not meant to impress people.
[00:35:30.450 --> 00:35:33.012]  Every one of these is an incredible story.
[00:35:33.012 --> 00:35:36.054]  I could spend a whole hour just on this report, five pages long.
[00:35:36.054 --> 00:35:42.078]  Former Pfizer VP destroys media hit piece, attacking his warnings about COVID injection, a pack of lies.
[00:35:42.078 --> 00:35:43.539]  That's a nice headline.
[00:35:43.539 --> 00:35:46.562]  That's the headline they put out when he was interviewed.
[00:35:46.562 --> 00:35:52.126]  The real headline is, says that it's crimes against humanity confirmed depopulation.
[00:35:52.126 --> 00:35:53.126]  This one article.
[00:35:53.126 --> 00:35:58.090]  And then I read the other accompanying articles that go with it.
[00:35:59.093 --> 00:36:01.394]  So just imagine what's in here.
[00:36:01.394 --> 00:36:08.536]  Total proof that Fauci lied and called it gain of function when he funded it and gave speeches bragging saying he's proud of funding gain of function.
[00:36:08.536 --> 00:36:11.396]  We have that video.
[00:36:11.396 --> 00:36:12.977]  We have six or seven of them.
[00:36:12.977 --> 00:36:21.019]  And we've aired them before, but he just told Congress that's preposterous and that Rand Paul's a liar.
[00:36:21.019 --> 00:36:23.160]  I have more proof of lies.
[00:36:23.160 --> 00:36:28.161]  He said 99% of the people dying of COVID are dying
[00:36:30.011 --> 00:36:31.713]  Because they weren't inoculated.
[00:36:31.713 --> 00:36:33.275]  And then I went to the AP report.
