[00:00.000 --> 00:15.600]  It's Mother's Day, and here comes the Valkyries.
[01:40:35.000 --> 01:40:41.000]  Pistoli in particular, being the head of the TSA, was absolutely outraged,
[01:40:41.000 --> 01:40:43.000]  according to the information we have.
[01:40:43.000 --> 01:40:46.000]  And this came from someone who was very close to Pistoli at the time.
[01:40:46.000 --> 01:40:50.000]  If you'll let somebody grab your wife's breast and your genitals and molest your children and laugh at you
[01:40:50.000 --> 01:40:55.000]  and pull them aside while they cry, which I've seen it myself, they get off on it,
[01:40:55.000 --> 01:40:59.000]  if you'll put up with that, you'll let them come to your house and search and set up a checkpoint
[01:40:59.000 --> 01:41:01.000]  and take you away.
[01:41:01.000 --> 01:41:03.000]  And that's what this is, is prisoner training.
[01:41:03.000 --> 01:41:05.000]  Exactly, yeah.
[01:41:05.000 --> 01:41:08.000]  All of this has nothing to do with, again, with security.
[01:41:08.000 --> 01:41:10.000]  It's all about conditioning.
[01:41:10.000 --> 01:41:13.000]  It's all about getting people comfortable with seeing,
[01:41:13.000 --> 01:41:17.000]  as you point out, the troops in the streets with the black mask
[01:41:17.000 --> 01:41:21.000]  and the paramilitary rifles and gear and what have you.
[01:41:21.000 --> 01:41:23.000]  Look, none of this is law enforcement.
[01:41:23.000 --> 01:41:25.000]  It's paramilitary.
[01:41:25.000 --> 01:41:31.000]  And we are supposed to be, my source is saying,
[01:41:31.000 --> 01:41:37.000]  they are doing this in incremental stages in order for us to be conditioned to see this across the country.
[01:41:37.000 --> 01:41:39.000]  Well, that's the thing, you can see the rollout.
[01:41:39.000 --> 01:41:43.000]  You know it's a PR campaign and for somebody who's watching and knows,
[01:41:43.000 --> 01:41:49.000]  it's ridiculous and it's 100% being done in a wicked, evil fashion.
[01:41:49.000 --> 01:41:55.000]  I mean, this is a premeditated, total soft martial law rollout.
[01:41:55.000 --> 01:41:56.000]  Exactly.
[01:41:56.000 --> 01:41:58.000]  Now, I want to say one thing.
[01:41:58.000 --> 01:42:00.000]  You mentioned something about Trayvon Martin.
[01:42:00.000 --> 01:42:03.000]  According to my source, that Trayvon Martin case,
[01:42:03.000 --> 01:42:08.000]  there was a lot of exculpatory evidence that was admitted from the affidavits,
[01:42:08.000 --> 01:42:11.000]  the affidavit was written in a passive voice.
[01:42:11.000 --> 01:42:12.000]  There were a lot of problems.
[01:42:12.000 --> 01:42:13.000]  There's overcharging there.
[01:42:13.000 --> 01:42:18.000]  There's potential prosecutorial misconduct by Angela Corey,
[01:42:18.000 --> 01:42:22.000]  alleged with respect to subordinating perjury and what have you.
[01:42:22.000 --> 01:42:33.000]  And this is done by the good graces and with the approval of Eric Holder.
[01:42:33.000 --> 01:42:38.000]  I mean, she's taken her marchers, marching orders directly from Eric Holder.
[01:42:38.000 --> 01:42:43.000]  So the outcome of, whether it's an acquittal of Zimmerman in the Trayvon Martin case,
[01:42:43.000 --> 01:42:47.000]  or there's something lesser, I mean, they overcharge Zimmerman.
[01:42:47.000 --> 01:42:49.000]  And they were told to do that.
[01:42:49.000 --> 01:42:56.000]  Basically throwing, attempting to throw the verdict to assure the outrage
[01:42:56.000 --> 01:43:00.000]  when Zimmerman walks and they expect him to walk.
[01:43:00.000 --> 01:43:04.000]  Four, five, six, even $7 a gallon.
[01:43:04.000 --> 01:43:07.000]  According to fuel industry insiders and economic experts,
[01:43:07.000 --> 01:43:10.000]  those are the forecasted fuel prices with no end in sight.
[01:43:10.000 --> 01:43:14.000]  Fight back fuel prices with a fuel saver from airfusionsystems.com.
[01:43:14.000 --> 01:43:17.000]  These fuel savers can save you from 20 to 40%.
[01:43:17.000 --> 01:43:21.000]  They're designed to fit any vehicle from compacts to SUVs to transport trucks.
[01:43:21.000 --> 01:43:25.000]  The fuel saver works on all gas, diesel, even propane engines.
[01:43:25.000 --> 01:43:28.000]  Easy, do-it-yourself installation in about 15 minutes.
[01:43:28.000 --> 01:43:32.000]  And the best part? No engine modifications, no computer chipping, no running wires,
[01:43:32.000 --> 01:43:36.000]  no chemicals, no water, no running costs, and no maintenance.
[01:43:36.000 --> 01:43:39.000]  And these fuel savers come complete with all parts and accessories.
[01:43:39.000 --> 01:43:46.000]  See how it works at airfusionsystems.com, spelled A-I-R-F-U-S-I-O-N systems.com.
[01:43:46.000 --> 01:43:54.000]  Or call 888-887-9981-888-887-9981.
[01:43:54.000 --> 01:44:00.000]  Fuel savers from airfusionsystems.com. Save fuel, save money, save Earth.
[01:44:25.000 --> 01:44:29.000]  Guarantee you love the way they fit.
[01:44:29.000 --> 01:44:34.000]  And put a diamond gusset in the crotch where you need it most.
[01:44:34.000 --> 01:44:39.000]  Blue diamond gussets got it. Others don't.
[01:44:39.000 --> 01:44:43.000]  We turned jeans inside out. Diamond gusset jeans.
[01:44:43.000 --> 01:44:46.000]  Made in the USA with unparalleled quality.
[01:44:46.000 --> 01:44:50.000]  Our Defender motorcycle jeans combine gusset comfort with Kevlar protection,
[01:44:50.000 --> 01:44:53.000]  so you can ride all day with confidence.
[01:44:53.000 --> 01:45:00.000]  Order yours at gusset.com. Diamond gusset jeans got it. Others don't.
[01:45:24.000 --> 01:45:29.000]  Optional fluoride filters can reduce fluoride up to 95%. Easy to set up and use.
[01:45:29.000 --> 01:45:34.000]  Doesn't require electricity. Purify water from lake streams, ponds, and wells.
[01:45:34.000 --> 01:45:37.000]  This filter system leaves in beneficial minerals, which is key.
[01:45:37.000 --> 01:45:41.000]  Save money by not buying bottled water and avoid BPA that leaches from the plastic.
[01:45:41.000 --> 01:45:46.000]  Propure is the best gravity-fed filter out there. It's what my family uses.
[01:45:46.000 --> 01:45:49.000]  Infowars.com already has the lowest price on Propure.
[01:45:49.000 --> 01:45:55.000]  But if you add the promo code WATER at checkout, you get an additional 10% off and Infowars.com.
[01:45:55.000 --> 01:46:20.000]  You can also call to order 888-253-3139.
[01:46:20.000 --> 01:46:25.000]  Number 3. In some areas of the country, the power grid is dangerously overloaded.
[01:46:25.000 --> 01:46:29.000]  And now, new socialist legislation is only compounding the problem.
[01:46:29.000 --> 01:46:32.000]  Number 4. Dangerous weather is always a threat to local grids.
[01:46:32.000 --> 01:46:36.000]  Every year, thousands of families lose their power from weather-related onages.
[01:46:36.000 --> 01:46:41.000]  Number 5. A solar power generator provides powerful backup insurance and peace of mind.
[01:46:41.000 --> 01:46:46.000]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my old sponsors.
[01:46:46.000 --> 01:46:52.000]  You can get more information at www.mysolarbackup.com. That's mysolarbackup.com.
[01:46:52.000 --> 01:47:02.000]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[01:47:02.000 --> 01:47:11.000]  Coast to coast, direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[01:47:11.000 --> 01:47:34.000]  The Genesis Communications Radio Network proudly presents The Alex Jones Show because there's a war on for your mind.
[01:47:34.000 --> 01:47:47.000]  We are taking your phone calls here for Doug Hagman. He's the director of the Northeast Intelligence Network with sources all over the place in law enforcement and intelligence.
[01:47:47.000 --> 01:47:57.000]  Broken a lot of big news stories over there on their end, and he was just telling us last hour that one of his federal sources said it is a three-alarm fire.
[01:47:57.000 --> 01:48:09.000]  They're freaking out over the reeducation camp documents that we now have. The Army has responded and says, yes, it's real, and it's classified, and it should not be in the public domain, and that is all.
[01:48:09.000 --> 01:48:15.000]  And how they're going to process you with your social security number and take the political dissidents and lock your butt up.
[01:48:15.000 --> 01:48:21.000]  I mean, this is the confession of an illegal, illegitimate criminal group running the government.
[01:48:21.000 --> 01:48:33.000]  I wonder who leaked this, Doug, and we're going to go back to phone calls. Because one level, I think they put it out to scare people, but on another level, they don't want people waking up.
[01:48:33.000 --> 01:48:43.000]  I mean, just like Obama said, he didn't want the NDAA, but then he signed it, and then it turned out he had demanded the secret arrest provision. These are big wake-up calls for people.
[01:48:43.000 --> 01:48:55.000]  Exactly. And, you know, it's kind of funny. I don't know who leaked that document, but I don't believe it was intended to be leaked just simply because, for example, on page 168, it gets into the vetting of religious leaders.
[01:48:55.000 --> 01:48:58.000]  I mean, this is some incendiary type of language.
[01:48:58.000 --> 01:49:07.000]  Oh, yeah, I forgot that. It talks about fighting militias. Say that again, though, vetting the religious leaders, which is the clergy response team.
[01:49:07.000 --> 01:49:31.000]  Yeah, in fact, my son had gone through this document with a fine-toothed comb, spent actually two nights going through this, and page 168, it talks about religious discussion groups will be offered to detainees as programs to educate them on specific aspects of their religion to moderate them and to take the edge off of them.
[01:49:31.000 --> 01:49:38.000]  Yeah, that's Romans 13, which they admit the feds used to say, it's of the Lord. Take the shot. Let us take your kids. It's of the Lord.
[01:49:38.000 --> 01:49:48.000]  That's right. And they did not want this information out there. I mean, again, you know, by you breaking this, and I believe you did break this.
[01:49:48.000 --> 01:50:03.000]  Okay, I mean, there were a lot of people, the pucker factor, as my source calls it, was incredible to think that this was actually leaked. And I'd be surprised, by the way, if you get a call back from that source, from the spokesperson.
[01:50:03.000 --> 01:50:09.000]  But that's just, you know, it's great that you did that. But no, I mean, this was not supposed to be leaked out.
[01:50:09.000 --> 01:50:18.000]  And let me ask you this question. What do you think the military is saying about this document? I mean, now they've called in and said they're very angry, police have called in.
[01:50:18.000 --> 01:50:30.000]  I mean, I've noticed that the media, here's my main question. Why is the mainstream corporate dinosaur media will normally make fun of something I say, but then admit it's real.
[01:50:30.000 --> 01:50:44.000]  I've noticed complete silence on this. It is deafening, and it's really showing me just how many even alternative groups out there are controlled. The fact this is real, it's admitted it's real, and no one wants to touch it.
[01:50:44.000 --> 01:51:01.000]  Well, it's simply because it's indefensible. How can one defend against this document? There's just no way to coherently engage in any type of coherent or legitimate defense. So why not just forget about it?
[01:51:01.000 --> 01:51:13.000]  Why not pretend it doesn't exist? The American people have a great way of just forgetting about everything, as long as the American idol is on or whatever show of the night is on, we can forget about this.
[01:51:13.000 --> 01:51:28.000]  And of course now, with that underwear thing, that brand new underwear scare that we got, well, that gives us something different to talk about that legitimizes the TSA, perhaps takes the attention off of this, or it'll be something else.
[01:51:28.000 --> 01:51:33.000]  But again, I've got to tell you, this document was not supposed to be leaked.
[01:51:33.000 --> 01:51:43.000]  Well, we need to force it out into the media, and now that the Army's responded and admitted, and I said, yes, it's real, we have got to get people discussing this everywhere. This is a big issue.
[01:51:43.000 --> 01:51:44.000]  Yes, it is.
[01:51:44.000 --> 01:51:49.000]  Let's go to Gonzalo in Michigan. You're on the air. Go ahead.
[01:51:49.000 --> 01:52:10.000]  Hey, what's up, you guys? It's like, say, you really make me laugh a lot. Jones, we do impersonations. It's really hilarious when, you know, when it comes down to all this serious type things. And yeah, DHS has been rolling around my city in a little white SUV thinking they're all bad with the little triangles on and stuff.
[01:52:10.000 --> 01:52:21.000]  What's it bring those checkpoints down here? To me, it's on. That's when it's on. When they start groping people, like just all in the cities, and I know they're doing it already in other states, but to me, that's when it's on.
[01:52:21.000 --> 01:52:31.000]  And if people are here so brainwashed, they won't even save water. I tell them that, you know, they can't afford to stock up on anything. Stock up on water and they still won't even do that.
[01:52:31.000 --> 01:52:33.000]  And it just really makes me sad.
[01:52:33.000 --> 01:52:43.000]  You've got a lot of the public scientifically mesmerized and drugged out of their minds, and I really feel sorry for them as this collapse accelerates, but I appreciate your call.
[01:52:43.000 --> 01:52:56.000]  Yeah, what about federal police? And then TSA aren't even police. They're not trained. They're not sworn. But they can come to a town like in New Mexico and say, grop everyone at the prom. We order you to.
[01:52:56.000 --> 01:53:05.000]  Out of their jurisdiction, not even real police, violating the Fourth Amendment, it's just, it's martial law. It's what it is.
[01:53:05.000 --> 01:53:16.000]  The TSA workers are not, as you point out, they're not commissioned law enforcement officers in every state. There are programs that you must take to become municipal police officers.
[01:53:16.000 --> 01:53:25.000]  State police is a little bit different. These TSA workers, number one, have not gone through the proper background checks. I think you pointed that out.
[01:53:25.000 --> 01:53:30.000]  Now they're admitting some don't even get them now because it's not getting the scum they want.
[01:53:30.000 --> 01:53:44.000]  Well, that's true. And some of this is supposed to have been the background given to third-party companies like our company. We do background checks for Fortune 100 companies.
[01:53:44.000 --> 01:53:47.000]  Okay, that's not happening. It's not happening with these people.
[01:53:47.000 --> 01:53:55.000]  But Alex, if you can indulge me for a minute, one thing I did want to get to about this when I was talking about Jean McCloud and Canada Free Press.
[01:53:55.000 --> 01:54:07.000]  She had given me some information that dovetailed with some information that my source gave me concerning Fast and Furious, that being a potential problem for this administration.
[01:54:07.000 --> 01:54:15.000]  According to the information we have, Attorney General Eric Holder is not going to have any problems whatsoever from Darrell Issa and others.
[01:54:15.000 --> 01:54:27.000]  Because remember, Holder was the key figure who vetted the Clinton administration's pardons. Remember that 180 last minute pardons back in January of 2001.
[01:54:27.000 --> 01:54:37.000]  The beneficiaries of whom included former Weather Underground members Susan Rosenberg and Linda Evans, for example.
[01:54:37.000 --> 01:54:48.000]  There's debts owed that must be paid. Holder holds some chips, if you will, and as a result of that, Issa is not going to take them out.
[01:54:48.000 --> 01:54:53.000]  Okay, because I want to make sure I got that in there. Sorry if I got you off track.
[01:54:53.000 --> 01:55:01.000]  No, no, we ran into a break last hour. I'm glad you remembered that. In fact, I want to go back to calls now, but what are some of the other things your sources are telling you that are important?
[01:55:01.000 --> 01:55:09.000]  Well, just watch what Europe is doing. And he said this too. Again, the initial conversation was on April 25th, I believe.
[01:55:09.000 --> 01:55:18.000]  Watch what Europe is doing. When you start seeing Europe crumble, or the economically crumble, that is, you can start counting down.
[01:55:18.000 --> 01:55:32.000]  You've really only got weeks, maybe months, until it hits here. Watch very carefully what China does once they start calling in their debt, if they do.
[01:55:32.000 --> 01:55:40.000]  As far as military is concerned, this comes from a different source. There are spets not in this country.
[01:55:40.000 --> 01:55:57.000]  Now, we've always had mutual aid, cross-training of various foreign troops that's always been there. And of course, the rebuttal to foreign troops in this country, by the neocons, if you will, or the people that say, it's normal, it's normal for this.
[01:55:57.000 --> 01:56:15.000]  No, no, we're talking about spets on the streets, specially trained in detention and torture. I've gotten reports as well, Alex, about our military in Afghanistan. They are being trained in detention as opposed to combat.
[01:56:15.000 --> 01:56:22.000]  Now, who are they detaining? Certainly they're not detaining. It's a catch and release status over in Afghanistan.
[01:56:22.000 --> 01:56:32.000]  But according to the information we have, the training for detention is to be used here in this country. And our troops are being desensitized.
[01:56:32.000 --> 01:56:41.000]  Well, that's what the document states. I mean, I've read public army documents where they say, all these wars are laboratories that they can then deploy domestically. It's just total trees.
[01:56:41.000 --> 01:56:45.000]  And Brian, in California, you're on the air. Welcome.
[01:56:45.000 --> 01:56:58.000]  Hello. Hey, Alex. Hey, Doug. How are you doing? Good. Well, I just wanted to bring that up. I've read reports about Russian troops actually exercising in Colorado at the end of this month.
[01:56:58.000 --> 01:57:06.000]  No, that's mainstream news. That's in CBS News. And people still don't believe it's real because, oh, that's not possible.
[01:57:06.000 --> 01:57:17.000]  Right. And that dovetails, obviously, then with a nice NATO meeting that's going on in Chicago. And don't forget the G8 being in their hardened bunker there at the Camp David.
[01:57:17.000 --> 01:57:39.000]  You know, it would be interesting to see maybe if some of those troops actually got left here, you know, and that dovetails maybe with Joel Scousen's prediction that, you know, Russia and China, I'm the sneak attack that's predicting for the United States.
[01:57:39.000 --> 01:57:50.000]  All right, folks, that's part of our interview with Doug Hagman. The rest of it is posted up at infowars.com. Lord willing, I'll see you back live tomorrow, 11 a.m. Central at infowars.com.
