[00:00:05.635 --> 00:00:06.136]  Stand by.
[00:24:44.662 --> 00:24:46.403]  See, I knew ISIS was going to be big.
[00:24:47.588 --> 00:24:57.254]  When they let them recruit in the U.S., the U.K., Germany, and let them fly in and out of the countries, and then tried a couple years ago to go, oh, Jihad fighters are actually good.
[00:24:57.254 --> 00:24:59.675]  We need to rehabilitate them and bring them back into our countries.
[00:24:59.675 --> 00:25:03.858]  Because they were trying to PR, hey, how do we bring Al Qaeda back in?
[00:25:03.858 --> 00:25:05.639]  You know, it's our proxy army.
[00:25:05.639 --> 00:25:07.420]  How do we fool folks?
[00:25:07.420 --> 00:25:08.961]  Well, we'll just say we're going to rehabilitate them.
[00:25:10.043 --> 00:25:28.970]  When you give them tow missiles and stinger missiles and the rest of it, and then you bring them back, let select groups blow stuff up, and then you set up bigger homeland security systems to take all of our rights, you declare martial law in many countries of Europe, and you arrest the conservative party leaders like Le Pen that don't want to bring them in.
[00:25:28.970 --> 00:25:34.812]  But like I said, that's coming up in the next segment, because hackers trace ISIS back to the US government.
[00:25:34.812 --> 00:25:38.773]  That is mainstream news, the UK Daily Mirror.
[00:25:40.151 --> 00:25:42.254]  Isn't that just special?
[00:25:42.254 --> 00:25:45.778]  Isn't that just cupcake cute?
[00:25:45.778 --> 00:25:59.133]  And of course, Turkey buys the oil, and the United States bombs the Syrian military bases, and the Turks attack with artillery, and then they sit up there and say, oh, we're battling ISIS.
[00:25:59.133 --> 00:26:00.195]  Yeah, you're their air force.
[00:26:01.485 --> 00:26:04.388]  And Turkey's now been in Iraq for a week and a half.
[00:26:04.388 --> 00:26:05.770]  They've invaded Iraq.
[00:26:05.770 --> 00:26:07.692]  They're bombing and attacking.
[00:26:07.692 --> 00:26:09.654]  Blowing up Iraqi military.
[00:26:09.654 --> 00:26:10.615]  Blowing up Kurds.
[00:26:10.615 --> 00:26:13.238]  And it's just not even in our news.
[00:26:13.238 --> 00:26:15.020]  I mean, it's in the back of the paper.
[00:26:15.020 --> 00:26:17.903]  Just, oh hey, Turkey invaded.
[00:26:17.903 --> 00:26:18.204]  Because...
[00:26:21.172 --> 00:26:26.893]  With the Russians and the Iranians, the Iraqis are beating Al-Qaeda.
[00:26:26.893 --> 00:26:28.774]  You know them as ISIS.
[00:26:28.774 --> 00:26:30.014]  I said I'd cover this next segment.
[00:26:30.014 --> 00:26:30.934]  I just started talking about it.
[00:26:30.934 --> 00:26:38.876]  I have trouble not getting into it because it is such a raging ridiculousness.
[00:26:38.876 --> 00:26:50.219]  It is so unbelievable that our government started all this, destabilized Iraq, invaded Syria, blew up Libya, overthrew
[00:26:51.613 --> 00:26:52.953]  Egypt.
[00:26:52.953 --> 00:27:08.699]  And then our allies murdered every Christian they could get their hands on and blew up hundreds of churches, crucified Christians upside down, burned them in public, hung them, chopped their heads off, and threw hundreds of homosexuals off high rooftops.
[00:27:08.699 --> 00:27:11.780]  That's how you're supposed to kill them, I guess, in some Islamic idea.
[00:27:11.780 --> 00:27:18.182]  In front of people, on TV, and not a word from Anderson Cooper, the gay rights activist from the CIA.
[00:27:19.997 --> 00:27:26.238]  He would just get up there and talk about how fabulous the demonstrators were and how fabulous their revolution was.
[00:27:26.238 --> 00:27:29.179]  This is who our government wants to put in?
[00:27:29.179 --> 00:27:31.839]  People that throw homosexuals?
[00:27:31.839 --> 00:27:33.219]  See, I'm not supposed to say homosexual.
[00:27:33.219 --> 00:27:35.960]  I'm supposed to talk like Anderson Cooper tells me to.
[00:27:35.960 --> 00:27:37.720]  Not say heterosexual, not say homosexual.
[00:27:37.720 --> 00:27:39.621]  I'm supposed to adopt all of his language.
[00:27:39.621 --> 00:27:45.682]  Straight, gay, Melissa Harris Perry, Darth Vader's racist, brown bags are racist.
[00:27:45.682 --> 00:27:47.242]  When all the real stuff goes on, see,
[00:27:52.412 --> 00:27:56.355]  Isis executes Ken in public for being homosexual, including boy age 15.
[00:27:56.355 --> 00:27:58.856]  Yeah, that's just the latest.
[00:27:58.856 --> 00:28:00.297]  Throwing him off rooftops.
[00:28:00.297 --> 00:28:02.058]  That was just one little execution.
[00:28:02.058 --> 00:28:05.500]  Not a word from Gloria Steinem.
[00:28:05.500 --> 00:28:10.584]  If you don't teach your five-year-old how to be homosexual, you're against gay people, according to these folks.
[00:28:10.584 --> 00:28:15.707]  But if you want to mutilate women, blow up churches, throw people off, that's kind of cute.
[00:28:20.762 --> 00:28:28.307]  But then coming up, I just want to say Merry Christmas and a Happy New Year coming up, because I used to hear this war on Christmas stuff ten years ago and didn't believe it.
[00:28:28.307 --> 00:28:31.829]  And now they're taking the nativity signs out of people's own yards.
[00:28:31.829 --> 00:28:34.551]  People's churches are getting sued, not just government buildings.
[00:28:34.551 --> 00:28:39.254]  And now New York City Elementary Principal bans Christmas, Thanksgiving, Pledge of Allegiance.
[00:28:41.735 --> 00:28:45.179]  This is being reported on by New York Daily News, you name it, with a straight face.
[00:28:45.179 --> 00:28:46.962]  We definitely can't say Christmas.
[00:28:46.962 --> 00:28:48.223]  You can't say it.
[00:28:48.223 --> 00:28:49.966]  See, now it extends to your free speech.
[00:28:49.966 --> 00:28:51.708]  Of course you can say it.
[00:28:51.708 --> 00:28:52.969]  Nothing with Christmas on it.
[00:28:52.969 --> 00:28:56.274]  Nothing with Santa, who's not even Christian.
[00:28:56.274 --> 00:28:56.974]  He's a elf.
[00:28:59.218 --> 00:29:06.040]  And they have, uh, the principal has banned it, saying, you know, the foreigners don't like it, but they can have all their, their celebrations.
[00:29:06.040 --> 00:29:20.866]  And meanwhile, student gets six months suspension for saying black women are not hot, in a response to a chat board, where reportedly black students were saying that white people were hillbillies, that have sex with their family members, and have small genitals.
[00:29:20.866 --> 00:29:26.208]  And the school actually said blacks are allowed to say that, whites can't even respond, and he was suspended for 20 months.
[00:29:27.665 --> 00:29:31.007]  When they proved that... 21 months, excuse me.
[00:29:31.007 --> 00:29:39.551]  When they proved that it was the black students doing it first, they said, well, they're allowed to, but your suspension's only six months.
[00:29:39.551 --> 00:29:41.132]  How do you like that?
[00:29:41.132 --> 00:29:43.353]  It's only gonna get better, folks.
[00:29:43.353 --> 00:29:49.396]  Because this country is rotting like a big, fat, dead fish in the summer heat.
[00:29:49.396 --> 00:29:50.797]  We're on the march.
[00:29:50.797 --> 00:29:53.318]  The empire's on the run.
[00:29:53.318 --> 00:29:56.020]  Alex Jones and the GCN Radio Network.
[00:30:00.436 --> 00:30:03.118]  Another GOP debate is upon us.
[00:30:03.118 --> 00:30:09.201]  A time to see how much attention will be allotted to establishment candidates who are dragging in the polls.
[00:30:09.201 --> 00:30:11.002]  These are Republican governors.
[00:30:11.002 --> 00:30:13.403]  They don't give any credit to the free market.
[00:30:13.403 --> 00:30:15.945]  They don't give any credit to the entrepreneur.
[00:30:15.945 --> 00:30:17.706]  All is not lost though.
[00:30:17.706 --> 00:30:19.447]  Some are speaking on real issues.
[00:30:19.847 --> 00:30:25.371]  But if you're not going to respond in a no-fly zone strategy, what would yours be?
[00:30:25.371 --> 00:30:28.754]  The first thing I would do is I wouldn't arm our enemies.
[00:30:28.754 --> 00:30:31.536]  I wouldn't arm ISIS.
[00:30:31.536 --> 00:30:34.859]  Will controversial statements impact some of the candidates?
[00:30:34.859 --> 00:30:48.550]  Donald J. Trump is calling for a total and complete shutdown of Muslims entering the United States until our country's representatives can figure out what the hell is going on.
[00:30:49.370 --> 00:30:53.894]  Join InfoWars this Tuesday December 15th starting at 7 p.m.
[00:30:53.894 --> 00:30:57.376]  Central for another episode of Political Science Theater 3k
[00:30:58.931 --> 00:31:02.433]  When cells become toxic, they die early and aging sets in.
[00:31:02.433 --> 00:31:10.677]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:31:10.677 --> 00:31:16.080]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:31:16.080 --> 00:31:18.621]  You want the best that's out there at the lowest price anywhere?
[00:31:18.621 --> 00:31:20.722]  We now have the synergistic solution.
[00:31:20.722 --> 00:31:24.925]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[00:31:28.940 --> 00:31:33.302]  Used since before the days of the Roman Empire to support the body's natural systems.
[00:31:33.302 --> 00:31:37.464]  Introducing the new Infowarslife.com Oil of Oregano Formulation.
[00:31:37.464 --> 00:31:42.407]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:31:42.407 --> 00:31:47.069]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:31:47.069 --> 00:31:50.551]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:31:50.551 --> 00:31:54.013]  Now available in our limited first run at Infowarslife.com.
[00:31:54.013 --> 00:31:55.834]  That's Infowarslife.com or call 888-253-3139.
[00:31:58.695 --> 00:32:13.283]  My fellow patriots, one of the things I'm most proud of is the fact that the InfoWars operation reaches more than 20 million people a week worldwide with the message of liberty, and none of it is funded by major global corporations or by taxpayers.
[00:32:13.283 --> 00:32:15.124]  It's funded by free will.
[00:32:15.124 --> 00:32:25.150]  Listeners and viewers like you who decide to visit InfoWarsStore.com and take advantage of some of the most high quality revolutionary products available today and now.
[00:32:25.590 --> 00:32:44.022]  Until December 18th, 2015, we are extending free shipping on top of huge discounts on cutting-edge nutraceuticals, high-quality non-GMO heirloom seeds, top-of-the-line water filtration systems that remove glyphosates, fluoride, more, and the list of specials goes on and on.
[00:32:44.022 --> 00:32:54.309]  Some discounts are as high as 50% at InfoWarsStore.com on top of free shipping through December 18th at InfoWarsStore and InfoWarsLife.com.
[00:32:55.670 --> 00:33:11.418]  Info Wars is the operation that you built.
[00:33:11.418 --> 00:33:19.162]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:33:21.394 --> 00:33:26.238]  Let's be clear, I'm not saying there isn't radical Islamic terror.
[00:33:26.238 --> 00:33:34.885]  What I'm saying is, it's 100% proven in disgusting detail.
[00:33:34.885 --> 00:33:38.788]  In fact, it's not 100% proven, it's 360% proven.
[00:33:38.788 --> 00:33:44.293]  Because 100% is kind of a one or two dimensional statement, depending on how you look at it.
[00:33:44.293 --> 00:33:49.217]  We've proven that Western criminal governments are running radical Islamic terror cells worldwide
[00:33:51.340 --> 00:33:54.262]  From a 360 perspective.
[00:33:54.262 --> 00:34:02.628]  And they've been caught working with Shiite terrorists back to the 1970s and before as well, but not running them.
[00:34:02.628 --> 00:34:15.437]  But when you talk about Sunni, Wahhabist, Saudi Arabia, Qatar, countries like that, 100% Western run and controlled and funded and protected.
[00:34:15.437 --> 00:34:18.058]  In fact, again, the proper term is 360.
[00:34:20.660 --> 00:34:25.363]  The whole thing, from every angle, like a 3D model.
[00:34:25.363 --> 00:34:35.650]  The creation, the funding, the training, the protection, the funding of the madrasas, the opening of the doors, the blocking the FBI, MI6, MI5 from stopping them.
[00:34:35.650 --> 00:34:40.634]  Going after activists and journalists that expose them.
[00:34:40.634 --> 00:34:45.597]  You want all hell to break loose, try actually investigating radical jihadis in your country.
[00:34:45.597 --> 00:34:48.359]  The feds come after you instantly.
[00:34:49.636 --> 00:34:52.897]  And they're, we apologize, we don't want to do this.
