[00:00.000 --> 00:18.480]  Today, that's 1-800-426-6186.
[1:51:15.120 --> 1:51:25.120]  I'm sorry if your ego doesn't like knowing that you're a slave and under chemical and biological attack, but you still are under attack. You should love your children enough to care.
[1:51:25.120 --> 1:51:34.120]  It just goes on and on. I said I get into Bilderberg and I have loaded the phone lines here and I just start thinking about a caller bringing up key points and it's true.
[1:51:34.120 --> 1:51:37.120]  Let's take another call. Harvey in Florida. Harvey, you're on the air.
[1:51:37.120 --> 1:51:39.120]  Hey Alex, how are you doing today?
[1:51:39.120 --> 1:51:43.120]  Oh, pretty good. I wish folks weren't brain damaging their children, but hey, they love the government.
[1:51:43.120 --> 1:51:51.120]  Well, I love to call you and give you some. I was a eye witness several weeks ago. I sent there in an email. I'll give you the short version of what I saw.
[1:51:51.120 --> 1:52:01.120]  I was in the Tropicana Casino and Hotel in Atlantic City. I go in the elevator. There's a gentleman dressed in a suit. I said, oh, are you here for a conference?
[1:52:01.120 --> 1:52:06.120]  He goes, yeah, go what type of conference? He goes, National Security Conference.
[1:52:06.120 --> 1:52:20.120]  So we go down the elevator and I see an arrow with a conference. There's a bunch of letters, FCC, HS. So I follow the arrow and it turns out they had it spelled out when you went upstairs where the conference was.
[1:52:20.120 --> 1:52:30.120]  They had fusion centers, criminal investigation, homeland security, and I saw all these characters. It was unbelievable what was going on. It was a two-day conference.
[1:52:30.120 --> 1:52:38.120]  Yeah, the fusion centers are federalizing everything, teaching the police that guns are going to be illegal, how to work with the youth corps.
[1:52:38.120 --> 1:52:48.120]  The local fusion centers track everybody's cell phone real time. They hit one code. They dial in to listen to another code. They follow you by name with your cell phone under federal law.
[1:52:48.120 --> 1:52:52.120]  No fourth amendment, no fifth amendment, no tenth. What else happened?
[1:52:52.120 --> 1:53:04.120]  Well, there was a guy in a white suit with bars on his chest, so I believe he was a Navy admiral, and there were state police cars everywhere and stormtroopers from the state police in this conference.
[1:53:04.120 --> 1:53:08.120]  You know who heads up FEMA in all the major departments? It's military people now.
[1:53:08.120 --> 1:53:11.120]  Yep, this confirms everything you've been talking about.
[1:53:11.120 --> 1:53:14.120]  So what else did they see and tell you to get out of there or what was going on?
[1:53:14.120 --> 1:53:24.120]  They gave me an escort out. I pretended like I was a senile old man because I was just walking around trying to snoop on him, and I said, oh, no, I'm just looking for the elevators.
[1:53:24.120 --> 1:53:30.120]  You know, I pretended like I was senile, so they escorted me. The security escorted me out, but they were marching through this place.
[1:53:30.120 --> 1:53:36.120]  The admiral had five flunkies in suits following him like an inch from him as he was marching through the corridors.
[1:53:36.120 --> 1:53:44.120]  And every day, this was three weeks ago, and every day on the news, every minute of every day on every station across the land, they were talking about the flu outbreak.
[1:53:44.120 --> 1:53:52.120]  They weren't hiding, but it was weird. Why would they be at a casino there to get in a little gambling while they were...
[1:53:52.120 --> 1:53:57.120]  Because, well, I'm going to be frank with you. What do you think runs the New World Order? It's the global mafia.
[1:53:57.120 --> 1:54:05.120]  But no, they're having regional meetings everywhere to test their federal flunkies, and they're promising all the locals all the power they're going to get.
[1:54:05.120 --> 1:54:13.120]  This is a criminal takeover of society, and they... Look, the foreign banks are openly imploding the economy by design.
[1:54:13.120 --> 1:54:22.120]  They'll soon have us completely sucked dry, and they know when the public panics, they're going to release some flu or something as a cover story, as an excuse to clamp down.
[1:54:22.120 --> 1:54:28.120]  Oh, we got to have martial law for a flu. Remember, three weeks ago, four weeks ago, I laid out it was a manufactured flu.
[1:54:28.120 --> 1:54:35.120]  Now, top scientists have looked at it and say, yes, it is totally manufactured, but as a beta test.
[1:54:35.120 --> 1:54:39.120]  And so it just gets crazier and crazier, my friend. I appreciate your call.
[1:54:39.120 --> 1:54:50.120]  Yeah, it's just Google Fusion Centers. It's the Fusion Centers that are getting these DHS reports saying veterans are the number one threat to homeland security.
[1:54:50.120 --> 1:54:56.120]  Number two, American gun owners. The whole anti-terror system is for you.
[1:54:56.120 --> 1:55:00.120]  You own a nice ranch. You own a company. You're the target.
[1:55:00.120 --> 1:55:05.120]  You're well to do. You're the target. You're a middle class. You're a veteran. You're a gun owner. You're a retired police officer.
[1:55:05.120 --> 1:55:12.120]  What do you think happened in Russia and China and Cambodia? You better read up. You better find out who the targets are.
[1:55:12.120 --> 1:55:19.120]  These people mean business. They are training youth corps, I'd say, to be ready in two, three years.
[1:55:19.120 --> 1:55:26.120]  They'll be ready. The guys that are 16 are going to be 18. And they are training to go in and to seek and destroy.
[1:55:26.120 --> 1:55:30.120]  To go in buildings. It's in the New York Times. Hidden in plain view.
[1:55:30.120 --> 1:55:37.120]  Oh, look at these young children training to kill the veterans and the homeland security guys are going in and get the shooters.
[1:55:37.120 --> 1:55:42.120]  Kill them. And it's always in a nice situational ethics where, you know, it's reasonable.
[1:55:42.120 --> 1:55:49.120]  Wonder if the Austin cops got that. Two guys are sleeping in a car and they gun them down. And, of course, the camera's malfunction.
[1:55:49.120 --> 1:55:54.120]  And people call in on the radio and defend it and say, the guy has served to die for being in a car at night.
[1:55:54.120 --> 1:55:59.120]  Well, when a cop kills your kid in a car at night, just remember you asked for that karma.
[1:55:59.120 --> 1:56:04.120]  And you're like, oh, you don't like the cops? Oh, no, I didn't like the cops in Nazi Germany or the Soviet Union,
[1:56:04.120 --> 1:56:08.120]  or in Orin Fidel's Cuba right now, or in Venezuela.
[1:56:08.120 --> 1:56:12.120]  No, you bet I don't. I don't like tyranny. If a cop's good and falls Bill of Rights, great.
[1:56:12.120 --> 1:56:16.120]  But the cops work for a system that works for foreign offshore banks.
[1:56:16.120 --> 1:56:20.120]  And cops, when they're done with you, you're going to be their number one enemy, so just get ready for it.
[1:56:20.120 --> 1:56:26.120]  You think you're in power right now? Just get ready. They're going to have a bunch of young scum right up underneath you.
[1:56:26.120 --> 1:56:29.120]  Let's go ahead and talk to Scott in Washington. Scott, go ahead.
[1:56:29.120 --> 1:56:36.120]  Yeah, I had a question I was going to ask you, but just incidentally, you'd asked what year that Archie Bunker clip was from.
[1:56:36.120 --> 1:56:38.120]  1972.
[1:56:38.120 --> 1:56:39.120]  72. Okay.
[1:56:39.120 --> 1:56:46.120]  Yeah, and that euphemism of the boss hall that you're always talking about, the guy that played him was actually in that episode too.
[1:56:46.120 --> 1:56:47.120]  No.
[1:56:47.120 --> 1:56:53.120]  So just a little trivial for your information. But what I was going to ask you was that protest at Arizona State,
[1:56:53.120 --> 1:56:58.120]  the one that Ernest Hancock was going to be a part of and passing out the DVDs.
[1:56:58.120 --> 1:57:01.120]  And I know you and Jason had them on your shows last week.
[1:57:01.120 --> 1:57:03.120]  Yeah, I saw video of them handing out the DVDs.
[1:57:03.120 --> 1:57:08.120]  Yeah, I was just curious. Was there any word on how that went?
[1:57:08.120 --> 1:57:15.120]  No, everybody said, oh, the Secret Service won't let them have Micro FM's broadcasting there and they won't let them hand out 15,000 of my DVDs.
[1:57:15.120 --> 1:57:20.120]  It's all a paper tiger. You have a First Amendment. They went out. They were very successful.
[1:57:20.120 --> 1:57:24.120]  Only had a few pirates, as they call the police, come up and tell them they'd have free speech.
[1:57:24.120 --> 1:57:27.120]  And they said, go ahead and arrest us if you want. The cops backed off.
[1:57:27.120 --> 1:57:32.120]  You see, we get these rights by demanding them and exercising them. The minute we bend over, we lose them.
[1:57:32.120 --> 1:57:42.120]  Yeah, and just to show you how they were trying to dumb it down on the left, one of his former station colleagues, Ernest Hancock, on the station he used to be on,
[1:57:42.120 --> 1:57:51.120]  was reading some article, I guess, that he either got it out of Daily Coulter, Huffington Post, basically, was an instruction guide on how the left should protest this
[1:57:51.120 --> 1:58:01.120]  and telling them, oh, well, you know, you can say it is, but don't really complain about it and talk about coming to the protest with a positive message.
[1:58:01.120 --> 1:58:06.120]  Yeah, it's all political correctness and control. You know, I meant to get into Bilderberg. We got articles detailing all of it.
[1:58:06.120 --> 1:58:12.120]  Their plan is global tax, global regulation, world government, bankrupting things, accelerating the depression.
[1:58:12.120 --> 1:58:18.120]  We have people inside, major breaking info in the articles and videos at infowars.com and prisonplanet.com.
[1:58:18.120 --> 1:58:23.120]  Great job, crew. Get fired up without freedom. Take on tyranny and we're going to win.
[1:58:23.120 --> 1:58:28.120]  It's no secret that Genesis Communications Network depends on listeners like you.
[1:58:28.120 --> 1:58:35.120]  Now you can do even more to hear Genesis shows in your area. Simply call your local radio stations and tell them about your favorite GCN programs.
[1:58:35.120 --> 1:58:43.120]  It's easy. Log on to GCNLive.com or call us toll free 877-807-4048.
[1:58:43.120 --> 1:58:52.120]  Make a difference. Call your local stations and contact us through affiliate relations at GCNLive.com or call 877-807-4048.
[1:58:52.120 --> 1:58:53.120]  Call today.
[1:58:53.120 --> 1:58:59.120]  Hi, this is Ted Anderson. Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[1:58:59.120 --> 1:59:05.120]  They've been available since 1986 yet the financial industry won't recognize the value of gold for your retirement.
[1:59:05.120 --> 1:59:13.120]  Gold is outperformed paper investments yet no word about IRAs. If you would like to have gold for your retirement, call 800-686-2237.
[1:59:13.120 --> 1:59:19.120]  Don't get left behind by rising inflation and low returns, call 800-686-2237.
[1:59:19.120 --> 1:59:26.120]  So you want to stop smoking? Well, here's what I want you to do. Go to a drugstore and take a stop smoking product off the shelf.
[1:59:26.120 --> 1:59:30.120]  Go to the cashier. Tell them you don't want to pay for the product. You just want to take it home and try it.
[1:59:30.120 --> 1:59:34.120]  And if and only if you stop smoking, will you then come back and pay for it.
[1:59:34.120 --> 1:59:40.120]  Most likely if you tried this, you'd be arrested. But as silly as this sounds, this is exactly what the smoke free free trial offer is.
[1:59:40.120 --> 1:59:43.120]  Smoke free is a complete all natural stop smoking system.
[1:59:43.120 --> 1:59:50.120]  And when you call today, they'll send you a 30 day supply of the program absolutely free.
[1:59:50.120 --> 1:59:55.120]  This program eliminates withdrawals and cravings and includes a 30 day supply of the smoke free capsules,
[1:59:55.120 --> 2:00:14.120]  a guide to living smoke free book, an audio support program, capsule holder.
