[00:00:13.206 --> 00:00:15.328]  He is a very, very busy man.
[00:26:39.086 --> 00:26:41.387]  So, just the level of hypocrisy.
[00:26:42.113 --> 00:26:53.103]  Well, I think, though, it goes beyond hypocrisy, because hypocrisy would imply that it's almost just a function of the circumstances of a particular case.
[00:26:53.103 --> 00:26:54.324]  It's not.
[00:26:54.324 --> 00:27:01.230]  This is the strategy whereby you dehumanize, demoralize, and destroy any opposition.
[00:27:01.830 --> 00:27:08.695]  Uh, you build up your own camp so that they become the exclusive, have the exclusive access, really, uh, to public opinion.
[00:27:08.695 --> 00:27:20.644]  Uh, and then you try to mobilize the force of law and law enforcement and the state, uh, eventually, including, of course, arresting and trying people and throwing them into jail or camp.
[00:27:21.484 --> 00:27:25.547]  Because they are dissenting from your policies.
[00:27:25.547 --> 00:27:34.792]  That's something that was systematically characteristic of these socialist regimes of the right and left, whether it's the Nazi regime or the old Soviet regime.
[00:27:34.792 --> 00:27:39.675]  These socialist regimes, all of them took this approach to politics.
[00:27:39.675 --> 00:27:50.582]  And of course they also adopted the famous Rahm Emanuel repeated dictum that you want to take advantage of a good crisis, right?
[00:27:51.814 --> 00:27:56.876]  And that of course includes manufacturing it if you don't have one.
[00:27:56.876 --> 00:28:00.397]  So that if you don't have a good crisis, you make one up, you cause one.
[00:28:00.397 --> 00:28:03.618]  I think that's one of the reasons why he's so irresponsible about spending.
[00:28:03.618 --> 00:28:13.361]  He actually wants to push us deeper and deeper into a critical and desperate economic situation that will justify consolidating more and more power.
[00:28:13.821 --> 00:28:16.927]  In the hands of the government that he controls.
[00:28:16.927 --> 00:28:18.870]  That's a standard practice.
[00:28:18.870 --> 00:28:25.622]  It just breaks my heart that because of the end of the Cold War, you know, when we were actively confronted by the Soviets.
[00:28:26.235 --> 00:28:33.400]  People were more aware on a daily basis of who these people were, what they did, what practices they carried forward.
[00:28:33.400 --> 00:28:37.163]  It was something that you grew up with and knew and understood.
[00:28:37.163 --> 00:28:50.732]  I think we have now had, what is it, 20, 30 years in which that's become less and less the case, and you have a lot of folks now who don't realize that what we're watching is simply part of a pattern that was common from the mid-20th century, quote.
[00:28:51.252 --> 00:28:55.099]  Yeah, in case you don't know, sir, it's up on InfoWars.com.
[00:28:55.099 --> 00:29:02.994]  We have at least six different, in English, two in Spanish, Florida news reports and several of them call for my arrest.
[00:29:03.880 --> 00:29:05.942]  I didn't come up with the Obama Joker poster.
[00:29:05.942 --> 00:29:07.423]  I saw it in LA.
[00:29:07.423 --> 00:29:10.165]  Nationally, they said it was racist, you should be arrested.
[00:29:10.165 --> 00:29:14.628]  So I put it up on my site and I said, folks, we gotta stand up to this attack on free speech.
[00:29:14.628 --> 00:29:17.250]  Post these in legal places everywhere.
[00:29:17.250 --> 00:29:20.872]  Now, they're on the news calling for my arrest.
[00:29:20.872 --> 00:29:23.574]  So, I can think of nothing more on American Ambassador.
[00:29:23.574 --> 00:29:28.758]  I wanna get your take on that and get back to the question of, you know what makes them tick.
[00:29:28.758 --> 00:29:30.479]  You've been proven to be right about them.
[00:29:30.479 --> 00:29:31.620]  What are they gonna try next?
[00:29:32.654 --> 00:29:39.320]  And then I want to get into some other issues like governors oppose DOD emergency powers.
[00:29:39.320 --> 00:29:45.345]  Obama wants to put 400,000 troops on the streets of America.
[00:29:45.345 --> 00:29:47.768]  You can't make this up.
[00:29:47.768 --> 00:29:49.169]  We're on the march.
[00:29:49.169 --> 00:29:51.691]  The empire's on the run.
[00:29:51.691 --> 00:29:54.393]  Alex Jones and the GCN Radio Network.
[00:29:57.125 --> 00:30:01.370]  Hello friends, this is Alex Jones, and I want each of you to ask yourself this question.
[00:30:01.370 --> 00:30:03.372]  Do you really know what's in your tap water?
[00:30:03.372 --> 00:30:11.901]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[00:30:11.901 --> 00:30:17.467]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[00:30:17.467 --> 00:30:19.089]  Now, what are you going to do about it?
[00:30:19.309 --> 00:30:25.812]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[00:30:25.812 --> 00:30:36.877]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere and uses state-of-the-art carbon filtration, reverse osmosis, and ultra-violent light sterilization techniques.
[00:30:36.877 --> 00:30:37.337]  That's right.
[00:30:37.637 --> 00:30:40.199]  Clean water, right from the air you breathe.
[00:30:40.199 --> 00:30:42.021]  Order today by calling 1-800-691-6043.
[00:30:42.021 --> 00:30:42.281]  That's 1-800-691-6043.
[00:30:42.281 --> 00:30:44.844]  Or visit Ecolablue on the web at www.ecoloble.com today.
[00:30:44.844 --> 00:30:45.444]  That's Ecolablue.com.
[00:30:58.260 --> 00:31:04.288]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:31:04.288 --> 00:31:10.176]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:31:10.176 --> 00:31:16.344]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:31:16.684 --> 00:31:18.626]  Well, Obama's already fudging.
[00:31:18.626 --> 00:31:21.089]  He's fudged since day one of this election.
[00:31:21.089 --> 00:31:32.061]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[00:31:34.275 --> 00:31:35.956]  It's not about left or right.
[00:31:35.956 --> 00:31:37.818]  It's about a one world government.
[00:31:37.818 --> 00:31:44.723]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:31:44.723 --> 00:31:52.990]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:31:52.990 --> 00:31:54.551]  The Obama Deception.
[00:31:54.551 --> 00:31:55.752]  The people strike back.
[00:31:57.278 --> 00:31:58.419]  There's a guy named M.Z.
[00:31:58.419 --> 00:32:01.821]  in Santa Cruz, California who owns one of our affiliate radio stations.
[00:32:01.821 --> 00:32:04.383]  He got laid off from a job he loved many years ago.
[00:32:04.383 --> 00:32:05.263]  He was devastated.
[00:32:05.263 --> 00:32:14.069]  But it taught him a lesson very early in life that even when you do a great job for someone and your boss tells you how much he appreciates you every day, there is no job security.
[00:32:14.069 --> 00:32:20.253]  You are always in danger of losing your job unless you take charge of your livelihood and own your own business.
[00:32:20.253 --> 00:32:22.955]  Since you are the boss, nobody can fire you.
[00:32:22.955 --> 00:32:23.815]  So M.Z.
[00:32:23.815 --> 00:32:25.336]  has been his own boss for over 37 years.
[00:32:26.457 --> 00:32:26.657]  We're good.
[00:32:49.176 --> 00:32:50.638]  OwnMyself.com.
[00:32:50.638 --> 00:32:51.819]  It takes very little money.
[00:32:51.819 --> 00:32:54.422]  And if you're interested, MZ wants to talk to you.
[00:32:54.422 --> 00:32:56.905]  Remember, Chocolate.OwnMyself.com.
[00:33:02.022 --> 00:33:04.865]  We're going back to Ambassador Alan Keyes here in just a moment.
[00:33:04.865 --> 00:33:08.269]  His website is loyaldeliberty.blogspot.com.
[00:33:08.269 --> 00:33:11.593]  We've got that up on the screen right now.
[00:33:11.593 --> 00:33:13.456]  I'm sure everybody will give it to you again before he leaves us.
[00:33:13.456 --> 00:33:14.837]  He's with us right to the end of the show.
[00:33:14.837 --> 00:33:16.419]  Another 25 minutes or so.
[00:33:16.419 --> 00:33:17.260]  Very honored to have him.
[00:33:17.260 --> 00:33:21.065]  I want to thank the sponsor of this hour of the show, a Cola Blue.
[00:33:21.946 --> 00:33:23.948]  And it is an atmospheric water generator.
[00:33:23.948 --> 00:33:30.554]  It grabs seven and a half gallons out of the air a day and then sends it through reverse osmosis, a carbon filter, a bunch of other stuff.
[00:33:30.554 --> 00:33:32.236]  It's just a great unit.
[00:33:32.236 --> 00:33:33.537]  Ecoloblue.com.
[00:33:33.537 --> 00:33:35.299]  E-C-O-L-O-B-L-U-E.
[00:33:35.299 --> 00:33:38.682]  Again, that's E-C-O-L-O-B-L-U-E.com.
[00:33:38.682 --> 00:33:39.443]  Or give them a call at 800-691-6043.
[00:33:42.904 --> 00:33:43.824]  I have this in the office.
[00:33:43.824 --> 00:33:45.445]  I have this in my home.
[00:33:45.445 --> 00:33:47.885]  It's an amazing system.
[00:33:47.885 --> 00:33:49.606]  And it doesn't come out of the tap.
[00:33:49.606 --> 00:33:51.506]  There's no fluoride, nothing in it.
[00:33:51.506 --> 00:33:52.766]  And then it goes through seven filters.
[00:33:52.766 --> 00:33:56.187]  Ecolablue.com or 800-691-6043.
[00:33:56.187 --> 00:33:56.427]  800-691-6043.
[00:33:56.427 --> 00:34:03.369]  And I remember years ago listening to Mr. Key's radio show, So Informed.
[00:34:03.369 --> 00:34:04.609]  We didn't do that anymore.
[00:34:04.609 --> 00:34:07.370]  But he's all over talk radio and TV and we always enjoy.
[00:34:07.950 --> 00:34:10.312]  Having him, and he got arrested.
[00:34:10.312 --> 00:34:13.093]  You could be there pro-abortion.
[00:34:13.093 --> 00:34:14.054]  You just couldn't be against it.
[00:34:14.054 --> 00:34:16.615]  We're going to talk about that coming up in a few minutes.
[00:34:16.615 --> 00:34:21.238]  But, sir, continue with the free speech issue.
[00:34:21.238 --> 00:34:28.963]  How can you put up signs with Bush as the Joker, Bush as a vampire, and I wasn't a fan of Bush tripling the size of government.
[00:34:28.963 --> 00:34:33.206]  Now, Obama's tripled it in seven, eight months though, so he obviously even worse.
[00:34:33.206 --> 00:34:34.526]  I didn't know that was possible.
[00:34:34.526 --> 00:34:36.568]  How do you, how do these people
[00:34:37.952 --> 00:34:39.894]  In fact, take the Village Voice.
[00:34:39.894 --> 00:34:44.218]  They put out, Bush is the vampire, killing the Statue of Liberty, drinking its blood.
[00:34:44.218 --> 00:34:54.748]  The very artist came out and said, no, it's okay to show Bush bad, but because Obama is partially African, you are not allowed to.
[00:34:54.748 --> 00:34:58.292]  I mean, it's just, they've got so much bravado.
[00:34:58.292 --> 00:35:01.475]  They're just so incredibly arrogant.
[00:35:01.915 --> 00:35:09.861]  And just so over-the-top they have no shame, can you comment on what makes them tick and the attacks on your free speech?
[00:35:09.861 --> 00:35:12.383]  Well, first of all, I think it's purely ideological.
