[00:00.000 --> 00:09.000]  This is an emergency transmission from FEMA Region 6 in occupied North America.
[28:47.000 --> 28:48.000]  You are good.
[28:48.000 --> 28:50.000]  Hollywood tells you you're not.
[28:50.000 --> 28:54.000]  The whole system tells you you're crap because you don't have these markings or these systems.
[28:54.000 --> 28:56.000]  It's a load of ****.
[28:56.000 --> 28:57.000]  It's a no-brainer.
[28:57.000 --> 29:00.000]  A Big Berkey water filter is the one you need, period.
[29:00.000 --> 29:05.000]  You need a water filter that removes chlorine, fluoride, pharmaceuticals, BPA and other endocrine disruptors,
[29:05.000 --> 29:08.000]  pesticides, bacteria, viruses and much more, right?
[29:08.000 --> 29:10.000]  And does it all at only two cents per gallon.
[29:10.000 --> 29:13.000]  Get the original, most trusted name in gravity water filtration, Big Berkey.
[29:13.000 --> 29:18.000]  And now GCN listeners receive 5% off ceramic filter systems using code GCN.
[29:18.000 --> 29:23.000]  Call or click 1-877-99 Berkey or bigberkeywaterfilters.com.
[29:23.000 --> 29:26.000]  That's 1-877-99 BERKEY.
[29:26.000 --> 29:29.000]  Most people think life insurance pays after you're dead.
[29:29.000 --> 29:30.000]  That's true.
[29:30.000 --> 29:35.000]  But did you know you can have tax-free access to your life insurance while you're still alive?
[29:35.000 --> 29:40.000]  You can use the life benefits of your life insurance to grow your money with certainty and guarantees.
[29:40.000 --> 29:44.000]  No stock market risk, no tax risk and no penalties.
[29:44.000 --> 29:48.000]  Call Life Benefits if you'd like a free book about how this can be done.
[29:48.000 --> 29:55.000]  Call 702-660-7000. That's 702-660-7000.
[30:18.000 --> 30:22.000]  The all new, supercharged Brain Force Plus.
[30:22.000 --> 30:25.000]  And fill the rust without the crash.
[30:25.000 --> 30:31.000]  Brain Force Plus is the next generation of advanced neural activation and new tropics.
[30:31.000 --> 30:39.000]  And now we've added a brand new ingredient called black pepper fruit extract that gives you an added kick.
[30:39.000 --> 30:52.000]  Other ingredients include vitamin B12 and neurological tonic and cognitive enhancers that will allow you to flip the switch and supercharge your state of mind.
[30:52.000 --> 30:53.000]  It's the real deal.
[30:53.000 --> 30:55.000]  Brain Force Plus.
[30:55.000 --> 31:00.000]  Secure your bottle right now at infowarstore.com.
[31:00.000 --> 31:02.000]  I want to plow into all of this.
[31:02.000 --> 31:20.000]  But I'm going to spend a few minutes here first just encouraging listeners to understand that when you buy t-shirts or water filtration systems or books or videos or other material from infowarstore.com, you are funding the revolution.
[31:20.000 --> 31:22.000]  I mean, I cannot say it any clearer.
[31:22.000 --> 31:26.000]  And so it is essential that you purchase the products at infowarstore.com.
[31:26.000 --> 31:33.000]  I don't want to thank everybody that has, but we've got the best fluoride-free toothpaste with colloidal silver and with high-quality atomic iodine in it.
[31:33.000 --> 31:36.000]  You cannot beat that for children and adults.
[31:36.000 --> 31:38.000]  We've got the best mouthwash designed by Dr. Jones.
[31:38.000 --> 31:41.000]  That's my dad with colloidal silver and iodine as well.
[31:41.000 --> 31:45.000]  Infowarslife.com or AAA-253-3139.
[31:45.000 --> 31:53.000]  And your purchase of the products stands with us, stands with America, stands with Trump, stands against the globalists and their satanic pedophile armies.
[31:53.000 --> 31:58.000]  And that's who they are, and they know we know who they are, and they're coming back against us so we need your support.
[32:24.000 --> 32:25.000]  Thank you.
[32:25.000 --> 32:30.000]  I use the Biotru Selenium, the super blue toothpaste for you folks who aren't big normal toothpaste fans.
[32:30.000 --> 32:32.000]  The super blue is awesome.
[32:32.000 --> 32:35.000]  And thank you so much, Alex, for the Infowarslife products.
[32:35.000 --> 32:36.000]  They are quality.
[32:36.000 --> 32:38.000]  I can't wait to get some more.
[32:38.000 --> 32:41.000]  And thank you so much for doing that for us to keep us healthy.
[32:41.000 --> 32:42.000]  Absolutely.
[32:42.000 --> 32:50.000]  Because then we could all, as educated patriots, help our other countrymen and women understand that there's bigger problems going on.
[32:50.000 --> 32:55.000]  And if we can get our houses in order and be good to each other and ourselves, we can take our country back.
[33:20.000 --> 33:27.000]  I, Donald John Trump, do solemnly swear.
[33:27.000 --> 33:32.000]  That I will faithfully execute.
[33:32.000 --> 33:38.000]  The office of President of the United States.
[33:38.000 --> 33:43.000]  And will to the best of my ability.
[33:43.000 --> 33:48.000]  Preserve, protect and defend.
[33:48.000 --> 33:53.000]  The Constitution of the United States.
[33:53.000 --> 33:54.000]  So help me God.
[33:54.000 --> 33:55.000]  So help me God.
[33:55.000 --> 34:24.000]  Congratulations.
[34:25.000 --> 34:47.000]  Thank you.
[34:47.000 --> 35:13.000]  What a great honor to be able to introduce for the first time ever anywhere the 45th President of the United States of America,
[35:13.000 --> 35:40.000]  Donald J. Trump.
[35:40.000 --> 35:52.000]  Chief Justice Roberts, President Carter, President Clinton, President Bush, President Obama, fellow Americans,
[35:52.000 --> 36:01.000]  and people of the world, thank you.
[36:01.000 --> 36:17.000]  We, the citizens of America, are now joined in a great national effort to rebuild our country and restore its promise for all of our people.
[36:17.000 --> 36:26.000]  Together we will determine the course of America and the world for many, many years to come.
[36:26.000 --> 36:34.000]  We will face challenges, we will confront hardships, but we will get the job done.
[36:34.000 --> 36:41.000]  Every four years we gather on these steps to carry out the orderly and peaceful transfer of power.
[36:41.000 --> 36:53.000]  And we are grateful to President Obama and First Lady Michelle Obama for their gracious aid throughout this transition.
[36:53.000 --> 37:03.000]  We have been magnificent. Thank you.
[37:03.000 --> 37:15.000]  Today's ceremony, however, has very special meaning, because today we are not merely transferring power from one administration to another,
[37:15.000 --> 37:34.000]  or from one party to another, but we are transferring power from Washington D.C. and giving it back to you, the people.
[37:34.000 --> 37:46.000]  For too long a small group in our nation's capital has reaped the rewards of government while the people have borne the cost.
[37:46.000 --> 37:53.000]  Washington flourished, but the people did not share in its wealth.
[37:53.000 --> 38:01.000]  Politicians prospered, but the jobs left and the factories closed.
[38:01.000 --> 38:08.000]  The establishment protected itself, but not the citizens of our country.
[38:08.000 --> 38:15.000]  Their victories have not been your victories. Their triumphs have not been your triumphs.
[38:15.000 --> 38:27.000]  And while they celebrated in our nation's capital, there was little to celebrate for struggling families all across our land.
[38:27.000 --> 38:43.000]  That all changes starting right here and right now, because this moment is your moment. It belongs to you.
[38:43.000 --> 39:07.000]  It belongs to everyone gathered here today and everyone watching all across America. This is your day, this is your celebration, and this, the United States of America, is your country.
[39:07.000 --> 39:23.000]  What truly matters is not which party controls our government, but whether our government is controlled by the people.
[39:23.000 --> 39:44.000]  January 20, 2017 will be remembered as the day the people became the rulers of this nation again.
[39:44.000 --> 39:54.000]  The forgotten men and women of our country will be forgotten no longer.
[39:54.000 --> 40:11.000]  Everyone is listening to you now. You came by the tens of millions to become part of a historic movement, the likes of which the world has never seen before.
[40:11.000 --> 40:21.000]  At the center of this movement is a crucial conviction that a nation exists to serve its citizens.
[40:21.000 --> 40:31.000]  Americans want great schools for their children, safe neighborhoods for their families, and good jobs for themselves.
[40:31.000 --> 40:41.000]  These are just and reasonable demands of righteous people and a righteous public.
[40:41.000 --> 40:46.000]  But for too many of our citizens a different reality exists.
[40:46.000 --> 40:58.000]  Mothers and children trapped in poverty in our inner cities, rusted out factories scattered like tombstones across the landscape of our nation.
[40:58.000 --> 41:09.000]  An education system flushed with cash, but which leaves our young and beautiful students deprived of all knowledge.
[41:09.000 --> 41:21.000]  And the crime, and the gangs, and the drugs that have stolen too many lives and robbed our country of so much unrealized potential.
[41:21.000 --> 41:38.000]  This American carnage stops right here and stops right now.
[41:38.000 --> 41:49.000]  We are one nation, and their pain is our pain. Their dreams are our dreams, and their success will be our success.
[41:49.000 --> 41:57.000]  We share one heart, one home, and one glorious destiny.
[41:57.000 --> 42:09.000]  The oath of office I take today is an oath of allegiance to all Americans.
[42:09.000 --> 42:24.000]  For many decades we've enriched foreign industry at the expense of American industry, subsidized the armies of other countries while allowing for the very sad depletion of our military.
[42:24.000 --> 42:36.000]  We've defended other nations' borders while refusing to defend our own.
