[00:00:07.412 --> 00:00:11.794]  Ladies and gentlemen.
[00:24:27.503 --> 00:24:48.674]  You've got Big Tech saying you're not allowed to report on now more than 50 arrests on the West Coast for arson, catching people in the act with Moloff cocktails, gasoline matches, on people's property, on highways, in vineyards, running around, setting fires, on surveillance camera, the police see it, and when the police report arson, the police are being
[00:24:49.474 --> 00:24:50.114]  Get off the floor!
[00:24:50.114 --> 00:24:51.175]  Get off the floor right now!
[00:25:21.513 --> 00:25:24.636]  What are you doing in my property?
[00:25:24.636 --> 00:25:26.517]  You're passing through, I didn't know it was property.
[00:25:26.517 --> 00:25:28.239]  Did you light anything on fire?
[00:25:28.239 --> 00:25:28.919]  No, ma'am.
[00:25:28.919 --> 00:25:31.261]  What are you doing with those matches on your head?
[00:25:31.261 --> 00:25:33.283]  I smoke.
[00:25:33.283 --> 00:25:33.803]  You smoke?
[00:25:33.803 --> 00:25:35.885]  Where are your f***ing cigarettes?
[00:25:35.885 --> 00:25:37.526]  We don't want to have matches right now.
[00:25:37.526 --> 00:25:39.308]  Did you light anything up on fire?
[00:25:39.308 --> 00:25:41.449]  No.
[00:25:41.449 --> 00:25:42.890]  What's your name?
[00:25:42.890 --> 00:25:46.694]  Corey Allen.
[00:25:46.694 --> 00:25:47.474]  They're catching people everywhere.
[00:25:47.474 --> 00:25:48.975]  Stay right there, I got the cops coming.
[00:25:48.975 --> 00:25:49.396]  It's fine.
[00:25:54.104 --> 00:25:56.105]  It's an army of homeless zombies.
[00:25:56.105 --> 00:25:57.045]  They're being paid to do this.
[00:25:57.045 --> 00:25:58.345]  He's got matches on his hand!
[00:25:58.345 --> 00:26:03.447]  Make sure you snap pictures of him!
[00:26:03.447 --> 00:26:05.188]  Alright, let's go to the next video.
[00:26:05.188 --> 00:26:09.069]  Here is another area of Oregon.
[00:26:09.069 --> 00:26:12.450]  They've got a bunch of other videos where they caught him in California actually lighting the fires.
[00:26:12.450 --> 00:26:17.632]  Here's the video.
[00:26:17.632 --> 00:26:19.573]  It's 1046 AM.
[00:26:19.573 --> 00:26:21.453]  Here comes the zombo.
[00:26:21.453 --> 00:26:22.574]  Starts lighting fires.
[00:26:23.507 --> 00:26:24.527]  Like a good little leftist.
[00:26:24.527 --> 00:26:26.048]  And they're just doing it everywhere.
[00:26:26.048 --> 00:26:32.011]  They did a test run of this like eight years ago in Austin.
[00:26:32.011 --> 00:26:33.311]  And he sets the fire.
[00:26:33.311 --> 00:26:36.233]  Now, if you try to put this on Facebook or anywhere else, it is deleted.
[00:26:36.233 --> 00:26:38.153]  It does not exist.
[00:26:38.153 --> 00:26:39.694]  Okay?
[00:26:39.694 --> 00:26:41.815]  They are under the control of Communist China.
[00:26:41.815 --> 00:26:43.536]  America is fighting for its life.
[00:26:43.536 --> 00:26:46.137]  This is a war against our entire country.
[00:26:46.137 --> 00:26:49.859]  And their meth-head zombie forces are launching attacks.
[00:26:49.859 --> 00:26:51.259]  Citizens, keep your eyes peeled.
[00:26:51.259 --> 00:26:52.060]  Defend the Republic.
[00:26:52.060 --> 00:26:52.600]  We'll be right back.
[00:26:52.600 --> 00:26:52.960]  Stay with us.
[00:26:56.235 --> 00:27:06.504]  I don't have to tell you that fish oil is known to be so good for your brain, so good for your heart, so good for your cells, your cardiovascular system, your lungs, your sleep.
[00:27:06.504 --> 00:27:07.805]  It's amazing.
[00:27:07.805 --> 00:27:17.212]  Well, we set out a few years ago to go out and develop with top manufacturers the strongest, highest quality, purest fish oil out there.
[00:27:17.212 --> 00:27:19.334]  And this blend is amazing.
[00:27:19.334 --> 00:27:20.135]  Ultimate Fish Oil.
[00:27:20.555 --> 00:27:23.217]  Back in stock at InfoWarsTore.com.
[00:27:23.217 --> 00:27:25.979]  Wild anchovy purified fish oil.
[00:27:25.979 --> 00:27:28.260]  Ultra Pure Arctic Krill Oil.
[00:27:28.260 --> 00:27:30.862]  High quality wild caught salmon oil.
[00:27:30.862 --> 00:27:34.644]  Vitamin D, Vitamin E. Supports optimal heart health.
[00:27:34.644 --> 00:27:36.125]  Supports optimal joint health.
[00:27:36.125 --> 00:27:37.687]  Supports optimal cognitive health.
[00:27:37.687 --> 00:27:38.867]  Supports immune function.
[00:27:38.867 --> 00:27:40.068]  Supports vascular health.
[00:27:40.068 --> 00:27:41.629]  Supports circulatory health.
[00:27:41.629 --> 00:27:42.710]  It goes on and on.
[00:27:42.710 --> 00:27:49.194]  Get your Ultimate Fish Oil discounted with free shipping right now at InfoWarsTore.com and Ultimate Krill Oil as well.
[00:27:49.194 --> 00:27:50.215]  InfoWarsTore.com.
[00:27:50.435 --> 00:27:51.109]  I don't care anymore.
[00:27:55.137 --> 00:27:58.439]  Remember 15 days to flatten the curve because the hospitals were so full?
[00:27:58.439 --> 00:27:59.459]  Of course, all that was a lie.
[00:27:59.459 --> 00:28:00.780]  All that was a fraud.
[00:28:00.780 --> 00:28:03.261]  The Rockefeller and Bill Gates documents from the beginning are on record.
[00:28:03.261 --> 00:28:06.002]  They said the mask wearing will never end.
[00:28:06.002 --> 00:28:07.583]  The social distancing will never end.
[00:28:07.583 --> 00:28:09.424]  The forced inoculations will never end.
[00:28:09.424 --> 00:28:15.327]  The social tracking through your cell phones and the global social credit score will never end if you put up with it.
[00:28:15.327 --> 00:28:18.108]  This is the rollout of the post-human world.
[00:28:18.108 --> 00:28:24.471]  I know you know that, but I've seen National Democrat Party statements and I've seen CNN and others point out that
[00:28:24.631 --> 00:28:27.172]  Jones says that COVID is a hoax.
[00:28:27.172 --> 00:28:28.893]  What I'm saying is it's an overblown fraud.
[00:28:28.893 --> 00:28:29.774]  It's a scam.
[00:28:29.774 --> 00:28:33.135]  But he sells InfoWars.com masks.
[00:28:33.135 --> 00:28:39.739]  Yes, if you're going to be made to do it to fly in an airport or by the police on a train, then fight back with information warfare.
[00:28:39.739 --> 00:28:41.339]  Have a walking billboard.
[00:28:41.339 --> 00:28:45.301]  That's hypocrisy to be able to hold two different ideas in your head at the same time.
[00:28:45.301 --> 00:28:48.923]  If you're going to be raped by these people, they're going to put the burqa over your head.
[00:28:48.923 --> 00:28:52.225]  Might as well advertise it with InfoWars.com.
[00:28:52.225 --> 00:28:53.406]  It's that simple, ladies and gentlemen.
[00:28:53.406 --> 00:28:53.786]  Fight back.
[00:28:55.157 --> 00:29:01.061]  I talk about all the horrible things that are happening, and I point out that the globalists are a eugenics death cult because it's true.
[00:29:01.061 --> 00:29:02.862]  I don't say it to scare you.
[00:29:02.862 --> 00:29:05.384]  A lot of people say, man, this show is dark.
[00:29:05.384 --> 00:29:09.126]  Well, you've got to know you're dealing with evil if you're going to defeat it.
[00:29:09.126 --> 00:29:16.351]  And if we just listen to the surface of what the NWO propagandists are saying, they have reasons to sell this garbage to the general public.
[00:29:16.351 --> 00:29:22.815]  But if you just scratch the surface, they're so arrogant, they've all written detailed blueprints of this plan.
[00:29:22.815 --> 00:29:24.957]  And more and more are being honest about it.
[00:29:25.698 --> 00:29:32.363]  Because there comes a point where, as David Icke says, they have to stop hiding it and start selling it.
[00:29:32.363 --> 00:29:35.245]  So we're at the point of the emergence now.
[00:29:35.245 --> 00:29:37.127]  And it's coming out in the open.
[00:29:37.127 --> 00:29:42.491]  And some people, under mass Stockholm Syndrome, are going to submit to any level of tyranny.
[00:29:42.491 --> 00:29:44.453]  But others are going to fight.
[00:29:44.453 --> 00:29:49.417]  This isn't like some old dictatorship that you could submit to it and join and it'd be okay.
[00:29:49.417 --> 00:29:49.938]  No.
[00:29:49.938 --> 00:29:52.940]  This thing is post-human exterminism.
[00:29:52.940 --> 00:29:53.781]  Research what that is.
[00:29:57.975 --> 00:30:13.625]  You're listening to The Alex Jones Show.
[00:30:13.625 --> 00:30:17.067]  Spineless from the start.
[00:30:17.067 --> 00:30:18.468]  Sucked into the heart.
[00:30:28.257 --> 00:30:33.019]  Joe Biden plays the lead part.
[00:30:33.019 --> 00:30:39.342]  Remember, CNN about three weeks ago came out and said, don't worry, Biden's going to step down and Kamala Harris or somebody else will be president.
[00:30:39.342 --> 00:30:42.024]  Pelosi's been saying she's going to be president.
[00:30:42.024 --> 00:30:46.266]  This is like something right out of a Greek tragedy or something.
[00:30:46.266 --> 00:30:50.348]  All these crazy people battling for power that they can't even understand or wield.
[00:30:52.452 --> 00:31:03.075]  It's all coming up, but I want to talk in a moment about the next phase of censorship and control and the sleight of hand that's going on that's based on sleight of hand itself.
[00:31:03.075 --> 00:31:08.957]  But let's continue along with what's unfolding.
[00:31:08.957 --> 00:31:17.760]  You saw a few days ago the sheriff's deputies, Saturday, both shot in the head in L.A.
[00:31:17.760 --> 00:31:21.901]  One woman, who'd been a librarian previously but saw society breaking down, became an officer.
[00:31:23.407 --> 00:31:28.413]  Was shot through both sides of her jaw, blowing most of her teeth and lower mandible out.
[00:31:28.413 --> 00:31:33.699]  She still saved her partner, who was bleeding to death, with a tourniquet.
[00:31:33.699 --> 00:31:37.143]  With her jaw basically blown off, hanging.
[00:31:37.143 --> 00:31:40.127]  See the shocking, still shot from surveillance footage right there.
[00:31:43.482 --> 00:31:59.606]  For having a upper blue collar job that pays $50,000 a year and all the hate that comes with it being called to all the dangerous bars and businesses and home disturbances, that's what you get is shot in the face for it.
[00:31:59.606 --> 00:32:05.448]  Now there's so many videos of this and I noticed that watching these made me, over the weekend, the last few days, blow up.
[00:32:06.345 --> 00:32:09.686]  And be a jerk to my wife and a jerk to the crew.
[00:32:09.686 --> 00:32:19.470]  Because just seeing the media praise this, and seeing the media defending it, and seeing all the videos of Black Lives Matter celebrating it, physically makes me angry.
[00:32:19.470 --> 00:32:21.150]  Because this is the death of logic.
[00:32:21.150 --> 00:32:23.231]  This is extremely evil.
[00:32:23.231 --> 00:32:28.533]  And this is an attempt to overthrow local government, to not get rid of police, but bring in globalist police.
[00:32:28.533 --> 00:32:30.134]  So this is terrorism!
[00:32:30.134 --> 00:32:30.754]  Terrorism is
[00:32:32.725 --> 00:32:39.049]  Carrying out violence or threatening violence to make someone accept your political or economic demands.
[00:32:39.049 --> 00:32:44.112]  And we're being told by the Democrats, you do what we want or we're going to burn the country down and start killing everybody.
[00:32:44.112 --> 00:33:00.602]  And because Pelosi and Michael Moore and Hillary Clinton and Barack Obama and Eric Holder and Big Mike and George Soros and all these other people never pay for attacking us, they get more and more bold.
[00:33:03.148 --> 00:33:11.273]  Why do you think they'd wipe 34 phones and devices from the Mueller witch hunt when it's a felony, 20 years in prison each time?
[00:33:11.273 --> 00:33:16.756]  Because they are pissing in our faces because they're criminals.
[00:33:16.756 --> 00:33:20.319]  And they think we're weak.
[00:33:20.319 --> 00:33:29.184]  And behind the scenes, they've got the whole president's family under criminal investigation, both state and federal, and almost all of his top supporters.
[00:33:29.184 --> 00:33:30.685]  And most people roll over under that.
[00:33:32.892 --> 00:33:43.599]  So these criminals have never even had a bloody nose, much less politically, their teeth knocked out.
[00:33:43.599 --> 00:33:55.967]  And so, they got that walkin' hubris of a fool, of a clown, right before it steps into oblivion.
[00:33:55.967 --> 00:33:58.289]  But the fall of Colossus' clowns
[00:34:00.759 --> 00:34:07.241]  It tends to take a lot of civilization with it, so this is a harbinger of destruction.
[00:34:07.241 --> 00:34:11.603]  We're on the eve of destruction, make no mistake.
[00:34:11.603 --> 00:34:27.109]  The sins we've committed will be dealt with by God and all the disasters and all the corruption, all the pedophilia and all the Satanism coming out in the open, climbing out of their holes, slithering out of their nest,
[00:34:31.718 --> 00:34:35.601]  He's only a prelude.
[00:34:35.601 --> 00:34:45.529]  Because their writhing death rattles are going to be spectacular.
[00:34:45.529 --> 00:34:49.272]  And many of us will be drugged down with them.
[00:34:49.272 --> 00:34:55.418]  Like Captain Ahab and the Great White Whale.
[00:34:55.418 --> 00:34:55.998]  Moby Dick.
[00:34:59.969 --> 00:35:22.034]  So let's play just one of the many videos of someone who witnessed the two police being shot in the head for no reason, celebrating with satanic delight that the founders of Black Lives Matter say that murder is what the spirits want, a blood offering.
