[00:00.000 --> 00:01.020]  In the conditioning!
[27:38.540 --> 27:42.460]  does that. I've played that with my kids in the, in the woods behind the house with those nerf arrows.
[27:42.460 --> 27:46.300]  Those are a lot of fun. Not saying that's bad. I'm just saying you don't want to actually come out
[27:46.300 --> 27:50.140]  and do that in the real world and start like a dude walks into a group of about 30 of you and
[27:50.140 --> 27:55.260]  he's not afraid, probably been in some fights, probably not scared of getting punched. And you
[27:55.260 --> 27:59.820]  guys got knocked upside your heads and it's just pathetic to watch these comebacks in motion.
[27:59.820 --> 28:06.220]  And when we come back, Biden to the trader, who by the way, I forgot he did have brain surgery
[28:06.220 --> 28:13.020]  for a stroke. And I think he probably had a mini stroke when he was up there in that speech.
[28:13.020 --> 28:17.580]  We'll play the audio again for you where he sounds like a mixture of porky pig and
[28:18.460 --> 28:23.260]  slowed down two times. It's kind of sad that that's the best they've got, or maybe it's
[28:23.260 --> 28:27.500]  apathetic. We are, we can't beat him. But please, however you're listening, the globalists are
[28:27.500 --> 28:32.860]  trying to move heaven and earth to shut us up ahead of the election. And in six months we'll
[28:32.860 --> 28:36.460]  be in the middle of the election. That's why they're trying to strangle him forwards. Please
[28:36.460 --> 28:40.220]  tell everybody about every local radio station you're listening to, tell them people about it
[28:40.220 --> 28:46.620]  aggressively, lovingly, persistently, and please tell people, hey, Alex Jones, the forbidden guy,
[28:46.620 --> 28:53.180]  he's still on the air, newswars.com. You go there. I know you know that. You're the smart folks.
[28:53.180 --> 28:58.780]  We got to get the general public to do this. They get the big picture.
[29:23.180 --> 29:29.180]  You have to escape it before it's too late. Haven't you ever wanted to wake up from this nightmare?
[29:29.180 --> 29:34.860]  Matthew David's free quick study guide shows you what to do today to build lasting wealth
[29:34.860 --> 29:41.260]  in any economy. His discovery he made, it's all consciousness. Get Matthew seven figure quick
[29:41.260 --> 29:46.780]  study guide for clarity, certainty, and a proven strategy to build wealth. Once and for all,
[29:46.780 --> 29:54.940]  visit EscapeRightNow.com. Do it now. It's free. EscapeRightNow.com for a prosperous future ahead
[29:54.940 --> 29:58.220]  with peace of mind. EscapeRightNow.com.
[30:01.100 --> 30:05.900]  I want to say brain force is great. I want to say turbo force is amazing. It is. But if you took it
[30:05.900 --> 30:12.140]  with fish oil, it's like the fish oil is it. The fish oil is better than that. And that's an example
[30:12.140 --> 30:18.300]  of what I'm talking about. Fish oil is liquid energy, brain, body, heart, the cleanest, the best
[30:18.300 --> 30:22.460]  out there. You've got the children's, you've got the adults, you've got the krill oil. If you're
[30:22.460 --> 30:25.900]  going to get the full effect, the fish oil and the children's are really strong. They don't give
[30:25.900 --> 30:30.380]  you the burpees, but krill oil is the best and it'll give you the damn burps. And I'm sorry.
[30:30.380 --> 30:34.620]  You want something like this, you don't get stuff for free. The krill is hallucinogenic. It's so
[30:34.620 --> 30:38.460]  good. In my view, I'm not a medical statement here, but let me tell you something. I eat five
[30:38.460 --> 30:45.180]  capitalets of krill oil before I go to bed. I'm seeing Santa Claus that night. So your brain
[30:45.180 --> 30:53.500]  is made basically out of what fish oil is. So we don't make a big profit off of it, but you
[30:53.500 --> 30:58.300]  notice I just obsess because whatever the best is we've got, I just can't lie to you. I just can't do it.
[30:58.300 --> 31:09.660]  The Real Red Pill Plus, ladies and gentlemen, our team is constantly on the lookout for newer and
[31:09.660 --> 31:14.300]  better ways to improve our products. That's why we're bringing you a brand new version of one of
[31:14.300 --> 31:20.300]  the newest fan favorite products, the Real Red Pill Plus. The Real Red Pill Plus is an all-new
[31:20.300 --> 31:25.180]  version of the Powerhouse fragrance product. It features the same great formula that supports
[31:25.180 --> 31:31.100]  your heart, brain, and healthy aging process with an all-new natural caffeine boost included.
[31:31.100 --> 31:35.500]  A powerful, pregnant-owned base, the Real Red Pill, will quickly become one of our
[31:35.500 --> 31:40.700]  fellow InfoWars' favorite products. Now, with an extra proprietary energy blend inside,
[31:40.700 --> 31:45.740]  including Redi Extra, your Ramate Leaf Extract, and more, you can get that extra pick-me-up
[31:45.740 --> 31:50.220]  all supporting your mind and body in a healthy way. That's all the great stuff that Real Red Pill
[31:50.220 --> 31:56.620]  has. It's also got the most in it. Get the Real Red Pill Plus at infowarstore.com.
[32:20.220 --> 32:25.580]  Life is a powerful probiotic supplement with 20 of the most potent clinically-studied probiotic
[32:25.580 --> 32:31.500]  strains. When paired with carnivore, our incredible enzyme formula that helps you break down nutrients,
[32:31.500 --> 32:36.860]  these formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[32:37.500 --> 32:42.780]  These incredible formulas can help keep your body in tip-top shape in the fight against stress,
[32:42.780 --> 32:49.260]  age, and outside toxins. There's no better time to try fluorolife and carnivore to see how well
[32:49.260 --> 32:54.940]  they can support your body. Don't miss out on the chance to fuel your body and support recovery.
[32:54.940 --> 33:20.460]  Try the InfoWars Life Daily Digestive Pack today.
[33:25.260 --> 33:33.660]  What do you think people should do with what's going on? What's the danger for we the people
[33:33.660 --> 33:38.860]  in all this? You say there's going to be a rough and wild summer. You had Donald Trump
[33:38.860 --> 33:44.060]  making sure all Americans are armed. What's the danger for we the people?
[33:44.620 --> 33:51.500]  The danger for we the people right now is the dark left and dark left violence. Because as these
[33:51.500 --> 33:58.140]  arrests, these indictments first of all begin to come out and as the players are called out,
[33:58.140 --> 34:03.740]  the violence on I call it the dark left is going to increase to the point where it's going to be
[34:04.540 --> 34:08.060]  very, very bad. There's going to be beatings. There's probably going to be shootings. There's
[34:08.060 --> 34:13.260]  probably going to be shootings at police and the dark left seeing this, knowing that this
[34:13.260 --> 34:17.660]  didn't work. I think there's going to be a lot of violence if you want to call it left. There's
[34:17.660 --> 34:22.220]  going to be a lot of violence coming from the left in the next year or two Americans. This is
[34:22.220 --> 34:27.020]  one of the reasons that they need to exercise their Second Amendment right, which I do quite a bit
[34:27.020 --> 34:33.180]  actually, is because of what the left is going to do with these findings and the fact that this
[34:33.180 --> 34:38.780]  could be the death knell for what is now the Democratic Party and certainly the death knell of
[34:38.780 --> 34:43.500]  this coup and the death knell of the dark left's attempt to take over our Constitution and culture.
[34:43.500 --> 34:47.900]  They're going to see that and they're going to bring exponentially bring up their violence
[34:47.900 --> 34:51.340]  and Americans need to arm themselves. They need to protect themselves against that.
[34:52.220 --> 35:00.220]  Now, what did I say last year when Twitter banned me? I said Antifa has announced plans and it's
[35:00.220 --> 35:05.900]  coordinated out of major foundations and out of major universities with stay-behind groups inside
[35:05.900 --> 35:11.500]  the CIA and FBI, not the entire agencies, but those criminal networks, those embed groups,
[35:11.500 --> 35:17.660]  as Trump calls them, the proper name is stay-behind networks to target and to get intel
[35:18.220 --> 35:22.940]  through their leftist networks on where law enforcement leadership lives, where members of
[35:22.940 --> 35:29.020]  Congress live, where local government people live that are patriots and they have actually dreamed
[35:29.020 --> 35:33.420]  up the schemes that they're going to then come to your house or your work and kill you and your
[35:33.420 --> 35:38.220]  family. Now, of course, this is not going to go too well when they send the methods to do it.
[35:38.220 --> 35:44.540]  They're not meant to do well. They're the decoys like spies like us. There will be some targeted
[35:44.540 --> 35:50.300]  real assassination that takes place carried out by professionals and that's why folks need to be
[35:50.300 --> 35:57.260]  very concerned about this. Now, remember they had Lester Holt and all the rest of the usual suspects
[35:58.140 --> 36:03.740]  read edited statements I said on air. They didn't play audio. They didn't show video because it
[36:03.740 --> 36:08.780]  would have been so edited like word salad made up or like the refrigerator magnets or you could
[36:08.780 --> 36:13.900]  cut stuff out of a magazine and say whatever you want. Magazine may just be an article about
[36:14.620 --> 36:21.500]  gardening, but you could probably cut the words into anything you wanted, a ransom note, anything.
[36:22.700 --> 36:26.620]  And remember, it was a big national story. Jones says attack the media with battle rifles.
[36:27.340 --> 36:31.420]  No, I said Antifa says they're coming to your house just like they did Tucker Carlson. They
[36:31.420 --> 36:37.420]  threatened to kill his wife and you better have your battle rifle next to your bed. I mean, seriously,
[36:38.140 --> 36:46.300]  you better have your firearms ready and secured and you better have a plan of what you're going to do.
[36:47.900 --> 36:51.660]  And if you see the Antifa bust in your door or come in your house,
[36:51.660 --> 36:57.100]  you are under bodily harm threat and you have to defend yourself. So you better think about
[36:57.100 --> 37:01.660]  the type of ammunition you have so that the bullets don't go into your neighbor's house
[37:01.660 --> 37:06.300]  when they go through the Antifa scum. So this is the real world, ladies and gentlemen.
[37:07.660 --> 37:13.740]  This is what's actually unfolding and all the different killing of police,
[37:13.740 --> 37:19.500]  all the different stuff you saw under Obama, that was a prelude to try to get them to capitulate
[37:19.500 --> 37:23.580]  to globalist control for the federal government at that time under Obama's control. And while
[37:23.580 --> 37:30.700]  Retta Lynch had the Strong Cities Initiative to literally put the police of the country under
[37:30.700 --> 37:37.580]  UN control, that's mainstream news. You can't make that up. This is red dawn, level garbage,
[37:38.380 --> 37:43.900]  pipe dreamed out of Bill Ayers and these people who planned this back in the 60s and 70s and now
[37:43.900 --> 37:48.860]  they tried race war under Obama, it failed. And again, it came out in all the documents and all
[37:48.860 --> 37:55.740]  the statements and all the books and all the WikiLeaks that that was their plan. A bold and
[37:55.740 --> 38:01.100]  sane plan and guess what? It's failed and their coup against Trump has failed. But it doesn't
[38:01.100 --> 38:06.060]  mean that just because these rattlesnakes are down, they're out. They are more dangerous
[38:06.940 --> 38:14.140]  and more vicious and more wild eyed than they've ever been. So you just heard the clip there
