[00:00.000 --> 00:25.000]  Yeah! Praise God America is Awakening! Humanity is Awakening! And Jesus Christ is King!
[1:55:12.000 --> 1:55:30.000]  It doesn't matter because God wins.
[1:55:30.000 --> 1:55:50.000]  And we have been betrayed by the Supreme Court.
[1:55:50.000 --> 1:56:00.000]  It was never the Supreme Court's revolution.
[1:56:00.000 --> 1:56:02.000]  It was never the Republican Party's revolution.
[1:56:02.000 --> 1:56:10.000]  It was always our revolution.
[1:56:10.000 --> 1:56:38.000]  It was never the Supreme Court's revolution.
[1:56:38.000 --> 1:56:48.000]  It was never the Supreme Court's revolution.
[1:56:48.000 --> 1:56:58.000]  It was never the Supreme Court's revolution.
[1:56:58.000 --> 1:57:08.000]  It was never the Supreme Court's revolution.
[1:57:08.000 --> 1:57:18.000]  It was never the Supreme Court's revolution.
[1:57:18.000 --> 1:57:38.000]  It was never the Supreme Court's revolution.
[1:57:38.000 --> 1:57:48.000]  It was never the Supreme Court's revolution.
[1:57:48.000 --> 1:57:58.000]  It was never the Supreme Court's revolution.
[1:57:58.000 --> 1:58:08.000]  It was never the Supreme Court's revolution.
[1:58:08.000 --> 1:58:18.000]  It was never the Supreme Court's revolution.
[1:58:18.000 --> 1:58:46.000]  It was never the Supreme Court's revolution.
[1:58:46.000 --> 1:59:06.000]  It was never the Supreme Court's revolution.
[1:59:06.000 --> 1:59:34.000]  It was never the Supreme Court's revolution.
[1:59:34.000 --> 1:59:54.000]  It was never the Supreme Court's revolution.
[1:59:54.000 --> 2:00:14.000]  It was never the Supreme Court's revolution.
[2:00:14.000 --> 2:00:24.000]  It was never the Supreme Court's revolution.
[2:00:24.000 --> 2:00:34.000]  It was never the Supreme Court's revolution.
[2:00:34.000 --> 2:00:54.000]  It was never the Supreme Court's revolution.
[2:00:54.000 --> 2:01:14.000]  It was never the Supreme Court's revolution.
[2:01:14.000 --> 2:01:34.000]  It was never the Supreme Court's revolution.
[2:01:34.000 --> 2:02:02.000]  It was never the Supreme Court's revolution.
[2:02:02.000 --> 2:02:22.000]  It was never the Supreme Court's revolution.
[2:02:22.000 --> 2:02:50.000]  It was never the Supreme Court's revolution.
[2:02:50.000 --> 2:03:06.000]  It was never the Supreme Court's revolution.
[2:03:06.000 --> 2:03:18.000]  It was never the Supreme Court's revolution.
[2:03:18.000 --> 2:03:46.000]  It was never the Supreme Court's revolution.
[2:03:46.000 --> 2:04:06.000]  It was never the Supreme Court's revolution.
[2:04:06.000 --> 2:04:34.000]  It was never the Supreme Court's revolution.
[2:04:34.000 --> 2:04:56.000]  It was never the Supreme Court's revolution.
[2:04:56.000 --> 2:05:16.000]  It was never the Supreme Court's revolution.
[2:05:16.000 --> 2:05:44.000]  It was never the Supreme Court's revolution.
[2:05:44.000 --> 2:06:12.000]  It was never the Supreme Court's revolution.
[2:06:12.000 --> 2:06:40.000]  It was never the Supreme Court's revolution.
[2:06:40.000 --> 2:07:08.000]  It was never the Supreme Court's revolution.
[2:07:08.000 --> 2:07:36.000]  It was never the Supreme Court's revolution.
[2:07:36.000 --> 2:08:04.000]  It was never the Supreme Court's revolution.
[2:08:04.000 --> 2:08:32.000]  It was never the Supreme Court's revolution.
[2:08:32.000 --> 2:09:00.000]  It was never the Supreme Court's revolution.
[2:09:00.000 --> 2:09:28.000]  It was never the Supreme Court's revolution.
[2:09:28.000 --> 2:09:56.000]  It was never the Supreme Court's revolution.
[2:09:56.000 --> 2:10:24.000]  It was never the Supreme Court's revolution.
[2:10:24.000 --> 2:10:44.000]  It was never the Supreme Court's revolution.
[2:10:54.000 --> 2:11:22.000]  It was never the Supreme Court's revolution.
[2:11:22.000 --> 2:11:48.000]  It was never the Supreme Court's revolution.
[2:11:48.000 --> 2:11:56.000]  You're listening to The Alex Jones Show.
[2:12:18.000 --> 2:12:38.000]  You're listening to The Alex Jones Show.
[2:12:38.000 --> 2:13:06.000]  You're listening to The Alex Jones Show.
[2:13:06.000 --> 2:13:34.000]  You're listening to The Alex Jones Show.
[2:13:34.000 --> 2:13:56.000]  You're listening to The Alex Jones Show.
[2:13:56.000 --> 2:14:24.000]  You're listening to The Alex Jones Show.
[2:14:24.000 --> 2:14:52.000]  You're listening to The Alex Jones Show.
[2:14:52.000 --> 2:15:20.000]  You're listening to The Alex Jones Show.
[2:15:20.000 --> 2:15:48.000]  You're listening to The Alex Jones Show.
[2:15:48.000 --> 2:16:16.000]  You're listening to The Alex Jones Show.
[2:16:16.000 --> 2:16:44.000]  You're listening to The Alex Jones Show.
[2:16:44.000 --> 2:17:12.000]  You're listening to The Alex Jones Show.
[2:17:12.000 --> 2:17:40.000]  You're listening to The Alex Jones Show.
[2:17:40.000 --> 2:18:08.000]  You're listening to The Alex Jones Show.
[2:18:08.000 --> 2:18:36.000]  You're listening to The Alex Jones Show.
[2:18:36.000 --> 2:19:04.000]  You're listening to The Alex Jones Show.
[2:19:04.000 --> 2:19:32.000]  You're listening to The Alex Jones Show.
[2:19:32.000 --> 2:20:00.000]  You're listening to The Alex Jones Show.
[2:20:00.000 --> 2:20:22.000]  You're listening to The Alex Jones Show.
[2:20:22.000 --> 2:20:50.000]  You're listening to The Alex Jones Show.
[2:20:50.000 --> 2:21:18.000]  You're listening to The Alex Jones Show.
[2:21:18.000 --> 2:21:42.000]  You're listening to The Alex Jones Show.
[2:21:42.000 --> 2:22:08.000]  You're listening to The Alex Jones Show.
[2:22:08.000 --> 2:22:36.000]  You're listening to The Alex Jones Show.
[2:22:36.000 --> 2:23:04.000]  You're listening to The Alex Jones Show.
[2:23:04.000 --> 2:23:32.000]  You're listening to The Alex Jones Show.
[2:23:32.000 --> 2:24:00.000]  You're listening to The Alex Jones Show.
[2:24:00.000 --> 2:24:28.000]  You're listening to The Alex Jones Show.
[2:24:28.000 --> 2:24:56.000]  You're listening to The Alex Jones Show.
[2:24:56.000 --> 2:25:24.000]  You're listening to The Alex Jones Show.
[2:25:24.000 --> 2:25:52.000]  You're listening to The Alex Jones Show.
[2:25:52.000 --> 2:26:20.000]  You're listening to The Alex Jones Show.
[2:26:20.000 --> 2:26:48.000]  You're listening to The Alex Jones Show.
[2:26:48.000 --> 2:27:16.000]  You're listening to The Alex Jones Show.
[2:27:16.000 --> 2:27:44.000]  You're listening to The Alex Jones Show.
[2:27:44.000 --> 2:28:12.000]  You're listening to The Alex Jones Show.
[2:28:12.000 --> 2:28:38.000]  You're listening to The Alex Jones Show.
[2:28:38.000 --> 2:29:04.000]  You're listening to The Alex Jones Show.
[2:29:04.000 --> 2:29:32.000]  You're listening to The Alex Jones Show.
[2:29:32.000 --> 2:30:00.000]  You're listening to The Alex Jones Show.
[2:30:00.000 --> 2:30:28.000]  You're listening to The Alex Jones Show.
[2:30:28.000 --> 2:30:50.000]  You're listening to The Alex Jones Show.
[2:30:50.000 --> 2:31:16.000]  You're listening to The Alex Jones Show.
[2:31:16.000 --> 2:31:44.000]  You're listening to The Alex Jones Show.
[2:31:44.000 --> 2:32:12.000]  You're listening to The Alex Jones Show.
[2:32:12.000 --> 2:32:40.000]  You're listening to The Alex Jones Show.
[2:32:40.000 --> 2:33:08.000]  You're listening to The Alex Jones Show.
[2:33:08.000 --> 2:33:36.000]  You're listening to The Alex Jones Show.
[2:33:36.000 --> 2:34:04.000]  You're listening to The Alex Jones Show.
[2:34:04.000 --> 2:34:32.000]  You're listening to The Alex Jones Show.
[2:34:32.000 --> 2:35:00.000]  You're listening to The Alex Jones Show.
[2:35:00.000 --> 2:35:28.000]  You're listening to The Alex Jones Show.
[2:35:28.000 --> 2:35:50.000]  You're listening to The Alex Jones Show.
[2:35:50.000 --> 2:36:18.000]  You're listening to The Alex Jones Show.
[2:36:18.000 --> 2:36:44.000]  You're listening to The Alex Jones Show.
[2:36:44.000 --> 2:36:54.000]  You're listening to The Alex Jones Show.
[2:37:14.000 --> 2:37:36.000]  The Alex Jones Show.
[2:37:44.000 --> 2:37:54.000]  You're listening to The Alex Jones Show.
[2:38:14.000 --> 2:38:42.000]  You're listening to The Alex Jones Show.
[2:38:42.000 --> 2:39:04.000]  You're listening to The Alex Jones Show.
[2:39:04.000 --> 2:39:32.000]  You're listening to The Alex Jones Show.
[2:39:32.000 --> 2:40:00.000]  You're listening to The Alex Jones Show.
[2:40:00.000 --> 2:40:28.000]  You're listening to The Alex Jones Show.
[2:40:28.000 --> 2:40:56.000]  You're listening to The Alex Jones Show.
[2:40:56.000 --> 2:41:24.000]  You're listening to The Alex Jones Show.
[2:41:24.000 --> 2:41:52.000]  You're listening to The Alex Jones Show.
[2:41:52.000 --> 2:42:20.000]  You're listening to The Alex Jones Show.
[2:42:20.000 --> 2:42:48.000]  You're listening to The Alex Jones Show.
[2:42:48.000 --> 2:43:14.000]  You're listening to The Alex Jones Show.
[2:43:14.000 --> 2:43:42.000]  You're listening to The Alex Jones Show.
[2:43:42.000 --> 2:44:10.000]  You're listening to The Alex Jones Show.
[2:44:10.000 --> 2:44:38.000]  You're listening to The Alex Jones Show.
[2:44:38.000 --> 2:45:06.000]  You're listening to The Alex Jones Show.
[2:45:06.000 --> 2:45:34.000]  You're listening to The Alex Jones Show.
[2:45:34.000 --> 2:46:02.000]  You're listening to The Alex Jones Show.
[2:46:02.000 --> 2:46:24.000]  You're listening to The Alex Jones Show.
[2:46:24.000 --> 2:46:52.000]  You're listening to The Alex Jones Show.
[2:46:52.000 --> 2:47:20.000]  You're listening to The Alex Jones Show.
[2:47:20.000 --> 2:47:48.000]  You're listening to The Alex Jones Show.
[2:47:48.000 --> 2:48:16.000]  You're listening to The Alex Jones Show.
[2:48:16.000 --> 2:48:44.000]  You're listening to The Alex Jones Show.
[2:48:44.000 --> 2:49:12.000]  You're listening to The Alex Jones Show.
[2:49:12.000 --> 2:49:40.000]  You're listening to The Alex Jones Show.
[2:49:40.000 --> 2:50:08.000]  You're listening to The Alex Jones Show.
[2:50:08.000 --> 2:50:36.000]  You're listening to The Alex Jones Show.
[2:50:36.000 --> 2:51:00.000]  You're listening to The Alex Jones Show.
[2:51:00.000 --> 2:51:28.000]  You're listening to The Alex Jones Show.
[2:51:28.000 --> 2:51:56.000]  You're listening to The Alex Jones Show.
[2:51:56.000 --> 2:52:24.000]  You're listening to The Alex Jones Show.
[2:52:24.000 --> 2:52:52.000]  You're listening to The Alex Jones Show.
[2:52:52.000 --> 2:53:20.000]  You're listening to The Alex Jones Show.
[2:53:20.000 --> 2:53:48.000]  You're listening to The Alex Jones Show.
[2:53:48.000 --> 2:54:16.000]  You're listening to The Alex Jones Show.
[2:54:16.000 --> 2:54:44.000]  You're listening to The Alex Jones Show.
[2:54:44.000 --> 2:55:12.000]  You're listening to The Alex Jones Show.
[2:55:12.000 --> 2:55:40.000]  You're listening to The Alex Jones Show.
[2:55:40.000 --> 2:56:08.000]  You're listening to The Alex Jones Show.
[2:56:08.000 --> 2:56:36.000]  You're listening to The Alex Jones Show.
[2:56:36.000 --> 2:57:04.000]  You're listening to The Alex Jones Show.
[2:57:04.000 --> 2:57:32.000]  You're listening to The Alex Jones Show.
[2:57:32.000 --> 2:58:00.000]  You're listening to The Alex Jones Show.
[2:58:00.000 --> 2:58:28.000]  You're listening to The Alex Jones Show.
[2:58:28.000 --> 2:58:56.000]  You're listening to The Alex Jones Show.
[2:58:56.000 --> 2:59:24.000]  You're listening to The Alex Jones Show.
[2:59:24.000 --> 2:59:52.000]  You're listening to The Alex Jones Show.
[2:59:52.000 --> 3:00:20.000]  You're listening to The Alex Jones Show.
[3:00:20.000 --> 3:00:48.000]  You're listening to The Alex Jones Show.
[3:00:48.000 --> 3:01:16.000]  You're listening to The Alex Jones Show.
[3:01:16.000 --> 3:01:44.000]  You're listening to The Alex Jones Show.
[3:01:44.000 --> 3:02:12.000]  You're listening to The Alex Jones Show.
[3:02:12.000 --> 3:02:40.000]  You're listening to The Alex Jones Show.
[3:02:40.000 --> 3:03:08.000]  You're listening to The Alex Jones Show.
[3:03:08.000 --> 3:03:36.000]  You're listening to The Alex Jones Show.
[3:03:36.000 --> 3:04:04.000]  You're listening to The Alex Jones Show.
[3:04:04.000 --> 3:04:32.000]  You're listening to The Alex Jones Show.
[3:04:32.000 --> 3:05:00.000]  You're listening to The Alex Jones Show.
[3:05:00.000 --> 3:05:28.000]  You're listening to The Alex Jones Show.
[3:05:28.000 --> 3:05:56.000]  You're listening to The Alex Jones Show.
[3:05:56.000 --> 3:06:24.000]  You're listening to The Alex Jones Show.
[3:06:24.000 --> 3:06:52.000]  You're listening to The Alex Jones Show.
[3:06:52.000 --> 3:07:20.000]  You're listening to The Alex Jones Show.
[3:07:20.000 --> 3:07:48.000]  You're listening to The Alex Jones Show.
[3:07:48.000 --> 3:08:16.000]  You're listening to The Alex Jones Show.
[3:08:16.000 --> 3:08:44.000]  You're listening to The Alex Jones Show.
[3:08:44.000 --> 3:09:12.000]  You're listening to The Alex Jones Show.
[3:09:12.000 --> 3:09:40.000]  You're listening to The Alex Jones Show.
[3:09:40.000 --> 3:10:08.000]  You're listening to The Alex Jones Show.
[3:10:08.000 --> 3:10:36.000]  You're listening to The Alex Jones Show.
[3:10:36.000 --> 3:11:04.000]  You're listening to The Alex Jones Show.
[3:11:04.000 --> 3:11:32.000]  You're listening to The Alex Jones Show.
[3:11:32.000 --> 3:12:00.000]  You're listening to The Alex Jones Show.
[3:12:00.000 --> 3:12:28.000]  You're listening to The Alex Jones Show.
[3:12:28.000 --> 3:12:56.000]  You're listening to The Alex Jones Show.
[3:12:56.000 --> 3:13:24.000]  You're listening to The Alex Jones Show.
[3:13:24.000 --> 3:13:52.000]  You're listening to The Alex Jones Show.
[3:13:52.000 --> 3:14:20.000]  You're listening to The Alex Jones Show.
[3:14:20.000 --> 3:14:48.000]  You're listening to The Alex Jones Show.
[3:14:48.000 --> 3:15:16.000]  You're listening to The Alex Jones Show.
[3:15:16.000 --> 3:15:44.000]  You're listening to The Alex Jones Show.
[3:15:44.000 --> 3:16:12.000]  You're listening to The Alex Jones Show.
[3:16:12.000 --> 3:16:40.000]  You're listening to The Alex Jones Show.
[3:16:40.000 --> 3:17:08.000]  You're listening to The Alex Jones Show.
[3:17:08.000 --> 3:17:36.000]  You're listening to The Alex Jones Show.
[3:17:36.000 --> 3:18:04.000]  You're listening to The Alex Jones Show.
[3:18:04.000 --> 3:18:32.000]  You're listening to The Alex Jones Show.
[3:18:32.000 --> 3:19:00.000]  You're listening to The Alex Jones Show.
[3:19:00.000 --> 3:19:28.000]  You're listening to The Alex Jones Show.
[3:19:28.000 --> 3:19:56.000]  You're listening to The Alex Jones Show.
[3:19:56.000 --> 3:20:24.000]  You're listening to The Alex Jones Show.
[3:20:24.000 --> 3:20:44.000]  You're listening to The Alex Jones Show.
[3:20:54.000 --> 3:21:16.000]  You're listening to The Alex Jones Show.
[3:21:16.000 --> 3:21:44.000]  You're listening to The Alex Jones Show.
[3:21:44.000 --> 3:22:12.000]  You're listening to The Alex Jones Show.
[3:22:12.000 --> 3:22:40.000]  You're listening to The Alex Jones Show.
[3:22:40.000 --> 3:23:08.000]  You're listening to The Alex Jones Show.
[3:23:08.000 --> 3:23:36.000]  You're listening to The Alex Jones Show.
[3:23:36.000 --> 3:24:04.000]  You're listening to The Alex Jones Show.
[3:24:04.000 --> 3:24:32.000]  You're listening to The Alex Jones Show.
[3:24:32.000 --> 3:25:00.000]  You're listening to The Alex Jones Show.
[3:25:00.000 --> 3:25:28.000]  You're listening to The Alex Jones Show.
[3:25:28.000 --> 3:25:56.000]  You're listening to The Alex Jones Show.
[3:25:56.000 --> 3:26:24.000]  You're listening to The Alex Jones Show.
[3:26:24.000 --> 3:26:52.000]  You're listening to The Alex Jones Show.
[3:26:52.000 --> 3:27:20.000]  You're listening to The Alex Jones Show.
[3:27:20.000 --> 3:27:48.000]  You're listening to The Alex Jones Show.
[3:27:48.000 --> 3:28:16.000]  You're listening to The Alex Jones Show.
[3:28:16.000 --> 3:28:44.000]  You're listening to The Alex Jones Show.
[3:28:44.000 --> 3:29:12.000]  You're listening to The Alex Jones Show.
[3:29:12.000 --> 3:29:40.000]  You're listening to The Alex Jones Show.
[3:29:40.000 --> 3:30:08.000]  You're listening to The Alex Jones Show.
[3:30:08.000 --> 3:30:36.000]  You're listening to The Alex Jones Show.
[3:30:36.000 --> 3:31:04.000]  You're listening to The Alex Jones Show.
[3:31:04.000 --> 3:31:32.000]  You're listening to The Alex Jones Show.
[3:31:32.000 --> 3:32:00.000]  You're listening to The Alex Jones Show.
[3:32:00.000 --> 3:32:28.000]  You're listening to The Alex Jones Show.
[3:32:28.000 --> 3:32:56.000]  You're listening to The Alex Jones Show.
[3:32:56.000 --> 3:33:24.000]  You're listening to The Alex Jones Show.
[3:33:24.000 --> 3:33:52.000]  You're listening to The Alex Jones Show.
[3:33:52.000 --> 3:34:20.000]  You're listening to The Alex Jones Show.
[3:34:20.000 --> 3:34:48.000]  You're listening to The Alex Jones Show.
[3:34:48.000 --> 3:35:16.000]  You're listening to The Alex Jones Show.
[3:35:16.000 --> 3:35:44.000]  You're listening to The Alex Jones Show.
[3:35:44.000 --> 3:36:12.000]  You're listening to The Alex Jones Show.
[3:36:12.000 --> 3:36:40.000]  You're listening to The Alex Jones Show.
[3:36:40.000 --> 3:37:08.000]  You're listening to The Alex Jones Show.
[3:37:08.000 --> 3:37:36.000]  You're listening to The Alex Jones Show.
[3:37:36.000 --> 3:38:04.000]  You're listening to The Alex Jones Show.
[3:38:04.000 --> 3:38:32.000]  You're listening to The Alex Jones Show.
[3:38:32.000 --> 3:39:00.000]  You're listening to The Alex Jones Show.
[3:39:00.000 --> 3:39:28.000]  You're listening to The Alex Jones Show.
[3:39:28.000 --> 3:39:56.000]  You're listening to The Alex Jones Show.
[3:39:56.000 --> 3:40:24.000]  You're listening to The Alex Jones Show.
[3:40:24.000 --> 3:40:52.000]  You're listening to The Alex Jones Show.
[3:40:52.000 --> 3:41:20.000]  You're listening to The Alex Jones Show.
[3:41:20.000 --> 3:41:48.000]  You're listening to The Alex Jones Show.
[3:41:48.000 --> 3:42:16.000]  Believe in her.
[3:42:16.000 --> 3:42:44.000]  You're listening to The Alex Jones Show.
[3:42:44.000 --> 3:43:12.000]  You're listening to The Alex Jones Show.
[3:43:12.000 --> 3:43:40.000]  You're listening to The Alex Jones Show.
[3:43:40.000 --> 3:44:08.000]  You're listening to The Alex Jones Show.
[3:44:08.000 --> 3:44:36.000]  You're listening to The Alex Jones Show.
[3:44:36.000 --> 3:45:04.000]  You're listening to The Alex Jones Show.
[3:45:04.000 --> 3:45:26.000]  You're listening to The Alex Jones Show.
