[00:00.000 --> 00:11.000]  There is a lot of controversy around this network about Alex Jones, for example.
[36:51.000 --> 36:58.000]  But as I've said many times here on informers, nobody tells Donald Trump what to say or what to do.
[36:58.000 --> 37:01.000]  He is certainly open to political advice.
[37:01.000 --> 37:07.000]  You know, listen, but he makes his own decisions and he identified immigration.
[37:07.000 --> 37:17.000]  And he's the one who inserted it in his announcement speech after he came down on the escalator, for which, of course, the National Press excoriated it.
[37:17.000 --> 37:25.000]  By looking at the New York Times headline, Roger Stone invented wall as a way to remind Donald Trump to bash immigrants.
[37:25.000 --> 37:31.000]  We want to stop the flow of 90% of the heroin and fentanyl into our country.
[37:31.000 --> 37:34.000]  Well, let's be clear. First, they demonize you and lie about you.
[37:34.000 --> 37:36.000]  And they take something true that he wanted a barrier.
[37:36.000 --> 37:39.000]  You should call it a wall. You know, it's stronger. You're a builder.
[37:39.000 --> 37:42.000]  The iconography is more powerful, which is true.
[37:42.000 --> 37:45.000]  He tested it works well. Plus, it's what he already believed.
[37:45.000 --> 37:48.000]  It's what he's been saying for decades. It's what any sovereign country has.
[37:48.000 --> 37:57.000]  And then they spin it like he was so addled and couldn't pay attention and had no memory that you developed this to manipulate his narcissism.
[37:57.000 --> 38:00.000]  Total made up crap. That part's not true.
[38:00.000 --> 38:02.000]  Yeah, nobody manipulated Donald Trump.
[38:02.000 --> 38:07.000]  And I was frankly surprised that he made immigration the centerpiece of his announcement speech.
[38:07.000 --> 38:09.000]  And it had the desired effect.
[38:09.000 --> 38:12.000]  And the wall, as you know, came somewhat after that.
[38:12.000 --> 38:18.000]  But it'll keep hanging tough and it's driving the Democrats insane.
[38:18.000 --> 38:26.000]  I agree with you. A metal barrier, you know, razor type spikes at the top is a wall.
[38:26.000 --> 38:31.000]  Any way you want to slice it may be less expensive than concrete.
[38:31.000 --> 38:33.000]  We had a great show in the world the other day.
[38:33.000 --> 38:37.000]  You could make this out of hemp generated concrete, even less expensively.
[38:37.000 --> 38:45.000]  But the key thing is that he's not going to fall in the face of extraordinary establishment pressure.
[38:45.000 --> 38:51.000]  There was a major piece in yesterday's New York Times, the people versus Donald Trump making the case for impeachment.
[38:51.000 --> 38:58.000]  And it was pure olinsky. Everything they accused Donald Trump of every single thing is exactly what they have done.
[38:58.000 --> 39:02.000]  What Mueller and the Clinton and the Bushes and the Deep State have done.
[39:02.000 --> 39:09.000]  It was tough to ask. It was like Alice in Wonderland. It was so out of touch with reality.
[39:09.000 --> 39:14.000]  Roger, pulling back from this in just a hypocrisy, here's an example.
[39:14.000 --> 39:22.000]  Golden Globes winner decries the wall surrounded by a wall of barricades and security.
[39:22.000 --> 39:28.000]  Dogs, federal police, state police, local police, border patrol,
[39:28.000 --> 39:36.000]  they brought them all in to guard the Hollywood turds who live behind 10-foot, 20-foot walls around their neighborhoods.
[39:36.000 --> 39:40.000]  Then 10-foot walls around their houses, sometimes 20-foot walls.
[39:40.000 --> 39:44.000]  I know Quentin Quarantino's house because I would do somebody that lived next door to him.
[39:44.000 --> 39:54.000]  It had, Roger, 25-foot walls with spikes on it all the way around the house in the middle of the Hollywood Hills next to $10 million houses.
[39:54.000 --> 39:59.000]  His house was over $10 million. But this latest guy, this is on infowars.com, folks.
[39:59.000 --> 40:09.000]  Golden Globes winner Brad Simpson described the wall as hateful last night while surrounded by a wall of barricades, security and armed police officers.
[40:09.000 --> 40:13.000]  So they were behind a 10-foot spike wall and hundreds and hundreds of police.
[40:13.000 --> 40:18.000]  He said they tell us that we should be scared of people that are different from us.
[40:18.000 --> 40:20.000]  They tell us that we should have walls around ourselves.
[40:20.000 --> 40:24.000]  He said adding those forces of hate and fear are still with us.
[40:24.000 --> 40:27.000]  This is literally the globalists trying to collapse our country.
[40:27.000 --> 40:31.000]  Roger, this is crazy. We have another AP reporter.
[40:31.000 --> 40:42.000]  I'm sure you saw this last week on national television on Meet the Press and MSNBC say there is no caravan and that it's made up by white supremacists.
[40:42.000 --> 40:51.000]  Now, look, the whole thing is extraordinarily phony. Let's face it, the hypocrisy, the stench of hypocrisy ground these globalist Hollywood types is out of control.
[40:51.000 --> 40:56.000]  They travel with armed guards. They live behind jaded communities and high walls.
[40:56.000 --> 41:00.000]  We have nothing against people of color. We have nothing against people from foreign countries.
[41:00.000 --> 41:03.000]  My wife's an immigrant. Donald Trump's wife is an immigrant.
[41:03.000 --> 41:15.000]  But there's a legal way to come to America and anyone who denies that those who are coming here illegally are bringing drugs and crime in disease is ignoring the statistics and the facts.
[41:15.000 --> 41:19.000]  Donald Trump's trying to protect the country. This isn't about bashing anybody.
[41:19.000 --> 41:28.000]  It's about having an orderly system and legal system of immigration as opposed to letting criminal mobs just invade the country at will.
[41:28.000 --> 41:34.000]  Barriers are part of territorialism, part of security, part of privacy and any civilization.
[41:34.000 --> 41:40.000]  We all have front doors for a reason. We all have screens on the windows for a reason.
[41:40.000 --> 41:44.000]  That's why we have locks on our core doors. Everyone gets this.
[41:44.000 --> 41:47.000]  And I just can't lose a mantra of your white supremacist.
[41:47.000 --> 41:55.000]  That's what we're talking about, about the Democrats, by Nancy Pelosi and Cortez, is that the wall is a monument to white supremacy.
[41:55.000 --> 41:59.000]  No, I think it's a wall to sovereignty and survival.
[41:59.000 --> 42:05.000]  Well, Donald Trump has said it dozens and dozens of times. If you don't have borders, you don't have a country.
[42:05.000 --> 42:24.000]  And I'm very proud of the way he's hung tough on this in the face of a mountain of like tuberation and just a tsunami of hate directed at his attention when all he's trying to do is protect the American people from rising crime and epidemic of drugs and disease.
[42:24.000 --> 42:28.000]  Well, Roger, stay right there, because I said we don't do one segment. You've got to go.
[42:28.000 --> 42:32.000]  But I want to do a few more minutes on the side because we didn't get into Mueller and breaking into your trash can.
[42:32.000 --> 42:36.000]  All the latest is final report, supposedly coming out next month, how desperate he is.
[42:36.000 --> 42:46.000]  And I also want to play that clip, as I mentioned it, of MSNBC reporter, AP reporter on MSNBC saying there is no caravan.
[42:46.000 --> 42:55.000]  I mean, this is insane. And then more on two black dudes now admit they shot the portal of black girl and the white folks are still getting blamed.
[42:55.000 --> 43:17.000]  We'll be right back.
[43:26.000 --> 43:30.000]  That's been incredible.
[43:30.000 --> 43:37.000]  Now, due to the establishment trying to block that, we did more research and secured more of the deep earth crystals of nascent iodine.
[43:37.000 --> 43:51.000]  But chemists, scientists and others showed us the research that by combining it with three other compounds, two forms of iodine and vitamin C, it supercharges it and makes it even more bio available.
[43:51.000 --> 43:55.000]  Ladies and gentlemen, you want to research it, you want to see it, it's an incredible discovery.
[43:55.000 --> 44:24.000]  X3, now available at m4slife.com.
[44:25.000 --> 44:38.000]  Removing 220 plus contaminants from your water, it's compact in size, easy to install and maintain and keeps fluoride and other dangerous toxins out of your water supply and away from you and your family.
[44:38.000 --> 44:45.000]  With its broad spectrum contaminant reduction, you'll only need this one filter for clean and refreshing water all over your home.
[44:45.000 --> 45:01.000]  Head to infowarstore.com and whether it's your first water filtration purchase or you're looking to replace your current rundown systems, it's time to go big and go home with the pro pure whole house filtration system today.
[45:01.000 --> 45:23.000]  Alex Jones here with an extremely exciting announcement that will be a gift to yourself and a gift to the info war to fight the globalist and live in a free society. Several years ago, I set out with top formulators in the U.S. to create the strongest, most concentrated, over the top stamina, libido, workout, brain formula that is safe.
