[00:00:00.896 --> 00:00:03.176]  Victimizers, beware!
[00:25:09.153 --> 00:25:16.617]  I need hundreds of thousands in New York alone, but you didn't get them so you couldn't kill enough people.
[00:25:16.617 --> 00:25:20.240]  See, they've got it all planned out, but see, we didn't go along with it.
[00:25:21.499 --> 00:25:34.107]  So now they've got all these cases, but the doctors are learning that steroids stop it, and that it's an autoimmune, and hydroxychloroquine, they demonize, stop it, and taking zinc stops it, and so they're pissed!
[00:25:34.107 --> 00:25:39.671]  Because it's not going the way it was supposed to!
[00:25:39.671 --> 00:25:40.672]  So let's get into it right now.
[00:25:42.227 --> 00:25:53.657]  When we come back, CDC says COVID-19 no longer an epidemic as current rate of decline of deaths, not increase of cases that are false.
[00:25:53.657 --> 00:25:57.681]  And then the big enchilada when we come back, I haven't gotten to this yet, we have the video.
[00:25:59.457 --> 00:26:04.679]  Head of Emergency Management for the state of Texas should wear a mask inside their homes.
[00:26:04.679 --> 00:26:06.840]  See, that's also Overton Window.
[00:26:06.840 --> 00:26:09.101]  You're struggling, saying, I don't want to wear it outside or in restaurants.
[00:26:09.101 --> 00:26:11.362]  He goes, hey, that's not enough.
[00:26:11.362 --> 00:26:15.943]  Not even in your own house should you not have a mask off.
[00:26:15.943 --> 00:26:17.544]  So that makes it sound reasonable.
[00:26:17.544 --> 00:26:21.785]  Hey, you know, you should be wearing it in your house, buddy.
[00:26:21.785 --> 00:26:23.466]  Not just outside.
[00:26:23.466 --> 00:26:25.827]  And this morning, I went
[00:26:28.083 --> 00:26:29.244]  We're going to go to break, ladies and gentlemen.
[00:26:29.244 --> 00:26:32.345]  I'll tell you all these stories when we come back on the other side.
[00:26:32.345 --> 00:26:33.966]  There is just so much going on.
[00:26:33.966 --> 00:26:37.728]  It is so over the top, all of it.
[00:26:37.728 --> 00:26:46.912]  And the only way to override it is to admit it head on, admit it's all a fraud, admit it's a criminal action, call people out and charge them as the murdering, mastermind criminals they are.
[00:26:46.912 --> 00:26:48.493]  And I know that's going to happen.
[00:26:48.493 --> 00:26:49.153]  We're going to win.
[00:26:49.153 --> 00:26:52.075]  Stay with us.
[00:26:53.291 --> 00:26:55.972]  Yippee-ki-yay!
[00:26:55.972 --> 00:27:00.855]  We need to get back to the land, back to self-sufficiency, and back to being prepared.
[00:27:00.855 --> 00:27:09.380]  And the way to start, ladies and gentlemen, is having friends and family with a bug-out plan if there is a total collapse and water filtration and food to last you at least a few months.
[00:27:10.020 --> 00:27:12.541]  And the food we have is very high quality.
[00:27:12.541 --> 00:27:15.262]  It's in great containers that are great to be mobile.
[00:27:15.262 --> 00:27:17.843]  They have wide selections, special diets, you name it.
[00:27:17.843 --> 00:27:23.426]  It's the best price you're going to find, but you need to get the orders in now, in the lull before the storm.
[00:27:23.426 --> 00:27:25.246]  I told you lockdown 2 was coming.
[00:27:25.246 --> 00:27:27.167]  The New World Order is making its move.
[00:27:27.167 --> 00:27:28.368]  Whether Trump loses or wins,
[00:27:28.948 --> 00:27:34.392]  Things are just going to get more crazy, and this food lasts 25 years inside the containers.
[00:27:34.392 --> 00:27:46.342]  So it's something you can hide, something you can bury, something you know is an ace in the hole for you and your family in the future, and the little bit of profit that comes in funds the InfoWar to continue to warn the people.
[00:27:46.342 --> 00:27:52.567]  So you're also funding InfoWars, the most powerful Paul Revere organization in the world, and it's powered by you.
[00:27:56.977 --> 00:27:58.738]  Let's go to Juan in Connecticut.
[00:27:58.738 --> 00:27:59.218]  You're on the air.
[00:27:59.218 --> 00:28:00.839]  Thanks for holding.
[00:28:00.839 --> 00:28:01.459]  I sure can, sir.
[00:28:01.459 --> 00:28:01.779]  Thank you.
[00:28:01.779 --> 00:28:04.600]  Sir, it's an honor to talk to you, brother.
[00:28:12.783 --> 00:28:14.244]  I just want to plug in.
[00:28:14.244 --> 00:28:18.666]  I'm a truck driver and two of the fours have changed the way I drive.
[00:28:18.666 --> 00:28:20.607]  Me and my brothers that drive.
[00:28:20.607 --> 00:28:21.908]  There's a couple of us.
[00:28:21.908 --> 00:28:25.289]  We're all Hispanics, Cubans, Puerto Ricans.
[00:28:25.289 --> 00:28:33.353]  We used to be on Monster and Red Bull and all that and I have lost weight because I stopped drinking all that sugar and I just want to thank you
[00:28:34.053 --> 00:28:39.696]  Well, brother, we put more in this than any other long-term, high-quality energy powder there is.
[00:28:39.696 --> 00:28:41.957]  So this was designed by one of the top guys in the country.
[00:28:41.957 --> 00:28:44.459]  He didn't want his name on it because, obviously, the political issues.
[00:28:44.459 --> 00:28:47.120]  But we had to pay a lot of money for this formulation just for the design of it.
[00:28:47.120 --> 00:28:51.162]  And we believe it is the best, strongest, but healthiest energy out there.
[00:28:51.162 --> 00:28:52.963]  And you're saying that it's made your life better.
[00:28:52.963 --> 00:28:53.684]  So that means a lot to me.
[00:28:53.684 --> 00:28:54.044]  Thank you.
[00:28:54.044 --> 00:28:56.145]  To all your truck drivers, we love you.
[00:28:56.145 --> 00:29:01.468]  I must end this special, our extended July 4 special, by Monday the 12th.
[00:29:02.368 --> 00:29:04.990]  That is our drop dead date.
[00:29:04.990 --> 00:29:13.775]  It absolutely has to happen because a lot of these products that have been sold out, we can only get limited supplies of them because the supply chain is breaking down.
[00:29:13.775 --> 00:29:18.959]  Winter Sun with vitamin D3 and vitamin K, sold out for months, back in stock, 50% off.
[00:29:18.959 --> 00:29:24.262]  Ultra 12, high quality B12, take note of the tongue, sold out for months, back in stock, 50% off.
[00:29:24.262 --> 00:29:30.346]  Bodies, our ultimate turmeric formula, super strong turmeric concentration, sold out for months, back in stock, limited amount,
[00:29:30.966 --> 00:29:33.888]  50% off, double Patriot points, free shipping.
[00:29:33.888 --> 00:29:39.572]  It's the same thing with Vitamin Refusion, Survival Shield X3, and so much more.
[00:29:39.572 --> 00:29:41.333]  And it funds the information war.
[00:29:41.333 --> 00:29:44.075]  The globalists want you sick and weak and dumbed down.
[00:29:44.075 --> 00:29:46.837]  They don't want you to know what God has given us all through Mother Nature.
[00:29:46.837 --> 00:29:48.238]  These products are powerful.
[00:29:48.238 --> 00:29:50.319]  Many of you have tried them and reordered them and loved them.
[00:29:50.319 --> 00:29:51.160]  Many of you haven't.
[00:29:51.160 --> 00:29:54.722]  The sale ends in just a few days, so take action now and get free shipping at importwars4.com.
[00:29:58.780 --> 00:30:09.609]  You're listening to the Alex Jones Show.
[00:30:09.609 --> 00:30:14.793]  Fighting enemies, foreign
[00:30:28.078 --> 00:30:29.839]  And domestic, I'm your host Alex Jones.
[00:30:29.839 --> 00:30:34.122]  Okay, let's plow right into the documentation.
[00:30:34.122 --> 00:30:49.893]  If you go directly to the CDC website, it tells you right there that COVID-19 numbers of deaths have plunged, so it's no longer an epidemic, meaning deaths.
[00:30:49.893 --> 00:30:53.075]  But they can confuse the public by having all these false positive tests,
[00:30:53.993 --> 00:30:58.335]  And say that it is a pandemic, and as the testing explodes, the numbers explode.
[00:30:58.335 --> 00:31:07.559]  You see the state of Texas doing the most testing of anybody, California second, New York third, and Florida fourth.
[00:31:07.559 --> 00:31:10.460]  That's where you have the big outbreaks, because it's the testing.
[00:31:10.460 --> 00:31:13.281]  And the CDC website says most of those are fake.
[00:31:13.281 --> 00:31:22.585]  Remember, presidents and prime ministers in other countries have sent off papayas and goats and dirt, and they test positive for COVID-19 because it's the coronavirus.
[00:31:23.700 --> 00:31:33.128]  Coronaviruses are the most common thing floating around that is quasi-alive.
[00:31:33.128 --> 00:31:36.230]  So continuing, based on death certificate data,
[00:31:37.108 --> 00:31:55.960]  The percentage of deaths attributed to pneumonia, influenza, or COVID-19, they add all those together, decreased from 9.0 during week 25 to 5.9 during week 26, representing the 10th week of a declining percentage of deaths due to PIC.
[00:31:55.960 --> 00:32:04.686]  The percentage is currently at the epidemic threshold, but will likely change as more death certificates are processed, particularly in recent weeks.
[00:32:06.343 --> 00:32:09.945]  And these numbers are about two weeks old, but the word is it's going to go down even more.
[00:32:09.945 --> 00:32:12.466]  But they show you all these maps with red everywhere.
[00:32:12.466 --> 00:32:15.387]  It's fraud.
[00:32:15.387 --> 00:32:16.328]  Now here's the headline.
[00:32:16.328 --> 00:32:18.869]  This is out of News 4, San Antonio.
[00:32:18.869 --> 00:32:25.912]  There's a more detailed article on InfoWars.com and NewsWars.com.
[00:32:25.912 --> 00:32:31.975]  Head of Emergency Management says Texas should wear masks inside their own homes.
[00:32:33.851 --> 00:32:39.316]  And the model he's using is Italy, where most of the deaths were in nursing homes.
[00:32:39.316 --> 00:32:47.643]  And nurses came out five months ago in Italy and said, they're putting healthy COVID patients that test positive in nursing homes.
[00:32:47.643 --> 00:32:49.365]  We've never done this.
[00:32:49.365 --> 00:32:50.886]  They're using them as incubators.
[00:32:50.886 --> 00:32:52.367]  They're killing old people.
[00:32:52.367 --> 00:32:55.390]  And even then I thought, well, maybe that nurse is going a little too far.
[00:32:55.390 --> 00:32:59.414]  Then we learned it was being done here under the UN regulations.
[00:33:00.455 --> 00:33:02.116]  Trump found out and told him to stop.
[00:33:02.116 --> 00:33:02.856]  They tried to spin it.
[00:33:02.856 --> 00:33:03.797]  Oh, Trump's fault.
[00:33:03.797 --> 00:33:05.097]  He's the government.
[00:33:05.097 --> 00:33:06.858]  So the traitors of the government follow the UN.
[00:33:06.858 --> 00:33:07.599]  They do this.
[00:33:07.599 --> 00:33:11.060]  Trump finds out, stops them, and they go, Cuomo goes, well, don't blame me.
[00:33:11.060 --> 00:33:12.301]  Trump told me to do it.
[00:33:12.301 --> 00:33:16.923]  Oh, is that why it was only blue cities and blue states that did it?
[00:33:16.923 --> 00:33:20.345]  No, you are a murderer, Cuomo.
[00:33:20.345 --> 00:33:23.766]  And Letitia James, your attorney general, is a murderer.
[00:33:23.766 --> 00:33:24.387]  She ordered
[00:33:25.421 --> 00:33:31.846]  The hospitals and nursing homes, when they said this is a death sentence, this is a default position, just like it was a default position 10 years ago.
[00:33:31.846 --> 00:33:33.507]  Never give a pregnant woman a vaccine.
[00:33:33.507 --> 00:33:36.670]  Said on the insert, induces miscarriage.
[00:33:36.670 --> 00:33:40.233]  Now they say on the news, it needs to be done extra.
[00:33:40.233 --> 00:33:42.274]  It's all about practicing evil.
[00:33:42.274 --> 00:33:47.959]  Governor Northam, a murderer, saying they keep babies alive and take their organs.
[00:33:51.055 --> 00:33:52.877]  But they keep them comfortable, so it's okay.
[00:33:52.877 --> 00:33:56.560]  See, they're just throwing it in your face, breaking your will.
[00:33:56.560 --> 00:33:57.861]  You say, why are they so evil?
[00:33:57.861 --> 00:33:59.562]  Why are they so out in the open?
[00:33:59.562 --> 00:34:01.124]  They're doing it on purpose.
[00:34:01.124 --> 00:34:02.845]  Psychiatrists are running this.
[00:34:02.845 --> 00:34:06.949]  This is a psych warfare operation to break your will.
[00:34:06.949 --> 00:34:09.411]  And folks are getting that now.
[00:34:09.411 --> 00:34:13.775]  So, head of emergency management says Texans should wear masks inside their homes.
[00:34:15.026 --> 00:34:16.566]  So this morning, I was doing an errand.
[00:34:16.566 --> 00:34:18.907]  I was in a little strip center area.
[00:34:18.907 --> 00:34:20.007]  It was full of parking.
[00:34:20.007 --> 00:34:30.129]  So I parked a little down the street by a residential area, and I get back in my car, and I see what looks like some joggers, walkers, about 100 yards away.
[00:34:30.129 --> 00:34:42.171]  By the time I roll up the window and turn on the car, they're about 50 yards away, and I'm on my phone, taking a call, and I notice that they're waiting and pointing at me, but they've got a whole sidewalk and everything.
[00:34:42.171 --> 00:34:44.192]  And so I get off the phone, and I'm sitting there watching them,
[00:34:45.237 --> 00:34:45.397]  I don't
