[00:00.000 --> 00:05.480]  8 to say Merry Christmas, then giving a gift of safety and security from Pepperspray.com.
[1:52:50.700 --> 1:52:58.700]  Go ahead, Tom. Tom in Minnesota, you're on the air, sir. Go ahead. Thank you for holding.
[1:52:58.700 --> 1:52:59.700]  Okay, you can hear me now.
[1:52:59.700 --> 1:53:00.700]  Yes, sir.
[1:53:00.700 --> 1:53:11.700]  Okay, yeah, I was listening to one of them, Montana representatives about six months ago. He said that they were genetically alternate where they would only use about 25% of the water.
[1:53:11.700 --> 1:53:24.700]  Right afterwards, I was been looking at Air Force 2025 and noticing that they do put nanoparticles in the air to come down into the water.
[1:53:24.700 --> 1:53:29.700]  Yeah, that's right. The military now admits they are adding to jet fuel, both commercial and private.
[1:53:29.700 --> 1:53:35.700]  So it's compartmentalized, and they are spraying the atmosphere and terraforming the planet that's now declassified.
[1:53:35.700 --> 1:53:44.700]  Okay, and they can control the weather, and they can control hurricanes, and I noticed that the water tables were like down about 25%, and they filled them all back up.
[1:53:44.700 --> 1:53:51.700]  Along with all this and the digital TV, is this going to be something else that's going to be controlling us?
[1:53:51.700 --> 1:53:56.700]  Absolutely. I mean, well, that's forcing a lot of local stations to go bankrupt because they can't afford the expensive transmitters.
[1:53:56.700 --> 1:54:03.700]  Appreciate the call. Let's go ahead and talk to George in Texas. George, you have a question for our guest.
[1:54:03.700 --> 1:54:11.700]  Well, I got to tell you one thing. I have a sign of a healthy body. I remember about five years ago, I had this sickness. I was throwing up.
[1:54:11.700 --> 1:54:16.700]  I was throwing up because I always hate from the farmer's market, my parents always grew their own food.
[1:54:16.700 --> 1:54:28.700]  And everything I threw up on was everything he was talking about, corn, soy products. I mean, I would eat it, and my body would just reject it, and I had to go eat organic food.
[1:54:28.700 --> 1:54:35.700]  Absolutely. A lot of people are saying that, well, there's a lot of farm animals that, I've talked to the farmers, not just studies, they won't eat GMO.
[1:54:35.700 --> 1:54:37.700]  We've seen cases of that, haven't we?
[1:54:37.700 --> 1:54:43.700]  Absolutely. There's pigs, cows, geese, elk, deer, raccoons, squirrels, mice, and rats.
[1:54:43.700 --> 1:54:46.700]  I keep going.
[1:54:46.700 --> 1:54:51.700]  We have all been given a choice. These animals have avoided eating genetically engineered foods.
[1:54:51.700 --> 1:54:57.700]  And so what may be happening in this caller's body is a very natural response to reject something which is inappropriate.
[1:54:57.700 --> 1:55:04.700]  I've heard a lot of people say that they can't eat the GMO stuff, but only the organic stuff of the same system.
[1:55:04.700 --> 1:55:10.700]  Well, I mean, let's back up and talk about this. I talked to a lot of allergen doctors because I started getting allergies.
[1:55:10.700 --> 1:55:15.700]  My grandmother never had them in Austin. My mother never had them. Same environment. Suddenly, everybody's got them.
[1:55:15.700 --> 1:55:25.700]  And I talked to medical doctors, and they go, well, we all know that it's really the GMO, and then it triggers and increases your susceptibility to other allergens triggering.
[1:55:25.700 --> 1:55:36.700]  So it's a type of tipping point. But in closing, that's powerful that animals, if GMOs side by side with non-GMO, they want the non-GMO.
[1:55:36.700 --> 1:55:41.700]  Absolutely. And there's a lot of stories. I mean, this story after story, I heard a new one last week about a...
[1:55:41.700 --> 1:55:46.700]  The guy said, let me show you something. He threw a bunch of... He called the pigs. They just ran up full speed.
[1:55:46.700 --> 1:55:51.700]  He dished out some genetically engineered corn. They looked at it, and they looked back up. They wouldn't touch it.
[1:55:51.700 --> 1:55:57.700]  Then he went over to the other side of the crib, threw out the non-GM stuff, and they all ran and ate it up completely.
[1:55:57.700 --> 1:56:01.700]  And so we need to get humans up to the level of animals.
[1:56:01.700 --> 1:56:07.700]  Well, I mean, a pig has a better nose than even the best bloodhounds.
[1:56:07.700 --> 1:56:13.700]  So the problem is humans don't have the taste buds and snout that those type of omnivores have.
[1:56:13.700 --> 1:56:16.700]  That's why we have to put out the non-GMO shopping guide.
[1:56:16.700 --> 1:56:21.700]  But why is it... I mean, I guess it's just the olfactory nerve. I mean, the pigs know, but humans don't.
[1:56:21.700 --> 1:56:31.700]  You know, we don't know. No one's known, because it's possible that they are sensitive to the field effects, you know, the ores around the products.
[1:56:31.700 --> 1:56:39.700]  It's possible it's the smell. It's possible that they've tasted it and realized that it's not food, and then they smell it and identify it with something they've already tasted.
[1:56:39.700 --> 1:56:43.700]  So we don't know, and no one's done any studies about it.
[1:56:43.700 --> 1:56:48.700]  But literally the electrical makeup of it, the electrochemical, because we know a lot of that is tied in with smell.
[1:56:48.700 --> 1:56:54.700]  Okay, well, Jeffrey M. Smith, we really appreciate you joining us. Good luck in India.
[1:56:54.700 --> 1:57:01.700]  I don't see how the establishment is going to cover up what they've done as just the evidence just pours out and as the people rebel against them.
[1:57:01.700 --> 1:57:09.700]  Well, you're doing a great service. You know more about this than most. I mean, I've been on hundreds of radio shows and you're like a walking library about this.
[1:57:09.700 --> 1:57:16.700]  So thank you. Your audience is a lot better educated than virtually any other audience about GMOs. It's great.
[1:57:16.700 --> 1:57:18.700]  Well, thank you, Mr. Smith. We'll talk to you soon.
[1:57:18.700 --> 1:57:19.700]  Alright, take care.
[1:57:19.700 --> 1:57:27.700]  There he goes, ladies and gentlemen. I'm not bragging about myself, folks, but I can have generals on, admirals, congressmen and women, scientists on.
[1:57:27.700 --> 1:57:32.700]  I had a top captain on about piracy. He goes, you know, more than any other show we've ever been on.
[1:57:32.700 --> 1:57:41.700]  It's only because I study every day, sometimes 10, 12 hours a day. I research everything. I study history.
[1:57:41.700 --> 1:57:49.700]  And so I'm aware. I'm not unusually smart. I'm just an average person who I'm not an expert on fantasy football.
[1:57:49.700 --> 1:57:54.700]  I am an expert on the New World Order and what matters to my family. God bless you all.
[1:57:54.700 --> 1:57:58.700]  Key story on martial law Marines patrolling America right now at info.
[1:57:58.700 --> 1:58:02.700]  It's no secret that Genesis Communications Network depends on listeners like you.
[1:58:02.700 --> 1:58:05.700]  Now you can do even more to hear Genesis shows in your area.
[1:58:05.700 --> 1:58:11.700]  Simply call your local radio stations and tell them about your favorite GCN programs. It's easy.
[1:58:11.700 --> 1:58:17.700]  Log on to GCNLive.com or call us toll free 877-807-4048.
[1:58:17.700 --> 1:58:26.700]  Make a difference. Call your local stations and contact us through affiliate relations at GCNLive.com or call 877-807-4048.
[1:58:26.700 --> 1:58:28.700]  Call today.
[1:58:28.700 --> 1:58:38.700]  Are your Federal Reserve notes looking for a safe haven? Mine found it in precious metals. Not paper promises, but actual gold in my possession.
[1:58:38.700 --> 1:58:45.700]  It is liquid. It is private. It owes no one. It cannot go bankrupt and it maintains its purchasing power.
[1:58:45.700 --> 1:58:57.700]  Find your answer at Midas Resources. That's 1-800-686-2237. The answer is at 1-800-686-2237.
[1:58:57.700 --> 1:59:01.700]  Listener, ask yourself, can I be deceived?
[1:59:01.700 --> 1:59:05.700]  Matthew 24 states four times, in the last days many will be deceived.
[1:59:05.700 --> 1:59:09.700]  There are many ideas about the Mark of the Beast and the Antichrist.
[1:59:09.700 --> 1:59:12.700]  What do you know about the Beast? It's Mark and the Antichrist.
[1:59:12.700 --> 1:59:16.700]  Is the Beast a superpower nation or a giant computer in Belgium?
[1:59:16.700 --> 1:59:22.700]  Is it's Mark an implanted chip, a tattoo, the National ID card or 666?
[1:59:22.700 --> 1:59:25.700]  Is the Antichrist a person, title or both?
[1:59:25.700 --> 1:59:29.700]  Some believe these things are in the future. Others believe that it's in the past.
[1:59:29.700 --> 1:59:32.700]  First John states, the Antichrist is already in the world.
[1:59:32.700 --> 1:59:37.700]  What is the truth and what is a lie? Are you willing to search God's word for the truth?
[1:59:37.700 --> 1:59:42.700]  Friends, these answers are in the Bible for free books, DVDs and Bible studies,
[1:59:42.700 --> 1:59:46.700]  exposing the Antichrist, the Beast and its Mark right to the Bible says,
[1:59:46.700 --> 1:59:58.700]  99 Lenore City, Tennessee 37771 or call 888-211-1715. That's 888-211-1715.
