[00:00:03.342 --> 00:00:08.186]  Big Brother, Mainstream Media, Government Cover Ups.
[00:26:02.768 --> 00:26:19.796]  Meanwhile, I was reading a few days ago, and strangely enough I was reminded by Gary Brownfield this morning with a guest, that in Missouri of all places, they're going to make you pay on top of your hunting license, and they say it's a privilege to hunt on your own property, that you have to register your premises.
[00:26:19.796 --> 00:26:23.838]  So, we fought the feds on their premises ID and their animal ID.
[00:26:24.378 --> 00:26:25.058]  There's no law.
[00:26:25.058 --> 00:26:39.344]  They're just trying to force it through with regulatory orders and now the states themselves are coming and saying you've got to register your property and then when you go get a hunting license they have to check your registration to be able to hunt on your own land.
[00:26:39.344 --> 00:26:40.445]  And there's not even a law.
[00:26:40.445 --> 00:26:46.207]  They say it is a privilege and this is to restrict and tax and regulate hunting.
[00:26:46.207 --> 00:26:50.149]  They've banned hunting in most nations in Europe.
[00:26:50.149 --> 00:26:52.690]  England has basically banned almost every form of hunting.
[00:26:53.621 --> 00:26:56.642]  Although the royal family is exempt, they continue.
[00:26:56.642 --> 00:27:09.327]  And this is all about destroying culture, domesticating man, taxing every cow, every chicken, every horse, every goat you have, regulators on your property, that's all unfolding as well.
[00:27:09.327 --> 00:27:19.630]  So they're throwing the book at the citizens, micromanaging every facet of our society, but if your Mexican drug laws are rocketing police stations or newspapers,
[00:27:21.793 --> 00:27:24.990]  In the United States, it's kept very quiet.
[00:27:25.990 --> 00:27:39.619]  And then if Border Patrol agents get shot at or somebody pulls a gun on them and they actually defend themselves, they go to prison and get put in general population and beaten within an inch of their lives because they want the message sent to the Border Patrol not to do their job.
[00:27:39.619 --> 00:27:46.924]  So the Border Patrol instead is told to go pick up trash on the side of the roads and then pull back a hundred miles from the border and harass U.S.
[00:27:46.924 --> 00:27:47.425]  citizens.
[00:27:47.425 --> 00:27:50.467]  And it's been documented that they do not arrest illegal aliens.
[00:27:50.467 --> 00:27:53.529]  They are there running checkpoints against citizens.
[00:27:53.529 --> 00:27:55.050]  So absolutely disgusting.
[00:27:56.445 --> 00:28:00.728]  Iraq to probe custody abuse of Bush shoe assailant.
[00:28:00.728 --> 00:28:07.072]  As you know, on Sunday, this individual threw two shoes at the weasel who dodged them.
[00:28:07.072 --> 00:28:12.436]  And reportedly, according to the French News Agency, he had his arm broken and his ribs broken.
[00:28:12.436 --> 00:28:13.336]  And so that's going on.
[00:28:13.336 --> 00:28:15.918]  He fared better than this fellow in the London Independent.
[00:28:17.745 --> 00:28:20.267]  And it's a report also out of the AP.
[00:28:20.267 --> 00:28:20.648]  A U.S.
[00:28:20.648 --> 00:28:22.590]  detainee dies in U.S.
[00:28:22.590 --> 00:28:23.991]  custody in Iraq.
[00:28:23.991 --> 00:28:27.755]  He's one of thousands of detainees that die of heart attacks.
[00:28:27.755 --> 00:28:28.976]  15-year-olds, 20-year-olds.
[00:28:28.976 --> 00:28:34.142]  This guy was a 25-year-old man, pronounced dead by doctors, of a heart attack.
[00:28:34.878 --> 00:28:37.380]  Kind of like they taser hundreds of people who are young.
[00:28:37.380 --> 00:28:40.463]  They have heart attacks and they say, well the taser had nothing to do with it.
[00:28:40.463 --> 00:28:46.569]  He had a heart attack and died right after we tasered him, but it has nothing to do with it.
[00:28:46.569 --> 00:28:51.394]  There's also been cases of police that get tasered because they all do that to be a taser officer.
[00:28:51.394 --> 00:28:54.296]  And they've had a lot of health problems or had heart attacks afterwards.
[00:28:55.436 --> 00:29:07.260]  And it's very, very serious, ladies and gentlemen, but hey, it's not the tasers, it's a new syndrome where you just so happen to die after you're tasered because the taser makes you so scared.
[00:29:07.260 --> 00:29:23.306]  Continuing here, ladies and gentlemen, it turns out that the Securities and Exchange Commission had had many complaints filed with them over the fact that this individual, Bernard Madoff,
[00:29:25.165 --> 00:29:26.766]  They're now saying it's $100 billion.
[00:29:26.766 --> 00:29:27.726]  It was $50 billion yesterday.
[00:29:27.726 --> 00:29:33.548]  Now they're saying $100 billion at least he stole in a Ponzi scheme run out of an official New York brokerage firm.
[00:29:33.548 --> 00:29:34.869]  He's now been picked up and arrested.
[00:29:34.869 --> 00:29:36.489]  He's admitting it was a scam.
[00:29:36.489 --> 00:29:40.151]  And it turns out, of course, the Securities and Exchange Commission knew this was happening.
[00:29:40.151 --> 00:29:46.033]  Well, yeah, I mean, the whole derivatives market, the whole securities market is a Ponzi scheme.
[00:29:46.033 --> 00:29:47.474]  This guy was just doing what they do.
[00:29:49.252 --> 00:29:53.193]  We're on the march, the empire's on the run.
[00:29:53.193 --> 00:29:59.656]  Alex Jones and the GCN Radio Network.
[00:29:59.656 --> 00:30:05.418]  With rising unemployment and an economy that continues to fail comes an increase in crime.
[00:30:05.418 --> 00:30:07.699]  Are you safe when you walk to your car?
[00:30:07.699 --> 00:30:09.840]  Are your kids safe when they go out?
[00:30:09.840 --> 00:30:13.361]  Everyone needs something to give that extra edge in case of an attack.
[00:30:16.510 --> 00:30:17.190]  I think so.
[00:30:38.363 --> 00:30:44.290]  Surprise your loved ones this Christmas with a gift of safety and security from MrDefense.com.
[00:30:44.290 --> 00:30:47.213]  Mention this ad and receive 10% off your order.
[00:30:47.213 --> 00:30:49.235]  Visit MrDefense.com.
[00:30:49.235 --> 00:30:50.516]  That's MrDefense.com.
[00:30:50.516 --> 00:30:51.438]  Or call 1-800-313-6400.
[00:30:51.438 --> 00:30:51.938]  That's 1-800-313-6400 today!
[00:30:59.289 --> 00:31:12.434]  Now from the makers of Loose Change, the most downloaded film in internet history, comes the long-awaited release of Loose Change Final Cut, an entirely new two-hour film that completely destroys the official fable forever.
[00:31:12.434 --> 00:31:16.256]  Loose Change Final Cut hopes to be a catalyst for a new independent investigation.
[00:31:16.596 --> 00:31:23.481]  In which family members receive answers to their questions and the true perpetrators of this horrendous crime are brought to justice.
[00:31:23.481 --> 00:31:26.904]  Loose Change Final Cut is the ultimate 9-11 expose.
[00:31:26.904 --> 00:31:34.790]  From hijackers being trained at US military bases to bombs in the buildings, Loose Change Final Cut is the one 9-11 film everyone must see.
[00:31:34.790 --> 00:31:41.976]  Secure your copy of Loose Change Final Cut today at InfoWars.com or PrisonPlanet.com while you're visiting the online video store.
[00:31:42.256 --> 00:31:50.424]  Be sure to check out the huge discounts on films like Endgame, Blueprint for Global Enslavement, America, Freedom to Fascism, and hundreds of other titles.
[00:31:50.424 --> 00:31:53.067]  We're in a no-holds-bar information war.
[00:31:53.067 --> 00:31:58.372]  Truth is our weapon, and PrisonPlanet.com has the tools you need to take the fight back to Big Brother.
[00:31:59.261 --> 00:32:02.782]  The United States is bankrupt and the bankers want you bankrupt also.
[00:32:02.782 --> 00:32:05.263]  How would you like to be debt free in 90 days?
[00:32:05.263 --> 00:32:06.323]  Guaranteed!
[00:32:06.323 --> 00:32:13.245]  DebtCrisisSolutions.com has helped tens of thousands out of debt since 1993 and will free you from the debt trap.
[00:32:13.245 --> 00:32:21.208]  DebtCrisisSolutions.com legally guarantees to put an end to wage garnishment, bank levies and liens and you won't pay one dime to creditors.
[00:32:21.208 --> 00:32:24.909]  With Debt Crisis Solutions program, you'll also restore your credit history
[00:32:25.009 --> 00:32:25.269]  I think so.
[00:32:46.954 --> 00:32:47.194]  That's right.
[00:33:04.412 --> 00:33:16.241]  Well, the Marines are now backing off.
[00:33:16.241 --> 00:33:30.471]  They're promised to come on this radio show and account for their activities running checkpoints in California against us worthless puke civilians.
[00:33:33.029 --> 00:33:35.572]  We're going to have one of the local news reporters on to discuss it.
[00:33:52.452 --> 00:33:54.353]  So that is coming up.
[00:33:54.353 --> 00:33:56.314]  Look at the London Independent today.
[00:33:56.314 --> 00:33:59.556]  The man who conned the world.
[00:33:59.556 --> 00:34:03.078]  Bankers, billionaires, charities and film stars.
[00:34:03.078 --> 00:34:05.119]  Oh, what are charities doing?
[00:34:05.119 --> 00:34:09.581]  Investing the charity money in the derivatives market.
[00:34:11.222 --> 00:34:18.067]  Bankers, billionaires, charities, and film stars are among the victims of the 50 billion fraudster.
[00:34:18.067 --> 00:34:22.149]  Now I have reports saying it's 100 billion, this is just this article says 50 billion.
[00:34:22.149 --> 00:34:34.197]  Whose exposure deals a fresh blow to financial confidence according to one tycoon facing a nine billion dollar loss alone.
[00:34:36.188 --> 00:34:46.153]  Oh, there's tycoons out there that are facing nine billion dollar losses just in one investment alone.
[00:34:46.153 --> 00:34:52.615]  But they tell us Bill Gates, only worth about forty billion now, because he gave half his money to eugenics, is the richest man.
[00:34:52.615 --> 00:34:54.516]  He is not the richest man.
[00:34:54.516 --> 00:34:57.478]  There were people with billions of dollars a hundred years ago.
[00:34:57.478 --> 00:35:00.579]  The fallout from the arrest of Wall Street grandee
[00:35:01.812 --> 00:35:18.936]  Bernard Madoff was continuing to grow last night as institution after institution detailed the extent of their possible losses and the victims of the UK were headlined by the HSBC and the Royal Bank of Scotland which is majority owned by the British government.
[00:35:19.716 --> 00:35:20.416]  That's not true.
[00:35:20.416 --> 00:35:22.677]  It's really owned by the Private Bank of England.
[00:35:22.677 --> 00:35:28.239]  The charity set up by the Hollywood director Steven Spielberg was among those revealed to be among the victims.
[00:35:28.239 --> 00:35:29.579]  Again, he does that to be tax-free.
[00:35:29.579 --> 00:35:30.939]  Those aren't really charities.
[00:35:30.939 --> 00:35:38.202]  With a foundation set up by Mort Zuckerman, one of the richest media and property magnates in the United States.
[00:35:38.202 --> 00:35:44.824]  Dozens of Jewish organizations, sports teams owners, and New Jersey Senator.
[00:35:44.824 --> 00:35:45.564]  But the biggest
[00:35:46.562 --> 00:35:53.986]  Confessions were coming from Wall Street, from the City of London, and from the headquarters of European banks, and from banks around the world.
[00:35:53.986 --> 00:36:07.313]  They have poured billions of dollars into his too-good-to-be-true investment fund, which appeared to be double-digit annual returns, come rain or shine.
[00:36:07.313 --> 00:36:11.696]  And Japanese banks, Chinese banks, Arab banks, they all invested.
[00:36:11.696 --> 00:36:14.778]  Now, that's all that's happening with
[00:36:15.973 --> 00:36:25.464]  Goldman Sachs, that's all that's happening with Bear Stearns, that's what's happening with Citibank, that's what's happening with all... that's what they do!
[00:36:25.464 --> 00:36:27.086]  That's what they do!
[00:36:27.086 --> 00:36:32.192]  They take other people's investment money and then they leverage it out
[00:36:32.987 --> 00:36:34.367]  With fractional reserve banking.
[00:36:34.367 --> 00:36:48.810]  That's what Bill Clinton did, and then Bush expanded, but in the late 90s they repealed the Glass-Steagall Act and other laws saying that private brokerage firms could engage in fractional reserve banking.
