[00:00.000 --> 00:02.000]  the media.
[23:39.920 --> 23:45.520]  Rights. Join us today at TakeBackWashington.com. Listen to our new radio
[23:45.520 --> 23:49.600]  program, get caught up on current events, and get your copy of Washington You're
[23:49.600 --> 23:55.120]  Fired. Do it today. Please visit TakeBackWashington.com.
[23:55.120 --> 24:07.720]  Alright folks, it's the Alex Jones Show. We are back. We just let Blair Gatsby go.
[24:07.720 --> 24:12.520]  Let's really support him. He's out there in Arizona, 10th day without any food
[24:12.520 --> 24:16.560]  whatsoever in front of McCain's office, just petitioning to talk to the man and
[24:16.560 --> 24:22.120]  try to show him some of this evidence that 911 was indeed an inside job.
[24:22.120 --> 24:28.520]  Building 7 says it all itself. Alex Jones called in. His cell phone was a
[24:28.520 --> 24:31.600]  little shaky, but let's try to recap it a little bit what he said. He said twice
[24:31.600 --> 24:36.680]  as much security as in 2006. He said security has shown up a day before its
[24:36.680 --> 24:41.040]  schedules. He has to be out of the hotel early in the morning. Tomorrow he was
[24:41.040 --> 24:44.560]  obviously very silent. He felt like he was being followed. He talked about
[24:44.560 --> 24:48.160]  defense contractors. He also discussed how the last time it was in Chantilly,
[24:48.160 --> 24:53.880]  Virginia, was in 2002. We discussed that with Jim Tucker yesterday. It really
[24:53.880 --> 24:59.440]  allows for a lot of the upper echelons of the military, of the Washington
[24:59.440 --> 25:05.200]  insiders, of the bureaucrats that run the system, NDC, to come over and stop over
[25:05.200 --> 25:09.640]  for a meeting for only a couple hours. It really allows access. I think this
[25:09.640 --> 25:15.440]  is going to be a big, big Bilderberg meeting. We can't wait for Alex to
[25:15.440 --> 25:18.320]  call back, hopefully on a landline, and give us a little bit better of a report
[25:18.320 --> 25:24.440]  where we can hear every single word that he is saying. That being said, most
[25:24.440 --> 25:28.200]  talk shows would have started out with this info, but I haven't even talked
[25:28.200 --> 25:31.880]  about it yet. We had Mike Rivera on yesterday, and we started to talk about
[25:31.880 --> 25:37.040]  the Democratic nomination for the presidency. He said it looks like
[25:37.040 --> 25:41.560]  Barack Obama. We discussed Hillary Clinton and don't counter out yet, but
[25:41.560 --> 25:48.160]  indeed it looks like it will be Barack Obama today. He is the seemingly, I
[25:48.160 --> 25:53.120]  guess, unopposed at this point nominee for the Democratic Party, but when I went
[25:53.120 --> 25:57.360]  to CNN.com this morning to check out the story, the first spin they put on it,
[25:57.360 --> 26:04.040]  will Hillary vie for the Democratic vice presidential nomination. Now, I have
[26:04.040 --> 26:08.600]  been an advocate that it was going to indeed be a Hillary Obama or an Obama
[26:08.600 --> 26:13.620]  Hillary ticket, and that if it was not that ticket that John Edwards would step
[26:13.620 --> 26:18.240]  in and be the VP for either candidate. I am still sticking by that. I understand
[26:18.240 --> 26:23.840]  that Obama would be a fool to choose Hillary Clinton after she's
[26:23.840 --> 26:27.200]  joked a couple times that he may be shot and killed or assassinated when the
[26:27.200 --> 26:32.960]  last assassination of that nature prior to the elections was Robert Kennedy
[26:32.960 --> 26:38.040]  back in the day, and it's been quite a long time since that yet she brings it
[26:38.040 --> 26:43.920]  up as if it is a probability. Very scary stuff. Now, he may be forced into it much
[26:43.920 --> 26:49.160]  like Reagan was forced to take George H. W. Bush. Reagan and George H. W. Bush had
[26:49.160 --> 26:56.400]  some heated words during the debates in 1980 prior to his election to the
[26:56.400 --> 27:01.280]  presidency, and he was forced to take George H. W. Bush as his vice
[27:01.280 --> 27:04.080]  presidential candidate. It was not something he was looking forward to. In
[27:04.080 --> 27:08.200]  fact, I don't think it's something he wanted. Remember, George H. W. Bush comes
[27:08.200 --> 27:13.280]  up as the head of the CIA out of nowhere supposedly, although he was a clandestine
[27:13.280 --> 27:17.720]  officer from all accounts prior to that, or you wouldn't just be the head of the
[27:17.720 --> 27:21.160]  CIA, folks. They don't just throw anybody in there. They throw people who have in
[27:21.160 --> 27:25.160]  long history of intelligence and keeping secrets and being manipulative in there.
[27:25.160 --> 27:29.960]  Then he becomes vice president for eight years, and let's not forget that Reagan
[27:29.960 --> 27:34.480]  is actually shot on the day of a presidential succession drill. We talked
[27:34.480 --> 27:39.680]  to Michael Rivera a little bit about that yesterday, and then Bush becomes
[27:39.680 --> 27:44.760]  president for four more years, and the follow-up to him is Billy Boyd Clinton,
[27:44.760 --> 27:47.840]  or as I like to call him, Bilderberg, Bill Clinton. Now that he's actually
[27:47.840 --> 27:50.680]  admitted to attending Bilderberg, we played that clip on the air yesterday,
[27:50.680 --> 27:57.080]  and Bilderberg, Bill Clinton was one of his drug runners in the 80s. Okay, let's
[27:57.080 --> 28:01.520]  let's be clear. Our government runs a lot of the drugs in this country. In fact,
[28:01.520 --> 28:04.840]  the majority of the cocaine, the majority of the heroin, they have a pretty
[28:04.840 --> 28:09.160]  good hold on the marijuana trade. The people that you see going to jail are
[28:09.160 --> 28:14.440]  those that aren't paying their cut, that aren't playing by the rules, and Billy
[28:14.440 --> 28:19.400]  Boyd Clinton was more than happy to run drugs through Mina Arkansas, and he is a
[28:19.400 --> 28:24.480]  great speaker. I mean, Bill Clinton, man, he is a snake charmer, isn't he? When I
[28:24.480 --> 28:27.800]  saw that, when he actually admits to Bilderberg, he's just getting hooded and
[28:27.800 --> 28:32.800]  hollering, and everybody's cheering. He's like a god of Olympus. He can do no wrong.
[28:32.800 --> 28:36.640]  People don't even know what he's saying. He's just putting a positive spin out.
[28:36.640 --> 28:40.200]  The economy was better when I was president. We enforced trade laws when I
[28:40.200 --> 28:44.280]  was president. I love America. We're not going to throw their interests away. Oh
[28:44.280 --> 28:47.560]  yeah, I went to Bilderberg. I know, yeah, they set policy there, but I wasn't there
[28:47.560 --> 28:51.280]  to set any North American policy. I was just there to sit in on some meetings
[28:51.280 --> 28:57.080]  with some Europeans about what was going to happen to Russia. Total bull, total
[28:57.080 --> 29:02.960]  nonsense. All right, let's get into some positive news.
[29:02.960 --> 29:08.120]  There's not a lot of that these days, but I just want to let people know that
[29:08.120 --> 29:14.280]  the courts have ruled, Missouri lawmakers have ruled, that they're going to make
[29:14.280 --> 29:20.520]  it a crime if people are ordered to be microchipped in their arms from private
[29:20.520 --> 29:25.840]  businesses. Well, good. There's no way my job should say, well, you want to keep
[29:25.840 --> 29:29.600]  your job? Here's a little chip. It's almost like that biometrics thing for
[29:29.600 --> 29:33.760]  your kids the other day. Remember the websites are infowars.com and
[29:33.760 --> 29:37.880]  prismplanet.com, and we do a live video stream over at prismplanet.tv
[29:37.880 --> 29:41.320]  during the fourth hour. So check that out. Alex Jones is going to be calling back
[29:41.320 --> 29:45.880]  soon. This is the Alex Jones Show. I am Jason Bermas. We're on the march. The
[29:45.880 --> 29:53.000]  Empire's on the run. Alex Jones and the GCN radio network.
[29:54.440 --> 30:01.760]  Imagine a firefly simple and innocent, the ability to light the night sky, the
[30:01.760 --> 30:07.600]  ozone layer unseen by the naked eye, life sustaining. Our ocean,
[30:07.600 --> 30:12.640]  primordial soup breathes life. Bring the wonders of nature home.
[30:12.640 --> 30:17.200]  Soleil salt lamps, hand-crafted from million-year-old crystal salt, will
[30:17.200 --> 30:22.040]  gently ionize and purify your indoor air, helping you breathe easier. Nourish
[30:22.040 --> 30:27.240]  your mind and body with soothing colors for deep relaxation and neutralize EMF
[30:27.240 --> 30:34.280]  radiation, protecting your family's health. Visit S-O-L-A-Y wellness.com for
[30:34.280 --> 30:40.480]  powerful, simple, life-sustaining soleil wellness products created from nature in
[30:40.480 --> 30:45.720]  harmony with nature. Hi, I'm Isabella, Founder Soleil Wellness. Visit us or call
[30:45.720 --> 30:56.760]  866-497-0274. 866-497-0274. Our beloved Republic is on her knees. The forces of
[30:56.760 --> 31:00.400]  globalism are destroying national sovereignty worldwide, but in liberty's
[31:00.400 --> 31:04.200]  darkest hour there is hope. The first time in modern history, the people are
[31:04.200 --> 31:08.200]  beginning to wake up. It is essential that patriots worldwide accelerate their
[31:08.200 --> 31:11.640]  fellow man's understanding of the New World Order master plan. We have a short
[31:11.640 --> 31:15.520]  time frame to fully awaken and energize the people to meet this threat. In the
[31:15.520 --> 31:19.880]  Info War, PrisonPlanet.tv is a powerful weapon in the battle to regain our
[31:19.880 --> 31:24.400]  freedom. PrisonPlanet.tv is a vault of forbidden information. All 18 of my
[31:24.400 --> 31:28.200]  documentary films can be downloaded or streamed in super-high quality directly
[31:28.200 --> 31:31.920]  to your computer or iPhone and shared with others. Thousands of special video
[31:31.920 --> 31:35.760]  reports from tainted vaccines to martial law can be found in this online
[31:35.760 --> 31:39.800]  video library, my weekly news television broadcast, thousands of exclusive audio
[31:39.800 --> 31:44.640]  interviews, and so much more. The Info War is waiting for you to set it free. Join
[31:44.640 --> 31:49.720]  PrisonPlanet.tv. Burn the info bombs to disc. Put them on the file sharing
[31:49.720 --> 31:55.480]  networks. Bring down the New World Order. PrisonPlanet.tv.
[31:55.480 --> 32:00.000]  Warning! The EPA states indoor air pollution is the number one health
[32:00.000 --> 32:06.600]  problem today, causing 50% of all illnesses. Go to germfree33.com. Technology
[32:06.600 --> 32:10.800]  developed for NASA is now available to protect your family and health.
[32:10.800 --> 32:16.980]  Laboratory proven to eliminate 99.9% of deadly MRSA, black mold, E. coli, bird
[32:16.980 --> 32:23.240]  flu, and more from all surfaces. Germfree33.com. Remove pollen, mold, pet
[32:23.240 --> 32:28.520]  dander, dust mites, and more from the air. Germfree33.com. World's best air
[32:28.520 --> 32:33.760]  purifiers. Nothing else compares. Germfree33.com. No expensive filters to
[32:33.760 --> 32:39.520]  replace. Covers 3,000 square feet. See the proof at germfree33.com. Order from
[32:39.520 --> 32:45.200]  our secure website. Credit cards accepted. Order by phone 800-492-1073.
[32:45.200 --> 32:52.640]  Payment plans available 800-492-1073. Germfree33.com. The world's best air
[32:52.640 --> 32:59.640]  purifiers.
[33:41.640 --> 33:48.360]  All right, we are back. Missouri workers can't be forced to get microchip
[33:48.360 --> 33:52.240]  implants. That's some good news, actually, folks. They can't force you in a couple
[33:52.240 --> 33:56.080]  states to get microchip implants. I'm glad they're making these laws. It's been
[33:56.080 --> 34:01.000]  found of, you know, foreign cancer and rats and other animals, and there's no
[34:01.000 --> 34:05.960]  reason it needs to be in a human being. Although, one of the debunkers over at
[34:05.960 --> 34:13.400]  the JRF forums, Unsecured Coins. Very funny. Unsecured Coins. A few weeks back,
[34:13.400 --> 34:17.520]  it goes in for a checkup. He wasn't scheduled for one for about five years.
[34:17.520 --> 34:21.560]  This guy's military. He goes in, he passes with flying colors, and then they
[34:21.560 --> 34:25.480]  stamp this thing with RFID. They say, come back next week, next Thursday. We're
[34:25.480 --> 34:29.760]  going to chip you, and there's nothing he can do about it. There's this big
[34:29.760 --> 34:32.280]  thread, and people are like, well, why don't you just refuse it? He's like, well,
[34:32.280 --> 34:35.600]  then my career goes down the tubes, and we can't have our careers go down the
[34:35.600 --> 34:38.960]  tubes because then you can't pay your mortgage or your car payment, and you
[34:38.960 --> 34:42.080]  can't send your kid to college, or if they're a toddler, you can't put them into
[34:42.080 --> 34:46.240]  little league because you don't have the money. Okay, that's how they get you. They
[34:46.240 --> 34:50.360]  put you into a system first. They get you comfortable on that system. They get
[34:50.360 --> 34:54.640]  you to dedicate your life to that system, and then they put more
[34:54.640 --> 34:59.720]  restrictions on you. So let's go ahead and read this article. Your bosses can
