[00:00:03.107 --> 00:00:04.067]  Altercation in St.
[00:23:55.777 --> 00:24:02.423]  So-called joint session of Congress last week that the State of the Union said.
[00:24:02.423 --> 00:24:05.106]  Said!
[00:24:05.106 --> 00:24:08.589]  You oppose our agenda, we're going to call you a terrorist and use the Pentagon on you.
[00:24:08.589 --> 00:24:11.192]  Well, go ahead and use your woke Pentagon on me.
[00:24:11.192 --> 00:24:13.073]  All the dudes wearing their red high heels.
[00:24:13.073 --> 00:24:14.235]  Really, they're getting rid of the military.
[00:24:14.235 --> 00:24:16.737]  It's coming with drones.
[00:24:16.737 --> 00:24:19.399]  The Air Force is going to have half its security force by next year.
[00:24:19.399 --> 00:24:20.621]  We'll be robot.
[00:24:20.621 --> 00:24:20.821]  Wow!
[00:24:22.734 --> 00:24:25.677]  The Marines are downsizing humans and going with robots.
[00:24:25.677 --> 00:24:27.138]  Associated Press last week.
[00:24:27.138 --> 00:24:28.820]  It's here.
[00:24:28.820 --> 00:24:30.642]  It's here.
[00:24:30.642 --> 00:24:31.402]  We're already in the year 2070.
[00:24:31.402 --> 00:24:34.746]  We're not in 2021.
[00:24:34.746 --> 00:24:36.107]  They've been waiting.
[00:24:36.107 --> 00:24:37.508]  And now the rollout begins.
[00:24:37.508 --> 00:24:38.849]  The end of humanity.
[00:24:38.849 --> 00:24:42.713]  The war cutting you off, making you obsolete.
[00:24:42.713 --> 00:24:45.716]  And they're like, oh, follow our orders, we'll let you have your business open.
[00:24:45.716 --> 00:24:47.718]  Follow your orders, we'll give you your universal income.
[00:24:50.418 --> 00:24:52.839]  I'm going to explain that coming up last segment of this hour.
[00:24:52.839 --> 00:24:56.199]  What do you think happens when people stop working but they keep printing money?
[00:24:56.199 --> 00:25:05.742]  Shortage is we run out of things and it's already here and it's already caused, in a just-in-time delivery system, a chain reaction that is going to bring the world down.
[00:25:05.742 --> 00:25:09.582]  Food prices are already 76% more as of last week.
[00:25:09.582 --> 00:25:11.743]  Bloomberg Global Agri-Index is very accurate.
[00:25:12.674 --> 00:25:26.296]  A global index of food price increases at the farm market purchase, where they've already bought the crops that are growing now, but by the end of the summer, four months from now, five months from now, 76% global food increase.
[00:25:26.296 --> 00:25:30.377]  That's called science and facts, John Oliver and your teleprompter.
[00:25:30.377 --> 00:25:32.037]  See, there's no teleprompter here.
[00:25:32.037 --> 00:25:33.638]  I'm a real person.
[00:25:33.638 --> 00:25:38.639]  I'm my own man, son.
[00:25:38.639 --> 00:25:39.799]  Oh, here's chop.edu.
[00:25:42.156 --> 00:25:44.978]  One of the main university databases.
[00:25:44.978 --> 00:25:47.619]  Vaccine Ingredient Fetal Cells.
[00:25:47.619 --> 00:25:55.584]  And it breaks down the cell line history and how most vaccines, including mRNA, are based on fetal cell lines.
[00:25:55.584 --> 00:25:58.146]  Oh, but John Oliver, he's a comedian.
[00:25:58.146 --> 00:26:01.928]  He said none of this exists and we all need to be shut down.
[00:26:01.928 --> 00:26:04.230]  Historical Vaccine Safety Concerns, CDC.
[00:26:05.327 --> 00:26:15.240]  They've got a nice little thing saying they still think the benefits outweigh the harm, but then it tells you about getting cancer in your polio shot, giving people polio with the polio vaccine.
[00:26:15.240 --> 00:26:16.161]  They get much lower numbers.
[00:26:16.161 --> 00:26:16.662]  What happened?
[00:26:16.662 --> 00:26:21.108]  My grandmother was told the polio vaccine gave her polio in this very event.
[00:26:21.108 --> 00:26:21.669]  The cutter!
[00:26:23.690 --> 00:26:27.934]  Incident in 1955 when my mommy was five years old.
[00:26:27.934 --> 00:26:32.298]  That's when her mommy got it and was in tortured pain until she died three years ago at 92.
[00:26:32.298 --> 00:26:40.565]  Oh, that's just page after page of all the big incidents and all the deaths from all the different incidences right up until recently.
[00:26:40.565 --> 00:26:42.787]  Oh, but no one ever got hurt.
[00:26:42.787 --> 00:26:45.650]  No one ever had a problem.
[00:26:45.650 --> 00:26:49.914]  And don't worry, John Oliver, people like my grandmother will never do anything to you for what you've done with Bill Gates.
[00:26:50.501 --> 00:26:52.522]  And the future crimes you're now helping commit.
[00:26:52.522 --> 00:26:54.263]  Because she's such a big Christian.
[00:26:54.263 --> 00:26:57.424]  She said when she was really old, she said, I forgive them.
[00:26:57.424 --> 00:26:58.284]  They didn't mean it.
[00:26:58.284 --> 00:27:00.105]  And it's OK.
[00:27:00.105 --> 00:27:02.386]  Jesus forgives them.
[00:27:02.386 --> 00:27:05.687]  She's in a wheelchair in tortured pain her whole life.
[00:27:05.687 --> 00:27:07.328]  Ate almost all the nerves and muscles.
[00:27:07.328 --> 00:27:09.909]  But that's OK.
[00:27:09.909 --> 00:27:14.350]  Because Tim Cook runs death camps in China.
[00:27:14.350 --> 00:27:14.771]  It's liberal.
[00:27:16.943 --> 00:27:19.605]  So, yeah, you know, she was in an iron lung for a while, too.
[00:27:19.605 --> 00:27:21.226]  But that's the fun part.
[00:27:21.226 --> 00:27:25.449]  And Salk later bragged that there were too many people, and he did it on purpose as a test!
[00:27:25.449 --> 00:27:27.830]  How liberal!
[00:27:27.830 --> 00:27:28.671]  Oh!
[00:27:28.671 --> 00:27:29.892]  Oh, I'm sorry, John Oliver.
[00:27:29.892 --> 00:27:31.373]  How's your soul feeling?
[00:27:31.373 --> 00:27:39.498]  I wonder if Melinda Gates left him because she knows that, hmm, who's the big company?
[00:27:40.311 --> 00:27:52.322]  Merck, three months ago, pulled out of the vaccine program saying, it's dangerous, it attach proteins to the body, it causes autoimmune response, and allergic responses, and it won't protect you, and the vaccine won't work.
[00:27:52.322 --> 00:27:55.385]  Oh, you didn't know you were supposed to get a vaccine every two months now, they announced?
[00:27:55.385 --> 00:27:56.546]  Because it doesn't work?
[00:27:56.546 --> 00:27:57.747]  But it does work.
[00:27:57.747 --> 00:28:03.552]  They've announced, CBS News, the next vaccines that are all ready for you.
[00:28:03.552 --> 00:28:05.554]  Even John Oliver said, oh, people are worried that
[00:28:06.283 --> 00:28:08.945]  These were made so fast, they've had this ready for a decade.
[00:28:08.945 --> 00:28:10.767]  Exactly, John!
[00:28:10.767 --> 00:28:14.249]  That's why they skipped the animal-human studies.
[00:28:14.249 --> 00:28:17.211]  Because it killed so many animals in the original studies under other names.
[00:28:17.211 --> 00:28:18.212]  Yes, we know.
[00:28:18.212 --> 00:28:19.413]  We know it's been tested.
[00:28:19.413 --> 00:28:21.134]  Tested to be particularly deadly.
[00:28:21.134 --> 00:28:22.596]  But it kills ferrets in six months.
[00:28:22.596 --> 00:28:28.160]  That means it kills humans in about five to ten years, if the models follow.
[00:28:28.160 --> 00:28:30.282]  And we'll all just sit back and watch it, won't we, John?
[00:28:30.282 --> 00:28:32.223]  Because I've got a big stack of people dying from the vaccine.
[00:28:32.223 --> 00:28:32.603]  But oh!
[00:28:32.603 --> 00:28:32.643]  Oh!
[00:28:34.850 --> 00:28:45.237]  We're all kooks, but China won't take it, and India won't take it, and, uh, the AstraZeneca's been banned from 21 countries, but we're all just crazy, and the Pentagon and the CIA needs to come kill us at our houses.
[00:28:45.237 --> 00:28:47.739]  Oh, I'm so scared!
[00:28:47.739 --> 00:28:49.880]  Oh my gosh, you might kill me!
[00:28:49.880 --> 00:28:52.062]  You're gonna kill everybody anyways!
[00:28:52.062 --> 00:28:54.624]  And so, we will meet you!
[00:28:54.624 --> 00:28:56.265]  Ha ha ha ha ha ha ha ha!
[00:28:56.265 --> 00:28:57.285]  Yes!
[00:28:57.285 --> 00:28:59.407]  The world is awakening.
[00:29:00.127 --> 00:29:03.628]  The world is beginning to understand the globalist paradigm.
[00:29:03.628 --> 00:29:14.910]  They are discovering the globalists, the elites, the manipulation, the CFR, the Trilateral Commission, the Bilderberg Group, the Bohemian Grove, the Club of Rome.
[00:29:14.910 --> 00:29:24.692]  And so, even though it seems like the globalists are winning, the truth is, they've had to come out in the open to attack human freedom because they're actually losing.
[00:29:24.692 --> 00:29:27.192]  We have forced them out in the open.
[00:29:27.831 --> 00:29:33.655]  So as bad as these times are, and a lot of negative things are about to happen, realize humanity is winning.
[00:29:33.655 --> 00:29:38.679]  You've got to trust in the plan of God, and trust in the plan of God's justice.
[00:29:38.679 --> 00:29:40.120]  That is invincible.
[00:29:40.120 --> 00:29:43.562]  That is ethereal, timeless, and unstoppable.
[00:29:43.562 --> 00:29:49.306]  So don't trust in man, trust in God, to lead God and direct your soul, and then take action against the globalists.
[00:29:49.306 --> 00:29:53.369]  And realize, you've got my commitment from Alex Jones and my crew to you.
[00:29:53.369 --> 00:29:57.152]  We will never back down from the globalists, and we will never surrender.
[00:29:58.627 --> 00:30:05.168]  When listeners call to the show and thank me for all I've done, I always stop them and I say, thank you for what you've done.
[00:30:05.168 --> 00:30:07.129]  Thank you for keeping InfoWars on the air.
[00:30:07.129 --> 00:30:10.890]  Thank you for praying for us, and thank you for spreading the word.
[00:30:10.890 --> 00:30:21.312]  If all of you will simply go to InfoWarsStore.com and get a privacy pocket for your iPhone or Droid, it will teach you and others that these things are surveilling you.
[00:30:21.312 --> 00:30:26.713]  It will remind you every day like it does me and my family, and it will protect where you go and what you do.
[00:30:27.273 --> 00:30:33.218]  Not because you've done something wrong, but because the big telecoms, big tech, and the globalists are predatory and are evil.
[00:30:33.218 --> 00:30:39.724]  And in this surveillance state, we need to more and more start doing everything we can to mitigate the criminal activity they're involved in.
[00:30:39.724 --> 00:30:42.207]  These are the highest quality, highest ratings.
[00:30:42.207 --> 00:30:44.749]  They're available at InfoWareStore.com in four different colors.
[00:30:45.329 --> 00:30:46.270]  And they are only $19.95.
[00:30:46.270 --> 00:30:51.232]  The exact same pocket is sold for $24.95 or even $29.95 everywhere.
[00:30:51.232 --> 00:30:54.433]  They're available right now for $19.95 and they fund the InfoWarp.
[00:30:54.433 --> 00:30:58.795]  Please take action today, protect your privacy, and fund the InfoWarp.
[00:30:58.795 --> 00:31:03.277]  This entire New World Order system is about making you dependent.
[00:31:03.277 --> 00:31:04.338]  Making you obsolete.
[00:31:04.338 --> 00:31:07.479]  Making you a domesticated animal they control.
[00:31:07.479 --> 00:31:08.720]  They want to censor you.
[00:31:08.720 --> 00:31:09.560]  They want to dumb you down.
[00:31:09.560 --> 00:31:10.661]  They want to poison you.
[00:31:10.661 --> 00:31:13.822]  And they want to control your ability to take care of yourself.
[00:31:14.941 --> 00:31:19.423]  Ladies and gentlemen, now is the time to fund the info war more than ever.
[00:31:19.423 --> 00:31:24.605]  And you can do it while at the same time protecting yourself and your family and your neighbors.
[00:31:24.605 --> 00:31:34.929]  We have the biggest, best, storable foods company in the world that has high quality food in huge warehouses across the U.S., five of them, ready to ship to you within 24 hours.
[00:31:36.272 --> 00:31:41.973]  And, when you go to InfoWareStore.com to get the MyPatriot Supply Food, you get an additional 10% off.
[00:31:41.973 --> 00:31:45.094]  That is the lowest price you're going to find anywhere on quality food.
[00:31:45.094 --> 00:31:46.514]  They're ready to ship to you right now.
[00:31:46.514 --> 00:31:48.175]  The packaging is amazing.
[00:31:48.175 --> 00:31:53.076]  Get prepared while you still can at InfoWareStore.com or PrepareWithAlex.com.
[00:31:53.076 --> 00:31:53.776]  Do not wait.
[00:31:53.776 --> 00:31:54.636]  Take action.
[00:31:54.636 --> 00:31:56.297]  PrepareWithAlex.com.
[00:31:56.297 --> 00:31:57.057]  Get your food now!
[00:31:59.000 --> 00:32:02.401]  I am a very humble person, but I'm also a bold person.
[00:32:02.401 --> 00:32:12.302]  And so, as bad as things are with the globalists attacking humanity, with all the terrible things that are unfolding, I want you to know that a lot of positive things are happening as well.
[00:32:12.302 --> 00:32:15.663]  I'm a public figure, so I get to see things the general public doesn't get to see.
[00:32:15.663 --> 00:32:27.245]  And let me tell you, whether it's police chiefs, or members of Congress, or even folks in Hollywood, or mainstream media, or industry, people are really, really away from the establishment.
