[00:00:07.870 --> 00:00:09.311]  We did it!
[00:21:49.423 --> 00:21:52.225]  Find them on the web at InvestmentRarities.com or call 800-328-1860.
[00:21:52.225 --> 00:21:53.945]  Call now before it's too late!
[00:21:53.945 --> 00:21:53.985]  800-328-1860.
[00:22:08.493 --> 00:22:13.775]  Access to quality, affordable healthcare that allows you the freedom to choose your doctor and hospital.
[00:22:13.775 --> 00:22:19.377]  Members can share up to 100% of necessary medical expenses, including some alternative treatments.
[00:22:19.377 --> 00:22:24.339]  Find out how you and your family can contain healthcare costs without giving up your freedom.
[00:22:24.339 --> 00:22:26.560]  Go to LibertyOnCall.org.
[00:22:26.560 --> 00:22:28.061]  That's LibertyOnCall.org.
[00:22:29.414 --> 00:22:31.975]  We use cell phones against our heads every day.
[00:22:31.975 --> 00:22:33.396]  But now a landmark U.S.
[00:22:33.396 --> 00:22:38.999]  government study confirms increased health risks from exposure to EMF radiation emitted from these devices.
[00:22:38.999 --> 00:22:41.080]  The time to protect yourself is now.
[00:22:41.080 --> 00:22:42.921]  The solution is DefenderShield.
[00:22:42.921 --> 00:22:50.045]  Proudly made in the USA, DefenderShield blocks virtually 100% of EMF radiation emitted from cell phones, tablets, and laptops.
[00:22:50.045 --> 00:22:51.966]  Buy now at DefenderShield.com.
[00:22:51.966 --> 00:22:54.187]  Use discount code DEFENDER for 10% off.
[00:22:54.187 --> 00:22:55.547]  DefenderShield.com.
[00:22:55.547 --> 00:22:58.109]  The worldwide leader in EMF radiation protection.
[00:22:58.956 --> 00:23:00.057]  Think about this.
[00:23:00.057 --> 00:23:12.628]  Your community's aging water infrastructure systems are very likely to be contaminated with heavy metals like lead, disinfection chemicals like ammonia, chlorine, and chloramines, and pharmaceuticals like statins, pain meds, and antidepressants.
[00:23:12.628 --> 00:23:16.652]  And no, water treatment plants are not equipped to filter these pharmaceutical toxins out.
[00:23:16.872 --> 00:23:20.673]  Protect your family's water supply with the trusted Big Berkey Water Filter.
[00:23:20.673 --> 00:23:31.695]  New NSF EPA certified lab tests show Big Berkey Water Filters remove chloramines, pharmaceuticals, BPA, pesticides, bacteria and viruses, all forms of fluoride and much more.
[00:23:31.695 --> 00:23:35.216]  Big Berkey Water Filters are the original and most trusted on the market.
[00:23:35.216 --> 00:23:37.436]  The gold standard in water purification.
[00:23:37.436 --> 00:23:40.957]  And our filters last for years at less than two cents per gallon.
[00:23:40.957 --> 00:23:44.618]  Big Berkey, the one powerful enough to purify stagnant pond water.
[00:23:44.778 --> 00:23:46.419]  Get your Big Berkey today.
[00:23:46.419 --> 00:23:50.861]  Call 1-877-99-BERKEY or click bigberkeywaterfilters.com.
[00:23:50.861 --> 00:23:54.343]  That's 1-877-99-B-E-R-K-E-Y.
[00:23:54.343 --> 00:23:55.743]  Big Berkey Water Filters.
[00:23:55.743 --> 00:24:00.526]  For the love of clean water.
[00:24:00.526 --> 00:24:01.066]  It's crazy.
[00:24:01.066 --> 00:24:03.567]  I got so excited when I saw he was calling me.
[00:24:13.234 --> 00:24:21.078]  That I was like trying to do the swipe to answer it, and it wouldn't work because I was so excited.
[00:24:21.078 --> 00:24:21.998]  Only if you were that excited.
[00:24:21.998 --> 00:24:27.781]  It's like in the horror movie, you're trying to get your key in the car to start it when the monster's coming after you, but you're so excited you drop the keys.
[00:24:27.781 --> 00:24:28.461]  Well, this is the opposite.
[00:24:28.461 --> 00:24:31.882]  So excited I couldn't even get the thing swiped properly.
[00:24:31.882 --> 00:24:34.724]  I tell you, the Twilight Zone nature of my life has certainly gone into
[00:24:36.061 --> 00:24:36.782]  Beyond Bizarre!
[00:24:50.569 --> 00:24:52.831]  Infowars, I'm bragging about you.
[00:24:52.831 --> 00:25:01.018]  They did the numbers last night, and I've been saying 75 million tuned in in the last week just on Facebook and Twitter and our own internal videos and YouTube.
[00:25:01.018 --> 00:25:11.447]  I'm sorry, Zimmerman is doing the numbers right now to finish it up, but it was right around 90 million last night when I left at about 7 o'clock.
[00:25:11.447 --> 00:25:18.693]  90 million people in the last seven days just on videos.
[00:25:20.495 --> 00:25:31.683]  And I mean, one video with two million, one with five million, one with three million, and it's like pieces of the stream, because you can't just put like a seven-day stream out, so we chop it up every two hours, four hours, six hours, depending on when we're here.
[00:25:31.683 --> 00:25:32.884]  Overnight, it's like a six-hour chunk.
[00:25:32.884 --> 00:25:36.827]  A lot of nights, we were only gone two hours, so we cut them in pieces.
[00:25:36.827 --> 00:25:39.509]  People like shorter pieces.
[00:25:39.509 --> 00:25:44.413]  But this is big pieces, and it had 90 million views.
[00:25:44.413 --> 00:25:45.994]  That's bigger than Fox, folks.
[00:25:47.247 --> 00:25:50.169]  They're in their own world, and Trump knows they're in their own world.
[00:25:50.169 --> 00:25:54.273]  Fox is the biggest thing out there, and that's why he just dissed the entire media.
[00:25:54.273 --> 00:26:04.641]  The most positive thing I've seen, because we made the joke that once he gets into office, it's one thing if he has some establishment folks that guide him through the mines of Moria, to use the Lord of the Rings analogy.
[00:26:04.641 --> 00:26:06.342]  If you're not a J.R.R.
[00:26:06.342 --> 00:26:09.365]  Tolkien fan, you won't know what I'm talking about, but I think most people are from the movies.
[00:26:09.365 --> 00:26:14.609]  It's one thing if he has a guide that's kind of a bad guy to take him through the mines of Moria or under the mountain.
[00:26:17.046 --> 00:26:23.891]  If you, you know, if you catch him kissing goblins, or if you catch him in bed with a goblin, you know, that's a problem.
[00:26:23.891 --> 00:26:27.634]  If he says signs onto the TPP, that's in bed with a goblin.
[00:26:27.634 --> 00:26:34.819]  Trump charging into a goblin's nest, kissing goblins, goblin vomit, catch him in bed with a goblin.
[00:26:34.819 --> 00:26:41.504]  Now, because we're going to have a new scale here, I'm actually going to have it made digitally where it's on a scale of goblins.
[00:26:41.504 --> 00:26:43.465]  You know, is he charging into a goblin's nest?
[00:26:43.465 --> 00:26:44.246]  Hacking them to pieces?
[00:26:45.225 --> 00:26:47.766]  Or is it just going, you know, around the goblins?
[00:26:47.766 --> 00:26:51.347]  Is it kissing goblins, even though you still stab them, you give them a kiss?
[00:26:51.347 --> 00:26:53.948]  Or is it catching them in bed with a goblin?
[00:26:53.948 --> 00:27:02.491]  And then the final scale, is Trump going to have babies with a goblin and actually help the New World Order and turn against us like Darth Vader?
[00:27:02.491 --> 00:27:03.631]  Is he going to marry a goblin?
[00:27:05.134 --> 00:27:06.716]  She just learned about another level of the scale.
[00:27:06.716 --> 00:27:09.658]  Not just in bed with a goblin, marry a goblin.
[00:27:09.658 --> 00:27:11.580]  That'll be all over the news now.
[00:27:11.580 --> 00:27:16.685]  And then they think it's discrediting to attack us with that, and then all it does is make everybody love us that more.
[00:27:16.685 --> 00:27:26.554]  See, they in the WikiLeaks were saying, let's push Trump because he'll discredit the whole
[00:27:27.631 --> 00:27:28.351]  T.O.P.
[00:27:28.351 --> 00:27:30.392]  and then if he becomes the nominee, we'll be able to defeat him.
[00:27:30.392 --> 00:27:36.815]  Now, pretty soon they figured out, no, he's actually popular, he's gonna destroy us within a few months, so they changed all that, too late.
[00:27:36.815 --> 00:27:46.780]  He got the nomination, and then he defeated Hillary, who tried to steal the election in a landslide, and now, Wolf Blitzer is whining and bitching like someone robbed him.
[00:27:46.780 --> 00:27:52.723]  This is outrageous, this is incredible, you didn't have a press conference with us, this is unacceptable.
[00:27:53.824 --> 00:27:57.728]  And then he just flew off and didn't even tell us from DC to New York.
[00:27:57.728 --> 00:27:58.668]  I said this on air.
[00:27:59.958 --> 00:28:02.118]  I hope he moves out of the White House.
[00:28:02.118 --> 00:28:11.940]  It's too small, it's not safe, and moves into one of his big mansions and builds a big armored wall around it and puts in big, you know, facilities for the Secret Service and everybody else.
[00:28:11.940 --> 00:28:15.741]  He's got mansions next to office buildings and just has his own White House.
[00:28:15.741 --> 00:28:18.902]  Just break with everything, except the Republic.
[00:28:18.902 --> 00:28:20.882]  Move out of that captured nest.
[00:28:20.882 --> 00:28:25.763]  Move back in once we've recaptured Washington, but don't move into the middle of the enemy encampment.
[00:28:25.763 --> 00:28:26.523]  Move out of there.
[00:28:27.759 --> 00:28:32.422]  Just spiritually you need to, and all the surveillance, and all the spies, and all the crap.
[00:28:32.422 --> 00:28:35.104]  It's just absolutely horrible.
[00:28:35.104 --> 00:28:39.647]  Only go there maybe a few days a week, you know, have that be your other office, and just get away from these people.
[00:28:39.647 --> 00:28:41.489]  And I said don't do press conferences with them.
[00:28:41.489 --> 00:28:45.872]  Do your own big daily announcements, and then do like they do.
[00:28:45.872 --> 00:28:48.854]  Say, we're gonna just bring in the Patriot Media.
[00:28:48.854 --> 00:28:52.076]  Hmm, dun-dun-dun-dun, and here comes all the correspondents.
[00:28:52.076 --> 00:28:52.957]  Hundreds and hundreds of them.
[00:28:54.787 --> 00:28:58.728]  You know what, we're not as bad as they are, so you know what, no, let's just have it open to everybody.
[00:28:58.728 --> 00:29:17.531]  The point is, is that dissing these people is keen, and I get the fact that so the stock market wouldn't plunge and so there wouldn't be bigger riots, he played the part of the facilitator to go and meet with Obama and say you're a good person, you know, we owe you for what you've done, it was a total lie, but he was kissing a goblin.
[00:29:17.531 --> 00:29:23.592]  The goblin did not look pleased, I will tell you, because he understood what Trump was doing was devastating him.
[00:29:24.472 --> 00:29:31.855]  And, of course, it was a lesser man next to a real man, a self-made man, Obama, a globalist operative, destroying this country and his own people.
[00:29:31.855 --> 00:29:33.436]  But it's a big day, ladies and gentlemen.
[00:29:33.436 --> 00:29:34.776]  It's a new day.
[00:29:34.776 --> 00:29:36.237]  It's a new life.
[00:29:36.237 --> 00:29:37.597]  Birds flying high.
[00:29:37.597 --> 00:29:39.098]  I tell you, I know how they feel.
[00:29:39.098 --> 00:29:41.859]  We ought to play that coming back.
[00:29:41.859 --> 00:29:42.739]  Whoo!
[00:29:42.739 --> 00:29:44.020]  Good stuff, baby!
[00:29:44.020 --> 00:29:45.240]  We're on the march.
[00:29:45.240 --> 00:29:46.861]  The empire's on the run.
[00:29:49.652 --> 00:29:53.576]  We're on the march, the Empire's on the run.
[00:29:53.576 --> 00:29:56.278]  Alex Jones and the GCN Radio Network.
[00:30:00.680 --> 00:30:04.902]  The NFL is considering some serious changes as ratings continue to plummet.
[00:30:04.902 --> 00:30:11.624]  Some of the changes include reducing ads and ad time, reducing the time of game, to perhaps even changing the way it's officiated.
[00:30:11.624 --> 00:30:26.350]  These were among the things mentioned by NFL Commissioner Roger Goodell to increase ratings, but he failed to mention the protest of our country by some of its players, like Colin Paperneck, Erika Reid, Kenny Schills, Jackie Tartt, Elizabeth Harreld, and Luz Irving.
[00:30:26.590 --> 00:30:31.533]  Who have been protesting the country during the National Anthem, which without a doubt is affecting ratings.
[00:30:31.533 --> 00:30:37.236]  Wait, the players in the league are protesting the people in the country who drive the high ratings, and the ratings are dropping?
[00:30:37.236 --> 00:30:37.916]  Shocking.
[00:30:37.916 --> 00:30:40.417]  But the PCNFL can't address this.
[00:30:40.417 --> 00:30:54.825]  Perhaps the silver lining in all of this is that people are less inclined to being obsessed with football all day long, and have been following the presidential election, as well as other local and national issues, that they see they can affect with vigilance and action, not just taking a knee.
[00:30:55.365 --> 00:30:57.492]  This is Owen Troyer from InfoWars.com
[00:31:00.126 --> 00:31:05.188]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[00:31:05.188 --> 00:31:14.032]  Youngevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[00:31:14.032 --> 00:31:17.973]  Youngevity also offers you an ingenious way to augment your income.
[00:31:17.973 --> 00:31:18.774]  And the best part?
[00:31:18.774 --> 00:31:21.635]  You'll be helping your friends and family along the way.
[00:31:21.635 --> 00:31:24.256]  Visit Infowarsteam.com today.
[00:31:24.256 --> 00:31:25.036]  Become a member.
[00:31:25.036 --> 00:31:29.098]  Get discounts on the amazing products and free shipping when you sign up for AutoShip.
[00:31:29.318 --> 00:31:36.043]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
