[00:00.000 --> 00:29.000]  Ladies and gentlemen, we are live on this Friday, November 27th, 2020.
[29:26.000 --> 29:31.000]  Scotland is going to have universal guaranteed incomes now of subsistence level.
[29:31.000 --> 29:33.000]  But of course, you got to take those vaccines.
[29:33.000 --> 29:34.000]  You can't have any kids.
[29:34.000 --> 29:40.000]  And oh, don't worry though, all of the tampons and stuff like that's free too as well.
[29:40.000 --> 29:41.000]  I'm not kidding.
[29:41.000 --> 29:42.000]  So give me some free paper.
[29:42.000 --> 29:46.000]  They give me enough money to basically live in a tiny apartment, but they own you.
[29:46.000 --> 29:47.000]  They control you.
[29:47.000 --> 29:48.000]  That's the great reset.
[29:48.000 --> 29:54.000]  That's why it's got to be resisted to total takeover and we're fighting it at infowars.com.
[30:18.000 --> 30:28.000]  There's been a massive backlash to the very easily to predict action of Google on YouTube
[30:28.000 --> 30:33.000]  taking over the main front page of the platform and force feeding messages to everyone's channels
[30:33.000 --> 30:38.000]  and private accounts telling them that Thanksgiving is evil and bad and about murdering indigenous
[30:38.000 --> 30:42.000]  people and that it should really be called un-thanksgiving and then push some black lives matter George
[30:42.000 --> 30:43.000]  Soros UN garbage.
[30:43.000 --> 30:44.000]  Why is this?
[30:44.000 --> 30:49.000]  Well, it's because the big tech companies support commons China and giant death camps that Apple
[30:49.000 --> 30:54.000]  and others are actually lobbying to keep open and they want to distract away from their current
[30:54.000 --> 30:59.000]  mass murder operations and total oppression and surveillance and election meddling here
[30:59.000 --> 31:03.000]  and censorship onto how woke they are and how good they are and how great it is.
[31:03.000 --> 31:04.000]  You know, America is so bad.
[31:04.000 --> 31:08.000]  Why are all these quote indigenous peoples from all over the world fighting to get into
[31:08.000 --> 31:09.000]  here?
[31:09.000 --> 31:12.000]  Because despite the fact we have a lot of problems in our history, we're heads above basically
[31:12.000 --> 31:17.000]  any other nation in the history of the planet except for maybe Switzerland or England.
[31:17.000 --> 31:23.000]  It has been the West that has led the way towards human freedom, education, medicine, science,
[31:23.000 --> 31:24.000]  everything.
[31:24.000 --> 31:28.000]  And the globalists know that so they're waging war on Western ethos of the Renaissance because
[31:28.000 --> 31:31.000]  they don't want a utopian future.
[31:31.000 --> 31:36.000]  They are dystopians on record that want to ruin everything good, cancel the family and
[31:36.000 --> 31:39.000]  basically create a post-human world.
[31:39.000 --> 31:42.000]  Back to live transmission with Owen Schreuer, I'm Alex Jones.
[31:42.000 --> 31:44.000]  This is the Info War.
[31:44.000 --> 31:46.000]  It is interesting, isn't it?
[31:46.000 --> 31:53.000]  Thanksgiving was a much different holiday just 10 years ago.
[31:53.000 --> 32:00.000]  In fact, I saw a lot of commentary on that issue over the course of the last 48 hours or so.
[32:00.000 --> 32:03.000]  It really is different.
[32:03.000 --> 32:06.000]  It really is different.
[32:06.000 --> 32:11.000]  And I'm sure this year a lot of it had to do with the COVID madness which we'll get into
[32:11.000 --> 32:12.000]  right now.
[32:12.000 --> 32:21.000]  But just from an observer point of view, Thanksgiving now appears to be nothing but Black Friday.
[32:21.000 --> 32:22.000]  It's all I see.
[32:22.000 --> 32:28.000]  It's Black Friday this, Black Friday that, and then a bunch of weird social justice warrior
[32:28.000 --> 32:34.000]  messaging intertwined with it just using Thanksgiving as the platform to tell you how bad you are for
[32:34.000 --> 32:37.000]  being white or Christian or American.
[32:37.000 --> 32:42.000]  So it's kind of odd how that has gone down.
[32:42.000 --> 32:51.000]  And then, of course, you had the COVID madness of people being panicked over COVID, telling
[32:51.000 --> 32:57.000]  friends and family to wear masks at their dinners, Democrat governors and mayors telling
[32:57.000 --> 33:05.000]  you you can't have gatherings, what they like to do.
[33:05.000 --> 33:13.000]  Vermont Governor Phil Scott, you know, it's just sick.
[33:13.000 --> 33:15.000]  And I got to be honest.
[33:15.000 --> 33:20.000]  I mean, I do get mad at the president for playing along with this.
[33:20.000 --> 33:22.000]  I don't commit to that anger.
[33:22.000 --> 33:23.000]  I move on.
[33:23.000 --> 33:28.000]  But I mean, it's just this whole COVID nonsense is just so out of control.
[33:28.000 --> 33:30.000]  Anybody, okay, fine.
[33:30.000 --> 33:32.000]  There's a virus.
[33:32.000 --> 33:37.000]  Anybody who says it's a pandemic or some sort of national health emergency or the hospitals are
[33:37.000 --> 33:40.000]  overwhelmed or the death counts are up, all lies.
[33:40.000 --> 33:43.000]  And it's sick that we're still perpetuating this.
[33:43.000 --> 33:52.000]  And so now, I'm sorry, I have not seen the Cuomo, Kramer, Turkey.
[33:52.000 --> 33:54.000]  That's a new one to me.
[33:54.000 --> 33:57.000]  Oh, yeah, he's a Turkey.
[33:57.000 --> 33:58.000]  All right.
[33:58.000 --> 34:04.000]  Another Turkey is Governor Phil Scott who instructs schools to interrogate students about family
[34:04.000 --> 34:06.000]  Thanksgiving gatherings.
[34:06.000 --> 34:09.000]  You know, by the way, I just wrote it down here.
[34:09.000 --> 34:16.000]  I just found out today that a great, a great ant of mine, a great ant of mine, great lady,
[34:16.000 --> 34:22.000]  full of life, died of COVID.
[34:22.000 --> 34:29.000]  No, my sweet, great aunt D was 86 years old, smoked for 50 plus years of her life, drank
[34:29.000 --> 34:31.000]  like a fish until the day she died.
[34:31.000 --> 34:35.000]  At least when I last saw her, she could have not been, but she parted with me.
[34:35.000 --> 34:37.000]  I'll just put it that way.
[34:37.000 --> 34:38.000]  But oh, you get the flu.
[34:38.000 --> 34:43.000]  And now it's, oh, you died of COVID pneumonia deaths, non-existent flu deaths, non-existent.
[34:43.000 --> 34:45.000]  It's all COVID car accidents.
[34:45.000 --> 34:47.000]  Non-existence COVID, old age COVID.
[34:47.000 --> 34:50.000]  You get a little cough COVID.
[34:50.000 --> 34:54.000]  Eye scratch COVID.
[34:54.000 --> 34:55.000]  Everybody knows it.
[34:55.000 --> 35:02.000]  But see, again, it's the weird level of committing to the propaganda because you think it benefits
[35:02.000 --> 35:05.000]  you and that's where the left is at.
[35:05.000 --> 35:09.000]  But let's move on.
[35:09.000 --> 35:20.000]  Virginia Sheriff's Office warns residents of holiday gatherings, warns, warns, encourages
[35:20.000 --> 35:25.000]  neighbors to snitch if they see Thanksgiving dinners happening.
[35:25.000 --> 35:27.000]  So you're being warned.
[35:27.000 --> 35:29.000]  You're not allowed to have dinner.
[35:29.000 --> 35:31.000]  You're not allowed to have family over.
[35:31.000 --> 35:33.000]  There could be a virus.
[35:33.000 --> 35:35.000]  Well, there always could be a virus.
[35:35.000 --> 35:38.000]  I mean, so again, the president's been set.
[35:38.000 --> 35:40.000]  The mask never comes off.
[35:40.000 --> 35:41.000]  The fear mongering never stops.
[35:41.000 --> 35:43.000]  The fear porn never stops.
[35:43.000 --> 35:46.000]  Your freedom never returns.
[35:46.000 --> 35:56.000]  And now you're afraid of a virus the rest of your life because you're living in a permanent pandemic that's actually a total fraud.
[35:56.000 --> 36:00.000]  New York City to have Thanksgiving COVID checkpoints.
[36:00.000 --> 36:02.000]  Well, they set these up.
[36:02.000 --> 36:07.000]  But as far as I can tell DC, New York and others, the police are really not enforcing this.
[36:07.000 --> 36:14.000]  It just is, you know, a decree made by a Democrat mayor or governor, and then they just kind of fall on flat ears.
[36:14.000 --> 36:21.000]  In fact, you had parents outside Gracie mansion protesting all kinds of things.
[36:21.000 --> 36:29.000]  The illegal lockdown schools to be reopened just the general scumbaggery of their mayor and governor.
[36:29.000 --> 36:32.000]  And this is happening again all over the nation.
[36:32.000 --> 36:35.000]  These protests.
[36:35.000 --> 36:37.000]  It's funny. It's always Democrat run cities.
[36:37.000 --> 36:43.000]  So the liberals go to Democrat run cities to complain about how Democrats run the city.
[36:43.000 --> 36:50.000]  Conservatives protest in Democrat run cities to complain about how Democrats run the city.
[36:50.000 --> 36:52.000]  Huh?
[36:52.000 --> 36:53.000]  It's interesting, isn't it?
[36:53.000 --> 36:55.000]  It's always in the Democrat run cities.
[36:55.000 --> 36:59.000]  Now one side of the aisle actually wants to vote for something different.
[36:59.000 --> 37:06.000]  The other side keeps voting the same way and then claims that you're insane when the definition of insanity is doing the same thing over and over again and expecting different results,
[37:06.000 --> 37:14.000]  a.k.a. voting Democrat watching Democrat run cities go to hell, but then keep voting Democrat for change.
[37:14.000 --> 37:21.000]  Failing grades spike in Virginia's largest school system as online learning gap emerges nationwide.
[37:21.000 --> 37:24.000]  And there's all kinds of weird stories in this Washington Post story.
[37:24.000 --> 37:26.000]  There's all kinds of weird stories all over the Internet.
[37:26.000 --> 37:28.000]  It's a joke.
[37:28.000 --> 37:33.000]  Hell, Jeffrey Tubin's on a professional business meeting masturbating.
[37:33.000 --> 37:40.000]  What do you think kids are doing while they're in a digital class if they're even there?
[37:40.000 --> 37:44.000]  Oh, the Internet's out.
[37:44.000 --> 37:49.000]  Oh, not going to school today.
[37:49.000 --> 37:51.000]  Oh, I can play all these different games.
[37:51.000 --> 37:52.000]  Oh, I can watch movies.
[37:52.000 --> 37:53.000]  I can all do this during class.
[37:53.000 --> 37:54.000]  Oh, I'm failing.
[37:54.000 --> 37:56.000]  What?
