[00:00:09.031 --> 00:00:14.959]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones!
[00:26:54.565 --> 00:26:57.246]  They're going to bomb so-called liberal targets.
[00:26:57.246 --> 00:27:07.169]  And then they're going to claim that, regardless of whoever did it, it's Trump's rhetoric and it's Trump demonizing the press that caused it and deserves to now be removed from office.
[00:27:07.789 --> 00:27:17.159]  When Trump's never attacking the press, he attacks fake news, individual liars, and groups that are frauds, and he says that they're the enemy of our country coming back, which they are.
[00:27:17.159 --> 00:27:19.261]  All they try to do is demoralize us.
[00:27:19.261 --> 00:27:22.004]  But here's the biggest issue.
[00:27:22.004 --> 00:27:28.892]  26 days out, you have to understand that this guy's ideology is core, illuminist,
[00:27:30.580 --> 00:27:31.481]  Brainwashing.
[00:27:31.481 --> 00:27:33.082]  It isn't Illuminist doctrine.
[00:27:33.082 --> 00:27:38.247]  It's what the Illuminists tell the useful idiots that believe the utopia they're going to build.
[00:27:38.247 --> 00:27:40.649]  This is right out of French Revolution stuff.
[00:27:40.649 --> 00:27:42.591]  The leftist left-hand path.
[00:27:42.591 --> 00:27:44.693]  That's when you get the term in politics, leftist.
[00:27:44.693 --> 00:27:48.897]  Before it was liberal egalitarian renaissance.
[00:27:50.106 --> 00:27:54.553]  And they were always wanting more freedoms for individuals, more freedoms for everybody.
[00:27:54.553 --> 00:27:56.636]  And wanting to take care of the poor, you name it.
[00:27:56.636 --> 00:28:02.685]  You had the right hand that was more like war and dictatorial and, you know, let poor people pull themselves up by the bootstraps.
[00:28:03.982 --> 00:28:11.426]  Which you could argue has a lot of validity in the whole liberal system, so you don't get too weak, but you don't want the right to get too out of control.
[00:28:11.426 --> 00:28:19.230]  And so you have the more, you know, liberal inclination to be nice and sweet versus the right wing to be, you know, real male and strong.
[00:28:19.230 --> 00:28:20.251]  Leftist is not that.
[00:28:21.596 --> 00:28:23.036]  Clepsis is associated with liberal.
[00:28:23.036 --> 00:28:24.096]  It has nothing to do with it.
[00:28:24.096 --> 00:28:35.938]  It is the Jacobin philosophy of coming in and taking control of society and then building it in your new image of absolute terror, absolute domination, absolute human suffering.
[00:28:35.938 --> 00:28:37.479]  With a tiny elite on top.
[00:28:37.479 --> 00:28:40.319]  A human face having a boot stomping on it forever.
[00:28:40.319 --> 00:28:41.819]  The priest of power.
[00:28:41.819 --> 00:28:46.300]  Absolute will of domination trampling and being trampled to quote George Orwell.
[00:28:46.300 --> 00:28:47.840]  We'll be right back on the other side.
[00:28:47.840 --> 00:28:49.181]  26 days out.
[00:28:49.181 --> 00:28:50.681]  Countdown to a major decision.
[00:28:59.250 --> 00:29:02.132]  Ever wonder how Bitcoin and Ethereum were created?
[00:29:02.132 --> 00:29:07.035]  Vercell Media has helped hundreds of companies and individuals make their own cryptocurrency.
[00:29:07.035 --> 00:29:12.618]  Decentralized blockchain solutions are making the world more transparent and giving power back to the people.
[00:29:12.618 --> 00:29:20.863]  Vercell Media has helped companies raise tens of millions in the past year alone, structuring and marketing ICOs to the thirsty crypto public worldwide.
[00:29:20.863 --> 00:29:23.325]  Don't miss the cryptocurrency revolution.
[00:29:23.325 --> 00:29:25.366]  Visit vercellmedia.com.
[00:29:25.366 --> 00:29:28.028]  V-E-R-C-E-L media.com.
[00:29:29.068 --> 00:29:35.750]  I'm David Hall, founder of Diamond Gusset, where we're proud of our 100% grown and sewn American-made jeans.
[00:29:35.750 --> 00:29:43.612]  Whether you're out for dinner, working on the farm, or on the road, Diamond Gusset Jeans offers a full spectrum of styles and sizes for any occasion.
[00:29:43.612 --> 00:29:46.253]  To find yours, visit gusset.com.
[00:29:46.253 --> 00:29:49.354]  That's G-U-S-S-E-T dot com.
[00:29:49.354 --> 00:29:55.216]  Our loyal customers enable us to continue sponsoring Liberty Media outlets like the one you're listening to.
[00:29:55.216 --> 00:29:58.377]  In Liberty, David Hall, Diamond Gusset Jeans Company.
[00:30:00.182 --> 00:30:07.867]  Do you realize that when you spread the links from Infowars.com, when you spread the videos, you are changing the world?
[00:30:07.867 --> 00:30:08.348]  It's you!
[00:30:09.457 --> 00:30:11.640]  That has defeated Hillary and the globalists.
[00:30:11.640 --> 00:30:20.390]  It is you, the info warriors across the planet, that stood against the bullying, that stood against the peer pressure, that stood against the threats, that have now changed the world.
[00:30:20.390 --> 00:30:24.955]  And that's why you've been on the team, supporting us, praying for us, and spreading the word.
[00:30:24.955 --> 00:30:26.416]  You are the info war.
[00:30:26.416 --> 00:30:29.940]  And now, because of their intensifying censorship, it's more important than ever
[00:30:30.601 --> 00:30:41.985]  That everyone go to InfoWars.com forward slash newsletter and sign up via email so there's no way the censors can get between us with critical videos, articles, breaking news, intel, you name it.
[00:30:41.985 --> 00:30:49.967]  And so now I ask you more than ever to share the InfoWars.com articles, to share the videos, to tell people about the local stations you're listening to.
[00:30:49.967 --> 00:30:56.529]  The bare minimum you can do is sign up for the free newsletter at InfoWars.com forward slash newsletter.
[00:30:57.009 --> 00:31:00.130]  We are the renaissance and we are winning.
[00:31:00.130 --> 00:31:08.513]  It's really hard to have the energy at the end of the day to still get to the gym or to go for a run or go to the park or heck even take your dog for a walk.
[00:31:08.513 --> 00:31:09.974]  Believe me, I know.
[00:31:09.974 --> 00:31:13.355]  I spend hours in front of a screen and then hours in front of bright lights.
[00:31:13.695 --> 00:31:14.676]  Every day.
[00:31:14.676 --> 00:31:19.920]  But thanks to Super Male Vitality at Infowarstore.com, I still have that energy.
[00:31:19.920 --> 00:31:40.076]  There's no way I could have the energy at the end of a long day to fight back against the chemicals in the food and water, to fight back against the modern day lifestyle with the screen time and the extended hours, to still have the stamina and endurance, energy and drive to get to the gym, get to the park, and get exercise that you need for your health.
[00:31:40.576 --> 00:31:44.580]  So go to Infowarsstore.com and get Supermail Vitality before it's gone.
[00:31:44.580 --> 00:31:48.243]  This is actually our last run of Supermail Vitality.
[00:31:48.243 --> 00:31:53.248]  So I want you to experience Supermail Vitality before it's too late.
[00:31:53.248 --> 00:31:55.970]  Unleash the Supermail in you.
[00:31:55.970 --> 00:31:58.813]  Supermail Vitality from Infowarsstore.com.
[00:32:00.054 --> 00:32:07.520]  Whether you're looking to boost the benefits of our fish oil formula or just want an alternative, InfoWars Lite has the formula for you.
[00:32:07.520 --> 00:32:16.787]  Ultimate Krill Oil is a powerhouse formula that takes advantages of the EPA, DHA, and Omega-3s found in our high-quality, ultra-pure krill oil concentrate.
[00:32:16.787 --> 00:32:25.855]  Containing powerful antioxidants such as astaxanthin and Omega-3s, Ultimate Krill Oil can help you experience the benefits of fish oil with less required DHA and EPA.
[00:32:26.790 --> 00:32:38.238]  This incredible formula can help your body in many ways, including supporting heart health, joint health, and cognitive health, aiding and regulating fat metabolism, helping to maintain cognitive function, and more.
[00:32:38.238 --> 00:32:47.325]  And while other krill oil formulas may chemically modify their formulas, we're giving you the benefits of a simple formula that contains unmodified, high-quality krill oil concentrate.
[00:32:47.665 --> 00:32:49.066]  You're listening to the Alex Jones Show!
[00:33:21.368 --> 00:33:23.029]  Alex Jones here.
[00:33:23.029 --> 00:33:27.632]  Thank you for joining us again on this Thursday edition, 26 days out.
[00:33:27.632 --> 00:33:30.715]  And I want to be clear to new viewers and listeners.
[00:33:30.715 --> 00:33:32.436]  I know a lot of this can be frightening.
[00:33:32.436 --> 00:33:38.580]  Especially because you've seen how much of what we've talked about come true.
[00:33:49.082 --> 00:33:50.803]  I'm not telling you all this to scare you.
[00:33:50.803 --> 00:34:10.016]  I'm telling you this is going on because we can stop this together or if they still carry out these attacks, we can be aware of who's behind it and we can mitigate the situation and not let them use the crisis that they've created to further take our liberties and stampede us off the edge of an authoritarian cliff.
[00:34:11.820 --> 00:34:25.999]  But the most important thing I can say at this point, that I always, in the still of the night, mean to come on air and say, and then I get on air and get so distracted by all the minutiae of information that I don't get back to basics.
[00:34:25.999 --> 00:34:26.519]  I love God.
[00:34:26.519 --> 00:34:30.505]  I know most of you love God and have a relationship with God.
[00:34:31.810 --> 00:34:35.473]  And just because we have a relationship with God doesn't mean we're all perfect.
[00:34:35.473 --> 00:34:37.575]  Doesn't mean all of us have the answers.
[00:34:37.575 --> 00:34:40.617]  But those of us that love God automatically are humble.
[00:34:40.617 --> 00:34:42.659]  And we don't feel like we should be preachers.
[00:34:42.659 --> 00:34:45.141]  We don't feel like we should be out telling people about God.
[00:34:45.141 --> 00:34:49.385]  Because we're God-fearing and we realize that we're all wicked as the day is long.
[00:34:49.385 --> 00:34:54.449]  But we're pointed towards God, our pole star, our north star.
[00:34:54.449 --> 00:35:00.574]  And I just want to remind everybody and remind myself here, really,
[00:35:02.555 --> 00:35:04.157]  That God is not an afterthought.
[00:35:04.157 --> 00:35:07.079]  Jesus Christ is not an afterthought.
[00:35:07.079 --> 00:35:26.238]  And that the most important thing we can do in this critical time is get on our knees, seek God's face, get in that quiet place at the most high, and really ask God for guidance and ask God what we can do to be strong and to tell the truth and to reach out and to help ourselves and help others.
[00:35:28.231 --> 00:35:30.652]  And just to pray that God lead, guide, and direct us.
[00:35:30.652 --> 00:35:36.015]  Because it's God that is our general, that is our king, that is in command.
[00:35:36.015 --> 00:35:46.641]  And only through divine providence and only through divine discernment can we understand the enemy's plan and defeat it.
[00:35:46.641 --> 00:35:47.362]  We can't do it alone.
[00:35:49.282 --> 00:35:51.344]  And God is all about free will.
[00:35:51.344 --> 00:35:55.327]  That's why God allows evil in the world, because He's allowed free will.
