[00:00.000 --> 00:29.960]  There is all kinds of important developments that have happened in the last 24 hours.
[38:47.960 --> 38:56.960]  And then the brain synergy combo right now with an order of turbo force, you get brain force plus for 50% off. So that's at infowarstore.com right now.
[38:56.960 --> 39:02.960]  And then the brand new protein bars are at infowarstore.com right now as well.
[39:02.960 --> 39:12.960]  If you are the type of individual that keeps protein bars in your pantry like me, now is the time to make the shift to the info wars live protein bar.
[39:12.960 --> 39:18.960]  You have to try right now is the time you can get two boxes for 40% off right now at infowarstore.com.
[39:18.960 --> 39:25.960]  That's two boxes of the brand new info wars live protein bars for 40% off at infowarstore.com.
[39:25.960 --> 39:29.960]  Give them a try. We think you're going to love them. We think you're going to order them again.
[39:29.960 --> 39:37.960]  That's why we bring this introductory rate for you 40% off when you buy two or more boxes of the info wars live protein bar.
[39:37.960 --> 39:46.960]  So replace the old protein bar box that you had in your pantry with the brand new info wars live protein bar at infowarstore.com.
[39:46.960 --> 39:55.960]  And that makes everything we do here possible, which is kind of tough considering we're totally censored off social media.
[39:55.960 --> 40:02.960]  Now, let's look at some of the developments that we have going right now.
[40:02.960 --> 40:21.960]  And I'll tell you what, you know, our ancestors were obsessed with astrology and mapping the stars and mapping the planets
[40:21.960 --> 40:28.960]  and trying to understand the revolutions of the earth and the sun and the moon and everything.
[40:28.960 --> 40:38.960]  And so this is so ingrained in our very fabric of our being, of our consciousness, of our gut, of our brain, of our DNA
[40:38.960 --> 40:49.960]  that I don't know if we can point to astrology for why things happen or if it's so ingrained in the very fabric of our existence
[40:49.960 --> 41:01.960]  that it still impacts us like the moon impacts the tides. Because I follow astrology kind of for fun on the side,
[41:01.960 --> 41:08.960]  but I'm telling you if you follow astrology, you can track major movements on planet earth.
[41:08.960 --> 41:15.960]  And so there was a full moon. It's called a snow moon. It's the second full moon of winter.
[41:15.960 --> 41:22.960]  And there was other some anomaly happening with this one. And then the new moon is next week.
[41:22.960 --> 41:27.960]  And I was just reading some stuff about this, looking at some stuff. And so when I was doing my research yesterday,
[41:27.960 --> 41:32.960]  I was like, you know what, we're about to see a major, we're about to see a major sea change happening here.
[41:32.960 --> 41:39.960]  Again, I don't know if this is because there is something like super celestial and divine about the stars and the rotation
[41:39.960 --> 41:45.960]  and then our existence, or if it's just because it's just so ingrained in our existence for thousands of years,
[41:45.960 --> 41:52.960]  our ancestors studying the stars. But sure enough, yesterday was the snow moon and look at some of the major developments we had, folks.
[41:52.960 --> 41:59.960]  The speech that President Trump gave yesterday addressing Venezuela is so key, it's almost immeasurable.
[41:59.960 --> 42:03.960]  First, he's basically saying we're going to force a regime change in Venezuela.
[42:03.960 --> 42:10.960]  We are saying the president of Venezuela is guido. If you do not accept that, we're moving in. All options are on the table.
[42:10.960 --> 42:17.960]  Then he says America will never be a socialist country, attacks socialism in general, says we're going to save Latin America from socialism.
[42:17.960 --> 42:25.960]  We're going to save Cuba and Nicaragua from socialism. And so now he's attacking socialism in America as well,
[42:25.960 --> 42:30.960]  which is next level because that's where the Democrats are going. That's what Bernie Sanders has just committed to.
[42:30.960 --> 42:42.960]  And then in a story that has gone almost unmentioned, Rod Rosenstein is set to leave the Department of Justice.
[42:42.960 --> 42:47.960]  How come nobody is talking about this? This is huge.
[42:47.960 --> 42:55.960]  So we're going to have all of that along with some tweets from President Trump on the other side, just savaging on Twitter today.
[42:55.960 --> 42:59.960]  But some action maybe needed soon, folks. We'll be right back.
[42:59.960 --> 43:06.960]  For those looking for the ultimate source of energy for their day, every day, the brain synergy combo is here.
[43:06.960 --> 43:16.960]  Combining the powerful turbo force and brain force plus new tropic formulas, this combo has what you need to hit your maximum potential every day.
[43:16.960 --> 43:21.960]  Take the tasty tropical berry-flavored turbo force instant blankets with you on the go.
[43:21.960 --> 43:27.960]  Or at work to help provide you with focus, clarity and energy and to reach your full potential.
[43:27.960 --> 43:32.960]  Hit the next generation of advanced neural activation with the brain force plus new tropic.
[43:32.960 --> 43:39.960]  A fan-favorite formula fueled by powerful, time-tested ingredients for a true 360 win.
[43:39.960 --> 43:42.960]  With this combo, you can have energy wherever you need.
[43:42.960 --> 43:46.960]  At home, on the go, in the car and more.
[43:46.960 --> 43:54.960]  Get pure energy on tap and take advantage of old and new InfoWars powerhouse formulas with the brain synergy combo.
[43:54.960 --> 43:58.960]  Head to infowarsstore.com today.
[44:25.960 --> 44:29.960]  We've been selling a lot of the wound gel and a lot of the immune gargle.
[44:29.960 --> 44:38.960]  We're going to go from full price to 40% off on both of these best-selling products right now at infowarslife.com and infowarsstore.com.
[44:38.960 --> 44:41.960]  This is a limited time immune boost special.
[44:41.960 --> 44:48.960]  It's super blue, silver immune gargle and super silver wound dressing for 40% off at infowarsstore.com.
[44:48.960 --> 44:51.960]  Again, this is a limited time immune boost special.
[44:51.960 --> 44:59.960]  Get super blue, silver immune gargle and super silver wound dressing for 40% off at infowarsore.com.
[44:59.960 --> 45:05.960]  We're bringing back one of the biggest fan-favorite formulas we've ever offered with even better ingredients.
[45:05.960 --> 45:07.960]  Ultimate bone broth.
[45:07.960 --> 45:13.960]  InfoWarslife is proud to bring you a powerhouse bone broth formula to help push you to your limits.
[45:13.960 --> 45:20.960]  This incredible formula will help you get the most out of your workout with the power of ultra-high quality bone broth.
[45:20.960 --> 45:23.960]  One of the most popular health trends on the planet.
[45:23.960 --> 45:26.960]  Built with more than seven different super foods and crucial compounds,
[45:26.960 --> 45:31.960]  Ultimate bone broth will help support your healthy muscles, digestion, tendons and ligaments,
[45:31.960 --> 45:35.960]  while also supporting your body's fight against free radicals.
[45:35.960 --> 45:40.960]  This incredible chicken bone broth formula contains time-tested ingredients such as turmeric,
[45:40.960 --> 45:47.960]  chaga mushroom, goji berry powder, bee pollen and alfalfa herb powder to support your body.
[45:47.960 --> 45:51.960]  It's time to experience what Ultimate Bone Broth can do for you.
[45:51.960 --> 46:18.960]  Get Ultimate Bone Broth now at 50% off.
