[00:00.000 --> 00:02.000]  Assume, impeach him.
[24:27.000 --> 24:31.000]  try to destroy
[24:34.000 --> 24:37.000]  i'll try to
[24:38.000 --> 24:40.000]  we'll try
[24:42.000 --> 24:45.000]  we shall not die
[24:45.000 --> 24:53.000]  a multinational banking cartel that operates is organized crime has taken over basically about 70% of the planet
[24:53.000 --> 24:58.000]  it's got tentacles into Russia tentacles into China
[24:58.000 --> 25:04.000]  China is probably even just as bad or worse a predator group than the Anglo-American establishment
[25:04.000 --> 25:13.000]  Russia was captured by the Anglo-American establishment through the Bolshevik disease and is halfway pulled itself away from the entity
[25:13.000 --> 25:25.000]  and so is being besieged by economic warfare and destabilization foundations within
[25:25.000 --> 25:32.000]  but Russia still is strong man mafia corruption but it's angelic compared to the eugenicist
[25:32.000 --> 25:39.000]  the Russians are not putting fluoride in their water and cancer viruses in their vaccine for their public
[25:39.000 --> 25:45.000]  and when they bring down the Russians there'll be nothing else standing against them
[25:45.000 --> 25:50.000]  except the American people
[25:50.000 --> 25:55.000]  and that's why we're under attack
[25:55.000 --> 26:03.000]  and the globalist secret weapon is the radical Muslims they're going to turn them loose everywhere
[26:03.000 --> 26:11.000]  in Germany, we told you about this yesterday but this is RT, German parents outrage that for school children asked to make beds cooked for refugees
[26:11.000 --> 26:18.000]  retirees are being thrown out of their homes and the quote immigrants and migrants are being given them
[26:18.000 --> 26:24.000]  the express reports refugees taunt police with selfies showing stolen goods but they can't be arrested
[26:24.000 --> 26:29.000]  they've been told that they are above the law by the French federal police
[26:29.000 --> 26:36.000]  now you think this is over the top, no this is meant to break the will
[26:36.000 --> 26:42.000]  you can rape women you can tell women that they can't you know wear short skirts in Germany and Oktoberfest
[26:42.000 --> 26:47.000]  but if you protest against it you'll be arrested
[26:47.000 --> 26:50.000]  this is the leftist system of tyranny
[26:50.000 --> 26:56.000]  the exact same system you see in Germany is what they're going to have here
[26:56.000 --> 27:02.000]  and when they activate the Justice Department units that are already in place
[27:02.000 --> 27:07.000]  those teams are going to run the false flags in phase one
[27:07.000 --> 27:15.000]  to then have a huge media frenzy and hysteria projecting
[27:15.000 --> 27:24.000]  the school, the federal building, the police station, the state house that gets hit by a quote patriot truck bomb
[27:24.000 --> 27:29.000]  except they know we're on our toes and we're aware of this
[27:29.000 --> 27:35.000]  and so I said when they start trying to indict Ron Paul, Rand Paul, myself, Matt Drudge
[27:35.000 --> 27:40.000]  you may not think Russell Limbaugh is a good guy but they're going to go after him too
[27:40.000 --> 27:45.000]  when they make that move they've already started to indict News Corp
[27:45.000 --> 27:48.000]  so they went and made a deal joining the Democrats two years ago
[27:48.000 --> 27:50.000]  the indictments got dropped
[27:50.000 --> 27:54.000]  the Republican leadership said look just give us money, let us go along with you
[27:54.000 --> 27:56.000]  they're going to be set up in the end and take it out as well
[27:56.000 --> 27:59.000]  they're going to go with a one-party deal here
[27:59.000 --> 28:06.000]  they'll still be somewhat of a Republican party but it's going to be limited
[28:06.000 --> 28:10.000]  this is the takeover, this is America falling, this is it
[28:10.000 --> 28:13.000]  and they will just start arresting people for rebel flags
[28:13.000 --> 28:16.000]  then gadgets and flags, they'll say someone's feelings were hurt
[28:16.000 --> 28:21.000]  oops you resisted the police, you got killed
[28:21.000 --> 28:26.000]  how dare the patriots have blown up that school
[28:26.000 --> 28:31.000]  they'll hit some tear-jerker target
[28:31.000 --> 28:35.000]  and I just don't want to sit here and watch this happen
[28:35.000 --> 28:40.000]  I know the military is beside itself knowing about this
[28:40.000 --> 28:45.000]  military is not perfect but killing America really gets to even the high level brass
[28:45.000 --> 28:48.000]  they know that they've been removing actual military men
[28:48.000 --> 28:50.000]  and they've been putting politicians in
[28:50.000 --> 28:53.000]  this has never before been done at this level
[28:53.000 --> 29:00.000]  they have cold massive numbers of people
[29:00.000 --> 29:05.000]  the purge accelerates
[29:05.000 --> 29:07.000]  I'm going to stay here through this
[29:07.000 --> 29:11.000]  I'm not going to evacuate
[29:11.000 --> 29:13.000]  because if we give in to them they're going to win
[29:13.000 --> 29:16.000]  there's a very good chance they've bitten off way more than they can chew
[29:16.000 --> 29:19.000]  if we get the word out about this plan
[29:19.000 --> 29:22.000]  and about how they're making a federal international
[29:22.000 --> 29:27.000]  domestic force on the ground running your local cities bypassing the states
[29:27.000 --> 29:30.000]  this is the feds, the globalist
[29:30.000 --> 29:33.000]  through the feds taking over the states
[29:33.000 --> 29:34.000]  at the city level
[29:34.000 --> 29:37.000]  with their politically correct community organizing
[29:37.000 --> 29:42.000]  UN federal forces
[29:42.000 --> 29:47.000]  and they say in the Sournav video that their enemy is the patriots
[29:47.000 --> 29:49.000]  the tea party and they're coming for us
[29:49.000 --> 29:50.000]  they're coming
[29:50.000 --> 29:52.000]  we're on the march
[29:52.000 --> 29:54.000]  the empires on the run
[29:54.000 --> 30:00.000]  Alex Jones and the GCN radio network
[30:00.000 --> 30:05.000]  the Obama administration is spending 75 million dollars a year
[30:05.000 --> 30:09.000]  arming special agents with the environmental protection agency
[30:09.000 --> 30:14.000]  with drones, night vision goggles, camouflage, guns and assault ships
[30:14.000 --> 30:18.000]  the EPA is equipping its own army to take out US polluters
[30:18.000 --> 30:20.000]  watchdog group opened the books
[30:20.000 --> 30:25.000]  examined thousands of checks totaling more than 93 billion dollars from 2000 to 2014
[30:25.000 --> 30:29.000]  and they found that 75 million is authorized each year
[30:29.000 --> 30:33.000]  for criminal enforcement of America's clean air and water laws
[30:33.000 --> 30:36.000]  some of these weapons are for full-scale military operations
[30:36.000 --> 30:41.000]  two years ago the EPA was involved in an armed raid at a small town in Alaska
[30:41.000 --> 30:44.000]  where miners were accused of polluting local waters
[30:44.000 --> 30:48.000]  it's incredibly ironic considering that it was the environmental protection agency
[30:48.000 --> 30:53.000]  who was recently guilty of dumping millions of pounds of toxic wastewater
[30:53.000 --> 30:55.000]  into the Animas River in Colorado
[30:55.000 --> 30:58.000]  causing untold damage to the environment for years to come
[30:58.000 --> 31:01.000]  read more now at infowars.com
[31:01.000 --> 31:07.000]  your liver can be full of fatty deposits, built-up toxins and even dangerous objects known as liver stones
[31:07.000 --> 31:10.000]  we worked with the top developers in the field of detox
[31:10.000 --> 31:13.000]  to take tried and true herbs and other compounds
[31:13.000 --> 31:15.000]  known to safely cleanse the liver
[31:15.000 --> 31:18.000]  and fuse it with the latest research and technological development
[31:18.000 --> 31:22.000]  on concentrating these ingredients to give you the maximum effect
[31:22.000 --> 31:24.000]  liver shield is the only liver support product in the market
[31:24.000 --> 31:27.000]  that uses a patented spy G-Rex blend
[31:27.000 --> 31:30.000]  of powerful organic herbs that support detoxification
[31:30.000 --> 31:32.000]  visit infowarslife.com
[31:32.000 --> 31:35.000]  see the instructional video on how to do a six-day liver detox
[31:35.000 --> 31:37.000]  this isn't a game and let me tell you
[31:37.000 --> 31:39.000]  the results are dramatic
[31:39.000 --> 31:43.000]  liver shield is totally organic and made of the safest high quality herbs
[31:43.000 --> 31:47.000]  but that said, you need to consult your physician before you do the full detox
[31:47.000 --> 31:51.000]  liver shield can also be used daily by itself for overall upkeep of the liver
[31:51.000 --> 31:55.000]  secure your liver shield today exclusively at infowarslife.com
[31:55.000 --> 31:58.000]  for the lowest price available at infowarslife.com
[31:58.000 --> 32:01.000]  call 888-253-3139
[32:28.000 --> 32:32.000]  Brain Force is here
[32:32.000 --> 32:34.000]  ladies and gentlemen, I've been on this the last few months
[32:34.000 --> 32:37.000]  you probably noticed I've been more focused, less brain fog, more energy
[32:37.000 --> 32:39.000]  and it's because of Brain Force
[32:39.000 --> 32:41.000]  there's always hidden additives in your food
[32:41.000 --> 32:43.000]  even organic food has hidden additives
[32:43.000 --> 32:45.000]  staring at the computer all day working doing good
[32:45.000 --> 32:46.000]  you're still damaging your brain
[32:46.000 --> 32:48.000]  ultimately we've all been dumbed down to some degree
[32:48.000 --> 32:50.000]  it doesn't have stimulants, it doesn't have garbage in it
[32:50.000 --> 32:52.000]  it has natural things that do it clean
[32:52.000 --> 32:55.000]  you will find Brain Force and other game changing products
[32:55.000 --> 33:00.000]  at infowarslife.com or call 888-253-3139
[33:25.000 --> 33:27.000]  the lies of the New World Order
[33:27.000 --> 33:56.000]  it's Alex Jones on the GCN Radio Network
[33:57.000 --> 34:06.000]  we have Joe Biggs on the line via Skype
[34:06.000 --> 34:08.000]  I don't know how much he wants to identify
[34:08.000 --> 34:11.000]  how successful he's been today but
[34:11.000 --> 34:14.000]  he is there at the Hillary event in San Antonio
[34:14.000 --> 34:18.000]  with the folks, Mr. Castro
[34:18.000 --> 34:22.000]  who it appears is going to be her VP
[34:22.000 --> 34:26.000]  pushing the race division agenda
[34:26.000 --> 34:27.000]  that's part of breaking this country
[34:27.000 --> 34:29.000]  that if you don't let unlimited people come here
[34:29.000 --> 34:32.000]  and pay for everything for free, you're racist
[34:32.000 --> 34:35.000]  and then they create victimology in the people
[34:35.000 --> 34:38.000]  that you only had the babies for free in the welfare
[34:38.000 --> 34:40.000]  and the bad people don't want to give you more
[34:40.000 --> 34:44.000]  because they hate you
[34:44.000 --> 34:48.000]  it's just again total abomination, divide and conquer
[34:48.000 --> 34:50.000]  and he's down there, a lot of folks have shown up down there
[34:50.000 --> 34:52.000]  a lot of info warriors
[34:52.000 --> 34:55.000]  down in San Antonio, we're going to be talking to him in a moment
[34:55.000 --> 34:57.000]  I'm going to write an article with Watson
[34:57.000 --> 34:59.000]  either today or tomorrow
[34:59.000 --> 35:00.000]  it will either be out this afternoon
[35:00.000 --> 35:02.000]  or it will be out in the morning
[35:02.000 --> 35:05.000]  breaking down the history of what I was just getting into
[35:05.000 --> 35:08.000]  but there's thousands of points that go into this
[35:08.000 --> 35:12.000]  but when they start, as I've said hundreds of times
[35:12.000 --> 35:14.000]  inditing Ron Paul, Rand Paul
[35:14.000 --> 35:17.000]  and believe me, that's what this is building up to
[35:17.000 --> 35:20.000]  Ron Paul has said it's political to take his son out of the race
[35:20.000 --> 35:23.000]  he was the front runner just three months ago
[35:23.000 --> 35:25.000]  I've supported Rand Paul
[35:25.000 --> 35:28.000]  even though I've said he hadn't been hardcore enough
[35:28.000 --> 35:31.000]  because I know he's for real
[35:31.000 --> 35:34.000]  and I know his father's for real
[35:34.000 --> 35:36.000]  I know them both well
[35:36.000 --> 35:41.000]  and I'll leave it at that
[35:41.000 --> 35:44.000]  and they're going to probably go after Walter Jones
[35:44.000 --> 35:48.000]  they're going to probably go after people like Webster
[35:48.000 --> 35:50.000]  in Congress
[35:50.000 --> 35:53.000]  they're going to go after the very serious men
[35:53.000 --> 35:56.000]  who are dedicated to the principles of this country
[35:56.000 --> 35:58.000]  and are trying to save it
[35:58.000 --> 36:01.000]  and they're like surgeons in an emergency situation
[36:01.000 --> 36:05.000]  with a shot up victim with 20 gunshot wounds
[36:05.000 --> 36:10.000]  and the globalists are trying to pull them off the patient
[36:10.000 --> 36:13.000]  and the fact that they would
[36:13.000 --> 36:15.000]  indict, and that's how it begins
[36:15.000 --> 36:20.000]  two of Rand Paul and Ron Paul's former staffers
[36:20.000 --> 36:25.000]  is the preparation
[36:25.000 --> 36:29.000]  to try to shut down campaign for liberty
[36:29.000 --> 36:32.000]  that is at the heart
[36:32.000 --> 36:35.000]  of creating and pushing a libertarian constitutional movement
[36:35.000 --> 36:39.000]  in Congress that you see has now removed the speaker
[36:39.000 --> 36:43.000]  and has the votes to block a neocon at this point
[36:43.000 --> 36:47.000]  and so they're letting the polls know right now
[36:47.000 --> 36:50.000]  and they're letting everybody else know
[36:50.000 --> 36:54.000]  you back down, you bow down, you go along with us
[36:54.000 --> 36:57.000]  or we're going to arrest you
[36:57.000 --> 37:00.000]  you wonder why Congress won't stand up to the tyranny
[37:00.000 --> 37:02.000]  it's because they're blackmailed
[37:02.000 --> 37:06.000]  and the polls are as clean as it gets
[37:06.000 --> 37:12.000]  it doesn't matter they can indict a ham sandwich
[37:12.000 --> 37:15.000]  and you need to understand this signifies
[37:15.000 --> 37:18.000]  they're going to come after the guns
[37:18.000 --> 37:20.000]  they're going to say your kids belong to them
[37:20.000 --> 37:22.000]  they're coming with forced immoculations
[37:22.000 --> 37:25.000]  they're coming to make you eat GMO
[37:25.000 --> 37:27.000]  they're putting us under international treaties
[37:27.000 --> 37:29.000]  and won't even let us see them
[37:29.000 --> 37:33.000]  and when we get pieces of it it's so draconian
[37:33.000 --> 37:36.000]  I can't even believe it
[37:36.000 --> 37:38.000]  so here's the newsflash
[37:38.000 --> 37:41.000]  we're already in a semi-captured occupied country
