[00:00:01.667 --> 00:00:03.728]  It's Wednesday the 19th.
[00:58:36.155 --> 00:58:37.317]  Well, God bless you, brother.
[00:58:37.317 --> 00:58:37.978]  Call back again.
[00:58:37.978 --> 00:58:38.939]  I hope you get better.
[00:58:38.939 --> 00:58:40.602]  We should pray for Steve.
[00:58:40.602 --> 00:58:42.324]  That's a guy for service for country.
[00:58:42.324 --> 00:58:42.785]  We'll be back.
[00:58:42.785 --> 00:58:43.225]  Stay with us.
[00:58:49.059 --> 00:58:51.702]  Infowarslife.com.
[00:58:51.702 --> 00:58:53.183]  Check it out today.
[00:58:53.183 --> 00:59:01.571]  I have set out to bring you the most hardcore cutting-edge supplements and nutraceuticals bar none and that's what you'll find at Infowarslife.com.
[00:59:01.571 --> 00:59:09.698]  We have rejected literally hundreds of products from the Infowarslife line because they are not of the very highest quality or because
[00:59:09.738 --> 00:59:11.779]  Because they're not 100% organic.
[00:59:11.779 --> 00:59:18.404]  Or because they don't pass all of the strictest toxicology tests there are that we have listed at InfoWarsLife.com.
[00:59:18.404 --> 00:59:28.810]  Whether it's Survival Shield Nascent Iodine or DNA Force, Super Male Vitality, Super Female Vitality, Lung Cleanse, Fluoride Shield, Oxy Powder.
[00:59:28.810 --> 00:59:39.257]  I believe that all of these products will blow you away like they've done the thousands of other customers that have visited InfoWarsLife.com and believed in us and tried the products.
[00:59:39.597 --> 00:59:51.511]  Folks, check out InfoWarsLife.com today and the entire line of groundbreaking, cutting-edge, hardcore products.
[00:59:51.511 --> 00:59:54.134]  You're listening to the Alex Jones Show.
[01:00:04.997 --> 01:00:06.318]  Big Brother.
[01:00:06.318 --> 01:00:08.079]  Mainstream media.
[01:00:08.079 --> 01:00:09.841]  Government cover-ups.
[01:00:09.841 --> 01:00:11.422]  You want answers?
[01:00:11.422 --> 01:00:12.963]  Well, so does he.
[01:00:12.963 --> 01:00:17.166]  He's Alex Jones on the GCN Radio Network.
[01:00:17.166 --> 01:00:30.897]  And now, live from Austin, Texas, Alex Jones.
[01:00:30.897 --> 01:00:33.659]  We'll continue to take calls from Doug Hagman,
[01:00:34.960 --> 01:00:39.224]  He joins us coming up in the next segment for the Northeast Intelligence Report.
[01:00:39.224 --> 01:00:43.748]  I'm going to ask him what he thinks the big intel is on 2015, or as we get ready to close out 2014.
[01:00:43.748 --> 01:00:47.612]  Got about a month and a half, less than a month and a half left here.
[01:00:47.612 --> 01:00:48.753]  And we'll continue with your calls.
[01:00:48.753 --> 01:00:50.595]  And what do you think the big story is going to be in 2015?
[01:00:50.595 --> 01:00:50.635]  800-259-9231.
[01:00:57.250 --> 01:01:04.016]  By the way, it's very humbling for me to have all these people looking up to me and all these folks counting on us.
[01:01:04.016 --> 01:01:09.120]  People think that it's the opposite of a bravado power trip when I seem arrogant.
[01:01:09.120 --> 01:01:10.601]  It's not arrogance.
[01:01:10.601 --> 01:01:14.044]  It's that I'm just so tired that I've got extra energy.
[01:01:14.044 --> 01:01:14.784]  I don't know how to explain it.
[01:01:14.784 --> 01:01:15.505]  I'm just committed.
[01:01:15.505 --> 01:01:20.549]  I just have done this so long that I've just kind of turned into a weirdo.
[01:01:20.549 --> 01:01:22.070]  I don't know how else to describe it.
[01:01:22.070 --> 01:01:23.251]  I just do this all the time.
[01:01:23.251 --> 01:01:23.912]  I've kind of become it.
[01:01:25.901 --> 01:01:31.064]  And it's so frustrating to want to know who's putting up all these billboards and thank them.
[01:01:31.064 --> 01:01:44.870]  Because so many times other people do stuff for us and then I end up not thanking them or having time because I'm like a batter in a batting cage and they've got three pitching machines shooting balls at me as fast as they can.
[01:01:44.870 --> 01:01:49.472]  So I just can't even hit half the balls and I just know I love you all, I appreciate you all.
[01:01:49.472 --> 01:01:50.992]  It's very humbling.
[01:01:50.992 --> 01:01:51.993]  Extremely humbling.
[01:01:53.086 --> 01:01:58.471]  I mean, it's humbling to have Drudge Report linked to our stories, and Drudge to send out nice tweets occasionally.
[01:01:58.471 --> 01:02:04.937]  It's humbling to have Joseph Farah, you know, an icon in independent media, you know, admiring me and telling me he appreciates me.
[01:02:04.937 --> 01:02:10.022]  I mean, it's just, and all of you calling in doing it, that's why I say please don't say it.
[01:02:10.022 --> 01:02:14.126]  Because when you do it, it... I don't know how to describe the psychology.
[01:02:14.126 --> 01:02:15.027]  I don't deserve it.
[01:02:16.636 --> 01:02:17.816]  I don't know how to describe it.
[01:02:17.816 --> 01:02:20.677]  I just, you know, I'm doing this to try to save my family.
[01:02:20.677 --> 01:02:24.578]  So thank you for thanking me, but it's just, it's very humbling.
[01:02:24.578 --> 01:02:25.958]  Let's talk to Ken in Illinois.
[01:02:25.958 --> 01:02:26.678]  Ken, you're on the air.
[01:02:26.678 --> 01:02:29.519]  Thanks for holding.
[01:02:29.519 --> 01:02:38.040]  We're all aware of these Chinese cities, empty cities that could hold tens of millions of people, and it doesn't make sense.
[01:02:38.040 --> 01:02:45.122]  Well, what if those cities are prepared for debtor's prison for American debt slaves?
[01:02:45.620 --> 01:02:50.642]  And the plan has been in the works for decades, and here's the basis for that.
[01:02:50.642 --> 01:03:08.489]  Before the Federal Reserve, which we know is private cartel evil, there was an act during the Grant administration called the District of Columbia Organic Act of 1871, which bifurcated a human into a public persona and a private person.
[01:03:08.489 --> 01:03:13.371]  So there's Alex Jones, private person... And there's Alex Jones, the corporate fiction.
[01:03:13.371 --> 01:03:15.272]  The corporate fixture, and we are...
[01:03:18.087 --> 01:03:19.147]  No, it's true.
[01:03:19.147 --> 01:03:23.790]  I mean, they do sell us as an IMF World Bank commodity.
[01:03:23.790 --> 01:03:31.894]  It's true.
[01:03:31.894 --> 01:03:37.757]  By the way, sir, they already are bringing debt prisons back in Illinois and places illegally, but the judges and courts are just doing it.
[01:03:37.757 --> 01:03:42.459]  And they're already doing bail-ins where they grab part of your bank account all over the world.
[01:03:42.459 --> 01:03:43.160]  So, you know what?
[01:03:43.160 --> 01:03:44.300]  You two, I'd laugh at you.
[01:03:44.300 --> 01:03:45.621]  The sky's the limit.
[01:03:46.590 --> 01:03:49.333]  I mean, there's no telling what they're going to pull.
[01:03:49.333 --> 01:03:55.759]  They already claim that the average American owes something like $200,000 on the national debt.
[01:03:55.759 --> 01:03:56.799]  I don't owe that money.
[01:03:56.799 --> 01:03:59.562]  I'm already paying more than half.
[01:03:59.562 --> 01:04:00.863]  I mean, it's a total scam.
[01:04:00.863 --> 01:04:01.264]  I hear you.
[01:04:01.264 --> 01:04:02.945]  What else do you think is coming?
[01:04:02.945 --> 01:04:03.846]  Oh, well, I don't know.
[01:04:03.846 --> 01:04:10.852]  I mean, I just, I, some people say, I think it was Harry Dent yesterday talked about investing in RV stock.
[01:04:10.852 --> 01:04:12.254]  I just, I'm afraid of the,
[01:04:12.811 --> 01:04:20.334]  Once the collapse hits, it's going to be so frightening that we're all going to perish from fear.
[01:04:20.334 --> 01:04:21.714]  You know, I agree with you.
[01:04:21.714 --> 01:04:29.637]  I've got an RV, but it's too big and I think I'm going to get rid of it and just get a quick, you know, super reliable small one.
[01:04:31.024 --> 01:04:33.725]  For just that type of scenario.
[01:04:33.725 --> 01:04:34.826]  Excellent point, sir.
[01:04:34.826 --> 01:04:38.367]  Thank you so much for joining us, calling in.
[01:04:38.367 --> 01:04:39.167]  Indigo Kid.
[01:04:39.167 --> 01:04:41.448]  I'm going to get to you first, because we never got to you the other day.
[01:04:41.448 --> 01:04:46.210]  Then John, Ron in Hawaii, Barbara in Illinois, and many others.
[01:04:46.210 --> 01:04:47.591]  And we're going to have Hagman and Hagman on.
[01:04:47.591 --> 01:04:49.312]  I think he's going to have his co-host on one of them as well.
[01:04:49.312 --> 01:04:50.112]  I'm not sure.
[01:04:50.112 --> 01:04:52.313]  But he's going to be joining us with what he thinks is coming up.
[01:04:52.313 --> 01:04:52.473]  2015.
[01:04:52.473 --> 01:04:54.954]  He's always got really good intel.
[01:04:54.954 --> 01:04:56.174]  So stay with us for that.
[01:04:56.174 --> 01:04:56.875]  InfoWars.com.
[01:04:58.945 --> 01:05:05.329]  When I first got online and I seen the price of the X2 and the DNA Force, I was a little hesitant, but I pulled the trigger on it.
[01:05:05.329 --> 01:05:06.330]  It has changed my life.
[01:05:06.330 --> 01:05:10.012]  I've been taking it for about 24 days now, pounding the weights, staying in shape.
[01:05:10.012 --> 01:05:12.554]  InfoWarsLive.com.
[01:05:12.554 --> 01:05:14.035]  You've heard the callers of the show.
[01:05:14.035 --> 01:05:18.038]  Several months back, I started taking your nascent iodine and your super meal.
[01:05:18.038 --> 01:05:20.019]  Prior to this, I was barely walking.
[01:05:20.019 --> 01:05:22.781]  Now, I'm able to function as a human again.
[01:05:22.781 --> 01:05:28.865]  Whether it's survival shield, nascent iodine, or DNA Force, super male vitality, super female vitality,
[01:05:29.225 --> 01:05:36.990]  If I'm going to promote something, it's got to be something I personally use and that I believe in.
[01:05:36.990 --> 01:05:45.375]  Check out Infowarslife.com today and the entire line of groundbreaking, cutting-edge, hardcore products.
[01:05:59.332 --> 01:06:05.997]  When you're out on the road, the last place you want to be is on the road.
[01:06:05.997 --> 01:06:11.141]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[01:06:11.141 --> 01:06:19.868]  There's a place down in Tennessee, where they make blue diamond gusset jeans.
[01:06:19.868 --> 01:06:23.931]  They sew pride in every stitch.
[01:06:23.931 --> 01:06:26.213]  Guarantee you'll love the way they fit.
[01:06:28.351 --> 01:06:40.159]  We turn jeans inside out.
[01:06:40.159 --> 01:06:41.940]  Diamond Gusset Jeans.
[01:06:41.940 --> 01:06:44.822]  Made in the USA with unparalleled quality.
[01:06:44.822 --> 01:06:49.064]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection.
[01:06:49.064 --> 01:06:51.446]  So you can ride all day with confidence.
[01:06:51.446 --> 01:06:54.148]  Order yours at gusset.com.
[01:06:54.148 --> 01:06:55.749]  Diamond Gusset Jeans.
[01:06:55.749 --> 01:06:56.529]  Got it.
[01:06:56.529 --> 01:06:57.290]  Others don't.
[01:06:58.667 --> 01:07:03.909]  Introducing Secret 12, the new InfoWars Life vitamin B12 formulation.
[01:07:03.909 --> 01:07:10.212]  Most forms of vitamin B12 are highly processed and synthetic, and cannot be properly absorbed by the body.
[01:07:10.212 --> 01:07:17.535]  That's why for real results, so many are having to turn to painful B12 injections, which are known to have higher absorption rates.
[01:07:17.535 --> 01:07:27.419]  Now, InfoWarsLife.com is excited to announce that we can bring you our most bioactive, powerful form of B12 that has been developed with our exclusive perfected process.
[01:07:28.019 --> 01:07:34.203]  Secret 12 is a binary of nutrimedical grade, bioavailable, coenzyme forms of B12.
[01:07:34.203 --> 01:07:39.027]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[01:07:39.027 --> 01:07:42.629]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[01:07:42.629 --> 01:07:44.510]  No needles, no injections.
[01:07:44.510 --> 01:07:46.171]  Don't take my word for it.
[01:07:46.171 --> 01:07:47.352]  Try it for yourself.
[01:07:47.352 --> 01:07:49.674]  Discover the secret, Secret 12.
[01:07:49.674 --> 01:07:54.817]  Secure your revolutionary Secret 12 formula right now at Infowarslife.com or call 888-253-3139.
[01:08:01.464 --> 01:08:04.248]  He's the T-Rex of political talk.
[01:08:04.248 --> 01:08:07.052]  Alex Jones on the GCN Radio Network.
[01:08:22.154 --> 01:08:24.255]  Monday through Friday from 11 a.m.
[01:08:24.255 --> 01:08:24.895]  to 2 p.m.
[01:08:24.895 --> 01:08:27.416]  Central Standard Time, we're here.
[01:08:27.416 --> 01:08:30.117]  Waging war on corruption.
[01:08:30.117 --> 01:08:33.939]  Crashing through the lies and disinformation.
[01:08:33.939 --> 01:08:47.545]  You see, if Obama can come out and say that you didn't build your business or that your healthcare prices went down when they actually went up, and then no one challenges him, the lie then takes hold and sets the precedent of fraud.
[01:08:47.545 --> 01:08:50.026]  But if you crash through the lies,
[01:08:50.962 --> 01:08:53.023]  And disinformation.
[01:08:53.023 --> 01:08:58.986]  If you scream at them, shut up criminal liars, repeal your filth now, the debate's over.
[01:08:58.986 --> 01:09:05.650]  They're not up there in their suits with their fake moral authority lecturing us like we're peons down below the castle.
[01:09:05.650 --> 01:09:08.772]  While they basically urinate on us from on high.
[01:09:08.772 --> 01:09:12.254]  Excuse my French, but that's what's going on here.
[01:09:12.254 --> 01:09:18.137]  It's like a scene in Monty Python with a French throwing garbage over the top at King Arthur.
[01:09:19.227 --> 01:09:27.030]  That's what it comes down to, and we need to let them know, hey, what you're doing's wrong, we're aware of it, and we see you.
