[00:00:03.397 --> 00:00:05.258]  It's Sunday, April 25th.
[01:36:23.830 --> 01:36:28.813]  He drove his car into a ditch and then he starts threatening the officers.
[01:36:28.813 --> 01:36:31.874]  I'm telling you, it's not going to be good for you.
[01:36:31.874 --> 01:36:38.557]  I run y'all's budget, bro, said Jewel Jones, 26 years old, after drunkenly crashing his car into a ditch.
[01:36:39.821 --> 01:36:43.803]  He then threatened to call Governor Whitmer on the cops.
[01:36:43.803 --> 01:36:45.423]  Wow!
[01:36:45.423 --> 01:36:49.265]  I guess he knows Whitmer's a dirty dealer too.
[01:36:49.265 --> 01:37:00.289]  So threatened to call her to stop himself from getting a DUI and of course was cursing, threatening the officers, saying he was going to have them all fired and everything.
[01:37:00.289 --> 01:37:07.972]  It's a better idea to just cooperate with the police when you drive your car into a ditch, but see he's a good Democrat.
[01:37:07.972 --> 01:37:09.152]  He's feeling empowered.
[01:37:11.286 --> 01:37:13.387]  And so he threatens the officers.
[01:37:13.387 --> 01:37:18.468]  Canadian police return with SWAT team to local church run by Arthur Pawlowski.
[01:37:18.468 --> 01:37:25.650]  That was the powerful pastor who told off the health officials multiple times.
[01:37:25.650 --> 01:37:26.330]  Get out!
[01:37:26.330 --> 01:37:26.990]  Get out!
[01:37:26.990 --> 01:37:28.790]  You may remember that video.
[01:37:28.790 --> 01:37:32.031]  And so now they show up with SWAT teams.
[01:37:32.031 --> 01:37:35.332]  Because, you know, freedom is illegal.
[01:37:35.332 --> 01:37:37.352]  And going to church is a crime now.
[01:37:37.352 --> 01:37:39.293]  Wow.
[01:37:41.624 --> 01:37:43.812]  And then here's a twist.
[01:37:43.812 --> 01:37:47.646]  Roofing Company offers a free AR-15 with a new roof!
[01:37:48.601 --> 01:37:50.682]  This is sending liberals out of control.
[01:37:50.682 --> 01:37:59.164]  A roofing company in Wyoming is giving away a free AR-15 rifle with the purchase of a new roof, a spectacular offer that has left us freaking out.
[01:37:59.164 --> 01:38:00.985]  This story is at Infowars.com.
[01:38:00.985 --> 01:38:12.108]  Matt Thomas, Marketing Director for Wiggins Construction in Powell, Wyoming, said he came up with the idea after noticing people moving into the state in droves from California.
[01:38:12.108 --> 01:38:18.390]  I have a feeling that is going to be a good marketing campaign for that roofing company.
[01:38:20.274 --> 01:38:22.016]  I have a feeling.
[01:38:22.016 --> 01:38:24.538]  All right.
[01:38:24.538 --> 01:38:26.699]  Let's go to the phone lines.
[01:38:26.699 --> 01:38:29.382]  And we have Ken dialed in from Oklahoma.
[01:38:29.382 --> 01:38:33.785]  Ken wants to talk about the Black Lives Matter protests happening in Oklahoma.
[01:38:33.785 --> 01:38:35.847]  Go ahead, Ken.
[01:38:35.847 --> 01:38:36.247]  Hey, Owen.
[01:38:36.247 --> 01:38:38.169]  Thanks for taking my call.
[01:38:38.169 --> 01:38:45.335]  There was going to be a protest that was talked about on Harrison Show Friday, and the protest was for this weekend.
[01:38:46.061 --> 01:38:48.503]  It was going to be Friday night and they cancelled it.
[01:38:48.503 --> 01:38:59.873]  And there was, I guess we had rain come through, which is a good thing, but I guess they're trying to get motivated for this white silence is violence march that they're trying to do in some of the upper class neighborhoods here in Oklahoma City.
[01:38:59.873 --> 01:39:01.835]  White silence is violence?
[01:39:01.835 --> 01:39:03.376]  Yeah, white silence is violence.
[01:39:03.376 --> 01:39:09.341]  So first they have signs in George Floyd Square that say Whitey isn't allowed to talk, but also white silence is violence.
[01:39:09.341 --> 01:39:10.703]  Boy, Ken, I don't know.
[01:39:10.703 --> 01:39:12.044]  I feel like I'm screwed on this deal.
[01:39:12.788 --> 01:39:13.308]  Yeah, right.
[01:39:13.308 --> 01:39:20.051]  If you're in George Floyd Square and you're not talking, you're violent and they're probably going to turn on you, so... But also they tell you you're not allowed to talk if you're white.
[01:39:20.051 --> 01:39:22.032]  I feel like I'm getting set up.
[01:39:22.032 --> 01:39:23.553]  Exactly, that's what it is.
[01:39:23.553 --> 01:39:35.558]  And you know, none of the news... See, I want to thank you guys at InfoWarsU and everybody else that brought this out on Wednesday that the BLM had actually gone into the Oklahoma Capitol because I'm here in Oklahoma and I didn't even hear about it.
[01:39:35.558 --> 01:39:39.720]  By the way, that story... I'm glad you even re-brought that up because, I mean,
[01:39:40.396 --> 01:39:43.658]  We're just like berserkers charging in Trench Warfare.
[01:39:43.658 --> 01:39:49.041]  Like, I don't have time to turn around and look at, you know, the spoils of war or lament or anything.
[01:39:49.041 --> 01:39:52.323]  That never got any mainstream coverage, Ken.
[01:39:52.323 --> 01:39:53.124]  Literally.
[01:39:53.124 --> 01:39:53.624]  Zero.
[01:39:53.624 --> 01:39:57.767]  It did get a little bit of mainstream coverage in articles online.
[01:39:58.396 --> 01:40:04.160]  Fox News put out something about it, a couple other people talked about it, but it was only national mainstream coverage.
[01:40:04.160 --> 01:40:08.283]  None of the local news agencies in Oklahoma covered it at all.
[01:40:08.283 --> 01:40:16.169]  And there's one talking head on Twitter, Dylan Richards, who works for KOCO, which is News Channel 5 in Oklahoma City.
[01:40:16.169 --> 01:40:22.634]  He put up a couple tweets about it, and he just whitewashed it, as in they didn't really break in and there wasn't really a lockdown.
[01:40:22.634 --> 01:40:24.055]  Everything he said about it online,
[01:40:24.495 --> 01:40:26.557]  Well, yeah, they're Democrats, don't you know?
[01:40:26.557 --> 01:40:31.940]  Democrats don't have the same justice, don't have the same court of laws that other people have, right?
[01:40:52.839 --> 01:40:53.259]  Right.
[01:40:53.259 --> 01:40:54.219]  So that's how that goes.
[01:40:54.219 --> 01:40:58.641]  I mean, as it is, these people are going to continue to do this and continue to get worse.
[01:40:58.641 --> 01:40:59.321]  Oh, sure.
[01:40:59.321 --> 01:41:05.542]  And they'll get up on your dinner table and, you know, kick your food over and say you're not welcome here and cause the business owners a bunch of business.
[01:41:05.542 --> 01:41:06.823]  And, you know, they just think it's all great.
[01:41:06.823 --> 01:41:08.303]  These are not bright people.
[01:41:08.303 --> 01:41:10.123]  They're a threat to themselves and everyone around them.
[01:41:10.123 --> 01:41:11.684]  Ken, thank you so much for the call.
[01:41:11.684 --> 01:41:14.245]  Let's go to Kevin in New York City.
[01:41:14.245 --> 01:41:16.725]  Kevin, you are on the Alex Jones Show this Sunday.
[01:41:16.725 --> 01:41:18.166]  Go ahead.
[01:41:18.166 --> 01:41:19.606]  Oh, and how are you, brother?
[01:41:19.606 --> 01:41:19.786]  Good.
[01:41:21.008 --> 01:41:22.168]  I'm just checking in with you.
[01:41:22.168 --> 01:41:34.073]  So, I'm doing a lot of real estate in New York City, and the weird thing is between the virtue signaling with people saying, oh, I got the vaccine, did you get the vaccine?
[01:41:34.073 --> 01:41:42.796]  But another thing is I keep hearing people saying that their kids have gotten sick now and that their kids are suffering long-term effects a year later.
[01:41:42.796 --> 01:41:47.277]  So it's almost a virtue signaling now about how sick they've gotten with the coronavirus.
[01:41:47.277 --> 01:41:48.618]  Oh, it's the victim economy.
[01:41:48.618 --> 01:41:49.518]  Everyone's a victim.
[01:41:50.583 --> 01:41:52.265]  Yeah, it's getting out of control.
[01:41:52.265 --> 01:41:58.110]  You know, and I have people texting me before we do a showing for an apartment and they're like, have you gotten vaccinated?
[01:41:58.110 --> 01:42:00.072]  And that comes to be the question.
[01:42:00.072 --> 01:42:02.274]  Like, yeah, they want to know my medical information.
[01:42:02.274 --> 01:42:03.515]  Yeah, like you can't even do it.
[01:42:03.515 --> 01:42:10.182]  So you, if people harass you, you're just trying to show them a piece of property and they harass you for your medical history.
[01:42:10.182 --> 01:42:10.562]  Right.
[01:42:10.562 --> 01:42:10.882]  Definitely.
[01:42:10.882 --> 01:42:14.886]  And I'm trying to think of what ailments I should come up with to tell them, you know, and that's all I got.
[01:42:14.886 --> 01:42:15.807]  I just want to say hello.
[01:42:18.163 --> 01:42:20.325]  All right, Kevin, thank you so much for the call.
[01:42:20.325 --> 01:42:22.847]  All right, I'm going to keep taking calls on the other side.
[01:42:22.847 --> 01:42:25.309]  I got one segment left, and then it's Harrison Smith.
[01:42:25.309 --> 01:42:26.409]  He's loaded.
[01:42:26.409 --> 01:42:29.072]  He's got a bunch of news he's going to break down as well.
[01:42:29.072 --> 01:42:32.714]  Remember, folks, InfoWarsStore.com.
[01:42:32.714 --> 01:42:35.837]  Do not take InfoWars for granted, ladies and gentlemen.
[01:42:35.837 --> 01:42:38.259]  Do not take these broadcasts for granted.
[01:42:38.259 --> 01:42:40.881]  Do not take Band.Video for granted.
[01:42:40.881 --> 01:42:42.442]  Do not take this crew for granted.
[01:42:43.450 --> 01:42:47.292]  We're here because you support by shopping at Infowarsstore.com.
[01:42:47.292 --> 01:42:49.454]  We still have big sales happening, by the way.
[01:42:49.454 --> 01:42:52.816]  NasoBeat complete, back in stock, 50% off.
[01:42:52.816 --> 01:42:54.357]  Shop at Infowarsstore.com.
[01:42:54.357 --> 01:42:58.860]  Keep us on air.
[01:42:58.860 --> 01:43:01.921]  I 1 trillion percent believe what I'm saying.
[01:43:01.921 --> 01:43:03.622]  Hell, everybody knows that.
[01:43:03.622 --> 01:43:04.883]  I'll just tell you what I'm really thinking.
[01:43:04.883 --> 01:43:07.285]  People say, Jones, why the hell did you just say that on air?
[01:43:07.285 --> 01:43:08.305]  That's embarrassing.
[01:43:08.305 --> 01:43:10.827]  Well, I'm not going to stop with only the good stuff about me.
[01:43:11.820 --> 01:43:15.743]  But I'll tell you this right now, you're nuts if you don't get storable food.
[01:43:15.743 --> 01:43:20.746]  And I've got the biggest, best sponsor with the highest quality food at the lowest price you're going to find.
[01:43:20.746 --> 01:43:25.289]  Can you spend triple or four times it and get like gourmet stuff that tastes even better?
[01:43:25.289 --> 01:43:26.190]  Yeah.
[01:43:26.190 --> 01:43:27.631]  Most of this stuff tastes amazing.
[01:43:27.631 --> 01:43:28.772]  Some of it tastes okay.
[01:43:28.772 --> 01:43:31.954]  The point is it's high quality, it's nutritious, and it lasts a long time.
[01:43:31.954 --> 01:43:34.856]  And compared to other competitors, they can't even get close.
[01:43:35.743 --> 01:43:46.147]  We've got three months, six months of your supplies right now and I twisted their arm so hard to give you 10% off again because you're so conditionally fine or super sale.
[01:43:46.147 --> 01:43:48.067]  We're doing it one more time.
[01:43:48.067 --> 01:43:50.288]  Infowarsstore.com.
[01:43:50.288 --> 01:43:52.409]  Infowarsstore.com.
[01:43:52.409 --> 01:43:55.790]  10% off the entire catalog of my favorite supply.
[01:43:55.790 --> 01:43:58.111]  Get ready while you still can.
[01:43:58.111 --> 01:44:00.872]  I'm up here working on a Thursday night in mid-April 2021.
[01:44:02.364 --> 01:44:03.484]  And I just want to say something.
[01:44:03.484 --> 01:44:08.266]  I am so blessed and honored to work with this incredible crew that has come together over the years.
[01:44:08.266 --> 01:44:13.188]  It is truly an answer to prayer, and I am so blessed and thankful for all of you, the listeners of this show.
[01:44:13.188 --> 01:44:16.089]  I want you to know that I love you, and I appreciate you.
[01:44:16.089 --> 01:44:19.470]  Whether you are old, whether you are Hispanic, white, black, it doesn't matter.
[01:44:19.470 --> 01:44:20.670]  You've got red blood.
[01:44:20.670 --> 01:44:30.434]  And if you love freedom and justice, and if you love our innocent children, we are brothers and sisters together, and it has just been an incredible experience to work with you over the years.
[01:44:31.134 --> 01:44:34.996]  And as crazy as things are, I want to keep working into the future.
[01:44:34.996 --> 01:44:37.877]  But again, that's really up to you and up to God.
[01:44:37.877 --> 01:44:42.738]  So please, I hope God works through you and puts a message in your heart to support us.
[01:44:42.738 --> 01:44:45.359]  Again, that's up to you and your relationship with God.
[01:44:45.359 --> 01:44:49.801]  I just want to thank you all for the years of support you've given us and what you've done.
[01:44:49.801 --> 01:44:53.923]  And just ask you again to pray to God and ask what God's vision is for you.
[01:44:53.923 --> 01:44:56.864]  And hopefully God will touch your heart to continue to support InfoWars.
[01:44:56.864 --> 01:44:59.084]  God bless.
[01:44:59.084 --> 01:45:00.405]  It is a big idea.
[01:45:01.565 --> 01:45:05.489]  A new world order.
[01:45:05.489 --> 01:45:10.433]  In the near future, Earth is dominated by a powerful world government.
[01:45:10.433 --> 01:45:13.235]  It's known as the Bilderberg Group.
[01:45:13.235 --> 01:45:16.098]  Could their objective be world domination?
[01:45:16.098 --> 01:45:18.520]  For thousands of years, their dark order grew.
[01:45:19.412 --> 01:45:27.599]  Now as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[01:45:27.599 --> 01:45:30.261]  The globalists feared this film made 14 years ago.
[01:45:30.261 --> 01:45:32.463]  It is the blueprint for their plan to take over the world.
[01:45:32.463 --> 01:45:33.924]  It is the blueprint for the Great Reset.
[01:45:33.924 --> 01:45:34.985]  It is, in-game.
[01:45:34.985 --> 01:45:36.226]  Blueprint for Global Enslavement.
[01:45:36.226 --> 01:45:42.251]  Available right now at InfoWarsTore.com with a zero country code, meaning you can make copies of it anywhere in the world.
[01:45:42.251 --> 01:45:46.014]  I strongly suggest you get the film, in-game, at InfoWarsTore.com.
[01:45:46.454 --> 01:45:48.675]  I strongly suggest you make copies and share it.
[01:45:48.675 --> 01:45:54.036]  And if you take that action, I demand you tell others you've given a copy to that they make copies and share it as well.
[01:45:54.036 --> 01:45:58.797]  That will trigger distribution by proxy, meaning we the people cannot be stopped.
[01:45:58.797 --> 01:46:02.659]  Cognitive dissonance is a major issue amongst the left.
[01:46:02.659 --> 01:46:06.980]  It can be very stressful dealing with facts you refuse to accept.
[01:46:06.980 --> 01:46:08.080]  If you have a family member
[01:46:08.080 --> 01:46:08.340]  I think.
[01:46:26.195 --> 01:46:26.575]  Thank you.
[01:46:43.969 --> 01:46:52.453]  It worked for my family, and now I can have a logical and calm discussion about actual facts that pertain to reality.
[01:46:52.453 --> 01:47:02.118]  Get your ultimate fish oil for a friend, family member, or yourself at InfoWarsStore.com.
[01:47:02.118 --> 01:47:04.780]  You're listening to the Alex Jones Show.
[01:47:17.682 --> 01:47:24.748]  Live from the Infowars.com studios, you're listening to the Alex Jones Show.
[01:47:24.748 --> 01:47:30.332]  And now, your host, Owen Troyer.
[01:47:30.332 --> 01:47:33.355]  We're closing out the Alex Jones Show today with your phone calls.
[01:47:33.355 --> 01:47:34.556]  Harrison Smith takes over.
[01:47:34.556 --> 01:47:40.621]  He hosts Sunday Night Live in T-minus 13 minutes.
[01:47:40.621 --> 01:47:44.584]  We go back to the phone lines now, though, and let's go to Tim in California.
[01:47:45.507 --> 01:47:49.209]  Who has something developing there in California I've not heard of.
[01:47:49.209 --> 01:47:51.310]  Tim, go ahead.
[01:47:51.310 --> 01:47:53.531]  Well, it's not located in California.
[01:47:53.531 --> 01:47:55.572]  It's actually overseas somewhere.
[01:47:55.572 --> 01:47:56.953]  It borders two countries.
[01:47:56.953 --> 01:48:04.837]  But back in September of 2008, it took them a long time to build it, but they launched the large Hadron.
[01:48:04.837 --> 01:48:07.038]  So you're talking about CERN?
[01:48:07.038 --> 01:48:07.878]  Exactly.
[01:48:07.878 --> 01:48:10.079]  666 CERN.
[01:48:10.079 --> 01:48:11.260]  Okay, I'm sorry.
[01:48:11.260 --> 01:48:14.402]  I was under the impression there was a new CERN being built.
[01:48:14.402 --> 01:48:15.122]  You're talking about that?
[01:48:16.033 --> 01:48:17.254]  No, I am talking about it.
[01:48:17.254 --> 01:48:18.896]  I was going to step to that, too.
[01:48:18.896 --> 01:48:20.437]  You know, this is the comedy.
[01:48:20.437 --> 01:48:27.723]  Why would you guys get so fascinated about this thing and then have all this information about, oh, these terrible demonic spirits and all these things?
[01:48:27.723 --> 01:48:29.164]  We've opened the pit of hell.
[01:48:29.164 --> 01:48:30.666]  And then it just got very quiet.
[01:48:30.666 --> 01:48:31.767]  But here it is years later.
[01:48:31.767 --> 01:48:35.650]  They're planning on building not a 20 mile diameter one like the first one.
[01:48:35.650 --> 01:48:39.453]  No, this one's going to be 62 mile diameter.
[01:48:39.453 --> 01:48:41.575]  They'll probably make it six to six just for fun, you know?
[01:48:42.233 --> 01:48:45.034]  Well, yeah, it's funny you say that, isn't it funny?
[01:48:45.034 --> 01:48:49.136]  The inert ingredients in your inoculation, well, they're 66.6%.
[01:48:49.136 --> 01:48:51.318]  It couldn't be any other amount, had to be that amount.
[01:48:51.318 --> 01:49:00.842]  You know, I was really into studying CERN like five or so years ago, and there's so many weird anomalies, and people talk about weird anomalies in the sky around CERN, their logo is 666.
[01:49:00.842 --> 01:49:01.162]  Yeah.
[01:49:01.162 --> 01:49:03.624]  I just, to me,
[01:49:06.855 --> 01:49:11.478]  It's the reason I bring this up is because Alex has just beaten his head in the ground.
[01:49:11.478 --> 01:49:12.398]  He's like, what is this?
[01:49:12.398 --> 01:49:13.799]  Is this space entities?
[01:49:13.799 --> 01:49:14.859]  Is this demonic?
[01:49:14.859 --> 01:49:17.161]  Is this everyone's just brainwashing it?
[01:49:17.161 --> 01:49:22.283]  And I think everything was cooking along that way until they opened up the pit of hell.
[01:49:22.283 --> 01:49:25.065]  I think this is like letting the genie out of the bottle.
[01:49:25.065 --> 01:49:32.809]  I think this is about the time that everyone you knew all your life that you could have a reasonable conversation with suddenly had these Joker faces.
[01:49:32.809 --> 01:49:34.470]  You know, they all got this demonic look.
[01:49:35.110 --> 01:49:40.072]  I mean, honestly, it's so crazy, you almost have to go to sci-fi to try to explain it.
[01:49:40.072 --> 01:49:41.933]  It's like the Ghostbusters or something.
[01:49:41.933 --> 01:49:45.614]  And, like, they just released all the ghosts.
[01:49:45.614 --> 01:49:50.796]  I mean, I don't know that this is the answer to all our problems, Warner, but I tell you what, I think it needs a real good sniff test.
[01:49:50.796 --> 01:49:54.498]  Well, did you ever see the, uh... In Europe, they built some tunnel.
[01:49:54.498 --> 01:49:58.299]  It's like the longest underground tunnel, and they had a... It was like a weird ritual.
[01:49:58.299 --> 01:50:00.000]  It was real demonic.
[01:50:00.000 --> 01:50:02.601]  They had, like, a demonic ritual to introduce this tunnel.
[01:50:02.601 --> 01:50:03.401]  I forget what it was called.
[01:50:04.148 --> 01:50:14.033]  Anyway, if folks want a very curious thing to look into, CERN, the Large Hadron Collider, there's a lot of weird stuff going on there.
[01:50:14.033 --> 01:50:21.217]  You know, they're just trying to bend the physics and time and smash things together and, you know, who knows what's going on.
[01:50:21.217 --> 01:50:22.257]  Tim, thank you so much for the call.
[01:50:22.257 --> 01:50:23.498]  Oh, yeah, and their logo is 666.
[01:50:23.498 --> 01:50:24.999]  I'm sure that's not a big deal.
[01:50:24.999 --> 01:50:28.420]  Let's go to... Let's see here.
[01:50:28.420 --> 01:50:29.901]  Got some good callers here.
[01:50:29.901 --> 01:50:33.283]  Weiland in New Hampshire, you're on the Alex Jones Show.
[01:50:33.283 --> 01:50:33.483]  Go ahead.
[01:50:34.588 --> 01:50:36.429]  Yeah, Norman.
[01:50:36.429 --> 01:50:37.469]  Yep.
[01:50:37.469 --> 01:50:40.091]  Yeah, this is Norman, okay, in New Hampshire.
[01:50:40.091 --> 01:50:40.991]  Yep.
[01:50:40.991 --> 01:50:48.515]  I just want to say something, not say something, it's what I have come up with, you know, over the years.
[01:50:48.515 --> 01:50:59.340]  I've listened to Alex for 23 years and I've listened to a lot of things and of course everybody tries to figure out something to the solution.
[01:50:59.340 --> 01:51:01.441]  Right now, I will be honest with you,
[01:51:02.142 --> 01:51:15.750]  I feel very bad for your listeners, because either probably by accident, but there's been a lot of information, and none of this information is going to solve a thing, one thing.
[01:51:15.750 --> 01:51:19.712]  Now, it's going to be our money supply, and I'm going to tell you why.
[01:51:19.712 --> 01:51:22.474]  We have a fiat money supply.
[01:51:22.474 --> 01:51:29.538]  We've been fed a lot of propaganda on that, such as a barrel full of money to buy a loaf of bread.
[01:51:30.177 --> 01:51:30.578]  I think so.
[01:51:46.297 --> 01:51:48.318]  Who controls it and what their agenda is?
[01:52:01.767 --> 01:52:04.688]  For me it was, getting the information is what woke me up.
[01:52:04.688 --> 01:52:10.971]  So we just try to pay that forward, and we just believe if people hear the truth, they want to know the truth, they'll respond to the truth.
[01:52:10.971 --> 01:52:14.772]  And so that's why we do lay out the information, and we're filling the void.
[01:52:14.772 --> 01:52:15.753]  Nobody else does it.
[01:52:15.753 --> 01:52:18.914]  So somebody has to fill it, and that's where InfoWars comes into play.
[01:52:18.914 --> 01:52:28.778]  But yeah, eventually people are going to have to, it's going to have to be a mass awakening, and people are going to have to get involved in local politics, and I don't know where it goes from here to save America, but
[01:52:30.916 --> 01:52:34.679]  Getting the information out there so people know what's going on is imperative to me.
[01:52:34.679 --> 01:52:37.501]  Let's go to Paul in Georgia.
[01:52:37.501 --> 01:52:38.782]  You're on the Alex Jones Show.
[01:52:38.782 --> 01:52:40.483]  Paul, go ahead.
[01:52:40.483 --> 01:52:47.268]  Those who are awake have a duty to interpose themselves on this undeclared war against humanity.
[01:52:47.268 --> 01:52:56.235]  We have to stop these criminals, and we have to stop them from actually trying to institute all of their plans against us.
[01:52:56.235 --> 01:52:59.197]  There's a number of ways to do this, but it's not going to be
[01:53:00.251 --> 01:53:02.552]  On the political level.
[01:53:02.552 --> 01:53:03.412]  It has to be beyond that.
[01:53:03.412 --> 01:53:04.793]  It has to be cultural.
[01:53:04.793 --> 01:53:08.655]  Infowars has long since been working on the cultural level.
[01:53:08.655 --> 01:53:15.898]  We have to continue to talk to the people as best we can, try to wake them up as best we can, and try to get them to understand.
[01:53:15.898 --> 01:53:18.559]  But they're going to end up killing a great number of us, it looks like.
[01:53:18.559 --> 01:53:19.740]  Your thoughts?
[01:53:21.232 --> 01:53:21.653]  Well, yeah.
[01:53:21.653 --> 01:53:23.374]  I mean, look at the vaccine alone.
[01:53:23.374 --> 01:53:24.535]  People are dropping dead.
[01:53:24.535 --> 01:53:25.777]  Famous people.
[01:53:25.777 --> 01:53:27.899]  Public health officials in India.
[01:53:27.899 --> 01:53:29.180]  So, I mean, yeah.
[01:53:29.180 --> 01:53:31.903]  The abortions by the millions.
[01:53:31.903 --> 01:53:39.010]  Yeah, some people don't even make it into this world and some people get in and, you know, they get hit with the propaganda.
[01:53:39.010 --> 01:53:42.454]  They get hit with the poison in the water and the food.
[01:53:42.454 --> 01:53:43.335]  They get hit with the
[01:53:43.999 --> 01:53:47.360]  The vaccine, so yeah, no, it's a population control agenda.
[01:53:47.360 --> 01:53:56.102]  Eugenicists are at the top of it, and as soon as people realize that, they'll probably panic, quite frankly, but that's the appropriate response.
[01:53:56.102 --> 01:53:57.282]  Paul, thank you for the call.
[01:53:57.282 --> 01:53:58.162]  P.L.
[01:53:58.162 --> 01:53:58.983]  in Kansas.
[01:53:58.983 --> 01:54:00.223]  P.L.
[01:54:00.223 --> 01:54:00.803]  in Kansas.
[01:54:00.803 --> 01:54:01.803]  You're on the Alex Jones Show.
[01:54:01.803 --> 01:54:03.344]  Go ahead.
[01:54:03.344 --> 01:54:04.124]  Thank you, Owen, for...
[01:54:06.380 --> 01:54:20.448]  So, 1st, I'd like to start off by saying that I'm glad outlets like you guys and the National File and the Ethics Times provide a way for information about the truth regarding the vaccines, like how.
[01:54:21.488 --> 01:54:39.114]  Their mRNA gene therapy basically and how they have some pretty questionable research behind them gets out there, but at the same time, it kind of concerns me to think about how none of this information is getting out into the mainstream.
[01:54:39.114 --> 01:54:43.776]  Yeah, you still talk to the average person on the street or at the store or something, they don't know any of this.
[01:54:45.259 --> 01:55:02.953]  Like, for instance, the news here mostly talks about how the progress with the vaccine rollout is coming along and how the case rates look, but distressingly, there's very little information about how... Well, and let me explain it like this.
[01:55:02.953 --> 01:55:10.579]  The same censorship that we see on the internet from big tech companies has already run its course on television.
[01:55:11.343 --> 01:55:14.507]  We just didn't know it because it wasn't as easy to access.
[01:55:14.507 --> 01:55:16.830]  We couldn't get access to it.
[01:55:16.830 --> 01:55:21.777]  So television news has already gone through the rings of censorship.
[01:55:22.899 --> 01:55:29.261]  Where what we're seeing with censorship on social media is what's already been going on in television for decades.
[01:55:29.261 --> 01:55:31.722]  They've already censored people like Alex Jones off TV.
[01:55:31.722 --> 01:55:34.103]  They've already censored people like Michael Savage off TV.
[01:55:34.103 --> 01:55:36.864]  They've already put a blacklist out with my name on it for TV.
[01:55:36.864 --> 01:55:40.445]  So we just don't know that because we can't get access to it.
[01:55:40.445 --> 01:55:43.846]  But that's why, oh yeah, the television news telling you the vaccine is great.
[01:55:43.846 --> 01:55:45.707]  You know, everybody says, I get the vaccine.
[01:55:45.707 --> 01:55:46.627]  It's all good.
[01:55:46.627 --> 01:55:50.929]  Whereas if you go to the independent media, they're at least, you know, showing you both sides of the aisle.
[01:55:51.449 --> 01:55:55.111]  So, it's just the TV has already been totally censored.
[01:55:55.111 --> 01:55:57.412]  It's for the most part all propaganda now.
[01:55:57.412 --> 01:56:00.653]  That's why 95% of TV news was anti-Trump.
[01:56:00.653 --> 01:56:02.954]  Let's squeeze one more caller in here.
[01:56:02.954 --> 01:56:04.255]  Aaron in Las Vegas.
[01:56:04.255 --> 01:56:05.995]  Make it quick.
[01:56:05.995 --> 01:56:07.436]  Oh, a pleasure to meet you, sir.
[01:56:07.436 --> 01:56:09.637]  You're as cool as Mr. Jones.
[01:56:09.637 --> 01:56:18.341]  I just want to hear your opinion on Title 18, USC Section 242, and how that could pertain to putting masks on children in the schools.
[01:56:19.523 --> 01:56:26.708]  And the last sentence of that provision being, or death, what can we do to help the kids?
[01:56:26.708 --> 01:56:35.493]  Well, parents are going to have to go to school board meetings, they're going to have to run for school board, they're going to have to go to city councils, they're going to have to raise their voices, or they're going to have to pull their kids out of schools.
[01:56:37.699 --> 01:56:42.784]  Problem is, you can't stop paying the taxes for the schools, so that's kind of where they have you there.
[01:56:42.784 --> 01:56:45.746]  But yeah, the torture of the children with the face masks is out of control.
[01:56:45.746 --> 01:56:47.448]  It's gonna have to be parents that rise up.
[01:56:47.448 --> 01:56:48.369]  We have to be the voice.
[01:56:48.369 --> 01:56:50.090]  The parents have to be the voice of the young.
[01:56:50.090 --> 01:56:51.411]  Aaron, thanks for the call.
[01:56:51.411 --> 01:56:52.112]  On this day...
[01:56:53.437 --> 01:57:03.223]  Rick Monday of the Chicago Cubs on this day, April 25th, Rick Monday of the Chicago Cubs did a heroic act which today would have probably landed him in jail.
[01:57:03.223 --> 01:57:08.207]  But we flash back in time to a better time when American athletes were patriots.
[01:57:16.351 --> 01:57:22.672]  It looks like he's going to burn a flag and Rick Monday runs and takes it away from him.
[01:57:22.672 --> 01:57:27.374]  And so Monday, I think a guy was going to set fire to the American flag.
[01:57:27.374 --> 01:57:28.274]  Can you imagine that?
[01:57:28.274 --> 01:57:31.955]  Well, they better lose him in a hurry.
[01:57:31.955 --> 01:57:37.296]  And Monday, when he realized what he was going to do, Ray Stover
[01:57:38.188 --> 01:57:39.048]  Look at that.
[01:57:39.048 --> 01:57:40.669]  And the broadcasters loved it.
[01:57:40.669 --> 01:57:41.670]  The crowd loved it.
[01:57:41.670 --> 01:57:43.051]  Even the Jumbotron loved it.
[01:57:43.051 --> 01:57:45.792]  A better day where an American patriot was a hero.
[01:57:45.792 --> 01:57:46.993]  Harrison Smith takes over.
[01:57:46.993 --> 01:57:48.473]  You stay classy, Infowarriors.
[01:57:48.473 --> 01:57:58.899]  Endgame, blueprint for global enslavement, made 14 years ago, accurately predicted the globalist takeover using the Great Reset and the threat of a virus.
[01:57:58.899 --> 01:58:01.000]  This film is now more important than ever.
[01:58:01.520 --> 01:58:07.708]  I noticed just a few months ago that suddenly the limited supply we had at Infowarsstore.com had sold out.
[01:58:07.708 --> 01:58:17.261]  That people were really talking about the documentary because major platforms like Amazon had banned it because the globalists had openly criticized the film, like the New York Times.
[01:58:17.261 --> 01:58:18.302]  And so we printed 20,000 copies.
[01:58:20.144 --> 01:58:24.826]  Now, back in print, and in less than two weeks, we've already sold half of them.
[01:58:24.826 --> 01:58:27.067]  This is very, very exciting.
