[00:00.000 --> 00:22.120]  information wars tomorrow's news today and at the moment in most parts of the
[32:49.200 --> 32:55.320]  So continue to do it, go to places like infowarstore.com, go to the places like save info wars, continue
[32:55.320 --> 33:01.680]  to keep info wars alive because in the process you're keeping American liberty alive.
[33:01.680 --> 33:13.320]  Using a frontal assault on the lies of the New World Order, it's Alex Jones.
[33:13.320 --> 33:20.040]  Waging war on corruption, it's Alex Jones coming to you live from the front lines of
[33:20.040 --> 33:21.040]  the info war.
[33:21.040 --> 33:28.360]  All right, let me get to this to Samus clip that I've been talking about so much.
[33:28.360 --> 33:29.360]  This is really good news.
[33:29.360 --> 33:37.520]  And don't forget, we just launched a poll on the front page about halfway down of infowars.com.
[33:37.520 --> 33:42.480]  Who would you vote for in the 2024 GOP primary?
[33:42.480 --> 33:48.480]  Rand Paul, Ron DeSantis, Donald Trump or Tulsi Gabbard, if she ran as a Republican, which
[33:48.480 --> 33:50.600]  people are saying she may.
[33:50.600 --> 33:56.880]  And I clicked on it and I'd be contrarian, I went with Rand Paul because he's not good
[33:56.880 --> 34:07.480]  enough attention, he got 36% so far, 35%, Ron DeSantis got 10%, Donald Trump 42, Tulsi
[34:07.480 --> 34:08.640]  5.
[34:08.640 --> 34:14.160]  So that's what I expected, Donald Trump is the most popular and he did have the election
[34:14.160 --> 34:15.160]  stolen from him.
[34:15.160 --> 34:19.280]  He is the president right now and you're not supposed to say that, but it's true.
[34:19.280 --> 34:20.280]  We all know that.
[34:20.280 --> 34:29.120]  So I'm going to play this clip of DeSantis talking about going after the vaccine makers.
[34:29.120 --> 34:36.760]  We are going to work to hold these manufacturers accountable for this mRNA because they said
[34:36.760 --> 34:40.280]  there was no side effects and we know that there have been a lot.
[34:40.280 --> 34:47.000]  And so we did a study in Florida and you saw an 86% increase in cardiac related activity
[34:47.000 --> 34:54.000]  from people 18 to 39 from mRNA shots and so we're going to be doing some stuff to bring
[34:54.000 --> 35:00.640]  accountability there because I think it's just something where.
[35:00.640 --> 35:03.880]  And now he's come out and said more about they're not going to basically let him have
[35:03.880 --> 35:07.400]  it on the shelves, not just don't push it on the kids.
[35:07.400 --> 35:09.640]  This is a major victory.
[35:09.640 --> 35:11.640]  This is all moving in the right direction.
[35:11.640 --> 35:15.280]  Senator Paul saying Fauci will be held accountable.
[35:15.280 --> 35:16.280]  He will not escape.
[35:16.280 --> 35:17.640]  He will be indicted.
[35:17.640 --> 35:18.800]  That's the spirit.
[35:18.800 --> 35:22.280]  That's what should happen and we have to believe it's going to happen and start pushing for
[35:22.280 --> 35:23.280]  it to happen.
[35:23.280 --> 35:28.000]  But let me tell you, it's been a lonely place for over two and a half years calling for
[35:28.000 --> 35:29.000]  his arrest.
[35:29.000 --> 35:33.760]  It makes it a lot safer for us here at M4's that people are getting on board.
[35:33.760 --> 35:36.320]  So I don't want to be the leader.
[35:36.320 --> 35:40.720]  I don't want to be the one that always says it first, but that's why we're here because
[35:40.720 --> 35:42.560]  other people know the truth.
[35:42.560 --> 35:44.360]  They don't have the courage up front.
[35:44.360 --> 35:48.840]  We have to have the courage for them to make it safe for them to do the right thing.
[35:48.840 --> 35:53.040]  That's where we come in and that's something that, quite frankly, only we are doing on
[35:53.040 --> 35:57.560]  a scale anywhere near this size and all glory goes to God.
[35:57.560 --> 36:01.080]  I want to place some more clips, get more into this and take your calls here in just
[36:01.080 --> 36:02.080]  a moment.
[36:02.080 --> 36:05.380]  Please remember that M4 Wars is fighting for its very survival.
[36:05.380 --> 36:08.840]  We have great products that will enrich and empower your life.
[36:08.840 --> 36:13.440]  We have free shipping back on orders of $50 or more at M4WarsTour.com and we have incredible
[36:13.440 --> 36:22.360]  products like DNA Force Plus, Body's Ultimate Turmeric Formula, Vitamin Mineral Fusion, Alpha
[36:22.360 --> 36:33.560]  Power, Vaso Beats, Ultra 12, Brain Force Ultra, Brain Force Plus, all 40 to 60% off of promo
[36:33.560 --> 36:38.480]  code 1776 and the free shipping and double patriot points.
[36:38.480 --> 36:39.680]  And we have done the math.
[36:39.680 --> 36:43.800]  If we sell out all this, we have got money into early January to operate and a bunch
[36:43.800 --> 36:47.640]  of new products or products that have been sold out like Turbo Force and things should
[36:47.640 --> 36:53.040]  be back in and we should be able to survive, but we need to sell out and we are going to
[36:53.040 --> 36:54.040]  sell out.
[36:54.040 --> 36:55.560]  We are going to catch 22.
[36:55.560 --> 37:00.840]  We would sell out all these products in two months at regular price, but then we wouldn't
[37:00.840 --> 37:05.240]  sell what we need the next few weeks to have money going into next year, so this is your
[37:05.240 --> 37:12.720]  opportunity to keep us on air and get a great deal, a 360 win, Survival Shield X3 sold out,
[37:12.720 --> 37:17.760]  Bob Jitslinium sold out, Patriot Blend Coffee sold out, Immune Support sold out, a bunch
[37:17.760 --> 37:23.080]  of other stuff almost about to sell out, Ultimate Crittle Oil, Ultimate Fish Oil, Physiomagnesium,
[37:23.080 --> 37:30.120]  it's all at infowarstore.com and again, I want to thank you all for your amazing support
[37:30.120 --> 37:32.120]  and your prayers.
[37:32.120 --> 37:41.160]  Okay, Florida, to hold vaccine makers liable over mRNA claims, you can see the video I
[37:41.160 --> 37:48.920]  just played and more of what DeSantis' Surgeon General Joseph Ladapo has been saying in an
[37:48.920 --> 37:52.800]  article on infowarstore.com, but they are really telling it like it is and I have been saying
[37:52.800 --> 37:53.800]  that for months.
[37:53.800 --> 37:59.560]  I want to see DeSantis say what his Surgeon General is saying and now he is doing that.
[37:59.560 --> 38:03.680]  That is an extremely positive thing.
[38:03.680 --> 38:08.240]  Ron DeSantis says he plans to hold Pfizer and Moderna accountable for making false claims
[38:08.240 --> 38:09.240]  about their shots.
[38:09.240 --> 38:21.360]  Hell, I've got Bill Gates, I've got Borla of Pfizer, all of them, when he's not calling
[38:21.360 --> 38:28.440]  me an agent of evil, the ultimate evil, at the ADL, he is saying, oh, we have done something,
[38:28.440 --> 38:35.760]  because 100% effective for children, 100% effective in South Africa, 100%, he was saying
[38:35.760 --> 38:40.200]  that a year into it when they were saying it was 40% effective and now they admit it's
[38:40.200 --> 38:45.520]  not effective except in erasing your immune system, absolutely insane.
[38:45.520 --> 38:51.880]  Meanwhile, Pfizer seeks FDA authorization for Omicron vaccine for under five children.
[38:51.880 --> 39:01.320]  New monsters.
[39:01.320 --> 39:02.320]  Absolutely crazy.
[39:02.320 --> 39:03.320]  Breaking.
[39:03.320 --> 39:09.400]  Missouri Attorney General Schmidt releases entire transcript of Fauci deposition.
[39:09.400 --> 39:15.360]  He said 170 plus times, I don't know, I can't remember, or basically took the Fifth Amendment.
[39:15.360 --> 39:18.880]  I don't remember anything, does he?
[39:18.880 --> 39:24.640]  All right, let's go ahead and go to your phone calls, ladies and gentlemen, Laura, thanks
[39:24.640 --> 39:25.640]  for calling.
[39:25.640 --> 39:26.640]  You're on the air from Chicago.
[39:26.640 --> 39:32.280]  Hey, Alex, I've been listening to you since I got out of the Army in the 90s.
[39:32.280 --> 39:34.000]  Well, I really appreciate you.
[39:34.000 --> 39:35.000]  God bless you.
[39:35.000 --> 39:36.000]  You're here.
[39:36.000 --> 39:38.120]  You can lead a whole Army battalion.
[39:38.120 --> 39:41.880]  So, God bless your little heart.
[39:41.880 --> 39:48.360]  I also buy your products, I got your, before I get my comment, but I also got my son.
[39:48.360 --> 39:53.880]  The super male vitality, he's 14, because I think he says he's gay, so I inject it
[39:53.880 --> 39:56.880]  into his jello in his soup, and he can't like, you get.
[39:56.880 --> 40:06.360]  But the reason I'm calling, he can't handle it, man, I'm like, well, he probably isn't
[40:06.360 --> 40:09.680]  gay, you know, testosterone's way down.
[40:09.680 --> 40:14.840]  A lot of the soy and things in the school diets are feminizing men, sperm counts are
[40:14.840 --> 40:19.040]  down massively, so, sorry, go ahead.
[40:19.040 --> 40:24.360]  No, it's okay, sir, I know I saw your video of the frogs, it's everything, you know,
[40:24.360 --> 40:30.000]  it's the chemicals in the water and the plastics, but I give him alpha male vitality, I tell
[40:30.000 --> 40:31.520]  him it's a centrum, whatever.
[40:31.520 --> 40:38.800]  Well, has the super male vitality had any effect on your 14-year-old?
[40:38.800 --> 40:39.800]  I think it's better.
[40:39.800 --> 40:41.960]  I think it's not so like, I really don't know.
[40:41.960 --> 40:45.400]  Is it growing some hair on his chest?
[40:45.400 --> 40:47.400]  Yeah.
[40:47.400 --> 40:51.840]  I was bald as a mole rat till I took it, now I've got all this hair, I'm joking.
[40:51.840 --> 40:53.320]  You're a mole rat.
[40:53.320 --> 40:55.840]  Hey, I appreciate your call, Laura, God bless you.
[40:55.840 --> 40:59.000]  Let's talk to Josh and FEMA region, hey, go ahead, Josh.
[40:59.000 --> 41:04.760]  Hey, Alex, yeah, I've been saying this since the 2020 election, Tulsi Gabbard should run
[41:04.760 --> 41:11.080]  as president, he has some great foreign policy, and I think Rand Paul should be her VP, yeah,
